名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
喀左湿地Kazuo Wetland,http://travel.qunar.com/p-oi35832658-kazuoshidi,,喀左湿地位于喀喇沁左翼县南哨境内，园内的河水、湿地与山林相映衬，形成了林护河，水润林，景映水的湿地森林景观。,,,1.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
凌河第一湾Linghe First Bay,http://travel.qunar.com/p-oi10067453-linghediyiwan,"

地址:
朝阳市喀喇沁左翼蒙古族自治县水泉乡南亮子村和羊角沟乡上窝铺村交接处


电话:
0421-3559789

",,全年 09:00-22:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/b7df545d7f10beb88bc951e50271930b.jpg_480x360x95_0ac4ac51.jpg,4.8,建议游览时间：1小时 - 3小时,,具体收费情况以现场公示为主,,1
白石水库Baishi Reservoir,http://travel.qunar.com/p-oi703498-baishishuiku,"

地址:
朝阳市北票市上园镇


电话:
0421-5998078

",白石水库依辽西独特的白石岩得名。库区万顷水域，波光涟滟。水质清洌，野生鱼类种类繁多。库区四周，有肥田沃野，自然资源十分丰富。登上观礼台，可以览库区全景：清晨日出、夕阳西照、春抱凌河、白鹅戏水。步入水上乐园，可悠然垂钓、可嬉戏浴场、可扬帆水上。山上猎园的狩猎场、射击场、赛车场等陆上娱乐项目，定会让您玩的惬意开心。白石旅游服务中心设施齐全、先进、一流。设有停车场、保安服务、舞厅、娱乐厅，是团体会议、举家旅游、朋友聚会的“风水宝地”。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/f41848be74065d4d9e0dcd8afd89a918.jpg_480x360x95_5509f548.jpg,4.2,,,免费开放,,1
燕秦长城,http://travel.qunar.com/p-oi711679-yanqinzhangcheng,,在建平县北部努鲁儿虎山的崇山峻岭之中，断断续续地盘亘着一条被当地群众称为“石龙”或“土龙”的古代长城遗迹。经考证，这就是历史上著名的燕秦长城。战国时期，朝阳地区属于燕国的领地。当时，居住在东北的东胡族经常侵扰燕国，双方交战频繁。燕昭王时（公元前311年-前279年），为了防止被打退至漠北的东胡族卷土重来，设置了上谷、渔阳、右北平、辽西、辽东五郡，又筑起“自渔阳至襄平的”的防御工事-燕长城。秦统一六国后，又将原秦、燕、赵三国的长城增修连接起来，形成了自甘...在建平县北部努鲁儿虎山的崇山峻岭之中，断断续续地盘亘着一条被当地群众称为“石龙”或“土龙”的古代长城遗迹。经考证，这就是历史上著名的燕秦长城。战国时期，朝阳地区属于燕国的领地。当时，居住在东北的东胡族经常侵扰燕国，双方交战频繁。燕昭王时（公元前311年-前279年），为了防止被打退至漠北的东胡族卷土重来，设置了上谷、渔阳、右北平、辽西、辽东五郡，又筑起“自渔阳至襄平的”的防御工事-燕长城。秦统一六国后，又将原秦、燕、赵三国的长城增修连接起来，形成了自甘肃岷县至辽东的万里长城。“燕秦长城”的说法即由此而来。燕秦长城历经了2300多年的风雨蚀变，但在建平县张家湾南山至蛤蟆沟北梁之间，至今还保留着长7公里、宽约定俗2米、高1米左右的城墙遗址。其中烧锅营子乡化匠沟村北山上的一段保存最好，石砌结构仍清晰可见。另外，这一带还发现了许多古代用于驻兵的屯粮的附属城地。燕秦长城之所以被当地群众称为“石龙”或“土龙”，主要是因为长城因地制宜建造而成。越山岭时凿石垒砌，经平川就动土夯筑，须跨河流便设立渡口。燕秦长城从赤峰南部与建平县热水相对的老哈河口进入建平县境，蜿蜒80多公里，然后至二十家子镇东出转入内蒙古敖汉旗。这段燕秦长城遗地现已作为一处重要的名胜古迹加以保护，并载入了《中国名胜词典》。,,,--,,,,,1
南北二塔,http://travel.qunar.com/p-oi703443-nanbeierta,"

地址:
中国辽宁省朝阳市

",南北二塔--朝阳原有三座塔，分别位于旧城的南、北、东三方。现仅存南北二塔。南塔在朝阳南街，建于辽代，是方形空心砖塔，十三级密檐式，高45米，塔基方形，每边宽20米，高10米。塔身南面设券门，其它三面设假门，每面两侧各嵌石碑一块，各碑面刻有一灵塔名称。北塔在朝阳北街，与南塔遥相对峙。现存的砖塔始建于唐代，是在北魏和隋代木塔基址上建造的，距今已有1300年的历史。现存的地宫、砖座、雕刻佛像的外层塔身等均为辽代修砌的。它是东北地区最早的古塔。塔为砖筑方形空心十三...南北二塔--朝阳原有三座塔，分别位于旧城的南、北、东三方。现仅存南北二塔。南塔在朝阳南街，建于辽代，是方形空心砖塔，十三级密檐式，高45米，塔基方形，每边宽20米，高10米。塔身南面设券门，其它三面设假门，每面两侧各嵌石碑一块，各碑面刻有一灵塔名称。北塔在朝阳北街，与南塔遥相对峙。现存的砖塔始建于唐代，是在北魏和隋代木塔基址上建造的，距今已有1300年的历史。现存的地宫、砖座、雕刻佛像的外层塔身等均为辽代修砌的。它是东北地区最早的古塔。塔为砖筑方形空心十三级密檐式，高约45米，塔基四面各宽20米，高5米。南四面有券门通塔心室，其他三面各筑假门一个，塔身四面共有八塔八碑十二佛。北塔对研究佛教艺术和历史具有极为重要的价值。,9:00-18:00,https://img1.qunarzz.com/travel/d6/1511/d6/de6a634ec633ef7.jpg_480x360x95_80bd000a.jpg,4.4,,,15元,,1
战国长城遗址,http://travel.qunar.com/p-oi705502-zhanguozhangchengyizhi,"

地址:
中国辽宁省朝阳建平北部烧锅营子

",战国长城位于建平北部烧锅营子办事处化匠沟村张家湾至蛤蟆沟脑处，长约七公里，为建平境内保存最好的一段长城，主要为战国燕文化时期遗存，绝对年代在公元前311年至前279年，距今约2000多年。1979年9月5日被公布为辽宁省重点文物保护单位。长城址依山势为东西走向，这一带山冈纵横，沟谷交错，地势极其险要。城墙筑造方法为石筑、土筑和“天然屏障”三种。石墙基宽2-3米，存高1-2米。土筑城墙因年代久远、水土流失现冲刷已尽，但仍隐约可见黑土带。除长城外，沿线还有不同类型的防御...战国长城位于建平北部烧锅营子办事处化匠沟村张家湾至蛤蟆沟脑处，长约七公里，为建平境内保存最好的一段长城，主要为战国燕文化时期遗存，绝对年代在公元前311年至前279年，距今约2000多年。1979年9月5日被公布为辽宁省重点文物保护单位。长城址依山势为东西走向，这一带山冈纵横，沟谷交错，地势极其险要。城墙筑造方法为石筑、土筑和“天然屏障”三种。石墙基宽2-3米，存高1-2米。土筑城墙因年代久远、水土流失现冲刷已尽，但仍隐约可见黑土带。除长城外，沿线还有不同类型的防御建筑设施――台址、鄣址和城址。它们多筑于长城线上或长城南侧。沿线出土文物多为灰陶豆、盆、罐、瓮和席、绳纹板瓦、兽纺瓦当，以及红陶釜、燕九币等。该长城的修筑，不仅对北方各民族间的互相融合、交流，对开拓北部疆有着积极作用，而且对秦汉以后我国统一的多民族国家的形成、巩固和发展也起了重要作用。对燕长城址加以全面保护，用于开展旅游业，进行爱国主义教育，激发民族自豪感，加快现代化进程都具有重要意义。,9:00-18:00,https://img1.qunarzz.com/piao/fusion/1809/4f/c4bb94c5e73e6402.jpg_480x360x95_2671d837.jpg,--,,,5元,,1
朝阳凤凰山Phoenix Mountain,http://travel.qunar.com/p-oi714840-chaoyangfenghuangshan,"

地址:
朝阳市双塔区菩提路


电话:
0421-2860179


官网:
http://www.cyfhs.cn/

",朝阳凤凰山位于辽西朝阳市城区东部4公里处，海拔660米。凤凰山林木繁茂、群峰争秀，不仅是辽西历史名山，也是燕、辽时享有盛誉的佛教圣地。山上有金驼望月、象鼻山、天然大佛等自然景观，还有天庆寺、云接寺等佛教寺院。早在1660年前，燕王慕容皇光就在凤凰山上修建了迄今为止东北地区早见诸史籍的佛教寺院——龙翔佛寺，因此成为东北佛教的“祖庭”，凤凰山之龙翔佛寺成为东北佛教第一寺。后经历代建构，形成了三塔（现存摩云塔、大宝塔，凌霄塔倾圮后重修）四寺（延寿寺、天庆寺、云...朝阳凤凰山位于辽西朝阳市城区东部4公里处，海拔660米。凤凰山林木繁茂、群峰争秀，不仅是辽西历史名山，也是燕、辽时享有盛誉的佛教圣地。山上有金驼望月、象鼻山、天然大佛等自然景观，还有天庆寺、云接寺等佛教寺院。早在1660年前，燕王慕容皇光就在凤凰山上修建了迄今为止东北地区早见诸史籍的佛教寺院——龙翔佛寺，因此成为东北佛教的“祖庭”，凤凰山之龙翔佛寺成为东北佛教第一寺。后经历代建构，形成了三塔（现存摩云塔、大宝塔，凌霄塔倾圮后重修）四寺（延寿寺、天庆寺、云接寺，华严寺已不存）古建主体，此外还有北魏摩崖佛龛、辽代古道降香十八盘、清代倒座观音洞和卧佛古洞等古迹遗存。摩云塔位于凤凰山主峰山腰，为十三级密檐式砖塔，方形、实心。云接寺中古塔造型挺拔隽秀，雕刻工艺精美。天庆寺中主要建筑有观音殿、碑亭和东西厢房。各种景观浑然天成，妙趣横生。此外，植被丰茂的凤凰山还是国家濒危珍稀鸟类黑鹳的重要栖息地。,全年 08:00-17:00,https://img1.qunarzz.com/travel/d8/1511/c4/6a0e308b252bcaf7.jpg_480x360x95_524a5f38.jpg,4.5,建议游览时间：4小时 - 5小时,,"{'凤凰山门票成人票\n\n': ['¥28起'], '凤凰山门票双人票\n\n': ['¥56起'], '朝阳凤凰山景区电子导览服务大小同价\n\n': ['¥6起']}",,1
喀左天成观,http://travel.qunar.com/p-oi715156-kazuotianchengguan,,,,,,,,,,1
朝阳关帝庙,http://travel.qunar.com/p-oi708655-chaoyangguandimiao,,位于朝阳市营州路东段北侧，于清乾隆九年由山西会在朝阳东塔的塔基右侧修建。是朝阳市内唯一保存的礼制性建筑。属省级文物保护单位。现存占地面积3900平方米，庙中主体建筑有戏楼、棂星门、牌楼、神马殿、仪仗殿、关帝殿、药王殿、财神殿、东西配殿等。附属建筑有钟楼、鼓楼、东西配房、佛殿、耳房等。各殿均为砖木结构。另外还有石狮三对、石旗杆一对、清代石碑七通、石经幢二座、石雕垂花门二座、石雕栏杆二组、琉琉望天狲一对、铜鼎一座、铁狮一对、铜钟一口。戏楼位于庙前100米...位于朝阳市营州路东段北侧，于清乾隆九年由山西会在朝阳东塔的塔基右侧修建。是朝阳市内唯一保存的礼制性建筑。属省级文物保护单位。现存占地面积3900平方米，庙中主体建筑有戏楼、棂星门、牌楼、神马殿、仪仗殿、关帝殿、药王殿、财神殿、东西配殿等。附属建筑有钟楼、鼓楼、东西配房、佛殿、耳房等。各殿均为砖木结构。另外还有石狮三对、石旗杆一对、清代石碑七通、石经幢二座、石雕垂花门二座、石雕栏杆二组、琉琉望天狲一对、铜鼎一座、铁狮一对、铜钟一口。戏楼位于庙前100米处，今已毁。棂星门为木质，外附石柱、上横石额，柱顶雕“阿婆罗”。牌楼是四柱三楼式，中间二柱正反两面各刻楷书楹联一付，抱鼓两面浮雕蟋螭忍冬。钟楼今已不存。旗杆存一，1976年唐山地震时残断，现仅存基座。朝阳三座塔的东塔，塔基现仍保存于庙院东部。从塔基的形状得知，东塔亦为方形。塔地宫中出土的“无垢净光大陀罗尼法舍得塔经记”幢仍保存庙中。根据碑文记载，关帝庙所在辽代时即为寺庙，称“灵感寺”，元代称“大通法寺”。明代废弃后，清初重建为关帝庙。嘉庆、同治、道光、光绪年间，均作过增修或维修。民国二十二年，庙内增设“武穆元帅”牌位，更名关帝庙。今仍称为关帝庙。《朝阳县志》记载：“院内老树参天，巢共上者乌鹊甚多，每日早晚齐鸣，如庆神休焉。”,,,5.0,,,,,1
华严寺,http://travel.qunar.com/p-oi708919-huayansi,,华严寺位于北四家子乡境内，始建于民国十二年（1923年），是朝阳县境内保存最完整的一座佛教庙宇，以建筑技艺精湛、雕刻艺术精巧而远近闻名。庙宇四周山峦起伏，树木茂盛，山下小溪蜿蜒流长，风景隽秀。华严寺大殿面阔五间，进深四间，为硬山式建筑，砖、木、瓦结构，迎风、压 带、站板皆有艺术雕刻、檐下六根立柱，均为石雕。庙内其它建筑也别具风格。,,,--,,,,,1
