名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
本溪水洞Benxi Water Caves,http://travel.qunar.com/p-oi705938-benxishuidong,"

地址:
本溪市26公里的东部山区太子河畔


电话:
024-44891160,024-44891162,0414-4891198


官网:
http://www.lnbenxishuidong.com/

",本溪水洞位于辽宁本溪市，是一个数十万年前形成的大型充水溶洞，是迄今世界上已发现的最长可乘船游览的地下暗河。整个景区是由水洞、地址博物馆、铁刹山及庙后山等景区组成，沿太子河呈带状分布，游客来此主要参观水洞及博物馆。而水洞内分水、旱二洞，有着许多形态各异的钟乳石，需泛舟游水洞。本溪水洞洞口座南朝北，洞口呈半月形，洞口上方写着“本溪水洞”四个大字。进入洞口便是“迎客厅”，这里非常大，可以容纳千人。从大厅向右便是一处有着300米长的旱洞，这里高低错落，洞中有洞，在洞的顶部和岩壁上可以看到很多钟乳石，形态各异，如古井、龙潭、百步池等景观。旱洞的尽头是一泓清潭，深不见底，而且透上来的水气非常寒冷。出了洞回到大厅，在大厅的正面是通往水洞的码头，这里的水面非常大，可以停靠40艘游船，在周边灯光的照射下，宛如一个幽静别致的港湾。游客从护岸石拾阶而下，通过长廊从码头上船，开始畅游水洞。整个水洞中有很多形态各异的钟乳石形成的景色，一路上在河流两岸可以看到形似宝莲灯、倚天长剑、鳄鱼头、玉米塔、独角犀、春笋、斜塔、大象、雪山等钟乳石，特别是玉米塔、玉象和雪山三景，更是名实相符，几乎可以乱真。除了两岸钟乳林立，石笋如画，千姿百态之外，洞顶也有钟乳高悬，非常晶莹斑斓，神趣盎然，整个行程约20分钟左右。参观完水洞之后出来可以前往附近的本溪地址博物馆参观，在这里可以了解到地球的诞生到现在主要的地质变化，馆中还陈列了很多该景区内的地质遗迹、史前遗迹等珍贵样本，观赏价值极高。餐饮景区内只有一个唯一的餐厅——水洞聚仙楼酒店，这里用餐较贵，建议游客来此可以自带食物。,04/01-10/31 08:30-16:00,https://img1.qunarzz.com/travel/d7/1610/cb/54b0a09d61f7b7b5.jpg_480x360x95_825c5e95.jpg,4.6,建议游览时间：3小时 - 4小时,,"{'本溪水洞门票学生票\n\n': ['¥35起'], '本溪水洞门票老人票\n\n': ['¥55起'], '本溪水洞+旱洞+硅化木门票成人票\n\n': ['¥140起']}",,1
五女山Wunü Mountain,http://travel.qunar.com/p-oi721359-wunu:shan,"

地址:
本溪市桓仁满族自治县桓仁镇北侧8公里处浑江西北岸


电话:
0414 891 2988

",五女山景区位于辽宁省东部桓仁县城以北8.5公里处，与桓龙湖相接，主峰海拔823米。地里位置得天独厚，山峰气势雄伟，景观满山、植物万象、动物喜人。世界文化遗产、国家4A级景区，中国名山，中国北方边疆少数民族高句丽第一代王城，全国重点文物保护单位、全国十大考古新发现。景区内历史遗迹与自然风光并存。五女山山城规模较大、气势恢弘、体系完备。在城址布局、墙体砌筑、墙石加工等方面，突显着高句丽民族杰出的智慧和高超的建筑技艺，开创了高句丽民族构筑山城的先河，对后世高句丽建筑乃至东北亚建筑技术都产生了巨大影响。山城内外，曾发现多处高句丽早期遗迹，王宫、兵营、粮仓、天池等遗址，历经2000多年风雨沧桑，令人追今抚昔，感慨万千。五女山不仅有丰厚的文化内涵，自然景观也极其峻秀。山上雾海奇峰，古松幽壑，一涧白云，满面清风。飞来峰独矗一帜，大有天外飞来之势；好汉松依山而生，让人大感英雄气魄；一线天更有鬼斧神工造成之象，两侧石崖直立，最深处31米，最窄处0.65米，站在其中仰望，仅为一线蓝天；站在点将台上举目远眺，东可望桓龙湖之烟波浩淼，南可观太极图之伏羲玄妙。烟雨朦胧之时，青山如黛，碧水如泓，犹如一幅淡淡的水墨丹青。在五女山脚下新建成一座3400平方米的大型博物馆，采用多媒体、幻影成像、场景复原、电子图书等多种形式展示了五女山山城出土的珍贵文物600余件。重现了高句丽初创时期的辉煌历史，展示了独具特色的民族文化。,4/19-10/25 08:00-16:00,https://img1.qunarzz.com/travel/d5/1603/d4/59b563a6f8f303f7.jpg_480x360x95_c3678ad7.jpg,4.6,建议游览时间：4小时 - 6小时,,五女山大门票50元，包含进山和从山脚下到半山腰的往返客车费用。五女山山城无需另外购票。,,1
望天洞Watching Sky Cave,http://travel.qunar.com/p-oi710792-wangtiandong,"

地址:
本溪市桓仁县雅河乡弯川村102国道旁


电话:
024-48202332

",辽宁本溪国家地质公园望天洞景区位于辽宁省桓仁满族自治县。与五女山、桓龙湖、大雅河漂流形成辽宁东部旅游黄金线路。望天洞风景区是桓仁旅游的一大奇观，是国家AAA级旅游区、国家地质公园，因洞口为天窗式，游人从其底部向上仰望，有怀抱红日，目接青天之感而得名。望天洞景区距县城15公里，总面积23平方公里，该洞发育于20万年前，主洞长5635米，为北方第一长洞。地下暗河三条，长4000米，有水潭30余个，水深达7米。，洞内有6000余平方米的大厅，可容纳万人。洞内的迷宫更为奇特，被...辽宁本溪国家地质公园望天洞景区位于辽宁省桓仁满族自治县。与五女山、桓龙湖、大雅河漂流形成辽宁东部旅游黄金线路。望天洞风景区是桓仁旅游的一大奇观，是国家AAA级旅游区、国家地质公园，因洞口为天窗式，游人从其底部向上仰望，有怀抱红日，目接青天之感而得名。望天洞景区距县城15公里，总面积23平方公里，该洞发育于20万年前，主洞长5635米，为北方第一长洞。地下暗河三条，长4000米，有水潭30余个，水深达7米。，洞内有6000余平方米的大厅，可容纳万人。洞内的迷宫更为奇特，被称为“北的一个洞，迷宫世无双”。主洞形态为廊道式、厅堂式、迷宫式。洞内钟乳丛生，晶莹剔透，如峰如柱、如林如笋、如塔如佛、如花如瀑；各种边石坝数不胜数，既像梯田，又如长城，数量级类型国内第一；某些地点的钟乳石继续生长，速度居国内第一；洞中“迷宫”分上、中、下三层，洞中有洞，洞洞相通，门中有门，门门可行，迂回曲折，扑朔迷离，被洞穴专家称之为“北的一个洞，迷宫世无双”。在望天洞中，道路曲折，忽上忽下。洞中有洞，洞洞相通，门中有门，门门可行。迷宫中多条道路环环相套，皆都类似，令人顿生乐趣。入其内，行来走去，难分难辨，妙趣横生。那条条道路都能走出迷宫，出来之后却又景象各异。这可谓真正的迷宫，它的范围极大，初步探测约有一万平方米左右，它到底有多少个洞口谁也统计不了，至今没有人敢去走完这个迷宫……中科院专家考察后确认，望天洞内6000平方米大厅和上、中、下三层的万米迷宫！北国奇葩在桓仁，奥妙神奇数洞天。一峰插云天，双洞望长空。天棚挂钟乳，夹壁游蛟龙，洞在奇幻里，人在飘渺中。,8:00-16:00,https://img1.qunarzz.com/travel/d8/1606/9f/bca1f0372bc285f7.jpg_480x360x95_ef5b717b.jpg,4.7,建议游览时间：2小时 - 4小时,,60元,,1
关门山水库,http://travel.qunar.com/p-oi722455-guanmenshanshuiku,"

地址:
辽宁省本溪市本溪满族自治县境内  本溪水洞南13公里


电话:
0414-6358085

","　关门山属长白山系千山余脉,自古就有“东北黄山”、“东北桂林”之美誉。关门山素以峰奇、水秀、雾巧、树茂、花美闻名遐迩。景区面积三十余平方公里,境内山峰峻秀、沟幽谷深、清流潺潺、花木葱茏、动植物种类繁多。　　1991年10月,关门山水库建成投入运行,又为景区增添了一处“高峡平湖”的胜景。登高远眺,水库宛如一块碧玉镶嵌于群山之中,奇伟壮观,美不胜收。水库的修建,有效地保护了自然资源和环境,许多久已不见的珍禽异兽,纷纷来此栖息。十年来,风景区管理处规划建设了“红叶湖...　关门山属长白山系千山余脉,自古就有“东北黄山”、“东北桂林”之美誉。关门山素以峰奇、水秀、雾巧、树茂、花美闻名遐迩。景区面积三十余平方公里,境内山峰峻秀、沟幽谷深、清流潺潺、花木葱茏、动植物种类繁多。　　1991年10月,关门山水库建成投入运行,又为景区增添了一处“高峡平湖”的胜景。登高远眺,水库宛如一块碧玉镶嵌于群山之中,奇伟壮观,美不胜收。水库的修建,有效地保护了自然资源和环境,许多久已不见的珍禽异兽,纷纷来此栖息。十年来,风景区管理处规划建设了“红叶湖”、“竞秀峰”、“自然公园”、“观春园”等四大景区一百多个景点及各种服务设施,2004年,景区顺利通过国家“AAAA”级旅游景区评定。　　“竞秀峰”景区：沿“遇仙门”拾级而上,您将在山风习习之中,尽情领略风光各半秋色平分之美。路随山转、景随山变、一步一景、一山一奇,登高远眺水库风光,崇山起伏烟雾茫茫,如遇朝阳初生或落霞散彩之时,更是令人陶醉。　　“观春园”景区：这里虽无幽谷之秀,却有上林之春,奇丽秀美、宛如一幅天造地设的山水田园画,天然成趣、又像一座情韵悠长的人间伊甸园。　　“红叶湖”景区：湖光山色,碧波轻舟,高峡平湖,湖中岛屿峻秀,苍松青翠欲滴,泛舟湖上,犹如仙境,抛钩垂钓,令人心矿神怡。　　“碧泉谷”景区：红叶湖乘船东行千米,便是天然未凿的神奇处女地,这里是炎热季节里的清凉世界,又是游客纳凉休闲的宝地,可谓大自然中的世外桃源。　　自然公园景区：清幽宁静的溪弯、花团紧簇的青山、映照蓝天的碧水、神奇秀美的悬流飞瀑,这里的自然山水给人以超凡脱俗之感、是一幅人间难得的奇美画卷。　　关山漂流：关门山漂流全长3200余米,漂流区段沿途两岸风关秀美,孤峰林立,花木茂盛,水流清澈,河道千回百转、美景变换迭出,对于“乐山登万仞、喜水泛千舟”的游人来说是一个水上浏览的胜地。　　有诗曰：“逶迤云端关门山,雄奇松崖丰壁寒；雾霜轻连千峰拱,犹如仙境在人间”,又曰“春赏一岭红杜鹃,夏游幽谷观木兰；秋呤红色动声色,冬梦白雪思关山”即是对关门山美景的真实写照。　　关门山(水库)风景区旅游资源丰富,正以最美好的姿态,展现亮丽的风彩,来吧！朋友,温馨舒适的库区宾馆将带给您宾至如归的感受,奇丽秀美的关山风光,让您真正品身临仙境的享受！　　“红叶湖”景区，湖光山色，碧波轻舟，高峡平湖，湖中岛屿俊秀，苍松青翠欲滴，泛舟湖上，尤如仙境，抛钩垂钓，令人心旷神怡。自然公园景区：清幽宁静的溪弯、花团紧簇的青山、映照蓝天的碧水、神奇秀美的悬流飞瀑，这里的自然山水给人以超凡脱俗之感、是一幅人间难得的奇美画卷。",30元,https://img1.qunarzz.com/travel/d0/201310/15/2320df8ac160e43dddb12cfb.jpg_480x360x95_4311b625.jpg,0.0,,,8：00-17：00,,1
绿石谷Lüshi Valley,http://travel.qunar.com/p-oi708928-lu:shigu,"

地址:
本溪市本溪满族自治县草河掌镇绿石谷


电话:
024-46134033,024-46134655

",绿石谷隶属辽宁本溪汤沟国家森林公园，因谷中石上苔藓碧绿，大小瀑布众多而闻名。谷内的五女峰巨石上古松耸立婀娜多姿。在炎热的夏季谷内青峦叠翠，轻风习习。溪水峰回路转或急或缓，微小的落差造成数不清的大小瀑布，如珠链、如绸缎，清澈的流淌在谷内长满青苔的圆石、枯木之间。“绿石谷”景区有三沟九瀑、十流数十泉，五峰峭苍穹。还有五女峰、双龙潭，南北天门瀑布，苔藓绿石，峰岚叠瀑，伟岸俊气，天造地设，千古奇绝。有诗曰：绿石谷中柔嫩情，勃发苔藓绿黄青。五女峰峭美如画，叠瀑飘纱雾迷濛。绿石谷姿态最飘逸的枫树就是枫仙，顾名思义，枫仙，枫树之仙，枫中仙子，它因为枫叶红得最早、落叶最晚、红的最鲜艳、姿态最飘逸、角数最齐全而闻名。这颗树姿态超凡脱俗，洒脱飘逸，颇有仙子之风。当山风吹过，摇曳生姿，就像一名舞者在传递着美丽。每当到了秋季，如火如荼的枫叶像朵朵盛开的红花，娇艳妩媚，红红火火，把大山一下子装点得热烈而奔放。,1/1-12/31 06:00-16:30,https://img1.qunarzz.com/travel/d6/1610/2c/92b9a6e039749db5.jpg_480x360x95_39d0d28d.jpg,4.6,建议游览时间：1小时 - 3小时,,40元,,1
观音阁水库Guanyinge Reservoir,http://travel.qunar.com/p-oi715304-guanyingeshuiku,,,,,,,,,,1
本溪大峡谷,http://travel.qunar.com/p-oi705586-benxidaxiagu,"

地址:
辽宁省本溪市南20公里的南芬区境

",大峡谷沉睡8-10亿年了，经过漫长的地质构造作用，加之各种风化、侵蚀、搬运，造就了地质史上有名的“钓鱼台组”地貌，地壳抬升近百米，绵延几十平方公里的大峡谷，怪岩林立，类人形神，谷崖飞泉，古松倒挂、鸟语花馨，各具情态，身入其境，犹如走进见所未见的峡谷画廊。大峡谷位于辽宁省本溪市南20公里的南芬区境内，即沈丹高速公路85公里处。,8：00—18：00,https://tr-osdcp.qunarzz.com/tr-osd-tr-touch/img/ea911841cbf34265516155419be3d8a8.jpeg_480x360x95_af4c0045.jpeg,3.7,,,免费,,1
老秃顶自然保护区,http://travel.qunar.com/p-oi706693-laotudingziranbaohuqu,"

地址:
中国辽宁省本溪市桓仁县境内

",老秃顶是“辽宁屋脊”，省级自然保护区。位于桓仁县境内，属长白山脉。主峰海拔一千三百二十五公尺，面积七万二千亩，山顶气候寒冷，草木低矮，似龙爪状，故名老秃顶，但山腰森林茂密，有原始林。林中，有柞、桦、楸、椴、松、枫、槐、曲柳等树种，木材蓄积量约十万立方米。峻岭丛林之中有野猪、狐狸、狍、獾、黑熊、戴腾鸟等珍贵动物，人参、党参、细辛、五味子等多种多贵中药材和各种山菜、山果。一九三五年，东北著名抗日英雄杨靖宇曾在这里建立根据地，遗址尚存。,8：00—18：00,https://img1.qunarzz.com/travel/d4/1501/8c/0815bfa1a85d42.jpg_480x360x95_ee5af249.jpg,5.0,,,40元,,1
大石湖风景区Dashi Lake Scenic Area,http://travel.qunar.com/p-oi718591-dashihufengjingqu,"

地址:
本溪市本溪县东营坊乡南营坊村


电话:
400-024-1177,024-43318888,024-43319999

", 大石湖风景区位于本溪满族自治县兰河峪乡东南山麓的鹰嘴山下，距县城区约50公里处，它是太子河水系的发源地之一。大石湖，以其五个次第相连的湖潭而得名，湖潭依次承接，瀑布飞溅掩映，故又称之为“五湖四瀑”。一湖命名为“天池湖”，湖水面积约180平方米，水势湍急，飞流直下，飞珠溅玉，形成一幅天然的大瀑布，瀑落之处，湖深水暗，因其居五湖之上，恰如“长白一天池”。二湖，湖水面积约65平方米，水面积虽居五湖之末，但其水流汹涌，湖水暗绿，漩涡翻滚急骤，水深莫测，景象大奇绝，神话传说之多而居五湖之首位，故称之为“水晶宫”。三湖流势渐缓，湖水面积约150平方米，湖水澄清，落叶入水不浮且清晰可见河底枫叶，素有“见叶潭”之称，据传说此湖是龙的理想栖息地，故称为“龙潭”。四湖湖面约160平方米，此湖相比之下有奇特独到之处，湖东崖壁上有一天然石洞，洞可容人。洞内冬暖夏凉，别有情趣，伫立崖边，俯瞰湖水咆哮，恰似巨龙奔腾，极目望崖洞，仿佛洞内有神佛祈祷祝福。此湖称之为“龙神湖”。五湖人称之为“聚仙湖”，水域面积约165平方米，水从岩缝中依势随波逐流而下，水势渐弱浅平，缓缓流动，仔细观望，凝思遐想，正所谓群仙聚会于此，共商良谋于今霄。因此封之为“聚仙湖“恰到好处。此外，秋季的大石湖风景区枫叶流金，把整个山谷渲染得更加绚丽多姿，是欣赏秋色的好去处。还有“仙人指路”、“点将台”、“翡翠石球”等众点景点，是观光游览避暑胜地。,全年 07:30-18:00,https://img1.qunarzz.com/travel/d9/1505/be/c04a102a197c69.jpg_480x360x95_9fb0c0cf.jpg,4.7,建议游览时间：3小时 - 4小时,,20元,,1
滴水洞Dripping Water Cave,http://travel.qunar.com/p-oi703076-dishuidong,,滴水洞位于本溪市市区南七点五公里处，老母岭西面深谷之中。,,https://img1.qunarzz.com/travel/d1/1605/dd/2c39cca1dba31bf7.jpg_480x360x95_672fdfc3.jpg,4.6,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
