名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
圣堂山Shengtang Mountain,http://travel.qunar.com/p-oi707206-shengtangshan,"

地址:
来宾市金秀瑶族自治县长垌乡


电话:
0772-6217300

",圣堂山位于广西金秀县西南，较高峰海拔1979米，这里群峰连绵，且长年掩映在云雾之中，景色非常壮美，是观云海和日出的好去处。每年五月杜鹃花开之时，云海、花海、山海之景汇于一体，真是美不胜收。从景区游客中心到徒步登山处约15公里，可乘坐景区的接驳车，约40分钟可到达登山处。从山脚望上去，群峰在云雾之中若隐若现，好比仙境一般。这里距离山顶约五公里的路程，2.5~3.5小时便可到达山顶。沿途古木参天、峡谷幽深，奇峰怪石之景也十分有趣。一路上只有几个休息亭，建议自己备点干粮上山。到达山顶后，便可尽情享受此时的美景。半山腰和山顶均有住宿的宾馆，不过价格略贵，建议早上早点开始登山之旅，这样也能早点下来。,8:00-16:00，15:00停止购票,https://img1.qunarzz.com/piao/fusion/1802/b6/dc44d1b7816d5d02.jpg_480x360x95_c0987d2a.jpg,4.4,建议游览时间：5小时 - 7小时,,{'圣堂山门票成人票\n\n': ['¥59起']},,1
金秀圣堂湖景区Jinxiu Shengtang Lake Ecotourism Scenic Area,http://travel.qunar.com/p-oi7469124-jinxiushengtanghujing,"

地址:
来宾市金秀县长垌乡


电话:
0772-6171333

",圣堂湖位于圣堂山风景名胜区西北面，距县城金秀镇38公里。是以老虎潭峡谷为依托打造起来的生态旅游区。旅游区以老虎潭峡谷为主轴、以平娇为中心，全长约16公里。融赏山乐水、养生度假于一身，是个使人激情与柔情共生的浪漫处所。圣堂湖是美丽的，美得令人陶醉，美得让人流连忘返，美得使人不禁拍手赞叹。满目的原生态景色，处处山清水秀峰奇。一年四季，河水缓缓的流淌，从不间断。清澈得像块水晶，碧绿得如同翡翠。春末，夏天，初秋是圣堂湖迷人的时节。清晨，太阳醒来，圣堂湖开始梳...圣堂湖位于圣堂山风景名胜区西北面，距县城金秀镇38公里。是以老虎潭峡谷为依托打造起来的生态旅游区。旅游区以老虎潭峡谷为主轴、以平娇为中心，全长约16公里。融赏山乐水、养生度假于一身，是个使人激情与柔情共生的浪漫处所。圣堂湖是美丽的，美得令人陶醉，美得让人流连忘返，美得使人不禁拍手赞叹。满目的原生态景色，处处山清水秀峰奇。一年四季，河水缓缓的流淌，从不间断。清澈得像块水晶，碧绿得如同翡翠。春末，夏天，初秋是圣堂湖迷人的时节。清晨，太阳醒来，圣堂湖开始梳妆打扮，倘若置身其间，有如在画中之感。河水悠悠，游鱼嬉戏，山林苍翠，鸟啼声声；那淡淡的晨雾也凑热闹似的，朦朦胧胧的掩映着这山这水，充满了活力。如孩童在山间逗趣，姑娘在林间扑蝶。晨风击起的朵朵水花，极像瑶家姑娘挑绣的锦缎；和风吹拂翩翩起舞的绿树，秀气中透出奇巧，奇巧中透出温柔，就像温柔的瑶家姑娘挑绣满山柔软的瑶锦，勾勒出一幅幅情趣盎然的风景画。圣堂湖生态旅游区中心---平娇，是块约24700平方米的谷地，四面群山环绕、奇峰矗立、冬暖夏凉，平均气温18℃，这里建有游客服务中心、天然泉水游泳池、水上人家、养生度假区、户外扩展运动区等设施。久居都市，来到这里，会有一种穿越时空，跨入另一方天地的感觉。这里空气极为清新，略带几分滋润，能使旅途的疲劳很快消失得无影无踪。初到这里，耳畔静得有些不习惯，因为只有习习的山风和阵阵的蜂鸣声。中心区上辟有约5公里的激情漂流河段，河床坡度不大，河道弯曲、河水萦回，两岸高处群山簇拥，低处瑶寨、梯田纵横阡陌的构成了河谷田园景观。乘坐橡皮舟漂流，山随水转，拐过一弯又一弯，两岸之山伴着水流辗转腾挪，俯昂伸屈，水摇山动，水弯山曲，水澈山跳。既有行云流水曲，又有田园恋歌调，山韵伴着水调唱，把深沉的恋歌唱给绿树、青山、蓝天、白云，逗得两岸青山、一河倒映，一路唱着舞着前行，舞出自己无比灵秀的神韵。令人意随轻风，心逐流云，激情漂流和冲击，激起青春的律动，生命欢快的乐趣。中心区西南面的红冲峡谷下半部是勇士漂流的首选去处，3600米的溪流坡降289米。山涧水流湍急多滩，高大的峭崖直插水面，两岸紧相靠拢，不即不离。四周绿树葱茏，遮天蔽日，古树古藤特别多，树缠藤、藤缠树的野趣盎然。山谷回环，使人看不见水从何处流来，也不知道流往哪里去。溪水很清很凉，水底下斑驳陆离的彩石清晰可见。奔腾不息的溪水，在跌宕起伏的峡谷中谱写出一支支清脆悦耳，又看得见摸得着的清溪流韵，还有一道道急滩和一个个水潭。乘橡皮舟沿山溪漂流而下，可饱览山水自然美色，也可深深体验到急水行舟的险象。然而整个勇士漂流有惊无险，只有巨大的魅力和刺激令人叹服而已。勇士漂流是当今世界上的热门旅游活动，来吧，朋友。让我们乘着橡皮舟，在上下抛跌、左右猛拐、狂呼大笑、全身湿透的勇士漂流中去体验惊险和刺激吧！中心区的下游是2005年建成的下六甲电站水库静水区，该库区正常水位297.5米，相应库容320万立方米，正常蓄水位水面面积0.96平方公里。整个库区水面宽阔，水质纯净、水流平缓、水光潋滟，水色澄碧。四周奇峰矗立，怪石嶙峋、绿树掩映、古藤悬空，一派湖光隘峡秀水深谷的美景。蔚蓝的天幕笼罩在峡谷中，撒下一团团明晃晃的白光，形成一条狭长的银河，银河两边仍然是碧水，奇峰倒影参差错落，历历在目。银河碧水，既秋毫无犯，又交相辉映，为圣堂湖增添了无限神韵。所以在这里开辟了游程8公里的平湖静水休闲游。随着游艇缓缓前行，不但“将军岩”、“宝塔峰”、“众亲迎宾”、“八仙拜寿”、“猴王会客”等等奇景尽收眼底，而且还能领略到艇移景换的奇妙。湖水更是波澜不惊，纤尘不染，天空中没有尘烟侵扰，水面上没有都市的喧闹，只有游艇发动机“突突”的轰鸣和游客们“哈哈”的欢笑声，衬托着四周的空旷阒寂和圣堂湖的温柔娴静，令人深深的感悟到“蝉噪林逾静，鸟鸣山更幽”的深邃意境。偶有山风拂过，把一峡清水吹皱，我们才感觉到她血脉的流淌和心脏的跳动。,9:00-17:00；里面各项目游玩时间详见景区公示。,https://img1.qunarzz.com/piao/fusion/1908/d6/5e4efd3367c05102.jpg_480x360x95_56c119ee.jpg,3.8,建议游览时间：3小时 - 4小时,,"{'金秀圣堂湖生态旅游景区游船票成人票\n\n': ['¥168起'], '金秀圣堂湖生态旅游景区电子导览服务大小同价\n\n': ['¥9起'], '来宾金秀天健滑翔伞俱乐部【专业教练一带一滑翔伞飞行体验/赠送视频摄像】\n\n': ['¥100起']}",,1
忻城土司衙署Xincheng Tusi Government Office,http://travel.qunar.com/p-oi703670-xinchengtusiyashu,"

地址:
忻城县城关镇西宁街翠屏山北麓


电话:
0772-5512606

",莫土司衙署，位于广西来宾市忻城县翠屏山麓，始建于明万历10年（1582年），由忻城第八任土司莫镇威完成衙署主体建筑，后经历任土司先后拓建附属建筑，形成了规模宏大的土司衙署建筑群，主要由土司衙门、莫氏祠堂、土司官邸、大夫第、三界庙等主要建筑组成，总面积38.9万平方米，其中建筑占地面积4万平方米，是全国现存规模较大、保存较为完好的土司建筑群。,8:00-18:00，17:10停止入场。,https://img1.qunarzz.com/travel/d9/1610/de/2919b288f1c69cb5.jpg_480x360x95_8e59ab27.jpg,3.7,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
百崖大峡谷Baiya Grand Canyon,http://travel.qunar.com/p-oi709473-baiyadaxiagu,"

地址:
来宾市武宣县东乡镇百崖大峡谷


电话:
0772-5213233

",百崖大峡谷位于广西省来宾市武宣县东乡镇境内。属于典型的丹霞地貌，总面积13.66平方公里。峡谷峰峦险峻，清溪百折，飞瀑壮观。主峡谷全长10公里，有37道弯，10多处瀑布，7处深潭，还有数以百计的侧谷。景区内林木葱郁，怪石嵯峨，古藤悬吊，清溪流泻，水质属不含任何杂物的淡泉水。原始森林内，有蜥蜴、猿猴、娃娃鱼和蓝色石龙子等珍稀动物以及桫椤、红椎、白椎、香花木、观光木等各种名贵树种。,全年 8:00-19:00,https://img1.qunarzz.com/piao/fusion/2110/2f/60019c1a461a2402.jpg_480x360x95_05525370.jpg,4.4,建议游览时间：3小时 - 4小时,,30元,,1
莲花山,http://travel.qunar.com/p-oi702030-lianhuashan,,,,,,,,,,1
合山怀集风景区,http://travel.qunar.com/p-oi711421-heshanhuaijifengjingqu,,位于合山市河里乡怀集村。国道322线从库区东侧穿过，距离合山市区20公里，是山水型自然风景区.水库库区面积约1000亩，水面弯延狭长，三面青山环抱，南面红水河奔腾而过，景色壮观。库区中部有一个面积约10多亩的小岛，岛上常有野兔、野鸭出没，给水库增添了几分野趣。水库两边各有一个面积约100亩的半岛伸出隔水相望，被当地人形象地称为情人岛。怀集水库晴天水光潋滟，雨天山色空朦，无论春夏秋冬，总是一幅碧水青山的美景。,,,5.0,,,,,1
银杉公园,http://travel.qunar.com/p-oi708806-yinshangongyuan,"

地址:
广西来宾金秀县城东北面16公里处的土县山原始森林中

",,7:30—17:30,https://img1.qunarzz.com/p/tts1/1712/39/026bff4716668b02.jpg_480x360x95_93baf9f0.jpg,4.0,,,25元,,1
罗汉山,http://travel.qunar.com/p-oi706724-luohanshan,"

地址:
广西来宾市金秀县河马乡境内

",罗汉山风景旅游区位于金秀县城西部，介于金秀河与平道河之间，距县城10公里。此山海拔1335米，面积约10平方公里，山上群峰林立、云封雾锁。远看峰浮云海、气势磅礴，近看怪石凌空、鬼斧神工，如猛虎下山、万马奔腾，山峰青松挺拔，大小高低对比强烈，迎客青松造型美观，从东至西满山遍野，万顷松林咆哮翻腾，蔚为壮观。从罗汉山风景旅游区山顶至山脚，杜鹃遍布，细流涓涓，鸟叫虫鸣，汇成一部巨大的交响乐曲；往北鸟瞰，梯田层层，水车滚滚，掩映在林海中的高山瑶寨炊烟袅袅，歌声阵...罗汉山风景旅游区位于金秀县城西部，介于金秀河与平道河之间，距县城10公里。此山海拔1335米，面积约10平方公里，山上群峰林立、云封雾锁。远看峰浮云海、气势磅礴，近看怪石凌空、鬼斧神工，如猛虎下山、万马奔腾，山峰青松挺拔，大小高低对比强烈，迎客青松造型美观，从东至西满山遍野，万顷松林咆哮翻腾，蔚为壮观。从罗汉山风景旅游区山顶至山脚，杜鹃遍布，细流涓涓，鸟叫虫鸣，汇成一部巨大的交响乐曲；往北鸟瞰，梯田层层，水车滚滚，掩映在林海中的高山瑶寨炊烟袅袅，歌声阵阵，鼓锣喧天，好一派高山瑶寨的迷人风光，让人如迷如醉，留连忘返。,全天,,--,,,30元,,1
花王山庄,http://travel.qunar.com/p-oi710935-huawangshanzhuang,"

地址:
广西来宾市金秀县花王山庄

",国家森林公园、国家级自然保护区，花王山庄旅游景区坐落在金秀河口峡谷中部，距县城14公里，在根本至锦县城的二级公路旁，与莲舢、梦材民俗村连成一片，构成自然风光游，瑶族风情和食宿娱乐为一体的旅游接待服务设施。 花王山庄，四同群山环抱，树木葱茏，清清的金秀河静静地从庄前流过，两岸均为类丹霞地貌，丹峰、碧水、绿树，山哪映生辉。潭水静若明镜，清澈见底，游鱼成群，鳞光闪闪，山光水色叠丽，丹青难描。花王山庄现建有供游客住宿的标间客房40间，床位80张，日可接待游客200...国家森林公园、国家级自然保护区，花王山庄旅游景区坐落在金秀河口峡谷中部，距县城14公里，在根本至锦县城的二级公路旁，与莲舢、梦材民俗村连成一片，构成自然风光游，瑶族风情和食宿娱乐为一体的旅游接待服务设施。 花王山庄，四同群山环抱，树木葱茏，清清的金秀河静静地从庄前流过，两岸均为类丹霞地貌，丹峰、碧水、绿树，山哪映生辉。潭水静若明镜，清澈见底，游鱼成群，鳞光闪闪，山光水色叠丽，丹青难描。花王山庄现建有供游客住宿的标间客房40间，床位80张，日可接待游客200人，有停车场500平方米，表演场200平方米。花王山庄环境优雅，建筑依山而筑，绿树环绕，风格古朴典雅，别具民族特色。,9:00-17:00,,--,,,5元,,1
罗秀镇大林村,http://travel.qunar.com/p-oi39608685-luoxiuzhendalincun,,,,,0.0,,,,,1
