名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
西湖West Lake,http://travel.qunar.com/p-oi708952-xihu,"

地址:
杭州市西湖风景名胜区


电话:
0571-87977767,0571-87179617

",西湖无疑是杭州之美的代表，很有名的“西湖十景”环绕湖边，自然与人文相互映衬，组成了杭州旅行的核心地带。你不必执着于走遍每个景点，倒可以花上半天或一天在湖边徜徉一番，无论怎么玩，都让人心情舒畅。西湖概览游玩西湖可以步行、坐游船、乘电瓶车，也可以自驾或者骑行。其中，电瓶车是方便省力的，环西湖有招手即停的游览车，线路正好绕西湖一圈；沿湖骑行浪漫又悠闲，西湖沿岸有不少租借公共自行车的点；若想坐船游览，湖边有近10个码头，有各种不同的船和线路，比较推荐乘船去湖中心的三潭印月，顺便在船上饱览西湖景色。或者在湖边招揽一艘手划船，由船夫划船带你游湖，更自由一些。北线风光西湖北岸集中了不少景点，通常从东北角的断桥残雪出发往西一路逛到岳王庙。你可以沿着白堤一路走到孤山，看西泠印社、浙江省博物馆、中国印学博物馆、放鹤亭等人文景点，在楼外楼吃地道的西湖醋鱼，从西泠桥下岛，不远便是岳王庙和曲院风荷。如果是日晒强烈的夏天，则推荐顺着北山路走走，躲在浓密的树荫下看对面白堤上断桥的曲线和摇曳的垂柳，沿路有不少入口通往宝石山，可以去爬山看景，下山也就到了岳王庙。岳王广场上有不少小店可以吃东西，晚上这里的印象西湖演出也很值得一看。如果时间、精力充沛，还可以从这里上苏堤，步行赏西湖全景。东南沿岸（湖滨-南山路）另一个景点集中的区域是东南沿岸的湖滨路-南山路，湖滨路在杭州市区和西湖景区的交接处，可以看西湖景色，也有码头可坐西湖游船，还有标志性的音乐喷泉。湖滨路的好处是能很快从景区到达市中心的商圈，适合行程比较匆忙的游人短时停留。由湖滨路往南，沿着南山路走，沿路可游玩柳浪闻莺、长桥、雷峰塔、南屏晚钟、花港观鱼等景点，相邻景点之间的距离都不算远，可以步行，游览车、公交车也很方便，可安排一天按照喜好挑选几个来游玩。其中，雷峰塔、南屏晚钟可以安排在傍晚，净慈寺里听钟、雷峰塔上俯瞰西湖夜景都是很赞的体验。,全天开放,https://tr-osdcp.qunarzz.com/tr-osd-vs-dapp-ugc/img/fcd3912ee11cdef30da450977f644b7e.jpg_480x360x95_82dda797.jpg,4.7,建议游览时间：12小时 - 3天,3-5月、9-11月。3-5月是最适合漫步苏堤踏青赏花；9-11月秋高气爽，满陇桂雨的桂花飘香十里，。不推荐盛夏季节，超过30℃的高温炙烤下，会减少游玩的兴致。,"{'岳王庙景区门票成人票\n\n': ['¥25起'], '岳王庙景区门票优待票\n\n': ['¥12.5起'], '胡雪岩故居门票成人票\n\n': ['¥20起']}",自行车游西湖贴士骑自行车逛西湖浪漫、悠闲、又随意，一路感受西湖湖光山色的韵味，呼吸大自然的芬芳气息，不经意中还锻炼了身体。为方便旅游者，环西湖设立了多个租赁网点。西湖游船贴士1、上岛游船票中已包括游小瀛洲、湖心亭两岛的门票，并免费送您返回湖岸。45元/人。2、“荃桡”号龙舟气宇轩昂，精雕细琢，西湖中顶级游船。宜作商务洽谈等活动。协商价，一小时起租。3、“兰栧”号宽敞的船体尽显大家气度，团队活动，婚庆欢聚，大小得益。80座/2400元/小时，一小时起租。4、50座画舫南宋风格的画舫，最宜同窗好友品茗叙旧。1250/小时，一小时起租。5、“宝石”号豪华气派，舒适宽敞，有湖上流动别墅之美誉，可作会议包船。100座/3000元/小时，一小时起租。6、休闲船（40、60座）从传统富家官船中演变而来的新型休闲船。座位舒适，视野开阔。40座，1000元/小时；60座，1500元/小时；一小时起租。7、自开船（4座、6座）（充满浪漫气氛，最宜情侣乘坐。4座/40元/小时；6座/50元/小时；一小时起租。8、自划船最宜组织比赛和交友活动船口。5座100/小时；二小时起租。9、6座手划船具有传统乡土文化的仿明清样式手划。80元/小时；一小时起租。,1
千岛湖景区Thousand Island Lake,http://travel.qunar.com/p-oi702129-qiandaohujingqu,"

地址:
杭州市淳安县千岛湖镇梦姑路348号千岛湖中心湖区游船码头


电话:
400-8811-988


官网:
http://www.qiandaohu.cc/

",千岛湖更准确地讲是新安江水库，位于杭州淳安县，是新安江大坝截流后形成的人工湖。这里湖水清澈，湖面上岛屿星罗棋布，是江浙度假休闲的热门选择。千岛湖周边有十几处漂流点，夏日消暑不可错过。千岛湖看点游玩千岛湖主要是坐游船登岛游览，景区按照游船线路为中心湖区、东南湖区，有固定的线路和岛屿景点，不仅湖上风光秀美，湖中每个岛的景致都各有特色。西南湖区则有龙川湾、芹川村，可以观赏湿地、古村风光。中心湖区和东南湖区是游览的重点，二者都紧靠着千岛湖镇，中心湖区包括梅峰岛、渔乐岛、月光岛、龙山岛等，其中梅峰岛是登高揽胜的地点；月光岛是爱情主题，适合情侣；看人文景观龙山岛上的海瑞祠可以满足你。东南湖区包括黄山尖、天池岛、桂花岛，黄山尖景色较好，在山顶可以俯瞰众多岛屿天然排成“天下为公”四个字，来到这里不妨找找看。桂花岛适合带小朋友去玩，岛上的猴子都是散养的，很可爱。骑行与漂流除了观光景点，千岛湖也是个特别适合骑行的地方，环湖公路边有自行车道，在一些星级酒店和镇里的咨询点可以租车，有适合情侣、家人的双人、三人自行车，悠然地吹风看景，别有一番乐趣。此外，千岛湖北面聚集了多处漂流地，而且大多数是比较刺激的皮筏漂流，适合年轻人前往。,全天开放；其中景区内各景点开放时间详见景区现场公示。,https://tr-osdcp.qunarzz.com/tr-osd-vs-dapp-ugc/img/c36847be1fc7981695fe4564a6fa7f14.jpg_480x360x95_e40032d7.jpg,4.4,建议游览时间：3天 - 6天,浙江千岛湖属亚热带季风气候区，冬季晴冷干燥，低温少雨；夏季高温湿热。由于森林覆盖率高，以及千岛湖水面的调节作用，故气候温暖湿润，一年四季分明。 春季的千岛湖草长莺飞、花红柳绿，夏季的千岛湖热度不减但更加翠绿欲滴，秋季的千岛湖有蓝蓝的天、绿绿的水、红红的叶、甜甜的果，冬天的千岛湖静谧平和。千岛湖的雨季在6月至7月上旬，7月中旬到8月下旬是伏旱季节，天气较热。最佳游览季节是9月-11月，秋高气爽，阳光明媚。冬季景区风光略显平淡冷清，但湖水此时最纯净，另外，交通、住宿在这个时间也是费用最低的，在景区内会感觉宁静、清新。,"{'千岛湖中心湖区门票+游船票成人票\n\n': ['¥55起'], '千岛湖中心湖区门票+游船票儿童票\n\n': ['¥35起'], '千岛湖中心湖区门票+游船票优待票\n\n': ['¥55起']}",1、行前最好准备好阳伞、遮阳帽和遮阳镜，一些岛屿的主峰上的阳光很强烈。2、千岛湖4-5月雨比较多，切记带好雨具。3、不要相信黑导游，他们说是不用买门票，但上船后所去的地方往往不是主要风景区。4、最好不要在旅游船上吃当地的有机鱼头，可以在市区的餐馆吃。旅游船上的价格和制作都差强人意。5、在猴岛喂食时，不要挑逗或用手去喂，抛在地上即可，猴子可能会伤人。6、千岛湖漂流的时期为每年的4月至10月，出发时，最好携带一套干净的衣服，以备下船时更换，同时最好携带一双塑料拖鞋，以备在船上穿; 漂流过程一定要按照景点所执行的规则进行，若遇翻船，您完全不用慌张，要沉着，因为您穿有救生衣。中心湖区游船艇运行模式1．游船：豪华游船65元/人，儿童票35元/人（仅限身高1.2米-1.5米）。（一）淡季游船运行模式[11月1日至次年3月底]（1）售票时间：8：00-9：00梅峰岛、渔乐岛、月光岛（2）售票时间：9：30-10：30月光岛、渔乐岛、梅峰岛（3）售票时间：12：00-13：00梅峰岛、龙山岛（二）旺季游船运行模式[4月1日至10月底]（1）售票时间：07：30-9：00梅峰岛、渔乐岛、月光岛（2）售票时间：10：00-11：00月光岛、渔乐岛、梅峰岛（3）售票时间：12：00-13：00梅峰岛、龙山岛、月光岛（4）售票时间：13：20-14：00龙山岛、月光岛咨询电话：0571-64816244。2．包游艇豪华游艇：150元/人休闲游艇：2500元/趟注：包豪华艇以6（含）人为基数，超过基数按实际人数计价。3．包船豪华游船1950元/艘起， 以30（含）人为基数。注：（1）超过基数每增加一人加收65元/人；（2）黄金周和旺季双休日原则上不包船；东南湖区游船艇运行模式 1．游船：豪华游船65元/人，儿童票35元/人（仅限身高1.2米-1.5米）。（一）淡季游船运行模式[11月1日至次年3月底]（1）售票时间：08:00-09:00桂花岛、天池岛、黄山尖 （2）售票时间：09:30-10:30天池岛、蜜山岛、黄山尖（3）售票时间：12:00-13:00黄山尖、天池岛（二）旺季游船运行模式[4月1日至10月底]（1）售票时间：08:00-09:00桂花岛、天池岛、黄山尖 （2）售票时间：09:00-10:00黄山尖、天池岛、蜜山岛（3）售票时间：10:00-11:00天池岛、蜜山岛、黄山尖（4）售票时间：12:00-13:00黄山尖、天池岛咨询电话：0571-64881959。 2．包游艇：豪华游艇：150元/人注：包豪华艇以6（含）人为基数，超过基数按实际人数计价。,1
杭州宋城Hangzhou Songcheng Park,http://travel.qunar.com/p-oi706138-hangzhousongcheng,"

地址:
杭州市西湖区之江路148号


电话:
0571-87313101

","杭州宋城是一个穿越古今、颠覆想象的景区以独特的魅力吸引了海内外1亿游客。
景区内东街、西街、北街、市井街、虹桥、风花巷，街衢纵横，—派繁华的宋韵景象。
国风、古风扑面而来，
朋克街、宋城门、天空树、时光树、相思树、云梯漫步演艺广场等一步一景。
穿越时空，泛舟宋河上，人在画中游，体验浓郁的江南韵味
全家共享天伦的亲子乐园亲子秀《WA!恐龙》感受艺术启蒙
精灵谷，空中探险，挑战胆识，释放天性
 鳞次栉比的作坊，寻找儿时的记忆。
",全年 周一-周五 10:00-21:10;全年 周六-周日 09:30-21:10,https://img1.qunarzz.com/travel/d1/1705/73/356dec6455f003b5.jpg_480x360x95_23c1d219.jpg,4.6,建议游览时间：3天,4月、5月、7月、8月、9月、10月四季皆宜。,"{'杭州宋城+宋城千古情演出票成人票\n\n': ['¥580起'], '杭州宋城+宋城千古情演出票学生票\n\n': ['¥200起'], '杭州宋城+宋城千古情演出票亲子票(1大1小)\n\n': ['¥520起']}","杭州宋城千古情主题酒店（西湖店）杭州宋城千古情主题酒店（西湖店）毗邻杭州宋城景区，是杭城大型旅游度假酒店，距离西湖仅7公里。酒店大堂、过道、房间都笼罩在浓浓的文化氛围之中，住杭州宋城千古情主题酒店，看千古情已经成为了一种时尚的生活方式……杭州宋城千古情主题酒店（西湖店）延续宋城""建筑为形，文化为魂""的理念，酒店客房共1079间，由三栋楼组成:以藏族文化为主题的九寨千古情主题酒店、以丽江文化为主题的丽江千古情主题酒店、以滨海文化为主题的三亚千古情主题酒店。其中以九寨千古情主题酒店为主，客房达617间；三亚千古情主题酒店计客房132间，丽江千古情主题酒店客房330间。杭州宋城千古情主题酒店（西湖店）提供藏式欢迎仪式献哈达、藏式欢迎茶、藏茶品鉴、卡通明星见面会、宝贝成长俱乐部、陶艺课面具彩绘、捏雕绘脸体验、藏式烤全羊盛宴、假面歌星、面具锅庄狂欢趴等不可错过的酒店体验活动，全方面提供宾客互动体验，丰富宾客度假时光。联系地址:浙江省杭州市西湖区之江路148号",1
灵隐寺Lingyin Temple,http://travel.qunar.com/p-oi710142-lingyinsi,"

地址:
杭州市西湖区灵隐路法云弄1号


电话:
0571-87968665


官网:
http://www.lingyinsi.org/

",灵隐寺又称“云林寺”，坐落于西湖西面的灵隐山麓。寺内环境清幽，是杭州最早的名刹，留存着各朝代众多精美文物。这里是济公的出家地，据说求愿很灵验，每天来礼佛祈福的香客络绎不绝。一千七百年的风雨，使灵隐寺成为历史与文化的宝库：天王殿上悬“云林禅寺”匾额，为清康熙帝所题；大雄宝殿前的石塔、天王殿前的石经幢均是五代十国吴越时的遗物；寺内珍藏的佛教文物有古代贝叶写经、东魏镏金佛像、明董其昌写本《金刚经》、清雍正木刻龙藏等珍贵宝物。灵隐寺还是“济公”道济和尚出家的寺庙，在道济禅师殿中供奉的一尊右手拿破扇、左手持念珠、右脚搁在酒缸上的佛像便是济公像。灵隐寺背靠北高峰、面朝飞来峰，飞来峰虽然山不高，但山上有许多奇幻多变的洞壑，更遍布着五代以来的佛教石窟造像多达三百四十余尊，是我国江南少见的古代石窟艺术瑰宝。寺庙常年香火旺盛，特别是在初一、十五或者佛教盛日，善男信女从四面八方而来，更是人山人海。,全年 07:00-18:15,https://img1.qunarzz.com/travel/d1/1512/eb/a987c4139e1a30f7.jpg_480x360x95_736b1541.jpg,4.7,建议游览时间：1小时 - 2小时,四季皆宜。,"{'飞来峰门票（不含灵隐寺）票成人票\n\n': ['¥40起'], '飞来峰门票（不含灵隐寺）票优待票\n\n': ['¥22.5起'], '灵隐寺手机智能定位导览讲解服务大小同价\n\n': ['¥0.1起']}",游灵隐，看飞来峰，可别忘了：山外有山，天外有天。在领略佛教文化之后，你可以到合涧桥畔著名的“天外天”菜馆重食人间烟火。,1
西溪国家湿地公园Xixi National Wetland Park,http://travel.qunar.com/p-oi705578-xixiguojiashidigongyuan,"

地址:
杭州市西湖区天目山路518号（周家村入口）或者杭州市余杭区五常街道五常大道（龙舌嘴主出入口）


电话:
0571-88106688,0571-88106696


官网:
http://www.xixiwetland.com.cn/

",西溪国家湿地公园位于杭州城市西部，离杭州主城区武林门只有6公里，距西湖仅5公里。西溪起始于汉晋，发展于唐宋，兴盛于明清，衰落于民国，再兴于当代。杭州历史上曾有“西湖、西溪、西泠”并称“三西”之说。历史上的西溪占地约60平方公里，现实施保护的西溪湿地总面积约为11.5平方公里。有“秋芦飞雪、高庄宸迹、渔村烟雨、河渚听曲、龙舟胜会、曲水寻梅、火柿映波、莲滩鹭影、洪园余韵、蒹葭泛月”等十景，“福堤、绿堤、寿堤”三堤。西溪是国内唯一的集城市湿地、农耕湿地、文化湿地于一体的罕见湿地，也是全国首个国家湿地公园。西溪湿地蕴涵了“梵、隐、俗、闲、野”五大主题文化要素，分区特征为“南隐、北俗、东闹、西静”。西溪文化的精髓是“一园五地”：洪园、越剧首演地、词人圣地、水浒孕育地、文人逍遥地、民俗浓缩地。西溪有梅林300亩，种植有江梅、宫粉、朱砂、绿萼、玉蝶、美人梅等多个品种。西溪赏梅的最佳地点在梅竹休闲区，梅竹山庄和西溪梅墅最为集中，从周家村到高庄的梅堤沿线也种植了不少梅花。从11、12月至次年3月，都陆续有不同品种的梅花开放。“曲水寻梅，摇舟探梅”是西溪特有的赏梅方式,10/8-3/31 08:00-17:30;4/1-10/7 07:30-18:30,https://img1.qunarzz.com/travel/d6/1809/ce/d21dd47e571d4db5.jpg_480x360x95_9b4b1ada.jpg,4.6,建议游览时间：5小时 - 6小时,春秋最佳。春秋适宜泛舟，自然风光秀丽。,"{'西溪空中揽胜氦气球门票成人票\n\n': ['¥160起'], '西溪空中揽胜氦气球门票儿童票\n\n': ['¥90起'], '西溪空中揽胜氦气球门票亲子票(1大1小)\n\n': ['¥199起']}",西溪国家湿地公园有“三堤十景”，三堤分别是福堤、绿堤、寿堤，十景分别是秋芦飞雪、火柿映波、龙舟胜会、莲滩鹭影、洪园余韵、蒹葭泛月、渔村烟雨、曲水寻梅、高庄晨迹、河渚听曲。,1
清河坊街Qinghefang Street,http://travel.qunar.com/p-oi714820-qinghefangjie,,,,,,,,,,1
云栖竹径Yunqi Bamboo Trail,http://travel.qunar.com/p-oi720741-yunqizhujing,"

地址:
杭州市五云山南麓的云栖坞里


电话:
0571-87977767

",云栖竹径地处西湖风景区西南处的五云山南麓，是一座山坞里的公园，拥有美丽的竹海，是避世静心的所在。相传古时有五色彩云飞集坞中，因而得名。这里以清凉幽静著称，盛夏到此旅游，更能领略其绿郁、清凉、寂静、幽雅之感。走进景区，一条长长的小道蜿蜒纵深，两旁茂密的修竹将道路包围，潺潺清溪依径而下，当你走着翠竹成荫的石径，光透过竹叶洒在路上，金色斑斑，几声鸟语，更显山色清幽。景区内不仅有云栖古寺，还有回雁峰、宝刀陇、壁观峰等景点，以及需三人才能合抱的千年枫香古树。这里还是电影《卧虎藏龙》的取景地。云栖竹径入口有碑亭一座，上有“云栖竹径”四字。竹径中央的青石板与两旁的卵石之间用黑砖相隔，相传清代康熙、乾隆二帝都曾来过云栖，当时以中央为御道，供康熙，乾隆行走。小径旁有洗心、三聚、回龙、悦性、皇竹、遇雨等凉亭。竹径尽头古树成行，有亭可憩，有茶室可小坐品茗。,仅供参考，请以景区具体开放时间为准。,https://img1.qunarzz.com/travel/d2/1610/f4/09f09bd3e87bc2b5.jpg_480x360x95_291ab25f.jpg,4.6,建议游览时间：1小时 - 2小时,夏季最佳。,"{'云栖竹径公园门票成人票\n\n': ['¥8起'], '云栖竹径公园门票优待票\n\n': ['¥4起'], '云栖竹径导览服务成人票\n\n': ['¥7起']}",,1
杭州樱花园Hangzhou Cherry Blossom Garden,http://travel.qunar.com/p-oi9721658-hangzhouyinghuayuan,"

地址:
杭州市余杭区瓶窑镇塘埠村西坞路边仪门岭


电话:
0571-86238835,

",杭州樱花园是樱花欣赏基地，占地600亩，在大大小小的6座山上生长着27个品种、近6万株樱花，其中又以松月、吉野两种日本樱花为主，占到了樱花总数的一半以上。这里的樱花早、中、晚樱都有，花期长达45天，其中还有高价引进的稀有品种，日本樱花更是主打的，而且还有一条长达10公里的樱花大道。,2/1-9/30 09:00-17:00,https://img1.qunarzz.com/travel/d9/1809/b7/78affe873163ddb5.jpg_480x360x95_9258fb6d.jpg,3.4,建议游览时间：2小时 - 3小时,,"{'杭州樱花园门票成人票\n\n': ['¥50起'], '杭州樱花园门票儿童票\n\n': ['¥28起']}",,1
南宋御街Southern Song Imperial Street,http://travel.qunar.com/p-oi3742045-nansongyujie,"

地址:
杭州市上城区中山中路193号西湖大道与惠民路中间

",南宋御街与河坊街相交，原来是南宋临安城的中轴线，后来由建筑师王澍设计改建，修缮了原本的老房子，加入了流水景观，使它成了今天热闹而古朴的商业街。鼓楼至西湖大道一段，是南宋御街的主要游览区域。虽然不少连锁店在这条老街上入驻，这里仍保留了不少本地特色的老店铺，比如万隆火腿庄、羊汤饭店等。南宋御街博物馆、晓风书屋、杭州较大的清真寺凤凰寺和凤凰寺清真饭馆，也在南宋御街上。,全天开放,https://img1.qunarzz.com/travel/d6/1707/61/d568b3a5f8333db5.jpg_480x360x95_7ca2de91.jpg,4.5,建议游览时间：2小时 - 3小时,,"{'城隍阁景区门票成人票\n\n': ['¥30起'], '城隍阁景区门票优待票\n\n': ['¥15起'], '雷峰塔门票成人票\n\n': ['¥40起']}",,1
雷峰塔Leifeng Tower,http://travel.qunar.com/p-oi708604-leifengta,"

地址:
杭州市西湖区南山路15号


电话:
0571-87982111


官网:
http://jing.leifengta.com/

",雷峰塔又名“黄妃塔”，位于西湖南岸夕照山的雷峰上。很多人的“雷峰塔情结”源于白娘子传说，尽管旧塔在1924年就倒掉了，如今这座是在原塔基上新修的，里面有电梯和空调，但并不妨碍你来此寻访白娘子的踪迹。景区看点雷峰塔本身是整个景区一大看点，新修的雷峰塔更像一个博物馆，从底座往上共有5层。检票后先乘坐电梯（当然也可爬旁边的楼梯）到塔基遗址，这里可以看到被玻璃围起来的旧塔的残破底座，里面满地都是零钱，也算是雷峰塔一景。这一层还有一些地宫出土的文物展，以一座阿育王塔甚是精美。再往上，来到塔的底层，这一层展出的是大型东阳木雕壁画《白蛇传》，非常细致。从这里继续往上才开始正式登塔，里面有步行的楼梯，也有手扶电梯，大多数时候都需要排队。登塔赏西湖全景塔里每层楼都展示着一些诗文、壁画，但大多数人登塔是为了看景。雷峰塔高处的视野很好，不仅可以看西湖全景，还可以俯瞰对面净慈寺的全貌。尤其是晚上，西湖沿岸的灯光勾勒出整个西湖的轮廓，景色醉人。其它景观除了雷峰塔之外，景区内还有夕照亭、妙音台、放生池等小景点。其中，塔前的放生池里有一块巨大的假山石，挂满了被放生的旱龟；佛舍利馆里可看到佛螺髻发舍利。,11/1-3/15 08:00-17:30;3/16-4/30 08:00-19:00;5/1-10/31 08:00-20:00,https://img1.qunarzz.com/travel/d2/1503/f6/fc53c7649357f9.jpg_480x360x95_3ac4bd5c.jpg,4.5,建议游览时间：1小时 - 2小时,,"{'雷峰塔门票成人票\n\n': ['¥40起'], '雷峰塔门票儿童票\n\n': ['¥20起'], '雷峰塔门票学生票\n\n': ['¥20起']}",,1
