名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
查干湖Chagan Lake,http://travel.qunar.com/p-oi701903-chaganhu,"

地址:
松原市前郭尔罗斯蒙古族自治县查干湖景区


电话:
0438-2990015

",查干湖在蒙语中叫“查干淖尔”，意为白色圣洁的湖，距松原市区约41.3公里。位于全国十大淡水湖之一的查干湖南北长37公里，东西宽17公里，水域总面积约420平方公里，蓄水量约7亿立方米，是吉林省的内陆湖泊和省级自然保护区，也是吉林省的渔业生产基地、苇业生产基地和天然旅游胜地。“塞北圣湖，昔日帝王猎巡地；关东新府，今朝生态鱼米乡”。查干湖自然资源十分丰富，盛产鲤鱼、鲢鱼、鲫鱼等15科68种鱼类，年产鲜鱼5000多吨。其中“查干湖胖头鱼”经国家绿色食品认证中心认证为AA级绿色食品，远销海内外。查干湖四季分明的地理位置，水草肥美的自然资源，为野生、水生动物提供了良好的生存环境，使查干湖又成为野生动物的天堂、鸟类的乐园。在湖畔草原和湖中小岛有狐、兔、獾等野生动物20多种，有野鸭、天鹅、大雁、丹顶鹤等珍稀鸟类80多种，野生动物种类之多，密度之大，是省内外许多旅游景区都无法比拟的。,全年 全天开放,https://img1.qunarzz.com/travel/d5/1504/7e/f62d3925e14755.jpg_480x360x95_402c6f81.jpg,4.7,建议游览时间：1小时 - 3小时,查干湖的旅游旺季是冬季和夏秋两季。查干湖的冬捕是世界独有的，许多国内外人士都慕名而来。夏季水草丰美，烟波浩淼。秋天雁鸭栖息、蒲苇轻拂鱼戏浪，又是不一样的景色。,"{'查干湖门票成人票\n\n': ['¥90起'], '查干湖自然保护区基地跳伞+手持摄像套餐大小同价\n\n': ['¥3980起'], '查干湖自然保护区基地跳伞(祼跳)体验体验大小同价\n\n': ['¥2980起']}",,1
长山明珠园Mingzhuyuan,http://travel.qunar.com/p-oi722637-zhangshanmingzhuyuan,"

地址:
松原市前郭县长山镇境内长山热电厂东侧

",长山明珠园是由长山热电厂出资始建于1988年，原名水上公园，为了充分发挥地理环境优势，加快开发旅游业，2001年长山热电厂出资再次对其进行了全面改造，并更名为明珠园，由长山热电厂明珠实业公司进行管理，现在的明珠园占地面积达2.2平方公里，其中水面1.4平方公里，绿化面积超过1万平方米。公园内设置了16个功能区，涵盖了历史教育，野外生存，餐饮服务，园林景观，现代游艺，荷花观赏，植物观赏，游船垂钓，冬季运动等。整个明珠园既富现代文明气息，又具备苏州园林的典雅，突出了休闲、娱乐、教育、健身、实践的宗旨。,全年 8:00-18:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/b5a73e563beec8c06a0ef0e8daf485fc.jpg_480x360x95_f6990005.jpg,4.2,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
雷劈山,http://travel.qunar.com/p-oi39597108-leipishan,,,,,0.0,,,,,1
稻语花乡公园,http://travel.qunar.com/p-oi39172932-daoyuhuaxianggongyuan,,,,,--,,,,,1
江北儿童公园,http://travel.qunar.com/p-oi39156577-jiangbeiertonggongyuan,,,,,--,,,,,1
龙华文化园,http://travel.qunar.com/p-oi38622721-longhuawenhuayuan,,,,,--,,,具体收费情况以现场公示为主,,1
奥林匹克文化公园,http://travel.qunar.com/p-oi38604881-aolinpikewenhuagongyuan,,,,,0.0,,,具体收费情况以现场公示为主,,1
静湖公园,http://travel.qunar.com/p-oi38340884-jinghugongyuan,,,,,--,,,具体收费情况以现场公示为主,,1
江北江滨公园,http://travel.qunar.com/p-oi38336883-jiangbeijiangbingongyuan,,,,,--,,,具体收费情况以现场公示为主,,1
中山公园,http://travel.qunar.com/p-oi38336686-zhongshangongyuan,,,,,--,,,具体收费情况以现场公示为主,,1
妙因寺,http://travel.qunar.com/p-oi38336456-miaoyinsi,,,,,0.0,,,具体收费情况以现场公示为主,,2
儿童公园,http://travel.qunar.com/p-oi38336400-ertonggongyuan,,,,,0.0,,,具体收费情况以现场公示为主,,2
圣水湖,http://travel.qunar.com/p-oi38334850-shengshuihu,,,,,--,,,具体收费情况以现场公示为主,,2
泥林国家地质公园,http://travel.qunar.com/p-oi38018223-nilinguojiadizhigongyuan,,,,,--,,,具体收费情况以现场公示为主,,2
地字良种场,http://travel.qunar.com/p-oi35678233-diziliangzhongchang,,,,,--,,,具体收费情况以现场公示为主,,2
"大布苏菜园Caiyuan Village, Dabusu Town",http://travel.qunar.com/p-oi35677154-dabusucaiyuan,,,,,--,,,具体收费情况以现场公示为主,,2
达日哈都Darihadu Village,http://travel.qunar.com/p-oi35677106-darihadou,,,,,--,,,具体收费情况以现场公示为主,,2
深井子畜牧场小点,http://travel.qunar.com/p-oi35559684-shenjingzichumuchangxiao,,,,,--,,,具体收费情况以现场公示为主,,2
