名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
雅鲁藏布大峡谷Yarlung Zangbo Grand Canyon,http://travel.qunar.com/p-oi5860820-yaluzangbudaxiagu,"

地址:
林芝地区米林县派镇


电话:
0894-5483611

",雅鲁藏布大峡谷是围绕南迦巴瓦峰的一处马蹄形大峡谷，也是世界大峡谷。谷内风光多种多样，可以观看南迦巴瓦、雅江尼洋河、古老村落等等。入围《中国国家地理》中国峡谷评选，吸引着众多游客们前来观赏。雅鲁藏布大峡谷目前有部分向游客开放，主要有陆路游、水路游和徒步几种，景区内需要乘坐景区运营的车船工具，所以购买套票会比较方便。游览雅鲁藏布大峡谷有以下几种主要方式：公路游公路游在林芝派镇的大峡谷景区大门开始，乘坐观光车进入景区，车上配备导游全程讲解，往返车程约50公里，到景点处停车游客自行下车拍照，景区内共有四个景点。第一个景点是千年大桑树，传说是由松赞干布和文成公主亲手种植的，树干硕大挂满了哈达，树的背后即是南迦巴瓦雪山。而向下看则是峡谷内河边的美丽村落，若在三四月份前来，桃花盛开，团团拥簇在河边的绿色原野上十分美丽，是摄影的较佳机会。第二个是南迦巴瓦观景台，此处观赏南迦巴瓦的视角不错。不过这座中国雪山并非常年可见，大部分时间都看不全整个雪峰，需要些好运。第三个观景台是峡谷拐弯，这个并非传说中的南迦巴瓦大拐弯，但是也可以看到河水拐弯山势蜿蜒的视角，可以拍照摄影。最后一个停车点即为终点直白村，这里也是观看南迦巴瓦的较好地带，可以在较低处欣赏雪山的壮阔。直白村可以留宿，也是徒步旅行的起点。观赏完直白村后可乘坐区间车原路回到派镇入口。景区门票中包含的用餐为自助午餐，可以吃饱，用餐在景区入口处。水陆联运路线水陆联运路线有两种方式，船进车出和车进船出。船进车出要从离八一镇约50公里的娘欧码头（这一段交通需要包车或自驾）上船，乘坐游艇参观尼洋河风光和两岸的瀑布、村落、山川美景。游船大约1.5小时，终点为派镇大峡谷景区入口。然后按照和公路游相同方式进入景区游玩，游览结束后有专线车将游客送回到八一镇。车进船出则直接在八一镇购票后上景区的旅游专线车，先游览大峡谷景区，然后乘坐游船，旅游结束是在娘欧码头处，需自行解决回八一镇的交通。两种游览方式的发车、发船时间均由景区调度决定，并非游客前往即可开始，需要提前沟通好。徒步游徒步线路走的人很少，难度也较大，只适合背包客和户外爱好者前往。较简单的徒步路线起点在大峡谷景区深处的直白村（即观光车终点），一般以雅鲁藏布大峡谷深处的加拉村为终点再原路返回，往返约40公里，需两天左右，内有加拉村可以住宿一晚。徒步行程中可以看到峡谷大拐弯，有更好的观赏南迦巴瓦雪峰的视角，更为淳朴原始的藏族村落，还可以远望加拉白垒雪山，体验一般游客看不到的美丽景色。徒步结束后回到直白村再乘坐景区区间车出去。徒步路线多为山路有一定强度，需要做好心理准备。如果是发烧友，还有更加深入的长距离路线可以选择。,04/01-09/30 08:00-20:30;10/01-03/31 08:30-18:00,https://img1.qunarzz.com/travel/d9/1603/c0/ddfd8e9b780c2cf7.jpg_480x360x95_6460f0a7.jpg,4.7,建议游览时间：3天 - 6天,每年5月初和10月初，是最佳徒步季。,"{'雅鲁藏布大峡谷门票+观光车票成人票\n\n': ['¥240起'], '雅鲁藏布大峡谷门票+观光车票学生票\n\n': ['¥165起'], '雅鲁藏布大峡谷门票+观光车票优待票\n\n': ['¥90起']}",1、景区部分向游客开放，主要有陆路游、水路游和徒步几种，需要乘坐景区运营的车船工具，购买套票比较方便2、更多票价和优惠政策详情以景区为准,1
波密,http://travel.qunar.com/p-oi701778-bomi,"

地址:
西藏自治区东南部

",位于西藏自治区东南部，是西藏商品粮基地县之一，是出口菌类松茸、羊肚菌的重要产地之一，境内海洋型冰川发育极好，有著名的卡钦、则普、若果、古乡等冰川。一些地带属于西藏江南，易贡湖和然乌湖区域很著名。,全天开放,https://img1.qunarzz.com/travel/d2/1607/cd/deae02812c5eb19a.jpg_480x360x95_51b79e73.jpg,4.8,建议游览时间：2小时,,"{'【小团纯玩】川藏10日|成都色达稻城理塘芒康进藏然乌冰川羊湖林芝赏花！三环接送+氧气!车配单反或飞机\n\n': ['¥3180起'], '【高端纯玩小团】川西+林芝桃花10日游！打卡牛背山、鱼子西、措普沟、然乌湖、来古冰川、千年古桃树\n\n': ['¥6580起']}",1、一般人登上海拔2000米以上，会有高原反应，体弱的人在入藏之前准备好氧气袋，以备不时之需。2、个人自备物品：太阳镜、防晒霜、运动衣裤、羽绒服、旅游鞋、手电、雨具、日常洗刷用品，以及抗高原反应药物，治疗头疼、腹泻等的常备药物。西藏的早晚温差大，太阳下山后气温下降得很快，所以建议要加带外衣。3、进藏前一定要休息好，否则头痛会常伴随你。刚到高原身体需要5-7天的适应时间，这段时间不宜远行，最好就在拉萨附近游览。此外，初到西藏时千万不能洗澡，以免感冒；若有感冒、咳嗽、发烧等症状，一定要及时吃药和看医生，否则很容易转化成肺气肿。4、做旅行者的时候，请保护自然。5、到西藏旅行最好带足现金。拉萨有中行、农行、建行、邮政储蓄，只有中国银行有信用卡提现金业务的服务，其他银行目前还没有信用卡提现金业务。如果觉得带很多现金不安全，到拉萨后，可以将现金存到上述银行，用时再取。邮政储蓄在西藏很发达，网点比较多。,1
南迦巴瓦峰Namcha Barwa Peak,http://travel.qunar.com/p-oi713463-nanjiabawafeng,"

地址:
林芝市米林县西藏林

",南迦巴瓦峰位于林芝地区，是全球海拔排名第15的高峰。这里山顶冰川高耸、形状俏丽，山间常有云雾缭绕，而山下则是植被茂密的藏区江南，景色优美。欣赏南迦巴瓦峰的时间是每年的4-10月，此时气候合适，山下绿树成荫，山间云雾飘荡，景色宜人。不过，这时候也经常会有阴雨天气，可能会看不到雪峰的全貌。事实上，有人统计南迦巴瓦全部显现的日期每年平均仅有65天，所以也要做好看不到的心理准备。南迦巴瓦峰有几个主要的观赏地点，分别是雅鲁藏布大峡谷景区的观景台、直白村、色季拉山口、索松村等，雅鲁藏布大峡谷景区观景台和直白村都可以乘坐雅江大峡谷景区的观光车前往，这里视野比较开阔，游人也比较多。色季拉山口处可以看到雪山脚下的鲁朗林海，景色比较丰富。索松村比较淳朴，正对雪山，这里每年春天会有桃花开放，拍摄花朵掩映下的皑皑雪峰，也深受众多摄影师的喜爱。,全天开放,https://img1.qunarzz.com/travel/poi/201211/15/afa965351425dc87ddb12cfb.jpg_480x360x95_386ae6d8.jpg,4.8,建议游览时间：2小时 - 4小时,10月-次年4月最佳。这一时节降雨不多，空气干爽，能见度高，能够远观南迦巴瓦的最美风采。,"{'雅鲁藏布大峡谷门票+观光车票成人票\n\n': ['¥240起'], '雅鲁藏布大峡谷门票+观光车票学生票\n\n': ['¥165起'], '雅鲁藏布大峡谷门票+观光车票优待票\n\n': ['¥90起']}",1、从拉萨出发，沿康藏公路东行至八一镇，全程404公里；而沿尼洋河南卜，经稚鲁减布汇冈嘎大桥到米林县城，行程75公里，游客步行到南迦巴瓦登山大本营便可以实现登山梦想了。 2、4700米以上，便是永久冰雪带了，在这里冰雪皑皑，偶有几丛嶙峋怪石裸露其间，由于环境艰苦，所以登山的游客要注意保护自己。,1
巴松措Pagsom Co,http://travel.qunar.com/p-oi706673-basongcuo,"

地址:
林芝市工布江达县靠近达切拉观光台


电话:
0894-5734366


官网:
http://www.basongcuo.com.cn/

",巴松措位于林芝工布江达县，是藏传佛教红教的著名神湖，宗教地位很高。湖水碧绿柔美，周围青山依依，风景非常不错。湖心岛上的错宗工巴寺历史悠久，有特别的雕塑和建筑，也是祈福的圣地。巴松措景区旅游开发比较成熟，是西藏比较老牌的景区。进入景区后，需要乘坐观光车游玩，路上一般会停留三个点，分别是湖心岛旁、观景台和结巴村。另外，景区内还有游艇可以游湖，大约需要另外付费100元左右。湖心岛可以通过建设在湖面上的步行栈道登岛，岛上的措宗贡巴寺建于唐代末年，岛上的礁石均雕刻成了别致的动物形象以及佛像，特别神奇。观景台离湖心岛不远，这里角度稍高，可以俯瞰湖水和小岛，巴松措最经典的照片就是出自这里。结巴村是湖边一处安静的村落，由于游玩巴松措的很多旅游团都不会在此停留，反而成就了这里的宁静悠然，村庄颇有些瑞士小镇的风貌，十分不错。,冬季：9:00-18:30；,https://img1.qunarzz.com/travel/d5/1601/fa/aade657c4976b8f7.jpg_480x360x95_07a10aaa.jpg,4.6,建议游览时间：2小时 - 5小时,,"{'巴松措门票成人票\n\n': ['¥60起'], '巴松措门票学生票\n\n': ['¥60起'], '巴松措门票优待票\n\n': ['¥60起']}",1、到湖心扎西岛需要乘坐摆渡木筏。木筏并不以桨摆渡，而是通过手拉一根贯通小岛和湖岸的钢缆摆渡；2、巴松错的最佳季节是秋天，层林尽染，云淡风清，是摄影爱好者最为喜爱的季节。巴松措交通(怎么去巴松措)搭车去巴松措巴松错位于318国道旁，距工布江达县城70公里，来往车辆较多，交通便利。如搭车前往，在公路边会看到“巴松错风景区”指示牌的岔路口下车即可，然后过巴河桥北行约40公里处便可抵达巴松错湖边。包车、自驾去巴松措包车前往巴松错在八一镇包车最为合适。 ,1
八一镇Bayi Town,http://travel.qunar.com/p-oi5162403-bayizhen,"

地址:
林芝市巴宜区八一镇


电话:
0894-5831385

",八一镇是一座比较现代化的小城。整个林芝地区繁华的地带就是这里，购物、用餐、住宿和包车都很方便。八一镇街道整洁干净，乍一看和内地的城市并没有什么不同，不过，街边到处可见的藏族特色店铺、甜茶店还有城边环绕的青山都在彰显着这是一座高原上的城镇。每天清晨，八一镇周围的群山云雾缭绕，非常漂亮，不妨出去悠闲的散散步，呼吸新鲜空气。白天可以去看看比日神山，也可以在下午时钻到甜茶店里，醉着高原上的阳光，喝一壶酥油茶。晚餐时，一定要尝尝林芝具有特色的石锅鸡，让人流连忘返！,全年 全天开放,https://img1.qunarzz.com/travel/d9/1709/51/71289dc22f77b6b5.jpg_480x360x95_1ce0e0e3.jpg,4.6,建议游览时间：3天,林芝最佳旅游时间为每年的9-10月。放眼林芝这块雪山环绕之地，到处是绿色的世界，此时正是林芝最佳旅游季节。,具体收费情况以现场公示为主,1、建议旅客准备大小两个的小型药盒，大的放在背囊里，小的随身带。基本的药物包括：必理痛，阿司匹林，感冒灵，伤风，牛黄解毒片，止咳水，喉炎丸，维他命C丸，白花油，纱布，胃药，眼药水及消炎药，治感冒头疼的(推荐：加合百服宁)，肠胃药;西洋参含片和金施而康对你的身体很有帮助。2、高原强烈的阳光和紫外线会伤害你的眼睛，尤其在喜马拉雅山区，墨镜和太阳帽是必备的。3、防晒霜、润肤露和润唇膏也是必须的，高原的空气是干燥的，阳光是强烈的，以至于在贡嘎机场大家经常可以看到一些游客带着灼伤的面颊和鼻子离开拉萨。4、关于隐形眼镜：西藏尘土特别大，加上卫生条件欠佳，其实不宜带隐形眼镜，要戴的话，不妨考虑使用用完即弃型的镜片。拉萨也有出售进口隐形眼镜，价格和内地差不多。5、西藏牧区的狗往往非常凶悍，会对人，尤其是陌生人疯狂地追咬，不要招惹它们，因为西藏很多乡村的医疗部门只具备最简单的医疗条件，通常没有狂犬疫苗。6、西藏很多首饰，商贩都会把自己的货物夸张化，要价高，其实差不多大多数货源都来自义乌，保持理智，不要上当受骗。,1
色季拉山Sejila Mountain,http://travel.qunar.com/p-oi711305-sejilashan,"

地址:
林芝市巴宜区境内（林芝镇东侧）

",色季拉山位于八一镇的东南侧，走川藏线时，波密到八一路上即会经过，是川藏线上有名的地标。色季拉山山口海拔4728米，视野开阔，可以远眺到鲁朗林海和背后的南迦巴瓦峰，是拍照的好地方。山间遍布的杜鹃花也是色季拉山的有名景观，每年4-6月，从山脚到山腰，多达二十几种杜鹃在山间渐次开放，颜色、形状都多种多样，鲜艳夺目，结合着山口飘扬的五彩经幡，景色绚丽。游人经过时，都不免会驻足观赏。,全年 全天开放,https://img1.qunarzz.com/travel/d9/1708/40/f3211cce4e4cc0b5.jpg_480x360x95_1b75bccc.jpg,4.5,建议游览时间：1小时,色季拉山的杜鹃花4月中旬到6月底，从山脚到山顶依次开放。尤其是进入6月份，整座山上的杜鹃花全部绽放。,"{'【玩转林芝】新措徒步/巴松措+雅鲁藏布大峡谷+鲁朗林海3日游丨观南迦巴瓦峰\n\n': ['¥998起'], '【玩转林芝】巴松措+雅鲁藏布大峡谷+鲁朗林海+波密桃花沟3日游\n\n': ['¥1780起'], '林芝3日游丨大峡谷.巴松错.鲁朗丨新措/旅拍/双景区多玩法\n\n': ['¥929起']}",1、一般人登上海拔2000米以上，会有高原反应，体弱的人在入藏之前准备好氧气袋，以备不时之需。2、个人自备物品：太阳镜、防晒霜、运动衣裤、羽绒服、旅游鞋、手电、雨具、日常洗刷用品，以及抗高原反应药物，治疗头疼、腹泻等的常备药物。西藏的早晚温差大，太阳下山后气温下降得很快，所以建议要加带外衣。3、进藏前一定要休息好，否则头痛会常伴随你。刚到高原身体需要5-7天的适应时间，这段时间不宜远行，最好就在拉萨附近游览。此外，初到西藏时千万不能洗澡，以免感冒；若有感冒、咳嗽、发烧等症状，一定要及时吃药和看医生，否则很容易转化成肺气肿。4、做旅行者的时候，请保护自然。5、到西藏旅行最好带足现金。拉萨有中行、农行、建行、邮政储蓄，只有中国银行有信用卡提现金业务的服务，其他银行目前还没有信用卡提现金业务。如果觉得带很多现金不安全，到拉萨后，可以将现金存到上述银行，用时再取。邮政储蓄在西藏很发达，网点比较多。,1
嘎朗湖景区Galang Lake Scenic Area,http://travel.qunar.com/p-oi10007561-galanghujingqu,"

地址:
古乡噶朗村

",嘎朗湖位于波密县县城西北方向的古乡朗村，距县城17公里，距318国道大约1.7公里。湖面面积1500多平方米。湖周青山环绕，古树参天，自然风光十分优美，居民建筑风格独特，远处的嘎朗王朝遗址更使嘎朗湖增添一份幽秘而神奇。,全年 全天开放,https://img1.qunarzz.com/p/tts8/1806/c3/d3d0e9cf6fcbde02.jpg_480x360x95_b8f4101f.jpg,4.6,建议游览时间：12小时,,,,1
波密桃花沟Bomi Peach Blossom Valley,http://travel.qunar.com/p-oi9206156-bomitaohuagou,"

地址:
林芝市波密县桃花沟风景区


电话:
,

",说起林芝桃花沟，很多人会想起八一镇东南嘎拉村附近的大片桃花，但其实波密也有一片桃花沟丝毫也不逊色。波密桃花沟位于318国道靠近嘎朗村附近的地带，绵延近30公里，花期略早于八一镇的桃花沟，每年3月簇簇粉红装点在路边，是摄影的好地方。一入沟口，桃花簇簇，风景渐佳。,全年 全天开放,https://img1.qunarzz.com/travel/d1/1808/68/ee2ab33e66baa9b5.jpg_480x360x95_70f9c8e5.jpg,4.8,建议游览时间：1小时 - 3小时,,"{'【小团纯玩】川藏10日|成都色达稻城理塘芒康进藏然乌冰川羊湖林芝赏花！三环接送+氧气!车配单反或飞机\n\n': ['¥3180起'], '【川藏线纯玩小团10日】四姑稻城墨石鱼子色达理塘然乌来古东达怒江鲁朗林芝羊卓拉萨！赠三环接早三宝氧气\n\n': ['¥3280起'], '【一价全含桃花纯玩4日小团】林芝/波密/嘎拉村+然乌湖+来古冰川+雅鲁藏布江+南迦巴瓦！赠航拍+氧气\n\n': ['¥2680起']}",,1
鲁朗国际旅游小镇Lulangzhen,http://travel.qunar.com/p-oi3743508-lulangguojilu:youxiao,"

地址:
林芝市巴宜区鲁朗镇


电话:
0894-5886600

",鲁朗镇位于林芝地区巴宜区，是一个森林群山环抱的宁静小镇，镇上则是木屋、篱笆的田园风光，远处群山上云雾缭绕，高山草甸上野花遍野，景色优美安然。鲁朗镇如今住宿、餐饮的营业场所都比较齐全，又有优美的风景，很多走川藏线的游客会选择在这里停留。镇上的美食是石锅鸡，不妨尝尝。,全天开放,https://img1.qunarzz.com/travel/d4/1605/a0/b310353e63e571f7.jpg_480x360x95_a5959806.jpg,4.6,建议游览时间：12小时 - 3天,,,,1
米堆冰川Midui Glacier,http://travel.qunar.com/p-oi5740689-miduibingchuan,"

地址:
林芝市波密县玉普乡米堆村

",米堆冰川位于林芝地区波密县玉普乡米美、米堆两村附近，距离318国道仅8公里，抵达为特别方便，由于冰舌海拔较低，可以轻易地近距离观赏。米堆冰川形状俊秀，被《中国国家地理》评为六大较美冰川之一。要观看米堆冰川，首先要到达脚下的米堆村，售票处距离米堆村大约6-7公里，这一段路路况很差，小轿车不建议开入，需要有底盘较高的车行驶。从米堆村前往观景台可以步行，不过距离较长，大约2.5公里，需要45分钟左右，也可以骑马，往返大约需要付100元。到达观景台后，即可看到开阔的冰川在面前展开，非常壮观。,全天开放,https://img1.qunarzz.com/travel/d3/1708/f0/6a5351996b888bb5.jpg_480x360x95_06a85d48.jpg,4.2,建议游览时间：3小时 - 4小时,,"{'米堆冰川电子导览票大小同价\n\n': ['¥6起'], '【小团纯玩】川藏10日|成都色达稻城理塘芒康进藏然乌冰川羊湖林芝赏花！三环接送+氧气!车配单反或飞机\n\n': ['¥3180起']}",1、从成都、昌都、林芝都有客车经过然乌镇，镇上有青年旅馆，每床20元左右，有很猛的热水洗澡。越野车就可以一直开到米堆村，从村里走到冰川只需2小时左右，并且可以当晚回然乌镇住宿。2、在村里可以找人带路前往冰川，如果要他们帮忙背东西的话，最好给他米堆冰川们20块钱左右。在黄金周期间，村里会向到来的旅游者每人收15元，给一张自己印的收据。,1
