名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
台儿庄古城Taierzhuang Ancient City,http://travel.qunar.com/p-oi7469443-taierzhuanggucheng,"

地址:
枣庄市台儿庄区东顺路中段古城东门


电话:
0632-6725008,0632-6679788


官网:
http://www.tezgc.com/

",台儿庄古城坐落于枣庄市东南，处于京杭大运河的中心点。台儿庄是出名的江北水乡、运河古城，在这里你可以漫步于静谧的小巷中，或是站在古桥上看船来船往，也可以坐画舫畅游于运河上，逛累了可找家安静的茶馆或临河的咖啡吧坐坐，看看书、发发呆，享受各种惬意。台儿庄古城比较大，全部逛下来需要一整天。入城时，别忘了在游客中心领取景区导览图，可按图上的线路指示游玩，并注意古城里各种表演的时间。不过如果时间充裕，你也可以随意逛，在古城里迷路也是种乐趣。与江南水乡相比，台儿庄古城多了一份历史韵味和历经战火的沧桑。一九三八年发生的台儿庄大战，使这座古城化为废墟，现在看到的古城是全面重建后展现的面貌，很多景点都是在原址上重建而成。如今，在重建后的台儿庄能仍看到五十多处战地遗址。台儿庄古城的丰富建筑风格是一大特色，在街里巷间，你既能看到鲁南民居、北方大院，又能看到徽派建筑、客家建筑，甚至欧式建筑。不过有意思的是，你还会发现关帝庙、天后宫、泰山庙、清真寺、天主堂等各大宗教建筑齐聚在这古城里。此外，古城内还有大战遗址公园、大夫第、山西会馆、清官廉吏博物馆、参将署、兰婷书寓等景点。其中，徽派建筑“大夫第”曾是当地名人贾三近的旧居宅院；“山西会馆”是一座大型晋派建筑，里面还供奉着关帝。台儿庄古城地处山东和江苏两省交界处，这里可体验到鲁南风情和苏北民俗，你会看到挑着担的货郎摇着拨浪鼓穿街而过、听到卖冰糖葫芦的小贩儿响亮地吆喝着，你也可以去听一出运河大鼓、赏一曲柳琴戏。还有鲁南皮影戏、舞狮表演、杂技表演，以及乾隆巡游台儿庄的古装表演等精彩节目，不容错过。每到入夜，整座古城的建筑在灯光映衬下流光溢彩，夜色之美不亚于几大江南水乡。如果你有时间，建议在古城内住一晚，可以去赏夜景，或是找间临河酒吧小饮几杯。古城内有很多颇具特色的宅院客栈可供住宿。如果住在古城内，可凭客栈房卡自由进出古城。在台儿庄古城你可以品尝到当地有名的花黄牛肉面、冯家驴肉，还有特色菜煎饼、运河石头大饼、万福园的羊肉汤等当地特色小吃，当然，这里也云集了全国南北各地美食，到古城外的馆子大吃一顿也是不错的选择。,8:30—22:00,https://img1.qunarzz.com/travel/d2/1808/f5/f21b6e46ef2843b5.jpg_480x360x95_105a9e7d.jpg,4.6,建议游览时间：3天 - 6天," {4月,5月,6月,7月,8月,9月,10月}较为适宜","{'台儿庄古城手机智能语音讲解服务大小同价\n\n': ['¥0.7起'], '【台儿庄古城2日跟团游·住古城内】微山湖/尼山圣境·双线可选\n\n': ['¥448起'], '【酒店套餐】枣庄台儿庄古城内酒店住宿丨爱莲堂华商会馆+早餐+台儿庄古城门票(可选)\n\n': ['¥165起']}",古城框架以运河为文化轴线，设计了关帝庙景区、西门安澜景区、纤夫村景区、“运河街市”景区、板桥—花门楼景区、水街商市景区、清真寺—九龙口景区、湿地公园等八大景区。分别对应“九水汇川、台城旧志、土村绿荫、庙汪浮玉、柳岸卧虹、古柏望月、运河街市、杰阁凌波”等运河古城八景，规划建设了参将署、泰山行宫、兰陵书院等29个景点。将北方大院、鲁南民居、徽派建筑、水乡建筑、闽南建筑、欧式建筑、宗教建筑、客家建筑等八大建筑风格有机结合，建设以徽派建筑风格为主的繁荣街，以欧式建筑为主的丁字街，以水乡建筑为主的水街、水巷，以晋商民居为主的关帝庙景区。1. 古城如今的主入口位于运河北岸路与康宁路交汇处，台儿庄古城游客服务中心即位于此。2. 出了古城若想再进去，就要再次买古城门票或购买夜游票，但住古城内的酒店可凭房卡随意出入古城。3. 晚上通常23:00会关闭绝大多数的景观灯，想要拍夜景的游客请注意安排时间。4. 枣庄居民凭本人身份证可办理年卡进入古城，每张100元。,1
龙床水库景区,http://travel.qunar.com/p-oi38801490-longchuangshuikujingqu,,,,,0.0,,,具体收费情况以现场公示为主,,1
台儿庄大战纪念馆Battle of Taierzhuang Memorial Hall,http://travel.qunar.com/p-oi708750-taierzhuangdazhanjinian,"

地址:
枣庄市台儿庄区沿河南路6号


电话:
0632-6612711

",台儿庄大战纪念馆坐落在山东省枣庄市风景如画的古运河畔的台儿庄城西南郊，与大战时的火车站隔河相望。展览馆共有三个展室，建筑面积1400平方米，馆内陈列着台儿庄大战时中日双方资料、文物千余件，书画馆珍藏着参战将士和亲属以及著名书画家、政界人士的书画作品近千件。整个纪念馆融展览馆、书画馆、影视馆、全景画馆为一体，气势雄伟，庄严肃穆。影视馆主要播放当年外国战地记者拍摄的珍贵记录片和参战将士访谈录及《血战台儿庄》影片。以抗战为题材的大型全景画馆，是18边形的筒式建筑，高28米，直径43米，建筑面积3100平方米，《血战台儿庄》全景画馆包括绘画、地面塑型、灯光、音响和解说五个部分，将历史真实与艺术真实融为一体，生动地再现了中国军队在台儿庄以阵地战迎击日军，浴血奋战，直到取得胜利的历史过程，并选择北大门激战、清真寺争夺战、西北门争夺战等典型战斗场景为表现重点，整个画面高16.5米，周长124米，画面首尾相连成全周形，巨幅画面与逼真的地面塑型有机结合，配有特殊的灯光、立体音响，战斗气息极为浓烈，给人以身临其境之感。馆前三十八级台阶意味着一九三八年发生了震惊中外的中日台儿庄大战；二十四根立柱支撑着白色天棚，象征着中华民族顶天立地，永远屹立于世界民族之林；纪念馆馆名由著名书法家启功先生题写；主体建筑物前方矗立着台儿庄大战纪念碑。整个纪念馆融展览馆、书画馆、影视馆、全景画馆为一体，气势雄伟，庄严肃穆。,全年 08:30-17:00,https://img1.qunarzz.com/travel/d9/1803/23/c6774ee87f2945b5.jpg_480x360x95_80cd4c50.jpg,4.7,建议游览时间：1小时 - 3小时,,"{'【台儿庄古城2日跟团游·住古城内】微山湖/尼山圣境·双线可选\n\n': ['¥448起'], '【酒店套餐】枣庄台儿庄古城内酒店住宿丨爱莲堂华商会馆+早餐+台儿庄古城门票(可选)\n\n': ['¥165起'], '【酒店套餐】枣庄台儿庄古城内酒店住宿丨木和堂客栈+早餐+台儿庄古城门票(可选)\n\n': ['¥165起']}",,1
抱犊崮国家森林公园Baodugu National Forest Park,http://travel.qunar.com/p-oi707025-baoduguguojiasenlingong,"

地址:
枣庄市山亭区北庄镇


电话:
0632-8915199


官网:
http://www.bdgxes.cn/

",抱犊崮国家森林公园位于枣庄市山亭区境内，位于枣庄市东北20公里处，森林覆盖率为96.8%，共分为巢云竹林、桃源仙境、君山望海、凤落古崖4 个景区，是罕见的天然杂木林汇集区，国内亦属少有。其海拔584米，与龟龙湖交融一体，山水相连，气势磅礴，古洞仙境，壮观巍峨，“君山望海”为古峄县八景之冠，为天下第一崮，国家AAAA级风景名胜区。抱犊崮国家森林公园群山绵延不绝，峰头林立，自西向东形成一道天然屏障，森林植被面积大，主要树种为侧伯、刺槐还有楸树等珍贵树种和多种杂木树种。群山之中有一峰突起，如擎天柱直插霄汉，这便是抱犊崮。崮西南麓有一条深涧大壑，泉水汇集于此，形成瀑布。深涧东侧有清华观和巢云观。半山处有洞数十个，名曰桃源洞、水帘洞等。洞内外石壁雕有千姿百态的佛像。自麓至巅，陡峭如壁，手足并用方能攀援而上。崮顶平田数十亩，石池满蓄山水，深数尺。伫立崮顶，极目南天，平野如画，东眺黄海，云雾缭绕，故有“君山望海”之称。周围有巢云观、抱犊崮顶、十八罗汉洞、黄龙洞等景点。,4.1-12.31，8:00-17:00,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/fusion/20212/23acc922a1232327bfc54eb682a4213e.jpg_480x360x95_4dbb25bb.jpg,4.5,建议游览时间：3天,,"{'抱犊崮国家森林公园门票+树冠漫步A段套票成人票\n\n': ['¥35起'], '抱犊崮国家森林公园门票+萌宠乐园大小同价\n\n': ['¥14.9起'], '枣庄抱犊崮电子导览服务大小同价\n\n': ['¥6起']}",,1
店子镇长红枣基地,http://travel.qunar.com/p-oi708076-dianzizhenzhanghongzao,,店子镇长红枣基地由大面积的优质枣园、丘陵枣林、路侧枣网、围山枣带构成，农业观光旅游开发面积达65平方公里。店子镇长红枣基地以独特的山乡景色、优越的生态条件、优质的丘陵枣林和丰富多彩的民间文化，形成集林果生产、生态农业和观光游览为一体的生态文化旅游区，显示出良好的旅游发展前景。该景区素有”山区小江南“的山亭区西北部店子镇，属丘陵山区，境内莲青山海拔603米，是枣庄市境内花岗岩山脉的第一高峰，越峰山海拔473米，共坐落大小山头86座，总面积65平方公里，森林覆...店子镇长红枣基地由大面积的优质枣园、丘陵枣林、路侧枣网、围山枣带构成，农业观光旅游开发面积达65平方公里。店子镇长红枣基地以独特的山乡景色、优越的生态条件、优质的丘陵枣林和丰富多彩的民间文化，形成集林果生产、生态农业和观光游览为一体的生态文化旅游区，显示出良好的旅游发展前景。该景区素有”山区小江南“的山亭区西北部店子镇，属丘陵山区，境内莲青山海拔603米，是枣庄市境内花岗岩山脉的第一高峰，越峰山海拔473米，共坐落大小山头86座，总面积65平方公里，森林覆盖率80％以上，山上丛林密布，绿树成荫，果林连片，环境优美，无建设性破坏和污染源，景区内有滕（州）至威（海）和店（子）至徐（州）两条省级公路交通干线汇接，并与三条农业旅游路线相连，距京福高速、104国道、京沪铁路半小时车程，距我区熊耳山、抱犊崮国家地质森林公园不足半小时车程，距京航大运河、临沂机场和徐州机场50多分钟车程，交通便利，出入方便，可进入性强。,,,3.7,,,,,1
冠世榴园Guanshiliu Park,http://travel.qunar.com/p-oi714965-guanshiliuyuan,"

地址:
枣庄市区南部、峄城区西部的群山之阳


电话:
0632-5760789,0632-7788188


官网:
http://www.guanshiliuyuan.cn/

",枣庄石榴园位于山东省枣庄市峄城区西部，以历史悠久，面积之大，株数之多，品色之全，果质之优而闻名海内外，为目前我国大的石榴园林，因而被誉为“冠世榴园”，被列为“花之路”旅游热线和省级风景名胜区，是一处集生态园林、佛教朝拜、人文历史、观光游览、休闲度假为一体的综合性旅游区。枣庄石榴园生态旅游区紧邻枣庄市区南部的群山之阳，东西长20公里，南北宽2公里，面积达10万亩，有榴树40余万株，43个品种，始建于西汉成帝年间，距今已有2000年的历史。这大片园地像一颗随节令...枣庄石榴园位于山东省枣庄市峄城区西部，以历史悠久，面积之大，株数之多，品色之全，果质之优而闻名海内外，为目前我国大的石榴园林，因而被誉为“冠世榴园”，被列为“花之路”旅游热线和省级风景名胜区，是一处集生态园林、佛教朝拜、人文历史、观光游览、休闲度假为一体的综合性旅游区。枣庄石榴园生态旅游区紧邻枣庄市区南部的群山之阳，东西长20公里，南北宽2公里，面积达10万亩，有榴树40余万株，43个品种，始建于西汉成帝年间，距今已有2000年的历史。这大片园地像一颗随节令变幻着色彩的璀璨明珠，镶嵌在鲁南的青山绿水之间，而掩映在这座山川园林中的一处处人文古迹，是鲁南文化的缩影，引发着不同层次的游人发思古之幽情。该旅游区有青檀寺、一望亭、园中园、三近书院、匡衡祠、仙人洞等景点，更有幽谷异洞、奇石怪峰。流泉飞瀑、古木奇树、碑碣石刻等点缀其间，自然景观与人文景观融为一体，交相辉映，蔚为壮观。,8:00-18:00,https://img1.qunarzz.com/p/tts8/1811/df/e73e722073299302.jpg_480x360x95_c2f6c90a.jpg,4.4,建议游览时间：3小时 - 4小时,,"{'冠世榴园门票成人票\n\n': ['¥30起'], '冠世榴园电子导览门票大小同价\n\n': ['¥6起']}",,1
枣庄熊耳山Xiong'er Mountain,http://travel.qunar.com/p-oi710541-zaozhuangxiongershan,"

地址:
山东省枣庄市山亭区北庄镇

",熊耳山在山东省南部，处于枣庄市山亭区南偏东12公里处， 是一典型的低山丘陵。因远远望去，山体像一只大白熊，头东尾西地横卧着；主峰像一扇张开的熊耳，故名为熊耳山。熊耳山国家地质公园总面积为98平方公里，海拔达483米，呈东西走向，东西绵延6公里，南北宽是2公里。横卧在北庄镇。国家地质公园以熊耳山岩溶地质地貌和抱犊崮地貌为特色。,08:00-17:00,https://img1.qunarzz.com/travel/d5/1607/ff/89422078c53c919a.jpg_480x360x95_0fb6949c.jpg,4.2,建议游览时间：12小时 - 3天,,18元,,1
李宗仁史料馆Lizongren Historical Archive,http://travel.qunar.com/p-oi715204-lizongrenshiliaoguan,"

地址:
山东省枣庄市台儿庄区康宁路8号 ‎


电话:
0632-6612711

",李宗仁史料馆位于山东省枣庄市台儿庄区老火车站旧址之上，三面环水，风光秀丽，建筑风格独特，为台儿庄一大特色旅游景点。史料馆由四个展室和一个影视厅组成，全面介绍概括了李宗仁先生的一生，尤其是挥师抗战大败日寇和回归祖国前后的爱国壮举。现为国家AA级旅游景区。,全年 8:00-18:00,https://img1.qunarzz.com/p/tts5/1807/b2/b465d7d98ebc3b02.jpg_480x360x95_43e021df.jpg,4.5,建议游览时间：1小时 - 2小时,,10元,,1
洪门葡萄村,http://travel.qunar.com/p-oi703215-hongmenputaocun,"

地址:
枣庄市山亭区东南部

",抱犊崮－熊耳山－洪门葡萄村，1992年被统一规划为“山亭农业生态旅游示范园”，总面积178平方公里。近年来，园内坚持以农业资源为依托，以农产品为基础，以市场需求为导向，以经济效益为中心，以旅游为突破口，大力发展农业旅游，取得了可喜的成就，被省委、省政府评为“农业综合开发示范区”和“农业创汇示范区”。该景区素有“天然公园”之称的山亭区东南部，总面积178平方公里，森林覆盖率49％，区内绿树成荫，环境优美，协调和谐，无建设性破坏和污染源存在，区内有3条公交专线直...抱犊崮－熊耳山－洪门葡萄村，1992年被统一规划为“山亭农业生态旅游示范园”，总面积178平方公里。近年来，园内坚持以农业资源为依托，以农产品为基础，以市场需求为导向，以经济效益为中心，以旅游为突破口，大力发展农业旅游，取得了可喜的成就，被省委、省政府评为“农业综合开发示范区”和“农业创汇示范区”。该景区素有“天然公园”之称的山亭区东南部，总面积178平方公里，森林覆盖率49％，区内绿树成荫，环境优美，协调和谐，无建设性破坏和污染源存在，区内有3条公交专线直达该景区，距离京福高速，104国道20分钟车程，距京杭大运河不足半小时车程，距徐州机场90多分钟车程，交通便利，出入方便，可进入性强。,全天,https://img1.qunarzz.com/piao/fusion/1510/45/06bdbd680dfbd7.jpg_480x360x95_4df39118.jpg,4.8,,,免费,,1
甘泉禅寺Ganquan Temple,http://travel.qunar.com/p-oi714082-ganquanshansi,"

地址:
齐村镇甘泉寺


电话:
0632-3748252

",甘泉寺位于山东省枣庄市卓山北侧，因寺中甘泉而得名。该寺建于元仁宗延佑六年。寺内现存千年树龄的银杏古树，足以佐证该寺历史之悠久。银杏树下，有一块石碑立于明朝万历十五年（1588年），题为《重修龙窝寺碑记》 ，该碑高约四米，为一巨石雕刻制而成，碑文为明朝光禄寺卿贾梦龙所撰，其弟贾梦鲤所书。碑背面记载着甘泉寺过去的辉煌：拥有良田千顷，寺内僧人逾百，重修时捐资捐助者有数千人之众。甘泉寺坐落在名山秀水的枣庄北郊风景区腹地，古称伽蓝神庙，又称龙窝寺，为鲁南名寺之一。该寺始建年代已无从查考，明朝万历年间曾进行较大规模重修。至近代仅存遗址，1992年重建，正名甘泉寺，因甘泉而起今名。占地10.7亩。寺内建有大雄宝殿、藏经楼、窑神殿、东西配殿，两侧为连接长廊，院内有放生池、甘泉、千余岁银杏树及各种古树，寺内还存有历代修建寺院的石碑。大雄宝殿塑金身佛像三尊，神态各异，栩栩如生。放生池内塑有骑龙观音，甘泉水流注池内。,全年 7:00-18:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/76740303e4cb9fd39a4d24b59d2846cd.gif_480x360x95_394e5377.gif,4.8,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
