名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
窑埠古镇Yaobu Ancient Town,http://travel.qunar.com/p-oi23344073-yaobuguzhen,"

地址:
柳州市蟠龙路9号（东堤路南段）


电话:
0772-2621111

",窑埠古镇，柳州十大重点工程，百里柳江点睛之作，位于东堤南路，蟠龙山下，享CBD核心地段，为“百里柳江”璀璨明珠，坐拥一线江景。拥有40万平米风情古镇，打造柳州城市会客厅。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-vs-dapp-ugc/img/8383c0262d7cbc7145530075b1b791e8.jpg_480x360x95_0edcbcf5.jpg,4.3,建议游览时间：12小时,,,,1
龙潭公园Longtan Park,http://travel.qunar.com/p-oi713974-longtangongyuan,"

地址:
柳州市鱼峰区龙潭路43号大龙潭风景区


电话:
0772-3171883

",龙潭公园又叫大龙潭景区，位于柳州市区南部，毗邻市中心，是一个集合喀斯特山水景观、中国南方少数民族风情文化、亚热带岩溶植物景观为一体的大型风景游览区。公园内树木苍翠、群山环抱，卧虎山、美女峰、孔雀山等二十四峰形态各异。清澈的潭水泻入镜湖，雷龙二潭水温恒定，每逢隆冬，水汽蒸腾，故称双潭烟雨。不少当地人喜欢来这儿散步、锻炼身体，欣赏雷山的摩崖石刻和经典的风雨桥，天气好的时候还可以在湖面上划船。此外，公园内也有适合小朋友玩的小游乐场和露天游泳池，以及一些融入民族元素的侗寨、苗寨等，非常值得游览。,全年 6:30-22:30,https://img1.qunarzz.com/travel/poi/201408/05/9e2d7a7d4c1e5458c8d65eac.jpg_480x360x95_a4425ae4.jpg,4.7,建议游览时间：3小时 - 4小时,龙潭公园是一个四季皆宜的好去处。春天可以赏花、春游；夏天可以玩水，游泳；秋天可以野炊，秋游，赏月；冬天可以看花灯。,具体收费情况以现场公示为主,,1
马鞍山公园,http://travel.qunar.com/p-oi710882-maanshangongyuan,"

地址:
屏山大道178号

",,全天,https://img1.qunarzz.com/piao/fusion/1706/f0/3c6cb4a18ca72502.jpg_480x360x95_d72200e6.jpg,4.8,,,{'马鞍山公园驴迹电子导览门票大小同价\n\n': ['¥5起']},,1
程阳八寨Chengyang Bazhai,http://travel.qunar.com/p-oi712345-chengyangbazhai,,,,,,,,,,1
鱼峰公园Yufeng Park,http://travel.qunar.com/p-oi10004609-yufenggongyuan,"

地址:
柳州市鱼峰区鱼峰路59号


电话:
0772-3806870,,

",鱼峰公园位于柳州市中心，面积3.37公顷。其山似立鱼又名“立鱼峰”，山上绿树成荫，山脚一泓碧水称小龙潭。于潭畔俯览仰观，潭峰相映，如巨鲤跃立潭面，称为“南潭鱼跃”，为柳州古八景之一。山腰七洞贯通，人称“灵通七窍”。相传壮族歌仙刘三姐曾在此传唱山歌，并于小龙潭骑鱼升天成仙。山上有刘三姐汉白玉雕像，洞内塑有男女对歌群雕。国内第一条位于市中心的旅游索道，把鱼峰山和马鞍山连结起来，为游客提供了极大的方便。位于小龙潭南面的“石玩精品馆”、馆内收藏有100多个品种、500多件赏石精品。园内名胜古迹较多，著名的有“戴钦墓”、“三姐岩”、“罗汉洞”、“对歌坪”等。登上鱼峰山顶，可俯瞰柳州全景。,8:00-16:00,https://mp-commentcp.qunarzz.com/mp_comment_mp_comment/1552779883114100f12000000s9dbsC695_D_640_10000.jpg_480x360x95_7d2adb85.jpg,4.5,建议游览时间：1小时,,公园免费开放，缆车收费，单程45元，往返65元。,,1
丹洲景区Danzhou Scenic Area,http://travel.qunar.com/p-oi7807988-danzhoujingqu,"

地址:
柳州市三江县丹洲镇丹洲村


电话:
0772-6630208

",丹洲景区是国家4A级景区，全国农业旅游示范点，自治区双文明示范村，广西生态古城旅游村，柳州市“十大美丽”乡村。位于广西柳州市三江县南端，西邻融水，南靠融安县城，209国道贯穿全镇7个行政村，西有枝柳铁路线和融江航线。往南140公里达柳州，北上55公里到三江县城。景色迷人的丹洲景区主要是指丹洲镇的丹洲岛，它四面环水，呈狭长状，南北长1850米，东西宽850米，总面积1.6平方公里，居住有苗、瑶、侗、壮、汉五个民族61个姓氏，共230户1035人。丹洲是1591年（明代万历年）至1914年（民国三年）三江县的县治所在地，时称怀远县，至今已有400多年的历史，是中国唯一一个建立在河岛上的县城。现丹洲古城尚存东门、北门、闽粤会馆、丹洲书院、古城墙、古县衙、明清古民居等历史古迹，有很深厚的文化底蕴，是自治区文物保护单位。,全年 08:00-20:00,https://tr-osdcp.qunarzz.com/tr-osd-vs-dapp-ugc/img/7216de490d67b04f464e8da2440d95d6.jpg_480x360x95_9b85abaa.jpg,4.1,建议游览时间：3天 - 6天,,"{'丹洲景区门票成人票\n\n': ['¥32起'], '柳州三江县丹洲古镇景区门票团队票\n\n': ['¥30起'], '丹洲景区门票+三江鼓楼门票+仙人山景区门票成人票\n\n': ['¥88起']}",,1
三江侗乡Sanjiang Dong Nationality Country,http://travel.qunar.com/p-oi716163-sanjiangdongxiang,,,,,,,,,,1
石岩生态旅游景区,http://travel.qunar.com/p-oi39171881-shiyanshengtailu:youjing,,,,,0.0,,,,,1
三友瀑布景区Sanyou Waterfall Sceneic Area,http://travel.qunar.com/p-oi19994560-sanyoupubujingqu,,三友瀑布景区位于元宝山密林深处，因其有3束落差约20米的水帘飞流直下，仿佛3个亲密朋友聚在一起而得名。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/b47144209f353d4f3d383fabe580cc99.jpg_480x360x95_32711eb5.jpg,5.0,建议游览时间：3小时,,,,1
仙人山景区Xianren Mountain Sceneic Area,http://travel.qunar.com/p-oi10071318-xianrenshanjingqu,"

地址:
柳州市三江侗族自治县八江乡布央村仙人山茶场


电话:
0772-8651988

",布央仙人山景区地处湘、黔、桂三省交界的三江县八江镇布央村境内，距县城17公里，距八江镇政府所在地10公里，“桂三”高速路穿过境内离出口12公里，三独公路横穿境内，交通便利。村寨辖区内布央、美地、程牛3个自然屯，有 603户2452人，主导产业为茶叶，茶园面积达3600余亩。茶园分布于海拔600-1000米的布央村山腰中，常年云雾缭绕，风清气润，昼夜温差大，场上景色秀丽，土质深厚肥沃，茶树生长旺盛茶芽肥壮鲜明，有着“高山出好茶”的自然生态环境，造就了“中国大陆早春第一茶”，同时被广西人民政府授予“广西侗茶村”荣誉称号。生态：景区地处仙人山，自然生态环境优良，空气清新，是旅游度假的绝佳环境；山幽：布央茶山景区常年云雾缭绕，群山苍翠，郁郁葱葱，集俊、秀、幽、旷、野为一体，十分幽静、自然；景美：布央茶山旅游区内山清水秀、绿树成荫、郁郁葱葱、景色如诗如画，野韵十足。布央茶园依山势而成，阡陌纵横，线条流畅，充分展示出田野的自然美、古朴美、形体美、文化美。田野形态原始、尽显生态自然之美。高山、茶园、田野、等景观空间层次错落，相互搭配，形成层次丰富的视觉景观系统；独特：布央茶山旅游区文化独特，侗族文化、茶文化、农耕文化源远流长；宜人：布央茶山旅游区气候十分宜人，属亚热带南岭湿润气候，雨热同季，寒暑分明，晨昏多雾，冬无严寒，夏无酷暑。  布央仙人山主要景点有：仙人侗寨、四季红枫林、仙人山茶场、古茶园、仙人弈迹、茶马古道、房车露营区、帐篷露营区、飞山宫、星空木屋酒店等，集茶园观光休闲、茶文化体验、山地茶园休闲养生度假、乡村与农业体验、民俗风情娱乐、餐饮购物等为一体。景区游览路线推荐：景区入口——四季红枫林——仙人山侗寨——茶马古道——红军路——仙人弈迹——仙人古茶园——星空木屋酒店——露营区。布央茶山的主要特色是“仙境”茶园、魅力侗乡，重点发展茶园观光休闲与茶文化体验、山地茶园康养度假、乡村与农业体验、民俗风情娱乐、餐饮购物、农业科研科普等功能产品的三江品牌型的茶园观光休闲度假主题旅游区、三江侗族文化风情与乡村体验旅游区与产品系列的重要组成部分、广西品牌型茶园休闲度假旅游景区。布央仙人山天独厚的自然生态条件，造就布央村及品牌产品享誉闻名，先后荣获“广西侗茶村”、“全国一村一品”示范村、广西四星级乡村旅游区、柳州市“十大美丽乡村”、国家级“民族特色村寨”。茶品牌产品“布央”荣获广西著名商标、广西名牌产品荣誉称号，并在历届全国名优茶评比中“中茶杯”屡获金奖等奖项。,全年 08:00-22:00,https://img1.qunarzz.com/p/tts9/1805/f1/8198d0f406bab902.jpg_480x360x95_7b8d967c.jpg,4.3,建议游览时间：3小时 - 4小时,,"{'仙人山景区门票成人票\n\n': ['¥50起'], '仙人山景区门票优待票\n\n': ['¥30起'], '丹洲景区门票+三江鼓楼门票+仙人山景区门票成人票\n\n': ['¥88起']}",,1
