名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
株洲白龙洞,http://travel.qunar.com/p-oi7469287-zhuzhoubailongdong,"

地址:
湖南省株洲市攸县酒埠江风景名胜区国家地质公园


电话:
0731-24490982 15886300498

",湖南株洲白龙洞旅游景点位于风景秀丽的攸县酒埠江风景名胜区漕泊乡峦山镇漕联村梅山坳腹地，地处攸县酒埠江地质公园内。为约3亿年前发育的石炭纪白云质灰岩岩溶洞穴。镶嵌在延绵群山苍翠葱郁间的白龙洞因洞内岩溶景观“白龙马”而得名。洞内宽大幽深，洞中有洞，楼上藏楼，钟乳石千姿百态、三步一景、五步一阁，万千景象，令人叹为观止，被喻为湘东第一洞。攸县白龙洞位于湘赣交界的罗霄山脉脚下，地处风景秀丽的株洲酒埠江风景名胜区国家地质公园内，与天下五岳之一的...湖南株洲白龙洞旅游景点位于风景秀丽的攸县酒埠江风景名胜区漕泊乡峦山镇漕联村梅山坳腹地，地处攸县酒埠江地质公园内。为约3亿年前发育的石炭纪白云质灰岩岩溶洞穴。镶嵌在延绵群山苍翠葱郁间的白龙洞因洞内岩溶景观“白龙马”而得名。洞内宽大幽深，洞中有洞，楼上藏楼，钟乳石千姿百态、三步一景、五步一阁，万千景象，令人叹为观止，被喻为湘东第一洞。攸县白龙洞位于湘赣交界的罗霄山脉脚下，地处风景秀丽的株洲酒埠江风景名胜区国家地质公园内，与天下五岳之一的南岳，中华始祖炎帝陵，革命圣地井冈山相邻，为约3亿年前发育的石炭纪白云质灰岩岩溶洞穴。白龙洞长达数公里，可供开发的旅游路线为4000余米，现向游客开发的线路为980米。洞内上下分为三层，上、中层为旱洞，下层为水洞。洞中各种岩溶景观桥、山、田、幔、瀑、等等应有尽有。其中“唐僧西行、神象观潭、观音坐莲”等形象景观更是俯首即是，栩栩如生。白龙洞因“四绝”而闻名国内，“白龙马、古河床、古生物化石、石钟音乐”无不令人拍手叫绝。洞中的“天下第一柱”高达29米，国内称雄。音乐厅中的“石钟音乐”传颂着前所未闻的石头会唱歌的神奇，这里的石钟乳可以敲出多种音乐。中国地质科学院岩溶洞穴研究所前所长朱学稳教授曾用“景赛黄龙洞，奇胜芦笛岩”的评价来赞誉白龙洞。,全年8:00-17:00。,https://img1.qunarzz.com/travel/poi/1408/27/19520660a1c3af7fffffffffc8d65eac.jpg_480x360x95_298c9884.jpg,3.6,建议游览时间：1小时 - 2小时,适宜月份：6月、7月、8月、9月、10月,成人票65。优惠票40：儿童身高1.3米（含）-1.5米（不含）之间购景区优惠票，60岁（含）-70岁（不含）之间的老人凭老年证或身份证购景区优惠票。免费：儿童身高1.3米（不含1.3米）以下免票；70岁（含）以上免票老人凭老年证或身份证免票。,,1
神农公园Shennong Park,http://travel.qunar.com/p-oi10004819-shennonggongyuan,"

地址:
株洲市芦淞区建设中路365号


电话:
0731-22204317

",神农公园位于株洲市的繁华路段——建设中路，背倚风景秀美的湘江，是株洲市规划较早、建园时间较长，以炎帝文化为特色的综合性公园。园内有株洲标志性建筑神农阁。神农阁建于1992年，共九层，外观巍峨挺拔，明快潇洒，雄视八方；内部装饰典雅，古气可掬，阁内敬奉中华民族的始祖之一的炎帝神农氏，是弘扬炎帝文化和精神的重要场所。园内苍松翠柏、枝粗叶茂，奇花异草争芳斗艳，亭廊奇布、楼阁林立、燕飞蝶舞、鸟语花香。奔龙山依江傍水，神农阁矗立峰顶，湘江飞舟如织，人工湖垂柳依依，儿童乐园门庭若市。,全年 全天开放,https://img1.qunarzz.com/travel/poi/1712/41/57a1a2158fe3ad37.jpg_480x360x95_03587aa7.jpg,4.6,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
炎帝广场Yan Emperor Square,http://travel.qunar.com/p-oi710015-yandiguangchang,"

地址:
株洲市天元区泰山路街道天台路与珠江南路交叉口西北50米

",炎帝广场位于株洲高新技术开发区，整体呈扇形，主体建筑是巨型的炎帝神农氏塑像。广场集文化、集会、娱乐、健身、休闲、商贸、交通等功能于一体，融合了历史文化和现代经济，宏扬了炎帝精神。广场分为文化景区、绿化景区、集会广场、休闲健身、商贸服务和交通集散等7个功能区。各功能区通过规划的放射状和圆弧状道路网，组成前导、核心和背景3个景观序列。其核心部分文化景区位于中轴线上，主体建筑为19.97米高的巨型炎帝塑像，环绕巨型塑像，有象征“太阳之神”的基台和寓意炎帝精神与日月同辉的弯月状喷水池，有以歌颂炎帝丰功伟绩为主题的大型浮雕和图腾柱，广场地下还规划建设了总面积达1.3万平方米的国际博览中心。位于广场后的株洲电视塔，又叫东方神龙塔，高293米，钢结构带旅游的多功能综合电视塔。既是广播电视的重要基础设施，同时又成为当地的标志性景观和人民群众文化娱乐的重要场所。,全年 全天开放,https://img1.qunarzz.com/travel/d2/1806/bd/27e36f51aa67dab5.jpg_480x360x95_bace02ea.jpg,4.6,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
炎帝陵Yan Emperor Mausoleum,http://travel.qunar.com/p-oi711883-yandiling,"

地址:
株洲市炎陵县城西17公里的鹿原镇境内


电话:
0731-26321666,0731-26325111

",炎帝陵，位于株洲炎陵县，是中华民族始祖炎帝神农氏的寝陵，这里古树参天、景色秀丽。千百年来，陵前的祭祀活动历久不衰，俎豆馨香，终年不绝。炎帝陵景区包括炎帝陵殿、御碑园、皇山碑林、天使公馆、圣火台、神农大殿、朝觐广场、圣德林、炎帝陵牌坊、崇德坊、鹿原陂、龙脑石、龙爪石、洗药池等景点，这些景点都分布在南北向的中轴线上。炎帝陵殿炎陵山（又名皇山）西麓，是炎帝陵景区的主体景点，大殿金瓦红墙，有浓郁的清式建筑风格，庄严肃穆、壮丽堂皇。过午门、行礼亭、陵殿、墓碑亭便是炎帝墓冢，墓前石碑为清道光七年知县沈道宽所书。冢丘碧草茵茵，四周花木郁郁。炎帝作为中华民族的始祖之一，自古以来便得到上起帝王、下至百姓的尊崇和祭奠。对炎帝的祭祀，传说中民间始于夏，官方见于周，帝王起于唐而兴于宋。以后历代皇帝便“三岁一举，率以为常”，每次祭祀完毕即刻御碑以作纪念。景区内除了门票外，拜祭炎帝时所需的香、鞭炮以及景区内一些工作人员塞给游客的平安果等物品，都需要另外收费。,全年 08:00-17:00;全年 08:00-17:30,https://img1.qunarzz.com/travel/d8/1710/cf/96a651c0878832b5.jpg_480x360x95_b5dd5563.jpg,4.3,建议游览时间：1小时 - 2小时,,"{'炎帝陵门票成人票\n\n': ['¥60起'], '炎帝陵门票老人票\n\n': ['¥30起'], '炎帝陵门票优待票\n\n': ['¥30起']}",,1
株洲电视塔Zhuzhou Radio And Television Tower,http://travel.qunar.com/p-oi710665-zhuzhoudianshita,"

地址:
株洲市天元区天台路1号


电话:
0731-22913168

",株洲电视塔，位于湖南省第二大城市——株洲市天元区，又叫东方神龙塔，高293米，海拔365米，钢结构带旅游的多功能综合电视塔。既是广播电视的重要基础设施，同时又成为当地的标志性景观和人民群众文化娱乐的重要场所。目前在国内主要的电视塔高度排名中株洲电视塔高293米，排名第13位，全球排名32位。上塔楼设计为观光平台，供游人观光游览，从上可以俯瞰整个神农城；下塔楼为商业区，计划引进诸如咖啡厅之类的高档商业会所，目前正在招商；塔座面积大，超过3000平方米，这里会设置医...株洲电视塔，位于湖南省第二大城市——株洲市天元区，又叫东方神龙塔，高293米，海拔365米，钢结构带旅游的多功能综合电视塔。既是广播电视的重要基础设施，同时又成为当地的标志性景观和人民群众文化娱乐的重要场所。目前在国内主要的电视塔高度排名中株洲电视塔高293米，排名第13位，全球排名32位。上塔楼设计为观光平台，供游人观光游览，从上可以俯瞰整个神农城；下塔楼为商业区，计划引进诸如咖啡厅之类的高档商业会所，目前正在招商；塔座面积大，超过3000平方米，这里会设置医务室、厕所、售票处、游客中心、监控指挥中心、导游处以及5D影院等设施。为保证安全，开放后，神农塔游客量将控制在每小时200人以内。改造完成之后，神农塔将保留原有的电视信号发射功能，同时还将成为整个景区的重要部分。,全年 09:30-21:00,https://img1.qunarzz.com/p/tts1/1801/39/05b317ce98863502.jpg_480x360x95_07c70bed.jpg,4.3,建议游览时间：1小时,,"{'株洲电视塔门票成人票\n\n': ['¥35起'], '株洲电视塔门票优待票\n\n': ['¥20起']}",,1
接龙桥,http://travel.qunar.com/p-oi711586-jielongqiao,,"1928年4月,毛泽东在接龙桥指挥战斗,有力地掩护了工农革命军和“八一”南昌起义部队顺利地向井冈山转移 。",,,4.5,,,,,1
荣泉书院,http://travel.qunar.com/p-oi706184-rongquanshuyuan,,"位于县城西北面,始建于清乾隆十八年, 工农革命军第一军第一团团部就设在此。",,,3.0,,,,,1
仙庾风景,http://travel.qunar.com/p-oi716098-xianyufengjing,,仙庾风景名胜区位于株洲市荷塘区东北方仙庾镇境内，有公路直达市中心，路距15公里。东与浏阳毗邻，南距大京风景区10多公里，景区两侧有株浏公路、茶马公路通过，交通十分便利。仙庾岭主峰海拔233米，位于主峰之上的文昌阁又名仙庾塔，为八角形石塔，今年升为省级文物保护单位。沿主峰石阶而下300米便是仙庾庙，1999年被列为市级文物保护单位。庙前建有500平方米的两层仿古戏台和能容纳2000余人的梯形坐？薪住？,,,4.5,,,,,1
工农兵政府旧址,http://travel.qunar.com/p-oi7469264-gongnongbingzhengfujiu,"

地址:
湖南省株洲市茶陵县城关镇前进村三组

",,"夏季：8:30-17:30

冬季：8:30-17:00",https://img1.qunarzz.com/travel/poi/1408/27/74e250d672bdb7b6ffffffffc8d65eac.jpg_480x360x95_0500261f.jpg,3.3,建议游览时间：2小时,,30元,,1
株洲酒埠江仙人桥旅游区,http://travel.qunar.com/p-oi7469298-zhuzhoujiubujiangxian,,湖南攸县仙人桥景点属典型的喀斯特地貌，是原有地下石灰岩溶洞在地壳抬升作用下大部分顶盖塌陷以后，保留下来的一小块顶盖形成的一座天然石桥。仙人桥位于攸县酒埠江风景名胜区太阳山景区漕泊乡的七里村，石桥下洞高60余米，桥面长约20米，两头窄中间宽，最窄处仅50厘米左右，最薄处也仅2米。此桥天造地设，鬼斧神工。 世上见于记载的天然桥，有的规模很大但桥下没有水，基本上是旱谷，即不再发育的“死谷”。仙人桥峡高雄险。桥下七里峡曲折险美，常年溪流不断，溪水汹涌澎湃或悠然潺...湖南攸县仙人桥景点属典型的喀斯特地貌，是原有地下石灰岩溶洞在地壳抬升作用下大部分顶盖塌陷以后，保留下来的一小块顶盖形成的一座天然石桥。仙人桥位于攸县酒埠江风景名胜区太阳山景区漕泊乡的七里村，石桥下洞高60余米，桥面长约20米，两头窄中间宽，最窄处仅50厘米左右，最薄处也仅2米。此桥天造地设，鬼斧神工。 世上见于记载的天然桥，有的规模很大但桥下没有水，基本上是旱谷，即不再发育的“死谷”。仙人桥峡高雄险。桥下七里峡曲折险美，常年溪流不断，溪水汹涌澎湃或悠然潺潺。峡谷里的石灰岩、火成岩、玄武岩似蹲似卧、张牙舞爪，而且谷内浓荫匝地、绝壁幢幢、瀑雨涟涟。这是一条正在发育中的“活谷”实为世上罕见。,,https://img1.qunarzz.com/travel/poi/1408/27/6600c8f4dd7f0b71ffffffffc8d65eac.jpg_480x360x95_d899454f.jpg,4.1,建议游览时间：6小时,适宜月份：4月、5月、6月、7月、8月、9月、10月,,,1
