名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
龙脊梯田Longji Rice Terrace,http://travel.qunar.com/p-oi715419-longjititian,"

地址:
桂林市龙胜各族自治县和平乡平安村


电话:
0773-7583188,0773-7583088


官网:
http://longjitour.com/

",龙脊梯田是桂林地区一个规模宏大的梯田群，这里坐落着几个少数民族古寨，居住壮、瑶两个民族。著名的村寨是平安寨，金坑大寨，古壮寨，黄洛瑶寨。来龙脊梯田自驾前往比较方便，游玩多以徒步看景拍照为主，还可尝尝当地的农家菜，住在风景优美的民宿内，体验少数民族风情。平安壮族梯田：经典的田园风光画卷游玩龙脊梯田，平安寨是经典的去处，这里旅游开发较早，吃喝玩乐设施也更为齐全。这里有170户人家，人口700多人，壮族村落，多为姓廖姓的壮族聚居区。梯田多由小田块组成，风景幽静秀美。到了秋季农作物成熟，只见一片金黄，此时的秋色梯田格外美丽。景区内的观景台当属“七星伴月”与“九龙五虎”了，不过游玩时需要发挥一些想象力。“七星伴月”是指当年开田时留下来的七个小山包像七颗小星星陪伴着如月的梯田。“九龙五虎”则是指龙脊主脉在这里分出来的九条小山梁，五个略微凸起的小山头如五虎一般，它们环绕在梯田间，守护着这方水土。龙脊古壮寨梯田：历史悠久的原生态美景龙脊古壮寨是景区内历史悠久的古村落之一，可追溯到明朝万历年间。龙脊古壮寨有200多户，1000多人，壮族村落，多为潘、廖、侯三姓的壮族聚居区。因交通闭塞及开发较晚，这里保留原始的梯田景观，而沿着山脊分布的一幢幢传统干栏式吊脚木楼，原汁原味，更是一道独特的风景。游玩时，可以沿着青石板路向上，欣赏一座座诉说着历史过往的石桥、石碑、石刻等，经过“始祖田”，到达“长沟”观景台俯瞰全寨美景，下山时可以站在“游龙下江”观景点看层层梯田如一条巨龙盘旋而下，直到金江，十分壮观。金坑红瑶梯田：气势磅礴的田野曲线除了壮观大气的梯田美景，这里红瑶族姑娘的长发更是一道靓丽的风景线。金坑大瑶寨有245户人家，1130多人口，瑶族村落，多为潘姓的瑶族聚居区。游览时可以选择沿着石板路上山，先去往“千层天梯”观景台，看层层叠叠的梯田如天梯般堆砌至云端，十分壮丽。继续往上走，有着“西山韶乐”观景台，在这里可以俯瞰梯田全景，蔚为壮观。如果想去往“金佛顶”观景台，赏整座大山如弥勒佛般端坐的神奇之景，则需在山脚的金坑大寨直接乘坐索道上山到达。游玩路线：一日游：平安壮族梯田或古壮寨梯田或金坑大寨+黄洛瑶寨。如果只安排了一天时间游玩龙脊梯田，建议在购买完景区门票后，直奔一个村寨寨看看风景，尝尝当地农家美味。两日/多日游：金坑红瑶梯田-平安壮族梯田-龙脊古壮寨梯田。如果计划多待几天，则可以按照距离桂林市区由远及近的方向游览。赏梯田、探访古村落、领略少数民族风情。赏日出日落：看梯田日出是许多游客来这必做的事，甚至许多摄影发烧友就是冲着日出而来。在金坑红瑶梯田有三个日出日落观景点：“西山韶乐”是观景点，距离较远，但视野也更开阔，看日出和日落都很赞，龙脊梯田的宣传片很多都拍自这里；“千层天梯”观景台距离山脚则比较近，这里能看到瑶族人家的寨子，能感受人文与自然融为一体，适合看日落；“金佛顶”是拍摄日落的地点，由于比较远，以前在这里拍照的人不多，近年开通了金坑大寨景区门口直达金佛顶的缆车，来这里拍照方便了许多。,全天开放,https://img1.qunarzz.com/travel/d6/1504/94/9e2d01537821c2.jpg_480x360x95_db01a6f1.jpg,4.5,建议游览时间：3天 - 6天,龙脊梯田的景色随季节的更替而变幻无穷。最好的游览时间是每年农历五月十五以后梯田开始放水，持续半个月；还有就是每年中秋以后的半个月。,"{'龙脊梯田门票成人票\n\n': ['¥80起'], '龙脊梯田门票+商务车(往返)票成人票\n\n': ['¥124起'], '龙脊梯田门票+大巴车(往返)成人票\n\n': ['¥130起']}","
  1、景区实行统一购票，分点检票的管理规定，请大家随身携带门票，在各检票点请主动出示门票或有效证件接受检票。 


  2、公路弯多路险，为了保证游客的出入安全，景区实行景区专线运营，9座以上车辆需换乘景区专线车，往返车票30元/人。公路多为盘山公路，弯多路窄，限速20公里/小时，请小心慢行，不占道不抢道。 


  3、未成年人、60岁以上老年人、残障人士和患有高血压、心脏病的游客到景区游览须有成年的专人陪同。 


  4、景区旅游观光步行道为石板路，在游览时请注意安全，不要穿高跟鞋行走石板路。走路不观景、观景不走路，雨天游览，请带好雨具，注意防滑。请不要随意离开旅游观光步行，严禁在观景台上攀爬，以防跌伤。 


  5、进入景区摄影创作请遵守景区的各项管理规定，尊重少数民族风俗习惯，在拍摄中请注意安全，请不要离开旅游步行道和观景台随意攀爬拍摄。严禁进入农耕小道及农作物耕种区进行摄影创作，如造成农作物损失，应给予农户赔偿。 


  6、动物有野性，请不要近距离的接触村寨内的猫、狗、牛、马等动物，沿路遇马、牛等动物时请靠山边避让。 


  7、景区内农家旅馆均为木楼，入住时请注意消防安全，不要在木楼和野外使用明火。农家旅馆为农户自主经营，由游客自由选择消费项目。 


  8、选择徒步在村寨中找景点的时候，岔路相对多一定要记住沿着石板路走，实在不知道就问在路边劳作的农民们，他们会很热情地指路。  


  9、观看寨子里的表演一定要问清楚是否要收费。  


  10、当地人有为游客带路、背包的习惯，可接受，但要讲好价钱。一般2小时路程10元或20元左右。   


  11、最佳观赏和拍摄地：平安七星伴月景点拍出来的照片很漂亮，是摄影发烧友的好去处。 
",1
漓江风景名胜区Li River,http://travel.qunar.com/p-oi706160-lijiangfengjingmingsheng,,,,,,,,,,1
遇龙河Yulong River,http://travel.qunar.com/p-oi710581-yulonghe,"

地址:
桂林市阳朔县白沙镇遇龙村


电话:
0773-8883118


官网:
http://www.ylhdjq.com/

",遇龙河是漓江在阳朔境内的一条支流，河水清澈如镜，随手就能拍出山水画般的照片。与漓江风光相比，遇龙河的风景更温婉，有“小漓江”之称。遇龙河的竹筏漂流很有名，可以坐筏细细品味沿河秀美的山水田园风光。漂流码头游玩遇龙河有三种方式：步行、骑自行车、遇龙河漂流（全程15公里左右）。乘竹筏泛舟在遇龙河上，两岸山水如画，非常享受。遇龙河全程漂流要4-5个小时（金龙桥至工农桥），通常分为上半段和下半段。码头有金龙桥、遇龙桥、旧县、骥马、水厄底、工农桥、万景等。如选择遇龙河的上半段漂流（金龙桥到旧县），漂流时长约1.5小时，沿途经过遇龙桥和犀牛塘。下半段漂流（朝阳/骥马到工农桥）大多是跟团的游客。骑行+漂流如果打算一日游，比较推荐的方式是上半段骑行，下半段漂流。从富里桥骑行到朝阳/骥马码头，然后漂流遇龙河下半段到工农桥。自行车有专门的运送船运到下游，上岸时，你的自行车已经在那儿等着你了。这样玩既可以享受骑行的乐趣，也可以乘竹筏看风景。骑行路上会路过富里桥，这里离阳朔县城约12公里，是观看两岸田园风光的推荐地点。还有和富里桥长得很像，但更出名的遇龙桥，以及被誉为“将军府第”、“进士楼阁”的旧县村。可以参观古建筑、城墙残垣、古井等等，顺便也休息一下。游玩结束后从工农桥回到阳朔，沿路可欣赏十里画廊风景。晚上用餐后，正好可以前去观看印象刘三姐演出，还有精力的话，演出结束可以去体验西街的夜生活。如果可以在阳朔住一晚，第一天可以乘车去漂流金龙桥-工农桥全程，下午骑车逛逛阳朔县城，晚上看印象刘三姐。第二天从阳朔县城租自行车绕河骑行，逛逛遇龙河下游的大榕树和月亮山，比较悠闲。在月亮山村有家庭旅馆和农家乐，可以休息和用餐。遇龙河漂流用餐大多在旧县村解决，这里有不少农家乐可以选择，出名的是老根农家饭店，口味好分量足，许多游客慕名而来。推荐尝试黄焖鸡、荔浦芋头和炒油菜花、啤酒剑骨鱼等招牌菜。,全年 08:00-16:30;全年 08:00-17:00;全年 08:00-17:00,https://img1.qunarzz.com/travel/d1/1705/b1/f390f58dd5069ab5.jpg_480x360x95_a80717bc.jpg,4.5,建议游览时间：2小时 - 6小时, 春夏两季是游玩遇龙河的最佳时间，此时是丰水期且气候宜人，适合游玩景区内漂流项目。 ,,"1、漂流途中，可能会遇到让游客照相，然后打印出来强制高价让你买的情况，多加留心。 2、在竹筏行驶中要经过多个坝堤，会溅起不小的水花，所以最好抬高双脚，并且注意自已的相机和手机，以防进水。 3、阳朔到遇龙河骑行路上岔道较多，建议用地图或者手机导航。遇到不确定的可以多问问当地人，一般都很乐于帮忙的。

  遇龙河两岸很少有现代交通工具，岸边的乡间小道只能徒步或骑自行车，单车+漂流是最享受的玩法。早上在阳朔的西街花15-20元钱租一辆山地车（如果你住在西街，可以在所住旅社就近租车，可以跟老板侃价到10元）骑单车去遇龙桥（那儿是漂流的起点）。共有两条路可走，一条是走桂阳公路，路很好走，不到1个小时即可到达；还有一条是河边小路，从大榕树景区的工农桥右拐，沿遇龙河逆流而上走乡间小路，路途远而难走，但风景好，大约3到5个小时可到达。漂流的时候，可以把单车放在竹排上或由漂流公司用车载回漂流的终点工农桥。如果不想骑车、只想漂流，可以从阳朔乘去桂林的班车到白沙镇下车，票价2元/人；或从桂林乘去阳朔的中巴车到白沙镇下车，票价7元/人。白沙镇有很多三轮车，1-2元就可以到达遇龙桥。（票价估计有所上涨）。",1
十里画廊Shili Gallery,http://travel.qunar.com/p-oi5157832-shilihualang,,,,,,,,,,1
遇龙河漂流Yulong River Rafting,http://travel.qunar.com/p-oi10014657-yulonghepiaoliu,"

地址:
桂林市阳朔县遇龙河景区


电话:
15807836201

",漂流是游玩遇龙河推荐的方式，乘竹筏泛舟在遇龙河上，两岸山水如画，非常享受。坐上缓慢的竹筏，看两岸连绵起伏的山峰和田园风光。沿途还会经过小镇和很多古桥，底下则是清澈的河面，安静又放松。遇龙河漂流沿路有6个码头，码头的顺序依次是：金龙桥码头、遇龙桥码头、旧县码头、骥马码头、水厄底码头、万景码头。,全年 08:00-16:30;全年 08:00-17:00,https://img1.qunarzz.com/piao/fusion/2107/2b/fe12de9492560c02.jpg_480x360x95_8f07fc0e.jpg,4.5,建议游览时间：2小时 - 5小时,春夏两季是游玩遇龙河的最佳时间，此时是丰水期且气候宜人，适合游玩景区内漂流项目。,不同漂流区间费用不同，具体请提前咨询,1. 1米（不含）以下，65岁（含）以上，不建议乘坐竹筏。 2. 游客须听众工作人员安排，穿戴好救生设备，中途不能脱下。3. 不得携带贵重物品（如手机、相机、摄像机等）乘筏。4. 漂游途中，游客不准戏水，不准下河游泳、不准撑筏。5. 饮酒者、心脏病、心脑血管等疾病患者及残疾人、孕妇、儿童、老人等特殊人群不宜乘坐竹筏。6.按竹筏承重安全位标准，体重超过125KG的游客建议单独乘坐竹筏，票价按筏收取。7.1米（含）以上儿童需购买成人票。1米（不含）以下儿童禁止乘坐双人筏，可以由家长陪同乘坐八人筏。,1
西街West Street,http://travel.qunar.com/p-oi711204-xijie,"

地址:
桂林市阳朔县


电话:
0773-8810682,0773-8822392


官网:
http://www.ysxijie.com/

",西街是一条有着一千四百多年历史的老街，沿街的建筑至今保留着桂北明清时期风格，很有古典韵味。这里以风格各异的酒吧、餐厅和咖啡店而闻名，白天文艺，夜里热闹非凡。由于西街外国人较多，并且有很多西餐厅和英文招牌，这里也被称为洋人街。白天的西街是一条安静的老街，三三两两的游人在街头懒散地闲逛。你可以沿着西街的石板路走走看看，感受一下西街的“店铺文化”。晚上的西街风情万种，夜景很美，沿街店铺霓虹闪烁，酒吧放着音乐，世界各地的游客在街边喝酒聊天。在这里你可以和两三个朋友一起，找一家临街小馆，要一份当地特色的啤酒鱼；也可以找一家酒吧，结交几个外国朋友，感受中西文化的碰撞。西街的尽头就是漓江，晚上在江边发发呆，散散步也别有一番趣味。西街是阳朔的游客集散中心，吃、住、行都非常方便。如果你住在西街附近，可以白天从这里出发，在客栈或者路边的小店租一辆自行车，花上一天、半天时间逛逛阳朔。如果想要看自然风光，可以去遇龙河景区，顺便感受漂流的刺激。,全天开放,https://img1.qunarzz.com/travel/d8/1703/30/42823b7086545bb5.jpg_480x360x95_29155c8b.jpg,4.4,建议游览时间：1小时 - 3小时,秋季，气候宜人，可避开7，8月份旅游旺季，游西街是最好的选择。,"{'天籁蝴蝶泉门票成人票\n\n': ['¥79起'], '图腾古道门票优待票\n\n': ['¥35起'], '桂林千古情演出票（含桂林千古情景区）门票成人票\n\n': ['¥279起']}","1、啤酒鱼是阳朔有名的地方特色菜，推荐团购更加实惠。 

  2、乘游轮到阳朔下船后，可以租辆自行车在阳朔县城内游玩，一边欣赏美景，一边领略民俗民风。 


  3、自行车租金参考：普通自行车淡季5元/天、旺季（4月至10月）10元/天；捷安特20-30元之间。 
",1
象鼻山景区Xiangshan Scenic Area,http://travel.qunar.com/p-oi711159-xiangbishanjingqu,"

地址:
桂林市象山区滨江路1号


电话:
0773-2582112,0773-2235151


官网:
http://www.glxbs.com/

",象鼻山景区位于桂林市中心、漓江与桃花江的交汇处，它犹如一匹舒卷长鼻、豪饮漓江甘泉的巨象而得名。清代工部郎中舒书在《象山记》中写到：“粤西之奇以山，粤西之山之奇以石，而省城相对之象，则又奇之甚焉者。” 象鼻山以其栩栩如生的形象引人入胜，是桂林山水的典型代表，1995年被定为桂林的城徽标志。2014年央视马年春晚，匈牙利的Attraction舞团在创意舞蹈《符号中国》中展示象鼻山。景区内主要景点有：象山水月、普贤宝塔、三花酒窖、爱情岛和云峰寺太平天国陈列馆等。【象山水月】         “象山水月”是象鼻山的一大奇观，宋代蓟北处士曾有《和水月洞韵》诗云：“水底有明月，水上明月浮。水流月不去，月去水还流。” 如果能在明月当空的夜晚来此欣赏水月洞的风景，那天上、洞中、水底月亮相映成趣的奇妙图画将呈现眼前。洞内现存有宋张孝祥《朝阳亭诗并序》，范成大《复水月洞铭》及陆游诗札等珍贵的摩崖石刻50余件。,4月1日-10月31日6:30-18:30;11月1日-次年3月31日7:00-17:30。,https://img1.qunarzz.com/travel/d8/1606/71/7c0cc99dea34a9f7.jpg_480x360x95_c98710e0.jpg,4.3,建议游览时间：1小时 - 2小时,春夏两季，是桂林的雨季，在雨雾烟岚之中赏景，更有飘飘若仙之感。,"{'象鼻山景区门票+天空之境旅拍大小同价\n\n': ['¥70起'], '象山景区门票+芦笛岩门票+伏波山门票成人票\n\n': ['¥104起'], '象山景区门票+两江四湖豪华空调船票成人票\n\n': ['¥197起']}",晚上的象山风景区也十分值得一去，在那里可欣赏到象山夜的奇幻。游玩时绝对不可错过大型超媒体夜游景观——《象山传奇》。《象山传奇》共分四个主篇章：远古桂林，神秘象寨、幻影剧场、神象传说。依托象山水月，通过声、光、电当代最先进的视听表现手段及影像技术，复活千百年来流传在世的象山神话与本土的人文风情。,1
相公山Xianggong Mountain,http://travel.qunar.com/p-oi7587639-xianggongshan,"

地址:
桂林市阳朔县葡萄镇

",相公山位于阳朔县兴坪镇境内的漓江西岸，在黄布倒影和九马画山两景点之间。这里光影、云海、日出、彩霞吸引了无数的摄影家和摄影爱好者前来拍摄，桂林摄影家在此拍摄的作品曾获第10届国际影展铜奖。登上相公山举目远眺，一座座如石笋般耸立的山峰尽收眼底，清澈的漓江在群峰中蜿蜒流淌，形成一个大大的弯钩，在晨雾缭绕中，如同水墨画中清亮的神来一笔。相公山并不是很高，20分钟左右便可登上山顶，但因为位置较为偏僻，景色十分原生态，上山和下山的路程都较为陡峭，游玩途中一定要注意安全。下到山脚便可欣赏到九马画山的景色，从这里坐渡轮到江对岸，便可乘车前往兴坪古镇游玩。,参考时间：6:00-18:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/bd26676e95ad0e1158a6c232ad31c54e.jpg_480x360x95_c18978ae.jpg,4.4,建议游览时间：2小时 - 3小时,秋季，气候宜人，山上风景秀丽，还可避开7，8月份旅游旺季。,"{'相公山门票+阳朔直通车(看日出)车票成人票\n\n': ['¥99起'], '相公山门票+阳朔直通车(看日落)车票成人票\n\n': ['¥80起'], '相公山门票+2号接驳车票成人票\n\n': ['¥80起']}",相公山的观景台有五层，每一层都是绝佳的摄影位置。,1
阳朔,http://travel.qunar.com/p-jq5942247-yangshuo,,,,https://img1.qunarzz.com/travel/poi/201407/01/51af13c3e27b8355ddb12cfb.jpg_r_720x400x95_13ea9068.jpg,4.5,,,,,1
两江四湖Two Rivers and Four Lakes,http://travel.qunar.com/p-oi716544-liangjiangsihu,"

地址:
桂林市象山区两江四湖景区文昌桥码头、象山渔人码头、日月湾码头、知音台码头


电话:
0773-8980066


官网:
http://www.glljsh.com/

",两江四湖包括了桂林市中心区的漓江、桃花江以及杉湖、榕湖、桂湖、木龙湖，是桂林城市中心优美的环城风景带，也是桂林的风景名片。坐游船是游览两江四湖的主要方式，尤其是晚上坐船，可以从多角度欣赏桂林夜景。乘船不仅可游览三大各具特色的主景区，即中国古典式园林——榕杉湖景区、生态园林——桂湖景区、宋历史文化园——木龙湖景区，而且在船上，可观赏到漓江两岸的象山（桂林地标）、伏波山、叠彩山、尧山、宝积山、老人山等十多座传统名山，还可以看到桃花江畔的舍利塔、虹桥坝、朱紫牌坊、独脚亭等名胜古迹。其中夜游两江四湖更是较为推崇的方式，五彩缤纷的灯光印着河水，让人感到梦幻绝伦，还可以看到精彩的表演，表演的内容可参考景区官网。,全天开放,https://img1.qunarzz.com/travel/d4/1512/dd/97f090445c6003f7.jpg_480x360x95_412e9909.jpg,4.5,建议游览时间：1小时 - 2小时,夏秋季节。江水水量充足，游玩别具风韵。,"{'桂林两江四湖景区夜游两江四湖票成人票\n\n': ['¥179起'], '两江四湖(豪华空调船)夜游票儿童票\n\n': ['¥105起'], '桂林两江四湖景区夜游两江四湖票亲子票(1大1小)\n\n': ['¥302起']}",登船码头：夜游两江四湖（全程）：文昌桥码头(上)-象山渔人码头（下）；或象山渔人码头（上）-文昌桥码头（下）；夜游四湖：日月湾码头（上）-日月湾码头（下）；日游四湖：日月湾码头(上)-日月湾码头（下）；日游一江四湖：日月湾码头(上)-象山渔人码头/文昌桥码头（下）；或象山渔人码头/文昌桥码头（上）-日月湾码头（下）。夜游一江四湖：日月湾码头(上)-文昌桥码头（下）；或文昌桥码头（上）-日月湾码头（下）。游览航线根据当日水位调整，具体登船码头请以工作人员出发前通知为准。码头地址：文昌桥码头：位于文昌桥东南端桥底（象鼻山附近，华亭食府面）；日月湾码头：杉湖北路1号（桂林粥城对面杉湖边，漓江大瀑布酒店正门斜对面）；知音台码头：滨江路（日月双塔的右侧面，杉湖岸旁）；象山渔人码头：滨江路漓江6号（象鼻山景区3号门处）。为保证取票、入园顺利，预订时请务必填写真实姓名、手机号码等信息，并请务必保持手机通畅！若因客人原因误船，可根据当时情况，在后续有船的情况下，由码头工作人员协助乘坐后面时段游船，需在码头补交改签费20元/人，如当天后续无船且客人不愿意改到次日，则船票硬损。若改为第二天游船，需在码头补交改签费40元/人，若改为第三天游船，需在码头补交改签费60元/人。最多可改到第三天的游船，之后不予改签，船票硬损，敬请谅解！,1
