名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
花萼楼Hua E Building,http://travel.qunar.com/p-oi10003049-huaelou,"

地址:
梅州市大埔县151乡道北50米

",花萼楼位于大埔县大东镇联丰村，距县城有45公里，建于明万历36年（公元1608年），距今有近400年的历史，为省级文物保护单位。花萼楼占地面积2300平方米，建筑面积2286平方米，属土木结构的圆形建筑。共有三环，内环为一层30个房间，二环为二层60间，外环为三层120间，共有210个房间。楼高11.9米，楼的墙体用生土夯筑而成，底层宽2米。顶层宽1.3米，楼顶为木梁灰瓦。楼的第一层不设窗，第二、三层墙上设有内小外大呈三角的枪眼，整座楼只有一个大门供出入，大门框用厚而宽的花岗岩石板组成，大门板钉上坚厚的铁皮，这些门窗设施是为抵御外人侵扰而特意设计的。楼内有面积为283.4平方米的圆形天井，用大小不等的鹅卵石铺成，中心装饰着一个直径3米的古钱币图案，寓意着人们祈求丰衣足食的心愿。天井一侧有口古井，用于防火和生活之用。楼内还有砻、碓等常用生活设施。整个土楼布局合理、通风采光、冬暖夏凉，现楼内还住着十多户林姓人家。,全年 全天开放,https://img1.qunarzz.com/travel/d3/1803/db/218b9d3374275bb5.jpg_480x360x95_c6faf39d.jpg,4.0,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
灵光寺Temple of Divine Light,http://travel.qunar.com/p-oi714037-lingguangsi,"

地址:
梅县雁洋镇阴那村


电话:
0753-5831180

","该寺原名圣寿寺，是广东省四大名刹之一，相传为唐代懿宗咸通年间高僧潘了拳创建，至今已有一千多年历史。明洪武十八年（1385年），广东监察御史梅鼎捐钱扩建，易名“灵光寺”，并亲书“灵光寺”三字嵌刻在山门殿的门额上。梅州灵光寺布局奇巧，主殿以""菠萝顶""建筑为最大特点，乃全国罕见，堪称庙堂建筑艺术的杰作。寺宇周围阴那山峰顶尖削如五指，称五指峰。",7:00-18:00,https://img1.qunarzz.com/p/tts2/1809/7c/0a38fad1337e5102.jpg_480x360x95_1c095ab9.jpg,4.6,,,成人40元；1.2米以下儿童、70周岁以上老人凭相关有效证件免票。,,1
黄遵宪故居Former Residence of Huang Zunxian,http://travel.qunar.com/p-oi702815-huangzunxianguju,"

地址:
小溪唇


电话:
0753-2233637

",清末爱国诗人黄遵宪的故居名为“人境庐”，取意陶渊明诗句“结庐在人境，而无车马喧”意。坐落在梅州市东3公里处的周溪畔，建于1884年春。门楣上的“人境庐”三个字，为日本书法家大域成濑温所书。庐舍内筑有花圃、假山、鱼池、五步楼、十步阁、息亭、七字廊、无壁楼、卧虹榭和藏书阁等。曲径回栏，花木掩映，景致清雅。黄遵宪晚年蛰居人境庐，创作了大量诗歌，并自选和编订了《人境庐诗草》。1980年，当地政府对人境庐进行全面修复。1985年，纪念黄遵宪忌辰八十周年之际，梅州各界人士云集人境庐，为黄遵宪汉白玉像揭幕。该处现被列为广东省重点文物保护单位。,全年 周二-周日 9:00-17:30,https://img1.qunarzz.com/travel/d4/1702/7a/b421c04c5ee99db5.jpg_480x360x95_e988ab88.jpg,4.7,建议游览时间：2小时,,具体收费情况以现场公示为主,,1
叶剑英纪念园Ye Jianying Memorial Park,http://travel.qunar.com/p-oi704432-yejianyingjinianyuan,"

地址:
梅州市梅县雁洋镇


电话:
0753-2825206


官网:
http://www.yjyjny.org.cn/

",叶剑英纪念园于2005年5月5日在原有叶剑英元帅故居和纪念馆的基础上进行整合、扩建与充实，现已扩展为四大功能区：人文景区、纪念景区、生态林区，并增建公园、广场、湖池、桥廊等新景物。新纪念馆依山而建，高三层，外观呈几何构造，气势恢弘，极具现代化气息，融美观和实用于一体，共分为四个展厅，除原有图片、铜像等实物展示外，新增场景再现、视频展示、油画作品等表现手法，便于人们参观和了解历史事件。第二展厅中高10米、面积90平方米的巨型浮雕，题为“大地回春”，表现的是粉碎“四人帮”后举国上下和人们欢悦之状。第三展厅中有《顶梁柱》浮雕，通过大量图片、实物、艺术品的展示，集中而生动地展现了老一辈革命家伟大光辉和充满传奇色彩的一生,9:00-17:00，16:30停止入馆。,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/f8e79d4570bcd5cbab2d7b69ce480722.jpg_480x360x95_f33f8379.jpg,4.5,建议游览时间：2小时 - 3小时,,领取参观券免费入场参观。,,1
雁南飞茶田景区Yannanfei Tea Fields,http://travel.qunar.com/p-oi711422-yannanfeichatianjingqu,"

地址:
梅州市梅县区雁洋镇长教村


电话:
0753-2828888


官网:
http://www.yearning.cn/

",雁南飞茶田景区坐落于梅县雁洋镇，是一个融茶叶生产、生态公益林改造、园林绿化、旅游观光、度假于一体的生态农业示范基地和旅游度假村。景区以客家文化、茶文化和生态旅游文化为主题。在这里可以欣赏原生态的客家歌舞表演、品尝可口的客家美食，或是在精美的园林艺术和满园鲜花中，欣赏清雅的茶艺表演；也可以尽情地呼吸充满负离子的清新空气，静心享受远离喧嚣的生活。此外，还能品尝客家盐焗鸡、农家梅菜扣肉等传统客家菜。景区主要有雁南飞神石、雁南飞大道、游客中心和茶情阁、茶艺表演、笑傲江湖瀑布、龙那山生态谷、仙茶阁、别墅区等景点及设施。雁南飞神石是度假村的标志性建筑，上面刻有“雁南飞、茶中情”六个字，“茶中情”表为内涵，与茶结缘，与茶会友，与茶传情。雁南飞茶田度假村的茶艺表演，茶艺功夫茶分为传统功夫茶和现代功夫茶两种，泡饮流程黄有18道工序，前12道由茶艺小姐表演冲泡流程，后6道主要品饮，在这表山绿水之间把盏闻香，细品甘露，可以亲身体会茶文化的内涵。“笑傲江湖”瀑布，全长168米，高4.8米。瀑布下面的石碑上刻有各种名人格言，非常耐人寻味。龙那山生态谷有峰恋叠嶂的原始次生林区，一个天然大氧吧。,1/1-12/31 全天开放,https://img1.qunarzz.com/piao/fusion/2108/75/a2e7ffe7d9be5602.jpg_480x360x95_89a5ac5d.jpg,4.3,建议游览时间：4小时 - 6小时,,"{'雁南飞茶田景区门票成人票\n\n': ['¥70起'], '雁南飞茶田景区门票+桥溪古韵景区门票成人票\n\n': ['¥75起'], '雁南飞茶田景区地图定位自动中文语音讲解服务大小同价\n\n': ['¥0.5起']}",,1
中国客家博物馆China Hakka Museum,http://travel.qunar.com/p-oi7587803-zhongguokejiabowuguan,"

地址:
梅城东区小溪唇


电话:
0753-2253668,0753-2233626


官网:
http://www.zgkjbwg.com/

",中国客家博物馆是中国最大的客家博物馆，内设1个主馆和3个分馆，由主馆中国客家博物馆和分馆黄遵宪纪念馆、梅州大学校长馆、梅州将军馆组成。以“客从何来”、“客家风情”、“地标围屋”、“人文秀区”、“客家腾飞”五部分展陈客家渊源、客家风俗、客家民居、客家文化、客家精神等内容，向游客们展示客家文化。,景区暂时停业，详情请以景区公示为准；原开放时间：周二-周日9:00-17:30（17:00停止入馆），逢周一闭馆（国家法定节假日除外）。,https://img1.qunarzz.com/travel/poi/1704/c0/1c49bb377d90fa37.jpg_480x360x95_d1f1da5d.jpg,4.6,,四季皆宜,景区暂时停业，详情请以景区公示为准；原门票免费。观众须凭有效身份证领票及接受安全检查方可进馆参观。,,1
千佛宝塔Thousand Buddha Pagoda,http://travel.qunar.com/p-oi702838-qianfobaota,"

地址:
梅州市梅江区金山街道东岩莲花山顶千佛塔寺内


电话:
0753-2290362

",千佛宝塔的塔中上下共三干尊佛，构成塔中有塔，塔上有塔，铁佛、玉佛、金佛共容一塔的特色，为梅州一大艺术杰作，是东南胜境之奇观。 起初，该塔始于修慧寺内，后毁，乾隆初年由嘉应州官王者辅迁置于梅城东郊山上，1989年迁入普同塔院内。1990年，普通塔院新建了一座高36米的大塔，共九层，首层置千佛铁塔，二至九层内壁镶了千尊汉白玉佛像，顶层安放着千尊金佛。 如今，在千佛塔下，又新建了雄伟的千佛殿，殿中有各样栩栩如生的神像，中间毗卢庶那大佛像镶嵌着两万颗宝石，为中国之最。大殿两侧的二十四诸天壁画，全国仅有两幅，另一幅在北京。千佛殿下还有沿山而上的九曲文化游廊，古建筑与现代艺术融为一体，显得更加灿烂辉煌。这样的佛教文化精品，当然值得一看。,全年 9:30-21:00,https://img1.qunarzz.com/travel/d8/1702/fb/5b7092ed49e872b5.jpg_480x360x95_7c69b2c2.jpg,4.5,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
桥溪客家民俗文化村Qiaoxi Hakka Folk Culture Village,http://travel.qunar.com/p-oi702480-qiaoxikejiaminsuwenhua,"

地址:
梅州市梅县区雁洋镇桥溪村

",梅州市梅县区雁洋镇桥溪村始称叩头溪，方圆约1平方公里，四面环山，东有五指峰，西有义安寨，南为笠麻顶，北为香炉峰，奇峰秀顶，气势昂然。村口的五彩林，有七棵古树，均为百年大树，有五种树种，分别为红楠（樟科）、青蓝树（黄叶树科）、山杜英（杜英科）、白车木（桃金娘科）、荷木（山茶科），其中青蓝树是目前国内外发现该树种中最大的一棵。 村内客家民居建筑，依山傍水，错落有致，世德楼、宝善楼、世安居、继善楼、燕诒楼、仕德堂独具特色，尤以继善楼和仕德堂外围的积善堂建筑规模、建筑艺术为粤东罕见而闻名遐迩。该村人杰地灵，民风淳朴，崇文重教，人才辈出，涌现了不少能人志士，全国政协港澳委员朱连芬是其中杰出代表。该村还是一个革命老区，抗日战争接待过不少革命人士，当时的粤东地委机关报—《群众报》就在该村印刷。 村内还有多处景点，村中的自然景观、客家风情习俗和历史沿革堪称“文化之乡”、“华侨之乡”和革命老区的一个缩影，具有较高的历史、艺术和科学研究价值，引来中外民俗学者、建筑专家和游客参观考察。,全年 全天开放,https://img1.qunarzz.com/travel/poi/1704/8f/2ca6eeb727a1e237.jpg_480x360x95_fc09434d.jpg,4.0,,,具体收费情况以现场公示为主,,1
灵光寺Yinna Mountain (Lingguang Temple),http://travel.qunar.com/p-oi711497-lingguangsi,"

地址:
梅州市梅县区雁洋镇阴那村


电话:
0753-2831302,0753-2831188,0753-2831805,0753-2831180

",阴那山位于粤东梅县雁洋境风，山上寺观众多，位于山麓的千年古刹灵光寺较为闻名。灵光寺本名圣寿寺，与广州光孝寺、韶关南华寺、潮州开元寺并成为广东四大名刹。这座寺庙始建于唐代，依山而建，千百年来香火甚旺。灵光寺内有“三绝”，一绝是“生死柏”，寺前两株1100多年树龄的柏树中，一株已枯死300多年，却没有腐烂，仍然挺立，与另一株枝繁叶茂的生柏并肩而立；二绝是大殿后面绿树繁茂，而大殿屋顶上却从来没有落叶，原因还是个谜；而这第三绝是“菠萝顶”。灵山寺现存建筑多为明清以后所建，主殿殿顶是用一千多块长方木拼成的螺旋型藻井，俗称波罗顶。当寺内香火盛时寺外却不见一丝烟缕，而烟会顺着螺旋形藻井盘旋而上，自然扩散。如此结构精巧的建筑工艺，在全国仅有两处（另一处是北京天坛）。,全年 08:00-18:00,https://img1.qunarzz.com/travel/poi/1704/7c/58ad1012f1f80c37.jpg_480x360x95_3278b6c0.jpg,4.5,建议游览时间：2小时 - 4小时,,具体收费情况以现场公示为主,,1
泰安楼Tai'an Building Hakka Cultural Park,http://travel.qunar.com/p-oi715567-taianlou,"

地址:
梅州市大埔县湖寮镇龙岗村

",泰安楼建于清高宗乾隆二十八年（公元1764年），距今已有247年的历史，是国内极为少见的石方楼，为省级文物保护单位。政府为保护泰安楼，为其修建了大型的保护公园，公园分陆地、水域两部分。建成中心、文化、湖岸、溪流、鼓楼、牌坊等6个功能区，38个景观集大埔“四乡”、“四名”特色于一园。,全年 08:30-18:00,https://img1.qunarzz.com/travel/d7/1409/14/f47c31be88451ab4ffffffffc8d65eac.jpg_480x360x95_d25f6e4e.jpg,4.0,建议游览时间：2小时 - 4小时,,具体收费情况以现场公示为主,,1
