名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
民勤沙漠公园,http://travel.qunar.com/p-oi36474860-minqinshamogongyuan,,,,,,,,,,1
武威沙漠公园Wuwei Desert Park,http://travel.qunar.com/p-oi714814-wuweishamogongyuan,"

地址:
武威市凉州区清源镇王庄村


电话:
0935-2315200

",武威沙漠公园位于武威市区东侧的清源镇，距离市区车程约25公里，是一处以沙漠为基础修建的公园。公园紧贴沙漠，却像是沙漠中的一座绿洲，这里有湖水、草原风光，种植了很多植物，还有成片的梭梭、桦木、红柳、沙米、蓬棵等植物林，环境优美。除了自然风光外，景区内还修建了亭台等园林式的建筑，精致优美。在这里既可以观看外侧的大漠戈壁，也能享受湖边树荫的园林幽静。除了观赏风光外，景区内还有跑马场、骑骆驼、划船等众多的娱乐项目，一般费用在20元左右，可以前去体验。,全年 08:30-18:00;全年 09:00-17:30,https://img1.qunarzz.com/p/tts5/1801/25/068e7874b1e8c602.jpg_480x360x95_17a16e3c.jpg,3.6,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
瑞安堡Rui'an Castle,http://travel.qunar.com/p-oi10003415-ruianbao,,瑞安堡俗称“王团堡子”，位于民勤县城南3.5公里的三雷乡三陶村，1938年修建。该堡南北长90米，东西宽56.5米，堡墙高10米，平面布局为“一品当朝”，寓意深刻，是国内保存较完整、设计较奇特的地主庄园之一。规模宏大，建筑壮观，设计独特，造工奇丽，集民宅和防御工事为一体，融实用性和艺术性为一身，充分体现了我国古建筑艺术传统和现代相结合的独特风格。,,,4.4,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
雷台汉墓,http://travel.qunar.com/p-oi707293-leitaihanmu,,是1969年10月在雷台下发现的一处东汉晚期的大型砖石墓葬，因出土了文物珍宝，中国旅游标志铜奔马而著名。雷台是古代祭祀雷神的地方，因在一高约十米的土台上建有明朝中期建造的雷祖观而得名。据出土马俑胸前铭文记载，雷台汉墓系“守张掖长张君”之墓，约在公元186-219年之间。墓道长19.34米，墓室分前、中、后三室及配以左右耳室三处，出土有金、银、铜、铁、玉、骨、石、陶器等文物231件，铜车马仪仗俑99匹。其中以铜奔马艺术价值最高。铜奔马又称马超龙雀，呈发绿古铜色，马高34.5...是1969年10月在雷台下发现的一处东汉晚期的大型砖石墓葬，因出土了文物珍宝，中国旅游标志铜奔马而著名。雷台是古代祭祀雷神的地方，因在一高约十米的土台上建有明朝中期建造的雷祖观而得名。据出土马俑胸前铭文记载，雷台汉墓系“守张掖长张君”之墓，约在公元186-219年之间。墓道长19.34米，墓室分前、中、后三室及配以左右耳室三处，出土有金、银、铜、铁、玉、骨、石、陶器等文物231件，铜车马仪仗俑99匹。其中以铜奔马艺术价值最高。铜奔马又称马超龙雀，呈发绿古铜色，马高34.5厘米，长45厘米，重17.5公斤，马呈飞奔状，三足腾空，昂首扬尾，右后足下踏一展翅奋飞回首惊视的“风神鸟”龙雀，改变了传统天马的造型手法，又符合力学平衡原理，蕴含丰富的天马文化内涵，铸造技巧精湛，堪称青铜艺术极品。铜奔马原件现珍存于甘肃省博物馆。,,https://img1.qunarzz.com/travel/d0/1611/71/8283151267efd9b5.jpg_480x360x95_46237a31.jpg,4.2,,,,,1
武威文庙Confucian Temple Changchun,http://travel.qunar.com/p-oi722468-wuweiwenmiao,"

地址:
武威市凉州区崇文街172号


电话:
0935-2213836,0935-2368131

",武威文庙位于武威市市区东南部，同时也是武威市博物馆的所在地。这座文庙修建于明朝，规模很大，历史上地位很高，被称为“陇右学宫之冠”。如今来此可以祭拜先圣孔子，参观古色古香的历史建筑和院落，还可以参观馆内收藏的众多文物。文庙的规模很大，纵深近二百米，宽约一百多米，进入后步行游玩即可，一般游玩1-2小时为宜。庙内有崇圣祠、尊经阁、状元桥、山门等众多古老的建筑，院落内还有一些参天的古树，整个景区内古色古香，适合参观拍照。在游览文庙时，可以注意一下悬挂在建筑上的众多匾额，其中有一些是用古回鹘文字、西夏文撰写的，十分特别。庙内的碑文也值得注意，有些碑上撰写了武威曾经出过的所有进士，可以去看看。除了建筑、院落外，文庙也是武威市博物馆的所在地，这里有关于武威历史的展览，可以来此参观，了解古凉州在历史上的鼎盛辉煌。文庙的状元桥上悬挂满了各种祈金榜题名的红色布条，很多家中有学子的家长都会来此上香祈福。,全年 8:30-18:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/5652eb83e775021205907aae3b014bc4.jpg_480x360x95_bf84eca3.jpg,4.4,建议游览时间：1小时 - 2小时,,"{'文殊院成都文殊院地图定位自动中文讲解服务成人票\n\n': ['¥1.1起'], '文庙【手机智能导游，不含门票】3D地图，语音服务成人票\n\n': ['¥1.1起']}",,1
罗什寺塔,http://travel.qunar.com/p-oi716387-luoshensita,,矗立在武威北大街，是为了纪念鸠摩罗什在武成弘扬佛法、翻译经典的功绩而建造的。罗什寺塔最早建于后凉(386―402)，唐时曾大力扩建，明、清皆有修葺。其间于明代成为陕西凉州大寺院，英宗正统十年二月十五日，为罗什寺院颁发了大藏经。并下了圣谕，谕中道：“刊印大藏经，颁赐天下，用广流传，兹以一藏，安置陕西凉州大寺院，永充供养。”此谕现完好保存于武威市博物馆。清康熙二十六《重修罗什寺碑记》载，经过重修的罗什寺“前后三院，焕然一新，乃五凉之福地；壮丽改观，诚河西之胜...矗立在武威北大街，是为了纪念鸠摩罗什在武成弘扬佛法、翻译经典的功绩而建造的。罗什寺塔最早建于后凉(386―402)，唐时曾大力扩建，明、清皆有修葺。其间于明代成为陕西凉州大寺院，英宗正统十年二月十五日，为罗什寺院颁发了大藏经。并下了圣谕，谕中道：“刊印大藏经，颁赐天下，用广流传，兹以一藏，安置陕西凉州大寺院，永充供养。”此谕现完好保存于武威市博物馆。清康熙二十六《重修罗什寺碑记》载，经过重修的罗什寺“前后三院，焕然一新，乃五凉之福地；壮丽改观，诚河西之胜地也”。现存罗什寺塔八角十二层，高32米，全以条形方砖砌成。从下起第三、五、八层均没门，顶部是葫芦形的铜质宝瓶，最上层东西各有小佛龛，龛内有佛像，据说是真金的。,,https://img1.qunarzz.com/piao/fusion/1805/2d/85bcba0eed283f02.jpg_480x360x95_962d86af.jpg,5.0,,,,,1
天梯山石窟Tianti Mountain Grottos,http://travel.qunar.com/p-oi707158-tiantishanshiku,"

地址:
武威市凉州区张义镇灯山村


电话:
0935-2980219

",天梯山石窟也称大佛寺，位于城南50公里处的中路乡灯山村，创建于东晋十六国时期的北凉，距今约有1600年历史。天梯山山峰巍峨，陡峭峻拔，高入云霄，山有石阶，拾级而上，道路崎岖，形如悬梯，故称天梯山。现在天梯山石窟仅 存3层，大小洞窟17处。较大的洞窟残高30米，宽19米，深6米。窟内有释迦牟尼造像1尊，高15米，宽10米，大佛左右两旁有文殊、普贤菩萨，广目、多闻天 王和迦叶、阿难等6尊造像，造形生动，神态威严，形象各异。窟内南北两壁上绘有大幅壁画。南壁为云纹青龙，中部为大象梅花鹿，大象背部驮有熠熠发光的经卷，下部是猛虎和树木花卉。北壁上部绘有青龙，中部绘有白马、墨虎、，马背上经卷闪闪发光，下部绘有牡丹花卉。整个壁画笔触清新，色泽艳丽，气势磅礴，形象逼真。天梯山石窟是我国早期石窟的代表。石窟建成后，世人仿此陆续开凿了金塔寺、马蹄寺、文殊山、榆林窟等。2001年，天梯山石窟被公布为第五批国家文物保护单位。石窟景区内建有天梯山庄和石窟文物陈列馆。,全年 8:30-17:30,https://img1.qunarzz.com/travel/d6/1704/8d/9c0ba7e89ffce6b5.jpg_480x360x95_05b7c299.jpg,4.2,建议游览时间：1小时 - 1.1小时,,30元,,1
白塔寺遗址,http://travel.qunar.com/p-oi704217-baitasiyizhi,"

地址:
甘肃省武威市白塔村

",白塔寺遗址位于甘肃省武威市东南20公里白塔村，海拔1500米。白塔寺为元代忽必烈（1260年-1295年）时期藏传佛教萨迦派法王赴凉州会谈西藏统一、并达成协议的居所。白塔寺遗址由寺院、塔院、塔林等建筑构成。寺院有围墙，东西420米、南北430米，墙基宽3.1米。院内探明6座殿基，墙基为砖或石砌。塔院中的殿基存有砖砌墙基、砖铺地面。塔院中萨班灵骨塔为主体建筑，始建于元、明、清重修。现存基座为土心砖表结构，边长26.75米、残高5.1米。白塔寺遗址是藏传佛教的重要寺院，也是中国元...白塔寺遗址位于甘肃省武威市东南20公里白塔村，海拔1500米。白塔寺为元代忽必烈（1260年-1295年）时期藏传佛教萨迦派法王赴凉州会谈西藏统一、并达成协议的居所。白塔寺遗址由寺院、塔院、塔林等建筑构成。寺院有围墙，东西420米、南北430米，墙基宽3.1米。院内探明6座殿基，墙基为砖或石砌。塔院中的殿基存有砖砌墙基、砖铺地面。塔院中萨班灵骨塔为主体建筑，始建于元、明、清重修。现存基座为土心砖表结构，边长26.75米、残高5.1米。白塔寺遗址是藏传佛教的重要寺院，也是中国元代祖国统一的历史见证。其建筑形制和出土遗物对研究藏传佛教寺院布局、藏传佛教传播等有很高价值。,8：00—18：00,https://img1.qunarzz.com/travel/d4/1704/bc/7828d73e32c953b5.jpg_480x360x95_02ee8602.jpg,4.0,,,20元,,1
海藏寺Haicang Temple,http://travel.qunar.com/p-oi702628-haizangsi,,"海藏寺位于武威城西北2公里处，是现存比较完整的一处古建筑，占地11,600平方米，是河西的名刹古寺，属省级重点文物保护单位。寺内山门、大殿、灵钧台、天王殿、无量殿等保存完整。现海藏寺外已开辟为海藏公园。站在灵钧台上，放眼望去，湖水碧波荡漾，弯曲的小河清澈见底，沿河两岸野花盛开，钻天白杨，婆娑垂柳，风摇芦苇，构成一幅动人的画面，是文物风景结合的游览胜地。",,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/1ca545ecfac7f9dba50ac40565744f18.jpg_480x360x95_f6242339.jpg,4.5,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
皇娘娘台遗址Dourong Mausoleum Site,http://travel.qunar.com/p-oi710322-huangniangniangtaiyizhi,"

地址:
武威市凉州区西北2.5公里

",皇娘娘台遗址旧名尹夫人台。在甘肃武威县城西北2.5公里，属“齐家文化”遗址，距今4000年左右。遗址东西长500米，南北宽250米，文化层厚度 0.62米至2.3米，内涵丰富，曾发掘出房址9座，窑穴围绕房屋，有圆形，椭圆形和长方形3种。出土文物以陶器为主，石器，骨角器，铜器，卜骨都有。刀，锥为红铜，分铸造，锻打两种。石器以打制为多，磨制石器也有增加。,全年 8:00-18:00,,4.4,建议游览时间：1小时,,,,1
大云寺铜钟Dayun Temple Copper Bell,http://travel.qunar.com/p-oi713626-dayunsitongzhong,"

地址:
武威市凉州区和平街钟楼巷18号大云寺内


电话:
0935-2214086

",坐落在武威城东北角的大云寺内，与文庙、罗什寺塔、海藏寺、雷台等古建筑遥相呼应。大云寺，原名宏藏寺，历史悠久，规模宏伟，是闻名遐迩的佛教古刹，为东晋十六国前凉升平七年(363年)张天锡所建造。唐载初元年〔689年)七月重修后改名为大云寺。因屡遭地震、兵燹，寺庙一度受到破坏。明洪武十六年(1383年)，日本僧人沙门志满曾远渡重洋来凉州朝拜大云寺，并主持募化重修，被传为中日人民友好史上的一段佳话。1927年4月23日河西发生7.8级地震时，大云寺遭到严重破坏，唯存寺内的古钟楼。古钟楼建造在拔地而起的砖包台基上，南7.8米，基底约125平方米。楼上悬挂巨钟1口。由合金铸成，据说是唐钟，钟鼓腹，通高2.5米，径1.2米，重600余公斤。,全年 7:00-20:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/cf0c217a4d688e2b6355d930c3eac043.jpg_480x360x95_92831335.jpg,4.4,建议游览时间：1小时,,具体收费情况以现场公示为主,,2
陇右学宫之冠,http://travel.qunar.com/p-oi715865-longyouxuegongzhiguan,,"武威市区东南隅，是一组造型雄伟的仿皇家宫阙建筑群，始建于明正统四年（公元1439年），历经扩建，规模庞大，号称“陇右学宫之冠”。文庙坐北向南，总面积1,500平方米，是历代文人墨客的修学和祭祀孔子之地，东西两组古建筑巍然屹立，保存完好。文庙现存建筑以圣庙和文昌宫保存最好。参天，古朴静雅，整体建筑布局对称，结构严谨，雕梁画栋，檐牙高啄，碑匾林立。著名的有刻有回鹘文的高昌王世勋碑，刻有回纥文的西宁王忻都公神碑，和保存最完整的中文－西夏文对照珍本词典“西夏碑...武威市区东南隅，是一组造型雄伟的仿皇家宫阙建筑群，始建于明正统四年（公元1439年），历经扩建，规模庞大，号称“陇右学宫之冠”。文庙坐北向南，总面积1,500平方米，是历代文人墨客的修学和祭祀孔子之地，东西两组古建筑巍然屹立，保存完好。文庙现存建筑以圣庙和文昌宫保存最好。参天，古朴静雅，整体建筑布局对称，结构严谨，雕梁画栋，檐牙高啄，碑匾林立。著名的有刻有回鹘文的高昌王世勋碑，刻有回纥文的西宁王忻都公神碑，和保存最完整的中文－西夏文对照珍本词典“西夏碑”（重修护国寺感应塔碑）。文庙内现设有武威市博物馆。",,https://img1.qunarzz.com/travel/d1/1503/ad/0b8d815436bfaa.jpg_480x360x95_bcff05f5.jpg,0.0,,,,,2
