名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
百里杜鹃风景区Baili Dujuan (“Hundred Miles of Rhododendrons”) Scenic Area,http://travel.qunar.com/p-oi705829-bailidujuanfengjingqu,"

地址:
贵州省毕节市大方县普底乡大荒村百里杜鹃风景名胜区


电话:
0857-4666999,0857-2198156

",百里杜鹃风景区位于贵州毕节市大方、黔西县交界处。造访景区的好时间是每年的花期，大约是3月底-4月末。杜鹃的花期很短，每年只有两三个星期，每年杜鹃花开的时候，当地政府会牵头举办规模盛大的国际杜鹃花节。同时由于百里杜鹃景区是彝族和苗族聚居地，民族风情浓郁，杜鹃花期正好也是好几个少数民族节庆的日子比如彝族插花节、苗族跳花节等，届时旅行者会看到丰富多彩的民族风情表演。景区基本上多在公路的两侧，呈长条状分布，交通便捷。如果可以找到老乡带路，徒步穿越整个保护区是个不错的主意，徒步难度也可以自己选择，在景区走不动了就可以爬上公路搭车。坐大方至普底的车在景区保护局门口下车，即可看见景区地图，观景台、杜鹃展示区等景点，但是展示区都是一盆盆又矮又小的杜鹃盆栽，据说一百多个品种，不过并不都是本地品种。,3/15-4/25(旺季) 08:30-19:30;4/25-12/31 08:30-17:30,https://img1.qunarzz.com/travel/d3/1611/dd/1efc84139742f5b5.jpg_480x360x95_b92c9677.jpg,4.3,建议游览时间：12小时 - 3天,3-8月,"{'百里杜鹃风景区门票成人票\n\n': ['¥130起'], '百里杜鹃风景区门票+观光车票成人票\n\n': ['¥165起'], '百里杜鹃观光车票（普底/金坡景区内使用）票大小同价\n\n': ['¥35起']}",,1
阳光云漫1660彝山花谷Yi Mountain Flower Valley Scenic Area,http://travel.qunar.com/p-oi19589588-yangguangyunman1660yi,"

地址:
毕节市大方县


电话:
0857-5671660

",“彝山花谷”位于毕节市百里杜鹃鹏程管理区启化村，是百里杜鹃新打造的旅游景点。该景区是百里杜鹃依托当地十万彝山这个得天独厚的旅游资源，依托花卉、温泉等，打造的一个集度假、养生、观光、体验为一体的旅游景区。,9:00-17:30,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/8a505acae717ab01aded57860ce9c432.jpg_480x360x95_77a12308.jpg,3.1,建议游览时间：12小时 - 3天,,"{'百里杜鹃风景区门票成人票\n\n': ['¥130起'], '彝山花谷景区电子导览服务大小同价\n\n': ['¥7起']}",,1
奢香古镇Shexiang Ancient Town,http://travel.qunar.com/p-oi32734290-shexiangguzhen,,奢香古镇位于毕节市大方县，名称来源于大方历史上有名的彝族巾帼英雄、明代杰出的政治家——奢香夫人。奢香夫人是明朝洪武时期英雄人物，拥有非凡的历史政绩，她开辟龙场九驿、兴办汉学、力劝农商，深受人们爱戴。奢香古镇分为南区（奢香印记）、北区（古镇遗风）和中区（都市禅心）三大主题商业街区，配有八大主題文化广场、十大艺术塔楼，将非物质文化遗产及彝族文化充分演绎。景区里从南至北由旅游步道和观光车道紧密环接约2.3公里，景色迷人、四季飘香。古镇环抱大型生态园林景观古彝花海梯田，建筑风格融入了独特的水西古彝文化元素，梯田花海与古镇交相辉映，彰显梯田风采、彝家古楼、花海韵味、民俗底蕴。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/406b468f9be215d5fda79f0a88d8a759.jpg_480x360x95_cf038b28.jpg,4.3,建议游览时间：3小时 - 5小时,,{'奢香博物馆电子导览服务大小同价\n\n': ['¥7起']},,1
九洞天Jiudongtian Scenic Spot,http://travel.qunar.com/p-oi703973-jiudongtian,"

地址:
毕节市大方、纳雍两县交界的六仲河上，长沙村


电话:
0857-7109090

",九洞天位于大方、纳雍两县交界的六仲河上，是国家重点风景名胜区，总长约6公里，分为两段。洞内暗河扩展形成多处洞内湖，水流平稳。“一洞天”为旱洞，内宽阔，是进洞的大厅，面积约3000多平方米，平均高为80米，洞壁洞顶上钟乳石千奇百怪，壮丽非凡；“二洞天”现辟为发电洞室，通过闸门控制引取落差11米的水发电，是国内罕见的无厂房天然洞内发电站，极为经济；“三洞天”洞内高大宽阔，迂回幽静，左岸石壁异常光滑，如刀砍斧削，右岸壁上悬挂着五颜六色的钟乳石；“四洞天”是由多个洞穴组成的天然景区，洞内钟乳石或似塔形，或如殿宇，晶莹剔透，形象逼真；“五洞天”，呈葫芦状的暗湖，上收下放，自然而成；“六洞天”为相连的天生桥洞窗，顶部距水平面约百米，十分险要；“七洞天”是一大旱洞，洞内千窗百孔，互相可通，能容纳数千人；“八洞天”洞口宽仅二三米，而高达数十米，好似高楼窄巷，阳光折射进去，水面光色变幻无穷；“九洞天”内的溶洞共分三层，下层奇形怪状的水洞暗湖与八洞天相通，四通八达。中层有一座长90米、宽120米的巨大天生桥，成“门”字形，从桥下广场俯视观水洞，神秘莫测，抬头仰望，苍穹被画为两个巨大的圆弧，好似牛郎织女相会时的鹊桥。上层是与天生桥拱平行的洞厅，面积约数万平方米，无数洞穴口相通相连，形成立体迷宫，举世罕见。,8:00-17:30,https://img1.qunarzz.com/piao/fusion/2106/90/b94992e3aa91e202.jpg_480x360x95_841249ea.jpg,4.2,建议游览时间：3小时,四季皆宜,"{'九洞天门票成人票\n\n': ['¥50起'], '九洞天东门门票学生票\n\n': ['¥50起'], '九洞天门票+观光车票成人票\n\n': ['¥70起']}",,1
阿西里西韭菜坪Ahsilisi Chives Field,http://travel.qunar.com/p-oi9562097-axilixijiucaiping,"

地址:
毕节市赫章县韭菜坪景区中营服务区


电话:
0857-3227089

",阿西里西韭菜坪（阿西里西天上花海景区）又称大韭菜坪，与位于毕节市赫章县南部，毗邻威宁县二塘镇、六盘水大湾镇的小韭菜坪属于两个不同地方的景点。阿西里西韭菜坪（阿西里西天上花海景区）位于海拔2900米的贵州屋脊韭菜坪，是全国唯一的野生韭菜花保护区。原生态韭菜花海连绵数万亩，每年八九月盛开，五彩缤纷，气势磅礴。大韭菜坪山顶为十万余亩的高原平台，上面长满了数万亩郁郁葱葱的野生韭菜，是全国惟一的野生韭菜花带，起伏的山丘四周是200余公尺的悬崖。韭菜花开的季节（每年8月初至10月中旬），登上大韭菜坪峰顶，头顶蓝天，放眼望去，起伏的山丘上数万亩野韭菜花竞相开放，漫山遍野的紫色球状韭菜花，点缀在万亩绿色草叶之间， 灿烂，辽远，让人心旷神怡。畅游花间，野韭菜花的芳香扑面而来，令游人留连忘返，陶醉其间。近年来，随着天上花海景区旅游资源的开发和知名度的提升，到花开的季节，每天都有成千上万的省内外游客纷至沓来，每晚都有成百上千的游客和摄影爱好者留宿山上观看、拍摄日落和日出。为了保障游客安全和缓解交通压力，2015年8月，目前毕节市唯一的一条旅游观光缆车将在景区内正式运营，全长1.3公里，可以从海拔2300米的草原直达海拔2700米的天上花海观光区 ，极大的提高了游客游览的舒适性和安全性，同时，景区还将不断地完善各项软硬件设施，为游客提供更优质的游赏服务。,8:30-18:00,https://img1.qunarzz.com/piao/fusion/1710/cc/49d805a8a017f702.jpg_480x360x95_c13dccd1.jpg,4.5,建议游览时间：12小时 - 3天,,可至景区微信公众号预约，或登录官网进行预约。预约流程：点击门票预约-填写相应信息-点击提交订单-完成预约。,,1
乌江源百里画廊Wujiangyuan Hundred Mile Gallery,http://travel.qunar.com/p-oi9206226-wujiangyuanbailihualang,"

地址:
贵州省黔西县新仁苗族乡

",乌江源百里画廊旅游区属旅游资源。位于黔西县南部，321国道公路旁，因修建东风水电站而形成。湖区总长62千米，宽度60-1000米之间，湖水面积近20平方千米。且多瀑布山泉跌落湖中，是千里乌江上很美的崖壁画廊。湖水清澈澄深，倒影沉碧，宁静秀丽，两岸峰壁险峻，气势恢宏，断层壁画神秘多姿，鬼斧神工，景观众多，有“山似三峡而水胜三峡，水似漓江而山胜漓江”的美誉，是千里乌江上很美的崖壁画廊，因此称乌江源百里画廊。“乌江画廊”神美之笔——东风湖，风光迷人，景色秀丽，融高峡、平湖、溶洞、飞瀑等景色为一体，素来被誉为“山似三峡而水胜三峡，水似漓江而山胜漓江”。曲折的11道弯，蕴藏着雄浑之美、神肖之美、逶迤之美。沿东风湖逆流而上四十分钟，有一个被誉为“贵州省苗族歌舞之乡”的苗寨，她就是位于东风湖畔笋子岩下，至今仍保留着独特的苗族风情的化屋苗寨。当你步入苗寨时，热情好客的苗家人身着盛装，吹着芦笙，唱着苗歌，端着米酒，迎候在寨门，欢迎远方客人的光临。漫步苗寨，随处可以听见悠扬轻快的芦笙舞曲，天赖之音般的无伴奏多声部合唱。处处可以领略苗族的“芦笙拳舞”、“板凳拳舞”等各具特色的少数民族舞蹈。饱览民族歌舞之余，你还可品尝老腊肉、酸汤点豆花等美味农家食品。,全年 全天开放,https://img1.qunarzz.com/travel/d5/1506/e3/9ef1fd80bc2859.jpg_480x360x95_b2a17da9.jpg,4.5,建议游览时间：1小时 - 2小时,,船票另收费。,,1
织金洞Zhijin Cave,http://travel.qunar.com/p-oi703040-zhijindong,"

地址:
毕节市织金县官寨乡织金洞景区


电话:
0857-7812737,0857-7812063,0857-7812018


官网:
http://www.gzzjd.com/

",织金洞，是中国目前发现的一座规模宏伟、造型奇特的洞穴资源宝库，洞中遍布各种形状的石笋、石柱、石芽、钟旗等，形成千姿百态的岩溶景观。由于整个洞穴景区的游览路线是单向行走路线，所以只要进洞就必须走完全程，从出口出来以后再搭乘电瓶车回到景区门口。在洞穴里可以欣赏到遍布的石笋、石柱、石芽、钟旗等各种堆积岩石，形成千姿百态的岩溶景观。洞道纵横曲折，石峰星罗四布。万千景象，美不胜收，令人不经感慨大自然的鬼斧神工。买票进入景区后，一般20-30人为一批，有导游跟随讲解。在淡季，必须凑够10人才能进洞，因为洞大路多，为防止游客迷路走丢，必须紧跟导游游览。,具体开放时间以实际预约的时段为准。,https://img1.qunarzz.com/travel/d9/1705/bd/5b48576f3c2e77b5.jpg_480x360x95_5a91dfe9.jpg,4.7,建议游览时间：3小时,3月-11月最佳。冬季山区较冷，不适宜旅游。,"{'织金洞门票+观光车票成人票\n\n': ['¥135起'], '织金洞门票+观光车票儿童票\n\n': ['¥30起'], '织金洞门票+观光车票学生票\n\n': ['¥85起']}",1、洞中的平均气温10℃-16℃，空气较凉、潮气较重，怕凉的游客夏季最好能随身带件外套进洞。 2、洞中并不禁止拍照，但要注意避免为了取一个好景碰触到路边沉积岩，它们很脆弱。 3、由于游客进入带来二氧化碳，洞中很多美丽透明的钟乳石已变黄了，请注意洞内禁止吸烟。,1
草海Caohai Lake,http://travel.qunar.com/p-oi715314-caohai,,,,,,,,,,1
韭菜坪Chive Lawn,http://travel.qunar.com/p-oi7434706-jiucaiping,"

地址:
六盘水市钟山区大湾镇


电话:
0857-3221796

",小韭菜坪位于毕节市赫章县珠市彝族乡韭菜坪村，与阿西里西韭菜坪（又称大韭菜坪）是位于不同地点的景点，因山腰生长成片野韭菜而得名。景区的主峰是欣赏韭菜花和登山赏景的好地点。小韭菜坪内的韭菜花面积虽然没有阿西里西韭菜坪的面积大，但这里还有漫山的石林可以任你发挥想像。,全年 10:00-21:00,https://img1.qunarzz.com/travel/d3/1804/66/06ba7af2629ff7b5.jpg_480x360x95_c493b40b.jpg,4.6,建议游览时间：3小时,夏季气候条件很适宜山地避暑旅游。,"{'阿西里西韭菜坪门票成人票\n\n': ['¥43起'], '阿西里西韭菜坪往返缆车票大小同价\n\n': ['¥78起'], '阿西里西韭菜坪往返观光车票大小同价\n\n': ['¥48起']}",,1
大屯土司庄园Datun Tusi Manor,http://travel.qunar.com/p-oi708581-datuntusizhuangyuan,"

地址:
大屯村村民委员会附近

",大屯土司庄园位于毕节市东北隅100公里的大屯乡。大屯土司庄园规模宏大，是全国仅存较为完整的彝族土司庄园之一。始建于清道光年间（公元1821—1850年），相传是彝族土司余象仪所建。大屯土司庄园整体布局为中轴大体对称的大规模三路构筑，各路皆有三重堂宇。左路建筑有东花园、粮仓、绣楼等。东花园也称“亦园”，用于接待客人。园内有花圃客房等，其建筑十分精美。花圃错落有致，客房装修华丽，院坝青石铺就，院墙彩绘粉饰，古色古香，十分幽雅。中路建筑有大堂、二堂和正堂，各路堂宇之间均有石坝或内墙间隔。高大的砖筑院墙，墙檐下砌筑斗拱，显得古朴厚重。犹可想见，当年的土司庄园守备森严，肃穆庄重。院内进深80余米，横宽60余米，整个占地面积6000余平方米，建筑布局层层深进、重重抬高，气势宏伟壮观。其石作、木作以及家具雕刻的各类图纹具有鲜明的彝族文化艺术特征，是研究民族、民俗学的珍贵实物资料。,全年 18:30-22:00,https://img1.qunarzz.com/travel/poi/1408/20/848bb45a7ae7c2a4ffffffffc8d65eac.jpg_480x360x95_54310f56.jpg,4.5,建议游览时间：1小时,四季皆宜,具体收费情况以现场公示为主,,1
