名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
汉中石门栈道风景区Hanzhong Shimen Catwalk Scenic Area,http://travel.qunar.com/p-oi7524267-hanzhongshimenzhandao,"

地址:
汉中市汉台区河东店镇


电话:
0916 229 4212


官网:
http://www.hzsmzd.com/

",石门栈道风景区，位于汉中市区以北约15公里的河东店镇，是在石门水库修建后新造的仿古栈道，原有的石门栈道（褒斜道部分）因为修建水库，在1969年就已经被淹没了。自春秋战国时期开始，古人为了翻越秦岭天险，沿着山沟河谷在悬崖峭壁上凿孔，横木为梁，立木为柱，然后铺上木板形成“栈道”。1969年，石门大坝在褒谷口修建，褒斜道及石门遗址被水库淹没，时隔多年，又在褒斜道原址上向上抬高70米，修建了仿古的石门栈道。仿建的石门栈道全长三公里多，完全按照古代栈道“平梁斜撑”、“平梁立柱”、“依坡搭架”等七种形式，并按汉代风格恢复了一座驿站、三座邮亭、两座栈桥以及天心桥遗迹，另外还在“石门隧洞”遗址原处的山崖上仿凿了16米长的石门隧洞。石门栈道风景区有东、西两个入口，分别位于褒河的东岸和西岸，大部分游客从西边的入口进入景区。当游客景区景区大门后，需要步行约半小时才能够到达主景区，也就是石门大坝、石门水库和重新修建的仿古栈道，当然你也可以乘坐景区内的交通车，从景区大门到达主景区，交通车的费用不包含在门票内，需要另行购票。如果你选择步行到达主景区，那么路途中会穿过一条仿古商业街，路上还能看到一些十二生肖的雕像，之后就能看到石门水库和栈道的入口了。新修建的栈道，建在悬崖峭壁之间，十分险峻，当你走在上面，你的脚下，就是深不可测的石门水库，会不由得想起千年之前，古人修建这段栈道的艰辛，不得不佩服古人的才能和智慧。当游客从栈道的尽头返回到石门大坝时，也可以穿过大坝，从大坝顶端步行到褒河的东岸，然后从景区的东大门离开风景区。景区内还有滑索和游船等娱乐项目供游客选择，游客可以通过滑索或者游船，从褒河的西岸到达褒河的东岸。当然，游客游玩栈道后，也可以按照原路返回西大门。原本分布在栈道南端及石门隧洞附近的极其珍贵的十三方石刻，称为“石门十三品”，有兴趣的游客可以在汉中博物馆中欣赏到。,03/01-11/30(旺季) 08:30-17:30;12/1-2/28(淡季) 08:40-16:50,https://img1.qunarzz.com/travel/d3/1707/57/ddd1cf1f01188eb5.jpg_480x360x95_d014fb35.jpg,4.3,建议游览时间：2小时 - 3小时,春秋最佳,"{'汉中石门栈道风景区门票成人票\n\n': ['¥70起'], '汉中石门栈道风景区门票学生票\n\n': ['¥35起'], '汉中石门栈道风景区门票老人票\n\n': ['¥35起']}",,1
汉中油菜花海Hanzhong Canola Fields,http://travel.qunar.com/p-oi10003551-hanzhongyoucaihuahai,"

地址:
陕西省汉中市洋县高速出口（洋县出口）

",汉中地处秦巴山区，是传统的油菜种植生产基地，约有112万亩油菜花。每年的3、4月份，汉中盆地和浅山丘陵的百万亩油菜花同时怒放，盛开的油菜花与镶嵌其间的麦苗及青山绿水相映成趣、蔚为壮观，构成汉中盆地一道亮丽的风景线，曾被评为“中国较美的油菜花海”。汉中的油菜花海不是连续着的一整片，而是柔软的绿和娇嫩的黄相互交替，畅游其间，会感受到色彩带给人的震撼，翠绿的叶子和明黄的鲜花相互映衬，蜂蝶飞舞，花香四溢。田野间盛开的油菜花，田埂上开得正好的桃花，纤细碧绿的垂柳，以及远远能看到的农家小院和青山绿树，共同构成一幅色彩明艳的画。无论你是路过，还是专程探访，都会被这抹艳丽的风景给迷醉，连心底的阴郁也烟消云散，能感受到的只有身处花田之间，耳边蜜蜂振翅嘤嘤嗡嗡带来的春天的气息，自然的味道。,全年 全天开放,https://img1.qunarzz.com/travel/d4/1803/c9/ea94345d4f5926b5.jpg_480x360x95_4beb9ea9.jpg,4.7,建议游览时间：3天,3、4月份油菜花盛开时最佳。,{'汉中油菜花海一日游【汉中特色，穿越秦巴山脉，亲子拍照好去处】\n\n': ['¥480起']},,1
"洋县油菜花Rape Flower Field, Yangxian County",http://travel.qunar.com/p-oi18716763-yangxianyoucaihua,"

地址:
汉中市洋县

",洋县油菜花面积辽阔，开花时一片金黄色的海洋，十分的美丽。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/39f46d70dd7014c78a814f8bc359292d.jpg_480x360x95_2a312b1a.jpg,4.6,建议游览时间：3天,,具体收费情况以现场公示为主,,1
青木川古镇Qingmuchuan Ancient Town,http://travel.qunar.com/p-oi7524264-qingmuchuanguzhen,"

地址:
陕西省汉中市宁强县大青路附近


电话:
0916-4341678


官网:
https://www.qmcjq.com/

",青木川古镇山清水秀，生态天然，民风古朴。古镇历史悠久，古时曾是羌汉杂居地区，自明朝年间逐渐繁华盛，民居多建于明清时期。现在古镇上保留有大片古街、古祠、古栈道、古民居等建筑群，已被列为宁强县重点文物保护单位。这里河水穿镇而过，人们悠然地做着各种活计，生活自在。古街回龙场系明成化年间所建，街长800米，宽4米，基本维持古时原貌。古镇保存最为完整的魏氏大院，是当年的知名绅士魏辅唐所建。现遗存有魏氏大院三处，其倡办的中学一所，保存完好。还有明清时期所建的瞿氏、魏氏、赵氏、屠氏祠堂，立碑刻字等。在距古街5公里的地方，有明清时留下的通往甘肃的商运古栈道，长达60公里，道路顺河而上，依崖凿路，路势十分险峻。08年汶川大地震导致这个镇保存最完整的古建筑群魏氏宅院部分屋脊和墙面开裂坍塌。建于明成化年间、长800多米的“回龙场”古街也遭到破坏，许多老宅已经坍塌。由于青木川余震不断，这些古迹的保护状况令人担忧。,8:00-17:30,https://img1.qunarzz.com/travel/d3/1711/20/839682fb248c38b5.jpg_480x360x95_ce5bfaf5.jpg,4.5,建议游览时间：2小时 - 3小时,,"{'青木川古镇门票成人票\n\n': ['¥53.5起'], '青木川古镇魏氏宅院+荣盛魁+烟馆套票成人票\n\n': ['¥54起'], '青木川古镇魏氏宅院+荣盛魁+烟馆套票优待票\n\n': ['¥29起']}",,1
红寺湖风景区Hongsihu Sceneic Area,http://travel.qunar.com/p-oi704566-hongsihufengjingqu,"

地址:
汉中市南郑区黄官镇红寺湖路


电话:
0916-5583777


官网:
http://www.hongsihu.cn/

",红寺湖风景区面积约35平方公里，森林覆盖率达88.2%。美丽的红寺湖，犹如一个天然的硕大的盆景，镶嵌在南郑县西南的绿水青山之中；红寺山像一条潜出水面的巨龙，横卧在红寺湖岸；水中突起的桃花岛、大小孤山，像一座座精美的雕塑，造就了红寺湖美妙奇特之处。红寺湖景区是汉中具魅力的生态风景旅游区之一。红寺湖风景区景色秀丽。景区内有桃花岛、楠竹林生态园、孤山山庄、天鹅湖、钓鱼岛、天然浴场、民俗村、红寺、祈儿寨等30多个景点和休闲设施组成。水域宽广，森林茂密，湖中的岛屿...红寺湖风景区面积约35平方公里，森林覆盖率达88.2%。美丽的红寺湖，犹如一个天然的硕大的盆景，镶嵌在南郑县西南的绿水青山之中；红寺山像一条潜出水面的巨龙，横卧在红寺湖岸；水中突起的桃花岛、大小孤山，像一座座精美的雕塑，造就了红寺湖美妙奇特之处。红寺湖景区是汉中具魅力的生态风景旅游区之一。红寺湖风景区景色秀丽。景区内有桃花岛、楠竹林生态园、孤山山庄、天鹅湖、钓鱼岛、天然浴场、民俗村、红寺、祈儿寨等30多个景点和休闲设施组成。水域宽广，森林茂密，湖中的岛屿和雄奇的红寺山构成了一幅山水画长卷。,景区已开放，具体详情请以景区公示为准，原开放时间3月1日-10月30日8:30-17:30，17:00停止入场；11月1日-次年2月28日9:00-17：00,https://img1.qunarzz.com/travel/poi/201408/12/ddbc8067c1d2780dc8d65eac.jpg_480x360x95_6bfbe7b2.jpg,3.7,建议游览时间：2小时 - 3小时,3、4月份最佳。,"{'红寺湖电子导览服务大小同价\n\n': ['¥7起'], '陕西汉中大汉山滑翔伞星空露营地【户外K歌/露天电影轻奢露营】\n\n': ['¥88起']}",,1
狮子沟牧场,http://travel.qunar.com/p-oi38337272-shizigoumuchang,,狮子沟牧场曾是诸葛亮六出祁山伐魏时，屯兵养马之地。是两山之间的一片平坦草原，这里山色秀丽，云卷云舒，牛、马和羊漫游在草原上，风吹草动间，形成了一幅如诗如画的景象。,,,0.0,建议游览时间：1小时 - 2小时,,,,1
兴汉胜境Xinghan Scenic Spot,http://travel.qunar.com/p-oi22978360-xinghanshengjing,"

地址:
汉中市汉台区诸汉路中段


电话:
400-0916-111


官网:
http://www.xinghanshengjing.com/

",兴汉胜境依汉源湖而建，以自然生态的汉水之源为根，以中华民族的汉文化之源为魂，以汉朝初兴的历史辉煌为底色，建成集汉风景点群、汉风商街群、汉风博物馆群、汉风酒店群、汉风餐饮、汉风演艺等于一体的汉文化旅游度假区，为游客带来雅致、美好、快乐的汉风生活体验。大型演艺水上真人实景演出天汉传奇由知名导演沙晓岚先生导演，通过水上投影、水中造型、水上表演、水上列阵、水中装置等一系列与水有关的创意和特效的形式，200多名演员在汉源湖水面上倾情表演，加之配合现代高科技的大型喷泉列阵、大型实景火效、激光特效及可变化扇形水幕等系统，给游客展现出一幅汉文化的动人传奇画卷。,9:00-18:00,https://img1.qunarzz.com/travel/d5/1810/11/16fbc85e9a286cb5.jpg_480x360x95_76e42113.jpg,4.3,建议游览时间：2小时 - 3小时,春秋最佳,"{'兴汉胜境门票成人票\n\n': ['¥88.5起'], '兴汉胜境门票双人票\n\n': ['¥180起'], '兴汉胜境门票+《汉颂》演出门票成人票\n\n': ['¥188起']}",,1
佛坪熊猫谷Foping Panda Valley,http://travel.qunar.com/p-oi8605294-fopingxiongmaogu,"

地址:
汉中市佛坪县城北20公里处108国道旁


电话:
400-007-6169,0916-8992115,0916-8992044


官网:
http://www.fpxmg.com/

",佛坪熊猫谷景区位于县城以北20公里108国道旁，地处秦岭大熊猫走廊带和观音山自然保护区境内，珍稀野生动植物资源极其丰富。景区内峰岭叠嶂，溪水清澈，奇石灵异，林木葱郁，山花堆聚，时而碧潭映石，时而飞瀑跌雪，时而峭壁陡立，时而曲径通幽。触耳溪鸣鸟叫，使人心旷神怡。三叠泉、二龙戏珠、女儿滩、双心池等景点浑然天成，三圣峰、母女峰、栖云峰等天趣神功。秦岭大熊猫野化基地中，熊猫憨态可掬；金丝猴大峡谷里，金丝猴群在树枝灵俏飞跃；红腹锦鸡园内红腹锦鸡等雉鸡美丽惊艳。景区集秦岭山水之幽、静、秀、奇和珍稀动植物于一谷，“秦岭之窗、熊猫家园”的美名远扬，是踏青、休闲、避暑、养生、摄影、娱乐的好去处。,11/1-12/31 08:00-18:00;1/1-10/31 08:30-17:30,https://img1.qunarzz.com/travel/d3/1606/6d/b60b8698cec7fb9a.jpg_480x360x95_d62fe460.jpg,4.2,建议游览时间：2小时 - 3小时,春秋最佳,"{'佛坪熊猫谷门票成人票\n\n': ['¥25起'], '佛坪熊猫谷门票儿童票\n\n': ['¥25起'], '佛坪熊猫谷门票学生票\n\n': ['¥25起']}",,1
汉中市博物馆Museum of Hanzhong,http://travel.qunar.com/p-oi712019-hanzhongshibowuguan,"

地址:
汉中市汉台区汉台路东大街26号


电话:
0916-2231536,0916-8152188


官网:
http://www.hzmuseum.cn/

",汉中市博物馆，又称古汉台，位于汉中市中心，由三级台地构成，相传汉高祖刘邦在公元前206年受封汉王，当年的王府（或行宫）就建在这里，宋代之后这里长期是汉中府署的后花园。如今这里是汉中市博物馆所在地。游览汉中博物馆，一般从正门（北门）进入，大致沿着南北方向的中轴线步行游览即可。当游客进去博物馆正门后，映入眼帘的就是古汉台的高处，在高台上建有一座三层高楼——望江楼，清末民初的建筑风格，是汉中标志性的古建筑。望江楼东西两侧，分别有铜钟亭和石鼓亭，铜钟亭内有一口大铜钟，据说是明代汉中瑞王府的遗物。西侧石鼓亭内的石鼓，玉质，传说是汉王刘邦的上马石。在“石门十三品陈列馆”中，收藏着来自石门栈道两壁的摩崖石刻。石门栈道和褒河两岸的石壁上遍布着从东汉、魏晋至明清的诗咏碑刻与古栈道修凿碑记。石门十三品又称汉魏十三品，是这些摩崖碑刻中的珍品。它包括汉代的《石门》、《君开通褒斜道碑》、《玉盆》等摩崖，曹魏时期的的《李苞通阁道题名》摩崖，南宋时期的《晏袤释鄐君开通褒斜道》、《山河堰落成记》等摩崖。这些摩崖石刻早于唐宋时期就很有名，是历代考古家、书法家所推崇，誉满全国。,全年 08:00-18:00,https://img1.qunarzz.com/travel/d9/1703/35/fbe9567df61f3bb5.jpg_480x360x95_dbe16856.jpg,4.6,建议游览时间：2小时 - 3小时,春秋最佳,0元,,1
南湖风景区South Lake Scenic Spot,http://travel.qunar.com/p-oi713244-nanhufengjingqu,"

地址:
汉中市南郑区马王庙(沿G244道边)


电话:
0916-5696739

",,"全年 周一,周六-周日 08:30-19:00",https://img1.qunarzz.com/travel/poi/201408/12/19b850a80365419bc8d65eac.jpg_480x360x95_da7ed189.jpg,3.2,建议游览时间：3小时 - 4小时,春夏最佳。春季百花盛开，夏季避暑休闲。,"{'南湖风景区门票成人票\n\n': ['¥40起'], '南湖风景区门票+游船+观光车成人票\n\n': ['¥98起'], '陕西汉中大汉山滑翔伞星空露营地【户外K歌/露天电影轻奢露营】\n\n': ['¥88起']}",,1
