名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
上川岛飞沙滩旅游度假区Shangchuan Island Feisha Beach Resort,http://travel.qunar.com/p-oi711957-shangchuandaofeishatan,"

地址:
江门市台山市川岛镇


电话:
0750-5381881,0750-5381022

",上川岛飞沙滩旅游度假区拥有绵长海岸线，沙质细腻、海水清澈，可以踏浪戏沙，探访人文景点，也可品味鲜美海鲜。这里曾是“海上丝绸之路”的必经之地，西方第一位传教士圣方济各·沙勿略来华就是从这里登的岛，如今岛上仍保留有他的墓园、石像、纪念碑等，还有着一座教堂。位于飞沙滩与金沙滩之间的乐川大佛十分引人注目，同时还有妈祖阁、宝鸭女神等人文景观。岛上森林茂密，在沙螺湾原始次生林内栖息着众多活泼可爱的猕猴。这里还有众多海鲜餐厅与度假酒店，每天中午时分也有一班前往下川岛的船只。晃晃悠悠地走过历史的涛声，来去匆匆穿过时空的隧道，山川依旧，历史长存。不管当年的海盗还是他所藏留的财宝，实实虚虚，都依然与这山海礁石相存相生。,旺季（4月16日-9月10日）8:00-18:30；淡季（9月11日-次年4月15日）8:00-17:30。,https://img1.qunarzz.com/travel/d5/1408/28/1f7150883c9cc5dcffffffffc8d65eac.jpg_480x360x95_9f7e7d43.jpg,4.4,建议游览时间：3天,,"{'上川岛飞沙滩旅游度假区+往返船票+车票成人票\n\n': ['¥144起'], '下川岛+往返船票+车票成人票\n\n': ['¥165起'], '下川岛+往返船票+车票优待票\n\n': ['¥108起']}",上川岛是观看日出日落的好地方。,1
三十三墟街33 Historical Street,http://travel.qunar.com/p-oi35913911-sanshisanxujie,,,,,4.7,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
赤坎古镇Chikan Ancient Town,http://travel.qunar.com/p-oi718911-chikanguzhen,"

地址:
广东省江门市开平市东和路


电话:
0750-2178888

",广东赤坎古镇侨乡国际旅游度假区，位于广东省开平市中部潭江河畔。已有370年开埠建墟历史的赤坎古镇，由上埠关族、下埠司徒氏在古镇东西两端聚居发展而成，拥有600多座骑楼，于2007年被评为中国历史文化名镇。数百年来，在关族和司徒氏良性竞争下，赤坎古镇的建筑风格和民风生活融汇中西，凭借独特的华侨文化和家族管理体系发展成岭南独树一炽的商贸重埠。随着时代的发展，古镇历经兴衰，为了整体保护和利用，复兴华侨文化，开平市政府携手中信产业基金和乌镇团队，以历史骑楼街区作为宏大背景资源，打造集观光游览、休闲度假、商务会展、文化创意和古镇体验功能为一体的综合休闲旅游度假区。度假区包括 8家精品型酒店、4家主题型酒店、14家不同特色的民宿客栈，13间餐厅以及238间商铺，9个文化展示点（省文保单位）及完善的配套服务设施。广东赤坎古镇侨乡国际旅游度假区，将会是集岭南文化、华侨文化、乡村文化、休闲文化于一体的展示平台，成为广东乃至全国有重大影响力的文旅新地标、全省文化产业赋能乡村振兴的重点项目和典型范例、传播中华传统文化的新载体。,全年 全天开放,https://img1.qunarzz.com/travel/d4/1505/bf/8a21f9f365c0d6.jpg_480x360x95_c353d896.jpg,4.3,建议游览时间：12小时 - 3天,最佳旅游时间为春秋两季。春、秋两季气温适宜，景色宜人；每年4-9月是汛期，7-9月是台风活动的频发期。,,,1
江门古劳水乡旅游区White Pagoda Park,http://travel.qunar.com/p-oi704348-jiangmengulaoshuixiang,"

地址:
广东省江门市鹤山市古劳镇华侨城古劳水乡接驾花园停车场


电话:
4009300033

",华侨城古劳水乡旅游区，整体规划占地10平方公里，其中主景区3平方公里包括十大度假主题场景：“横海游梦”游船、古劳圩滨水商业街、童梦村乐园、乡野时光、农业公园、赤脚公园、湿地公园、康养十三坊、纯水岸、生态酒店，以及由农业文化遗产活化区、咏春文化遗产活化区所组合的“一座没有围墙的博物馆”，以“自由流淌的水乡生活”为主题，将古劳水乡打造成为中国岭南水乡和粤港澳大湾区文化生态旅游度假标杆。其中一期项目宾客中心、“横海游梦”游船、上古劳圩滨水商业街、童梦村乐园、乡野时光已对外开放游玩。横海游梦-做一天水乡人“横海游梦”游船融入蓑衣、纱帘、围栏、竹编器等水乡生活元素，围绕“去赶圩”、“去渔耕”、“去展艺”三大核销场景，还原水乡历史上的“书上赶集、塘基农耕、茶亭对饮、荷丛起舞”的惬意生活状态。6公里航线，漫游水乡，泛舟移景，感受鲜活流淌的岭南水乡。上古劳圩滨水商业街-浮岛上的700年水乡渔商盛景，再现古劳“趁圩”旧时光融合传统岭南建筑和南洋建筑特色，由茶行街、咏春街、渔市街和榕树广场、三角市、鱼市广场、蝴蝶广场等主题街区广场组成，设有咏春会馆，王老吉凉茶文化体验官，耳朵里的展览馆，供销社等特色项目，集“景”“展”“演”“游”“购”“居”于一体，沉浸式感受水乡人家“趁圩”乡趣。童梦村乐园-中国水乡童年游戏生态乐园，玩泥巴捕鱼抓虾蟹，体验千塘渔家乡趣童梦村乐园，项目规划占地5万平方米，以“乡趣、水趣、渔趣”为核心，区别于以大型机动游乐设备为核心的主题公园，创新呈现超30项以“溯溪、玩泥、捕鱼、捉虾蟹”等水乡童年游戏为特色的生态乐园，设有龙溪村落、泥巴岛、渔鱼岛、渔蔬农场四大主题区以及“小鱼仙”、“泥巴怪”和“小飞鱼”原创主题IP，让大人孩子释放天性，捡拾原野乡趣时光，自由流淌在古劳原汁原味的童年生活。乡野时光-乡野户外休旅目的地，露营野餐放风筝享闲趣乡野时光，项目规划占地3万平方米，设有乡野时光草坪、乡野时光营地、水上娱乐中心、纸鸢舞台、芳草溪地等多个主题区，其中上万平方米的大草坪，可以进行各类户外活动，是天然的游乐场，游客将在乡野中放飞自我。,7/15-9/30 09:30-18:00;11/1-12/31 周一-周五 10:00-17:30;11/1-12/31 周六-周日 09:30-17:30;10/1-10/7 09:00-18:30;10/8-10/31 09:30-18:00,https://img1.qunarzz.com/travel/d0/1606/4a/70ffdc431f9e6d9a.jpg_480x360x95_a59942da.jpg,4.0,建议游览时间：4小时 - 5小时,,"{'华侨城古劳水乡文化生态旅游度假区童梦村年卡成人票\n\n': ['¥169起'], '华侨城古劳水乡文化生态旅游度假区童梦村年卡亲子票(1大1小)\n\n': ['¥299起'], '华侨城古劳水乡文化生态旅游度假区童梦村年卡家庭票(2大1小)\n\n': ['¥439起']}",大家如果有机会的话，可以赶在端午期间游古劳水乡。每年龙舟竞渡的时候，这里到处是人山人海，锣鼓喧天，鞭炮齐鸣的热闹场面。河涌里桨影翻飞，喊声阵阵。届时，更有华侨、港澳同胞不远千里回乡观赏盛典，或亲身参赛，以洗一身吉祥的“龙舟水”为幸福乐事。,1
东南亚风情园Southeast Asian Folklore Garden of Overseas Chinese,http://travel.qunar.com/p-oi708239-dongnanyafengqingyuan,"

地址:
海宴镇华侨农场五丰村


电话:
13726169093

",是一个聚居了来自印尼、越南、泰国、马来西亚、缅甸、新加坡、印度、柬埔寨、老挝、文莱等13个国家和地区归侨的村落，园内居民穿戴东南亚各国不同的民族服饰，各自沿用着各自不同的风俗习惯和饮食文化，是一个未经琢磨、原汁原味的“小小联合国”，在这里，还可欣赏到别具风情的东南亚歌舞和美食。,全年 9:00-17:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/055ddf89c4993ff70281b0156bef7e5e.jpg_480x360x95_21f7225a.jpg,3.6,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
石板沙村Shibanshacun,http://travel.qunar.com/p-oi18703181-shibanshacun,,,,,,,,,,1
下川岛王府洲旅游度假区Xiachuan Island Wangfuzhou Tourist Area,http://travel.qunar.com/p-oi703099-xiachuandaowangfuzhou,,,,,,,,,,1
开平碉楼文化旅游区Kaiping Diaolou,http://travel.qunar.com/p-oi711355-kaipingdiaolouwenhualu:,"

地址:
江门市开平市塘口立园旅游区


电话:
0750-2678888

","开平碉楼文化旅游区位于广东省珠江三角洲西南部，华侨之乡、建筑之乡、艺术之乡和碉楼之乡--开平市，总面积为1438亩，主要包括：世界文化遗产地自力村碉楼群、马降龙古村落和中国华侨园林一绝立园。它既有村落、碉楼、洋庐、民居、花园、别墅等古建筑，又有河流、山丘、田野、荷塘、竹林、树木等自然景观;文物古迹和古树名木琳琅满目，田园、小桥、 流水、人家美景如画，旅游资源非常丰富。传统碉楼与当地特有村居环境自然融合，形成了各自原生特色。开平碉楼历史文化悠久，文化底蕴深厚，被誉为""华侨文化的典范之作”、“令人震撼的建筑艺术长廊”。",8:30-17:30,https://img1.qunarzz.com/travel/d4/1502/bf/1cd774612491e3.jpg_480x360x95_21d22f7e.jpg,4.4,建议游览时间：3天 - 6天,春季，秋季为旅游最佳时期。春季油菜花盛开，正是赏花观景好时光；秋天碉楼周围的水稻成熟，金黄色一片，不管在站在楼上还是在田野，景色都是美不胜收。,"{'开平碉楼文化旅游区立园景区门票成人票\n\n': ['¥100起'], '开平碉楼文化旅游区立园景区门票优待票\n\n': ['¥50起'], '开平碉楼文化旅游区自力村景区门票成人票\n\n': ['¥78起']}",鱼干在当地比较有名，这里人做鱼干也是一绝，纯手工制作，来这里购买鱼干是非常不错的选择。,1
自力村碉楼群Watchtower Group of Zili Village,http://travel.qunar.com/p-oi720725-zilicundiaolouqun,"

地址:
江门市开平市塘口镇东距开平市区25公里


电话:
0750-2679078,0750-2679788,0750-2629078

",自力村碉楼群位于开平市塘口镇，是世界文化遗产地之一。该村自然环境优美，水塘、荷塘、稻田、草地散落其间，与众多的碉楼、居庐相映成趣，美不胜收，形成一幅阳春烟景田园诗意般的农耕水墨画，独具岭南乡村气息的洋式城堡村落。自力村有15座风格各异、造型精美、内涵丰富的碉楼，是开平碉楼兴盛时期的杰出代表。自力村碉楼多建于20世纪二三十年代，是当地侨胞为保护家乡亲人的生命财产安全而兴建的。自力村碉楼将中国传统乡村建筑文化与西方建筑文化巧妙地融合在一起，罕有地体现了近代中西文化在中国乡村的广泛交流，成为中国华侨文化的纪念丰碑和独特的世界建筑艺术景观。楼内保存着完整的家具、生活设施、生产用具和日常生活用品，丰富而有趣，是当时华侨文化与生活的见证。该村隶属于塘口镇强亚村委会，有农户63户，村民175人，侨胞248人。侨汇是村民生活来源之一。鸦片战争后，人民生活困苦，加上西方国家来华招募劳工，一批批自力村村民开始旅居海外。,01/01-12/31 08:40-17:15,https://img1.qunarzz.com/travel/d6/1702/57/3fc977f15d17bbb5.jpg_480x360x95_fefd7214.jpg,4.4,建议游览时间：2小时,春季，秋季为旅游最佳时期。春季油菜花盛开，正是赏花观景好时光；秋天碉楼周围的水稻成熟，金黄色一片，不管在站在楼上还是在田野，景色都是美不胜收。,"{'开平碉楼文化旅游区自力村景区门票成人票\n\n': ['¥78起'], '开平碉楼文化旅游区自力村景区门票优待票\n\n': ['¥39起'], '开平碉楼文化旅游区套票成人票\n\n': ['¥170起']}",建议可以购买180元的套票，套票中包括了立园、自力村、马降龙碉楼群、锦江里碉楼群（不含登瑞石楼费用）、赤坎古镇（含赤坎影视城、景辉楼）、南楼六大景点，基本可以看遍开平碉楼与村落的精华，同时也比较省钱。,1
立园Liyuan,http://travel.qunar.com/p-oi706590-liyuan,"

地址:
江门市开平市塘口镇北义乡赓华村


电话:
0750-2678888,0750-2679788

",立园是国家AAAAA级旅游景区，是旅美华侨谢维立先生始建于20世纪初的花园别墅，以《红楼梦》描绘的大观园为依托，巧妙地将古典园林韵味与欧美当代流行的别墅建筑特色融会贯通，呈现出一种独特的建筑艺术之美，在中国华侨私人建造的园林中堪称一流。立园有“小观园”的美誉，它的意境是“小桥、流水、人家”，园内布局分为大花园、小花园和别墅区三个区域，自成一体，以人工河或围墙相隔，又用桥亭或通天回廊相连，可谓园中有园，景中有景，耐人寻味。而镶刻其间的名家书法楹联，又使立园平添了浓郁的文化内涵；大量富于浪漫传奇色彩的精美灰塑、壁画，又使人恍如置身仙境。,8:30-17:30,https://img1.qunarzz.com/travel/d5/1802/51/2c8e35a6008defb5.jpg_480x360x95_a4978aea.jpg,4.3,建议游览时间：2小时 - 3小时,春季为最佳旅游季节。期间立园的格桑花相继开放，与园内的小桥流水相辉映，美不胜收。,"{'开平碉楼文化旅游区立园景区门票成人票\n\n': ['¥100起'], '开平碉楼文化旅游区立园景区门票优待票\n\n': ['¥50起'], '开平碉楼文化旅游区套票成人票\n\n': ['¥170起']}",碉楼景区有套票，有时间的小伙伴买套票比较划算。,1
