名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
河间府署Ancient Government Office of Hejian,http://travel.qunar.com/p-oi9205531-hejianfushu,"

地址:
沧州市河间市红牌楼街97号


电话:
0317-3651088

",河间府署是一座历史悠久的古代府衙，始建于北宋大观二年，气势雄伟，远近闻名，素有“京南第一府”的美誉。据记载，旧时的河间府署坐北朝南，气势雄伟恢弘，分为东、中、西三路而建，先映入眼帘就是大照壁，然后步入大门，往里面走就是仪门，东西两侧都设有吏舍，是掾吏办公的地方，继续往北走，就是大堂了，也就是古时候官府衙门审理案件的地方，大堂后面就是穿堂，过了穿堂是二堂，是审理机密案件的地方；二堂后就是内宅，是古时候的知府家属居住的地方。这里充分地保留了就是河间府署的历史风貌，并且含有大量珍贵的碑文史料，也是了解河间历史文化的之地。,8:30-17:00,https://img1.qunarzz.com/travel/poi/1705/c9/955db6e6a99c2e37.jpg_480x360x95_08cfada2.jpg,4.5,建议游览时间：1小时 - 2小时,,"{'河间府署门票成人票\n\n': ['¥34起'], '河间府署门票双人票\n\n': ['¥60起'], '沧州河间府署手机导游(不含门票)服务成人票\n\n': ['¥8起']}",,1
沧州铁狮与旧城遗址公园Cangzhou Lron Lion and old city site park,http://travel.qunar.com/p-oi706565-cangzhoutieshiyujiucheng,"

地址:
沧州市沧县旧州镇沧州铁狮子文物管理处


电话:
0317-7883777

",沧州铁狮子位于沧县东南部，民间称之为“镇海吼”，铸于五代后周年间，距今已有一千多年的历史。铁狮相传为遏海啸水患而造，是我国现存年代较为久远、形体较大的铸铁狮子。铁狮身高5.78米，长5.34米，宽3.17米，背负巨盆相传是文殊菩萨莲坐，狮身向南，头向西南，两左脚在前，两右脚在后，呈前进状，姿态雄伟，昂首阔步，栩栩如生。1957年由主管部门予以补项补趾，并修池建亭，周围还设有铁栏，建亭后由于铁狮见不到阳光，氧化较快，于1972年将亭拆除。如今来到景区，除了可以观看巍峨古老的铁狮外，旁边还建有一处钱币博物馆，可以一并参观。,全年 09:00-16:00;全年 09:00-16:30,https://img1.qunarzz.com/travel/poi/1803/4f/66514e586fcd3037.jpg_480x360x95_c090b71c.jpg,4.3,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
东光铁佛寺Dongguang Iron Buddha Temple,http://travel.qunar.com/p-oi704685-dongguangtiefosi,"

地址:
沧州市东光县普照大街59号


电话:
0317-7722307

",东光铁佛寺位于沧州市东光县县城内，是沧州较出名的佛教寺院，已有千年历史，在沧州当地自古就有“沧州狮子景州塔，东光县的铁菩萨”的说法，很多当地人拜佛祈福都会选择这里。铁佛寺始建于宋代，后曾经被毁，寺内的古迹和古铁佛早已不存，如今的铁佛寺是九十年代时重新修建的。但修建后的寺院庄严大气，而且修建时也产生了很多神话传说，使得如今的铁佛寺依然香火旺盛。在铁佛寺内游玩时，可以着重观看寺内的巨大铁佛，铁佛高约8米多，非常壮观。寺内另有多座佛殿，都可以一一参观。另外还有京剧名旦荀慧生的纪念馆，可以进入了解一下。在寺内上香、磕头时，一般会被要求给一点香火钱，每人10-20元左右即可。,全年 8:00-17:30,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/fb1527e7eb49ed156d945fd62e5354ff.jpg_480x360x95_d0b3c416.jpg,4.5,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
清真北大寺Beida Mosque,http://travel.qunar.com/p-oi712251-qingzhenbeidasi,"

地址:
沧州市新华区南大街街道解放东路14号


电话:
0317-3041677

","位于沧州市新华区解放路，这里有着悠久的历史传统和深厚的文化底蕴。北大寺始建于明朝建文末年，即公元1402年，距今已有611年的历史，是华北地区面积最大的寺之一，现为河北省文物保护单位。该寺庙是典型的中国古典式建筑，包括西侧礼拜大殿、南侧沐浴室和望月楼、东侧对厅和北侧讲堂。大殿庄严宏伟，由前中后三殿和古棚组成。每层殿为一个顶,殿顶上有“五脊六兽”，雕刻精细，栩栩如生。后窑池有三亭，中间高，两边低，为驼峰式，又似笔架属文式木制结构，别具一格。整个大殿内部的框架为木质结构，它完整地保存了明朝时的原貌，共有81根柱子，通称九九八十一间，可容纳千余人同时礼拜，且梁柱之间相互咬合，没用一根钉子。",全年 8:00-16:00,https://flight-feed.qunarzz.com/as3/180/image/poi_vishnu/18455f42-d766-4f8d-8d26-0b304723fbc4.jpg,4.2,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
纪晓岚文化园Ji Xiaolan Cultural Park,http://travel.qunar.com/p-oi9546505-jixiaolanwenhuayuan,"

地址:
沧州市沧县崔尔庄镇


电话:
0317-4988298

",纪晓岚文化园景区由沧州纪晓岚文化旅游开发有限公司投资建设，占地100余亩，是一处以纪晓岚文化为内涵，仿清园林式建筑为载体的文化旅游场所。按纪晓岚的著作和兴趣爱好及传说逸闻，建有三大殿（文漪阁、敬先堂、奉贤馆)、四合院（宦海书丛馆，九十九研斋、滦如槐姑室、阅微草堂）、钻钱眼、大烟袋、春帆湖、联圣廊、纪家枣行等多个旅游景点。文化园为仿清建筑，进院巨石上刻有原中国书协主席沈鹏题写“一代文宗”。院内堆有假山，筑有殿堂和亭台楼阁，曲径通幽，景色宜人。原生态摘枣园，可供游人采摘，可充分领略原生态的田园风光与劳动情趣。                纪晓岚文化园以弘扬纪晓岚文化为宗旨。用建筑、书画、再造实物等形式，展现了纪晓岚的生平和著述。该园配套设施齐全，内设餐饮、住宿、休闲娱乐等场所，成为集观光旅游与休闲娱乐于一体的文化园林，一道集建筑艺术与历史文化于一身的人文景观。,夏令8:00-18:00，冬令8:00-17:00。,https://mp-commentcp.qunarzz.com/mp_comment_mp_comment/1558897359264100w14000000wz0r32A4A_D_640_10000.jpg_480x360x95_ded63ab3.jpg,4.1,建议游览时间：2小时,,成人票30元，儿童票15元,,1
南大港湿地Nandagang Wetland,http://travel.qunar.com/p-oi9135302-nandagangshidi,"

地址:
沧州市黄骅市南大港


电话:
0317-7559286

",南大港湿地是沧州著名的退海河流淤积型滨海湿地，一年四季风景秀丽。景区包含观光航道和陆路、环堤路、南北两个游客中心和广场，五个游船码头、观鸟亭、芦海迷宫、放鹤广场、大洼民俗博物馆、鸟巢、野鸭湾、众仙岛、生态绿化长廊等众多景点，还有鸿雁迎宾和斑头雁放飞两个鸟类表演项目。南大港湿地现有植物237种，昆虫291种，鸟类261种，其中丹顶鹤、白鹤、大鸨、东方白鹳、灰鹤等国家二级保护鸟类39种，淡水鱼类27种。这里是我国东部沿海地区原始状态保存完好的重要生态区，素有“京津南花园，天然大氧吧”的美誉。登上观鸟亭，站在观鸟台，可以鸟瞰湿地全貌，当然也可以在这里租借望远镜，这样可以清晰地看见各种珍稀鸟类的趣味姿态。芦海迷宫也是这里的一道靓丽风景线，苇荡水路和栈道相依相恋，游客可乘小船沿水路游玩，也可在栈道上漫步嬉戏。除了美丽的风景，这里还有着深厚的民俗文化底蕴，其中的大洼民俗馆收集了自清朝末年到上世纪六、七十年代的渔业工具、围雁工具、纺织工具、农耕工具、生活用具等民间物品300余件。以实物形式集中反映出大洼人历史上生产、生活的特点和状况，体现了民众们的生存文明创造之美。,3月26日-11月15日8:30-17:30（17:00停止入场），11月16日-次年3月25日8:30-17:00（16:30停止入场）。,https://mp-commentcp.qunarzz.com/mp_comment_mp_comment/1562526280354100l16000000z2kn75A3C_D_640_10000.jpg_480x360x95_c83dc548.jpg,4.2,建议游览时间：1小时 - 2小时,春夏秋三季，温度适宜。,"{'南大港湿地门票成人票\n\n': ['¥39.99起'], '南大港湿地电子讲解票大小同价\n\n': ['¥7起']}",,1
泊头清真寺Potou Mosque,http://travel.qunar.com/p-oi702161-botouqingzhensi,"

地址:
沧州市泊头市泊镇清真街南端


电话:
0317-8285238

",该寺因为它建筑规模的宏伟壮观、风格独特而闻名全国。它的外部并不是常见的圆顶建筑，反而是一些勾梁吊壁，颇有中国佛教寺庙的韵味。该寺始建于明永乐二年，经过后来的多次修缮，这里成为了一个规模宏大的建筑群，特别壮观。这里主要分为两大块，在结构上主要分为前庭、中庭和大殿庭院三部分。前庭院正面是一座高约20米的二层三蒙班克楼，下面是阁，上面是厅，各种木作也非常精致。再往里走就是中殿，由望月楼、南北便门、南北配殿、东耳房组成。之后来到核心的地方，也就是大殿庭院，大殿顶部飞檐四出，角亭对立，非常壮观。在大殿的南侧还设有一座清真女寺，环境非常幽雅安静。该寺无论是从建筑规模、占地面积、历史年代来说，在整个华北地区都算得上是非常值得一看的地方了。,全年 8:00-18:00,https://img1.qunarzz.com/travel/poi/1705/29/8f9585de41d73737.jpg_480x360x95_d8d38ee0.jpg,4.5,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
盘古古庙Pangu Ancient Temple,http://travel.qunar.com/p-oi704400-pangugumiao,"

地址:
沧州市青县盘古村 ‎


电话:
+86 317 402 2911

",沧州民谣：“一文一武，一国宝，一人祖。”文者，是一代文宗纪晓岚，武者，是沧州乃驰名中外的武术之乡，国宝指沧州铁狮，人祖即盘古，盘古遗址就在今沧州市所属的青县境内。青县城南6公里有村曰“大盘古”，村西有座盘古庙。大盘古位于黑龙港河（古黄河故道）西岸，其南有小盘古村，皆因相传盘古在此定居而得名。盘古庙始建于元世祖至元十五年，明曾重修，清康熙二十七年因河流冲刷，设于秋祠西南重建。据记载，当年的盘古庙状似北京的故宫三殿，石、砖、木结构，琉璃瓦封顶，金碧辉煌，蔚为壮观。前殿高三丈六尺，象征一年360天；台阶18登，为18层地狱之说；飞檐椽子108根，按36天罡、72地煞而布；每根椽头系铜铃一枚，照工、商、角、征、羽五音而置，有所谓“风摇铃响天动乐，光照殿顶地生辉”之说。殿内有身披树叶，手托日月的铁铸涂金盘古像，高一丈零八寸。中殿塑南海观音像，股坐莲盆，金童玉女两侧。后殿设老君、孔子、龙王三塑像，殿前有合抱粗的合欢树两株，殿后铁磬悬于古槐。,8:00-17:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/aed6c1665c2807cd07e760a671f943f6.jpg_480x360x95_486851a2.jpg,4.7,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
沧州文庙Cangzhou Confucian Temple,http://travel.qunar.com/p-oi707817-cangzhouwenmiao,"

地址:
河北省沧州市运河区光荣路


电话:
0317-2012583

",沧州市文庙，位于沧州市运河区晓市街9号。明初创修，现存大点三座及东西廊，是沧州仅存的明代梁架斗拱结构古建筑，为沧州市重点文物保护单位。,全年 周二-周日 09:00-16:30,https://flight-feed.qunarzz.com/as3/180/image/poi_vishnu/a13f4279-b99e-4d6a-90db-0ab693219942.jpg,4.2,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
泰山行宫Taishan Palace,http://travel.qunar.com/p-oi706311-taishanxinggong,,在盐山县城东南28公里处的庆云。明洪武七年（1374）建，占地面积达1500平方米。筑有行宫门楼，底层为大拱孔门，顶层为殿宇式建筑，四角飞檐，柱廊环绕。佛殿为倒座式，内有13根明柱。,,https://img1.qunarzz.com/travel/poi/1803/77/51f36acc98ccf837.jpg_480x360x95_e7f95e48.jpg,4.0,建议游览时间：1小时,,,,1
