名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
巴马长寿村Bama Longevity Village,http://travel.qunar.com/p-oi7646247-bamazhangshoucun,"

地址:
河池市巴马瑶族自治县甲篆乡平安村巴盘屯

",巴马长寿村即甲篆乡平安村巴盘屯，是桂北山区中一个美丽的地方。这里自古就多有长寿的老人，被称为“世界长寿之乡”。来到长寿村的游人主要是探访村里的百岁老人，沾沾福气。长寿村背倚青山，盘阳河绕村而过，走过一座石拱桥一条小路便可进屯，风景十分优美。长寿村的亮点就是那些百岁老人，每个年过百岁老人家门口都有小牌子，上面写着他们的年纪和出生年月。如今这些老寿星们坐在家中，经常会有游客排着队来探访他们：按照当地的习俗给老人送上红包，请老人摸顶赐寿，与老人合影留念，还可以和老人聊聊天，听听他们的长寿之道。来长寿村游玩，可以住在巴马县城，乘车或包车游玩巴马县的各个景点，也可以住在长寿村附近，许多人慕名来到长寿村探寻长寿的秘诀，因此也诞生了一批“候鸟人”。到达巴马县城后，可以首先去百鸟岩乘船游览地下河溶洞，然后去巴马长寿村拜访老人，之后在村子附近走走，欣赏山水。这里除了看喀斯特溶洞、地下河，据说空气中负离子含量很高，长寿村里的老人都饮用这里的山泉水，洞内还设有磁疗区。来长寿村的游客一般会选择在长寿村或到巴马县城吃饭，基本每家店都能吃到巴马的特色菜，香猪、油鱼、火麻、珍珠黄玉米等等，这些当地食物也被视为巴马长寿秘诀之一，来到这里不妨尝尝。,全年 全天开放,https://img1.qunarzz.com/travel/poi/1504/a9/aaa7284fab2383.jpg_480x360x95_16ae5eb0.jpg,3.8,建议游览时间：2小时,,具体收费情况以现场公示为主,,1
三门海Sanmenhai,http://travel.qunar.com/p-oi701635-sanmenhai,"

地址:
河池市凤山县袍里乡坡心村


电话:
0778-6815389

",三门海位于广西河池市凤山县袍里乡坡心村，是世界喀斯特地貌典型的核心地带。因发育有三个天窗，由自然通道可乘船入内，使人体会到山中有海、海上有门的神秘感觉，“三门海”因此得名。天窗是喀斯特地貌的新形式。凤山三门海的天窗则有7个之多，7个天窗平行排列呈北斗七星状，其中可通行的有三个。水、洞、天浑然一体，蔚为奇观。是世界罕见的壮丽景象，被国内外专家称之为：世界之窗。三个天窗中，神奇的是第三个，这里冬暖夏凉，温度常年保持22度，入口处的岩石直贴水面，在阳光照射...三门海位于广西河池市凤山县袍里乡坡心村，是世界喀斯特地貌典型的核心地带。因发育有三个天窗，由自然通道可乘船入内，使人体会到山中有海、海上有门的神秘感觉，“三门海”因此得名。天窗是喀斯特地貌的新形式。凤山三门海的天窗则有7个之多，7个天窗平行排列呈北斗七星状，其中可通行的有三个。水、洞、天浑然一体，蔚为奇观。是世界罕见的壮丽景象，被国内外专家称之为：世界之窗。三个天窗中，神奇的是第三个，这里冬暖夏凉，温度常年保持22度，入口处的岩石直贴水面，在阳光照射下宛如一块巨大的翡翠，运气好的话还能看到成群的野猴在此嬉戏。,9:00-17:00,https://img1.qunarzz.com/travel/poi/1604/52/eb18988be45ffff7.jpg_480x360x95_f42f0b87.jpg,4.4,建议游览时间：2小时 - 3小时,,门票98,,1
百魔洞Baimo Cave,http://travel.qunar.com/p-oi710895-baimodong,"

地址:
河池市巴马瑶族自治县甲篆乡


电话:
18176766096

",百魔洞又名百魔天坑，距离巴马长寿村约十分钟的车程。这是一处雄伟壮观的天然溶洞景观。钟乳石、石笋造型千奇百怪，气势恢宏的穿岩、神秘的天坑和缓缓流淌的盘阳河水又为其增添了一丝清秀的气息。步入百魔洞便能感受到这里空气与众不同的清新，据说是负氧离子含量更高所致。穿行在百魔洞中，孔雀迎宾、良田万顷、金山猴王、杜甫吟诗等精巧的钟乳石造型都让人叫绝，而且洞内有洞，洞洞相连，十分奇特。,9:00-17:00,https://img1.qunarzz.com/travel/d8/1503/1d/8388f769d01330.jpg_480x360x95_cabe3513.jpg,4.5,建议游览时间：1小时 - 2小时,,"{'百魔洞门票成人票\n\n': ['¥78起'], '百魔洞门票儿童票\n\n': ['¥42.5起'], '百魔洞门票学生票\n\n': ['¥42.5起']}",,1
巴马百鸟岩Bama Birds Rock,http://travel.qunar.com/p-oi705775-bamabainiaoyan,"

地址:
河池市巴马县甲篆乡烈屯西北面的漠斋山下


电话:
18176766096

",巴马百鸟岩位于广西巴马瑶族自治县甲篆乡烈屯西北面的漠斋山下。因洞内燕子栖集，蝙蝠掠飞，又名百鸟洞。该洞是个独特的地下河溶洞，是大自然几亿年来的“杰作”。百鸟岩的成因主要是在地下河水对漠斋山不断的溶蚀、浸蚀、崩塌的漫长过程中扩大而形成。这里有石鹰、石柱、石幔、石观音菩萨等，百态千姿，令人目不暇接。石台的周围有仙女梳妆、海螺石，石螺对面有石桌、石缸和石松果等。其奇特的景象似桂林芦笛岩，又因非乘舟不能游览，游人赠予“水上芦笛岩”的美誉。,8:30-17:30,https://img1.qunarzz.com/travel/d5/1610/e7/7725751b76c588b5.jpg_480x360x95_fdd51029.jpg,4.5,建议游览时间：0.5小时 - 1小时,,"{'巴马百鸟岩门票成人票\n\n': ['¥75起'], '巴马百鸟岩门票儿童票\n\n': ['¥45起'], '巴马百鸟岩门票学生票\n\n': ['¥45起']}",,1
巴马水晶宫Bama Crystal Palace,http://travel.qunar.com/p-oi712322-bamashuijinggong,"

地址:
河池市巴马瑶族自治县那社乡大洛村牛洞屯(距县城约43公里)


电话:
0778-6221069

",巴马水晶宫位于长寿之乡河池巴马，这里的钟乳石有许多仍处在生长发育期，所以基本呈乳白色，而且大多为水晶状，令人震撼，是大自然几十万年来的造物奇迹。走进水晶宫，便能看到地上发育着的透明蘑菇状晶体；空中垂悬着洁白、纤细、蜷曲且神态各异的钟乳石，如水晶球、水晶花、水晶草一般；身边还有通体透亮的玉柱、玉笋等，每一处景致都让人不得不惊叹大自然的造化。,8:30-17:30；具体开放时间以景区现场公示为准。,https://mp-commentcp.qunarzz.com/mp_comment_mp_comment/1562440262160100p16000000yw660952C_D_640_10000.jpg_480x360x95_4d4cd43d.jpg,4.6,建议游览时间：2小时 - 3小时,,"{'巴马水晶宫门票成人票\n\n': ['¥128起'], '巴马水晶宫门票儿童票\n\n': ['¥75起'], '巴马水晶宫门票学生票\n\n': ['¥75起']}",,1
盘阳河景区Panyang River,http://travel.qunar.com/p-oi714028-panyanghejingqu,"

地址:
河池市巴马县


电话:
0778-6218152

",盘阳河是巴马的母亲河，源于凤山县桥音乡，流经凤山水源洞，穿行于巴马县甲纂乡境内的百魔洞、百鸟岩，后一个出口注入赐福湖，全长145公里。其中流经巴马河段约60公里，因盘阳村为中段落，故名盘阳河。盘阳河景色优美，一路逶迤而来，河水碧绿，环境非常自然。在盘阳河边，有酷似桂林山水的碧莲叠彩、书童独秀、榕荫古渡和屏风山，还有老虎山、象山、孔雀山，以及大水溶洞等，风光非常多样，非常适合竹筏漂流。盘阳河漂流的起漂点位于巴马甲篆乡的漠斋山下，一路竹筏漂行，可以观赏美...盘阳河是巴马的母亲河，源于凤山县桥音乡，流经凤山水源洞，穿行于巴马县甲纂乡境内的百魔洞、百鸟岩，后一个出口注入赐福湖，全长145公里。其中流经巴马河段约60公里，因盘阳村为中段落，故名盘阳河。盘阳河景色优美，一路逶迤而来，河水碧绿，环境非常自然。在盘阳河边，有酷似桂林山水的碧莲叠彩、书童独秀、榕荫古渡和屏风山，还有老虎山、象山、孔雀山，以及大水溶洞等，风光非常多样，非常适合竹筏漂流。盘阳河漂流的起漂点位于巴马甲篆乡的漠斋山下，一路竹筏漂行，可以观赏美丽的山水景致。若不漂流，也可以驻足河畔欣赏美景，傍晚的盘阳河，渔舟轻荡，悠闲的白鹅，袅袅生起的炊烟，一派诗意的田园风光。,全年 8:30-17:30,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/66de546c742986e1f96657ed8b59eb06.jpg_480x360x95_a0dce74e.jpg,4.3,建议游览时间：1小时 - 2小时,,"{'巴马百鸟岩门票成人票\n\n': ['¥75起'], '巴马百鸟岩门票儿童票\n\n': ['¥45起'], '巴马百鸟岩门票学生票\n\n': ['¥45起']}",,1
河池小三峡Hechi Small Three Gorges,http://travel.qunar.com/p-oi710186-hechixiaosanxia,"

地址:
河池市小三峡景区


电话:
13977899909,19127002885

",河池小三峡又称六甲小三峡，位于一个发电厂内，是一片由峡谷、河流构成的自然风景区。景区沿河展开，以喀斯特地貌为主，到处都是广西典型的秀丽山峰和水中倒影。游客来此可以乘舟漫游、摄影观光，还可以在壮乡村寨感受淳朴民俗等。游玩河池小三峡大多经六甲镇而来，到达景区后乘船游玩是主要的方式，游船全程约2.5小时，配有导游讲解。沿途两岸山清水秀，峡谷悠长，景色既壮观又秀美。到达单程的终点时还会登岸前往壮族村寨参观，后返回原码头。在码头周边还有观景栈道等可以简单的步...河池小三峡又称六甲小三峡，位于一个发电厂内，是一片由峡谷、河流构成的自然风景区。景区沿河展开，以喀斯特地貌为主，到处都是广西典型的秀丽山峰和水中倒影。游客来此可以乘舟漫游、摄影观光，还可以在壮乡村寨感受淳朴民俗等。游玩河池小三峡大多经六甲镇而来，到达景区后乘船游玩是主要的方式，游船全程约2.5小时，配有导游讲解。沿途两岸山清水秀，峡谷悠长，景色既壮观又秀美。到达单程的终点时还会登岸前往壮族村寨参观，后返回原码头。在码头周边还有观景栈道等可以简单的步行游玩。小三峡景区是由天门峡、凉风峡、龙门峡三处峡谷组成，乘坐游船便可一路观赏。天门峡是两座高耸的垂直山峰，壁立于绿水之中，好像是一道巨大的天门一样，十分壮观。凉风峡则清幽无比，周围有倒挂的古藤、钟乳岩等，有清风吹拂，让人神清气爽。龙门峡周围的崖壁起伏，形成天然的“龙头”、“龙尾”等，十分神似。另外，在各峡间还有拇指山、马鞍山、雄狮盼日、金龟探月等独特的秀峰造型，都可以一一参观。船行过小三峡之后，两岸便开始开阔起来，这时两侧是平整的田园、宁静的村庄等，一派清新自然的风景。游船到达上游的一座民俗村——梦古寨便会停下来，游客可以上岸活动半小时左右，这里有关于壮族农民生活、民俗简单的展览可以观看，还有很多售卖农家土特产的地方，芋头和板栗等价格不贵，可以简单选购一点。另外，还有当地的村民前来敬酒，不过需要付一点敬酒费（一般10元左右）。游玩梦古寨后，即可乘坐游船启程返回。游船会回到乘船处，这里也是发电厂的坝区。坝区处还有一条460米的观光栈道，沿着悬崖而建，可以步行游览。登至栈道高出，便可以俯瞰水库，观赏、拍摄到“高峡平湖”的壮观景色。,9:00-18:00,https://mp-commentcp.qunarzz.com/mp_comment_mp_comment/1553368137151100s12000000sq4057B54_D_640_10000.jpg_480x360x95_f35f6031.jpg,4.4,建议游览时间：3小时 - 4小时,,{'河池小三峡门票成人票\n\n': ['¥68起']},,1
红水河,http://travel.qunar.com/p-oi702177-hongshuihe,"

地址:
广西壮族自治区西北部

",红水河是广西境内一条重要河流，沿河风光旖旎，景色迷人。河道蜿蜒曲折，河岸翠竹葱葱；两岸奇峰异谷，层峦叠嶂；“情侣山”、“断天崖”、“苏仙岩”、“埃及遗梦”等自然天成，千姿百态；长乐至坡豪段十余公里，小湖泊星罗棋布，湖光、山色、梯田、农舍，一派水乡田园风光；红水河流经板文峡谷形成的大拐弯，奇伟壮观，堪称“红水河第一湾”。红水河河面朝晖夕阳，气象万千，山光水色扑朔迷离；两岸壮家瑶寨依山傍水；灿烂的铜鼓文化蕴藏其中，铿锵的鼓声，神奇的鼓韵，使游客领略到...红水河是广西境内一条重要河流，沿河风光旖旎，景色迷人。河道蜿蜒曲折，河岸翠竹葱葱；两岸奇峰异谷，层峦叠嶂；“情侣山”、“断天崖”、“苏仙岩”、“埃及遗梦”等自然天成，千姿百态；长乐至坡豪段十余公里，小湖泊星罗棋布，湖光、山色、梯田、农舍，一派水乡田园风光；红水河流经板文峡谷形成的大拐弯，奇伟壮观，堪称“红水河第一湾”。红水河河面朝晖夕阳，气象万千，山光水色扑朔迷离；两岸壮家瑶寨依山傍水；灿烂的铜鼓文化蕴藏其中，铿锵的鼓声，神奇的鼓韵，使游客领略到壮、瑶山民优美感人的民族风情。,全天,https://img1.qunarzz.com/travel/poi/1609/43/d332f1a3d0188437.jpg_480x360x95_970854cd.jpg,4.0,,,免费,,1
江平田园,http://travel.qunar.com/p-oi702890-jiangpingtianyuan,"

地址:
广西河池东兰县武篆镇

",东兰县武篆镇是一块无数先烈用鲜血浸染的红土地，是广西农民运动的发源地，当年邓小平、张云逸、韦拔群等老一辈无产阶级革命家曾在那里并肩战斗，写下了辉煌的历史篇章。其灿烂的革命历史和伟人们深深的足迹，吸引着全国各地的游客，每年前来谒访圣地的游客络绎不绝。江平田园景区是东兰县武篆镇列宁岩—魁星楼红色旅游景区的一部分，是列宁岩小区的拓展和延伸。该景区延绵几公里长的山系，群峰峻秀，山险洞奇，形态万千。有天门山、月亮山、小象山、观音山、骆驼山等；田园阡陌纵横，...东兰县武篆镇是一块无数先烈用鲜血浸染的红土地，是广西农民运动的发源地，当年邓小平、张云逸、韦拔群等老一辈无产阶级革命家曾在那里并肩战斗，写下了辉煌的历史篇章。其灿烂的革命历史和伟人们深深的足迹，吸引着全国各地的游客，每年前来谒访圣地的游客络绎不绝。江平田园景区是东兰县武篆镇列宁岩—魁星楼红色旅游景区的一部分，是列宁岩小区的拓展和延伸。该景区延绵几公里长的山系，群峰峻秀，山险洞奇，形态万千。有天门山、月亮山、小象山、观音山、骆驼山等；田园阡陌纵横，如诗如画；东平河穿流而过，蜿蜒曲折，碧如绿黛，青山起伏、曲水莹莹，翠竹依依，村庄掩隐在翠竹中，炊烟缭绕，东平河又在田园中蜿蜒穿行，景区自然景观优美，环境清幽宜人。被旅游行家称为难得的“喀斯特峰丛洼地田园景观”，其高品位的资源，具有很大的市场开发前景。随着现代工作生活压力的增大和居民休闲时间的增加，越来越多的人选择离开常住地，到生态环境优美的地方放松身心，这种休闲度假式的旅游需求正呈旺盛的增长趋势。把踏访革命圣地、缅怀革命先烈、感受伟人光辉的红色旅游，与山水观光、田园休闲、农家体验绿色生态旅游结合起来，成为“红”“绿”两色相映成趣的集观光游览、休闲度假为一体高品位旅游胜地，使革命老区的红色之旅真正成为寓教于乐的愉快之旅。一定会取得很好的市场效益和社会效益。,全天,https://img1.qunarzz.com/piao/fusion/1507/18/f067d8dd6861f2.jpg_480x360x95_cff60522.jpg,--,,,，免费,,1
列宁岩lieningyan,http://travel.qunar.com/p-oi704861-lieningyan,,列宁岩，原名北帝岩，位于广西东兰县武篆巴学村。是个天然石洞，洞内宽敞明亮，干燥平坦，可容纳数千人。1930年2月，红七军军长张云逸来到武篆，认为韦拔群在北帝岩宣传了马列主义，提议改名为“列宁岩”。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/698bcb4c30b33ea1bfc4dccfd1dea973.jpg_480x360x95_cb6a2ed6.jpg,4.5,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
