名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
河源佗城Heyuan Tuocheng,http://travel.qunar.com/p-oi7470939-heyuantuocheng,"

地址:
河源市龙川县佗城镇学宫旁


电话:
0762-6683882

",佗城，原称龙川城，是在公元前214年，秦始皇平定南越后，设县治所所在地。为纪念首任县令后为“南越王”的赵佗，故称为佗城。佗城是“世界客家古邑、岭南文化名城”，是秦朝岭南四大古邑一个保存完整的古城，是岭南历史上建制早的一个县，属“岭南第一古镇”，至今已有2225年历史，素有“秦朝古镇，汉唐名城”的美称，是广东省首批历史文化名城。佗城虽经历千年沧桑，但至今仍保存有秦朝时期的越王井、赵佗故居；唐代的正相塔；宋代的越王庙、古城墙、循州治所；明代的城隍庙；清代的...佗城，原称龙川城，是在公元前214年，秦始皇平定南越后，设县治所所在地。为纪念首任县令后为“南越王”的赵佗，故称为佗城。佗城是“世界客家古邑、岭南文化名城”，是秦朝岭南四大古邑一个保存完整的古城，是岭南历史上建制早的一个县，属“岭南第一古镇”，至今已有2225年历史，素有“秦朝古镇，汉唐名城”的美称，是广东省首批历史文化名城。佗城虽经历千年沧桑，但至今仍保存有秦朝时期的越王井、赵佗故居；唐代的正相塔；宋代的越王庙、古城墙、循州治所；明代的城隍庙；清代的学宫、考棚等100多处文物古迹。仅有四万人口的佗城镇，就有179个姓，其中二千多人的佗城村就有140个姓，是全国罕见的。佗城又是全国学宫与考棚共存的四个地方（广东龙川、河北定州、安徽绩溪、云南建水）之一。佗城有历史记载的姓氏古祠堂89间，现仍存48间，誉为“中华姓氏古祠堂博物馆”。佗城景区是“岭南客家之源，中华姓氏之，赵佗兴王之地，科举文化之窗”。,8:30-17:30，具体以景区公示为准。,https://img1.qunarzz.com/travel/poi/1409/01/1838a5f27157e75fffffffffc8d65eac.jpg_480x360x95_66edd76c.jpg,4.2,建议游览时间：2小时 - 4小时,,"{'河源佗城门票成人票\n\n': ['¥30起'], '河源佗城门票优待票\n\n': ['¥16起'], '佗城电子导览服务大小同价\n\n': ['¥7起']}",,1
春沐源小镇,http://travel.qunar.com/p-oi39020860-chunmuyuanxiaozhen,,,,,4.9,,,,,1
万绿湖风景区Wanlu Lake Scenic Spot,http://travel.qunar.com/p-oi709486-wanlu:hufengjingqu,"

地址:
河源市新港镇港中路17号万绿湖旅游码头


电话:
0762-8780002


官网:
http://www.wanlvhu.cn/

",万绿湖，又名新丰江水库，与西双版纳、鼎湖山被人并称为地球北回归线“沙漠腰带上的东三奇”，被誉为“天上瑶池水，人间万绿湖”，主要位于广东省河源市东源县境内，是粤港4000多万人的重要饮用水源地，湖水水质一直保持国家地表水Ⅰ类标准。万绿湖是华南第一湖，因处处是绿，四季皆绿而得名。万绿湖水质常年保持国家一类地表水标准，水域面积370平方公里，蓄水量约139亿立方米，有360多个绿色岛屿。万绿湖一年四季湖水的恒定温度在19℃—23℃，湖区基本不受台风影响，湖面少有风浪；因湖水颜色随着太阳照射角度、光线的不同，在一天时间里产生几种不同颜色，由近到远从墨绿、深绿、浅绿、淡绿逐渐转淡，因此而水色秀美。水月湾，是根据小说《镜花缘》记载百花仙子降生于广东河源县水月村而建设的旅游景区，是万绿湖内水上万绿湖国家湿地公园教育基地的旅游景区，素有“万绿湖中的翡翠明珠”之称。开发建设项目有：水月广场、亲水长廊、得月轩、湿地宣教基地、亲水观光平台。龙凤岛，是万绿湖中的一座岛，因东部像龙，西部像凤而得名，位于万绿湖最开阔的湖面中心。龙凤岛山上的同心锁许愿区是龙凤岛的吉祥之地，传说凡到此地都会爱情甜蜜，家庭和睦，事业顺利。同心锁许愿区背后是状元亭，亭中可一览万绿湖湖面。龙凤岛上有李讷植树点。1996年，李讷与丈夫王景清一同在龙凤岛开发初期种下了一株细叶榕，为万绿湖的环保旅游事业许下了祝福，有游人将此树称之为“公主榕”；时隔十年，2006年除夕，李衲携丈夫王景清再次来到龙凤岛，在原来的细叶榕旁种下了一株同样品种的细叶榕，同行书法家还现场书写了“春到龙凤岛”，寓意万绿湖长青，为人类在环保事业上添砖加瓦，将龙凤岛祥瑞开枝散叶，祝福人间有爱，祖国繁荣昌盛。镜花缘旅游区，位于河源万绿湖旅游码头西南面，背靠“华南第一湖”之称的万绿湖，占地约2000亩。是一个集观光娱乐、休闲度假、登山健身、团队拓展于一体的旅游区，开发建设项目有：“万绿湖畔定情戒指”、“心心相映”、“时空之门”等。《镜花缘》是清代著小说家李汝珍的一部充满浪漫色彩的长篇小说，讲述的是被贬凡间的百花仙子的故事。根据小说所写，河源与百花仙子有不解之缘，是百花仙子降生之地，而镜花缘景区的自然风光与书中描写的景致有许多不谋而合之处，于是景区就取名“镜花缘”。镜花缘景区的标志性园林建筑为镜花缘石刻和百花仙子的雕塑，石刻上的“镜花缘“三个大字是书法家李才雄的亲笔手迹，花仙子广场是镜花缘景区的集散之地，从该处沿着百花路可以到达镜花缘景区的各个景点。万绿湖客家风情馆，于2006年10月建成开馆，客家风情馆以客家特有的骑楼建筑风格进行设计施工，馆名“万绿湖客家风情馆”由中国漫画家华君武题写，馆内介绍着客家的风俗习惯及客家日常生活物件，展厅共分2层，建设面积近2000平方米，建筑风格完全按照传统客家建筑设计。客家风情馆的主要内容是：以客家喜庆文化为灵魂，通过不同时期的历史图文和珍贵实物利用多种展示手法，演绎客家“八喜”，展示河源客家人的五次大迁徙的历史渊源、文化艺术、风土人情、礼仪习俗、民间工艺、生产生活习俗等。馆内收集的藏品达3万多件，其中展出的有5千多件，都是一些较珍稀民间藏品，万绿湖客家风情馆是广东省比较系统和比较完整展出客家文化的博物馆。,全年 09:00-14:00,https://img1.qunarzz.com/travel/d4/1708/14/c4820c5f4c7771b5.jpg_480x360x95_4d3a5920.jpg,4.6,建议游览时间：2.9小时 - 3小时,,"{'镜花缘门票成人票\n\n': ['¥31.8起'], '镜花缘门票儿童票\n\n': ['¥20起'], '镜花缘门票学生票\n\n': ['¥20起']}",,1
苏家围Sujiawei,http://travel.qunar.com/p-oi704986-sujiawei,"

地址:
河源市东源县义合镇苏围村


电话:
0762-8882888

",苏家围位于河源市东源县义合镇苏围村，距离河源市区26公里，至今有800年的历史。由18座明清时期“府第式”的客家民居组成，其中古老的房子已经有500多年的历史了。苏家围是宋代大文豪苏东坡的后裔居住地，只要您置身其中，就会被它的古老、深沉、淳朴所吸引，苏家围人秉承了祖先的传统文化，将其交汇于岭南的天地中，至今都让人感受到浓浓的文化气息地道的客家文化浓缩在这个小村庄里，八百多年的历史文化沉淀、纯朴的乡村风貌、原汁原味的客家美食“九大簋”菜肴、18座明清时期的“府...苏家围位于河源市东源县义合镇苏围村，距离河源市区26公里，至今有800年的历史。由18座明清时期“府第式”的客家民居组成，其中古老的房子已经有500多年的历史了。苏家围是宋代大文豪苏东坡的后裔居住地，只要您置身其中，就会被它的古老、深沉、淳朴所吸引，苏家围人秉承了祖先的传统文化，将其交汇于岭南的天地中，至今都让人感受到浓浓的文化气息地道的客家文化浓缩在这个小村庄里，八百多年的历史文化沉淀、纯朴的乡村风貌、原汁原味的客家美食“九大簋”菜肴、18座明清时期的“府第式”的客家民居、乡村性别男女、乡村农家乐、农耕农事长廊，让游客体会的是客家的纯朴与自然。东江与久社河交汇于苏家围旁，营造了苏家围宁静、悠然的意境，古榕、老屋、江风、竹韵、牧歌和野趣，造就了一个南中国的画里乡村。,8:30-17:00,https://mp-commentcp.qunarzz.com/mp_comment_mp_comment/1559244337374100f14000000x1dbo2A59_D_640_10000.jpg_480x360x95_7b5d8d74.jpg,3.4,建议游览时间：4小时,,20元,,1
万绿谷Wanlugu Valley,http://travel.qunar.com/p-oi714035-wanlu:gu,"

地址:
河源市东源县回龙镇东星村万绿湖畔


电话:
0762-2233999,0762-2231666,0762-8722888


官网:
http://www.wanlvgu.com/

",万绿谷休闲度假风景区（简称万绿谷）位于广东省河源市东源县回龙镇东星村万绿湖畔，是万绿湖环湖公路上的生态自然渔村，拥有尘封了半个世纪旷世胜景与完好的生态社会风貌保。万绿谷休闲度假旅游区分为叶屋坪湖边渔家度假区和土匪窝探秘探险游览区。叶屋坪湖边渔家度假区设立在万绿湖罕有的广阔湖滩平地和天然草地上，背枕大南山，身临万绿湖，首期建设有高尚后现代客家风格的渔家度假别墅，周围配有田园菜地、牧场、稻田、钓鱼场、野趣烧烤场、沙滩排球、野外账篷区、划船、划竹排、干...万绿谷休闲度假风景区（简称万绿谷）位于广东省河源市东源县回龙镇东星村万绿湖畔，是万绿湖环湖公路上的生态自然渔村，拥有尘封了半个世纪旷世胜景与完好的生态社会风貌保。万绿谷休闲度假旅游区分为叶屋坪湖边渔家度假区和土匪窝探秘探险游览区。叶屋坪湖边渔家度假区设立在万绿湖罕有的广阔湖滩平地和天然草地上，背枕大南山，身临万绿湖，首期建设有高尚后现代客家风格的渔家度假别墅，周围配有田园菜地、牧场、稻田、钓鱼场、野趣烧烤场、沙滩排球、野外账篷区、划船、划竹排、干塘抓鱼、摸虾、骑牛、泳场等项目。同时设有完善的商务会议设施与具有特色的土家餐厅。里面的一个小湖里可以荡舟划船。住在湖边渔家：新客家度假别墅，面临成绿湖，背靠南山，尊享超大卫浴空间，独体私家花园，独特渔家船床，闲适优雅的万绿湖库区渔家风情度假生活。完善的会议设施，营造商务之旅。吃在打饾肆：客家人传统的打饾肆餐饮习俗，万绿湖库区内地道的渔家土煮风格，传统地道体验客家美食文化。（姐婆汤、东星桂花鸡、土家红焖肉、土家猪肉、渔家土煮鱼、渔家豆腐、渔家腊味、田园蔬菜）。,9:00-17:30,https://img1.qunarzz.com/travel/d4/1507/c4/7a60cc852d8f7e.jpg_480x360x95_a0a86c37.jpg,4.2,建议游览时间：4小时 - 6小时,,"{'万绿谷门票成人票\n\n': ['¥30起'], '万绿谷门票儿童票\n\n': ['¥16起']}",,1
野趣沟Yequ Valley,http://travel.qunar.com/p-oi712894-yequgou,"

地址:
河源市源城区桂山旅游大道10公里处野趣沟森林公园野鸭湖娱乐区内


电话:
0762-3838111

",野趣沟旅游区位于大桂山主峰北部，这里依山傍水，环境清幽。有野鸭湖、百花园、响水瀑布等多样化的自然美景，更可体验激情暗洞漂流的自然野趣。穿梭在景区的山林之间，必经的就是野鸭湖了，这里水平如镜，景色秀美，偶有野鸭出没，也是漂流的起始点。在此也可以选择继续漫步欣赏，途中百花园和百药园赏奇花异草，在狐狸坳寻找梅兰竹菊这“四君子”的身影，响水坪、通天河那直泻而下的壮美瀑布、怪石嶙峋之景，都让人流连忘返。从野鸭湖畔启航的漂流之旅更是能给人多重刺激之感，途中有疾驰而下的激流勇士漂，有缓缓行于密林间的林阴逍遥漂，更有趣味十足的岩洞漂流。当然，除了漂流，在景区还可体验野炊、林间畅泳等休闲项目。,8:00-17:00,https://img1.qunarzz.com/piao/fusion/2007/4d/e9cdb67fe7afaa02.jpg_480x360x95_7dfda591.jpg,4.4,建议游览时间：3小时 - 4小时,,"{'野趣沟门票成人票\n\n': ['¥45起'], '野趣沟门票儿童票\n\n': ['¥25起'], '野趣沟电子导览服务大小同价\n\n': ['¥6起']}",,1
新丰江国家森林公园桂山风景区Guishan,http://travel.qunar.com/p-oi711059-xinfengjiangguojiasen,"

地址:
河源市东源县桂山大道18公里处


电话:
0762-8782222,0762-8771088


官网:
http://hyguishan.cn/

",新丰江国家森林公园桂山风景区依山面湖，山环水抱，自然风光独厚。风景秀丽的自然画卷赋予游客回归自然的幽逸感，是人们体验自然野趣的好地方。桂山风景区景区内树木四季常青，堪称天然氧吧。走在登山道上，满目苍翠，更有20多个瀑布，各具特色，气势磅礴，美不胜收。,8:00-17:00,https://img1.qunarzz.com/travel/d4/1612/73/a52b5d0fa28192b5.jpg_480x360x95_037b30d7.jpg,4.2,建议游览时间：3天,3月--5月、9月--11月适宜。 河源全年气温均偏高，春秋相对较凉爽。,"{'桂山门票成人票\n\n': ['¥46起'], '桂山门票儿童票\n\n': ['¥25起'], '桂山门票+大峡谷漂流+玻璃桥成人票\n\n': ['¥120起']}",,1
东江画廊Dongjiang Gallery,http://travel.qunar.com/p-oi715080-dongjianghualang,"

地址:
河源市东源县木京水电站旁


电话:
0762-3931846

",风景区位于东江流域东源县境内，距离河源市区7公里，离205国道和京九铁路仙塘站不到2公里，建设中的粤赣高速公路就在景区旁边，交通条件十分优越。邻近的旅游景点有“万绿湖”、“苏家围”等。东江画廊是集客家风情、田园风光、科普教育、农业科技、休闲娱乐于一体的全新旅游风景区。首期在木京电站至苏家围河段隆重推出客家风情游线路，乘豪华游轮，寻古生物踪迹，观客家风情歌舞、茶艺表演、恐龙化石展，品地道客家小食，怡情东江两岸江风、竹影、渔歌、闲鹤，在休闲于东江画廊的同时了解客家文化，东江76公里长的画廊为您展开一幅幅宁静抒情的南国特有的田园风光风情画卷。置身于“山水画廊”之中，您将能真实地体会“船在江中游，画在两岸走”的奇妙感觉，感受徐霞客笔下“四百碧娇濯濯，如芙蓉映色”以及“踏遍青山人未老，风景这边独好”的意境。,全年 全天开放,https://img1.qunarzz.com/p/tts0/1801/87/7f1f2704dc8ec502.jpg_480x360x95_c615ad71.jpg,4.1,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
亚洲第一高喷泉First High-Altitude Fountain in Asia,http://travel.qunar.com/p-oi702163-yazhoudiyigaopenquan,"

地址:
河源市源城区大同路与沿江中路交叉口东南100米


电话:
0762-3310383

",亚洲第一高喷泉位于河源大桥与珠河大桥之间的新丰江中心，每到夜晚时分，喷泉水型多样，变幻莫测，融声光水色于一体，十分壮观。喷泉表演一般在晚上八点左右开始，持续约半小时，在欢快愉悦的乐曲中，绚丽多彩的喷泉水柱随着音乐舞动，气势如虹。不论是专程前往，还是沿着新丰江漫步经过时，这里都值得去看看。,全年 20:00-20:30,https://img1.qunarzz.com/travel/poi/1501/2d/8ae9dc5c62a5bf.jpg_480x360x95_c23c25e2.jpg,4.3,建议游览时间：0.5小时,,具体收费情况以现场公示为主,,1
新丰江大坝Xinfeng River Dam,http://travel.qunar.com/p-oi701940-xinfengjiangdaba,"

地址:
河源市源城区新江三路298号


电话:
0762-3302309

",    新丰江水库大坝距河源市区6公里，为混凝土结构，高124米，坝顶宽为5米，长度440米，是世界上第一座经受六级地震考验的超百米高混凝土大坝。溢洪段设有3孔。    1997年7月11日至14日、8月9日至16日，大坝两次开闸泄洪。泄洪时，湖水从闸奔泻而出，伴随着雷鸣般的呼啸声，卷起千堆雪，仿似一幅蛟龙闹海图，十分壮观。    新丰江电厂大坝是社会主义建设初期的奇迹，是人类改造自然、趋利避害的一个典范。如果不是亲临其境，人们很难想象这么一座百米大坝背后是一个“山中海洋”，而脚下却有一个高楼林立、人影绰约的中等城市。,全年 8:00-17:30,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/67a57c7bc9c813e545cf8147dfc1f5a7.jpg_480x360x95_9f823785.jpg,4.3,建议游览时间：2小时,,具体收费情况以现场公示为主,,1
