名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
黄金海岸度假区Gold Coast Resort,http://travel.qunar.com/p-oi714335-huangjinhaiandujiaqu,"

地址:
泉州市石狮市永宁镇海滨


电话:
0595-88605588,0595-88607090

",,全年 全天开放,https://img1.qunarzz.com/travel/poi/1604/81/93c4a11aeb1204f7.jpg_480x360x95_3d918b1f.jpg,4.3,建议游览时间：3天 - 6天,,"{'石狮海洋世界门票成人票\n\n': ['¥110起'], '石狮海洋世界门票优待票\n\n': ['¥70起'], '石狮海洋世界门票亲子票(1大1小)\n\n': ['¥176起']}",,1
西街West Street,http://travel.qunar.com/p-oi8457523-xijie,"

地址:
泉州市丰泽区城西路与西街交叉口

",西街是泉州比较早开发的街道和区域，早在宋朝，它就已经象征了泉州的繁荣，它还是泉州市区保存得很完整的古街区，保留着大量具有历史原貌的建筑。 　　一千多年来，这条古街区犹如一串耀眼的珍珠链，将泉州唐宋以来众多绚丽多彩的文物胜迹和古街古民居以及附于其间的名贤逸事、民间传说一一贯穿起来。除了开元寺、东西塔、城心塔，名人宅第、近现代洋楼外，还保留着大量风姿独特的古大厝，古色古香的木楼群，简直是一个活的建筑博物馆，既蕴含着古城丰厚的历史文化积淀，又诉说着古城革故鼎新的百年沧桑巨变。 　　五塔巷三十五号廖宅，二落五开间，保存完整。两侧榉头留有走廊，木窗为圆形结构，颇具特色；会通巷五十八号严宅，三落三开间，檐墙有砖雕壁图，有天井和双榉落三间张，面前堂建筑上砖下石，两侧砖壁各开设一个花漏窗，保存尚好。,全年 全天开放,https://img1.qunarzz.com/travel/poi/1603/88/b76879c4d4cb96f7.jpg_480x360x95_e1629cc2.jpg,4.5,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
崇武古城风景区Chongwu Ancient City,http://travel.qunar.com/p-oi705431-chongwuguchengfengjing,"

地址:
泉州市惠安县东南海滨


电话:
0595 87683297

",崇武古城位于惠安县东南海滨，濒临台湾海峡，是明洪武二十年（1387年）江夏侯周德兴为抵御倭寇所建。但至今，古城留下来的也只有一段古城墙了，所以，为了景区的可看性，古城植入了惠安的绝活——石雕。整体而言，崇武古城的看点有3大块：古城墙、石雕和海边的岩礁。崇武古城的房屋不是用红砖而是用整块方形大石建成，所以又被叫做石头城。虽然年代久远，但是用石头砌成的城墙依旧很完整。城墙内有几个村子，也都是石头砌成的房子。古城城墙内免费参观，只有城墙到海边的一段才收费。这些城墙下的居民区还生活着整个崇武较早的居民，也就是当年抗倭军队的后裔。你可以爬上老城墙处走一走。站在高处的灯塔处，清晰可见整个古代军事战略要地的城墙轮廓，视野开阔，可以一览整个海面，还能望见海上女神妈祖像的柔美背影。石雕更不用说了，惠安给人的印象就是惠安女和石雕，这里到处都能看到石雕。比如有水浒里面的将士；有黑猫、白猫等动物；有西游记里的人物形象等。虽然看不出石雕内容和古城之间的联系，感觉是挺商业化的存在，但是拍拍照，欣赏下石雕还是不错的。当然，较美的地方可能还是海边。海边有岩礁，除外，沙滩上也有不少的贝壳。海边走走感觉也挺不错的，可以沿着海岸线散步至中间的小沙滩，退潮的时候还可以捉到小虾和小螃蟹。岸边也有烧烤店可以吃烧烤。景区周边有卖影雕的地方，可以买来当纪念品，有机器雕刻和手工雕刻2种，价位不等。关于住宿崇武古城住宿很方便，推荐的比如有崇武大酒店、海峡酒店、西沙湾假日酒店等，前2家离景区及交通站点很近，后一家就在沙滩旁边。关于用餐崇武古城是个比较成熟的景区，所以酒店、大排档等的都不愁。另外，鱼卷算是这里的一种特色美食，推荐一试，比较出名的店铺比如有瑞芳鱼卷及曼玲鱼卷。,夏季（3月1日-10月31日）7:30-18:30，冬季（11月1日-次年2月29日）7:30-17:30。,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/1b5ce2893197031bdc47da1da8df69bf.jpg_480x360x95_9f954f49.jpg,4.2,建议游览时间：3天 - 6天,泉州属于亚热带季风气候，枕山面海，这里五六月份是梅雨季节，冬短而无严寒，年平均气温18-20℃。最佳旅游季节一般为每年的4-11月。,"{'仙公山门票成人票\n\n': ['¥14起'], '崇武古城电子导览票成人票\n\n': ['¥0.2起'], '仙公山世遗泉州全域旅游卡成人票\n\n': ['¥123.9起']}",,1
风车岛Windmill Island,http://travel.qunar.com/p-oi23344506-fengchedao,"

地址:
泉州市惠安县小岞镇

",小岞位于惠安东部沿海，东、南、北三面临海，西与净峰镇七里湖狭长地带接壤，成半岛地形。蓝色的大海、白色的风车、金色的沙滩、金色的岩石，色彩鲜艳纯净。位于福建泉州市惠安县小岞镇的风车岛三面环海，景色迷人，国庆黄金周期间吸引了不少游客前来观光游玩。这里还有泉州的“陆域东极”，每天泉州的第一缕阳光从这里照亮。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-mapi/img/43c49a7d10f01537549c7e039636baa4.jpg_480x360x95_1f31acd4.jpg,4.5,建议游览时间：3天 - 6天,,具体收费情况以现场公示为主,,1
蟳埔村Xunpu Village,http://travel.qunar.com/p-oi8439686-xunpucun,"

地址:
泉州市丰泽区东海社区蟳埔村

",这里居住的是古时阿拉伯人的后裔，虽经历代与当地汉族通婚，但中亚的遗风尚存，主要表现在蚝壳房和蟳埔女的头饰上。蟳埔女盘头插花，戴着丁香耳坠，穿着大裾衫、宽脚裤，形成了一道独特的风情。蟳埔女“戴簪花圈，插象牙筷”的头饰是从宋代以来从中亚流传过来的。,全年 全天开放,https://img1.qunarzz.com/travel/poi/1706/1c/7f7a08ccdf4f4c37.jpg_480x360x95_69f7705d.jpg,4.2,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
洛阳桥Luoyang Bridge,http://travel.qunar.com/p-oi706554-luoyangqiao,"

地址:
泉州市洛江区桥南街与蔡襄路交叉口


电话:
0595-22650540

",洛阳桥现存古桥由花岗岩砌筑，长约731米，宽4.5米，桥墩45座，两侧有500根栏杆石柱作为护栏，其中28根为狮身栏柱，所用石桥板最长的长11米，宽0.98米，厚0.8米，重约数吨至十多吨。桥北，桥南存有4尊十一世纪修桥时所立的护桥石将军，7座石塔以及中亭的26方历代修桥碑记。它为船型的桥基设计，这样的设计既可减少水的冲力，又有比较好的审美效果。洛阳桥是中国现存较早的跨海梁式大石桥，也是世界桥梁筏形基础的开端。桥设计特别的地方是在“种蛎固基法”，是在桥下养殖大量牡蛎，巧妙的利用牡蛎外壳附着力强、繁殖速度快的特点，把桥基石和桥墩石胶合凝结成牢固的整体。这也是世界上笫一个把生物学知识运用于桥梁工程的创举。桥头还有始建于宋代的蔡襄祠，可以看到蔡襄的石像，是为了纪念蔡襄而建的。出名的蔡襄《万安桥记》宋碑，即立于祠内。碑上的文章简短精炼，用153个字记载了造桥的时间、年代、桥的长宽、花费的银两和参与的人物等，书法优美、刻工精致。蔡襄是宋代四大书法家之一，他的自撰自书此碑为洛阳桥增辉不少洛阳桥主要是以历史出名，倒不是因景点漂亮壮观而闻名。走一个来回耗时并不多，一路上各时期石碑述说着它的历史悠久。来这里看看船头形状的桥墩，欣赏下古代桥梁的建筑艺术。还可以在桥上透过石逢看底下的江水，在桥上感受江水的汹涌澎湃。另外值得一提的是，它是中国古代四大古桥中免费参观的桥。,全年 全天开放,https://img1.qunarzz.com/travel/d1/1712/cc/dc79cc1c81ec50b5.jpg_480x360x95_de127a45.jpg,4.6,建议游览时间：0.5小时,最佳旅游季节一般为每年的4-11月。,"{'厦门往返泉州一日游（16人小团/漫步泉州街头/寻闽南古早味/探访南少林）\n\n': ['¥268起'], '【厦门出发】泉州开元寺+南少林+洛阳桥+西街一日游\n\n': ['¥278起'], '鲤城往事-品味泉州一日游 探寻刺桐古城历史遗迹 追忆闽南往事 专车接送 优质讲解\n\n': ['¥258起']}",,1
清净寺Qingjing Temple,http://travel.qunar.com/p-oi703170-qingjingsi,"

地址:
泉州市鲤城区涂门街108-110号


电话:
0595-22193553,

",清净寺始建于北宋年间，是阿拉伯穆斯林在中国创建的现存最古老的伊斯兰教寺，20世纪90年代被列为“中国十大名寺”之一，也是唯一入选的伊斯兰教清真寺。清真寺自始建至今经历千年岁月，在国内外具有很高的影响力，1963年3月被国务院公布为第一批全国重点文物保护单位。,全年 7:30-17:30,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/4ed51c47b80cd4bef3489859b2e01154.jpg_480x360x95_95b7e96f.jpg,4.4,建议游览时间：1小时 - 2小时,最佳旅游季节一般为每年的4-11月,{'泉州一日游·遇见闽南泉州南少林寺关岳庙清净寺天后宫开元寺西街\n\n': ['¥269起']},,1
清源山Qingyuan Mountain,http://travel.qunar.com/p-oi710042-qingyuanshan,"

地址:
泉州市丰泽区泉山路


电话:
0595-22777675,0595-22771928

",清源山位于泉州市北郊，俗称“北山”，主景区距离泉州市区3公里，交通很方便。清源山是泉州第一个也是唯一的一个5A级景区，可以算是泉州的标志性景点了。山并不高，所以大可不必把清源山的行程当做爬山之旅，可能用休闲锻炼来形容会更加合适一点。据泉州府志记载，清源山最早开发于秦代，唐代“儒、道、释”三家竞相占地经营，所以景区内有着 “儒、道、释”三家的各种旧迹，可以一一体会。整座山最大的亮点就是位于山下的老君岩，也就是老子的雕塑，它雕刻的栩栩如生，且有千年的历史。它是我国现存最大、雕技最绝、年代最久的道教石雕造像。清源山景区内还有着与闽南有着深厚渊源而安身在此的弘一大师舍利塔，塔内有壁丰子恺先生悲切所作的泪墨画，塔前还有大师生前的遗墨“悲欣交集”。清远山的人文景观要胜于自然景观，这里有非常多的历代摩崖石刻，可以循着地图一块一块去找寻古人的“到此一游”。除了看人文景观和爬山锻炼，清源山的魅力却不仅仅如此，在山中喝茶和在山顶吃喝也是种独特的乐趣。登山途中有不少休息泡茶的地方，你可以停下脚步喝点茶，慢慢品味闽南文化。在山上泡茶，观景品茗不亦乐乎。山顶有一座名叫天湖的湖，在湖边上可以吃当地的农家乐，农家乐的价格都不贵且味道不错。快天黑的时候还有人在山上吃烧烤，据说是当地人经常有的生活方式。另外，从山顶还可以从上往下俯瞰泉州古城。,全年 08:00-17:30,https://img1.qunarzz.com/travel/d5/1607/bc/8d0e2ce7cb6e75a7.jpg_480x360x95_e794b644.jpg,4.4,建议游览时间：12小时,清源山风景名胜区属花岗岩地貌的山地丘陵，地势起伏、岩石突兀，主景区最高海拔498米。地质结构是通过多次构造运动和岩体侵人所形成的，岩体外部呈黑褐色，岩层节理不发达，成土因质以坡积物居多，土壤为温润型；年平均气温17度-21.3度C之间，年平均降水量在1202-1550毫米之间，全年无霜期358天；清源山冬暖夏凉，气候温暖湿润，一年四季均适宜观光旅游。,"{'清源山门票成人票\n\n': ['¥58起'], '清源山门票儿童票\n\n': ['¥35起'], '清源山门票老人票\n\n': ['¥35起']}",,1
泉州钟楼Quanzhou Bell Tower,http://travel.qunar.com/p-oi9127048-quanzhouzhonglou,"

地址:
泉州市鲤城区西街与东街的交汇处

", 泉州现有三座钟楼，古老的是建于1934年的西街钟楼，也是泉州市民心中默认的钟楼，其他两座为近现代所建。泉州钟楼是1934年建设东西街十字路时建的标准钟楼，于次年完工。钟楼高13.8米，由留英设计师设计，具有欧洲风格。泉州钟楼与东西塔、谯楼等成为古城独特的景色，吸引了海内外游客。目前，钟楼的钟由机械钟换上石英钟，钟楼还装上了节日灯，夜幕下的钟楼放射出新的光辉，更加灿烂夺目。,全年 全天开放,https://img1.qunarzz.com/travel/d9/1610/9f/96b4cfbbf8a047b5.jpg_480x360x95_556429cb.jpg,4.4,建议游览时间：0.1小时 - 0.2小时,四季皆宜。,具体收费情况以现场公示为主,,1
关岳庙Guanyue Temple,http://travel.qunar.com/p-oi7588758-guanyuemiao,"

地址:
泉州市鲤城区涂门街188号(近清净寺)


电话:
0595-28011018

","通淮关岳庙，位于泉州古城繁华的涂门街上，在涂门街老远就可以望见袅袅青烟，闻到浓浓的香火味了。它有近千年的历史，庙内主祀关羽。它是泉州历史文化名城的古迹之一，也是国内少见的祭祀关羽和岳飞于一祠的庙宇。
关岳庙的建筑风格体现了闽南古建筑的艺术风格，装饰精美的木雕、石雕和泥塑，屋脊宝塔龙吻，其间配有花鸟走兽。漂亮的建筑使其本身就很值得拍照及观赏。
祭殿不大，进门就可以听见源源不断的掷筊声，是通过二块贝壳状的木板掷地后的正反来判断吉凶的方式，你也可以来卜一下吉凶。
进入庙内，殿内正位左祀关羽，右祀岳飞。其余地方皆布满对联和碑刻，其实都是文物。
 庙门外左右两壁有米芾和董其昌诗各一首。庙内还存有宋代大儒朱熹手书《正气》及明代书法家张瑞图手书的《充塞天地》等古匾等。这些文物，都使通淮关岳庙更加具有历史感和文化底蕴。
",全年 05:30-19:00,https://img1.qunarzz.com/travel/poi/1501/1b/9bd94d11cb408.jpg_480x360x95_6a130eb5.jpg,4.5,建议游览时间：1小时 - 2小时,,{'泉州一日游·遇见闽南泉州南少林寺关岳庙清净寺天后宫开元寺西街\n\n': ['¥269起']},,1
