名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
泰山风景区Mount Tai Scenic Area,http://travel.qunar.com/p-oi712332-taishanfengjingqu,"

地址:
泰安市泰山区红门路


电话:
0538-96008888


官网:
http://www.mount-tai.com.cn/

",泰山风景区位于泰安市泰山区。泰山自古以来便是我国有名的山峰之一，有五岳之首的美誉。泰山风景区以壮丽著称，山峰陡峭高耸，十分壮观，在山顶观看日出、晚霞等也十分绮丽。山间经常有云海出现，而冬天则有雾凇奇观，非常漂亮。除了自然风光外，山上还有众多的古迹、石刻、宗教庙宇等人文景观。春天可以看到山间的桃花和梨花，夏天山顶翠绿，而且由于山顶凉爽，所以这里还是有名的避暑胜地，而秋天山间的树叶红黄相间层林尽染，十分漂亮。泰山风景区面积很大，纵深约有几十公里。上山有几条登山步道，还有公路和索道纵横其间，可以结合徒步、乘坐旅游车、乘索道等方式游览。泰山风景区共有四个入口，分别为红门、天外村、天烛峰和桃花峪，每个入口均有一条路线通往山顶区域的岱顶旅游区。红门、天外村位于前山，一般常规的游览路线为红门或天外村上山，当天或第二天再从其他路线下山，为了不走回头路，大多游客会从桃花峪处下山，天烛峰因距离远且道路难行，多为户外背包客路线。红门入口的登山步道是秦始皇封禅时开通的步道。这条路线主要是石阶路，需要步行从红门到中天门，一路经过万仙楼、斗母宫、四槐树、回马岭、壶天阁等众多景点，也是泰山上众多石刻较为集中的地带。到达中天门后可以选择乘坐缆车或步行前往南天门及山顶区域，一路可以看到十八盘、升仙坊、对松山、朝阳洞、五大夫松等多个景点。天外村游览路线则是一条从天外村通往中天门的公路，可以乘坐旅游车前往，途径黑龙潭、扇子崖、冯玉祥墓等景点，到达中天门后路线即与红门路线后半段相同，不想步行或爬山的游客可选择这条线路。天烛峰路线是泰山较为险峻的登山步道，游人很少，是户外爱好者们经常徒步的地带，爬山大约需要半天。这条路线山色俏丽，有鲤鱼背等景点，起点处还有《中华泰山·封禅大典》的表演。桃花峪路线是很多游客下山时的选择，从山顶的天街有索道到达半山腰的桃花源索道起点，然后旅游车从索道起点到山下的桃花峪。这条路线主要的景致便是桃花峪彩石溪景区，石块多有彩色纹路十分神奇，有兴趣的可以前去参观。这四条路线通向的都是山顶的岱顶旅游区。岱顶上有泰山的主峰玉皇顶以及神奇的天上街道天街景区，还有日观峰、月观峰、大观峰、瞻鲁台、碧霞祠、孔子庙等多个景点，可以步行慢慢参观。山顶可以远眺黄河，看“黄河金带”奇观，山后的后石坞景区也可以前去观看，内有索道可从后石坞通向北天门。住宿信息一般游览泰山的时间多为1-2天，期间可以在山上住宿一晚。在天街和南天门附近有多家客栈宾馆可以住宿，在此看日出、晚霞和山顶的星空较为方便，天气好的夜晚在山上还可以看到市区的灯光，拍出星空与城市灯火并存的照片。山顶还可以露营，夏季时会比较合适。另外山下的入口处也有很多住宿地点。夜爬泰山很多观看日出的游客会选择夜爬泰山，晚上十一点左右出发为宜。夜爬泰山一般选择红门路线，这条路上晚上会有很多人，而且一路都会有灯光。大约早上日出前刚好可以到达山顶的日观台或玉皇顶，在这里观看日出较为合适。,全天开放,https://img1.qunarzz.com/travel/d1/1510/cc/66808f35a17b8ff7.jpg_480x360x95_01eaf81c.jpg,4.7,建议游览时间：3天 - 6天,春季：泰山上下一片葱郁，适宜登高踏青。5月是观日出的黄金时期，易看到“云海玉盘”这一奇观。这个季节时常多雨，需要携带御寒衣物和雨具。夏季：泰山最热的时候平均气温也只有17℃，酷暑登山亦感阴凉舒适。但此时早晚温差大，最好携带好御寒衣物。秋季：层林尽染，颜色丰富。喜爱摄影的旅行者不可错过这个季节的泰山，最好是携带方便轻快的相机，以免为登山增加累赘。冬季：下过雪后的泰山，或可见雾凇、雪淞等奇异的景色， “旭日东升”、“云海玉盘”两大自然奇观也在这个季节可以见到。因为此时是旅游淡季，门票及食宿有较大优惠。每年4月—11月为最佳观赏时间。无论是登顶看日出，半途观古树，还是雪后赏雾凇，都是很不错的选择。推荐避开人多的小长假。,"{'泰山门票+3.5小时人工讲解（天外村入口、上行环山车）服务儿童票\n\n': ['¥145起'], '泰山电子导游服务大小同价\n\n': ['¥0.1起'], '泰山一日游【趣味讲解/含车票/美食】\n\n': ['¥260起']}",1、山路上物资不多，并且价格很高，建议带充足的水和食物。2、山顶常年温度较低，可以自备御寒衣物，也可以在山顶租军大衣和帐篷，通常租的数量多价格会有优惠。3、登山装备建议以轻便为主，准备好电量充足的手电筒，准备好防晒防虫措施，因山路风较大，不建议带伞。可准备雨衣等物品应对。4、从红门到南天门要花近5个小时左右，南天门到玉皇顶是自然景观和人文景观交相辉映的代表。可以在观日峰或瞻鲁台看日出。5、节假日前来登山的人非常多，如果条件允许尽量错峰出行。6、夜爬的出发时间不宜过早，不然提早太多到达山顶，等待起来会比较痛苦。,1
泰安地下龙宫（原泰山大裂谷）Tai'an Underground Dragon Palace (Formerly Taishan Rift Valley),http://travel.qunar.com/p-oi7469048-taiandixialonggong,"

地址:
泰安市泰山区邱家店镇镇崇文路泰安第十三中学对面宝泰隆旅游区


电话:
400-118-5678


官网:
http://www.tsbaotailong.com

",泰山宝泰隆旅游度假区是由泰安市宝泰隆泰山地下大裂谷旅游开发有限责任公司投资15亿元开发的大型综合旅游度假区。度假区地处泰山脚下、汶水之畔，北依省会泉城济南，南邻孔子故里曲阜，处于“好客山东”山水圣人旅游热线的核心位置。度假区总占地128万平方米，以地下漂流观光与地上休闲娱乐为主题，有溶洞漂流、裂谷探险、温泉疗养、候鸟放飞、驯化推广、石敢当文化展示等项目，产品涵盖观光娱乐、休闲度假、餐饮购物、文化体验、特色演出等五大模块，是集吃、住、行、游、购、娱于一体的大型综合性绿色环保休闲度假区。泰山地下大裂谷与亿万年形成的喀斯特溶洞紧密相连，整体观光长度达6000余米，洞内钟乳石、石花、石柱、石笋、石幔、石瀑遍布其中，形成了一幅幅神奇与美妙的画卷，洞内依托丰富的地下水资源，打造的4000米地下暗河漂流，是迄今为止最长的地下河漂流，水道蜿蜒曲折，惊险刺激。 泰山地下大裂谷，是泰山和徂徕山两座山脉的断裂带，已开发长1300多米，深达数百米，大自然的鬼斧神工和无穷造化，形成了震撼人心的地质奇观。大裂谷共有4000多只天鹅、丹顶鹤等珍稀鸟类，可在园区内观赏候鸟。度假区内大型的自然湿地，环绕整个景区，在湿地水系上建设的水上高尔夫练习场更是集运动、健身、休闲、娱乐为一体的特色旅游项目。,国庆节 08:00-17:00;10/8-3/31 08:30-17:00,https://img1.qunarzz.com/travel/poi/1408/26/a707812640938049ffffffffc8d65eac.jpg_480x360x95_3e0119d7.jpg,4.4,建议游览时间：2小时 - 3小时,,泰安地下大裂谷观光门票（地上湿地观光+地下裂谷观光+地下溶洞观光+放飞岛候鸟观光+东海龙宫观光） ；内部娱乐设施单收费,,1
十八盘Shiba Pan (Eighteen Bends),http://travel.qunar.com/p-oi5741288-shibapan,"

地址:
泰安市泰山区红门路54号泰山风景名胜区内(对松山与南天门之间)


电话:
0538-96008888,0538-8066606

",十八盘之于泰山，正如八达岭之于长城；兵马俑之于西安，它是泰山登山盘路中较险要的一段，也是泰山的主要标志之一，更是泰山很值得走一走的景点。从对松山谷底至南天门的山路统称为“十八盘”，共有1600多级台阶。前393级称慢十八盘；中767级为不紧不慢十八盘；后473级为紧十八盘。当地有“紧十八，慢十八，不紧不慢又十八”的顺口溜。三个十八盘，不足一公里，垂直高度却有400余米，坡度约70-80度，约爬2个多小时，它的陡峭可想而知。两旁山崖壁如削去了一块，陡峭的盘路镶嵌其中，远远望去，恰似天门云梯。游客过了对松山，就是十八盘的开始，盘路劈山而进，此处两侧山崖东为飞龙岩，西为翔凤岭，其壁似削，非常险峻。在十八盘的山路两边设有攀援铁索，方便于游客攀爬。一路上近一点可见泉水淙淙，花木依石而生。远一点，可见到青山迭翠，山石在云中嵯峨。还有盘路两旁的松柏树铁干龙虬，植根石罅，与峭壁结伴而立，伸枝高扬者，似展翅欲飞。而石壁谷两侧还有“天门长啸”、“层崖空谷”、“天门云梯”、“如登天际”等石刻。攀爬十八盘需全神贯注，整个过程犹如“前人踩着后人的脑袋，后人顶着前人的脚板”的感觉，非常艰辛。,包含于泰山景区，泰山景区全天开放，景点开放时间详见景区现场公示。,https://tr-osdcp.qunarzz.com/tr-osd-tr-mapi/img/41c9c44b7c3ba2a725039c1648cc48e2.jpg_480x360x95_e0ffc273.jpg,4.7,建议游览时间：2小时 - 3小时,每年4月—11月为最佳观赏时间。无论是登顶看日出，半途观古树，还是雪后赏雾凇，都是很不错的选择。推荐避开人多的小长假。,{'【济南私家包车1日游】舒适出行·不赶时间·1单1团·不拼车\n\n': ['¥698起']},1、十八盘以陡峭著称，建议登山者们备一根登山杖，减少膝盖损伤。2、在十八盘的开始和结尾（即南天门）会有租军大衣的，选择夜爬的登山者们要注意保暖。3、夜爬泰山最容易出危险的就是在十八盘，所以建议最好备一个小手电为好。4、如果体力有限，下山时可选择在南天门坐缆车下至中天门。中天门索道票价：单程100元。,1
岱庙Dai Temple,http://travel.qunar.com/p-oi710634-daimiao,"

地址:
泰安市泰山区东岳大道


电话:
0538-8261038


官网:
http://www.daimiao.cn/

",岱庙位于泰山南麓、泰安市内，始建于秦汉，是古代历朝帝王奉祀泰山神、举办祭祀大典的地方，也是有名的道教名地。岱庙的建筑群规模宏大，与北京故宫、山东曲阜三孔、承德避暑山庄，并称中国四大古建筑群。如今这里完好地保存着巍峨的宫阙，可以欣赏到宋代巨幅壁画以及众多古代碑刻。整个岱庙是按照古代帝王的宫城形制而营造的，高筑的城堞、宏伟的殿宇，处处彰显着古代的庙宇的气派。由南向北进入岱庙，可依次经过遥参亭、岱庙坊、正阳门、配天门、仁安门等主要建筑，然后到达天贶殿。其中高大的正阳门是进入岱庙的正门，古时候只有帝王才能从此门进入。天贶殿是岱庙的核心建筑，为东岳大帝的神宫，殿内供奉着泰山神（即东岳大帝）。殿内北、东和西三面墙壁上绘有宋代巨幅壁画《泰山神启跸回銮图》，描绘了泰山神出巡的浩荡场面，画中人马千姿百态，造型生动逼真，该题材的绘画全国仅此一幅。进入天贶殿需先在门口买鞋套，而壁画是不能拍照的。岱庙内如今存有历代碑碣石刻三百余通，因此有“岱庙碑林”之称，是欣赏书法的名地。你可以看到中国现存早期的刻石——秦代李斯小篆碑，此刻石是秦二世胡亥下诏书、由丞相李斯以小篆字体书刻制成的，至今已有2200多年的历史，为珍贵的珍宝。另外还有汉代隶书风格的代表作“张迁碑”、“衡方碑”，有晋代三大丰碑之一的“孙夫人”碑、形制特异的唐代“双束碑”等珍贵古迹。此外，岱庙内树木苍翠、大树参天，环境十分优美。其中不乏一些珍贵的古树，尤其是历经几千年风雨沧桑的“汉柏”、“唐槐”，为岱庙古树名木之一。汉柏院内有五株古柏，相传为汉武帝东封时所植，如今虽已肤剥心枯，却新枝继生。院内还存有几十块历代碑碣，仅乾隆皇帝登岱传作的就有26块。岱庙后院的东西两侧还建有铜亭和铁塔各一座，均为明代古迹，是从泰安的其他地方移至此地。其中铜亭又名“金阙”，较早置于泰山顶碧霞祠内，技艺高超的古代工匠将该亭以仿木结构的形式装配而成，可谓巧夺天工。景区内可提供导游服务，如果对古迹兴趣浓厚，这里还是比较值得请个导游讲解一下的。另外，景区门口有一排卖纪念品的小商店，店家一般可以帮忙照看普通行李，收费不高。,3月1日-4月30日7:50-17:30，5月1日-8月30日7:50-18:00，9月1日-10月31日7:50-17:30，11月1日-次年2月28日7:50-17:00。,https://img1.qunarzz.com/travel/d9/1806/e5/ffcefc9c401964b5.jpg_480x360x95_d1911eb8.jpg,4.7,建议游览时间：2小时 - 3小时,,"{'岱庙手机智能语音讲解服务大小同价\n\n': ['¥0.5起'], '泰安岱庙半日游【2H深度讲解/可选上下午场/十人小团/含门票预约】\n\n': ['¥108起'], '【济南私家包车1日游】舒适出行·不赶时间·1单1团·不拼车\n\n': ['¥698起']}",,1
南天门Nantian Gate,http://travel.qunar.com/p-oi5741305-nantianmen,"

地址:
泰安市泰山区红门路54号泰山风景名胜区内


电话:
0538-96008888,0538-8066606

",南天门位于泰山十八盘的尽头，是登山盘道顶端，此处双峰夹峙，仿佛天门自开。由下仰视犹如天上宫阙，所以取仙境场所命名。穿过南天门就是泰山山顶，登山行程正式完成.南天门分上下两层。下层为拱形门洞，上镶石匾额“南天门”，两侧镶石刻对联：“门辟九霄仰步三天胜迹，阶崇万级俯临千嶂奇观。”上层建摩空阁，门上石匾额“摩空阁”，白地贴金红墙衬托，与黄琉璃瓦顶相辉映，更显巍峨壮观。,全天开放,https://img1.qunarzz.com/travel/d3/1704/4c/ce75e7b84ff71db5.jpg_480x360x95_59d63dea.jpg,4.6,建议游览时间：1小时,每年4月—11月为最佳观赏时间。无论是登顶看日出，半途观古树，还是雪后赏雾凇，都是很不错的选择。推荐避开人多的小长假。,包含在泰山风景区内，通用于泰山风景区门票。,,1
万仙楼（望仙楼）,http://travel.qunar.com/p-oi7587745-wanxianlou,"

地址:
泰安市泰山区红门路54号泰山风景名胜区

",万仙楼下层是石砌拱形门洞，高3.4米，宽2.9米，石额南刻“万仙楼”，北刻 “谢恩处”。整个下层东西宽17.4米，进深13.65米，高4.4米。门东砌为隐真洞， 深1.76米，高1.95米，宽0.9米。万仙楼上层建在下层顶台偏北处，面阔3间13米，进深6.3米，通高11米，三柱 七檩五架梁，重梁起架，黄琉璃瓦九脊歇山顶，前为重檐双步廊式。檐下施影作斗 拱，一斗二升交麻叶头，枋檩额上遍饰墨线大点金彩绘。殿墙下部四周镶满明代朝 山进香施财合山会题名碑63块。下层东北角有石阶与上层相通。,全天,https://img1.qunarzz.com/travel/d2/1710/a6/60396bdfb88e4ab5.jpg_480x360x95_d9e2c730.jpg,5.0,建议游览时间：0.5小时 - 3小时,,凭学生证半价。,,1
扇子崖Fanziya,http://travel.qunar.com/p-oi5741300-shanziya,"

地址:
泰安市泰山区泰山景区内


电话:
0538-96008888,0538-8066606

",扇子崖位于泰山西溪西侧，因此处奇峰高耸，行如扇面而得名。“俯临鬼谷幽，旁倚丈人峻”写出了扇子崖的巍峨与险峻。当年吴承恩进京赶考，路过扇子崖被扇子崖的风景打动受到启发，把这里的许多景物都写进了自己的故事里，《西游记》里面铁扇公主的扇子，傲徕国原址傲来峰，还有魔王洞、狮驼岭、石猴观海等都来自这里。,全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/3549fe904364b8b701e7612e146dba2c.jpg_480x360x95_12728f6e.jpg,4.8,建议游览时间：1小时,每年4月—11月为最佳观赏时间。无论是登顶看日出，半途观古树，还是雪后赏雾凇，都是很不错的选择。推荐避开人多的小长假。,包含在泰山景区内，通用泰山景区门票。,,1
桃花源,http://travel.qunar.com/p-oi5741290-taohuayuan,"

地址:
山东省泰安市岱岳区


电话:
538-8066077


官网:
http://www.mount-tai.com.cn/3301.shtml

",泰山桃花源位于泰山西麓，古时因桃花满峪谷而得名。相传，古时桃花源的桃树甚多，从山坡到山顶，众多桃树自早春3月至4月次第开放，红成一片，因此古人又称此地为“红雨川”。泰山桃花源峪谷中满山草药，遍地是宝。最令桃花源扬名增色的是闻名遐尔的泰山赤鳞鱼，它们出没于石隙水藻之间，身影灵巧轻盈，摇曳多姿。桃花源因溪清潭深，僻远幽绝，水质尚未污染，含氧最高、矿物质少、硬度低，成为泰山赤鳞鱼的繁衍盛地、金 、银、铁、草等四个不同品种的赤鳞鱼均在此生息。泰山桃花源的溪...泰山桃花源位于泰山西麓，古时因桃花满峪谷而得名。相传，古时桃花源的桃树甚多，从山坡到山顶，众多桃树自早春3月至4月次第开放，红成一片，因此古人又称此地为“红雨川”。泰山桃花源峪谷中满山草药，遍地是宝。最令桃花源扬名增色的是闻名遐尔的泰山赤鳞鱼，它们出没于石隙水藻之间，身影灵巧轻盈，摇曳多姿。桃花源因溪清潭深，僻远幽绝，水质尚未污染，含氧最高、矿物质少、硬度低，成为泰山赤鳞鱼的繁衍盛地、金 、银、铁、草等四个不同品种的赤鳞鱼均在此生息。泰山桃花源的溪中之水源是由三条清澈的溪水汇流成的，一是上桃峪来水，另一是龙角山来水，再就是雁群峪来水。这3条溪水在桃花源合而为一，缘溪而下，所以桃花源溪水不仅平时水量大，就是逢旱年亦不断流。这在泰山是十分难得的，是名副其实的“桃花源”。,全天,https://img1.qunarzz.com/travel/poi/201407/22/8bae2e272115ca07c8d65eac.jpg_480x360x95_9d1692ef.jpg,5.0,建议游览时间：1小时 - 2小时,,学生凭学生证或者60岁以上老年人凭证享受半价；现役军人、革命伤残军人、残疾人、儿童（1.2米以下）、70岁以上老年人免费,,1
泰山西湖Taishan West Lake,http://travel.qunar.com/p-oi35769438-taishanxihu,,泰山西湖位于泰安市岱岳区，水域面积达3.6平方公里，既是天然蓄水库，又是野生动植物的繁殖与栖息地。景区建设保留了原有河道，通过文化长廊与山水环境相结合，增加了水体交换能力，营造湿地生态系统。,,,4.7,,,,,1
黑龙潭Heilong Pool,http://travel.qunar.com/p-oi10000015-heilongtan,"

地址:
泰安市泰山区泰山西溪百丈崖


电话:
0538-96008888

",在泰山西溪百丈崖，瀑布常年倾泻，冲击崖下成潭，传说此潭与东海相通，有龙自由来去，故名“黑龙潭”。“龙潭飞瀑”是泰山西溪名胜之一，观潭上瀑布溅起水花无限，引人也生处无限遐思。黑龙潭看着面积不大，但是下面深不见底，所以夏天即使再热也不要轻易去黑龙潭游泳戏水，会很危险。,全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/337798bd4908d5beddffaf982b3438e3.jpg_480x360x95_e3010ac3.jpg,4.8,建议游览时间：1小时 - 2小时,,包含在泰山景区门票内，通用于泰山景区门票。,,1
