名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
张坝桂圆林Zhangba Guiyuan Forest,http://travel.qunar.com/p-oi712098-zhangbaguiyuanlin,"

地址:
泸州市江阳区茜草镇境内


电话:
0830-3322222,0830-3588356

",张坝桂圆林风景区位于四川泸州城区东郊茜草街道内，离市区7千米。占地1000余亩，绵延十余里，生长着15000多株百年以上老桂圆树。这些老桂圆树成林于19世纪末。桂圆林风景区有“三宝”：古树、长江奇石、桃花水母。张坝桂圆林史于清初“湖广填四川”时，由湖北张氏入川后栽培距今已有两三百年历史。是以龙眼为主的龙眼荔枝混交林带，旅游区现有百年以上桂圆树15000多株，荔枝2000多株，桢楠树1000多株。这片林带象天然的绿色长廊，吸引了众多海内外宾朋和国内外专家、学者、游人来此旅游、考察。上世纪九十年代初，张坝桂圆林带被四川省政府列为“永久性绿色保护区“。远望十里桂圆林长廊，为树葱笼，绿浪翻卷，滚滚长江奔流不息，气势磅礴，蔚为状观。张坝是一个天然的“植物园”，张坝桂圆作为中国内陆桂圆种质基因库，作为北回归线以上桂圆次适宜地带集中的具有上百年历史的桂圆树人工造林，其植物学价值一如动物学中的大熊猫，是生态环境旅游和观光农业理想的场所。已被省政府列为“永久性绿色保护区”、全省74个旅游区中的生态旅游和观光农业旅游区，是集生态、运动、养生、休闲于一体的综合性休闲度假区。旅游区自然风光旖旎，人文底蕴丰厚，现已形成桂水湖、龙吟溪、龙影长廊、树王台、张家大院等40多个景点，游客在此可漫步栈道之上，留恋龙吟溪边，与青山绿水为伍，观长江之雄伟壮观。,9:00-20:00,https://mp-commentcp.qunarzz.com/mp_comment_mp_comment/1553886041383100i12000000t2jvu63E3_D_640_10000.jpg_480x360x95_3a7d60d3.jpg,4.6,建议游览时间：1小时,,2元,,1
尧坝古镇Yaoba Ancient Town,http://travel.qunar.com/p-oi714397-yaobaguzhen,"

地址:
泸州市合江县尧坝镇兴尧路尧坝古镇


电话:
0830-5633001

",尧坝古镇位于川南黔北结合部，建于明朝初年。古镇不大，保存得较完好，而且没有什么商业气息，民风淳朴，环境宁静。尧坝古镇汇集了川、黔两省的浓厚历史文化和古风民俗，也是一个影视摄影基地。古镇的生活节奏很慢，有种宁静祥和的氛围，游客也不是很多，在古镇内走走逛逛是一个很好的方式。古镇的红汤羊肉是当地特色，不可错过，可以在古镇的街上挑一家品尝。古镇还有一个慈云寺，可以去那里烧香拜佛，为自己和家人祈福。,全年 全天开放,https://img1.qunarzz.com/travel/d6/1508/21/5299bbc9f0b047.jpg_480x360x95_e1729e4f.jpg,4.3,建议游览时间：2小时 - 3小时,,{'尧坝古镇手机导游(不含门票)手绘地图、语音讲解票大小同价\n\n': ['¥9起']},,1
方山Fang Mountain,http://travel.qunar.com/p-oi706587-fangshan,"

地址:
泸州市江阳区方山镇


电话:
0830-3710264

",方山风景区位于江阳区方山镇、况场镇、丹林乡交界处，以丘陵、圆形山丘为景区的主要特点。周末可以约上几个好友来这里爬山赏景、烧香拜佛，很是惬意。在方山景区游玩，可以选择步行爬山或是坐缆车上山，一路上林木葱郁，空气清新，景色较佳。在索道中段有寺庙可以烧香祈福，为自己和家人求一份平安。到达山顶后有饭店、茶馆和一些娱乐设施，爬累了可以在此休息放松。泸州方山是蜀中名山。汉朝时候，方山有汉皋（汉之水边高地）的殊荣；唐朝时候，方山又有了“小终南山”的别称；清朝时候，方山还多了“峨半堂”、“小峨眉”的美誉；更因其矗立长江之畔，终年云烟雨雾缭绕，于是在民间得了“云峰”之雅号；而今又有“江阳第一山”之美称。,全年 8:00-17:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/93f1e9a150e3b1afb7450e73a58555c1.jpg_480x360x95_f6743e4e.jpg,4.3,建议游览时间：3小时 - 4小时,,{'方山电子导览服务大小同价\n\n': ['¥6起']},,1
福宝古镇Fubao Ancient Town,http://travel.qunar.com/p-oi7639151-fubaoguzhen,"

地址:
泸州市合江县城东南42公里的大漕河畔


电话:
0830-5700234

",佛宝古镇位于川南边陲，大漕河畔。早在唐宋时期即为川盐入黔的盐道必经之地，元末明初形成商贸集镇，始称新场，清康熙时始称佛宝，是大漕河流域政治、经济、文化中心，兴镇至今已600多年历史。古镇依山而建，随水而走，三水相汇，五桥相通，高低起伏，曲折多姿，同山水结合，与自然统一，青石街道弯延逶迤，老房古阁栉比鳞次，更有青山环抱，绿荫掩映，专家称之为“山地建筑的精华”，“一首空间交响乐”。古镇因地处川南黔北接壤部位，处于夜郎文化与中原文化交汇之处，从而形成独特的历史文化。座座明清建筑、宫庙坛祠，处处吊脚木楼、雕刻绘画，以及幽婉的唢呐古乐、古朴的民俗演唱，无不凝聚着历史文化的灿烂光辉。佛宝古镇历史悠久、文化蕴涵深厚，是四川知名历史文化古镇，是四川十大古镇之一，也是川渝黔生态旅游“金三角”文化旅游精品景区。,全年 全天开放,https://img1.qunarzz.com/travel/d9/1508/b6/8c13a88950a309.jpg_480x360x95_68c98061.jpg,4.4,建议游览时间：3天,福宝古镇所在地四川东部冬暖、春早、夏热、秋雨、多云雾、少日照、生长季长，四季皆宜。,具体收费情况以现场公示为主,,1
天堂坝,http://travel.qunar.com/p-oi713912-tiantangba,,"天堂坝景区在大槽河源头，与贵州省习水县的银匠沟景区毗连。从合江县城坐车，经福宝镇，80公里就到天堂坝。天堂坝景区长约30公里峰回路转，老树枯藤。珍稀植物有： 桫椤、水杉、篦子三尖杉、鹅掌揪、红豆、银杏等；珍稀动物有：金钱豹、灰鹿、凤尾蝶、白鹇、红腹锦鸡等；景区内的丹霞地貌红色岩石和绿色林海相映成趣。或山峦起伏，或溪流纵横，或深山古木，或飞瀑流泉，景色各异，争相诱人。天堂坝景区有瀑布几十处,其中以大鹿洞瀑布、洞坪瀑布、天堂瀑布最为壮观,大小瀑布倾泻激荡，...天堂坝景区在大槽河源头，与贵州省习水县的银匠沟景区毗连。从合江县城坐车，经福宝镇，80公里就到天堂坝。天堂坝景区长约30公里峰回路转，老树枯藤。珍稀植物有： 桫椤、水杉、篦子三尖杉、鹅掌揪、红豆、银杏等；珍稀动物有：金钱豹、灰鹿、凤尾蝶、白鹇、红腹锦鸡等；景区内的丹霞地貌红色岩石和绿色林海相映成趣。或山峦起伏，或溪流纵横，或深山古木，或飞瀑流泉，景色各异，争相诱人。天堂坝景区有瀑布几十处,其中以大鹿洞瀑布、洞坪瀑布、天堂瀑布最为壮观,大小瀑布倾泻激荡，掀起满天烟雾，轰然鸣响，数里之外也能感受到其威势。平滩映月、镜泊通幽；石有莲花异石，石人镇关，狮子望莲台；沟有天竺沟、刀关沟、杜鹃沟、神农沟；古迹有三元寨、武定门、川主岩；野生花草以寒兰和杜鹃花著名；土产以蜂蜜和竹笋著名。气候凉爽，空气清新。溪流清浅，可以戏水；山径林荫，可以放歌； 蛙鼓杂沓，可以垂钓；悬岩突兀，可以怀古。晴登山，雨泛舟，霜晨鹿鸣，雪夜虎啸。早晨采一把带露的杜鹃花，中午捉一筐鲜活活的红螃蟹，晚上烧一堆雄旺旺的篝火，其乐也融融。",,,--,,,,,1
佛宝,http://travel.qunar.com/p-oi705986-fobao,"

地址:
泸州市合江县城东南42公里


电话:
0830-3104359

",合江佛宝景区为省级风景名胜区，位于泸州市东面合江县境内，面积380平方公里。佛宝峰峦起伏，是树种保存完整而丰富的常绿阔叶林带，是四川的生物资源基因库。景区内有碧波浩瀚的竹海，有溪洞纵横、飞瀑流泉的水景。丹霞地貌与绿色森林巧妙配合，形成了“红石绿树相映，风光独具一格”的景观效果。佛宝分为3个景区：烂田坝景区，距佛宝18公里，以竹海和林海景色为主，有“金竹岭”、“三重天门”、“双龙飞瀑”、“仙人踩桥”、“仙姑池”等18个景点，郁郁葱葱，环境幽雅。天堂坝景区...合江佛宝景区为省级风景名胜区，位于泸州市东面合江县境内，面积380平方公里。佛宝峰峦起伏，是树种保存完整而丰富的常绿阔叶林带，是四川的生物资源基因库。景区内有碧波浩瀚的竹海，有溪洞纵横、飞瀑流泉的水景。丹霞地貌与绿色森林巧妙配合，形成了“红石绿树相映，风光独具一格”的景观效果。佛宝分为3个景区：烂田坝景区，距佛宝18公里，以竹海和林海景色为主，有“金竹岭”、“三重天门”、“双龙飞瀑”、“仙人踩桥”、“仙姑池”等18个景点，郁郁葱葱，环境幽雅。天堂坝景区，位于佛宝景区中部，有“鹿鸣瀑布”、“天堂飞流”、“莲花异石”、“平滩映月”等24个景点。景观集中而多变。自怀景区，位于佛宝风景区东侧，以原始古朴的山林野趣取胜，有“虹桥清音”、“古堡余辉”、“剑门削壁”等12个景点。丰富多彩的岩石景观在雾露常伴的原始森林中若隐若现，显得神奇而富有诗意。自怀古镇民居建筑独具特色，别有风味。,全天,https://img1.qunarzz.com/travel/d9/1502/27/854a828e34b8e7.jpg_480x360x95_ad6c4068.jpg,3.0,,,免费,,1
自怀风景区,http://travel.qunar.com/p-oi713245-zihuaifengjingqu,,自怀风景区是世界同纬度上唯一的，保留完整的常绿阔叶林带，自怀景区在1989年被确定为省级风景名胜区。这里四季风光各异，盛夏，气温平均比山外低5森摄氏度以上，有天然大空调之说，山秀、水美、石奇、民风纯朴，是自怀风光所独有。这里的原始林，有植物千余种，有属国家保护的珍贵树木银杏、桫椤、银杉、水杉、红豆杉、掌秋等；有动物上百种，灵猫、云豹、华南虎、猴等常有出现，花鸟虫鱼不计其数，被专家们誉为动植物基因库。自怀景区景点众多，游乐项目丰富多彩，美不胜收的原始自...自怀风景区是世界同纬度上唯一的，保留完整的常绿阔叶林带，自怀景区在1989年被确定为省级风景名胜区。这里四季风光各异，盛夏，气温平均比山外低5森摄氏度以上，有天然大空调之说，山秀、水美、石奇、民风纯朴，是自怀风光所独有。这里的原始林，有植物千余种，有属国家保护的珍贵树木银杏、桫椤、银杉、水杉、红豆杉、掌秋等；有动物上百种，灵猫、云豹、华南虎、猴等常有出现，花鸟虫鱼不计其数，被专家们誉为动植物基因库。自怀景区景点众多，游乐项目丰富多彩，美不胜收的原始自然风光和独特的人文景观，令您一饱眼福。毫须洞、青杆峡、中华岗、杜鹃沟、野人谷等原始风光，会给您返朴归真的感受；三星潭、牛郎溪、狮子峰、八戒望月、唐僧石像、霸王渠等充满神话，惟妙惟肖，给人以无限的遐想。水上娱乐世界大滩人工湖，坝高33米，长110米，湖面长达7公里，是您荡舟度假休闲的好场所。血牵岩瀑布，高百余米，气势磅礴，似银河从天坠落；梯子岩、杉王岩、马尿岩、蜘蛛窝、仙女池等瀑布，终年飞水长流，美丽动人；黑岩寺古刹的石雕、木刻、壁画堪称三绝，寺内两根龙抱柱粗旷豪放，艺术精湛，蜀南独有，景区内接待条件优越，已建成集食、宿、娱、购为一体的乾坤山庄、兑震山庄、迎宾楼。野味餐、水豆花、香腊肉、梅子酒凌您垂涎欲滴、乐不思归。,,,3.5,,,,,1
黄荆原始森林Huangjing Prehistoric Forest,http://travel.qunar.com/p-oi714631-huangjingyuanshisenlin,"

地址:
古蔺县黄荆乡


电话:
0830-7060166


官网:
http://www.huangjinlaolin.com/

",黄荆自然生态旅游区位于四川省古蔺县西北面，距古蔺县城50公里，整个生态旅游区幅员面积433平方公里，森林覆盖率达94％。黄荆风景区负载于生态良好的丹霞地貌之上，森林覆盖率高，分别展现出不同的景观形态。黄荆自然生态旅游区，面积广阔，规模雄伟，森林原始程度高，处处蓊蓊郁郁，枝桠蔽天。丹霞地貌景观，水景资源丰富，地貌南高北低，落差大，沟睿纵横，资源结构合理，便于分区开发和整体开发，是罕见的常绿阔叶原始森林，犹如一个巨大的天然氧吧，调节着川、黔、渝交界地区的大气环境，其生态价值之高，不可估量。黄荆自然生态旅游区内分布着四峰、七岭、三十八溪和大小几十个瀑布，景观类型十分丰富，山水景观、生物景观、气象景观、人文景观俱全。瀑布、叠水、山溪、悬泉、高山湖泊、峡谷、丹霞、绝壁、怪石、奇峰、原始林、次生林、人工林等自然景观应有尽有。其主要可以分为瀑布群、林海、丹霞绝壁、湖泊、云海佛光、民族风情、红色文化等七大景观类型。,4月1日-10月31日7:00-18:00；11月1日-次年3月31日8:30-17:00。,https://img1.qunarzz.com/travel/poi/1408/26/6c7eee29ae0b2f2cffffffffc8d65eac.jpg_480x360x95_c3767bdb.jpg,4.4,建议游览时间：3小时,,旺季价格 58 元/人次;淡季免费,,1
龙透关Longtou Pass,http://travel.qunar.com/p-oi706822-longtouguan,,,,,,,,,,1
倒流河旅游区Daoliu River Tourist Area,http://travel.qunar.com/p-oi715055-daoliuhelu:youqu,"

地址:
四川省泸州市纳溪区棉花坡乡

",倒流河是当地的一个小型水库，也是纳溪区第三大河流。景区是以陶家大院、金凤山寺庙等景区组成。是亲近大自然的好去处。,8:00 - 18:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/61102f25d54407fc7c25584529f11a26.jpg_480x360x95_c427ca77.jpg,4.5,建议游览时间：3小时,,36元,,1
玉蟾山Mount Yuchan,http://travel.qunar.com/p-oi707121-yuchanshan,"

地址:
泸州市泸县建设街


电话:
0830-8191389,0830-8101318,0830-3193792

",玉蟾风景区位于泸县县城旁。海拔505米-548米，森林覆盖面积8000余亩，山下有九曲河、赖溪河和马溪河。主要景区有龙脑桥、古玉蟾关、《流民图》浮雕、弥陀寺、龙盘寺、白云寺、金宝山古墓群等，规划面积为52.8平方公里。玉蟾山山间怪石嶙峋，玉蟾山以千手观音为核心的摩崖造像群，是历代能工巧匠雕刻的精美佛教摩崖造像，现存四百余尊，多位明代的摩崖石刻，大者盈丈，下不满尺，线条流畅，神态逼真。其中“千手观音”、“九龙浴太子”、“悟道图”、“刘海戏蟾”等，雕工精细，技艺娴熟，形态自然，堪称艺术精品，游人无不为其精湛雕刻艺术赞不绝口。国画大师蒋兆和的代表作《流民图》浮雕，也激励着一代又一代瞻仰者油然而生奋发图强的爱国热情。山上松、杉等古树参天，茶、桐、桃、李、犁遍野，据不完全统计，玉蟾山境内有树木240余种，珍惜树种有银杏、桢楠、红豆、水杉、苍劲挺拔的美国湿地松、火炬松；叶似马褂白鹅掌揪等，而今的玉蟾山，纵横数十里，一片苍翠。山上林中鸟类，有布谷、画眉、乌鸦、斑鸠、白头翁等二十余种。,全年 8:00-18:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/3bb8fcd64fff699c471078b42e150eb1.jpg_480x360x95_14ba8a74.jpg,4.3,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,2
