名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
曲阜三孔Qufu’s Temple and Cemetery of Confucius and Kong Family Mansion,http://travel.qunar.com/p-oi711903-qufusankong,"

地址:
济宁市曲阜市鼓楼街18号


电话:
0537-4712269


官网:
http://www.uqufu.com

",曲阜是孔子的故乡，曲阜的孔庙、孔府、孔林是我国历代纪念孔子的圣地，统称“三孔”。孔夫子生前在此开坛授学，首创儒家文化，而其子孙后代也在此生活繁衍，传承着孔子的文化思想。1994年，“三孔”被联合国列入《世界遗产名录》。曲阜“三孔”中的孔庙、孔府都坐落在市中心，孔林则位于城北。孔庙是国内较大的祭祀孔子的庙宇，它是在孔子的故居上改建而成的，可谓全世界孔庙的始祖；孔府曾是数百年来孔子嫡系长期居住的地方，它的规模在国内仅次于故宫；孔林则是孔子及其家族后裔的墓地。,全年 08:30-16:30;9/28-9/28 12:00-16:30,https://img1.qunarzz.com/travel/d8/1601/e0/fba194acc162bff7.jpg_480x360x95_4a8f095a.jpg,4.5,建议游览时间：3天,游曲阜三孔，四季皆宜，但习惯上人们偏好3－11月游曲阜，每年此刻，为曲阜旅游旺季。,"{'曲阜三孔门票+孔府孔庙孔家后人3小时讲解服务成人票\n\n': ['¥69起'], '曲阜三孔门票+孔府孔庙孔家后人3小时讲解服务优待票\n\n': ['¥119起'], '曲阜三孔礼拜先师票青年票\n\n': ['¥100起']}","背诵《论语》可免费游三孔活动须知时间：4月1日至10月31日，每天8:30—16:30；11月1日至次年3月31日，每天8:30—16:00。地点：曲阜“论语背诵厅”（孔庙神道路东，三孔售票大厅南邻）。报名须知：参加“背《论语》免费游三孔”活动的游客, 不限年龄、性别、身份、国籍，采取现场报名和网上、电话预约3种报名方式，不接受集体报名和背诵。为保证交流互动效果，活动每日限额150名，其中预约报名限额50名。参加者须出示本人身份证或户口本、学生证、护照等有效证件原件，填写《曲阜背<论语>免费游三孔活动报名表》。凡背诵通过者不得重复参加。活动规则：1、国内游客在10分钟内背诵出《论语》30条（章、则），并由评委随意抽取其中5条能够正确释义者（12岁以下儿童免释义），颁发《荣誉证书》，持证书可在一年内免费参观孔庙、孔府、孔林景区一次。2、由评委现场随机抽取《论语》任意一篇，游客在10分钟内能够完整背诵者，颁发《荣誉证书》，持证书可在一年内免费参观孔庙、孔府、孔林、尼山孔庙及书院、颜庙、周公庙、寿丘少昊陵等文物景区一次。3、外国游客在10分钟内以汉语、英语或本国语言背诵出《论语》其中5条（章、则），经评委认定背诵正确者，颁发《荣誉证书》，持证书可在一年内免费参观孔庙、孔府、孔林景区一次。4、国内游客背诵须使用普通话，语言清晰、内容准确。背诵内容、释义和篇目划分原则上以中华书局出版的杨伯峻译注的《论语译注》为依据。不限篇章，所背内容须句子完整、准确。如“子曰：‘学而时习之，不亦说乎？有朋自远方来，不亦乐乎？人不知，而不愠，不亦君子乎？’”或：“子曰：‘君子不器。’”为完整一条。5、评委根据游客背诵和释义情况，确定是否通过。6、游客每天限报名一次，背诵未通过者可择日再参加活动。活动流程：出示证件→填写《报名表》→采集信息→等候叫号→入内背诵→通过者持评委签字确认的《报名表》现场领取《荣誉证书》→持《荣誉证书》年内一次免费参观三孔等文物景区。背诵未通过者直接退场。活动中叫号3次无人应答或因本人原因错过背诵时间者，视为自愿放弃，预约号自行失效。6岁以下儿童、70岁以上老人、残疾人和网上、电话预约者，可优先参加活动。",1
尼山圣境景区Nishan Sacredland,http://travel.qunar.com/p-oi20009228-nishanshengjingjingqu,"

地址:
曲阜市尼山镇圣像路9号


电话:
400-688-2323

",尼山圣境：位于孔子诞生地曲阜尼山，毗邻尼山孔庙，总规划占地44.78平方公里，以“孔子的世界，世界的孔子”为总体创意，以“文化修贤度假胜地”和“世界级人文旅游目的地”为总体定位，集文化交流、文化体验、修学启智、生态旅游、休闲度假、教育培训于一体，被誉为“让世界认识山东、了解中国的又一前沿窗口”。2021年11月，尼山圣境被国家文旅部评为第一批国家级文化和旅游夜间经济消费集聚区。孔子像：像高72米，是由我国著名雕塑家吴显林先生主持设计，以唐代画圣吴道子的《先师孔子行教像》为参考。在2018年央视华人春晚上，孔子像与长江、黄河、长城一起作为中华民族共有的精神符号一同出镜，亮相世界。大学堂：依山而建，整体呈退台式建筑的形制，是集博物、典礼、讲堂、会议、演艺以及其他配套功能于一体的综合性文化旅游建筑。大学堂总高65米，共9层，总建筑面积约7万平方米，主要包含集贤厅、大学之道、七十二贤廊、仁厅、义厅、礼厅、智厅、信厅、礼乐堂等有序的、仪式化的文化空间。大学堂汇集了书法、彩绘、金银错、瓷版画、漆画以及铸造、木雕、生漆脱胎、泥塑等中国古代经典的艺术形式，用建筑的和艺术的语言讲述着中国人的审美选择与精神追求。七十二贤廊：空间东西长105米，南北宽17.5米，高16米，是大学堂最重要的文化空间之一。孔子《杏坛讲学》的油画，油画题材选自孔子杏坛讲学的典故。左右两侧，陈列30组泥塑群雕，主要从《论语》、《史记》《左传》等古典典籍中，选取孔子及其弟子的典型故事。仁义礼智信五厅：仁厅是五厅当中最大的厅，可同时容纳约1500人进行学习、庆典和会议活动，所以仁厅也被称为课堂、礼堂、殿堂。信厅主墙面漆画以印章为构图进行设计；智厅以黑色为主色调，铜雕主题为孔子问礼于老子礼；义厅主调为白色，采用江西景德镇瓷板画艺术形式，将赵氏孤儿、将相和、桃园结义的故事呈现出来；礼厅大红为主色调，文化为题为尼山礼乐图，即启蒙礼、拜师礼、冠礼、婚礼、乡饮酒礼。《金声玉振》演出：是一台以中国礼乐文化为主题的大型艺术剧目，以“世界的孔子”和“孔子的世界”作为立意方向，将诗、乐、舞等中国古典艺术形式与当代科技艺术手段相结合。全场演出参考孔子自述的人生历程，以四季更迭、人生九大阶段所涉及的重要仪式为主轴线，展现一个普通人在圣贤的影响下，不断成长的过程，深度感受明礼的生活方式。尼山孔庙位于曲阜市东南约28公里处的尼山东麓。尼山原名尼丘山，因孔子名丘，为避圣讳，故名尼山。其山并不高大，海拔约340米，风景秀丽。“山不在高，有仙则名。水不在深，有龙则灵”。因中国伟大的思想家、政治家、教育家孔子出生于此，所以尼山名扬海内外。尼山圣境景区体验活动介绍：尼山圣境景区游览分为夜场游览和日场游览，室外活动主要有：尼山圣秀+无人机表演（夜场活动）--光、影、水幕、喷泉、焰火、无人机共同组成的震撼光影水秀演出，仁山智水间体悟圣境山水之乐。礼敬先师活动（日场）--礼敬先师孔子，登阶祈福，感悟圣人智慧。室内活动主要有：大学之道、手读论语、鼓瑟吹笙、明礼小剧场、天下归仁灯光秀、七盘舞、轻歌曼舞、纸扇迎宾舞等活动。温馨提示：活动具体场次时间以景区当日执行为准。室外活动受天气影响，可能会取消，实际演出时间、效果以现场通告为准。咨询热线：400-688-2323。,全年 09:30-17:00;国庆节 09:00-21:00,https://flight-feed.qunarzz.com/as3/180/image/poi_vishnu/39190bc5-b71f-4393-9310-8ca397e5d201.jpg,4.5,建议游览时间：12小时 - 3天,,"{'曲阜尼山圣境景区门票成人票\n\n': ['¥79.9起'], '曲阜尼山圣境景区门票学生票\n\n': ['¥80起'], '曲阜尼山圣境景区门票老人票\n\n': ['¥80起']}",,1
孔府Kong Family Mansion,http://travel.qunar.com/p-oi710091-kongfu,,,,,,,,,,1
颜庙Temple of Yan Hui,http://travel.qunar.com/p-oi701772-yanmiao,"

地址:
济宁市曲阜市陋巷街北首


电话:
0537-4712069,0537-4712261

",在《论语》中，到处可见孔子对颜回的称赞，颜回亦以德行而著称。因此，后世在尊祀孔子时，也不断抬高对颜回的尊称。元代时加封颜回为“复圣公”，尊称为“复圣”，颜庙亦被称为“复圣庙”。颜庙分五进院落，殿、堂、亭、库、门坊等有159间。庙内主要有复圣门、归仁门、仰圣门、陋巷井、乐亭、复圣殿以及碑亭等，是组罕见的庞大古建筑群。复圣门里有陋巷井，外有八角露天方亭。井北有明代树立的“陋巷井”石碑，是为纪念颜回“一箪食，一瓢饮，居陋巷”的俭朴品德而立。复圣殿是正殿。东西两庑院还有颜氏名人颜之推、颜师古、颜真卿、颜杲卿等的祀位。,全年 8:00-17:00,https://img1.qunarzz.com/travel/poi/1408/20/b2ab023110cdaef7ffffffffc8d65eac.jpg_480x360x95_17583f16.jpg,4.5,建议游览时间：1小时,3月至11月最佳，人们多在3~11月前来游玩，气温舒适，此时也是旅游旺季。,全票50元/人，具体票价信息见景区公示。,1、保留好联票，可持联票免费参观颜庙。2、建议游客一定要准备好遮阳伞、防晒霜，穿运动鞋。,1
孔子故居,http://travel.qunar.com/p-oi702823-kongziguju,"

地址:
山东-济宁孔庙东路承圣门内


电话:
0537-7311108


官网:
http://www.uqufu.com/

",孔庙占地约200亩，南北长达1千米多，是祭祀孔子的庙宇，其大成殿与北京故宫太和殿、泰山岱庙天贶殿并称东方三大宝殿；孔府占地约180亩，是孔子嫡长孙居住的府第，内存中国延时最久、保存最完整的私家文书档案近30万件。1994年孔庙、孔府、孔林被联合国列为世界文化遗产。孔子故里现有文物景点103处。,"一、孔庙景区开放时间8:00—17:30，售票时间8:10—17:00，检票时间8:10—17:10。 
 二、孔府景区开放时间8:00—17:30，售票时间8:10—17:00，检票时间8:10—17:15。 
 三、孔林景区开放时间8:00—18:00，售票时间8:10—17:20，检票时间8:10—17:30。",https://img1.qunarzz.com/travel/poi/1408/30/3a28ccea47ea4800ffffffffc8d65eac.jpg_480x360x95_7a28a88a.jpg,4.5,,游曲阜三孔，四季皆宜，但习惯上人们偏好3－11月游曲阜，每年此刻，为曲阜旅游旺季。每年9月下旬至10月上旬曲阜举办孔子文化节。节日在孔庙大成殿前举行，期间有祭孔乐舞表演，以及与孔子倡导的礼、乐、射、御、书、数各种别具特色的旅游活动，比较有意思。每年的6至9月，微山湖的十万亩荷花争向开放，泗水县的桃花也争齐斗艳，在这个期间来游曲阜，既可游览孔府、孔庙、孔林等多处文化古迹，又可欣赏荷花、桃花的美艳多姿。寒冷冬季，伴随春节黄金周来到孔府过年的游客也络绎不绝。敲暮鼓晨钟、赏乐舞表演、品民俗大餐，是冬季里游览曲阜不错的选择。,"票价：
 “三孔”联票：票价：150元/张    

优惠政策：
 1、老年人：70周岁（含70周岁）以上的老年人、持《干部离休证》的离休干部，凭本人有效证件免票入园参观。60周岁至69周岁的老年人，凭本人有效身份证购半价票。
 2、青少年：6周岁（含6周岁）以下或身高1.4米以下的儿童免票入园参观，6周岁至18周岁（含18周岁）未成年人、全日制大学本科及以下学历的学生，凭本人有效身份证或学生证购半价票（不包括夜大、电大、成人教育、继续教育、远程教育、短期培训、留学生等）。
   香港、澳门、台湾等入境青少年凭有效《港澳居民往来内地通行证》、《台湾居民往来大陆通行证》或学生证购半价票。 
 3、现役军人、伤残人士：现役军人凭本人有效士兵证、士官证、军官证或军人退休证免票入园参观；伤残人士持本人有效伤残证免票入园参观。

Tips：
 孔庙、孔府、孔林三景区联票上午售出的当日有效，下午售出的次日有效。孔庙、孔府、孔林单票售出当日有效。",1、如无导游带领，游前可先查阅景点相关知识，才能更好的理解景点内涵。2、曲阜本地风俗很多，近年来流行先拜孔（孔林）后再游览其他。拜完可以坐电瓶车周游一下孔林，拜一下其他文人墨客、历代衍圣公的墓。3、曲阜的主要景点多数都集中在曲阜市内，尤其孔府、孔庙、孔林这三个著名的景点之间的距离都不是很远，可以步行游览。但6－9月的曲阜是比较热的，景点间的距离加上游览中的行程，走起来也会很辛苦，建议游客一定要准备好遮阳伞、防晒霜，穿运动鞋。4、孔林中有一种当地特产的白蝴蝶，很喜欢颜色鲜艳的衣服，看到有穿颜色鲜艳的人就会围着你打转，游客如果不喜欢，可以适当注意一下自己衣服的颜色。5、自驾出游的游客在曲阜看到牌子为‘孔府’‘孔庙’‘孔林’‘三孔’的停车场，不要以为到目的地了就往里面停，因为曲阜的停车场一般都是这几个名字的，名字虽然是这样叫，可不一定孔府、孔庙、孔林距离停车场就很近了，有可能还一大段路。还有，要仔细分清楚交警的指示牌，因为有的停车场做的广告牌子和交警的放的很近或者很相似，都能误导你。,1
孔庙Temple of Confucius,http://travel.qunar.com/p-oi713243-kongmiao,"

地址:
济宁市曲阜市半壁街（近神道路）


电话:
0537-4712172

",孔庙位于曲阜市内，是一座规模庞大的祭祀孔子的庙宇，它是在孔子的故居上改建而成的。曲阜的孔庙是世界文化遗产，与北京故宫、承德避暑山庄、泰安岱庙齐名的中国四大古建筑群之一，这里的建筑群宏伟庞大，留有许多古迹与历史故事。出行提示在游客服务大厅及孔庙广场有讲解员，建议请一位导游讲解，可以比较清楚地了解这里古迹的典故。如果是早上来，可以欣赏到八点在孔庙南门外的开城仪式，会有身着古装的演员进行表演，而下午五点（旺季时为五点半）时会有闭城门仪式，不过春节期间表演一般都会停演（具体以景区官网公告为准）。另外需要注意的是，当地的宰客现场很常见，有不少游客遇到过被出租车司机、三轮车师傅、或者导游连蒙带骗地带去那些收费高而且冷门的人造景点或饭店，若遇到他们的推销不要轻信。同时也尽量不要在景区周边吃饭，孔庙附近有不少饭店宰客很厉害。游览指南孔庙共有九进院落，百余座建筑在中轴道路左右两边对称排列，进入第一道牌门“棂星门”后向里望去，只见门洞层层深不见底。接着会依次穿过圣时门、弘道门、大中门、同文门，各道门之间都是草木葱郁的院落。其中，大中门左右两边靠墙角处各有一座角楼，而同文门左右两侧各有两座大石碑，这是有名的四大明代御碑。同文门之后的高大建筑是始建于宋代的藏书楼“奎文阁”，过了奎文阁可看到十三座碑亭，存有历代碑刻五十余块，内容多为历代帝王修庙祭庙的记录。再往前走是大成门，“大成门”三字是清代雍正皇帝的御笔，这里的看点是大成门与邻近碑亭之间飞檐交错的建筑设计。过了大成门有一座亭台名为“杏坛”，是孔子后代为纪念孔子讲学所建。继而来到巍峨宏伟的大成殿，大成殿的二十八根擎檐石柱上有云龙纹浮雕。殿内高悬康熙帝手书“万世师表”、光绪帝手书“斯文在兹”等匾额。大成殿是孔庙的主殿及标志性建筑，它和北京故宫的太和殿、泰安岱庙的天贶殿并称“东方三大殿”。殿正中供奉着孔子的塑像，七十二弟子及儒家的历代先贤塑像分侍左右，历代皇帝的重大祭孔活动就在大殿里举行。如今每天都有很多游客来孔庙烧香祈福，其中以大成殿前香火颇旺。大成殿后院的寝殿供奉着孔子夫人亓官氏，圣迹殿内则有记载着孔子事迹的石刻连环画。此外，大成殿的西路是祭礼孔子父母的建筑，东路是孔子故宅、鲁壁等。其中“鲁壁”是一小段矮墙，据说秦始皇“焚书坑儒”时期，孔子后人将孔子书简藏于壁内，汉武帝时期在此发现了《论语》、《孝经》等竹简。景区活动历朝历代，孔庙都是祭祀孔子的地方，如今祭孔活动依然不断。近几年来，通常每年的9月26日至10月10日间，曲阜孔庙都会举行祭孔大典，届时会有大型的庙堂乐舞活动，可看到许多身着汉服、头戴峨冠的民众参与大典，还会有社会各界人士前来祭拜孔圣。,"孔庙售票时间：7:40-17:00,检票时间7:40-17:20",https://img1.qunarzz.com/travel/d6/1601/bc/16617dffb6452df7.jpg_480x360x95_81285626.jpg,4.6,建议游览时间：2小时 - 3小时,游曲阜三孔，四季皆宜，但习惯上人们偏好3－11月游曲阜，每年此刻，为曲阜旅游旺季。每年9月下旬至10月上旬曲阜举办孔子文化节。节日在孔庙大成殿前举行，期间有祭孔乐舞表演，以及与孔子倡导的礼、乐、射、御、书、数各种别具特色的旅游活动，比较有意思。,"{'孔庙门票+1.5h孔家后人趣味讲解服务成人票\n\n': ['¥129起'], '曲阜三孔门票+孔府孔庙孔家后人3小时讲解服务成人票\n\n': ['¥69起'], '曲阜三孔门票+孔府孔庙孔家后人3小时讲解服务优待票\n\n': ['¥119起']}",1、如无导游带领，游前可先查阅景点相关知识，才能更好的理解景点内涵。2、曲阜本地风俗很多，近年来流行先拜孔（孔林）后再游览其他。拜完可以坐电瓶车周游一下孔林，拜一下其他文人墨客、历代衍圣公的墓。3、曲阜的主要景点多数都集中在曲阜市内，尤其孔府、孔庙、孔林这三个著名的景点之间的距离都不是很远，可以步行游览。但6－9月的曲阜是比较热的，景点间的距离加上游览中的行程，走起来也会很辛苦，建议游客一定要准备好遮阳伞、防晒霜，穿运动鞋。,1
微山湖旅游区Weishan Lake,http://travel.qunar.com/p-oi715017-weishanhulu:youqu,"

地址:
济宁市微山县微山湖旅游区


电话:
0537-8550005


官网:
http://www.wsh.com.cn/

",微山湖旅游区位于山东省济宁市微山县境内，京杭大运河纵贯南北。依托北方最 大的淡水湖微山湖，以优美的生态环境、丰富的人文资源蜚声海内外，先后荣获国家AAAAA级旅游景区、水利风景区、生态旅游示范区等荣誉称号。旅游区主要包括红色渔乡微山岛、京杭大运河风情体验带以及列入“中国十大魅力湿地”的微山湖国家湿地公园，被誉为“中国荷都、北方水乡、铁道游击队故乡”。微山湖旅游区生态资源丰富，四季风景如画。初春，湖水澄碧，鸟飞鱼跃;盛夏，一碧万顷，红荷映日;秋时，芦苇济济，水天苍苍;冬日，芦花飞雪，素裹银装。特别是盛夏时节，广袤湖面上万亩荷花，接天莲叶，蔚为壮观。微山湖旅游区历史悠久，底蕴深厚。宋国始祖微子汉代名柏张官长眠于此。近年来，微山湖旅游区强化硬件建设、完善服务功能，提升服务质量，规范良好秩序，知名度、美誉度和影响力不断增强，旅游区正以崭新的姿态诚挚欢迎八方宾朋前来观光、休闲、度假。,全年 09:00-17:00,https://img1.qunarzz.com/travel/d5/1508/98/91ce700ba39416.jpg_480x360x95_863b2f63.jpg,3.9,建议游览时间：3天 - 6天,每年7-8月最佳。7-8月十万亩荷花开遍湖中，蔚为壮观。7-8月份还是捕鱼季节，此时来微山湖既可欣赏荷花、还能品尝时鲜。一年一度的荷花会每年8月在荷花景观最集中的小微山湖举行。,"{'微山湖旅游区电子导览服务大小同价\n\n': ['¥6起'], '【台儿庄古城2日跟团游·住古城内】微山湖/尼山圣境·双线可选\n\n': ['¥448起'], '济宁微山湖3000米跳伞/基地直连/专业教练\n\n': ['¥99起']}",建议到正规轮渡买票，防止上当受骗。,1
孔子文化园Confucius Cultural Park,http://travel.qunar.com/p-oi7336088-kongziwenhuayuan,"

地址:
山东曲阜市大同路45号

",孔子文化园是集生态园林、山水景观、休闲旅游、餐饮购物、文艺演出和国学讲堂为一体的开放式儒家文化主题公园。在曲阜孔庙正南300米处。于2016年12月5日，国家旅游局通报，孔子文化园4A级景区被通报批评。,全年 全天开放,https://img1.qunarzz.com/p/tts0/1807/cf/96ec3c66721c5602.jpg_480x360x95_5471d057.jpg,4.5,建议游览时间：1小时 - 2小时,,{'孔子文化园电子导览服务大小同价\n\n': ['¥0.5起']},,1
石门山国家森林公园Shimen Mountain,http://travel.qunar.com/p-oi705483-shimenshanguojiasenlin,"

地址:
济宁市曲阜市石门山镇


电话:
0537-4507368,0537-4507205

",石门山因两山对峙如石门得名，这里山峰峻秀，林木葱茏，风光秀丽。山上名胜古迹众多，传说孔子曾在此撰写《易经·系辞》，李白、杜甫结伴游齐鲁时于此宴别，孔尚任出仕前后两次隐居，现有孔子系易处、李杜宴别处、秋水亭、孔尚任隐居处等遗迹。山上有石门寺，是曲阜唯一的一座寺院。现有千佛殿、藏经阁等建筑，塑有三世佛、十八罗汉等神像。石门山，有冰雪涧、藤花幄等二十四景，尤以“石门月霁”著称。石门山附近，距市区15公里处有石门书院，为曲阜旧时四大书院之一。,8:00-19:00,https://img1.qunarzz.com/travel/d3/1506/2e/c0a5318683b7e6.jpg_480x360x95_ae29375c.jpg,4.5,建议游览时间：12小时 - 3天,,{'曲阜石门山电子导览服务大小同价\n\n': ['¥8起']},,1
九顶山Jiuding Mountain,http://travel.qunar.com/p-oi35913997-jiudingshan,"

地址:
山东省济宁市嘉祥县九顶山风景区(九顶山一路南)

",九顶山将草地、花海、云海、原始森林、高原湖泊等自然景观融合在一起，是户外登山爱好者的好去处，也是摄影爱好者的理想地。人们还可以在这里露营，野餐，非常舒爽惬意。,全年 2:00-23:59,,0.0,建议游览时间：2小时,,,,1
