名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
济源黄河小浪底风景区Yellow River Xiaolangdi Scenic Area in Jiyuan,http://travel.qunar.com/p-oi703787-jiyuanhuanghexiaolang,"

地址:
济源市大峪镇蓼坞村


电话:
0391-6036000,0379-63898018

",黄河小浪底风景名胜区西起黄河八里胡同，东至坡头西滩，分为西滩、张岭半岛、黄河三峡等景区。举世瞩目的黄河小浪底水利枢纽工程正是在此兴建，这也是风景名胜区较为核心、游客较多的景区（其余景区有些是私人开发的，需要另外收费）。它不仅是中国治黄史上的丰碑，也是世界水利工程史上具有挑战性的杰作。西滩是黄河仅有的有人居住的河心绿洲。由于河水阻隔，这里空气清新，犹如世外桃源。张岭半岛四周碧波荡漾，不是江南，胜似江南。黄河三峡的景色可与长江三峡相媲美，大峪峡、孤山峡、龙凤峡优美的自然风光与民间传说故事交相辉映，令人流连忘返。大坝附近的湿地公园，也成为了中原地区有名的婚纱摄影基地之一。景区中比较好的拍照和观景点在黄鹿山上。大坝底端的发电厂出于安全考虑，是不外普通游客开放的，大坝的顶端（大坝公路）也不对普通游客开放。在每年的夏季汛期，是小浪底调水调沙的高峰期，不过具体日期不会提前通告，所以壮观的调水调沙的场景，也是可遇而不可求的。,全年 8:00-18:30,https://img1.qunarzz.com/travel/d8/1705/2e/2b6daef45c6784b5.jpg_480x360x95_1ccb5e68.jpg,4.4,建议游览时间：3小时 - 4小时,夏季,60元,,1
孟良寨,http://travel.qunar.com/p-oi719793-mengliangzhai,,回耧活地－－孟良寨孟良寨巍峨险峻、高耸挺拔，自古只有一条道。上有古寨遗址、射箭窝、青铜箭头等。相传大宋名将孟良未归顺朝廷之前，曾在此占山为王，抢劫商船，打富济贫。有一年，杨六郎路过此地，决心以守为攻、征服孟良，可官兵围攻数日不得破寨，原来山顶有块宝地，曰“回耧地”，即前种后熟，取用不竭。于是，杨六郎不得不拔营收兵。后经杨与孟斗智斗勇，孟终归朝廷。,,,--,,,,,1
玄天洞,http://travel.qunar.com/p-oi717499-xuantiandong,,玄天洞玄天洞，又名南王母洞，与“天下第一洞天”王屋山之王母洞遥相呼应。玄天洞洞口较小，洞体宽大深邃，分支众多，又互为连通，犹如迷宫一般，洞内钟乳石原始完整、密密麻麻，供有石刻龙、蟾等。据乡民讲，此洞与10公里外的下冶寺相通，洞内还有开阔地、天窗、小溪等，但无人能探其底。,,,--,,,,,1
黄河三峡Three Gorges of the Yellow River,http://travel.qunar.com/p-oi714787-huanghesanxia,,,,,,,,,,1
九里沟风景区Wangwushan Jiuligou Scenic Area,http://travel.qunar.com/p-oi716186-jiuligoufengjingqu,"

地址:
济源市思礼镇郑坪村


电话:
0391-6763396

",九里沟景区是王屋山国家风景名胜区的重要组成部分，东连五龙口游览区，西和王屋山景区接壤，北同山西蟒河游览区毗临。景区内悬泉飞瀑、奇峰绝壁、植被葱茏、鹿猴争鸣，选一个有雾的日子去，这里独有的宁静和清幽让人更觉超然舒适。九里沟以典型奇异的山水风光为主体，并点缀古老的道教文化。这里气候宜人、凉爽清新，分东西两线旅游，可领略不同风采。东线从通幽亭沿步行道可达九里飞瀑、逸仙洞、猕猴驯化场、禅堂古寺、金炉顶、原大寨、东王母洞、望郎岭、侍郎寨、桃花崖等景点。西线可乘车直达“世外桃园”水洪池，主要景点有仙人桥、天仙洞、凤凰洞、黄龙洞、天然大溶洞、仙人洞、圪栏桥、虎观岭、冰瀑奇观等。欣赏别具一格的风土民情，在高山水晶宫中漫游，在“青山居”休憩。,景区暂时停业，详情请以景区公示为准；原开放时间夏令8:00-18:00，冬令8:00-17:00。,https://img1.qunarzz.com/piao/fusion/1807/df/66e8a82a348a2802.jpg_480x360x95_53b3a7ca.jpg,4.2,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
王屋山Wangwu Mountain,http://travel.qunar.com/p-oi712038-wangwushan,,,,,,,,,,1
五龙口风景区Wulongkou Scenic Area,http://travel.qunar.com/p-oi703609-wulongkoufengjingqu,"

地址:
济源市五龙口镇山口村


电话:
0391-6751588

",五龙口风景区，位于济源市五龙口镇境内，秦朝时就在沁河出山处开凿秦渠，引水灌田。景区分温泉、盘古、沁河、愁儿沟、白涧沟五大景区。五龙口也是猕猴自然保护区，景区内还有丰富的温泉资源，是一个以猕猴、温泉为特色的山岳风景区，特别适合休闲度假。五龙口风景区由西到东分别为盘谷景区、泌河景区、温泉景区、愁儿沟景区、白涧阳落山景区。风景区内有山清水秀，自然风光优美，此外还有秦代水利工程遗址、古朴清幽的盘谷寺、延绵十几公里的曹魏古栈道、司马的懿藏兵洞、风韵犹存的沁水公主园、香岩寺、袁公祠等等人文景点供游客游览。游客进入风景区后，可以做电瓶车来到猴山脚下，从山脚上步行登山约1个多小时，游客也可以做景区中直达电梯到达山顶，然后在坐滑道下山，滑道非常刺激，一共有三段，需要购买首套和护垫。电梯和滑道的费用不包含在景区大门票内。在景区内的猕猴园，已经景区内其他地方，会看到很多猴子，这些猴子很萌，也很凶猛，游客要看到自己随身携带的包，食物不要轻易拿出来，以免猴子过来抢夺食物。风景区旁的五龙口镇正在依托温泉资源，建设温泉度假村以及相关休闲度假设施。,全年 08:00-18:00,https://mp-commentcp.qunarzz.com/mp_comment_mp_comment/1562181431767100l16000000ytlzd0893_D_640_10000.jpg_480x360x95_fa101951.jpg,4.2,建议游览时间：4小时 - 5小时,,"{'五龙口风景区门票成人票\n\n': ['¥35起'], '五龙口风景区门票学生票\n\n': ['¥20起'], '五龙口电子导览服务大小同价\n\n': ['¥9起']}",,1
犀牛望月,http://travel.qunar.com/p-oi719688-xiniuwangyue,,犀牛望月孤山脚下石牛湾有一小石山，状如犀牛，牛头朝东向北孤山脚下一月牙地回望，人称此景为“犀牛望月”。孤山峡山水排列三折三进，似三重青天如皇家宫院，前有石狮守门，后有逢石湖，恰似天然后花园，石牛正处于孤山峡的核心。石牛周围还有风水宝地象征的旗杆山、双轿峰、玉玺石等。相传宋太祖赵匡胤就是得此“犀牛望月”风水宝地方登上大宝成为一代天骄的。,,,--,,,,,1
小浪底黄河三峡,http://travel.qunar.com/p-oi3864255-xiaolangdihuanghesanxia,"

地址:
河南省济源市西环路中段28号


电话:
0391-6678888

",,7:00-18:00,,3.6,,,40元,,1
天坛山,http://travel.qunar.com/p-oi715028-tiantanshan,"

地址:
河南济源市

",天坛山，又名阳洛山，位于市城区西北约31公里处，海拔1711米，为王屋山主峰。绝顶有坛。传为轩辕帝祈天之所，故名天坛；又因与东岳泰山鼎峙，谓之西顶，俗称老爷顶。天坛山高耸入云，独柱凌空。人们登上山顶，翘首太空，云霞眩目；远望黄河，细流如练；俯视群山，宛如阜丘。在早晨和傍晚，有时可看到五色彩云出现，起伏非常，变化多端；在黎明时分，有时可看到天坛全景出现在东方的奇观，人称“天坛倒影”，为济源九景之一。凌晨站立山顶，可最先观赏到东方日出的绚丽景色。山顶旧有...天坛山，又名阳洛山，位于市城区西北约31公里处，海拔1711米，为王屋山主峰。绝顶有坛。传为轩辕帝祈天之所，故名天坛；又因与东岳泰山鼎峙，谓之西顶，俗称老爷顶。天坛山高耸入云，独柱凌空。人们登上山顶，翘首太空，云霞眩目；远望黄河，细流如练；俯视群山，宛如阜丘。在早晨和傍晚，有时可看到五色彩云出现，起伏非常，变化多端；在黎明时分，有时可看到天坛全景出现在东方的奇观，人称“天坛倒影”，为济源九景之一。凌晨站立山顶，可最先观赏到东方日出的绚丽景色。山顶旧有玉皇殿、虚皇观、轩辕庙、真君祠等建筑，殿堂辉煌，香烟缭绕。刘禹锡诗云“阳洛天坛上，依稀似玉京。夜分先见日，月静远闻笙”，形象地表述了山顶奇特的自然景观和建筑规模。现仅存明万历年间所建的南天门和明、清碑碣十数通。南天门紧挨南崖，系九脊顶式牌坊，下有三孔拱券门洞。南额正中横书“无极玄穹门”，数十里远望南北通明。,7:30-18:00,,0.0,,,,,1
