名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
骑楼老街Qilou Old Street,http://travel.qunar.com/p-oi5740424-qiloulaojie,"

地址:
海口市龙华区骑楼老街


电话:
0898-66200273


官网:
http://www.qiloulaojie.com/

",骑楼老街是海口市一处极具特色的街道景观，主要分布在得胜沙路、新华南路、中山路、博爱路及解放路一带。骑楼是从南洋回来的华侨借鉴当地的建筑风格所建，现在这些南洋建筑经营着各种店铺。老街外表乍看斑驳古拙，仔细欣赏时发现那些建筑上大多布满优雅细致的雕塑和洋派的装饰，很有些巴洛克的味道。蜿蜒的街道，来往的人群，逛起来还挺有感觉的，需要注意的是，这里买东西需要讲价，并且一定要狠！得胜沙路是海南较大的服装批发市场。新华南路有着传统的裁缝店、各类平民服装鞋店、茶楼、小食店。中山路是曾经是五金灯饰一条街，如今这里分布着众多的咖啡馆、画廊、工艺品店等，散发着浓浓小资与文艺气息。博爱路的街边小店销售家电、小商品、服装、鲜花、礼品等，生活气息浓郁。贯穿博爱路的是东、西门市场。东门为海鲜干货市场，西门则是古玩一条街，大大小小古玩摊档沿街而摆。较为有名的骑楼小吃街并不在骑楼老街，是在大同街道。从骑楼老街坐车过去2站路，也可以步行，步行过去大约1.1公里，逛完街可以去那里吃小吃，抱罗粉、清补凉、反沙芋头、榴莲酥、椰子饭、木瓜雪蛤……让吃货们欲罢不能。,全年 全天开放,https://img1.qunarzz.com/travel/d9/1711/26/083ff3213d109bb5.jpg_480x360x95_6b8d7ac0.jpg,4.5,建议游览时间：2小时,四季皆宜。,"{'海口骑楼老街电子导览票大小同价\n\n': ['¥5起'], '【无购物无自费】海口五公祠火山口骑楼老街假日海滩纯玩一日游\n\n': ['¥259起']}",,1
海南热带野生动植物园Hainan Tropical Wildlife Park,http://travel.qunar.com/p-oi713810-hainanredaiyeshengdong,"

地址:
海口市秀英区东山镇（海榆中线27公里处）


电话:
0898-68526666,0898-68529999,0898-65569366


官网:
http://www.hntwzoo.com/

",景区基本设施 海南热带野生动植物园是集珍稀野生动植物科普博览、保护繁殖、观光旅游、休闲度假为主题的国家 AAAA 级旅游景区，是一家全景式展现岛屿型热带雨林生态系统、浓缩海南岛动植物精华的天然博物馆。  海南热带野生动植物园成立于1995年，位于海口市秀英区东山镇风景秀美的东山湖畔，距海口市区仅有27公里 。 园区占地1500余亩（其中仅动物观赏区面积达1300亩），现有各种珍禽异兽100余种 ，2000多头（只）；珍稀热带植物有280科，1000多品种，热带森林覆盖率高达99%。进入景区，犹如进入了一个天然的“大氧吧”；游览过程，宛如进行了一次美妙的“森林浴”。  园内景观纯属自然天成，莽莽林海和茂密的植物为动物营造了良好的生存环境；而人工开辟的丛林小径和种植的各种奇花异草，又使游客犹如置身于鸟语花香、生机盎然的大自然中，进入一个奇丽多姿、惊险有趣的丛林动物世界。 游玩体验 景区主要分为车行游览区和步行游览区，车行游览区一改城市动物园高墙铁笼的囚兽格局，各类猛兽自然散养，游人驱车在车行猛兽区内穿行，充分体验“人在笼中兽在外”奇妙感觉。  景区明星动物主要有：国宝大熊猫、海南坡鹿、亚洲象、长颈鹿、非洲狮、东北虎、狮虎兽、白颊长臂猿、黑熊、麋鹿、猕猴、河马、黑天鹅、火烈鸟等。  景区火烈鸟餐厅占地面积 1600 平方米，能同时容纳 600 多人用餐。餐厅菜肴原料除了鲜活，还是天然的绿色食品，主要为海南本土特色菜系。 ,全年 周一-周五 09:30-17:30;全年 周六-周日 09:00-17:30,https://img1.qunarzz.com/travel/poi/1706/9a/64700cfcaf7237.jpg_480x360x95_e3c69fed.jpg,4.5,建议游览时间：2小时 - 3小时,四季皆宜。,"{'海南热带野生动植物园门票成人票\n\n': ['¥138.8起'], '海南热带野生动植物园门票儿童票\n\n': ['¥85起'], '海南热带野生动植物园门票学生票\n\n': ['¥89起']}",,1
观澜湖华谊冯小刚电影公社Mission Hills H?Brothers Feng Xiaogang Film Commune,http://travel.qunar.com/p-oi7469832-guanlanhuhuayifengxiao,"

地址:
海口市龙华区羊山大道19号电影公社（西线高速往观澜湖温泉1.8公里处）


电话:
0898-36688000


官网:
http://www.movietownhaikou.com/

",海口观澜湖华谊冯小刚电影公社是由观澜湖集团携手华谊兄弟公司、知名导演冯小刚，巨资打造的中国独具特色的电影主题旅游胜地。电影公社包括1942·芳华景区、南洋景区、老北京景区、美丽乡村石山村落景区、影人星光大道六大独立景区。在集纳电影场景的各个区里，还聚集了不同品牌和特色的餐饮、娱乐、购物、电影院、咖啡屋、酒吧、精品酒店……难忘的电影场景，浓郁的怀旧气氛，日与夜转换的旅游商业街区，使整个项目集建筑旅游、电影旅游、商业旅游于一体，完整展现上世纪百年间，不同时空转换的中国城市街区风情和城市街区建筑的演变史。1942·芳华景区，以电影《一九四二》和《芳华》中的场景为蓝本，让银幕里的世界触手可及。1942景区以电影《一九四二》中的重庆街道为蓝，91栋建筑集合了上世纪二十至四十年代长江流域上海、南京、武汉、重庆四大城市典型的建筑风情，其中25栋建筑完全按照老照片复原，包括西山钟楼、重庆国泰戏院、上海融光大戏院等等，每一栋建筑背后都有一段流逝的故事，令人追忆和回味。芳华景区是专门为2017年贺岁电影《芳华》规划建设的电影实景区，电影中80%的场景取自这里。景区内设置影壁墙、篮球场、排练厅和练功房、泳池、更衣室、道具间、军需库等。为了确保场景准确还原年代背景，景区从设计到建造陈设，从景区内随处可见的红色标语甚至到游泳池的一块瓷砖，都严格遵照上世纪70年代中国风貌和年代特色真实展现，让人身临其境。南洋景区座落在300多米长的水岸边，集合了70幢中外建筑风格交相辉映的南洋风情建筑。其中，富有时代感的牌坊、码头、钟楼、小桥等南洋建筑集群极富意趣。南洋街充分凸显了“一带一路”和海南地域特色，不仅真实还原南洋风情建筑和街道，而且还原性呈现武馆、当铺、洋服铺、药铺、凉茶铺、饼屋等南洋市井商业风情，同时全天候的演艺让游客感受到立体多元的文化旅游体验，完整再现中国历史上三大迁徙之一的“下南洋”的盛况与繁华。老北京景区集合老北京风情建筑集群的精华，真实还原新中国成立后至上世纪七十年代老北京城的历史韵味，高大的钟鼓楼与明清古建筑和雄伟的苏式建筑群，体现出大气、端庄、简洁的建筑审美情趣，更加原汁原味的体现老北京的文化内涵，特别融入了电影《老炮儿》里的北京胡同元素，更显京味十足。美丽乡村石山村落景区以海口火山地区石山村落鲜明特色的建筑群，依托天然的火山坑，以灯塔为中心打造海口美丽乡村。景区以沉浸式体验为理念，把海南本土的榨甘蔗，熬红糖，制作黎族织锦等传统手工艺场景建造成实景，为孩子们打造了松鼠小剧场和动物农场饲养，出口位置的农贸集市售卖海口本地的特色农产品，充分调动游客的趣味性和参与性。以电影《非诚勿扰2》中的 “鸟巢”并加以改造酒店和仿造火山民居的主题客栈，旨在让游客重温电影中的场景，并为游客提供极具特色的住宿体验。影人星光大道设置于电影公社正门入口的长廊，由国内一线的影视明星和导演的手印和签名组成。充分考察和借鉴好莱坞及中国香港的星光大道，采用整块大理石，通过人工切割、雕刻、打磨，制作成1.2米高的ArtDeco风格的基座，方便游客在喜爱的明星手印前拍照留念。首批呈现的80位明星手印和签名，大部分明星和导演都亲临过电影公社，包括冯小刚、葛优、张国立、成龙、刘德华、徐帆、宋丹丹、姚晨、李冰冰、廖凡、段奕宏、徐克、管虎等国内一线明星和导演。,全年 09:00-22:00,https://img1.qunarzz.com/travel/poi/1806/6e/5db5394c0b750637.jpg_480x360x95_517ad8e2.jpg,4.3,建议游览时间：3小时 - 6小时,四季皆宜。,"{'观澜湖华谊冯小刚电影公社1942江城谣·芳华景区门票+南洋潮景区门票成人票\n\n': ['¥148起'], '观澜湖华谊冯小刚电影公社东方红景区门票成人票\n\n': ['¥126起'], '观澜湖华谊冯小刚电影公社南洋景区门票成人票\n\n': ['¥78起']}",,1
云洞图书馆,http://travel.qunar.com/p-oi37805765-yundongtushuguan,,"云洞图书馆紧邻大海，总面积约七百多平方米，图书馆藏书种类丰富，里面还设有阅读区、露台和咖啡厅。
",,https://tr-osdcp.qunarzz.com/tr-osd-tr-touch/img/82c8df978e1a79ab343b352120851d97.jpeg_480x360x95_a5e7b16b.jpeg,4.3,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
假日海滩Holiday beach,http://travel.qunar.com/p-oi710309-jiarihaitan,"

地址:
海口市秀英区滨海大道


电话:
0898-68719988


官网:
http://www.hkholidaybeach.com/

",假日海滩位于海口市西部，海滩的左侧是葱翠的绿树，右侧是琼州海峡。在这里，阳光、海水、沙滩、椰树相映成趣，构成一幅美丽的自然画面。海滩景区主要入口设在位于景区中央的沙滩日浴区，对游客开放的项目有：水上世界、水上摩托艇中心、泳具租赁、冲浴中心、温泉宾馆、旅游工艺品商场等。沙滩烧烤在这里也很流行，每当周末到来，假日海滩上总是三五成群的人们围坐在一起，品尝着自己亲自烧烤的食物，吃完了海边散散步。,全年 9:00-21:00,https://img1.qunarzz.com/travel/d6/1610/bc/d5bf7b8b1ff76fb5.jpg_480x360x95_d36804fc.jpg,4.5,建议游览时间：4小时,5-11月。夏秋两季最佳，下海游泳是最好的避暑选择。,"{'假日海滩电子导览服务大小同价\n\n': ['¥6起'], '【无购物无自费】海口五公祠火山口骑楼老街假日海滩纯玩一日游\n\n': ['¥259起']}",,1
五公祠Five Officials Temple,http://travel.qunar.com/p-oi709229-wugongci,"

地址:
海口市琼山区海府路169号


电话:
0898-65855653,0898-65353047

",五公祠位于海口市区，是展示中国古代贬官文化、海南历史文化及具有海南特色的古代建筑艺术的文物古迹。该祠是为纪念唐、宋时期贬谪到海南岛的五位历史人物而建的，故名五公祠。这是一幢用上等木料精心构筑的红楼，分上下两层，四角攒尖式的屋顶，素瓦红掾，与四周烂漫的绿叶繁枝相辉映，显得格外的庄严肃穆。游玩时首先从苏公祠进入，苏公祠往左，即是合祭五位名臣的五公祠。五公祠主楼是一幢用上等木料精心构筑的红楼，楼高十几米，学圃堂里陈列的明代铜禁钟、清代铁洪钟和三门大铁炮是五公祠的镇祠之宝。接着可以到观稼堂里“寻根问祖”，在这里可知海南人的祖先主要来自福建和广东。从苏公祠往右，还有两伏波祠，这里祭祀西汉伏波将军路博德和东汉伏波将军马援。两位将军曾先后征讨岭南，开琼崖、詹耳等九郡。五公祠的对面是海口博物馆，二者是连通的。这里原来是五公祠陈列馆，里面展品不是很多，陈列了一些海南名人的生平和作品，有兴趣可以和五公祠一并游览。,全年8:00-18:00；其中2月4日7:30-16:00。,https://img1.qunarzz.com/travel/d0/1608/57/03ea2f89ff5708b5.jpg_480x360x95_792133bf.jpg,4.4,建议游览时间：2小时,四季皆宜。,"{'海口五公祠门票成人票\n\n': ['¥19起'], '海口五公祠门票优待票\n\n': ['¥15起'], '海口五公祠门票双人票\n\n': ['¥38起']}",,1
东寨港红树林Dongzhaigang mangroves,http://travel.qunar.com/p-oi715998-dongzhaiganghongshulin,"

地址:
海口市美兰区明北环线


电话:
0898-65743011

",东寨港红树林是一片安静的自然保护区。红树林具有顽强的生命力，涨潮的时候除了树冠几乎全部都淹没在水里，到了退潮时才渐渐露出树干。游客乘坐游船能全面欣赏到红树林的优美景色，幸运的话还能看到各种鸟类，特别是到了秋冬时节这里几乎是候鸟的乐园。,9:00-17:30，17:00停止入场。,https://img1.qunarzz.com/travel/d4/1608/db/2895c744d5660ab5.jpg_480x360x95_575ca59b.jpg,4.2,建议游览时间：2小时 - 3小时,四季皆宜。,"{'东寨港红树林水上观光游船票成人票\n\n': ['¥55起'], '东寨港红树林水上观光游船票儿童票\n\n': ['¥23起'], '东寨港红树林水上观光游船票亲子票(1大1小)\n\n': ['¥78起']}",1、乘坐旅游专线去景区，建议只买单程票，不然游玩时间会不够。2、到了终点下车后，不要在售票点买门票。建议返回到大路上，顺着来时车前进的方向再走500米，就看到红树林保护区的建筑和标识。这里有修得很好的栈道可以到红树林里游览，不要门票。3、游红树林一定要坐船，但这里的游船无论开价和游船时间都有差异，可先在码头附近走一走，多询问再做选择，不要被人一忽悠就带上船了。若人多，推荐130元可坐六人的船，而且还可登菠萝岛。,1
碧海银滩公园,http://travel.qunar.com/p-oi36409542-bihaiyintangongyuan,"

地址:
新埠街道新埠岛埠北环路北

","碧海银滩公园内有沙池、滑梯和跷跷板，沙子细腻柔软，另外，公园内还有很多道具，非常适合拍照打卡。
",全年 全天开放,,5.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
金沙湾滨海公园,http://travel.qunar.com/p-oi36197469-jinshawanbinhaigongyuan,"

地址:
西秀镇金山路

",金沙湾滨海公园位于海口市秀英区。公园内有儿童乐园，各种可爱的动物，环境优美，适合周末去遛娃。公园内有艺术感的文艺牌子，小风车，各种动物形状椅，可以拍照打卡，也可以带上帐篷去露营，在海边野餐，喝茶，聊天，享受美好时光。,无限制,https://flight-feed.qunarzz.com/as3/424/image/2022/7/067cd886-6e90-4077-98d4-fd9e37e43fea.jpg,0.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
万绿园Wanlv Park,http://travel.qunar.com/p-oi713326-wanlu:yuan,"

地址:
海口市龙华区滨海大道38号


电话:
0898-68511069

",万绿园是海口市的开放性热带海滨生态园林，在这里你能看到跑步的、练拳的、放风筝的、骑双人自行车的人，是当地周末游的好去处。园中栽种了许多以椰子树为主的热带和南亚热带观赏植物，呈现出一派热带园林风光。并设有高尔夫球练习场，可以好好运动一下，放松自己。,全年 全天开放,https://img1.qunarzz.com/travel/d2/1608/f3/8ba5f1a4ba9af0b5.jpg_480x360x95_917544a7.jpg,4.6,建议游览时间：2小时 - 3小时,12月至来年4月。这时的三亚气候舒适，是个避寒的好去处，没有了夏季的炎热，也避开了台风季节。,"{'万绿园电子导览服务大小同价\n\n': ['¥5起'], '【无购物无自费】海口五公祠火山口骑楼老街假日海滩纯玩一日游\n\n': ['¥259起']}",,1
