名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
周村古商城Zhoucun Ancient City,http://travel.qunar.com/p-oi705537-zhoucungushangcheng,,,,,,,,,,1
鲁山国家森林公园Lushan National Forest Park,http://travel.qunar.com/p-oi706754-lushanguojiasenlingong,"

地址:
淄博市博山区池上镇


电话:
0533-3680898,0533-4860001


官网:
http://www.sdlushan.com.cn

",,景区暂时停业，详情请以景区公示为准；原开放时间8:00-17:00。,https://mp-commentcp.qunarzz.com/mp_comment_mp_comment/1558638667631100d14000000wjiep6450_D_640_10000.jpg_480x360x95_b470f9c6.jpg,4.6,建议游览时间：3小时 - 5小时,,{'导览服务成人票\n\n': ['¥9起']},,1
潭溪山Tanxi Mountain Scenic Area,http://travel.qunar.com/p-oi7469354-tanxishan,"

地址:
淄博市淄川区太河镇峨庄乡石沟村


电话:
0533-5036666

",          潭溪山，国家AAAA级旅游区、国家森林公园、国家水利风景区、省级地质公园、省重点风景名胜区，2010年6月开园营业，离城区38公里，可游览面积9平方公里，有自然景观100余处，最高峰海拔867米，是一处集风景揽胜、休闲度假、餐饮娱乐、拓展训练为一体的综合性旅游度假区。          潭溪山开业十余年来，始终坚持打造高品质文旅产品，现已形成“1个景区+4个网红体验项目+5个度假餐饮酒店+10余个核心游览打卡点”的高品质文旅产品体系，是领跑鲁中地区的网红打卡地，是省内4A级山岳型景区的标杆企业之一。1、 潭溪山高空玻璃桥：无背索斜拉弧形玻璃桥           迄今为止，潭溪山高空玻璃桥已获得两项国际大奖：2019年世界结构大奖——行人桥梁奖，2020年国际桥梁大会（IBC）——亚瑟·海顿奖。,全年 08:00-17:00,https://img1.qunarzz.com/travel/d5/1604/2f/8c3cba8bbe95ddf7.jpg_480x360x95_5bced477.jpg,4.4,建议游览时间：12小时 - 3天,适宜月份：5月、6月、7月、8月、9月、10月,"{'潭溪山景区门票+玻璃桥票成人票\n\n': ['¥99起'], '潭溪山门票+玻璃桥+漂流＋星洞传说  票成人票\n\n': ['¥169起'], '潭溪山+星洞传说门票成人票\n\n': ['¥40起']}",,1
三水源生态旅游度假区Sanshuiyuan Eco-tourism Resort,http://travel.qunar.com/p-oi35842079-sanshuiyuanshengtailu:,,三水源生态旅游度假区，位于国家级风景名胜区——博山，是一处集运动休闲、研学拓展、健康养生于一体的综合性生态旅游度假区。山东三大文化母体（齐文化、鲁文化、莒文化）中，各有一条代表性河流（淄水、沂水、汶水）发源于此，故名为三水源。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/b2f495998da56135ddb0c8574fe598a2.gif_480x360x95_bdf77f53.gif,3.6,建议游览时间：12小时 - 3天,,"{'三水源生态旅游度假区门票成人票\n\n': ['¥19.6起'], '三水源生态旅游度假区门票优待票\n\n': ['¥29.9起'], '三水源生态旅游度假区门票+心蔓桥+奇幻乐园门票成人票\n\n': ['¥29.4起']}",,1
马踏湖Mata Lake,http://travel.qunar.com/p-oi710893-matahu,,,,,,,,,,1
博山开元溶洞Kaiyuan Karst Cave in Boshan,http://travel.qunar.com/p-oi715423-boshankaiyuanrongdong,"

地址:
淄博市博山区源泉镇东高村


电话:
0533-4814200,0533-4814066

",开元溶洞是因洞内有唐、开元年间的摩崖石刻而得名，洞内大而高，长1100余米，分六个大厅，洞内各种石钟乳等自然景物玲珑剔透，形象逼真，令人目不暇接。洞内新石器时期、唐、宋等各时期的摩崖石刻更令人称绝。天下溶洞，不尽相同，但开元洞的奇妙壮观，足以和广西桂林的芦笛岩媲美。开元溶洞是一条廊道厅堂式洞穴，全长1280米，高和宽的地方达30米。由8个大厅组成，大小百余处景点景物供游客观赏。各厅中均各具特色的采用中国先进的电光源技术进行灯光布局，给人们带来不同的视觉效果。,8：00-17：00,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/fusion/202110/96afb82cf5d1b8c246f4851c23ae4466.jpg_480x360x95_3133cd6c.jpg,4.4,建议游览时间：2小时 - 3小时,,"{'博山开元溶洞大通票成人票\n\n': ['¥139起'], '博山开元溶洞大通票学生票\n\n': ['¥120起'], '博山开元溶洞门票成人票\n\n': ['¥19.9起']}",,1
玫遇玫瑰花园,http://travel.qunar.com/p-oi38876794-meiyumeiguihuayuan,,,,,5.0,,,,,1
山东文旅·红叶柿岩旅游区Lushang - Hongye Shiye Scenic Spot,http://travel.qunar.com/p-oi36192182-shandongwenlu:hongyeshi,"

地址:
淄博市博山区域城镇和尚房村6号


电话:
4006045799,0533-4983883（VIP服务咨询电话）

",鲁商·红叶柿岩旅游区位于山东省淄博市博山区和尚房村（滨莱高速博山出口西行100米处），地处原始古老峡谷之中，群山怀抱，具有独特原生态乡村气息。景区建筑依山而建，青石砌房，红瓦覆顶，有至今保留完好的清古建筑。景区旅游资源丰富，包含了中国国家地理的营地、中国的一个琉璃公园、江北较大的万亩原生红叶林、电视剧《绿水青山带笑颜》拍摄主场地、万亩梯田、江北较大的琉璃佛像、齐长城遗址、石屋古村落长廊、北国的一个溶洞在内的九人红叶柿岩之一。整和山、地、水、林、湖等资源，创意打造“琉璃主题、长城文化主题、康养主题、运动休闲、文化体验”于一体的综合性旅游区。景区的森林覆盖率高达百分之97以上，森林资源丰富，四季风光美如画卷，足有氧锻炼、亲子娱乐、静心养性、回归自然、休闲度假之名地。,全年 08:30-18:00,,4.2,建议游览时间：12小时 - 3天,,"{'鲁商•红叶柿岩旅游区门票成人票\n\n': ['¥28起'], '山东文旅•红叶柿岩旅游区一票全游通票成人票\n\n': ['¥238起'], '山东文旅•红叶柿岩旅游区一票全游通票儿童票\n\n': ['¥188起']}",,1
留仙湖公园Liuxianhu Park,http://travel.qunar.com/p-oi703393-liuxianhugongyuan,"

地址:
沿河街1号


电话:
0533-5181109

",留仙湖公园位于鲁中商城——淄川的中心位置，与全国闻名的淄川服装城相毗邻。公园以世界短篇小说之王蒲松龄先生的字“留仙”而命名，水陆面积约100公顷，是一个以自然景观、人文景观和中西式相结合的集吃、住、购物、游乐和休闲为一体的综合性公园。,全年 7:30-21:00,https://img1.qunarzz.com/travel/d7/1807/eb/346dd9a7f370aeb5.jpg_480x360x95_a72a4c20.jpg,4.3,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
临淄足球博物馆Linzi Football Museum,http://travel.qunar.com/p-oi705379-linzizuqiubowuguan,"

地址:
淄博市临淄区临淄大道759号


电话:
0533-7175778,0533-6292898

",足球博物馆位于齐国故都、世界足球起源地山东省淄博市临淄区，是淄博市重点文化项目——齐都文化城的龙头场馆。其外形为单体异型结构设计，建筑面积1.18万平方米，拥有馆藏文物2000余件，复员场景20多个，是一处集参观游览、休闲娱乐、历史文化研发和产品开发等多种功能于一体的高水准的世界性足球公园。足球博物馆分上下两层建筑，一楼大厅至北向南，依次为序厅、溯源厅、起源厅、发展厅、繁荣厅、暗弱厅和影响传播厅，主要介绍了古代足球的发展历程，二楼包括英伦长街、国际足联专题展厅、世界杯专题展厅、中国足球展厅以及一处大型足球游戏互动体验区——足球嘉年华。,9:00-17:00（16:30 停止入场），周一闭馆。,https://flight-feed.qunarzz.com/as3/180/image/poi_vishnu/aadfc13d-d0b2-4655-9b84-b85e90e8dada.jpg,3.7,建议游览时间：1小时 - 2小时,,{'临淄足球博物馆手机智能导游讲解服务大小同价\n\n': ['¥6起']},,1
沂源九天洞Jiutian Cave in Yiyuan County,http://travel.qunar.com/p-oi713341-yiyuanjiutiandong,"

地址:
淄博市沂源县鲁山溶洞景区内


电话:
0533-3680164,0533-3680898

",九天洞位于秀丽的鲁山南麓，发育于地持年代上的古生代奥陶纪石灰岩岩层中，该石灰岩系海（相）中沉积岩层，其生成年代距今为4.4-5.0亿年，九天洞的形成却只有一百万年左右的历史。九天洞洞腔长518米，高5-18米，游程往返约1.2公里，洞体结构十分稳定，洞内化学堆积类型十分丰富，多达37种；其中稀有类型有7种，大面积的球状和针状结晶体、月奶石、石花、石莲被誉为“九天四绝”，是全国稀有景观类型多的溶洞，同时又是石花面积大的溶洞，具有重要的科学和观赏价值。此洞之所以称为“九...九天洞位于秀丽的鲁山南麓，发育于地持年代上的古生代奥陶纪石灰岩岩层中，该石灰岩系海（相）中沉积岩层，其生成年代距今为4.4-5.0亿年，九天洞的形成却只有一百万年左右的历史。九天洞洞腔长518米，高5-18米，游程往返约1.2公里，洞体结构十分稳定，洞内化学堆积类型十分丰富，多达37种；其中稀有类型有7种，大面积的球状和针状结晶体、月奶石、石花、石莲被誉为“九天四绝”，是全国稀有景观类型多的溶洞，同时又是石花面积大的溶洞，具有重要的科学和观赏价值。此洞之所以称为“九天”，是因为神话传说中天有九层，即九天，而这个洞也有九个大的洞厅，景观可与神话中的天宫相妣美，所以叫九天洞。这九个厅分别是：天地之间厅、步天厅、天河厅、天宫厅、天街厅、天国花园厅、巡天厅、梦幻天堂厅、别有洞天厅。2001年初中国的洞穴科学家、中国洞穴研究会会长朱学稳教授为首的设计组对九天洞进行了全面的科学调查、鉴定与设计，并完成了灯光改造工程，其科学化与现代化设计均居全国游览洞穴的先进水平。,8:30-17:00,https://mp-commentcp.qunarzz.com/mp_comment_mp_comment/1553109492156100512000000sfpr67053_D_640_10000.jpg_480x360x95_ca4d8e49.jpg,4.5,建议游览时间：2小时,,50元,,2
