名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
龙脊山Longjishan Natural Scenic Area,http://travel.qunar.com/p-oi712087-longjishan,"

地址:
淮北市烈山区新蔡镇

", 龙脊山又称老龙脊、龙背墙，位于安徽省宿州市埇桥区符离集镇与淮北市烈山镇交界处，距淮北、宿州市区均为20公里左右，其占地面积约90平方千米，是安徽省的自然保护区。与宿州市五柳风景区相连，海拔363米。目前已为景区部分为淮北市开发。相传张果老诞生于此，当地流传着“三山夹一山”的民谣。有大方寺、回龙山、观龙台、卧牛石、龙吟湖、扁泉、观日台、仙人洞等景点。,7：30---18：00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/42a9ca1a7c65e0b9692e9c3d40969626.jpg_480x360x95_b17115d9.jpg,4.3,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,1
相山公园Xiangshan Mountain Forest Park,http://travel.qunar.com/p-oi711515-xiangshangongyuan,"

地址:
淮北市相山区相山路1号


电话:
0561-3021655

",相山公园座落在淮北市相山南麓。人文景点有乾隆皇帝题词“惠我南黎”、水牛墓、奏鸣台、饮马池和藏经洞等数十处。山顶云洞吞吐云树、顷刻万端；香炉峰形势惟峭；叠翠峰翠色诱人。显通寺（习称相山庙）建于晋朝。新建儿童乐园、相山天池集古今中外文化于一体，是人们游乐休息的好地方。,全年 全天开放,https://img1.qunarzz.com/travel/d5/1611/42/4dfd9235ce13fdb5.jpg_480x360x95_eb6f8627.jpg,4.8,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
淮海战役双堆集烈士陵园Huaihai Battle Shuangduiji Martyrs' Cemetery,http://travel.qunar.com/p-oi704759-huaihaizhanyishuangdui,"

地址:
安徽省淮北市

", 海战役双堆集烈士陵园位于安徽淮北市濉溪县双堆集南面，东西长368米，南北宽292米，面积10.6公顷，烈士陵园于1976年筹建，1981年10月淮海战役烈士纪念碑落成，双堆集歼灭战纪念馆于1988年10月竣工。陵园大门朝东，门内两侧各有一个面积为1250平方米的池塘。宽阔笔直的主干道通往纪念碑，南部的尖谷堆为新石器时期的文化遗址，也是淮海战役双堆集地区歼灭战期间敌我双方激烈争夺的制高点。国内遍植雪松、龙柏、黄杨等风景树木，并有花圃和果园。 中国书法家协会启功题写匾额“淮海战役双堆集烈士陵园”。 1995年12月，陵园被批准为安徽省首批爱国主义教育示范基地。2000年陵园被批准为省级重点烈士纪念建筑物保护单位。2001年6月，陵园被列为全国第二批100个爱国主义教育示范基地之一。,8:00-17:00,https://img1.qunarzz.com/piao/fusion/1807/90/ddace2230743a102.jpg_480x360x95_8d134881.jpg,4.6,建议游览时间：12小时,,免费,,1
刘开渠纪念馆Liu Kaiqu Memorial Hall,http://travel.qunar.com/p-oi709320-liukaiqujinianguan,"

地址:
相山北路2号


电话:
0561-3032345

",刘开渠纪念馆位于相山森林公园内，是中国现代雕塑的奠基人，为许多伟人塑过像，人民英雄纪念碑也是他的作品，馆内对其生平以及作品进行了描述和展示。,"全年 08:30-11:30,14:30-17:30",,4.7,建议游览时间：2小时,,5元,,1
百莲百荷景区,http://travel.qunar.com/p-oi39317800-bailianbaihejingqu,,,,,0.0,,,,,1
淮北四季榴园,http://travel.qunar.com/p-oi38932862-huaibeisijiliuyuan,,,,,5.0,,,,,1
石山孜遗址,http://travel.qunar.com/p-oi38674570-shishanziyizhi,,,,,--,,,具体收费情况以现场公示为主,,1
千年古银杏园,http://travel.qunar.com/p-oi38666806-qiannianguyinxingyuan,,,,,--,,,具体收费情况以现场公示为主,,1
淮北三鲨海洋世界,http://travel.qunar.com/p-oi38653962-huaibeisanshahaiyangshi,,各种海洋鱼类与生物汇聚一堂，在这里游客可以在馆内体验区与各种“海洋精灵”零距离接触。,,,0.0,,,,,1
刘伶公园,http://travel.qunar.com/p-oi38596061-liulinggongyuan,,,,,0.0,,,,,1
