名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
八公山风景区（国家地质公园）Bagong Mountain National Forest Park,http://travel.qunar.com/p-oi717269-bagongshanfengjingqu,"

地址:
淮南市八公山区八南路


电话:
0554-5231196

",八公山是一座风光秀丽的历史文化名山，面积108km2，景区内40余座山峰起伏叠障，苍松迭翠，雄奇灵秀，有着丰富的历史底蕴和文化内涵。1600多年前曾发生过以少胜多的“淝水之战”留下了“风声鹤唳，草木皆兵”的千古佳话；2000多年前，淮南王刘安招贤纳士，讲经论道，编著了一代名篇《淮南子》，一次完整地记录了二十四节气，发明了千古美食豆腐；“淮南虫”化石是迄今为止世界上发现较早的古生物化石，被国际地质学界誉为“蓝色星球”上的生命之源。八公山神秀，自古诸多墨客争趋而至，象刘安、李白、苏轼、欧阳修、刘禹锡、吴均、韦应物的足迹均踏遍过八公山，并留下了不少烩炙人口的篇章。八公山风景区依照“科学规划、严格保护、合理开发、永续利用”的原则，坚持“旅游立区、工业强区、文化兴区”的发展战略，着力打造“文化山、文明山、生态山、生命山”，先后投入巨资保护性开发了八公山石林、忘情谷、汉淮南王宫、升仙台、白塔寺等景点，以及展示八公山国家地质公园特色地质风貌的地质博物馆。新建的淮南子文化园内有展示汉文化传统的“和鸣谷”和展示世界非物质遗迹的“二十四节气园”。成语故事园用生动的雕塑群诠释《淮南子》精华部分内容。八公山风景区交通方便，旅游区配套基础设施基本健全，分别获得国家地质公园、国家森林公园、国家AAAA级旅游区三个品牌。是人们观光、旅游、科研、修学、休闲娱乐的好去处。,8:00-18:00,https://img1.qunarzz.com/travel/d4/1712/1a/92b0571acbc890b5.jpg_480x360x95_70c764b5.jpg,4.3,建议游览时间：4小时 - 5小时,,"{'八公山风景区（国家地质公园）门票成人票\n\n': ['¥40起'], '八公山国家森林公园门票双人票\n\n': ['¥80起'], '八公山国家森林公园电子导览服务大小同价\n\n': ['¥1.8起']}",,1
焦岗湖国家湿地公园Jiaogang Lake National Wetland Park,http://travel.qunar.com/p-oi711843-jiaoganghuguojiashidi,"

地址:
淮南市凤台县毛集实验区内


电话:
0554-8261889

",焦岗湖生态旅游度假区位于安徽省淮南市西南部综合毛集实验区内，北距毛集镇1公里，东接八公山，南临千里淮河，被誉为“华东白洋淀”。碧波荡漾的焦岗湖由来自颍上、六安等地的18条河流汇集而成，宛如天赐碧玉，镶嵌在淮北平原，湿地植物丰茂，有万亩芦苇荡，千亩荷花淀，是安徽省生态环境保护完好的区域之一。湿地被誉为“地球之肾”，与森林、野生动植物共同构成了陆地生态系统的主体，在维护和优化生态环境中发挥着不可替代的作用。焦岗湖湿地孕育了极为丰富的物种资源，具有极大的...焦岗湖生态旅游度假区位于安徽省淮南市西南部综合毛集实验区内，北距毛集镇1公里，东接八公山，南临千里淮河，被誉为“华东白洋淀”。碧波荡漾的焦岗湖由来自颍上、六安等地的18条河流汇集而成，宛如天赐碧玉，镶嵌在淮北平原，湿地植物丰茂，有万亩芦苇荡，千亩荷花淀，是安徽省生态环境保护完好的区域之一。湿地被誉为“地球之肾”，与森林、野生动植物共同构成了陆地生态系统的主体，在维护和优化生态环境中发挥着不可替代的作用。焦岗湖湿地孕育了极为丰富的物种资源，具有极大的观赏价值和生态调节功能。“万亩芦苇荡”、“千亩荷花淀”和湿地植被及众多的飞禽、鱼类是这里主要的物种构成，在湿地大都遭到了围垦破坏的今天，焦岗湖湿地生态系统是不多的野生自然湿地群落之一，具有原始性、稀有性、生物多样性等特点。焦岗湖有可养水面六万多亩，湖内水质优良，水生种群繁多，其中焦岗湖大闸蟹、青虾、鳜鱼三个品种荣获国家绿色食品A级证书，远销欧美，是中国绿色食品基地之一。焦岗湖上栖息着数量众多的鸟类，大雁是其中亮丽的一道风景。焦岗湖的大雁大多是人工野生放养的，从1999年开始，焦岗湖上就有人尝试人工饲养大雁，大雁不但羽毛漂亮，绒毛轻暖，而且肉味鲜美，具有较高的经济价值和观赏价值，自古就有“宁吃飞禽四两，不吃走兽半斤”的说法。如今，人工饲养的大雁已由单一的鸿雁发展到鸿雁、豆雁、灰雁、雪雁四个品种。该景区环境优美、气候宜人，既有芦苇荡（鸟的天堂）、荷花淀、仙侣湖、渔业观光园、水上人家等水上景观，又有湖畔垂钓、芦荡探幽、荡舟采菱、湖中戏鸟、渔家寻乐、浪遏飞舟等休闲项目，兼有焦湖红心鸭蛋、醇香酒糟鱼、活鱼干吃、水晶贡圆、五香狗肉等特色产品，还有“仙侣下凡”、“黑龙遭难”、“神猴探宝”、“赵匡胤困南唐”等美丽传说，堪称“养在深闺八未识”的生态旅游地。焦岗湖与八公山森林公园和历史文化名城寿县，构成独特的山水城旅游金三角，是皖西北黄金旅游线上的重要景点。2004年7月，毛集实验区获得首批“全国农业旅游示范点”称号，2005年2月，焦岗湖旅游区被评定为“安徽省农家乐旅游示范点”。,全年 08:30-18:00,https://img1.qunarzz.com/travel/d9/1510/e1/1b91d0d0817625.jpg_480x360x95_4ccde4f7.jpg,4.3,建议游览时间：1小时 - 2小时,,{'焦岗湖国家湿地公园电子导览服务大小同价\n\n': ['¥6起']},,1
舜耕山风景区Shungeng Mountain,http://travel.qunar.com/p-oi702464-shungengshanfengjingqu,"

地址:
淮南市田家庵区洞山东路南侧


电话:
0551-8583655

",舜耕山原为合肥长丰县与淮南市的界山，现划归为淮南市，成为淮南东部城区与南部城区之间的城中山。1992年9月经林业部批建为国家森林公园，规划面积为3.8万亩。景区内林木繁茂，林相整齐，林间林荫夹道，曲径通幽，一年四季游人不断，是城区人们野营、避暑胜地。主要有以洞山和罗山为主的秀峰、怪石、涌泉、洞穴、湖潭（泉山湖和老龙潭）、古树等自然景观以及古寺庙遗址、古寨及跑马场遗址、革命活动遗址、日本碉堡群、古墓群、古战场遗址、古建筑等人文景观。,全年 08:00-19:30,https://img1.qunarzz.com/travel/poi/201408/05/4f7843178ac1b49fc8d65eac.jpg_480x360x95_7ea82984.jpg,4.5,建议游览时间：12小时 - 3天,四季皆宜，春秋为佳。,具体收费情况以现场公示为主,,1
上窑国家森林公园,http://travel.qunar.com/p-oi712189-shangyaoguojiasenlingong,"

地址:
安徽省淮南市大通区上窑镇


电话:
0554-3601207

",安徽上窑国家森林公园位于著名煤城淮南市东北部，横卧于美丽富饶的窑河之滨。地处东径117度06’，一117度10’，北纬32 度45’， 一32度47’，公园总面积10．4平方公里。上窑森林公园是于1992年11月26日，经原林业部批准 ，在国营上窑林场的基础上建立的。公园现有有林地面积13592亩，覆盖率89.4％。全场总人口370，其中在职职工161人。上窑森林公园属淮阳地质带北部边缘，境内为石灰岩组成的低山丘陵，最高峰朱家人山，海拔212.4米。主要乔木树种有侧柏、铅笔柏、马尾松，黑松，刺槐，...安徽上窑国家森林公园位于著名煤城淮南市东北部，横卧于美丽富饶的窑河之滨。地处东径117度06’，一117度10’，北纬32 度45’， 一32度47’，公园总面积10．4平方公里。上窑森林公园是于1992年11月26日，经原林业部批准 ，在国营上窑林场的基础上建立的。公园现有有林地面积13592亩，覆盖率89.4％。全场总人口370，其中在职职工161人。上窑森林公园属淮阳地质带北部边缘，境内为石灰岩组成的低山丘陵，最高峰朱家人山，海拔212.4米。主要乔木树种有侧柏、铅笔柏、马尾松，黑松，刺槐，山槐、黄连木，麻栎等。景点1，洞山怀 自然人文景观的集中地， 四面环山，群山叠翠，景色宜人，是已开发的主景区。内有洞山寺， 建于明弘治年间，至今香火鼎盛，每年农历二月十 九庙会， 四乡云集。2，洞山入景 即奇峰障日，仙桥长虹，峭壁摩天，仙人留迹，岩开斗室，仙桃园，牵牛巷、王母遗踪。3，古寿州窑遗址 创烧于南朝， 盛于隋唐，衰于五代，为省级重点文物保护单位，近处建有寿州窑陈列馆。4， 上窑古镇 背山面水，古朴秀丽，具有两千多年历史，称为“秦墟”，镇上有高塘馆遗址。南有洛涧，古称“洛水”，是“淝水之战”的重要遗址之一。,全天,https://img1.qunarzz.com/piao/fusion/1506/59/3b7ba1f883ae17.jpg_480x360x95_2b8bd557.jpg,3.0,,,26元,,1
龙湖公园Longhu Park,http://travel.qunar.com/p-oi702431-longhugongyuan,"

地址:
淮南市田家庵区人民北路160号


电话:
0554-3622820

",淮南市龙湖公园筹建于1957年，曾名淮南市人民公园，1980年10月正式对外开放，为封闭式公园。北依淮河，南眺舜耕山，东邻田家庵市区，西接姚湾，是省内较大的综合性公园之一。园内建有百花园、动物园两个“园中园”，景点有号称“龙湖三绝”的龙雕、龙船、迎宾山和号称“龙湖八景”的宾山瀑布、晨曦榭、观鱼池等。是淮南市“彩带串珠”上的一颗明珠。,6:00-22:00,https://img1.qunarzz.com/piao/fusion/1502/f8/51a2addedabd23.jpg_480x360x95_fe4abd40.jpg,4.5,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
珍珠泉The Pearl Spring,http://travel.qunar.com/p-oi719372-zhenzhuquan,,,,,,,,,,1
新四军纪念林园区,http://travel.qunar.com/p-oi709590-xinsijunjinianlinyuan,"

地址:
安徽淮南市上窑国家森林公园

",淮南新四军纪念林是2002年10月兴建的。纪念林位于上窑森林公园花果山上，以树和碑相结合。树以银杏和苍松翠柏结合，以银杏为主，象征着先辈们的革命精神万古长青。该林共植银杏树千余棵，是我市目前最大的银杏林。颂扬新四军精神的纪念碑矗立在山岗的至高处，新四军纪念林周围已建淮化苑、人才林、学子林、夕阳林、人大林、记者林、国税林、地税林、财政林等十多个纪念林，形成了纪念林园区，号称“千亩园林”。,7:00-18:00,,--,,,免费,,1
寿州窑遗址,http://travel.qunar.com/p-oi704991-shouzhouyaoyizhi,"

地址:
安徽省淮南市寿州上窑镇

",寿州窑遗址在淮南市。分布于下窑、泥咀子、管家咀、马岗、外窑等等处。均系六朝末年至隋唐时代的寿州民窑窑址。淮南市原属寿州，故统称寿州窑，以其瓷色黄见称于世。唐代陆羽《茶经》说：“寿州瓷色黄，茶色紫。”今窑址附近犹堆积无数黄色瓷碎片和窑具，对研究我国古代陶瓷史有重要意义。,全天,,--,,,免费,,1
硖山口Xiashan Pass,http://travel.qunar.com/p-oi709754-xiashankou,"

地址:
安徽省凤台县凤台县城西南约5公里处

",,全天,https://img1.qunarzz.com/travel/poi/1608/27/fc7506e459063837.jpg_480x360x95_75fb15db.jpg,1.0,,,,,1
春申君陵园Chunshenjun Cemetery,http://travel.qunar.com/p-oi712152-chunshenjunlingyuan,"

地址:
淮南市谢家集区李郢孜镇黄歇路（009县道）李郢孜镇政府西侧

",春申君陵园位于李郢孜镇政府西侧，距县政府约150米，陵园结构简单，一条墓道直通墓碑，墓碑后的土堆即是坟冢，据考证该墓是一座战国晚期楚国高等贵族墓葬，但春申君墓在全国有好几座，究竟哪一座是真墓还有待确认。春申君名黄歇，是战国时期楚国大臣，被誉为“战国四公子”之一，曾合纵六国挂六国相印对抗秦国，却在棘门被自己的侍从李园所害，被人刺杀。如今春申君陵园只有荒草与孤冢相伴。随着电视剧《芈月传》的热播，除了历史迷，也有一些影迷会前来凭吊。,全年 8:00-17:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/5dbdecfa3fbd0be8a85642ea92c779a9.jpg_480x360x95_f486aa66.jpg,4.3,建议游览时间：0.5小时,,具体收费情况以现场公示为主,,1
