名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
洪泽湖,http://travel.qunar.com/p-oi707722-hongzehu,,,,https://img1.qunarzz.com/travel/d9/1701/35/dd2fecf65e6a1bb5.jpg_480x360x95_90a322ac.jpg,5.0,建议游览时间：3小时,四季皆宜,,,1
淮安方特东方欲晓,http://travel.qunar.com/p-oi38872962-huaianfangtedongfangyu,,淮安方特东方欲晓依托华强方特强大的创意能力和科研实力，综合运用AR、VR、巨幕、球幕、动感轨道车等主题乐园行业前沿科技，以红色文化体验为主题，以百余年来中华民族的奋斗征程为背景策划，同时结合淮安当地最具代表性的历史人物、历史事件进行重点展现，打造出《圆明园》《致远 致远》《巾帼》《铁道游击》《岁月如歌》《东方欲晓》《飞翔》等一系列高科技、强互动的红色主题项目，以及北平街、上海街、香港街、粤海道等具有浓郁历史氛围的主题街区，全景式演绎中华民族寻求国家独立、民族复兴的波澜壮阔的近现代历史，实景展现中国近现代时期独具特色的社会风貌和人文风情，让游客以参与、体验、互动的方式，全方位感受和体验红色文化。淮安方特还拥有40多个室外配套游乐项目、数百项特色景观，并规划招商上百家主题餐厅和商店，将汇集休闲旅游、主题演艺、特色餐饮、研学教育等丰富业态。园区既有最高时速达90公里的弹射式过山车《鹰击长空》、家庭过山车《火线追击》、轨道漂流《星河探险》等年轻人喜爱的刺激项目，也有老年人喜爱的特色演艺，还有适合小朋友游玩的欢乐天地，可全方位满足游客多元化需求，为广大游客提供“吃、喝、玩、乐、购”一站式贴心服务和国际领先的沉浸式游乐体验。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/fbc18bcdb6370d2fe4dba08c082beef8.png_480x360x95_cd0ede8a.png,4.8,,,,,1
河下古镇Hexia Ancient Town,http://travel.qunar.com/p-oi9172902-hexiaguzhen,"

地址:
淮安市淮安区淮城镇河下估衣街125号


电话:
0517-83415188

",河下古镇位于江苏省淮安市淮安区西北隅，古邗沟入淮处的古末口，曾名北辰镇，是淮安历史文化名城的核心保护区之一。这里曾诞生巾帼英雄梁红玉、大文学家吴承恩等历史名人。明清两代这里曾出过67名进士、123名举人、12名翰林，有“进士之乡”之称，文化底蕴十分深厚。河下有五大特色：文化重镇，军事重镇，盐商重镇，中医重镇（山阳医学的发源地），美食重镇（淮扬菜的发源地）。,全年 全天开放,https://img1.qunarzz.com/travel/d6/1707/e2/47f2b00d5009f1b5.jpg_480x360x95_681e13de.jpg,4.5,建议游览时间：2小时,,{'河下古镇电子导游12个合成讲解，不含门票服务大小同价\n\n': ['¥0.8起']},,1
周恩来故居Former Residence of Zhou Enlai,http://travel.qunar.com/p-oi713207-zhouenlaiguju,"

地址:
淮安市淮安区驸马巷7号


电话:
0517-85966670

",故居位于淮安市的老城区，是清咸丰到光绪年间建造的苏北民房，青砖灰瓦，古朴典雅。他诞生在这里，并渡过了12个春秋，离开淮安后便再也没有回来过。在故居里，你可以看到他诞生的房间、家人卧室等，一切如同在影视剧中看到的他幼年居所，还呈现着原样。此外，通过各种图文资料和实物展览，可以了解到他的身平。首先看到的是他的读书处，他5岁便遵祖训入家塾馆读书。接着来到他父母的居室，居室的东厢房便是他诞生的地方。然后可以依次参观童年家事和故乡展、生平事迹陈列室，了解他和其夫人的故事。再看下他墨迹碑廊、厨房等景点。参观过程中有几个景观不要遗漏。一是在亭子间后边有一口古井，井的不远处厨房前有一块菜地，你可以尝试在老井里打一桶水，当年他便是这么打水浇灌菜地的。二是后院里，有一棵一品梅，梅花象征着他的品格。三是故居中还有两棵百年老树，一棵是榆树，一棵是观音柳。在故居的门外有好几家小商店，可以购买纪念品。,周二-周日9:00-16:30（16:00停止入馆），每周一闭馆（除法定节假日外）。,https://img1.qunarzz.com/travel/poi/1612/d3/c71180a283007d37.jpg_480x360x95_c61063ac.jpg,4.7,建议游览时间：1小时 - 2小时,,"{'周恩来故居电子讲解票大小同价\n\n': ['¥0.5起'], '江苏淮安风声航空飞行营地【专业教练一带一动力滑翔伞体验】\n\n': ['¥100起']}",,1
铁山寺国家森林公园Tieshan Temple National Forest Park,http://travel.qunar.com/p-oi709646-tieshansiguojiasenlin,"

地址:
淮安市盱眙县西南丘陵山区


电话:
0517-88762809,0517-88761588


官网:
http://www.tsstqh.com/

",铁山寺森林公园位于江苏省淮安市盱眙县，为国家AAAA级旅游景区。占地为70.58平方公里，其中23.73平方公里的次生林海和群山环抱着的9平方公里的纯净的天泉湖，构成了独特的小气候环境。这里繁衍生息着40多种野生动物，170多种鸟类，280多种树木，近千种植物和800多种中草药，其中绝大多数为南北地域边缘物种，是天然的动植物基因库。公园内自然景观和人文景观都颇具特色，让人既可以领略独特的大自然风光，使人心旷神怡，又可探求科学的奥密，还可以感受这里历史文化的厚重。铁山寺国家森林公园属低山丘陵地貌，绵亘的群山和玄武岩台地独领楚风汉韵，色彩斑斓的茂密森林和水质清纯的山地湖泊使这里的古远质朴平添了钟灵毓秀。这里无名山之雄奇，大川之壮阔，却因此少了那份逼人的气势。这里的环境带给游客的是休闲和放松的暗示与诱惑，让人与自然亲密接触。区内有290多科1000多种植物，有观赏类：如木楠、点地梅、兰花、百合、马兜铃、海棠等200多种；有药用价值800多种：如胶股蓝、太子参、北沙参、党参、吉梗、牡荆、五加、木通、草珊瑚、百合、泽泻、地黄等，其中北沙参、弥猴桃等在区内均有发现，北沙参记载在秦岭以北才有分布，在此实属少见；有纤维植物100多种，如苎麻、荨麻、苫皮等；有作饲草400多种，如野蒸麦、茅草、莎草、三菱草；有些可作为食用，而且有较高的药用价值，是很好的食疗蔬菜；铁山寺自然保护区的腹地蕨类品种多达14多种。还有390多种藤本植物，其中金毛狗、贯众、凌霄、紫藤等不但有很高的观赏价值，而且有较高的药用价值。,8:00—18:00,https://img1.qunarzz.com/piao/fusion/2011/55/6cc54ed3c25dd302.jpg_480x360x95_332a737b.jpg,4.4,建议游览时间：3小时 - 5小时,,"{'铁山寺国家森林公园门票成人票\n\n': ['¥48起'], '铁山寺国家森林公园门票学生票\n\n': ['¥24起'], '铁山寺国家森林公园门票老人票\n\n': ['¥24起']}",,1
第一山First Mountain,http://travel.qunar.com/p-oi711626-diyishan,,,,,,,,,,1
周恩来纪念馆Zhou Enlai Memorial Hall,http://travel.qunar.com/p-oi715888-zhouenlaijinianguan,"

地址:
淮安市淮安区永怀路2号


电话:
0517-85913032

",周恩来纪念馆位于“老淮安”古城，距周恩来故居仅2公里不到。这个获得过国家建筑界诸多大奖的馆区，每幢建筑的棱角、高度都有怀念周恩来的象征意义，整体令人感觉庄严肃穆。在这里，可以了解到周恩来的事迹，看到很多珍贵的实物。馆区的主体建筑排布在南北走向的中轴线上，由南到北依次为瞻仰台、纪念馆主馆、附馆、周恩来铜像和仿北京中南海西花厅。主馆、附馆坐落在中部三面环水的半岛上，和中轴线最北端的西花厅一起，是游客主要参观的三个场馆。主馆分三层。一层为陈列厅，里面以丰富而详实的图片、实物和电视显示屏，介绍了周恩来的一生。二层为瞻仰大厅，中央立着高4.7米的周恩来汉白玉全身雕塑。三层是观景台，可俯看馆区，远眺淮安古城。附馆是周恩来生平业绩陈列馆，有两层。一层设名人字画厅和影视厅，字画厅展出国内外知名人士和书画大家为周恩来纪念馆捐赠的书画作品，影视厅主要放映周恩来生平业绩的影视片。二层为办公用房。仿北京中南海西花厅因为能让游客一窥中南海的神秘，有两层。底层为文物库房和办公用房。二层原比例复制周恩来工作过的西花园，是一方晚清风格的北方四合院。游览馆区，不要漏了周恩来坐过的红旗轿车、2758号飞机，都是露天摆放的。,全年 周二-周日 08:30-16:30;全年 周一 全天不开放,https://img1.qunarzz.com/travel/d5/1703/f5/4addfa2f4888eeb5.jpg_480x360x95_c389ef25.jpg,4.7,建议游览时间：2小时,,"{'周恩来纪念馆电子讲解票大小同价\n\n': ['¥10起'], '周恩来纪念馆私享专业讲解服务(含入园预约)票大小同价\n\n': ['¥518起']}",,1
明祖陵Mingzu Mausoleum,http://travel.qunar.com/p-oi703751-mingzuling,,,,,,,,,,1
樱花园Sakura Park,http://travel.qunar.com/p-oi702327-yinghuayuan,"

地址:
淮安市承德路黄河桥


电话:
0517-83760168

",走进樱花园，首先映入眼帘的是大理石栏杆的揽胜桥，樱花园的桥多姿多彩，形态各异，个性凸显。自西向东，还有卧龙桥、金川桥、花王桥、仙女桥、鹊桥、揽月桥和问梅桥，共计八座。每座桥的桥名都与大家熟知的历史故事有关。樱花园的水引古黄河水而入。说来也怪，原本雄浊东流的古黄河水，引入樱花园中却清澈纯净，游鱼嬉戏，睡莲濯足，在园中满目碧绿的映衬下，像翡翠玉带，把樱花园中金银山、金银滩、狮子山、卧虎岗、爱莲岛、禹王台、梅花岭、情侣岛等山、岗、岛、滩融入一体。樱花园的水不仅是点缀，而且还是儿童的乐园。待会大家到园的东边就可以看到一座设施先进，有人工造浪、高架滑水滑道、环河漂流等项目的水上游乐场所。它为公园营造了一座靓丽的夏日风景。走过了桥，观过了水，自然就要欣赏樱花园的奇石。樱花园初建时，精选奇石11块置于园中，大的40吨重，高7米，小的也有200千克左右。驻云峰直矗苍穹，月挽长虹;鳖背观音脚点鳖头，夸张有趣；火焰山云流峰叠，烈焰腾空；龙马岩非龙非马，荡气回肠。还有天狗望月、禹王石、涂女峰、黄石公、祝融峰、洛神玉座、金鸡报晓等奇石，都以不凡的仪态和神话传说，传达着樱花园奇崛的文化内涵。在樱花园中，还置如熊山、玩蛙喷水、双鹅戏水、老寿星等形象逼真、略经雕琢的奇石和18块利用自然造型、经过深加工形成壁雕或连体雕的奇石，如嫦娥奔月、松鼠偷葡萄、神鹰、熊猫吃翠竹等等。还有21块精雕成艺术品的龙龟、大象戏球等工艺石，为樱花园的景观平添了几分幽默诙谐的乐趣。亭阁楼廊是樱花园的又一重要特色，这里有揽绣楼、盛景亭、报春阁、牡丹亭、丹桂轩、荷风月色亭等14座，单是它们的名字，就引得人们无数遐想。樱棠苑是樱花园中令人神往的景点。400棵樱树和2100株海棠相拥相簇，一下子让樱花园的灵性释放了出来。每到春天，如雪的樱花吐露芬芳；每至秋季，秋海棠盛开醇厚之美，将两个季节在一个花卉园中相烘相托，这是樱棠苑的匠心所在。,全年 08:00-18:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/b693d680d8d3ac06793484085ef66bd6.jpg_480x360x95_74b293dd.jpg,4.4,,,"{'樱花园水上乐园门票成人票\n\n': ['¥19.9起'], '樱花园淮安市樱花园驴迹电子导览（不含门票）票大小同价\n\n': ['¥6起']}",,1
盱眙象山国家矿山公园Xuyi Xiangshan National Mine Park,http://travel.qunar.com/p-oi10011449-xuyixiangshanguojiakuang,,盱眙象山国家矿山公园，位于盱眙县城区北部，淮河大桥右侧，项目区占地面积2平方公里，是清朝后期就进行露天开采建筑石料的百年老矿。矿区于2002年关闭，全面进入地质生态环境恢复治理和矿山公园开发建设，包含矿山地质博物馆、地质遗迹展示区、采矿实际展示区、象山大峡谷景观区、河滨亲水花园区、矿山生态工程区，公园核心景区总面积3平方公里，规划总投资1.5亿元。,,https://flight-feed.qunarzz.com/as3/180/image/poi_vishnu/18518ebb-6a29-4b85-a967-8d5f668d4e20.jpg,4.5,建议游览时间：2小时 - 4小时,,具体收费情况以现场公示为主,,1
