名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
杨梅坑Yangmeikeng,http://travel.qunar.com/p-oi7639153-yangmeikeng,"

地址:
深圳市龙岗区东山社区


电话:
0755-84423986

",杨梅坑位于深圳大亚湾南澳的西北，是一处临海的山丘，有青山、溪流、大海，景色很美，被誉为深圳美丽的溪谷。由于这里离市区较远，没有过多开发，所以保留了一片比较原汁原味的休闲之地。杨梅坑的海水要比大梅沙、小梅沙清澈许多，但沙滩上石头比较多，可以下海踩水，但不是个特别适合玩沙子的地方，可以骑自行车环行，或者相约朋友来吃烧烤、海鲜。杨梅坑有一条接近大海的自行车骑行带，沿路一面是山一面是海，还有一条溪流和一个小湖泊，应该是深圳较具浪漫气息的滨海休闲带了。在海边骑单车看海非常舒服，尤其是情侣可租一辆双人自行车，沿海骑车特别浪漫。一路骑到鹿咀山庄尽头的悬崖边，这里便是深圳海岸线的东边，可以走到山坡上看景拍照，视野不错，如果是傍晚时候来，夕阳很美。因为这里独有的浪漫情调，深圳许多情侣都会选择这里作为婚纱照的外景拍摄地。在杨梅坑游玩，经常会看到一对对新人在这儿拍婚纱照，也成了杨梅坑的一道风景。,全天开放,https://img1.qunarzz.com/travel/d0/1508/20/d9df679971280b.jpg_480x360x95_53ecbb62.jpg,4.4,建议游览时间：2小时 - 4小时,旺季：4-10月，淡季：11月-3月。广东气候温和，四季皆可游玩。,"{'大鹏古城+烧烤+较场尾+杨梅坑鹿嘴人鱼岛+快艇出海/游艇出海\n\n': ['¥88起'], '游艇出海30分钟+大鹏古城+较场尾+杨梅坑+鹿嘴山庄+沙滩自由活动+海滨烧烤纯玩一日游\n\n': ['¥118起'], '快艇+游艇出海+烧烤+金沙湾+大鹏古城+杨梅坑+较场尾\n\n': ['¥138起']}",停车场附近几百米有租自行车地方，带遮阳篷的单车大约每小时10元/人，无篷的大约每小时5元/人，要交些押金。自行车骑行路线：深圳-罗湖-莲塘-大小梅沙-溪涌-葵涌-大鹏-水头-杨梅坑,1
玫瑰海岸Rose Coast,http://travel.qunar.com/p-oi7568880-meiguihaian,"

地址:
深圳市龙岗区深葵公路


电话:
0755-84234888,0755-84235656

",玫瑰海岸是大鹏湾内的一处绝美海滩，这里沙平水清，海岸上拥有众多城堡、花海等梦幻场景，从而成为了深圳热门的婚纱摄影地。面朝广阔无边的大海，脚踩细软沙滩，漫步在玫瑰海岸，惬意又舒爽。沙滩生有万种风情的原生态树林，还有诸多浪漫建筑，彩虹桥是来这必看的，同心锁、一幢幢童话城堡等构建的场景都是拍照的热门场景。除了走走拍拍，沙滩上也不乏体验项目，在这里可以骑上马背，感受别样海景，也可以畅玩沙滩排球等运动项目。,全年 周一-周五 08:00-19:00;全年 周六-周日 08:00-22:00,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/fusion/20195/31570d2f21083b3b69f6d0f517687ac0.jpg_480x360x95_a869d5c9.jpg,4.3,建议游览时间：2小时 - 3小时,四季皆宜。,"{'玫瑰海岸门票成人票\n\n': ['¥36.3起'], '玫瑰海岸旅游度假区门票老人票\n\n': ['¥25起'], '玫瑰海岸旅游度假区门票优待票\n\n': ['¥9.9起']}",特产美食1.笼仔饭荷叶笼仔饭的味道和煲仔饭很像，味道浓厚，有香菇鸡、腊味、卤味、海鲜饭等品种供游客选择。2.鲜沙井蚝名贵海鲜之一。富含蛋白质，生食味道清爽可口，肉质鲜美，风行全球华人。,1
桔钓沙Judiaosha,http://travel.qunar.com/p-oi6805392-jiediaosha,"

地址:
深圳市龙岗区X260(新东路)


电话:
0755-28329790

",沙滩很大，沙质特别好，沙粒很细很白，当地人为此把这个沙滩称为“银滩”。整个沙滩就像一弯新月似的镶嵌在碧海蓝天之间。这里的树影婆娑，海风轻柔，整个海湾绵延一公里。三面青山环抱，一面海天一色。海滩弥漫的温馨和浪漫是别的海滩难以企及的。海滩面积不是非常宽阔，但有洁白如银的细沙，蔚蓝眩目的海水，海滩旁是一丛高高大大、郁郁葱葱的树林，名字也特别怪，叫木麻黄。明媚的阳光，蔚蓝的海水，洁白的沙滩和醉人的海风，让桔钓沙成为一个理想的海滨旅游度假胜地。,全天开放,https://img1.qunarzz.com/travel/poi/1409/24/f5b85766dbb0b906ffffffffc8d65eac.jpg_480x360x95_9915d71a.jpg,4.1,建议游览时间：3小时,夏季,"{'深圳七娘山飞虎越野车【越野车/真人cs体验】\n\n': ['¥88起'], '【酒店套餐】深圳曼湾禾田居度假酒店1晚+双早+双人海鲜晚餐+亲子中心\n\n': ['¥618起']}",,1
大鹏所城Dapeng Ancient City,http://travel.qunar.com/p-oi714533-dapengsuocheng,"

地址:
深圳市龙岗区南门东路


电话:
0755-84319488

",大鹏所城始建于明洪武二十七年（公元1394年），是明清两代南中国的海防军事要塞，深圳现在被称为“鹏城”就是来自这里。明代时这里出过很多知名的将军，比如武略将军刘钟、赖氏“三代五将”等，所以这里也有“将军村”的美誉。如今的大鹏所城，还保留有古香古色的城门、城楼、古街道和古民居，在这里可以看到很多曾经的将军府，还有海防军事相关的文物，是了解近代军事史的好去处。,全天开放,https://img1.qunarzz.com/travel/d1/1504/81/f66bf7dd7ce3d4.jpg_480x360x95_4794243a.jpg,4.3,建议游览时间：2小时 - 3小时,选择天气凉爽、气温适宜的秋季日子最佳,"{'大鹏古城+烧烤+较场尾+杨梅坑鹿嘴人鱼岛+快艇出海/游艇出海\n\n': ['¥88起'], '游艇出海30分钟+大鹏古城+较场尾+杨梅坑+鹿嘴山庄+沙滩自由活动+海滨烧烤纯玩一日游\n\n': ['¥118起'], '快艇+游艇出海+烧烤+金沙湾+大鹏古城+杨梅坑+较场尾\n\n': ['¥138起']}",大鹏所城为全国重点文物保护单位和国家历史文化名村，游客在游览期间必须遵守有关规定， 不得吸烟及从事任何有损于古城文物和建筑的行为，否则将依法追究责任。,1
背仔角,http://travel.qunar.com/p-oi8666444-beizijiao,"

地址:
深圳市盐田区背仔角

","背仔角被称为深圳东部最清爽的海滩。在这里可以充分体验滨海大自然的乐趣，宜公司聚会,同学聚会,家族聚会,宠物聚会等户外活动，还有五颜六色的贝壳和珊瑚石向你招手，非常值得一去！",全年开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/6db84ae29394c3208fa34e515c7d0ce6.jpg_480x360x95_0c8251ad.jpg,4.3,,四季均可。,免费,,1
南头古城Nantou Ancient Town,http://travel.qunar.com/p-oi710524-nantougucheng,"

地址:
深圳市南山区南头天桥北8米处(深南大道旁)


电话:
0755-26669990

",南头古城又称新安古城，始建于东晋时期（公元331年），距今已有1000多年的历史。如今的古城区尚存有南城门和东城门，夹在两旁的民居间。漫步其中有文天祥祠、新安烟馆等历史遗迹。南门外还有着一座南头古城博物馆，这里展示了许多文物，静静诉说着古城昔日的辉煌。,全年 全天开放,https://img1.qunarzz.com/travel/poi/1706/88/456aefd848cce37.jpg_480x360x95_07a67a65.jpg,4.2,建议游览时间：2小时,四季皆宜。,具体收费情况以现场公示为主,,1
水头沙,http://travel.qunar.com/p-oi8666466-shuitousha,"

地址:
深圳市龙岗区水头沙

",水头沙除了海滩有名外，最有名的莫过水头沙海鲜街的美食，这可是至深圳知名的海鲜集中地之一，海鲜街拥有八家专营海鲜餐厅，提供海鲜出售以及海鲜加工。清吧美食街则是由八家不同风格的餐厅以及休闲店铺组成，为居民和游客提供独特的饮食以及娱乐场地。,全年开放,https://img1.qunarzz.com/travel/d2/1707/2c/66fa7663cc8d57b5.jpg_480x360x95_165841e3.jpg,4.7,,四季均可。,免费,,1
凤凰古村Fenghuang Ancient Village,http://travel.qunar.com/p-oi10023045-fenghuanggucun,"

地址:
深圳市宝安区沙井镇福永街道凤凰社区凤凰村


电话:
0755-85264050

",凤凰古村的历史可追溯到元明时期，据说是由民族英雄文天祥的后人们自发建造而成。漫步在石板路上，感受这里充满历史气息的古建筑，文氏宗祠、凤凰古塔等依然矗立。古村的房屋多是以花岗岩或红砂岩为墙基的砖木结构，壁画、木刻活石刻纹饰等遍布其中。,全年 全天开放,https://img1.qunarzz.com/travel/d2/1809/28/3c3883fd4dfb74b5.jpg_480x360x95_083d112a.jpg,4.1,建议游览时间：3小时 - 4小时,,具体收费情况以现场公示为主,,1
大鹿湾,http://travel.qunar.com/p-oi8666360-daluwan,"

地址:
深圳市龙岗区大鹿湾

",大鹿湾地处深圳南澳半岛西南部，属于三无沙滩。无公路、无人烟、无人管，只能坐大飞航海20分钟才可到达，沙滩上怪石林立，沙少石多。沙呈银白色，保持自然状态。这里的海水很清，在离沙滩几十米远的地方，都能见到海底。是目前深圳南澳半岛最后一片驴友们的露营天堂。,全年开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/f232f2a9cfdb4bb6156b8beb49c55eaf.jpg_480x360x95_13f7e1fe.jpg,4.0,,四季均可。,免费,,1
甘坑古镇Gankeng Hakka Town,http://travel.qunar.com/p-oi9555041-gankengguzhen,"

地址:
深圳市龙岗区布吉吉华街道甘李路18号


电话:
0755-89328887

","甘坑古镇位于龙岗区布吉街道甘坑社区。甘坑村是一个有着悠久历史的村庄，早在三百五十多年前就有客家人来此定居，现在由北大研究院总体规划，打造成了以客家文化为特色，集农耕体验和水乡风情的古村落。2014年的文博会，这里还是主会场，全方面的展示了客家文化。
景区主要分为两大部分，甘坑古镇和生态公园。甘坑古镇上有古建筑、炮楼，民居改造的商铺和餐厅，湖边还有颇具特色的吊脚楼。值得看的是有两百多年历史的状元府还有雕梁画柱、非常精致的南香楼。
生态公园里种植了各种无公害的瓜果蔬菜，还养殖了很多家禽。游客不仅可以欣赏原生态的田园风光，还能亲手采摘，很有乐趣。
吃客家菜和各地小吃也是景区的一大亮点，盐焗鸡、客家盆菜都是客家菜的代表，用新鲜的食材制作更为美味，一定要尝试下。
  ",甘坑客家小镇全天开放，园内景点项目：小凉帽农场营业时间：10:00-18:00，凤凰谷黄志博物馆营业时间：10:00-18:00，小凉帽剧场：14:00-18:00。,https://tr-osdcp.qunarzz.com/tr-osd-vs-dapp-ugc/img/3450116893461ad88b2f324e38c74c15.jpg_480x360x95_bf3ce3e4.jpg,4.3,建议游览时间：12小时 - 3天,,"{'甘坑古镇凤凰谷黄志博物馆门票成人票\n\n': ['¥26起'], '甘坑古镇凤凰谷黄志博物馆门票儿童票\n\n': ['¥13起'], '悦野露营地小天幕烤肉套餐成人票\n\n': ['¥788起']}",,1
