名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
南麂列岛Nanji Mountain Islands,http://travel.qunar.com/p-oi702740-nanjiliedao,"

地址:
温州市平阳县 南麂镇


电话:
0577-63739067,0577-63653991

",南麂山列岛位于浙江省平阳县东南海面，由52个岛屿组成，海洋风光秀丽，自然环境保持良好，是教科文组织划定的世界生物圈保护区之一。距陆地较近的鳌江镇30海里，距温州市70海里。南麂列岛分大沙岙、三盘尾、竹屿百屿三大景区，拥有景点75处。岛上山秀、石奇、滩美、草绿、海蓝、空远，环境独特，生物种类多样，贝藻资源丰富，有“蓝色牧场”、“碧海仙山”、“贝藻王国”之美誉。南麂列岛拥有各类景观180多处，充满了自然的天韵和神话般的魅力，具有独特的海岛风味和地方色彩，是集科研考察、旅游观光、避暑度假、渔家乐为一体的海上乐园。景观以大沙岙（澳）金沙碧海、奇峰异石、海岛平原、大擂水仙较为有名。南麂大沙岙海滩宽800米，长600米，水质、沙质皆属上乘，是中国罕见的贝壳沙质海滨大浴场；海上日出，气象万千；海洋奇观“海市蜃楼”时有出现。南麂列岛不禁山水景观奇妙，生物景观也非常丰富。南麂是浙江省四大渔场之一。贝类、藻类种数均占全国总数的五分之一以上，故有“贝藻王国”之称；大擂岛水仙满山遍野，花香扑鼻；三盘尾自然草坪面积63亩，绿草如茵，人入其内，疑进仙境。,全年 全天开放,https://img1.qunarzz.com/travel/poi/1707/21/fd718255d6cf9937.jpg_480x360x95_43806e1b.jpg,4.5,建议游览时间：6天,,具体收费情况以现场公示为主,,1
雁荡山Yandang Mountain,http://travel.qunar.com/p-oi703631-yandangshan,"

地址:
温州市乐清雁荡镇雁山路88号


电话:
0577-62178888,0577-62246218


官网:
http://www.wzyds.com/

",雁荡山沿着东海分布在浙江东南，频繁的火山运动留下了锐利的山峰、擎天的石柱、壮阔的石墙和令人迷醉的色彩。雁荡山无疑是温州旅游炙手可热的景点，于是牵强地有了东、南、西、北、中雁荡的说法。其实西雁荡指的泽雅，东雁荡指的洞头，南北雁荡更是相距百余公里，相互之间并无关联，所谓“雁荡山风景区”指的仅是北雁荡，也是大多游客心中雁荡山的代表。北雁荡的三绝是大龙湫、灵峰夜景和灵岩飞渡，除了以上的核心景区，北面较远的显胜门、仙桥，东面的羊角洞等。,全年 06:30-18:00,https://img1.qunarzz.com/travel/d1/1712/7c/fe4f59fdfa5125b5.jpg_480x360x95_e6f093b3.jpg,4.6,建议游览时间：6天 - 9天,属亚热带海洋性气候。冬无严寒，夏无酷暑，四季分明，年降水量为 1800亳升左右，以5至9月份降水量较多。春天多雨雾，是看云海的好时机，也是观赏山花和飞瀑流泉的最佳季节。夏天凉爽，6－9月份月平均气温在2°C，泉水清澈，使人悦目快心，因此不仅是游览胜地，也是避暑休养的佳境。秋游雁荡，天高气爽，层峦叠嶂，一览无余，满山红叶，美不胜收。雁荡山冬暖夏凉，气候调和，空气新鲜，冬日银装素裹，别有一份情调。四月到五月的雨后初晴时节春、夏、秋季是雁荡山的最佳旅行季节，5、6、8、9月雨水丰富，此时观赏，巍为壮观，尽显雄姿。 　,"{'雁荡山灵岩景区门票成人票\n\n': ['¥50起'], '雁荡山灵岩景区门票儿童票\n\n': ['¥25起'], '雁荡山大龙湫景区门票成人票\n\n': ['¥50起']}",1、山区旅游，除了响头岭周边的景点有景区公交前往外，其他众多景区、景点交通不便，有些还需走较远山路，如果深度游，最好在当地包车（包一整天一般150-200元），且需带足干粮，水是必备的。2、雁荡地处山区，夏季前往最好带上“蚊不盯”，当地蚊子的来势凶猛，最好出门、睡觉前多喷喷，防止被咬。,1
楠溪江风景旅游区Nanxi River Scenic Area,http://travel.qunar.com/p-oi705503-nanxijiangfengjinglu:,"

地址:
温州市永嘉县楠溪江风景区


电话:
4008269978


官网:
http://www.nxj.cn/

",楠溪江由北往南曲曲折折贯穿整个永嘉，是浙南地区最令人神往的一片山水。登山探幽、漂流赏水，甚至只是漫步江边，都让人不忍离去。而点缀其中的古村落中，旧时的书院、宗祠比比皆是，颇有韵味。尤其是春夏之交，溪流和田园如梦似幻。在楠溪江的上、中、下游共辟有8个景区，中游地带的狮子岩景区内的岩头镇是游人的食宿大本营，游人可乘坐由此开往各乡镇的班车四处游览。镇上普通标间平时百元上下，不过节假日可能有较大的涨幅，且最好提前预订。旅游区内的几个主要景点玩下来大概需要两三天，不过各景点分开售票，游人可自由选择。大部分地区都可以从瓯北客运站乘车到达，自驾更方便。从火车站步行5分钟即可到达岩头古村的丽水街，以岩头为界，岩头周边的狮子岩不仅有开阔的江面，也是热门的漂流地。芙蓉古村和苍坡古村从岩头镇步行都在20分钟左右，坐三轮车只要几块钱，算得上原汁原味的古村落，适合摄影和人文爱好者。西边小楠溪段的大若岩景区包括了崖下库、陶公洞、九漈石门台等景点，走崖下库的悬空栈道，看九漈石门台的瀑布，是最值得体验的部分。大若岩东侧的埭头古村是保存比较完整的古民居村落，而更深处的茗岙梯田则是摄影爱好者喜欢的去处。岩头东北的鹤盛附近有石桅岩、龙湾潭等具有雁荡特质的景点，以山石景点为主，可爬山赏景，并不会太消耗体力。瓯北到鹤盛坐中巴只需15分钟左右，不过通常还需包三轮车到景区，鹤盛镇上有农家乐提供食宿，但石桅岩景区下入口附近，以烤全羊出名的岭上人家更受亲睐。除了以上游人常去的景点，岩头北侧的上游有林坑、屿北和青龙湖，东北东南有枫林和花坦等古村，更适合不走寻常路的游客，这些地方距离岩头都不算太远，通常可坐中巴再换一段三轮车抵达。近一些的枫林甚至可以直接坐三轮车过去（5公里左右）。漂流是楠溪江不可错过的活动，坐在竹筏上欣赏楠溪江景色是非常经典的游玩方式。漂流价格取决于你漂流的地点，从北到南有渡头、小港、楠溪江二桥、狮子岩、龙河渡五处渡口。周边的青龙湖景区可乘竹筏看莲花岩、大桥和漂亮的河滩。大若岩景区也有小楠溪漂流，通常有竹筏也有皮划艇。,全年 08:00-17:00,https://img1.qunarzz.com/travel/d4/1703/10/f5432da29a2dabb5.jpg_480x360x95_b23d4e71.jpg,4.6,建议游览时间：3天 - 6天,四季皆宜楠溪江四季如春，气候宜人，因此到楠溪江，不必要挑特别的日子，重要的只是你什么时候能从繁忙的工作中脱身。春天与秋天是楠溪江最美的季节：春天，楠溪江犹如一个刚从梦中醒来的少女，格外地婀娜多姿；秋季，则又如盛装的少妇，绚丽夺目楠溪江是亚热季风气候，四季温和，雨量充沛，光照充足。春季（3月-5月）：春雨绵绵，温度适中，楠溪江已姹紫嫣红，溪水清澈。夏季（6月-8月）：适合避暑。可坐着竹筏常有楠溪江，观赏杂技。秋季（9月-11月）：秋意浓厚，日落日出之际，晚霞映湖，风景如画。冬季（12月-次年2月）：温度较低，要遇上雪天，银装素裹，整个楠溪江都是白茫茫一片。四季皆可，春季观百花齐放，夏季避暑泛舟，都十分惬意。,"{'石桅岩门票成人票\n\n': ['¥45起'], '石桅岩门票优待票\n\n': ['¥25起'], '龙湾潭国家森林公园门票成人票\n\n': ['¥55起']}",1、景区内瀑布较多且有些地方水流湍急，穿拖鞋比较方便。最好不要让水弄湿了衣、鞋破坏好心情，特别是在秋天较有凉意的时候。最好去之前能打听一下水量更好，水太大或是水小都不能漂的。2、景区内游玩吃饭的地方相对镇中心区和成舍来说较少，可以稍自带八宝粥等食品。3、6月份到楠溪江，要带好防蚊水或是花露水之类，山上绿化好，蚊虫也很多。4、夏天漂流最好带上伞，涂好防晒霜，水面上无遮无拦，很晒。5、初次到楠溪江旅游，且对住宿没有过多要求的游客因不熟悉各乡镇环境最好选择住在大楠溪景区所在的岩头镇镇上。再以岩头为中心，乘车前往其他景区游览各景点，也距离不远且交通方便。6、景区住宿房间数量有限，黄金周期间最好提前预定。,1
江心屿Jiangxin Island,http://travel.qunar.com/p-oi716010-jiangxinyu,"

地址:
浙江省温州市鹿城区望江东路119号


电话:
0577-88201193,0577-88201281

",江心屿位于温州市区北面的瓯江中，是一个东西长、南北窄的江中岛屿，也是温州城区值得一逛的地方。岛上不仅有始建于南宋的东西塔等古迹，也有当年的英国驻温州领事馆旧址，在这里，你可以看到从南宋到开埠各个不同时期的温州历史。景区包含东园（江心公园）和西园两个主要部分，西园主要是游乐设施，诸如水上世界、儿童乐园，适合小朋友；东园则多是人文景点和古迹，江心寺、东西塔等主要景点都集中在这里，也是岛上游客较多的地方。由东瓯大桥自驾可到西园附近，但游人多会选择乘车至江心码头，再坐一小段轮渡，由东园上岛。岛上通常步行游玩，夜晚的江心屿，树影婆娑中两岸繁华的夜景，是到访这个岛屿的一大理由。游船停靠在江心屿东南，上岛后首先看到的便是英国驻温州领事馆旧址，英伦风的建筑很是雅致，如今此处已是一间私人会所。领事馆周边，常会遇到新人在这儿取景拍婚纱照，晚上在一旁的花园酒吧就着江风喝杯啤酒，欣赏瓯江夜景也是十分惬意的事儿。由此沿着右边的路走，不远便可到达东塔。高二三十米的东塔和西面的西塔是岛上引人注目的建筑，东塔始建于南宋，由于失去了塔顶的飞檐，如今顶上长出一棵树，很是奇特。西塔晚东塔一百年，每层都有小佛龛，里面有石雕佛像。这两座塔不仅是祈福的地方，而且至今都是瓯江船舶的导航标志。东塔和西塔之间也是江心屿的主要游览区，值得一看的要数江心寺的黄色建筑群。去到江心寺的人大多会被寺院正门两侧王十鹏的叠字对联吸引：“云朝朝朝朝朝朝朝朝散，潮长长长长长长长长消”，后人对这幅对联有不止一种解读，但不管哪种，都是描写江心屿云聚云散、潮涨潮落的美景的。来到这里，不妨自己试着给出自己的答案。江心寺周边，有纪念文天祥的宋文信国公祠和浩然楼，以及一度辟为温州博物馆的兴庆寺、小巧雅致的澄鲜阁。寺院东西两侧各有一个红色景点，西面是温州革命历史纪念馆，东面是温州革命烈士纪念馆，感兴趣可以进去参观。,8:00-22:00,https://img1.qunarzz.com/travel/d2/1711/46/1d91d54d965fd0b5.jpg_480x360x95_01a9dd85.jpg,4.5,建议游览时间：3小时 - 4小时,四季皆宜，春秋最佳。,"{'江心屿手机智能导游讲解服务大小同价\n\n': ['¥10起'], '温州雁荡山楠溪江纯玩3日游-温州旅游主打线路 门票全含\n\n': ['¥808起'], '温州江心屿+雁荡山+楠溪江3天2晚·温州南站免费接送、住宿可升级四星大酒店、赏夜景观瀑布\n\n': ['¥915起']}",一定不可错过江心屿的夜景。,1
洞头村Dongtoucun,http://travel.qunar.com/p-oi25921483-dongtoucun,"

地址:
温州市洞头区

",洞头村又被称为七彩油画村，位于温州市洞头岛国际放生台附近，是一个古老的小渔村。整个村落的房子都是由石头堆砌而成，墙面及街道被画满了涂鸦。站在远处，看着海边一排排五颜六色的房子感觉就像是一个童话世界。走进村子里，随处可见各种“脑洞大开”的涂鸦，每个转角都是一个惊喜。巷子的尽头便是近在咫尺的大海，随处一站，就可以面朝大海、春暖花开。天气晴朗的时候，你可以来这里晒太阳、发呆，或是租一辆自行车，穿梭在街巷中，感受徐徐海风。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/1306e55c58a0569c902125af06e2bad6.jpg_480x360x95_c6a3ef95.jpg,4.6,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
丽水古街Lishui Ancient Street,http://travel.qunar.com/p-oi7336080-lishuigujie,"

地址:
温州市永嘉县楠溪江风景区


电话:
0577-67227555

",丽水古街建于岩头村村落东缘的蓄水堤上，蓄水堤是建于明嘉靖年间，当时地方宗族规定堤上只许莳花种树与建亭，不准筑屋经商。到了清代，岩头村长堤成了担盐客的必经之路。清末之际，长堤发展成为初具规模的商业街。如今的丽水街是岩头村较具规模的商业街。全长300多米，有90多间店面，每间面宽约3米，进深10米，为两层楼建筑。成列的商店前，空出2米-2.5米宽的道路。有屋檐披盖，以利于行人遮阳避雨。丽水街南端是寨墙的南门，门边高阶上有乘风亭。离亭不到50米，还有一座接官亭，重檐攒顶，朴素庄重。两亭与丽水古桥一起为丽水商业等增添了一道亮丽的风景线。,全年 08:30-17:30,https://img1.qunarzz.com/travel/poi/201406/27/90939c649e6b8328ddb12cfb.jpg_480x360x95_07db4bdf.jpg,4.3,建议游览时间：1小时 - 2小时,此地气候宜人，四季都适合前往游玩。,"{'丽水古街门票成人票\n\n': ['¥13.5起'], '丽水古街门票优待票\n\n': ['¥7起'], '芙蓉古村门票+丽水古街门票+苍坡古村门票成人票\n\n': ['¥36起']}",1、6月份到楠溪江，要带好防蚊水或是花露水之类，山上绿化好，蚊虫也很多。2、夏天漂流最好带上伞，涂好防晒霜，水面上无遮无拦，很晒。3、初次到楠溪江旅游，且对住宿没有过多要求的游客因不熟悉各乡镇环境最好选择住在大楠溪景区所在的岩头镇镇上。再以岩头为中心，乘车前往其他景区游览各景点，也距离不远且交通方便。4、景区住宿房间数量有限，黄金周期间最好提前预定。5、入口处收取15元的门票，但是从一些小巷弄进入或是等傍晚过后再去，可以免去门票,1
泰顺廊桥Taishun Lounge Bridge,http://travel.qunar.com/p-oi716304-taishunlangqiao,"

地址:
温州市泰顺县泗溪镇泰顺廊桥文化园内

",泰顺是浙江省南部一个山区县，东北接文成，西北界景宁，南与福建省为邻，总面积1700平方公里，素有“九山半水半分田”之称。境内山高路远，群峰叠翠，千米以上的山峰就有179座，平均海拔490余米。历史上，许多名人贤士为避祸乱，陆续迁移到泰顺这个群峦起伏、人迹罕至的“世外桃源”，创造了具有山区田园特色的地方文明，留下了很多珍贵的历史文化遗产。泰顺廊桥，就是其中很杰出的代表。现泰顺境内保存完好的唐、宋、明、清代的木拱廊桥达30余座，其数量之多、工艺之巧、造型之美以及与周边环境之和谐，在世界桥梁史上堪称一绝，是《清明上河图》中虹桥结构的再现。座座廊桥如瑰宝般镶嵌在群山之间，引起了国内外专家的关注，同时也迎来了泰顺廊桥特色旅游的热潮。廊桥主要分布在泰顺县的三魁镇、罗阳镇、泗溪镇、筱村镇以及洲岭乡，各乡镇之间均有班车相通，交通十分方便，适合自驾或者自助出游。主要廊桥的分布如下：罗阳镇：仙居桥；洲岭乡：三条桥，毓文桥；三魁镇：薛宅桥，刘宅桥，永庆桥；筱村镇：文兴桥，东洋桥；泗溪镇：溪东桥，北涧桥，南阳桥。除廊桥之外，仕阳镇的仕水碇步、雪溪乡的胡氏大院、泗溪镇的包氏宗祠、筱村镇的徐岙底古村都是出名的旅游景点，与泰顺廊桥相映成辉。,全年 全天开放,https://img1.qunarzz.com/travel/poi/201408/06/b6f8b4ac088141e5c8d65eac.jpg_480x360x95_663fe9e4.jpg,4.6,建议游览时间：1小时 - 2小时,四季皆宜。,具体收费情况以现场公示为主,大多数人都能知道廊桥的具体位置，问老年人的话，不要说廊桥，可以问“木头做的桥”或者用本地话叫“柴桥”。 泰顺泗溪镇，北涧桥桥头有间“廊桥文化展览厅”，是当地退休老教师自费建立的，在那里你会对廊桥有一个比较全面的了解。,1
苍坡古村Cangpo Ancient Village,http://travel.qunar.com/p-oi7432224-cangpogucun,,,,,,,,,,1
刘伯温故里百丈漈景区Liu Bowen's Hometown Baizhangji Scenic Area,http://travel.qunar.com/p-oi9205422-liubowengulibaizhangji,"

地址:
温州市文成县百丈漈镇


电话:
0577-59003692

",刘伯温故里景区位于国家生态县浙江省文成县，总面积4.81平方公里，由刘基庙和百丈漈两大核心景区构成。生态环境优美，文化底蕴深厚，民俗风情浓郁，地域特色鲜明，是人文与自然景观交相辉映、集多元文化于一体的综合型旅游休闲度假目的地。 刘基庙，浙南现存具有研究价值的明代木构建筑群，敕建于明天顺二年（1458年），是纪念明朝开国元勋，“立德、立功、立言”三不朽伟人刘基（字伯温）的祠庙，建筑轩敞古拙，气势恢宏庄重。庙内悬挂章太炎、蔡元培、沙孟海等古今名家匾额楹联，妙笔追思，丹青怀远，草行楷隶，诸体俱有，为国内名人纪念建筑所罕见。2001年被列为全国重要文物保护单位。  百丈漈，汇集“天下第六福地”南田诸水而成飞流，自海拨600余米高山绝壁倾泻而下，突奔于深壑巨涧之中，形成阶梯型“三折”瀑布群，总落差353米，单体落差207米，为华夏之一。水似飞珠溅玉，飘纱凝虹；声如怒雷惊涛，撼山震地，蔚为壮观。2013年被上海大世界基尼斯总部认证为“中国单落差较高的瀑布”，同时入选“中国十大名瀑”。,冬季作息时间：北门8：00—15：30；南门8：00—16：00 夏季作息时间：北门7：30—16：00；南门7：30—16：30,https://img1.qunarzz.com/travel/d2/1712/60/ad6d07b5061a36b5.jpg_480x360x95_9897b6d0.jpg,4.8,建议游览时间：2小时 - 3小时,四季皆宜。,"{'刘伯温故里旅游景区—百丈漈门票成人票\n\n': ['¥54.6起'], '刘伯温故里旅游景区—百丈漈门票优待票\n\n': ['¥33起'], '刘伯温故里百丈漈景区门票亲子票(1大1小)\n\n': ['¥88起']}",,1
大沙岙Dashaao,http://travel.qunar.com/p-oi10000654-dashaao,"

地址:
温州市洞头县洞头列岛内


电话:
0577-63473491

",大沙岙海滨浴场即海滨浴场，呈半环抱形，沙滩平坦开阔，沙质属铁板砂，细柔而不松软，走在上面犹如踏在地毯上，舒适惬意。这里是晒日光浴、游泳冲浪的好地方，还可进行沙滩排球、自行车赛，晚间可举行篝火晚会，放歌劲舞，尽情欢乐。沙滩四周奇礁兀立，有海豹回头、猛虎下岗、将军观天、龟石岩等景观。浴场边的南炮台山，可观鸥鸟、听松涛，一洗尘嚣，是赏海上日出的好去处。,8:00-17:00,https://img1.qunarzz.com/piao/fusion/1810/6e/72290bd881f59402.jpg_480x360x95_dfbe1c8d.jpg,4.0,建议游览时间：3小时 - 5小时,,50元,,1
