名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
华山Mount Hua,http://travel.qunar.com/p-oi715456-huashan,"

地址:
陕西省渭南市华阴市华山镇集灵路与华山路交叉口东南1000米


电话:
400-0913-777


官网:
http://www.chinahuashan.com/

",华山古称“西岳”，为中国有名的五岳之一，位于陕西省华阴市境内。华山又有“太华山”的雅称，是中华文明的发祥地，“中华”和“华夏”之“华”，就源于华山。“奇险”两字是华山风光的精髓。“自古华山一条道”形容的就是华山的险峻，景区有长空栈道、鹞子翻身以及在峭壁绝崖上凿出的千尺幢、百尺峡、老君犁沟等多处惊险刺激的景点，亲临其境者，无不叹为观止。华山景区面积辽阔，包括主峰景区、西岳庙景区、仙峪景区等。其中主峰景区是华山的核心景区，包括“华山一条路”和东南西北中五大主峰。大多数人心中的华山，指的就是主峰景区。五大主峰东峰海拔约2100米，因位置居东得名。峰顶有一平台，居高临险，视野开阔，是观看日出的好地方，人称朝阳台，东峰也因之被称为朝阳峰。东峰由一主三仆四个峰头组成，朝阳台所在的峰头较高，玉女峰在西，石楼峰居东，博台偏南。东峰有景观数十余处，位于东石楼峰侧的崖壁上有天然石纹，形似一巨型掌印，这就是被列为关中八景之首的华岳仙掌，巨灵神开山导河的故事就源于此。西峰海拔约2000米，因峰巅有巨石形状好似莲花瓣，古代文人多称其为莲花峰、芙蓉峰。徐霞客《游太华山日记》中记述：“峰上石耸起，有石片覆其上，如荷花。”当指此石。西峰上景观比比皆是，有翠云宫、莲花洞、巨灵足、斧劈石、舍身崖等，并伴有许多美丽的神话传说，其中家喻户晓的沉香劈山救母的故事就流传于此。南峰海拔2100余米，是华山较高主峰，古人称它是“华山元首”。 南峰一侧是千丈绝壁，直立如削，下临断层深壑，同三公、三凤山隔绝。南峰由一峰二顶组成，东侧叫松桧峰，西侧为落雁峰。落雁峰名称的来由，传说是因为回归大雁常在这里落下歇息。北峰海拔约1600米，四面悬绝，上冠景云，下通地脉，巍然独秀，因有若云台，又名云台峰。唐李白《西岳云台歌送丹丘子》诗曾写到：“三峰却立如欲摧，翠崖丹谷高掌。白帝金精运元气，石作莲花云作台。”有名的“智取华山”的故事，就发生在这里。山上景观颇多，有名的有真武殿、焦公石室、长春石室、老君挂犁处等。中峰是去其它四峰必经的之地，居东、西、南三峰中央。峰上树林郁郁葱葱，环境清幽。峰头有道舍名玉女祠，传说是春秋时秦穆公女弄玉的修身之地，因此又被称为玉女峰。主要景观：华山有名的景区多达210余处，从古至今，无数文人墨客在此留下各种经典诗词。长空栈道位于华山南峰东侧山腰上，是华山派宗师——元代贺志真道长为远离尘世静修成仙，在悬崖绝壁上镶嵌石桩，铺上木板而成。走到栈道尽头，能够看到贺掌门修身的“贺祖洞”。修路者在峭壁上凿出石孔，孔中楔进石桩，石桩之间铺上宽约40厘米的木板，游客通过这里，必须身贴崖壁，手拉铁链，脚踏木板，侧身缓慢向前移动。西岳庙又名华岳庙，是历代帝王供奉和祭祀西岳大帝“少昊”的庙宇。它始建于汉武帝元光年间（公元前134-前129年），当时建在华山脚下的黄神谷（今黄甫峪）口。东汉桓帝时（公元147-167年）迁于现址，改为今名，唐宋明清历朝多次重修。苍龙岭上的台阶只有2尺多宽，两旁万丈深壑，势陡如刀削斧劈。岭脊上下高差约500米，坡度在45度以上。在这里遥望青松白云，耳听风声大作，令人心惊目眩。金锁关为华山五关之一，建在三峰口的一座石拱门上，是由五云峰通往东、西、南、中四峰的咽喉要道，锁关后则无路可通，所以又称为通天门。道家认为，华岳为仙乡神府，只有过了通天门，才算进入仙境。所以有“过了金锁关，另是一重天”的民谣。“自古华山一条路”即为“华山峪”登山道，包括了自古以来华山登山道上的沿途各景点，连起来就是通常所说的“自古华山一条路”。游览方式华山有两个山门（进山口）：东山门和西山门（也称华山门）。坐索道上山，前往东山门；如步行登山，从西山门进入。华山目前有东、西线两条索道，分别到达北峰和西峰（购票前请提前规划好登山线路，购买对应票型，中途不可更改。）。线路一：徒步登山路线自古华山一条路，最古老的登山路，全长12.5公里，有9567级台阶，用时4小时左右。由玉泉院徒步出发，经五里关、莎萝坪（夜爬临休）、千尺幢、百尺峡等到达北峰，然后自北峰开始游览。线路二：“西上西下”，适合老人和带小孩游客的登山路线这条路线是华山西峰索道上，西峰索道下，即西上西下，整条线路用时相对较短，4小时左右，也较省体力，对于老人与带孩子的游客比较友好。线路三：“西上北下”，80%游客选择的一日游玩登山路线这条路线是华山西峰索道上，北峰索道下，即西上北下，整条线路是经典的一日游线路，用时6小时左右，不走回头路，各处景点都可以游览到，大部分游客选此条线路还有一点，是因为这条路几乎是一直往下的，相比上山路，轻松、快一点。线路四：“北上北下”，省时、经济、观全景的登山路线这条路线是华山北峰索道上，北峰索道下，即北上北下，整条线路是费用相对低的索道登山线路，如果游览时间有限，可以选择此线路，在北峰游览，北峰有纪念亭、擦耳崖、苍龙岭、华山论剑碑、全景华山等景点。,全年 08:00-16:00,https://img1.qunarzz.com/travel/d8/1609/63/78417f1981c2d7b5.jpg_480x360x95_6261ffa7.jpg,4.7,建议游览时间：3天 - 6天,华山四季景色神奇多变，不同的季节可以欣赏到“云华山”、“雨华山”、“雾华山”、“雪华山”。春季雨足雾稀，万物初醒，山花烂漫，是踏青访春的好去处；夏季能见度高，气候凉爽宜人，可看到日出和山间瀑布，时常伴有云海出现，叹“但闻人语声，不见有来人”之幽境；秋季温度适中，红叶满山，山崖为底松桧为墨，一抹绚烂令人心颤，是登山的最佳季节；冬季白雪皑皑，雪淞峭壁远山相望，给人以仙境美感。而日出则是华山一年四季都不可少的景致。每年4月至10月是最佳登山时间，农历三月十五日是朝山日，会有盛大的庙会和庆祝活动。,"{'华山（玉泉院华山门徒步登山）门票成人票\n\n': ['¥160起'], '华山（玉泉院华山门徒步登山）门票儿童票\n\n': ['¥80起'], '华山（玉泉院华山门徒步登山）门票学生票\n\n': ['¥80起']}",1、山上多风湿气重，在登山之前最好准备几件御寒的衣物，还可携带一个一次性雨衣。2、登华山要穿着软底运动鞋，因为上山台阶较多，穿着运动鞋更轻松一些。3、登山之前最好买一些能补充能量的食物，以便在登山过程中保持体力。4、登山之前要带上足够的水，登山途中也会有卖水的，但是越往山顶价格越贵。5、山顶温度很低，如果没有带够衣服还可以租山上的军大衣穿。6、看日出的最佳位置是在东峰，不过要早点过去占据有利位置。7、如果是晚上登山要备好手电筒，同时要注意脚下安全。月份        日出           日落一月    7:42-7:47  17:45-18:03三月    6:35-7:10  18:35-18:56五月    5:29-5:44  19:08-19:28七月    5:11-5:44  19:44-19:57九月    6:15-6:29  18:04-19:10十一月 6:03-6:24  17:35-18:47,1
西峰Xifeng,http://travel.qunar.com/p-oi721513-xifeng,"

地址:
渭南市华阴市华山风景区内


电话:
400-0913-777


官网:
http://www.chinahuashan.com/

",西峰海拔2082米，又因石叶如莲瓣覆盖峰巅，故又名莲花峰。它由一块巨石浑然天成，西北临空，绝壁悬崖如刀削锯截。东南陡坡下松柏苍翠，清泉如琴。峰南沿着山脊岭有一条通道与东峰相通，长300余米，一面为绝壁，一边是斜坡，也是华山险道之一。西峰景观很多，可以看到翠云宫、斧劈石、摘星辰、舍身崖、巨灵足、杨公塔等。西峰是华山非常秀丽险峻的山峰，也是《宝莲灯》中沉香劈山救出三圣母的地方。现在翠云宫边上有一巨石中间裂开，切面笔直如被斧劈，名“斧劈石”。旁边还树立一柄长把大斧。攀上斧劈石，可以看到岩石间隙的地面上隐约有人形，似一个女子侧躺，据说就是三圣母被压在此留下的痕迹，为传说更增添了些奇幻的色彩。翠云宫为西峰上的主要建筑，也是山上唯一保存完整的一所建筑。它为两层四合院形式，前殿作为旅社。东殿是解放前“智取华山”时，伪保安六旅旅长韩子佩逃上华山后，以西峰为指挥部，他本人和主要人员就住在东殿的房间里，现在还有他住过的大床及用品。后殿供有三圣母像。,全天开放；华山西峰北峰索道运营时间均为：7:00-19:00。,https://img1.qunarzz.com/travel/d9/1703/65/5a3b1c76827611b5.jpg_480x360x95_d4b348e3.jpg,4.7,建议游览时间：1小时 - 2小时,春夏季节最佳，这个时候景致最好，温度也不会太低。冬季爬山时山顶温度太低，危险度也增高。,"{'华山门票+北峰单程进山巴士票成人票\n\n': ['¥180起'], '华山门票+北峰进山巴士(单程)票学生票\n\n': ['¥100起'], '华山门票+北峰进山巴士(单程)票老人票\n\n': ['¥20起']}",1、山顶温度较低，注意带上御寒的衣物。2、爬山的时候注意安全，“走路不看景，看景不走路”。,1
十二连城,http://travel.qunar.com/p-oi712095-shierliancheng,,"在潼关县东约3公里的禁沟两岸,禁沟自秦岭之蒿岔口起，北至下屯村原头，南北共长约15公里。沟底由于长期山水的冲刷,形成宽3O米的平坦斜坡道，成为通往潼关城後侧一条军事要道。自唐代到明清，为了潼关的安全，沿禁沟两岸夯筑方形土台12个，每个底边长10.5米，宽11米，高7。6米，夯层厚9至14厘米，是防御性的军事堡垒。由于与潼关基本相连接，故俗呼为“十二连城”。现在城无存,烽火台存在。",,https://img1.qunarzz.com/travel/poi/201211/15/5cd010f7f64ea332ddb12cfb.jpg_480x360x95_35ec093d.jpg,5.0,,,,,1
黄渭洛三河汇流区,http://travel.qunar.com/p-oi38337112-huangweiluosanhehuiliu,,,,,--,,,具体收费情况以现场公示为主,,1
潼关黄河古渡口,http://travel.qunar.com/p-oi36176093-tongguanhuanghegudukou,"

地址:
渭南市潼关县潼关黄河风景区北部

","潼关黄河古渡口位于潼关古城景区北部,地处黄河水利风景区。这里东揽黄河铁路大桥和公路大桥；西临渭河、洛河；南靠女娲山；北隔黄河与山西相望。是黄河金三角经济圈的亮点,陕西东线旅游的新星。 潼关黄河古渡口风景区集文化旅游、休闲度假、自然风光于一体，有明清城墙遗址、北水关城楼、曹公渡等历史遗址；有娘娘胡、红柳林、黄河湿地等自然风光；有黄河老腔、古潼会等地方非物质文化遗产；有明清建筑的餐饮一条街；有辐射三省的研学基地。 天下黄河第一弯，黄河古渡口欢迎您！古渡口...潼关黄河古渡口位于潼关古城景区北部,地处黄河水利风景区。这里东揽黄河铁路大桥和公路大桥；西临渭河、洛河；南靠女娲山；北隔黄河与山西相望。是黄河金三角经济圈的亮点,陕西东线旅游的新星。 潼关黄河古渡口风景区集文化旅游、休闲度假、自然风光于一体，有明清城墙遗址、北水关城楼、曹公渡等历史遗址；有娘娘胡、红柳林、黄河湿地等自然风光；有黄河老腔、古潼会等地方非物质文化遗产；有明清建筑的餐饮一条街；有辐射三省的研学基地。 天下黄河第一弯，黄河古渡口欢迎您！古渡口不仅让您能尽赏潼关八景中雄关虎踞、中条雪案、风陵晓渡、黄河春涨之美景。 还可以坐游轮，看三河交汇、河岳相望之奇观，体验一日游三省，一船走三河之神奇；漫步在苍茫的芦苇海和红柳林，赏白鹭高翔，听群鸟鸣唱之旋律，感受生命不息的浪潮。 古关古渡古战场,黄金黄河黄土地。古渡口是您体验关隘文化、民俗文化、地域文化、黄河文化的胜地。",全年 全天开放,,4.5,建议游览时间：1小时 - 2小时,,,,1
潼关黄河风景区Tongguanhuanghe Sceneic Area,http://travel.qunar.com/p-oi35832028-tongguanhuanghefengjing,,潼关黄河湾位于闻名遐迩的古军事名关――潼关古城边，距西安140公里，距华山仅20公里，奔腾南下的黄河，穿秦晋峡谷，“河出潼关，因有太华抵抗而益增其奔猛”（毛泽东语），在潼关古城外，兼容了西来东去渭、洛河水，三河交汇后在此忽急折东流。南界为潼关古城区310国道北界，西起金盆立交桥，东至黄河公路大桥下游的县境内水域滩涂，沿河东西横向长约十公里，水上岸上以及滩涂绿洲可开发面积20平方公里。景区内有黄河、渭河、女娲陵、潼关西城及众多的古战场遗址。经过两年多发展，已初具雏形且已在省内外有相当的知名度，成为集吃、住、游、购、娱及会议功能为一体的风景区。每年省内外及部分国外游客10余万来潼游览，已成为渭南仅次于华山、洽川的第三大旅游接待地。景区设施有：西式酒店一座即威尼斯酒店，中式酒店一座即老白家酒店，两酒店均可餐馆饮、住宿、会议接待等；长100米的西式观河长廊一座，长50米的仿古观河长廊一座；大、中型游轮三艘，小型游船及快艇10余艘，轻型游览飞机一架；小型鸵鸟、孔雀观赏园一处，垂钓园、钓鱼池多处及抗战水泥雕堡原物，潼关古城墙遗迹等。,,,4.5,建议游览时间：1小时 - 3小时,,,,1
梁带村芮国遗址博物馆Liangdaicun Ruiguo Ruins Museum,http://travel.qunar.com/p-oi32788085-liangdaicunruiguoyizhi,"

地址:
渭南市韩城市梁带村


电话:
0913-5358581,0913-5358510

",梁带村芮国遗址博物馆建立在已发掘的芮国墓地遗址西侧，2018年2月1正4式对外开放。基本陈列以“古芮寻微故国韶光”为主题，通过梁带村发现的周代遗址及出土的600余件(组)精品文物，再现了芮国曾经灿烂的历史文化。其中，多件珍贵文物为引人注目，如七鼎六簋、梯形牌组佩、玉剑金鞘、镶金玉韘等。韩城梁带村芮国遗址博物馆于2018年2月14日正式开放，对外展出青铜器、金器、玉器等798件珍贵文物。韩城梁带村周代芮国墓地从2004年考古发掘以来，共发现两周时期墓葬1300座，其中诸侯墓8座...梁带村芮国遗址博物馆建立在已发掘的芮国墓地遗址西侧，2018年2月1正4式对外开放。基本陈列以“古芮寻微故国韶光”为主题，通过梁带村发现的周代遗址及出土的600余件(组)精品文物，再现了芮国曾经灿烂的历史文化。其中，多件珍贵文物为引人注目，如七鼎六簋、梯形牌组佩、玉剑金鞘、镶金玉韘等。韩城梁带村芮国遗址博物馆于2018年2月14日正式开放，对外展出青铜器、金器、玉器等798件珍贵文物。韩城梁带村周代芮国墓地从2004年考古发掘以来，共发现两周时期墓葬1300座，其中诸侯墓8座，出土2万多件珍贵文物。梁带村两周遗址发现于2004年10月，位于市区东北7公里的西庄镇梁带村村北。经过几次考古调查表明，该遗址为两周时期，分墓葬区和遗址区两个部分。,冬季9点～17点30，夏季8:30～18点,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/61d17bd4d9d5e8f3caeea734591c3d7d.jpg_480x360x95_90168cef.jpg,4.8,建议游览时间：2小时 - 3小时,,梁带村门票成人票50元/人，学生票15元/人；每人每日限购一张门票,,1
潼关古城,http://travel.qunar.com/p-oi27338573-tongguangucheng,"

地址:
渭南市潼关县连霍高速（G30）港口出口东1公里

","潼关古城，从始建至唐代，两经迁徙，三地设防，城池多变，设施不一。东汉建立初期，废秦在河南灵宝县创建的函谷关。武帝和献帝先后迁关于河南新安及弘农衡山岭。献帝又于建安年间，迁关于潼关上南门外，即今港口镇杨家庄、城北村一带。潼关之名，始自于此。其建筑情况，志书缺少记载。从其遗迹看，东起远望沟西沿，向西穿城北村至禁沟东岸。东西两面临沟，地势平坦而广阔。南北朝时，北周愍帝宇文觉打败东魏大将窦泰的战斗发生在这里。愍帝取胜后，改潼关为“潼谷关”。""",全年 全天开放,,4.2,建议游览时间：12小时 - 3天,,,,1
潼关黄河湾Tongguan Yellow River Bay,http://travel.qunar.com/p-oi8605070-tongguanhuanghewan,,,,,,,,,,1
中峰Zhongfeng,http://travel.qunar.com/p-oi717494-zhongfeng,"

地址:
渭南市华阴市华山风景区内


电话:
4000913777

",中峰居东、西、南峰中央，略低于三峰，海拔2042.5米。峰上林木葱茏，环境清幽。峰头有座道舍，名为“玉女祠”，传说是春秋时秦穆公女弄玉的修身之地，因此峰又被称为玉女峰。史志记述，秦穆公女弄玉姿容绝世，通晓音律，一夜在梦中与华山隐士萧史笙箫和鸣，互为知音，后结为夫妻，由于厌倦宫廷生活，双方乘龙跨凤来到华山。因此中峰多数景观都与萧史弄玉的故事有关。如玉女崖、玉女洞、玉女石马、玉女洗头盘等。玉女祠建在峰头，传说当年秦穆公追寻女儿来到华山，一无所获，绝望只好建祠纪念。祠内原供有玉女石像一尊，另有龙床及凤冠霞帔等物，后全毁于天灾人祸。今祠为后人重建，玉女塑像为1983年重塑，其姿容端庄清丽，古朴严谨。峰上还有石龟蹑、无根树、舍身树等景观，与其相关的传闻都妙趣横生，从不同角度丰富了中峰的内涵，增添了中峰的神奇与美丽。,具体开放时间请咨询景区,https://img1.qunarzz.com/travel/d2/1710/6c/2407bdd70584ccb5.jpg_480x360x95_5d5fe3aa.jpg,4.5,建议游览时间：1小时 - 2小时,四季均可爬山，只是冬季下雪时候比较危险，最适宜的季节是夏季，也是看日出的最佳季节。,包含在华山景区内，通用华山景区门票。,华山山势陡峭，爬山的时候要注意安全。,1
