名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
南浔古镇Nanxun Ancient Town,http://travel.qunar.com/p-oi714860-nanxunguzhen,"

地址:
湖州市南浔镇人瑞路51号


电话:
0572-3016999


官网:
http://www.chinananxun.com/

",南浔古镇历史悠久，河流穿镇而过。南浔自古富人居多，建筑也都是富户的优美庄园，而且由于西洋风曾经在此盛行，所以南浔也是中西风格合璧的古镇，高贵优雅。古镇面积不大，若是走马观花游玩一圈大概小半天即可完成。镇上还可以包船游览，船一般可以乘坐8人。镇上开发了九大景点，多是当年古镇中巨富的私宅和园林，由于南浔的特点便是古时富人多深宅多，而且大多建筑静美，所以这九大景点也是南浔的主要景观。游览路线游览南浔古镇可以从小莲庄开始，园内的荷花池和众多奇异花木结合园林非常雅致，可以观赏拍照。小莲庄旁边便是嘉业堂藏书楼，现在即是景点也是一座图书馆，进入其中静心悦目。游览完两处景点后来到小河边，小河两岸即为南东街和南西街，两条街中间有几座小桥相通。沿着河边可以一直向北步行，街两边便是景区内的几大景点，分别为张石铭旧宅、求恕里、刘氏梯号、广惠宫、丝业会馆等，既有庄园老宅，又有特色的当地蚕丝工业的历史展示，各具特色，可以一一前往游览。百间楼和张静江故居在南东街尽头的河对岸，在百间楼每天早晚都可以看到当地人淳朴的古镇生活，是谋杀胶卷的胜地。在这边街道中间小河上还有精彩的鸬鹚捕鸟表演，非常有趣。吃饭住宿街上还有几家手工作坊，可以购买当地特色的糕点小吃。沿南东街经过丝业会馆之后，右手边是便民路，路上有多家小吃店，尤其是面馆比较多，可以在这里尝一碗江南特色的双交面。若要在南浔住宿一晚，可以选择百间楼附近的特色客栈。在百间楼南侧的东大街上，客栈依河而建，古朴典雅。但古镇上的住宿价格也要稍微高一点，若想要价格便宜的住宿可以步行十几分钟到古镇旁边的泰安路或同心路上，有多家宾馆，房价也比较实惠。,全年 08:00-17:30;全年 08:00-17:00,https://img1.qunarzz.com/travel/d6/1708/9b/58e449ad0244b8b5.jpg_480x360x95_804b6eb6.jpg,4.6,建议游览时间：12小时 - 3天,南浔区气候属北亚热带季风气候区，湿润温和，四季分明。春季，小莲庄的紫藤花盛开，夏季荷花盛开，秋季秋风送爽，冬季寂静悠远。作为江南小镇来说，游览它并不需要好季节，只需要一个好心情。春秋。南浔夏季南方高温，冬季严寒，因此春季和秋季气候更加温和，适合出行。,"{'南浔古镇门票成人票\n\n': ['¥10起'], '南浔古镇门票双人票\n\n': ['¥140起'], '南浔古镇门票亲子票(1大1小)\n\n': ['¥99起']}",1、 古镇商业气氛还没那么浓，晚上8点一过，很多店面都会打烊，古镇黑漆漆的，建议喜欢夜游的朋友不要太晚回去；2、夏季南浔很热，出门尽量避开中午，一定要涂防晒霜；3、南浔话俗称“南浔言话”、“南浔闲话”，属于吴语太湖片，外地人很难听得懂。景区内大部分人都会说普通话，不过要想听懂当地人的交谈可能要费些心思了；4、景区内的人力车经常会出现自行添加行程多要钱的情况，乘坐前要讲好行程价钱。,1
云上草原Cloud Grassland,http://travel.qunar.com/p-oi26530883-yunshangcaoyuan,"

地址:
浙江省湖州市山川乡高家堂村


电话:
0572-5050888

",云上草原国际山地旅游度假区位于浙江安吉，深入践行“绿水青山就是金山银山”的重要思想，利用南方稀缺的高山自然资源，推动生态度假旅游全域发展，重点打造了“高山悬崖游乐、星空滑雪、野奢酒店群”三大内核板块及民宿、温泉度假等配套项目，带来“春赏花、夏避暑、秋登山、冬滑雪”的高山四季度假全体验，造就了“云上一天 草原四季”的独特美域。度假区以生态引领、旅游支撑、度假主导形成“三位一体”发展机制，高山核心体验区“雪岭峰”、轻养归隐生活区“云山境”、山地运动长廊“七星谷”、购享主题街区“云尔加湖”、田园乐世界“云朵农场”五大板块日渐成型，同时，还将立足山地、森林、溪流等生态环境资源，做足“山地观光、山地运动、山地度假、山地康养”文章，打造集观光游览、休闲度假、山地运动等旅游业态为一体，服务与设施综合性特色山地旅游度假目的地。云上草原滑雪场，被称作家门口的“北方”雪场，地处华东2.5小时交通圈，杭州自驾50分钟直达。雪场坐落于海拔1168米雪岭峰，项目总面积达20万平米，可同时容纳1万多人滑雪。2021年底全新开放长度1.2公里的高级滑雪道1条、1.2公里的中级滑雪道1条，加上原有的初级滑雪道1条、练习道2条，共计5条雪道。雪场配备雪道硬件设备，采用专业雪具，露天云汤、云街、多功能滑雪服务大厅提供一站式滑雪娱乐度假，官方三大酒店出门即滑雪，可谓是南方体验良好的高山冰雪旅游度假区。,全年 09:00-17:00,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/fusion/20219/1affb06d62b7647ac112db8e770aecef.jpg_480x360x95_719536b9.jpg,4.6,建议游览时间：3天 - 6天,,"{'云上草原门票+双程索道票成人票\n\n': ['¥317起'], '云上草原门票+往返索道+景交车接送票成人票\n\n': ['¥318起'], '云上草原门票+往返索道+景交车接送票儿童票\n\n': ['¥190起']}",,1
莫干山天际森谷山野乐园,http://travel.qunar.com/p-oi37545020-moganshantianjisengushan,"

地址:
浙江省湖州市德清县下渚湖街道上杨村


电话:
0572--8282099,0572--8258099

",莫干山天际森谷山野乐园坐落在杭州和德清交界——下渚湖上杨。 与世隔绝的冒险之都，延续毛利文化，引入新西兰原汁原味、缤纷多彩的户外运动项目，高空探险塔、Luge滑板车、飞拉达、蹦极、滑翔伞、漂流、高空俯冲…环环相扣！ 稚趣无限的童话世界， 天际森谷山野度假区 一切以自然生态为背景，打造了《指环王》中收割无数少女心的“霍比特庄园”，搭坐穿梭于山林间的迷你火车，直达“中土世界”！ 距离杭州市区12公里，距离上海、苏州南京等大中城市2小时舒适交通圈，处于长三角地区旅游目的地的黄金C位。丰富多彩的户外运动、无与轮比的四季风光、呼吸着清新的空气，这里即将成为中国户外运动旅游小镇—中国版皇后小镇。,全年 08:30-17:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/c3ed72223b0d5d31f9aa6b402e131302.jpg_480x360x95_b67aa999.jpg,4.8,建议游览时间：3天 - 6天,,,,1
原乡小镇Yuanxiangxiaozhen Sceneic Area,http://travel.qunar.com/p-oi23344197-yuanxiangxiaozhen,"

地址:
湖州市吴兴区妙西镇肇村村


电话:
17757272667


官网:
http://www.yuanxiangtown.com/

",原乡小镇位于湖州市中心以西12公里的吴兴区妙西镇肇村，是吴兴西塞山省级旅游度假区的核心景区，华东以运动探险为主题的AAAA景区。小镇按照“一馆两园五区”布局，建有全亚洲较大，集蝴蝶养殖、观赏、放飞、科普教育为一体的生态科普馆；坐拥千亩瀛洲梅园，冬末春初，在依山而建的千年枕木观光栈道上，看花开成海，壮观而唯美；还有童心童趣园、原乡湖、吉缘花田、侬情蜜意、原乡农场等参与性、体验性与文化性结合的景观，“西塞山前白鹭飞”，说的就是这里了。原乡小镇景区内设288米落差及酷炫5D的玻璃桥、高空滑翔伞、丛林越野车、玻璃滑道、彩虹滑草、高标准马场、轨道长约1500米的童话小火车等项目等你来体验！你想体验的惊险，这里统统都有！,9:00-17:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/82be538b3d55629aa59b2584a1b129d5.jpg_480x360x95_80359e4b.jpg,3.7,建议游览时间：3小时 - 5小时,,"{'原乡小镇门票大小同价\n\n': ['¥59.9起'], '原乡小镇门票+玻璃桥+小火车+玻璃旱滑+射箭+滑草+草地卡T车+玻璃漂流+魔毯成人票\n\n': ['¥199起'], '原乡小镇门票+玻璃桥+小火车+玻璃旱滑+射箭+滑草+草地卡T车+玻璃漂流+魔毯儿童票\n\n': ['¥169起']}",,1
莫干山风景名胜区Moganshan,http://travel.qunar.com/p-oi713280-moganshanfengjingming,"

地址:
湖州市德清县莫干山风景名胜区


电话:
0572-8033402,0572-8412345,0572-8033035


官网:
http://www.mogan-mountain.com/

",莫干山景区位于浙江北部德清县境内，山上不仅有茂密的竹林，还有两百多幢颇有韵味的老别墅，宛如世外桃源。这里丰富的自然人文景观和巨大的名人效应，使之成为江浙沪热门的避暑地。景区大致分为武陵村景区、剑池景区、芦花荡公园和大坑景区几部分。大坑景区略远，去往时可乘车，那里上午特别凉快，可安排在第二天上午游玩，其它景区一天走下来不算太费力。剑池从荫山街出发，走下坡路便到了剑池，这里是莫干山的瀑布群，剑池可能比想象中袖珍些，但竹林和瀑布很是清凉。池边有一尊干将、莫邪铸剑的铜雕，是莫干山的标志，游人来这儿总不忘拍张照。芦花荡公园由剑池顺指示上山，十来分钟可走到芦花荡公园，这里有一片碑林，爱好书法的朋友可以前去品鉴。由此上山即是白云山馆，是几座漂亮的老洋房别墅。附近的观日台是看日出的好地方，第二天不妨起个早来此看日出。松月庐往武陵村方向走，可至松月庐，松月庐是蒋介石官邸。它是两层小别墅，装修很简单，一楼会客，二楼起居。值得一提的是官邸附近还有不少别墅，甚至有些看起来比松月庐大气许多，很有观赏价值。如果天气晴好，可继续往山下走，过滴翠潭到半山腰的旭光台，这里地理位置佳，前可遥望壮丽河山和繁华市镇，后可远观莫干山上形形色 色的别墅，景色非常不错。大坑景区相较山上的热门景点，大坑景区显得比较低调，怪石角层层叠叠的怪石很是壮观，视野也十分开阔。尤其是上午格外凉爽，时间充裕不妨在此多逗留一会儿。吃饭住宿来到莫干山的游客大多是自驾或跟团来的，自助游则可先到德清而后转乘巴士到达景区。如果紧凑安排，可一日游玩山中的经典景点，但如果想要休闲纳凉，那么建议至少住一晚。住宿可以选在景区内荫山街附近，或者山下的莫干乡。荫山街是景区的中心，也是旅游集散地，周边有皇后饭店、剑池山庄、吴越度假村等酒店，也有好些饭店可以吃饭，可将此地作为游玩大本营。莫干山以竹子著称，兰花鞭笋是当地特色，生炒石鸡也是一定要尝尝的特色菜，一般小店都能吃到。,全天开放；室内景点：8:30-16:30。,https://img1.qunarzz.com/travel/d7/1706/b5/a533921af57394b5.jpg_480x360x95_c1990b50.jpg,4.3,建议游览时间：3天 - 6天,夏秋季为最佳旅游时节。适合避暑，“白天不用扇子，晚上不离被子”，颇有“六月如霜天”之感。 春季幽兰飘香，沁人肺腑，遍山皆绿，后杜鹃盛开，姹紫嫣红。 秋季的莫干山可以静心疗养。 冬季可以观望雪景和游玩溜冰、滑雪等项目，而且莫干山冬天不封山。,"{'莫干山景区门票成人票\n\n': ['¥70起'], '莫干山景区门票学生票\n\n': ['¥40起'], '莫干山景区门票老人票\n\n': ['¥40起']}",1、山间温差大，注意保暖；2、准备好抓地防滑徒步鞋、速干衣、防晒衣帽、登山杖、户外雨衣等徒步工具，注意保护膝盖；3、山间蚊子比较多，若打算看日出记得带件长袖，注意防蚊。,1
藏龙百瀑Hidden Dragon Waterfall,http://travel.qunar.com/p-oi711494-zanglongbaipu,"

地址:
湖州市安吉县东南部


电话:
0572-5112357


官网:
http://www.ajclbp.com/

",藏龙百瀑景区位于安吉县城以南18公里处，是夏季赏瀑登高的度假胜地。这里有浙江最大的瀑布群，一路有成群的溪流瀑布伴你上山。你还可在此体验刺激的漂流和滑车项目，与大自然亲密接触。景区内叶茂遮天、清凉宜人，一路有成群的溪流瀑布伴你上山：有三折重叠、落差为60多米的“长龙飞瀑”；有“小黄果树”之称、彩虹横卧的“虹贯龙门”；更有神形兼备的“神龟听瀑”等奇瀑。还有各种木桥、栈道、索桥、茅廊，登上861米的山顶更可俯瞰群山翠谷，风光无限。 景区内还有特色滑车，可带你体验从半山腰穿过层层密林滑行到山下的刺激感。另外，一般从每年4、5月开始，景区旁还有皮筏漂流项目，可带你体验水上穿梭整个大溪村的奇妙之旅。,全年 08:00-16:30,https://img1.qunarzz.com/travel/poi/1408/21/5bf0992762d5b3edffffffffc8d65eac.jpg_480x360x95_81ca9c54.jpg,4.5,建议游览时间：3小时 - 5小时,春夏两季是藏龙百瀑的最佳旅游季、此时雨水较多，瀑布较为壮观。十月底山上有银杏和红枫，也适合赏秋。,"{'藏龙百瀑门票成人票\n\n': ['¥60起'], '藏龙百瀑门票儿童票\n\n': ['¥40起'], '藏龙百瀑门票学生票\n\n': ['¥60起']}",1、春夏两季是藏龙百瀑的最佳旅游季、此时雨水较多，瀑布较为壮观。十月底山上有银杏和红枫，也适合赏秋。2、建议穿平底鞋登山，景区内部分山路较陡，还有架在岩石上的隔空铁梯，穿高跟鞋会很困难。夏季有很多游客嬉水，故小心脚下石阶路滑。3、山上和山脚都有不少农家菜馆，吃饭建议去山脚景区外十五菜馆，价格比较公道。4、山核桃、白茶、笋是当地特产。白茶价格高低不等，若不懂茶叶请慎购；笋干比较推荐。5、附近主要景区有：北部的江南天池度假村、中国大竹海、南部有太湖源景区。藏龙百瀑至以上景区车程均在1小时内,1
中国大竹海The Great Bamboo Sea of China,http://travel.qunar.com/p-oi714710-zhongguodazhuhai,"

地址:
湖州市安吉县天荒坪镇五鹤村


电话:
0572-5210999

",中国大竹海又叫安吉大竹海，因李安的电影《卧虎藏龙》曾在此取景而名声大噪。进入景区，走在竹海长廊上，路两边是挺拔青翠的竹林，享受山间清新的空气，让人心旷神怡。走过竹海长廊，往前不远便是五女泉，泉水是来自大竹海的地下水。这水冬暖夏凉，源源不断，口感清甜，大竹海因为它而拥有神秘性。继续往里走是卧虎藏龙拍摄平台，路旁的一块石碑上刻着“卧虎藏龙”四个大字，可以在此与之合影。如果你看过《卧虎藏龙》，还能回味一下片中玉娇龙和李慕白在竹林间飞来飞去的打戏，以及二人脚点竹枝立于竹海之上的经典镜头。另外，附近还有一个比较有趣的景点“竹海探王”，在密密的竹林中找到特别的那支新竹王，它比其它竹子粗壮，颜色偏黄，显得有些威严。一路往上可达观竹楼，这里是景区的制高点。站在这里俯看满山遍野的竹林，尤其是在风吹过时，满眼的竹海更是碧波荡漾。在这儿欣赏美景后可以坐滑道下山，非常刺激，当然也可以步行原路返回。,05/01-10/7 08:00-17:00;10/8-04/30 08:00-16:30,https://img1.qunarzz.com/travel/d9/1607/47/9eaf465f69a0a9b6.jpg_480x360x95_673c5ccb.jpg,4.0,建议游览时间：3小时 - 4小时,最宜夏秋两季,"{'中国大竹海门票成人票\n\n': ['¥49起'], '中国大竹海门票儿童票\n\n': ['¥29起'], '中国大竹海门票亲子票(1大1小)\n\n': ['¥78起']}",1、山并不高，通常步行游玩即可，若实在有体力不支的老人，也可以坐付费的滑杆到山顶。2、春天吃竹笋，夏天纳凉消暑是景区周边农家乐的主调。春天到此不妨尝尝这里的竹笋，红烧笋干、鱼头烧笋之类，各种家常菜配上竹笋的吃法令人眼前一亮。3、赏花攻略：杜鹃花，花期为4月上旬至6月上旬。4、景区禁止抽烟。,1
中南百草原Zhongnan Baicao Garden,http://travel.qunar.com/p-oi716720-zhongnanbaicaoyuan,"

地址:
湖州市安吉县递铺镇马鞍山村


电话:
4008-076-176,0572-5217806


官网:
http://www.znc.cn/

",中南百草原景区，位于有着中国美丽乡村之称的浙江省湖州市安吉县境内，自2004年开园以来，已接待千万人次，面积也由原来3600亩扩大到现5600亩。作为长三角地区知名的生态休闲观光景区之一，中南百草原景区被授于国家AAAA级旅游景区，并列入国家5A级景区培育名单。与此同时，景区先后获得国家级青少年户外体育活动营地、全国首批中小学生环境教育和社会实践基地、全国农业旅游示范点、全国野生动物保护科普教育基地、全国中小学生研学实践教育基地等众多荣誉，成为湖州地区最受欢迎的旅游景区和户外拓展基地。景区拥有森林、草原、湿地、竹海、野生动物等多种生态资源以及餐饮、会议、住宿、娱乐、养生、拓展等众多产品，农业、林业、生态、体育、科普等与旅游完美结合，成为以植物世界、动物世界和运动世界为三大主题的综合性旅游景区。生态植物观光区、野生动物繁殖区、户外体育运动区、黄浦江源湿地水上漂流、原始淡竹迷宫、高效生态农业示范园区、休闲度假区组成七大功能区，深受游客欢迎。植物世界共有1780余种植物，由碧水晨曦、丹枫流霞、百草映雪等八景和白茶园、桂花园、紫竹园、采摘果园、淡竹林等十八园组成，景区植被覆盖率达95%，是天然的绿色大氧吧。动物世界内有150种动物，游客可观赏到老虎、狮子、大象、长颈鹿等70种国家珍奇野生动物，同时还可以领略到狮虎献艺、海狮杂技等精彩表演。运动世界有户外拓展、黄金过山车、国际马术俱乐部、F1卡丁车、真人CS野战、攀岩、高空溜索、湿地漂流等各类运动项目50多种，游客可在此体验极致的欢乐与刺激。同时还有为小孩子精心打造的大型游乐场——中南欢乐世界和儿童乐园。,全年 07:30-17:30;全年 08:00-17:00,https://img1.qunarzz.com/travel/d7/201404/14/33fd2805d96a3fc6ddb12cfb.jpg_480x360x95_11de694e.jpg,4.7,建议游览时间：3天 - 6天,最宜春夏，3-5月和6-8月,"{'中南百草原门票\n\n': ['¥460起'], '中南百草原门票+高空溜索票\n\n': ['¥195起'], '中南百草原门票+缓漂（竹筏/皮划艇2选1）票成人票\n\n': ['¥195起']}",1、景区比较大，全部逛完大概需要一天，不想走路可以乘坐电瓶车代步，步行游玩比较适合穿舒适的平底鞋。2、景区内既有吃饭的地方，也有酒店可以住宿，平日标间300元起，周末价格略有上浮。虽然有点小贵但不算夸张，预算充足可以在此留宿一晚。3、自驾车不能驶入景区内，景区门口有停车场。,1
太湖旅游度假区Taihu Tourist Resort,http://travel.qunar.com/p-oi7468740-taihulu:youdujiaqu,"

地址:
湖州市吴兴区太湖畔


电话:
0572-2159552

",太湖旅游度假区位于太湖的南岸，因此又被叫做“南太湖”。度假区内有法华寺、太湖乐园、高尔夫球场和众多的度假酒店，以及一条比较有特色的湖鲜街。这里生态环境不错，也有完善的配套设施，许多周边城市的游客自驾来度假。你可以沿湖走走逛逛，在湖边找一家餐馆坐下，一边临湖赏景，一边吃太湖中打捞上来的水产，性价比很高。想体验湖州的生活节奏，不妨在度假区内的酒店住上两三天。湖边半环形的喜来登温泉度假酒店是南太湖的地标，晚上灯光亮起的时候格外好看，被当地人称为“月亮酒店”，如果预算充足可住在这里（每晚价格通常在2000元起）。附近也有更亲民一些的哥伦波太湖城堡、太湖山庄等可以住宿。太湖上的快艇大约是30元10分钟，也是值得体验的项目之一。,全天开放,https://img1.qunarzz.com/travel/d5/1608/6c/58c6cfa768bd02b5.jpg_480x360x95_ae62ab55.jpg,4.6,建议游览时间：3天 - 6天,,"{'太湖旅游度假区月亮酒店moon25楼观光层下午茶套餐团队票\n\n': ['¥2880起'], '【酒店套餐】太湖龙之梦雅仕酒店1晚+双人动物世界门票+含双早+太湖古镇水舞秀+观看企鹅馆\n\n': ['¥569起'], '【景酒套餐】太湖龙之梦雅仕酒店1晚+双人动物世界门票+含双早+太湖古镇水舞秀+观看企鹅馆\n\n': ['¥567起']}",,1
龙之梦动物世界Dragon Dream Animal World,http://travel.qunar.com/p-oi35686856-longzhimengdongwushijie,"

地址:
湖州市长兴县图影省级旅游度假区


电话:
400-617-7878

",太湖龙之梦动物世界位于湖州市长兴县图影省级旅游度假区，占地面积1600亩，分人行和车行两个观览区，是一个集野生动物展示、科学研究、保护教育和互动体验为一体的大型野生动物园。,1/1-8/31 09:00-17:00;9/1-12/31 09:00-17:00,https://img1.qunarzz.com/piao/fusion/2201/3d/b03722499b987802.jpg_480x360x95_ddccda48.jpg,4.2,建议游览时间：2小时 - 3小时,,"{'龙之梦动物世界(步行区)门票成人票\n\n': ['¥188起'], '龙之梦动物世界(步行区)门票优待票\n\n': ['¥135起'], '龙之梦东方盆景园门票成人票\n\n': ['¥60起']}",,1
