名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
和平公园Peace Park (Southwest Gate),http://travel.qunar.com/p-oi715612-hepinggongyuan,"

地址:
湘潭市雨湖区建设北路278号


电话:
0731-58224971

",和平公园主要以独特的森林气候、优雅的自然环境为景观的公共憩地，园内已植梓、樟、楠与玉兰、银杏等乔木100多种、地栽盆景花卉、丝竹600余种、4万多种。陆地覆盖率已达80％以上，占总面积70％以上为林地，突出了公园以“绿”为主的特点与功能。园内的主要景点有：盆景园、动物园、旱冰埸、百花台、儿童游乐园别具特色，大型电动飞机、秋千、吊环、座栏、溜溜板、碰碰车等设施于绿树丛中，环境优雅，空气清新。和平公园培植制作的花卉、盆景，已在全国初露头角。全国花卉、中国盆景协会于1992年在上海举行首届菊花展览，和平公园送展的礼菊“二龙戏珠”荣获一等奖。1985、1986年湖南省多数获奖。1986年4月，中共中央顾委王首道视察和平公园，称赞该园盆景江南风味浓，并为盆景园手书了“湘潭盆景”匾额。,全年 全天开放,https://img1.qunarzz.com/travel/poi/1803/10/0c8fc3736c9ed537.jpg_480x360x95_4285c5e5.jpg,4.4,建议游览时间：1小时,,具体收费情况以现场公示为主,,2
毛泽东遗物馆,http://travel.qunar.com/p-oi705808-maozedongyiwuguan,,毛泽东遗物馆总建筑面积1．9万平方米，馆内辟有《风范长存——毛泽东遗物展》《毛泽东主席生活用瓷展》《毛泽东珍藏唱片磁带展》《韶山毛泽东同志纪念馆珍藏艺术品展》等四个陈列，共展示毛泽东遗物1008件。走进毛泽东遗物馆，毛泽东手迹“为人民服务”映入眼帘，接着是遗物馆的主体陈列《风范长存——毛泽东遗物展》，陈列面积2000多平方米，分“勤政为民、鞠躬尽瘁”“反奢倡俭、清廉如水”“博学多思、孜孜不倦”“亲情如歌、友谊似海”“雅情逸趣、坦荡襟怀”五个部分，真实再现...毛泽东遗物馆总建筑面积1．9万平方米，馆内辟有《风范长存——毛泽东遗物展》《毛泽东主席生活用瓷展》《毛泽东珍藏唱片磁带展》《韶山毛泽东同志纪念馆珍藏艺术品展》等四个陈列，共展示毛泽东遗物1008件。走进毛泽东遗物馆，毛泽东手迹“为人民服务”映入眼帘，接着是遗物馆的主体陈列《风范长存——毛泽东遗物展》，陈列面积2000多平方米，分“勤政为民、鞠躬尽瘁”“反奢倡俭、清廉如水”“博学多思、孜孜不倦”“亲情如歌、友谊似海”“雅情逸趣、坦荡襟怀”五个部分，真实再现了毛泽东日常生活的真实景况。其中，多件毛泽东书信及诗词手迹，均是第一次公开披露。毛泽东遗物馆的文物库房还收藏和保护遗物6536件。馆内陈列的毛泽东遗物，反映出一代伟人俭朴、节约的生活习惯。一件伴随毛泽东走过晚年岁月、打了73个补丁的睡衣，令无数参观展览的游客为之动容。毛泽东理发用的理发工具箱也是首次与游客见面，木梳子、手推剪、剃刀等老式理发工具，更是让游客感慨万千。展品中还有一组日常用品：牙刷四支、牙粉三瓶、牙膏一支、搪瓷缸两个，均为原物。遗物馆还展出了毛主席生前的一本生活账目，记录了“还钱”给章士钊的明细：毛泽东为感谢章士钊上世纪20年代初筹款资助革命的义举，从1963年开始，以“还钱”的名义每年从自己的稿费中拿出2000元给章士钊，帮助其补贴家用。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-mapi/img/0f811c89e290439a43df47cfa1ac4d9f.jpg_480x360x95_fc43ab79.jpg,3.5,,,,,2
彭德怀纪念馆,http://travel.qunar.com/p-oi713387-pengdehuaijinianguan,,纪念园位于湘潭乌石镇，依山而建，有纪念馆，铜像广场，铜像雕塑，德怀亭，德怀墓等景点。,,https://img1.qunarzz.com/travel/d5/1606/81/674d6d0379b5adf7.jpg_480x360x95_76a68530.jpg,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,2
宝塔岭高峰塔,http://travel.qunar.com/p-oi701881-baotalinggaofengta,,湘潭宝塔岭高峰塔始建于明万历42年（公元1615年），文革被毁，1994年重修，位于湘潭开发区红旗商贸城附近，107国道在此旁经过。面对湘江，在湘潭湘江一大桥和三大桥中间。,,https://img1.qunarzz.com/travel/d1/1506/5b/7567f213d70294.jpg_480x360x95_fd881d3f.jpg,3.8,,,,,2
韶山烈士陵园,http://travel.qunar.com/p-oi719384-shaoshanlieshilingyuan,,韶山烈士陵园为了纪念英勇献身的韶山英烈，为了让现实永远记住历史，韶山人民在毛泽东诞生百周年之际，建起了一座气势雄伟的韶山烈士陵园，以人微言轻永久的祭奠。韶山烈士陵园位于韶山市政府所在地清溪镇。在韶山冲东北口，在韶峰东北口，在韶峰东麓，新辟了一条宽40米，长1020米林荫大道，这便是英雄路。英雄路北端与毛泽东青年时代塑像广场相通，南端即是天鹅山，韶山烈士陵园就建在天鹅山上。 这是一座没有灵柩的陵园，因为英烈们当年或捐躯在外，或身首异处，人们不忍再打搅他...韶山烈士陵园为了纪念英勇献身的韶山英烈，为了让现实永远记住历史，韶山人民在毛泽东诞生百周年之际，建起了一座气势雄伟的韶山烈士陵园，以人微言轻永久的祭奠。韶山烈士陵园位于韶山市政府所在地清溪镇。在韶山冲东北口，在韶峰东北口，在韶峰东麓，新辟了一条宽40米，长1020米林荫大道，这便是英雄路。英雄路北端与毛泽东青年时代塑像广场相通，南端即是天鹅山，韶山烈士陵园就建在天鹅山上。 这是一座没有灵柩的陵园，因为英烈们当年或捐躯在外，或身首异处，人们不忍再打搅他们的在天之灵。人们只是以塔、亭、馆、台、群雕等等熔铸古今建筑艺术的形式来表达隆重的祭奠。,,,3.0,,,,,2
湘潭农博园Xiangtan Agriculture Expo Garden,http://travel.qunar.com/p-oi722379-xiangtannongboyuan,"

地址:
湘潭市湘潭县泉塘子乡境内320国道附近


电话:
0732-7333333

",湘潭农博园位于湘潭市西郊的泉塘子，是湘潭进行农业科技交流、会议培训的农业科技示范基地，又是一处陶冶情操、健身娱乐的休闲场所。农博园分为农业科技示范区、绿色食品开发区和农业旅游度假区三个区域。农业旅游度假区以白鹭湖度假村为主体，区内山水相连，碧水如镜，松涛如潮，风景优美。农业科技示范区以泉塘子农技站为主体，长年试验、示范用地550亩。泉塘子农技站是国家杂交水稻研究中心中试基地、袁隆平成果转化基地、隆平高科示范基。绿色食品开发区以湘潭市原种场为主体，区内田成格、路成型、树成行、渠成网，呈现出现代农业的架构。,全年 全天开放,https://img1.qunarzz.com/travel/poi/1803/53/85a3a67d7a2c2337.jpg_480x360x95_9b3026a0.jpg,4.5,建议游览时间：3天,,具体收费情况以现场公示为主,,2
黄公略同志故居Former Residence of Huang Gonglve,http://travel.qunar.com/p-oi706763-huanggonglu:etongzhigu,"

地址:
湘潭市湘乡市中沙镇桂花分朝阳村高木冲


电话:
0731-56820214

",在湖南省湘乡市，有一栋百年古朴的江南民宅，它就是红军将领黄公略的故居。故居前面有满塘的荷花，后面是大山。风景优美，环境宁静。,8:00-17:30,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/e51622f109514237f4500b174728d1ee.jpg_480x360x95_0dca9459.jpg,4.7,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,2
齐白石纪念馆Qibaishi Memorial Hall,http://travel.qunar.com/p-oi705624-qibaishijinianguan,"

地址:
湘潭市雨湖区大湖路


电话:
0731-58222741,0731-58552780

",齐白石纪念馆位于湘潭市白马湖风景区。为纪念杰出的人民艺术家、世界文化名人齐白石，1983年中宣部、文化部批准在湘潭修建齐白石纪念馆，历时10年，于1993年竣工落成，同年五月二十三日举行开馆庆典。馆址用地10000平方米，主体建筑2000平方米。馆内收藏齐白石国画作品和早期雕花作品数十件并收藏了近、当代名家书画作品数百件。纪念馆周围风景秀丽，是湘潭市的文物保护单位。,周二-周日9:00-17:00，16:30停止入场。周一闭馆。,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/27a1c08d85d4449318993c04f0f6e052.jpg_480x360x95_ee929c68.jpg,4.5,建议游览时间：1小时,,具体收费情况以现场公示为主,,2
毛泽东诗词碑林Shaoshan Mao Zedong's Poetry Forest of Stone Tablets,http://travel.qunar.com/p-oi710839-maozedongshicibeilin,"

地址:
湘潭市韶山市韶峰半山腰


电话:
0731-55685343,0731-55685445

",毛泽东诗词碑林位于风景秀丽的韶峰半山腰，占地2万平方米，由100块汉白玉、花岗岩、大理石碑组成，按照毛泽东的革命生涯分为5个部分，按照时间顺序分为4个时期共收录毛泽东诗词100首，以纪念毛主席诞生100周年。碑林设计新颖、气势宏伟，100块诗词碑形状各异、依山走势、错落有致、雕刻精美，与毛泽东诗词的博大精深、雄浑气势相结合，又与韶峰的自然美景相辅相成，浑然一体，让人流连忘返。这100首诗词中毛泽东亲笔手迹66件，其余由34位书法家代书，每首诗是景，每一景又是诗，千姿百...毛泽东诗词碑林位于风景秀丽的韶峰半山腰，占地2万平方米，由100块汉白玉、花岗岩、大理石碑组成，按照毛泽东的革命生涯分为5个部分，按照时间顺序分为4个时期共收录毛泽东诗词100首，以纪念毛主席诞生100周年。碑林设计新颖、气势宏伟，100块诗词碑形状各异、依山走势、错落有致、雕刻精美，与毛泽东诗词的博大精深、雄浑气势相结合，又与韶峰的自然美景相辅相成，浑然一体，让人流连忘返。这100首诗词中毛泽东亲笔手迹66件，其余由34位书法家代书，每首诗是景，每一景又是诗，千姿百态、变幻万千，特别是碑林出口处的《七律·到韶山》这首光辉诗篇，是毛主席1959年回韶山所作，这块碑则是当今中国大的刻碑。,全年 8:00-17:00,https://img1.qunarzz.com/travel/poi/1806/f2/621180f386977e37.jpg_480x360x95_e34f5711.jpg,4.1,建议游览时间：1小时 - 2小时,,包含在韶峰景区门票内，通用于韶峰景区门票。,,2
平江起义纪念馆Pingjiangqiyi Memorial Hall,http://travel.qunar.com/p-oi718014-pingjiangqiyijinianguan,,,,https://img1.qunarzz.com/piao/fusion/1609/ae/839c15d6cb915c02.jpg_480x360x95_0ef0b7a4.jpg,0.0,,,具体收费情况以现场公示为主,,2
