名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
芙蓉镇Furong Town,http://travel.qunar.com/p-oi3864384-furongzhen,"

地址:
湘西土家族苗族自治州永顺县芙蓉路南150米


电话:
0743-5854532,0743-5854531

",芙蓉镇原名“王村”，距离永顺县城约50公里。古镇距今已经有两千多年的历史，因谢晋执导，刘晓庆、姜文主演的电影《芙蓉镇》在此取景而出名，此后改名为“芙蓉镇”。芙蓉镇的售票处、入口、出口以及游客服务中心都位于镇子的一头。从入口进入古镇后，沿着古镇内铺满青石板的老街向前步行游览即可。在老街的两旁，保留了不少当地民居，很多的民居的墙壁都是用木板拼接而成，不少木板已经变色发黑，不知不觉中打上了岁月的印记。古镇中心地带建在一片高大的山石上，一条落差几十米的瀑布悬挂在古镇脚下，镇内的土家吊脚楼紧邻瀑布而建，因此也被称为“挂在瀑布上的千年古镇”。如果你时间充裕，可以选择在吊脚楼中的旅馆住宿一晚，伴随着哗哗的瀑布流水声进入梦乡。这里家家都有南瓜灯，夜幕降临，华灯初上，加上打着彩光的瀑布，夜景十分炫丽华美，如同天上的宫殿，令人陶醉。古镇因电影出名，而影片中“豆腐西施”刘晓庆卖的米豆腐，如今在镇内已经铺天盖地的扎下了根。镇中到处都有挂着“米豆腐”招牌的店铺，不过正宗的一家，同时也是影片中取景的一家，位于进镇后的“牌坊”处，可以寻觅品尝一番。在古镇内，你可以去“溪州铜柱馆”，看一看刻有楚王和当地“土王”签订和平盟约的“溪州铜柱”，铜柱记载着一段土家族的历史。还可以去瀑布旁的“土王行宫”，看看边陲土司当年的府邸，“行宫”附近也是观看全镇的好地方，能够观赏到吊脚楼、瀑布和瀑布下的酉水河。镇内有不少商铺，这里的土家织锦、竹筒酒和姑丈毛尖都是不错的旅行纪念品。,8:00-19:00,https://img1.qunarzz.com/travel/d8/1706/12/354bfd918e4263b5.jpg_480x360x95_5765d63a.jpg,4.1,建议游览时间：12小时 - 3天,四季皆宜。,"{'芙蓉镇门票成人票\n\n': ['¥74.8起'], '芙蓉镇门票+墨戎苗寨门票成人票\n\n': ['¥97.5起'], '凤凰古城门票+芙蓉镇+长沙往返直通车票成人票\n\n': ['¥248起']}",山地气候变化大，出门前记得查好天气情况，带好相应时节的衣物。随身物品要保管好，特别是手机，钱包。,1
凤凰古城Fenghuang Ancient Town,http://travel.qunar.com/p-oi8605543-fenghuanggucheng,"

地址:
湘西土家族苗族自治州凤凰县凤凰古城


电话:
0743-3658888

",凤凰古城位于湖南省湘西的西南部。古城建于清康熙时期，因沈从文的小说《边城》而闻名于世。古城依山傍水，沱江穿城而过，红色砂岩砌成的城墙伫立在岸边，南华山衬着清朝年间的城楼。古城里北城门下的河面上，横着一条窄窄的木桥，以石为墩，是当年出城的通道。城内的青石板街道、沱江边的吊脚楼、众多的古建筑以及浓厚的风情，构成了独具一格的湘西韵味，主要景点有沈从文故居、古城博物馆、崇德堂等，值得游览。,全天,https://img1.qunarzz.com/travel/d8/1708/b2/67dd30501f7748b5.jpg_480x360x95_cc2ebb79.jpg,4.4,建议游览时间：3天 - 6天,四季皆宜。湘西四季的气候都很适合出行，但七月或九月到湘西旅游还可以赶上苗族农历六月初六的大型歌会或立秋的赶秋节，届时可以感受少数民族的特色节庆。 凤凰古城的春天，气温在20度左右，天气很好，放眼望去，一片绿色，早上起来还能看到雾气重重的沱江美景，正所谓烟雨凤凰，天晴有利于苗族、土族人做做商业，忙忙农活。此时去也可以让你充分体验一下民风民俗。 冬天去凤凰虽然人少，但是天气比较冷。,"{'凤凰古城八景+湘见沱江（夜游）票成人票\n\n': ['¥198起'], '凤凰古城八景+沱江泛舟（日游）票成人票\n\n': ['¥128起'], '沱江泛舟夜游门票成人票\n\n': ['¥168起']}",,1
芙蓉镇景区-王村古街Furongzhen Jingqu-Wang Cungu Street,http://travel.qunar.com/p-oi26585249-furongzhenjingqu_wang,"

地址:
湘西土家族苗族自治州-永顺县-芙蓉路


电话:
0743-5854532,0743-5854531

",王村古街位于湘西永顺芙蓉镇景区内，芙蓉镇原名“王村”。老街由青石板铺成，两边保留了不少当地民居，很多民居的墙壁都是用木板拼接而成，木板大多已经变色发黑，不知不觉中打上了岁月的印记。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/9e624798085ffea88c6d8e3fe409a71a.jpg_480x360x95_451899ec.jpg,4.1,建议游览时间：1小时,,包含于芙蓉镇景区门票内，通用芙蓉镇景区门票。,,1
矮寨悬崖栈道Cliff Hanging Glass Road,http://travel.qunar.com/p-oi20971125-aizhaixuanyazhandao,"

地址:
吉首市矮寨镇矮寨大桥景区茶洞岸


电话:
0743-8758777

",矮寨悬崖玻璃栈道是由悬崖栈道与观景平台组成的高空游览线，位于德夯大峡谷峭壁之上，采用现代设计语言，采用“蝴蝶”、“飘带”等苗族文化元素，形成戏剧性“跌宕起伏”、“惊心动魄”的旗帜性游步道系统。游览矮寨悬崖玻璃栈道时不仅可以欣赏到巍峨险峻的武陵山脉中险峻、梦幻的地段，还可以体验由玻璃魔道带来的视觉刺激、冲击游人接受极限的潜能，更有天桥(矮寨大桥)、天路（公路奇观、空中飘带）、天台交相辉映、互为景致，构成人文与自然共生，壮丽与精巧同在的峡谷奇观。,8:30-17:30,https://img1.qunarzz.com/piao/fusion/2010/96/a3117a25e727f902.jpg_480x360x95_be716aae.jpg,4.5,建议游览时间：1小时 - 2小时,,"{'矮寨悬崖栈道门票成人票\n\n': ['¥78起'], '矮寨大桥+矮寨悬崖栈道门票成人票\n\n': ['¥155起'], '矮寨大桥+悬崖玻璃栈道+德夯峡谷票成人票\n\n': ['¥268起']}",,1
老司城Laosicheng Village,http://travel.qunar.com/p-oi3864381-laosicheng,"

地址:
永顺县老司城村


电话:
0743-5228259


官网:
http://www.laosicheng.cn/

",老司城遗址，位于湘西土家族苗族自治州永顺县城东20余公里处的灵溪镇老司城村境内，原名为福石城。老司城是南宋绍兴五年（1135年）至清雍正六年（1724年）永顺彭氏土司的政治、经济、军事、文化中心，分内罗城、外罗城，有纵横交错的八街十巷，人户稠密，市店兴隆，史书中有“城内三千户，城外八百家”的记载。老司城是土司制度的物质载体，是中国古代民族区域自治制度的活标本，于2001年被公布为第五批全国重点文物保护单位。2010年9月老司城遗址被列入第一批国家考古遗址公园立项名...老司城遗址，位于湘西土家族苗族自治州永顺县城东20余公里处的灵溪镇老司城村境内，原名为福石城。老司城是南宋绍兴五年（1135年）至清雍正六年（1724年）永顺彭氏土司的政治、经济、军事、文化中心，分内罗城、外罗城，有纵横交错的八街十巷，人户稠密，市店兴隆，史书中有“城内三千户，城外八百家”的记载。老司城是土司制度的物质载体，是中国古代民族区域自治制度的活标本，于2001年被公布为第五批全国重点文物保护单位。2010年9月老司城遗址被列入第一批国家考古遗址公园立项名录。2015年7月4日，永顺老司城遗址与湖北恩施唐崖土司城遗址、贵州遵义海龙屯土司遗址联合代表的“中国土司遗产”被联合国教科文组织列入世界文化遗产名录。,8:00-18:00,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/fusion/20206/f38b2032d630e0399a6521a1ac6c9e24.jpg_480x360x95_ed2d89cf.jpg,4.3,建议游览时间：2小时 - 3小时,,"{'老司城门票成人票\n\n': ['¥98起'], '老司城电子导览服务大小同价\n\n': ['¥9起'], '锦绣潇湘旅游卡票大小同价\n\n': ['¥168起']}",,1
边城景区Border Town Scenic Spot,http://travel.qunar.com/p-oi8604793-bianchengjingqu,"

地址:
湘西土家族苗族自治州花垣县境东南茶峒镇


电话:
0743-6612266,0743-6612256

",边城景区所在的边城镇，以前叫茶峒镇，2008年改名为“边城镇”，沈从文笔下真正的“边城”并不在凤凰，而在茶峒，因为《边城》一文的名气和旧有称呼的习惯，现在还有不少人依然把这叫茶峒。小镇始建于嘉庆八年(1803 年)，地处湖南、贵州、四川交界处，重庆立为直辖市后，严格意义上说是湖南、贵州、重庆的交界处，有“一脚踏三省”之称。沈从文描写的解放前的边城城墙逶迤，河水悠悠，青石道整洁风雅，吊脚楼古色古香，白塔耸立，古渡摆舟，如诗如画。诗云：“边城胜景令人醉，疑是身在画中游。”解放后，白塔虽毁，但古风依存，又新修楼房、大桥和农贸市场等，为边城茶峒增添新景，《连心坝》、《边城》等影片，均在边城拍摄外景。在凤凰古城极其热门的今天，能寻到这里的游客，多半真心为《边城》里描写的景和事陶醉。在边城景区，小说里的景有些已不存在，有些已挪了位置，有些已翻新，有的索性是新建的，但不妨碍游客仍然把《边城》当成导游图，一一对照，或付钱雇一支小舟泛舟酋水上，回味那美丽动人的故事。现在景区内的主要景点有：翠翠岛（新建的）、书法园、沿河吊脚楼、南方古人类遗址、古老城墙、拉拉渡（挪了位置，不是《边城》里的渡河地点，现往返于一水相隔的湖南边城与重庆洪安古镇间）、名联坊、一脚踏三省等。,4月1日-10月31日8:00-18:00，11月1日-次年3月31日8:00-17:00。,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/574b8f3367be066fdd2f7072372046f0.jpg_480x360x95_554b9a61.jpg,4.5,建议游览时间：12小时 - 3天,全年皆可。,具体收费情况以现场公示为主,,1
奇梁洞Qiliang Cave,http://travel.qunar.com/p-oi3864392-qiliangdong,"

地址:
凤凰县北路(齐良桥九年制学校旁)


电话:
0743-3658888

","奇梁洞位于凤凰古城以北约5公里处，在当地有“奇梁归来不看洞”的说法，奇梁洞中有山，洞内有楼，洞中还有绝壁、田园、村落等，整个洞长约6公里，洞口巨大，高达约50米，一条清溪穿过溶洞。奇梁洞中还有“古战场”。相传在南宋末年，不堪重压的苗族人在这里密谋造反，并和朝廷军队发生多次激战。后来由于叛徒告密，终因寡不敌众，起义军全体覆灭。如今游客在刚进入洞口不远处，就能看到当年被起义军用巨石砸马的落马河、供人吃饭的古碾房等遗迹。经过“古战场”，你将来到一条小溪边，这里需要坐船，下船后便是奇梁洞的另一个景点“龙宫”。龙宫中，怪石嶙峋、在五彩的灯光效果下更显得色彩斑澜，当你在这奇丽的场景中荡舟，会有一种进入梦境的感觉。游过“龙宫”后，随着台阶盘旋而上，就来到洞中的“天堂”和""十里画廊""。十里画廊中，古木参天，还有围满荆棘的""西南丛林""，更加神奇的是这里还能看到一片绿油油的田地。洞中的阴阳河，是整个洞穴神秘的部分，高高的洞顶上趴着代表黑暗的蝙蝠。河边的水帘后就是传说以前的苗王关押犯人的地方。偶尔传来一两声蝙蝠的声音，让人感到毛骨悚然，不寒而栗。",全年 08:00-17:30,https://img1.qunarzz.com/travel/poi/201211/15/72341cfc90763941ddb12cfb.jpg_480x360x95_282b8090.jpg,4.5,建议游览时间：1小时,四季皆宜。,"{'奇梁洞门票成人票\n\n': ['¥95起'], '锦绣潇湘旅游卡票大小同价\n\n': ['¥168起'], '奇梁洞导览服务大小同价\n\n': ['¥9起']}",洞内温度较低，注意带上外套。洞内注意安全，不要拥挤。随身物品要保管好，特别是手机，钱包。,1
乾州古城Qianzhou Ancient City,http://travel.qunar.com/p-oi7469240-qianzhougucheng,,,,,,,,,,1
翼南广场Yinan Square,http://travel.qunar.com/p-oi19971769-yinanguangchang,,,,,--,,,具体收费情况以现场公示为主,,1
德夯村Dehang Village,http://travel.qunar.com/p-oi10025398-dehangcun,,德夯村位于德夯大峡谷深处，有八十余户苗家，紧紧相依于翠谷中。这些人家统一是鳞鳞灰瓦木屋，木屋间穿插着青一色的石板路、石板坪石板桥、石板墙，透着和谐、统一的美。整个村寨显得恬适幽静。村寨四周山势雄奇，绝壁夹天；“夯峡”、“九龙”、“玉泉”三溪在这里相会，如同三根彩带在这里相交结。这里是风景区的中心，一万五千多米长的青石板路从这里一直通向各个景点这里还是一个角度十分好的观景台，人立于此，只要原地转动身子，就可观赏到东西南北全方位的各个景点，那含情脉脉的“相依岩”、昂首奋蹄的“驷马峰”、惟妙惟肖的“孔雀开屏”五彩缤纷的“彩云壁”和“画屏峰”等等尽在眼中无不景象万千，令人目不暇接。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/cf309c06cc52b587079bab8d14ed8c9f.jpg_480x360x95_e45f6577.jpg,4.0,建议游览时间：1小时,,包含在德夯苗寨景区100元门票内。,,1
