名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
东海岛Donghai Island,http://travel.qunar.com/p-oi708735-donghaidao,"

地址:
湛江市麻章区东简镇涛声北路


电话:
0759-2389365

",东海岛是一个平坦而开阔的大海岛，面积286平方公里，在全国排行第五。东海岛岛上人口大约15万，传统以出海打鱼和种棺木薯、番薯、甘蔗、花生等旱地作物为生。近年，种植北运蔬菜，养殖龙虾、鲍鱼、对虾、螃蟹、牡额及珍贵鱼类等已逐渐上升为主业。东海岛水果有香蕉、芒果、树菠萝等，“东海香瓜”是当地的特产，比一般的香瓜短，犹似苹果，亦称“苹果瓜”，甜且脆。“东海人龙舞”提这里的特有民间艺术，是人搭人构成的长龙。,全年 7:30-19:00,https://img1.qunarzz.com/travel/poi/1409/03/96b9e122e8fdf323ffffffffc8d65eac.jpg_480x360x95_698fe15a.jpg,4.4,建议游览时间：4小时,四季皆宜，湛江地处北回归线以南，属亚热带气候，受海洋气候调节，冬无严寒，夏无酷暑，暑季长，寒季短，温差不大，气温年平均23.2℃。,具体收费情况以现场公示为主,1、湛江每年的7-9月份，湛江易受台风等热带风暴影响，出行前请留意天气预报，避开台风；2、湛江地处热带，夏季阳光很强烈，记得带上防晒霜、墨镜等，做好防晒措施。,1
赤坎老街,http://travel.qunar.com/p-oi10499466-chikanlaojie,,湛江赤坎步行街旧称法国大马路，整条街仅长400多米，却有着近百年的商业历史。如今步行街集合了众多特色小铺，吸引了很多游客前来购物。步行街距离世贸大厦很近，逛完步行街还可以去世贸大厦看一看。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/dece146d604f5567758395fdf4fcf383.jpg_480x360x95_9b510180.jpg,4.6,,,具体收费情况以现场公示为主,,1
特呈岛Techeng Island,http://travel.qunar.com/p-oi7588698-techengdao,"

地址:
湛江市霞山区


电话:
0759-2119111,0759-3162567

",特呈岛又称“红岛”，红土地、红怪石等。岛内空气清新，气候四季如春，有1000多亩树龄近500年的国家重点保护红树林、400多年历史的洗太庙、抗日革命旧址，还有白沙滩、红怪石（火山石，有较高科研、欣赏价值）。特呈岛地处热带和亚热带气候，终年平均气温在21—22度之间，四季如春；空气质量优良，海水水质清澈见底，岛上有近百棵参天古榕和断续分布的热带灌丛，沙滩3公里，且沿岸有近千亩受国家保护的天然红树林。“特呈”是古越语，“特”即地方，“呈”是和谐吉祥的意思。岛上村民，世代以捕鱼为生。,特呈岛航班时间： 上岛：08:30、10:00、11:30、13:00、14:30、16:00、17:30、19:00、21:00、22:30； 出岛：08:45、10:15、11:45、13:15、14:45、16:15、17:45、19:15、21:15、23:00。 以上航班时间可能由于节假日、天气等原因有所改动，具体请以景区当天公布为准。 特呈岛温泉开放时间：16:30-22:30。 电瓶车营运时间：9:00-16:00。,https://img1.qunarzz.com/travel/d4/1502/cd/8beff5742ec9ef.jpg_480x360x95_aa9732fa.jpg,4.2,建议游览时间：3小时 - 4小时,,"{'特呈岛门票（含往返游船+观光）+环岛电瓶车票双人票\n\n': ['¥120起'], '特呈岛门票（含往返游船+观光）+环岛电瓶车票三人票\n\n': ['¥180起'], '特呈岛门票+游船票(往返)儿童票\n\n': ['¥25起']}",,1
金沙湾Jinsha Bay,http://travel.qunar.com/p-oi24411126-jinshawan,"

地址:
广东省湛江市赤坎区军民路

",金沙湾位于广东省湛江市赤坎区东海岸，总占地面积12.6万平方米，是国家4A级景区，有金沙湾观海长廊、海滨浴场，双子岛、水上运动中心等景点。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-touch/img/8787138555ef5b7883d7ac944180e70a.jpg_480x360x95_192e2e99.jpg,4.6,建议游览时间：12小时 - 3天,,,,1
鼎龙湾国际海洋度假区Wuchuan Loong Bay,http://travel.qunar.com/p-oi23344736-dinglongwanguojihaiyang,"

地址:
广东省湛江市吴川市覃巴镇228国道鼎龙湾国际海洋度假区


电话:
4000962288

",【德萨斯水世界】德萨斯水世界主题公园占地约500亩，由专业水上乐园设计公司“美国WTI”主笔设计、设备由“欧洲”Polin公司及加拿大白水西部制造及施工。以美国德克萨斯州牛仔文化以及石油开采热潮等文化融入景区，配以当地沙漠景观，整个景区充满美国西部风情。7大区域32种游乐设备，日接待能力达5万人次，以超大体量、超刺激项目打造的水上游乐体验。众多技术在全国甚至全球位于前列，包括约13000㎡的真空造浪池、亚洲超长303米的水上过山车、定制的穿山蛇滑道、亚洲超长巨峡激流河...【德萨斯水世界】德萨斯水世界主题公园占地约500亩，由专业水上乐园设计公司“美国WTI”主笔设计、设备由“欧洲”Polin公司及加拿大白水西部制造及施工。以美国德克萨斯州牛仔文化以及石油开采热潮等文化融入景区，配以当地沙漠景观，整个景区充满美国西部风情。7大区域32种游乐设备，日接待能力达5万人次，以超大体量、超刺激项目打造的水上游乐体验。众多技术在全国甚至全球位于前列，包括约13000㎡的真空造浪池、亚洲超长303米的水上过山车、定制的穿山蛇滑道、亚洲超长巨峡激流河佩科斯河谷。阿拉莫海·海啸造浪池13000平超大面积，全球罕见！可容纳万人戏水！真空造浪高达3米，任你徜徉在人群与海浪中尽情比浪。响尾蛇峡谷·穿山蛇滑道全球专属的穿山蛇滑道，高达18米，整条滑道的表面犹如一条生动的响尾蛇，鳞片清晰可见，给你最直观的感官刺激。303米超长水上过山车揽山瞰海303米超长水上过山车，玩转刺激在阿拉莫海，让你玩转心跳，畅快尖叫。德萨斯沙尘恶魔园区内大喇叭滑道，按照家庭4人筏进行设计，大有可玩，适合家庭、团体一起接受挑战。【海狮馆】呆萌可爱的海狮是欢乐的来源，数十个表演节目，带来欢乐的温馨时光。【畅玩嘉年华】德萨斯牛仔小镇拥有超多类型的游戏项目，12个大区域、约150种游戏项目，让成年人像孩子一样为之迷恋，刺激好玩又解压，让你放肆浪一浪。 刺激的摇摆牛仔、萌萌的旋转啤酒桶、浪漫的旋转木马、可远观海景的时光摩天轮、超适合亲子一起打卡的5大主题户外机动游戏设备。【海田温泉】鼎龙湾海田温泉水源于地下约3000米深处岩石断裂层，富含矿物质，从两处深井取水，一号井出水温度45°，二号井出水温度55°。属于偏硅酸氟泉。【遇见唯美海景】你想象中的冬日的海是怎样的？无论你见过或不曾见过，鼎龙湾的海都值得被你期待，愿你能看到你曾期待过的样子。拥有绵延16公里的黄金海岸线的鼎龙湾，必将让你的旅途变得与众不同，沙滩大海、椰林树影、日月星辰，你对大海的所有幻想，这里都有。【打卡网红景点】鼎龙湾·海之角栈道——向海中央延伸300米的海之角栈桥，是观海及拍照的圣地。鼎龙湾·海风习习展览馆——红白相间墙体，蓝天白云与萌趣石狗雕塑相绕，是鼎龙湾拍照打卡之处。鼎龙湾·婚礼广场——在海之畔，与心爱之人携手漫步于此，与蓝天，白云，碧海，青草相伴，道不尽的浪漫与唯美。【观看园区缤纷演出】丰富多彩的牛仔欢乐巡游，欢乐有趣的小丑互动、动感热辣的舞蹈、激昂人心的乌干达鼓舞……各种表演轮番上阵，为你带来热情洋溢的视听享受！,9/1-9/30 14:00-22:00;10/1-10/7 10:00-22:00;10/8-10/31 14:00-22:00;11/1-12/31 10:00-22:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/4470c7507d4932459aae01bec722d4ea.jpg_480x360x95_f0e88f2f.jpg,4.7,建议游览时间：12小时 - 3天,,鼎龙湾免费进入，内部景点和娱乐项目单独收费。,,1
湖光岩Huguangyan,http://travel.qunar.com/p-oi701868-huguangyan,"

地址:
湛江市麻章区湖光镇


电话:
0759-2819197,0759-2819033


官网:
http://www.hgytravel.com/

",湖光岩风景区位于湛江市区西南部约19公里处，是著名的湖光岩火山口风景区。湖光岩大约形成于20万年前，是我国现存的三座火山湖之一，也是世界上除德国的Manderscheid之外仅存的玛珥湖。这里的地质特征兼有海岸地貌、构造地质地貌等多种地质遗迹，自然风光极好。湖光岩为中国玛珥湖的典型代表，湖底的沉积物真实的记录了十多万年以来古气候、古环境的变化情况，蕴藏着丰富的热带亚热带气候环境的变化的信息，被专家们誉为“天然环境变迁年鉴”。湖光岩为火山垣环抱，湖水清澈如镜，湖四周悬崖陡壁，火山岩层理、韵律清楚。公园内古树难天，古藤缭绕，植被茂盛，有一片高密度空气负离子区，堪称“天然氧气吧”，人在湖滨漫步，倍感心旷神怡。园区历史悠久，早在隋朝时期，佛教僧人就依岩而建楞严寺、白衣庵等古刹，宋朝丞相李纲题写的摩崖石刻“湖光岩”存留至今。关于玛珥湖：玛珥湖是一种极其稀有的火山湖，是由火山爆发冷却后，陆地上下沉的积水形成所致。湖水因为来自于地下水的渗透，具有天然的自我净化功能，所以无论旱涝都永远不会干涸。,7:30-18:00,https://img1.qunarzz.com/piao/fusion/2104/5b/e30b44e949095c02.jpg_480x360x95_b6eb0914.jpg,4.4,建议游览时间：2小时 - 4小时,四季皆宜，湛江地处北回归线以南，属亚热带气候，受海洋气候调节，冬无严寒，夏无酷暑，暑季长，寒季短，温差不大，气温年平均23.2℃。,"{'湖光岩电子导览服务大小同价\n\n': ['¥0.5起'], '【酒店套餐】南昆山云顶威士忌酒店泡池房+双人自助早餐+双人无限次温泉&玛雅水寨+私家泡池\n\n': ['¥569起']}",1、湛江每年的7-9月份，湛江易受台风等热带风暴影响，出行前请留意天气预报，避开台风；2、湛江地处热带，夏季阳光很强烈，记得带上防晒霜、墨镜等，做好防晒措施。,1
硇洲岛Naozhou Island,http://travel.qunar.com/p-oi704798-naozhoudao,"

地址:
湛江市章区市东南40公里

",硇洲岛， 古称硭，是一个大约20—50万年前由海底火山爆发而形成的海岛，也是中国第一大火山岛，位于广东省湛江市东南约40公里处，北傍东海岛，西依雷州湾，东南面是南海，纵深是太平洋，总面积约56平方公里。硇洲岛是“湛江八景”之一，美曰：“硇洲古韵”。它是湛江市的岛外之岛，风景秀丽，一年四季气候宜人。岛中名胜古迹众多，有南国著各的旅游度假胜地—那晏海石滩，有十分理想的天然海浴场，有与伦敦、好望角灯塔齐名的世界著名三大灯塔之一—硇洲灯塔。古迹有：宋皇城遗址、祥龙书院、八角井、宋皇碑、宋皇亭、宋皇村、赤马村以及窦振彪墓和“宫保坊”等。,全年 全天开放,https://img1.qunarzz.com/travel/d3/1702/dd/396723be41acc0b5.jpg_480x360x95_cfd17959.jpg,4.1,建议游览时间：3天,四季皆宜，湛江地处北回归线以南，属亚热带气候，受海洋气候调节，冬无严寒，夏无酷暑，暑季长，寒季短，温差不大，气温年平均23.2℃。,具体收费情况以景区现场公示为主。,1、湛江每年的7-9月份，湛江易受台风等热带风暴影响，出行前请留意天气预报，避开台风；2、湛江地处热带，夏季阳光很强烈，记得带上防晒霜、墨镜等，做好防晒措施。,1
白沙湾Baisha Bay,http://travel.qunar.com/p-oi713407-baishawan,"

地址:
湛江市徐闻县

",白沙湾，是一个海角，形似一弯新月，距湛江徐闻县海安镇东约3公里，夜晚可以隔海观望对面海南的高楼大厦。,全年 9:00-16:30,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/2f8a0be655a7b95c39396ca08b5d6be1.jpg_480x360x95_c424bfa5.jpg,4.5,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,1
中国大陆南极村Southest Village of China Mainland,http://travel.qunar.com/p-oi23344880-zhongguodalunanjicun,"

地址:
湛江市徐闻县角尾乡

",中国大陆南极村位于广东省徐闻县西南部，被琼州海峡与北部湾所环绕，地形犹如伸向大海的牛角，面积37平方公里，人口3.2万人。,全天开放,https://flight-feed.qunarzz.com/as3/180/image/poi_vishnu/580bc10a-0eae-447f-a249-bf8dcb4ed17e.jpg,4.5,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
寸金动物园Inch Golden Park,http://travel.qunar.com/p-oi10007699-cunjindongwuyuan,"

地址:
赤坎区西侧(近湛江师范大学)


电话:
0759-3201161

",寸金动物园位于寸金公园内，内有各种动物，还有海洋馆、逗趣园和海狮表演杂技场等。,周一-周五：09:00-17:30；周六日：08:30-18:00；春节、五一、国庆、儿童节：08:00-18:00。,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/aa74eb402c9a0ca1c9d9db5963db448f.jpg_480x360x95_9de362c5.jpg,4.6,建议游览时间：2小时 - 3小时,,{'寸金动物园门票优待票\n\n': ['¥20起']},,1
