名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
琅琊山景区Mount Langya,http://travel.qunar.com/p-oi710315-langyashanjingqu,,,,,,,,,,1
韭山洞Jiushan Cave,http://travel.qunar.com/p-oi709550-jiushandong,"

地址:
滁州市凤阳县城南30多公里韭山山腹


电话:
0550-6321288

","韭山洞东西主洞长一千四百七十二米，侧洞与北山的蝙蝠洞相通,长约四千多米，被专家誉为江北第一洞，其特点是深、大、险、奇、古。全洞分为虎踞龙蟠、摘星揽月、峡谷幽深、清流碧影、玉溪泛舟五大景区，重要景点二十多处。其中“虎踞龙蟠”是王惟忠备战屯兵的主要地段，“摘星揽月”是古人所谓“石形如器物者甚众”的景区，后三个景区曲折盘旋，奥妙无穷，在开发前从无先人涉足。韭山洞距今已有五亿年的地质历史，为喀斯特溶洞。早在一千五百多年前《水经注》中就有记载。唐代有很多人入洞探奇，据南宋《濠梁志》述：“洞水长流不绝，其石形如器物甚众，左右多唐人诗刻石,深崖中有石观音及石老人像”。",8:00-17:00,https://mp-commentcp.qunarzz.com/mp_comment_mp_comment/1554318040566100o12000000t9g7p0DBE_D_640_10000.jpg_480x360x95_76015e8f.jpg,4.3,建议游览时间：1小时 - 5小时,,"{'韭山洞门票成人票\n\n': ['¥45起'], '韭山洞门票儿童票\n\n': ['¥25起'], '韭山洞门票老人票\n\n': ['¥25起']}",,1
南天门Heavenly Southern Gate,http://travel.qunar.com/p-oi718587-nantianmen,,,,,,,,,,1
龙兴古刹,http://travel.qunar.com/p-oi712632-longxinggucha,"

地址:
安徽省滁州市凤阳县城北面“第一山”下

",龙兴古刹，又称大龙兴寺，俗称龙兴寺，位于凤阳县城北面“第一山”下。它的前身是於皇寺，明代开国皇帝朱元璋早年出家礼佛于此，为朱元璋的发祥地。龙兴古刹建于明兴武十六年（公元1383年），朱元璋亲自写了《龙兴寺碑》碑文，御书“第一山”碑，制定了一部《大龙兴寺律僧法》。明初的龙兴古刹，规模宏壮，拥有佛殿、法堂、僧舍共三百八十一间，为我国名刹之一。明清二代，古刹多次遭兵、火之灾，规模逐渐缩小。到清末，古刹面积仅有明初时的二十分之一。文革初期，又遭人为破坏。,7：00—18：00,https://img1.qunarzz.com/travel/d3/1505/e2/eda13265265636.jpg_480x360x95_2ebcef98.jpg,4.0,,,免费,,1
琅琊寺Langyasi,http://travel.qunar.com/p-oi713644-langyasi,"

地址:
滁州市南谯区琅琊山景区内


电话:
0550-3512999

",琅琊寺原名宝应寺，为唐代大历年间滁州刺史李幼卿与法琛和尚所创建。据说，李幼卿与法琛和尚在造寺之前，曾先绘图呈送唐代宗。恰巧代宗皇帝头天夜里梦见在一片山林深处有一座寺院，其形状、规模和那张图上画的颇为相似。代宗十分高兴，特赐名“宝应”。后又易名为“开化禅寺”、“开化律寺”，因其坐落在琅琊山中，人们便统称为琅琊寺。琅琊寺依山傍林，建筑雄伟。寺内大的建筑是大雄宝殿和藏经楼。大雄宝殿高14米，深15.3米，雕梁画栋，十分壮观。殿内塑有如来佛、观世音、十八罗汉。...琅琊寺原名宝应寺，为唐代大历年间滁州刺史李幼卿与法琛和尚所创建。据说，李幼卿与法琛和尚在造寺之前，曾先绘图呈送唐代宗。恰巧代宗皇帝头天夜里梦见在一片山林深处有一座寺院，其形状、规模和那张图上画的颇为相似。代宗十分高兴，特赐名“宝应”。后又易名为“开化禅寺”、“开化律寺”，因其坐落在琅琊山中，人们便统称为琅琊寺。琅琊寺依山傍林，建筑雄伟。寺内大的建筑是大雄宝殿和藏经楼。大雄宝殿高14米，深15.3米，雕梁画栋，十分壮观。殿内塑有如来佛、观世音、十八罗汉。藏经楼建在寺院的高处，居高临下，相传楼内曾藏有一部贝叶经。琅琊寺的其他建筑有无梁殿、明月馆、念佛楼、祗园、悟经堂等，或前或后，或搞或低，交相辉映，构成一幅雄壮而优美的山寺图。其自然名胜有归云洞、雪鸿洞、石上松等，奇姿巧态，各具特色。由于世事的变迁，琅琊寺及其周围建筑几兴几毁，很多亭台早已不复见了。现在的建筑，大部分是由达修主持重新修建起来的。建筑保持了古代原有的格局和式样。许多碑刻、石刻、古砖依然可见，所以琅琊寺正门内有一幅对联说：“古寺犹存明季石，山门尚有建康砖。”除了部分明代建筑外，还有唐碑、宋刻，都具有很高的历史文物价值。,7:00-18:00,https://img1.qunarzz.com/travel/d6/1805/b6/54a1c6fdbf559b5.jpg_480x360x95_d7adaf6e.jpg,4.6,建议游览时间：1小时,,包含于琅琊山景区内，通用琅琊山景区门票。,,1
神山森林公园Shenshan National Forest Park,http://travel.qunar.com/p-oi7573673-shenshansenlingongyuan,"

地址:
六镇镇城西北15公里草庵乡境内

",位于全椒县以西20公里处，总面积2200平方公里。较高峰海拔395米左右。山名由来无考，但唐建中年间，滁州刺史韦应物有《寄全椒山中道士》诗、山上所存神山寺，可证明1000多年前，佛道均在此争建庙宇道场。神山群山环抱，林深水秀，九座山围绕神山主峰，故称“九龙盘珠”。兼之涧壑幽深，石嶂奇竣，溪水绕山而过，甘泉破石而出，环境优美，气候宜人，融秀水、奇石、溶洞、古寺为一体，是一独特而幽雅的森林公园。其森林覆盖率达90％，植被多为阔叶林与人工长绿针叶混交林，各种树木有400种之多。主要景点有白石泉、神山湖、览胜塔、御溪桥。仙人洞、团山洞、龙洞、青牛洞等，还有充满象形神山石的黑石芤和距今已存1200多年的神山寺。,7:00-16:30,https://img1.qunarzz.com/travel/poi/1412/3c/3c0c751d61cdb713cdb.jpg_480x360x95_ddd695b3.jpg,5.0,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
碧云湖Biyun Lake,http://travel.qunar.com/p-oi7570662-biyunhu,"

地址:
滁州是全椒县城去10公里处

",原名黄粟树水库。建于一九五九年，是我省十大水库之一。也是我具杰出的自然风光优美的旅游度假的地方。正面库堤长270米、高32．2米、集水面积262平方公里，总库容量3亿立方米，常年水面16．8平方公里（约2万亩）。这里风景秀丽。距县城仅二十公里。柏油路直通。整个湖面座落群山环抱之中，碧水蓝天，一年四季乌语花香。常年气温比县城低3-5度。两岸群峰争秀；混交的阔叶林和常生的针叶树郁郁葱葱，湖水清澈透底。,全天,https://img1.qunarzz.com/travel/poi/1412/bd/bd47f0a9842a3c28cdb.jpg_480x360x95_4925d7fc.jpg,0.0,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
狼巷迷谷Langxiangmi Valley,http://travel.qunar.com/p-oi704004-langxiangmigu,"

地址:
滁州市凤阳县殷涧镇城东南30公里处


电话:
0550-6356029

",狼像迷谷位于凤阳县东南30公里处，分为古刹礼佛和迷谷探奇两大主题。其中迷谷探奇特别好玩，是天然的喀斯特地貌形成的“迷宫”，迷宫中的道路非常狭窄，最窄处只能弯腰躬身侧着通过，道路两边的岩壁都有一层一层的纹理，粗短的树木顽强地生长在岩石上，地貌奇特。景区的入口在东北角，古刹礼佛部分在东边，迷谷探奇部分在西边。先到达的是古刹礼佛部分，这里主要看禅窟寺、禅窟洞、摩崖石刻、塔林等人文景点，禅窟寺据说建成于汉武帝年间，现在看到的是现代新建的。然后到达迷谷探奇部分，许多人进入后会迷失方向，里面的景点名字起得特别应景，比如“晕头转巷”。迷谷尽头有一个游乐园，可以玩玩秋千、跷跷板，走走勇敢者的道路。景区内没什么吃饭的地方，需自备干粮。因为迷谷很窄，别背大包，“钻缝”不方便。,8:00-17:00,https://img1.qunarzz.com/travel/poi/1803/db/593d21ec1a590b37.jpg_480x360x95_19dc7725.jpg,4.5,建议游览时间：3天,,"{' 狼巷迷谷门票成人票\n\n': ['¥55起'], ' 狼巷迷谷门票儿童票\n\n': ['¥30起'], ' 狼巷迷谷门票学生票\n\n': ['¥30起']}",,1
明皇陵Fengyang Royal Mausoleum of the Ming Dynasty,http://travel.qunar.com/p-oi708582-minghuangling,"

地址:
滁州市凤阳县西南7公里处的太平乡


电话:
0550-6651640

",明皇陵位于凤阳县城南七公里处，是明太祖朱元璋父母陵墓，初建于吴王时期元至正二十六年，明洪武二年后又两次大规模修建，明洪武十二年年竣工。陵园占地2万余亩。当时有城垣三重，周长二十八里，其内“宫阙殿宇，壮丽森严”。享殿、斋宫、官厅数百间。历经600余载，虽经多次兵乱，但陵前神道上的三十一对（原为三十二对）石象生和皇陵碑、无字碑及坟丘等保存完整。皇陵碑文为朱元璋亲撰，石象生数量之多、刻工之精美为历代帝王陵之冠，1982年，被国务院列为全国重点文物保护单位。,9:00-18:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/66c914b8da8e82490cfd13c68917bb02.jpg_480x360x95_3e8e54d5.jpg,4.0,建议游览时间：1小时 - 5小时,,"{'明皇陵门票成人票\n\n': ['¥45起'], '明皇陵门票儿童票\n\n': ['¥25起'], '明皇陵门票老人票\n\n': ['¥25起']}",,1
明中都皇城遗址Mingzhong Capital Imperial City Ruins,http://travel.qunar.com/p-oi707187-mingzhongdouhuangcheng,"

地址:
滁州市凤阳县东华路附近

",全国及省级重点文物保护单位。位于皖东凤阳县城的西北隅，为明代开国皇帝朱元璋在其发祥地凤阳所营建的一座却于中途夭折的都城。1369年，朱元璋为显示其新王朝的威势，开始在全国调集百工技艺、军士民夫等，数以万计，大兴土木，在凤阳营建中都。“建置城池宫阙如京师之制”，以《宫皇图》为模本，设置“行工部”，其“规模之大、规制之盛、工艺水平之高，实冠天下”。中都城共有内、中、外三道城。外城周长约30公里，设四门，每座城门以内都有一条笔直的干道，纵横交错。中间一道为禁垣，周长7.85公里，平面呈长方形，四面设4门。即南曰承天门、北曰北安门、东曰东安门、西曰西安门。禁垣以内为宽约80米的护城河，被护城河环绕的才是内城，即皇城；皇城周长3.68公里，平面近方形，占地84万平方米；皇城墙高15米，全为长40、宽20、厚11厘米的特制大砖所砌。在中都城内十分明显地存在着一条纵贯全城南北的中轴线。这条中轴线南起外城的洪武门，北到外城的正北门（未建成），全长近7公里。中都城内的各种建筑无不规整对称地排列在这条中轴线的两侧。居中者为三大殿，其左、右分别为东、西二宫，向两翼分别为文华、武英二殿。其前为奉天门，后为后三宫。皇城午门以南，左为中书省、太庙，右为大都督府，御史台、社稷。明洪武八年（1375年），“罢中都役作”。后因取材建龙兴寺、历战火等原因，城墙及宫殿被大量毁坏，至20世纪70年代初，仅剩残存的午门、西华门台基及1100米长的城墙，但察其规模布局和遗物、遗迹仍十分壮观。现正陆续修复中。,7：30-18：00,https://flight-feed.qunarzz.com/as3/180/image/poi_vishnu/4b57e7c3-53ab-444d-aef1-63980b7747d8.jpg,4.4,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
