名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
北海湿地公园Beihai Wetland Park,http://travel.qunar.com/p-oi19986159-beihaishidigongyuan,"

地址:
滨州市无棣县郝家沟路北海凤鸣鸟类湿地公园西北门东北侧约40米

",北海湿地公园位于山东省滨州市无棣县濱港六路附近，是当地政府建设的大型生态湿地公园。公园面积辽阔，环境以湿地为主，同时包含多种生态系统，景色宜人，有大量的野生鸟类种群栖息在这里，飞翔时非常壮观。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/1f64ff09f9882ef548927f2026015192.jpg_480x360x95_4117c7aa.jpg,4.8,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
中国孙子兵法城China Sun Tzu's Art of War City,http://travel.qunar.com/p-oi702828-zhongguosunzibingfacheng,"

地址:
滨州市惠民县孙武路


电话:
0543-5353938,0543-5353967,0543-5353966

",中国孙子兵法城位于山东省惠民县的西北隅，是孙子故里人民为了纪念伟大的军事家孙武，充分挖掘弘扬孙子文化而修建的秦汉式大型园林建筑群。它以具有千年历史的宋代古城墙遗址为依托，以“和平、战争、智慧”为主题全面展示博大精深、享誉中外的《孙子兵法》兵家智慧。景区有15座大殿和224间厢房组成，整组建筑古色古香，汉韵十足，楼台亭轩，古井涌泉，交相辉映，曲径翠竹，古柏垂柳，摇曳生姿。它是继北京故宫、曲阜孔庙之后我国第三大庭院式人文景观，是山东省“一山一水两圣人”旅游体系的重要组成部分。,8:30-17:00,https://img1.qunarzz.com/travel/d5/1612/4d/71f824349648f9b5.jpg_480x360x95_3cb62d6d.jpg,4.0,建议游览时间：3天,,"{'中国孙子兵法城门票成人票\n\n': ['¥38起'], '中国孙子兵法城手机导游票大小同价\n\n': ['¥9起']}",,1
醴泉寺,http://travel.qunar.com/p-oi715501-liquansi,"

地址:
邹平县境西南长白山中

",醴泉寺始建于南北朝时期，后圮。唐中宗时，寺僧仁万重建寺院，时东山有一泉涌出，中宗赐名“醴泉”，醴泉寺即由此得名。醴泉寺建于群山环抱之中，坐南面北。大门两侧蹲踞一对石狮，迎门为文昌阁，阁上有殿，塑有文昌帝君神像。殿西有一古钟，径口2米，高3米有余，撞击之声，响彻数里。阁南为大雄宝殿，能容千人。中有释迦牟尼石像，系一巨石刻成，仅头部就有1米多高。殿后有东西两个跨院，东为范公祠、西为三星殿等，整个建筑完整和谐，浑然一体。,全太难,,4.0,,,免费,,1
鹤伴山Heban Mountain,http://travel.qunar.com/p-oi713476-hebanshan,"

地址:
滨州市邹平县鹤伴山国家森林公园


电话:
0543-4557038

",鹤伴山景区位于山东省邹平县南部山区。县城有公交直达。景区北有济青高速公路，距淄博市区30公里，距济南市区不足50公里。是山岳型自然风景区。鹤伴山所属白云山系，向有“泰山副岳”之称。鹤伴山风景区占地7200公顷，森林覆盖率近90%，共有五条旅游线路，总长6000余米。整个景区空气清新，生态环境良好，地形复杂多变，沟谷曲折狭长，山、石、瀑、泉、云雾等景观众多，被誉为“鲁中生态明珠”。景区以休闲度假为主题，主要景观有英雄石、碧血潭、九瀑涧、九潭溪、水帘洞、鹤鸣谷、鹤翔岭、百鸟园、野葡萄沟、槐花谷、长生院等。鹤伴山公园总面积480公顷，其中林业用地356公顷。,7:00-18:00,https://mp-commentcp.qunarzz.com/mp_comment_mp_comment/1559244800237100fsa114z0ygrbgg6C73_D_640_10000.jpg_480x360x95_f8744d40.jpg,4.5,建议游览时间：3小时 - 4小时,,30元,,1
雕窝峪Diaowoyu,http://travel.qunar.com/p-oi709100-diaowoyu,"

地址:
滨州市邹平县青阳镇西阿陀村南5华里处

",雕窝峪系隋末（公元611年）第一次农民起义遗址，山谷深邃奇险，风景十分奇特。雕窝峪三面皆与高山相连，唯西北角有东西宽20余米的峪口—石门。传说石门为王薄起义时所建造，可谓“一夫当关，万夫莫开”之险要。石门东、西各有“古石墙”（亦名石城墙），随山势向两边延伸，高约2丈，长各约2华里。进石门即听到水声潺潺，不见水影，西南方有一山涧，乱石蹲踞，水从石底默默穿行，故名“潜龙涧”。峪北山之西首为九顶峰，奇险怪异，峭壁流滴，汇成山河与浒水相连。接九顶峰而东野花遍布，棘草丛生，向阳花开早适春，世称“迎春岭”。东岭山顶，巨石集束倾斜，耸立峰巅，远望形似莲花怒放，人称莲花台(亦名莲花峰)。峪南山之巅有东、西两巨石相对，形似门洞，世称“天门”。据说碧霞元君去“泰山奶奶家”必过此门。天门向西有流峪瀑布。夏天山洪暴发直泻而下，水势汹涌，如万马奔腾，在十余里外的青阳镇即闻其惊天动地的轰鸣，看到千仞白练，宛如“银河落九天”之奇观。峪北下首的三角地有一泉井，世称“美井”。美井水甘美异常，久旱不涸，供游人饮用，众游客汲水回家奉为神水，可消炎祛病。此美井之水经过大东南峪，山上的药材百余种，其药根部经水润而下，渗于井内，水中含有多种药物元素，故有消炎祛病之功效。由美井而上，东南峪中平坦之处突兀树立着约二丈高的一石柱，形似一巨笔倒立，故称“笔尖石”。,全年 7:30-17:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/119da3901d4030825105225e90ae4edf.jpg_480x360x95_2e37d783.jpg,4.2,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
魏氏庄园Wei Family Manor,http://travel.qunar.com/p-oi701620-weishizhuangyuan,"

地址:
滨州市惠民县魏集镇庄园路1号


电话:
0543-5658277

",魏氏庄园位于山东省惠民县魏集镇，是全国重要的文物保护单位，国家AAA级旅游景区，与烟台牟氏庄园、四川刘文彩庄园并称为“中国三大庄园”，是国内现存仅有的城堡式庄园。魏氏家族是鲁北地区有名的望族，有六代二十余人曾在朝中做官，较高的至正二品。在魏集村周围拥有三千多亩良田，并在华北地区开设多家钱庄、当铺，曾用“协和”、“协增”为商号，是集官僚、地主、商人三位一体的望族。魏氏庄园由树德堂、徙义堂、福寿堂三组建筑组成，建于清代，规模宏大，建筑精良，占地面积32543平方米，现有房屋近百间，距今已有百余年的历史。其中树德堂具有特色，是清代武定府同知魏肇庆的私人宅邸，建于清光绪十六至十九年（公元1890-1893年），由宫廷营造社大师设计，经许多能工巧匠精心施工而成。庄园坐西朝东，气势恢宏，由住宅、广场、池塘、花园及祠堂构成。其特点是将军事防御功能的城垣建筑与中国传统的北京四合院式民居融为一体，形成了具有特色的建筑风格。城堡式住宅是庄园建筑群的主体，城垣建筑平面为矩形，沿用了中国古代城墙的建筑模式和特点，建有城门、城门楼、马面，还创造性的增设了突出墙体的碉堡。城墙高10米，顶部宽1.5米，设垛口、女儿墙；城墙内壁四周设13个供武装人员对外射击的壁龛；北部城墙女儿墙为锯齿状，较窄处仅容一人行走，体现了“一夫当关，万夫莫开”的军事防御思想。因其浓郁的军事防御色彩，并将城垣建筑运用于传统民居之中，所以是孙子兵法在民居中应用的典范。内宅部分是庄园建筑群的核心，按清代《工部工程则例》设计施工，各单体建筑依纵轴线排列，形成了各自独立的单元。其间用仪门、备弄、暗道相通，还将北方四合院建筑艺术与南方阁楼建筑艺术巧妙的结合在一起。既承袭了北方建筑的对称、严谨、雄厚之风，又体现了南方建筑空间布局灵活多变之势。庄园设有磨坊院，并在磨坊院内地下埋有大量煤炭，储备大宗粮油。如遇战争或灾荒连年，城门关闭三年，不靠外援，仍有吃、有穿、有用的，体现了封建社会自给自足的经济形态。徙义堂与福寿堂做工精细，风格亦各有千秋，也带有明显的地域色彩。魏氏庄园具有深厚的文化底蕴，体现了高超的建筑艺术与中华民族文化的博大精深。随着近年维修、开发力度的加大，内部陈列的充实，力求让庄园恢复其往日风彩，成为人们感受鲁北民俗文化绚丽多彩的好场所。,全年 08:00-17:00,https://mp-commentcp.qunarzz.com/mp_comment_mp_comment/1560194388388100r15000000xj27mB318_D_640_10000.jpg_480x360x95_a1810bbc.jpg,4.4,建议游览时间：1小时 - 2小时,,{'魏氏庄园(不含门票)手绘地图、语音讲解、路线推荐服务成人票\n\n': ['¥7起']},,1
蒲湖公园Puhu Park,http://travel.qunar.com/p-oi702388-puhugongyuan,"

地址:
滨州市滨城区渤海五路鲁北蔬菜批发市场南侧


电话:
0543-3322558

",蒲湖风景区坐落在黄河下游滨州河段左岸的北镇新堤与老堤之间，筹于一九八五年初，是黄河三角洲地区著名的旅游胜地，也是滨州黄河国家水利风景区的重要组成部分。这里不仅风光秀美，景色旖旎，而且历史文化底蕴极其丰厚，是百多年来古河道和黄河下游河道变迁的见证地。该景区原先由蒲湖和蒲园两部分组成，总面积215公顷，其中蒲湖水面174.372公顷，绿地15.312公顷。蒲湖曾是原蒲台县城，1976年8月29日夜间，黄河洪水冲垮护城坝，这座780多年的古城从此没了踪影。,全天,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/a80fc9acc97cf2ba26eaba2b337f03e5.jpg_480x360x95_f28c1dc1.jpg,4.4,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
范公祠Fangongci,http://travel.qunar.com/p-oi711596-fangongci,"

地址:
滨州市邹平市长山镇会仙一路

",大家都知道，范仲淹不是博山人，而是苏州吴县人，那么为什么在博山这个地方建纪念祠呢？据史料记载：博山是范仲淹的母亲谢氏的娘家，也就是说他的外祖母家在博山。范仲淹两岁的时候，他的父亲病故了，那时他的母亲还很年轻，便冲破世俗的束缚，带他改嫁到了长山县（今山东省邹平县长山镇）的朱氏家中，少年时代的范仲淹，在朱家经常受到虐待，他的母亲感到非常伤心，便把他护送到博山的荆山寺读书学习，后人敬佩他的政绩和节操，便在他少年读书学习的地方建祠纪念。范公祠，它是一组以范泉为中心的古代建筑群，始建于明代。虽然这个地方建筑面积不大，但因高下相间，随势安排，布局合理，错落有致，确给人以古色古香、古朴典雅之感。,全年 7:00-18:00,,4.5,建议游览时间：1小时,,10元,,1
会仙山,http://travel.qunar.com/p-oi705569-huixianshan,"

地址:
邹平县城西南7.5公里处

",会仙山在邹平县城西南7.5公里处，高590.8米，为长白山脉北部山群的主峰。周围环拱大小山头几十座，山势起伏，壑峪纵横，千姿百态，气象峥嵘。会仙山山势陡峻，北有石船谷，南有盘壑峪，绝顶深涧，三面环绕，皆奇险莫攀，只有西坡几线羊肠小径可达山顶。石船谷口，双峰对峙，南石户顶、北石户顶均陡峭异常，为会仙山一大险胜。盘壑谷中，草木葱茏，涧水萦回，景最幽僻，古有庵院，人称“小桃园”。东面半山壁上，几股泉水溢出，夏秋滴水飞练，冬春冰溜倒悬。因在阴寒崖面，往往至夏日...会仙山在邹平县城西南7.5公里处，高590.8米，为长白山脉北部山群的主峰。周围环拱大小山头几十座，山势起伏，壑峪纵横，千姿百态，气象峥嵘。会仙山山势陡峻，北有石船谷，南有盘壑峪，绝顶深涧，三面环绕，皆奇险莫攀，只有西坡几线羊肠小径可达山顶。石船谷口，双峰对峙，南石户顶、北石户顶均陡峭异常，为会仙山一大险胜。盘壑谷中，草木葱茏，涧水萦回，景最幽僻，古有庵院，人称“小桃园”。东面半山壁上，几股泉水溢出，夏秋滴水飞练，冬春冰溜倒悬。因在阴寒崖面，往往至夏日来临，冰溜尚消融不尽，此谓之滴水崖。,全天,,5.0,,,20元,,1
丁公遗址,http://travel.qunar.com/p-oi714052-dinggongyizhi,"

地址:
山东青岛邹平县苑城乡丁公村东

",丁公遗址位于邹平县苑城乡丁公村东，东西长约300米，南北宽约200米。在遗址中发现大量龙山文化及岳石文化遗物。所采集的文物标本除蚌器外，主要有石铲、磨制石斧等石器，还有骨簇、骨针及具有龙山文化典型特征的蛋壳陶片。陶器中有小陶罐，为泥质灰陶，鼓腹，颈部有一弦纹，口径5.2厘米，腹径8厘米。还有陶瓮残片，为泥质灰陶。细绳纹并附加堆纹。尤为珍贵的是黑陶鬼脸式鼎腿、猪嘴鼎腿等。经考证，为典型的龙山文化和岳石文化遗存。以上类型的陶器在滨州地区内是首次发现，对研究古文...丁公遗址位于邹平县苑城乡丁公村东，东西长约300米，南北宽约200米。在遗址中发现大量龙山文化及岳石文化遗物。所采集的文物标本除蚌器外，主要有石铲、磨制石斧等石器，还有骨簇、骨针及具有龙山文化典型特征的蛋壳陶片。陶器中有小陶罐，为泥质灰陶，鼓腹，颈部有一弦纹，口径5.2厘米，腹径8厘米。还有陶瓮残片，为泥质灰陶。细绳纹并附加堆纹。尤为珍贵的是黑陶鬼脸式鼎腿、猪嘴鼎腿等。经考证，为典型的龙山文化和岳石文化遗存。以上类型的陶器在滨州地区内是首次发现，对研究古文化发展有重要意义。,8:00-18:00,https://img1.qunarzz.com/travel/d8/1506/87/6bc03dadd68320.jpg_480x360x95_ffb12937.jpg,4.5,,,15元,,1
丈八佛石造像,http://travel.qunar.com/p-oi706476-zhangbafoshizaoxiang,"

地址:
博兴县城东南10公里处的寨郝乡寨高村西北角

",石造像亦称兴国寺石造像，坐落在博兴县城东南10公里处的寨郝乡寨高村西北角，因其身高丈八，俗名丈八佛。佛像坐北面南，全高6.75米，底座高1.5米，底面积7.29平方米，为单身立式圆雕青石造像。佛像高肉髻，面方圆，微笑，丰颐大耳，法相庄严，身披“褒衣博带式”通肩袈裟，内着僧支祗，胸前打结，“施无畏与愿印”，赤足立于莲花座上。佛像雕刻精致，造型生动，人体比例准确，衣纹舒展流畅，堪称艺术珍品。,全天,,3.7,,,8元,,2
唐李庵Tang Li Temple,http://travel.qunar.com/p-oi707841-tanglian,"

地址:
滨州市邹平县城西5公里会仙山东麓

",唐李庵，据碑记记载，其较早的一次重建是在明隆庆年间，距今已有400多年。现存的主要建筑有大殿、东西偏殿各有三间，另有跨院僧房、藏经楼和寺南接待香客的客房和寺东的姑子庵草房等，总计有房屋32间，建筑面积820平方米。大殿、屋脊、檐角均饰有双龙和吻兽，内部绘有钟馗捉鬼、菩萨像、唐三藏取经、八仙人物、哪吒闹海、墨色老虎、竹子、彩色三国演义故事，以及墨色山水。人物画等大量壁画。庵内还有有明隆庆元年至清道光年间增修唐李庵石碑4座，柏树数株和一株相传有500年树龄的文冠果树一株。唐李庵风景区占地1338亩，集风景观光、佛教拜祀、文化探寻等功能于一体，历史悠久、曲径通幽、文脉昌盛。寺庙主体建筑有大殿及东西配殿，庙南建有兴林塔，其中东西配殿梁柱上有明代四爪飞龙彩绘，国内罕见。寺院东植有文冠果树一株，树龄已逾千年；寺院南侧有350年树龄“法师手植桧”。寺院两侧建有梁漱溟纪念馆及乡贤名人书画展厅，保存有珍贵的文字及图片等历史资料。,全年 8:00-18:00,https://img1.qunarzz.com/travel/d4/1506/32/7841c808cd68cc.jpg_480x360x95_ccd6b007.jpg,4.3,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,2
孙子故园Sunzi's Memorial Garden,http://travel.qunar.com/p-oi711314-sunziguyuan,"

地址:
孙武街道城内故园路21号


电话:
0543-5322049

",孙子故园坐落于滨州市惠民县城文化区内，是为纪念我国古代伟大军事家、“兵学鼻祖”孙武而兴建的一处园林式仿古建筑群，总占地面积4.3万平方米。孙子故园的主要建筑有：孙子书院、孙子塑像、文化广场、乐安湖等。孙子书院为主体建筑之一，占地面积2843平方米，整体建筑风格为仿明清木框台梁结构轴线对称组群样式建筑，建有正殿、东西配殿和侧殿、左右南殿共7座主体建筑，计35间。四周有回廊相通，雕梁画栋、古朴典雅，莲花图案围绕的汉白玉基座上树立有铜质院标，为整个书院的总标识。故园内的一大特点是，所有院标均以礼兵器殳为首，盾为体，春秋时期长兵器戈、戟、矛、铍、弓为两翼，组合成一个左右交叉的整体，形似展翅欲飞的吉祥鸟，象征战争与和平对立统一的辩证思想及攻守、进退的战争谋略，准确体现了《孙子兵法》主题思想。书院正殿兵圣殿居中安置有高2.3米，重2.5吨的铜质孙武坐像；正面及两侧墙壁陈列张挂有大型木质浮雕“孙子圣迹图”。圣迹图由赐姓封采、敬献兵书、吴宫教战、经国治军、破楚入郢、飘然高隐六部分组成，场面宏大，形象生动地绘述了孙武家世及其非凡的一生。东配殿为《孙子兵法》石刻篆书拓片展室，室内在高1.07米，宽1.03至2米不等的14块拓片上，有《孙子兵法》十三篇原文，制作精良，字迹清晰。西配殿为孙子形象系列国画展室，西院南殿为孙子研究活动图片展室，东院南殿为藏书室。中院西侧殿为礼品室，东侧殿为名优旅游纪念品展室。孙子塑像坐落在孙子故园北侧广场中心，由优质花岗岩雕琢而成，高8米，重30余吨。塑像底座正面为著名《孙子兵法》研究专家郭化若将军题写的“兵圣孙武”四个大字，背面有军事科学院吴如嵩将军为惠民县委、县人民政府撰写的关于孙武生平的四言铭文。塑像背后是一面示意汉代书简影壁，绘有孙子兵法十三篇内容。影壁南临乐安湖，影壁西南临湖，立有《乐安孙氏谱序》碑，该碑是江苏省泗洪、泗阳等县孙子后裔根据其四十九世祖孙文若于绍兴二十六年（公元1156年）所撰《乐安孙氏谱》序文而刻制，1994年赠送给孙子故园。,8：00—18：00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/f9c6d8bdd03855bd27816ef7dc413f5b.jpg_480x360x95_7fa4d09b.jpg,4.0,建议游览时间：1小时,,具体收费情况以现场公示为主,,2
泰易文化院,http://travel.qunar.com/p-oi39611756-taiyiwenhuayuan,,,,,0.0,,,,,2
道旭古渡口,http://travel.qunar.com/p-oi39611363-daoxugudukou,,,,,0.0,,,,,2
阳光田园小镇,http://travel.qunar.com/p-oi39605211-yangguangtianyuanxiao,,景区内包含滑雪场、渔乐岛、真人CS、高标准中草药种植基地、劳动教学实验园、办公及哆咪屋民俗区、游泳馆、射击区（2F)及配套服务停车场等设施。,,,2.0,,,,,2
山东打渔张引黄灌区,http://travel.qunar.com/p-oi39564322-shandongdayuzhangyinhuang,,,,,0.0,,,,,2
滨州非物质文化展馆,http://travel.qunar.com/p-oi39413899-binzhoufeiwuzhiwenhua,,,,,0.0,,,,,2
西榭花语,http://travel.qunar.com/p-oi39177978-xixiehuayu,,,,,0.0,,,,,2
三八水库,http://travel.qunar.com/p-oi38944293-sanbashuiku,,,,,--,,,,,2
文化古城旅游景区,http://travel.qunar.com/p-oi38943008-wenhuaguchenglu:youjing,,文化古城现存老县衙、文峰台、文庙等10多处历史古迹和文化遗址，明清时期，举人127人，进士40人、贡生385人，明朝兵部司马丁汝夔家乡是古城镇官庄村，一榜四进士、兄弟同榜、父子三进士、父子二鼎甲、同怀朱卷等史实载于史册，渤海大鼓、剪纸、鸳鸯嫁老雕等非物质文化遗产在民间广泛流传。,,,0.0,,,,,3
秦皇台风景旅游区,http://travel.qunar.com/p-oi38917598-qinhuangtaifengjinglu:,,,,,--,,,,,3
中海公园,http://travel.qunar.com/p-oi38674648-zhonghaigongyuan,,,,,2.0,,,具体收费情况以现场公示为主,,3
滨州动物园,http://travel.qunar.com/p-oi38672887-binzhoudongwuyuan,,滨州动物园位于滨州市蒲湖风景区院内。风景秀丽，动物种类繁多。有众多品类的珍惜动物。灵长区：猕猴、短尾猴、松鼠猴、黑帽悬猴猛兽区：狮子、狗熊、黑熊狼小兽区：长鼻浣熊、小浣熊、耳廓狐、黑尾土拨鼠、旱獭、豪猪、细尾獴、袋鼠、貉、松鼠草食区：斑马、马鹿、牦牛、骆驼、梅花鹿、白田鹿萌宠区：鹦鹉乐园，羊驼、迷你兔、宠物驴、盘羊、鸵鸟、四角羊、荷兰猪百鸟园：孔雀、火鸡、天鹅、柯尔鸭、斑头雁、赤麻鸭、绿头鸭,,,0.0,,,,,3
秦皇河荷兰风情村,http://travel.qunar.com/p-oi38625518-qinhuanghehelanfengqing,,,,,--,,,具体收费情况以现场公示为主,,3
无棣大觉寺,http://travel.qunar.com/p-oi38337642-wudidajuesi,,,,,4.5,,,具体收费情况以现场公示为主,,3
白鹭湖湿地公园,http://travel.qunar.com/p-oi38336476-bailuhushidigongyuan,,,,,0.0,,,具体收费情况以现场公示为主,,3
