名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
南街村Nanjie Village,http://travel.qunar.com/p-oi704459-nanjiecun,"

地址:
漯河市临颍县南街村前进路1号


电话:
0395-8851274,0395-8853790


官网:
http://www.nanjiecun.cn/

",南街村，位于漯河市临颍县城东南部，是全国著名的新农村，也是红色旅游的重要景点，走社会主义集体化道路的样板。进入南街村，呈现在眼前的是宽阔平坦的街道、林立的楼群、设计别致的公园、赏心悦目的环境。如今的南街村已做到了子女入托上学、医疗、住房等完全免费，实现了社会主义现代化的幸福生活。南街村旅游以发展模式、分配办法、生活方式及创建共产主义小社区伟大实践为特色，全面展示南街村独特的红色人文景观，通过近几年的不断发展、完善，南街村旅游已初具规模，并形成了独具特色的工业园区、高新农业园区、植物园、村民住宅区、广场文化展示区、和革命传统教育区等观光旅游景区。游览南街村，可以乘坐村内提供的电瓶车（费用包含在门票内）。村里有一个放映厅，游客在这里可以观看村党委书记王宏斌关于南街村历史与现状的报告录像，录像长约40分钟。南街村村民每天伴随着播音室播出的《东方红》开始一天的集体劳动，播出《大海航行靠舵手》是午饭时间，下班时间播出《社会主义好》。,南街村全天开放，村内各景点开放时间不一，详情可电话咨询。,https://mp-commentcp.qunarzz.com/mp_comment_mp_comment/1549668653255100111000000qwau86A13_D_640_10000.jpg_480x360x95_6680e834.jpg,4.3,建议游览时间：3小时 - 4小时,,"{'南街村观光园门票成人票\n\n': ['¥45起'], '南街村门票+观光园门票成人票\n\n': ['¥55起'], '南街村电子导览服务大小同价\n\n': ['¥9起']}",,1
三绝碑,http://travel.qunar.com/p-oi707238-sanjuebei,,三绝碑即《受禅表》碑和《公卿将军上尊号奏》碑，位于许昌市西南17公里处的繁城镇汉献帝庙内。《受禅表》碑，高3.22米，宽1.02米，厚0.28米，圭形，上有碑穿额题篆书阳文“受禅表”三字。碑文22行，每行49字，字1寸2分，隶书阴镌，内容首先阐明禅让乃自古之美德，接着颂扬曹丕“齐光日月，材兼三级”，有“尧舜之姿”、“伯禹之劳”、“殷汤之略”、“周武之明”，在公卿将军固请下，他“回师千虑，至于再，至于三”才在繁阳（今繁城镇）筑灵坛举行受禅大典。《公卿将军上尊号奏》碑高...三绝碑即《受禅表》碑和《公卿将军上尊号奏》碑，位于许昌市西南17公里处的繁城镇汉献帝庙内。《受禅表》碑，高3.22米，宽1.02米，厚0.28米，圭形，上有碑穿额题篆书阳文“受禅表”三字。碑文22行，每行49字，字1寸2分，隶书阴镌，内容首先阐明禅让乃自古之美德，接着颂扬曹丕“齐光日月，材兼三级”，有“尧舜之姿”、“伯禹之劳”、“殷汤之略”、“周武之明”，在公卿将军固请下，他“回师千虑，至于再，至于三”才在繁阳（今繁城镇）筑灵坛举行受禅大典。《公卿将军上尊号奏》碑高3.22米，宽1.02米，厚0.32米，圭形， 上有碑穿，碑额篆书阴刻“公卿将军上尊号奏”八字。碑文隶书阴镌，正面22行，背面10行，每行49字，字大1寸2分，内容为魏文武大臣奏请曹丕代汉称帝事。奏章称道“汉帝奉天命以固禅，群臣敬天命以固请”。汉献帝让位曹丕代汉乃天命所归。奏章前后均列公侯臣等46人职名。两碑均系王朗文、梁鹄书、钟繇镌字，谓之三绝，即文表绝，书法绝，镌刻绝，有较大的史料价值和艺术价值。,,,--,,,,,1
小商桥The Little Shang Bridge,http://travel.qunar.com/p-oi714761-xiaoshangqiao,"

地址:
漯河市临颍县皇帝庙乡商桥村107国道西侧


电话:
0395-8566617

",小商桥景区位于漯河市临颍县城南皇帝庙乡小商桥村。景区北距南街村10公里，南距漯河市区12公里，西靠京广铁路，东临107国道，地理位置十分重要。目前，景区由小商桥、杨再兴纪念园两大核心景观构成。小商桥坐落于小商河（颍河古道）上，沿小商河往东200米河北岸为杨再兴纪念园。小商桥原位于历代官道上，是千余年来沟通南北的要冲。1987年3月省人民政府公布为河南省第二批文物保护单位。小商桥始建于隋开皇四年（584年），元、明、清及上世纪90年代均有修葺。这里还有4D影院、宋金军事文化区、《满江红》石刻、凤凰台、古驿站、桥文化馆、百名将军题词碑廊、八卦阵、渔舟岛、商河古道、诗山、英烈堂、宋金人物和兵器馆、壮怀殿等主要核心景观。是一处集访古、休闲、游乐为一体大型人文旅游景区。,全年 8:30-18:00,https://img1.qunarzz.com/travel/d5/1504/d3/f16a09a2f7f78f.jpg_480x360x95_b5f6ca41.jpg,4.2,建议游览时间：2小时 - 4小时,,具体收费情况以现场公示为主,,1
许慎墓Xu Shen’s Tomb,http://travel.qunar.com/p-oi703311-xushenmu,"

地址:
河南省漯河市召陵区姬石乡许庄村东土岗


电话:
0395-6786796,0395-6770677

",许慎墓，全国重点文物保护单位，位于河南省漯河市召陵区，姬石乡许庄村东土岗上。东南3公里为汉召陵故城，西1公里为沙河（即氵隐 水）。墓冢高5米，周长33米，墓前立有清顺治十三年（1656年）郾城县知县荆其惇重修墓碑、康熙四十六年（1707年）知县温德裕立《汉孝廉许公之墓》碑和光绪二年（1876年）知县王凤森撰文并立《许夫子从祀文庙记碑》。其子许冲墓在许庄村西北。村北原有许慎故祠，已废。村内多为许慎后裔，县城内有清代山东东阿周世臣建的“许南阁祠”，内设“太尉南阁祭酒讳许慎字叔重之位”。,全年 周一 全天不开放 ;全年 周二-周日 08:30-17:30,,4.7,建议游览时间：0.5小时,,包含于许慎文化园内，通用许慎文化园门票。,,1
香陈湾,http://travel.qunar.com/p-oi716465-xiangchenwan,,漯河市香陈湾是因园址建在沙河环抱的香陈湾村而得名。原名陈湾村，因村上陈姓居多，又加上处在沙河河湾当中，因此称陈湾村，旧社会由于该村加工敬天拜神的香远近闻名，又称香陈湾。由澳的利投资兴建的漯河市香陈湾游乐园，一期工程占地面积600余亩，总投资近6000万元，是国内一流的大型游乐园。香陈湾乐园三面被清清的沙河水环抱，园外与远近闻名的十五里店花园为邻，园内拥有大型水上乐园（在建）、喷高50米的大型音乐喷泉、豫南最大的人工湖、徽派水乡风格系列仿古建筑、国内一流...漯河市香陈湾是因园址建在沙河环抱的香陈湾村而得名。原名陈湾村，因村上陈姓居多，又加上处在沙河河湾当中，因此称陈湾村，旧社会由于该村加工敬天拜神的香远近闻名，又称香陈湾。由澳的利投资兴建的漯河市香陈湾游乐园，一期工程占地面积600余亩，总投资近6000万元，是国内一流的大型游乐园。香陈湾乐园三面被清清的沙河水环抱，园外与远近闻名的十五里店花园为邻，园内拥有大型水上乐园（在建）、喷高50米的大型音乐喷泉、豫南最大的人工湖、徽派水乡风格系列仿古建筑、国内一流的现代化游乐设施，特别是德国进口传动装置、香港特效设备，国际一流的4D动感电影绝对让您大开眼界。夜晚花灯初上，园内各种造型奇特，五颜六色的彩灯一起绽放，令人目不暇接，流连忘返。到了夏天，喷泉开起，河风习习，夏日暑气荡然无存，音乐喷泉和着仙曲姗姗起舞，真是好一片洞天福地。,,,3.0,,,,,1
受禅台,http://travel.qunar.com/p-oi705551-shoushantai,,位于临颍县繁城镇。台高9.30米，面积约2500平方米，略呈正方形。东汉延康元年（公元220年）汉献帝刘协在此被迫逊位于曹丕，史书曰“禅让”，故名“受禅台”。台上原有殿、亭及天禄、辟邪等，现仅存建筑基址。为县级文物保护单位。,,,--,,,,,1
漯河积木主题小镇,http://travel.qunar.com/p-oi39585505-luohejimuzhutixiaozhen,, 漯河积木主题小镇位于临颍县城向北7公里小师村，占地70余亩，能够满足300人以上的住宿、会议、餐饮，同时设有ATV越野区，无动力游玩区，运动型车类，田园牧场、户外露营、户外运动、研学活动，萌宠乐园等25种游玩项目，还设置了农耕研学，亲子研学，亲子游学，冬夏令营等扩展活动，可以定制毕业典礼，努力打造成中原地区特色的亲子主题小镇。,,,0.0,,,,,1
食尚年华田园综合体,http://travel.qunar.com/p-oi39414651-shishangnianhuatianyuan,,,,,5.0,,,,,1
蝈蝈部落,http://travel.qunar.com/p-oi39409522-guoguobuluo,,蝈蝈部落景区，位于漯河市临颍县大郭镇胡桥村，占地约300亩，是胡桥村乡村振兴总体规划田园综合体项目之一。乐园距市区仅30分钟车程，是城郊原生态户外大型亲子乐园，是涵盖亲子游乐、休闲旅游、特色商业等多种功能的全方位亲子旅游项目。园区包含小火车、丛林穿越、玻璃栈道、彩虹滑道、大型滑梯、恐龙园、网红秋千、蹦蹦云、萌宠乐园等20多项游乐设施。,,,5.0,建议游览时间：1小时 - 7小时,,,,1
红枫广场,http://travel.qunar.com/p-oi38672354-hongfengguangchang,,,,,--,,,具体收费情况以现场公示为主,,1
