名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
东山岛Dongshan County,http://travel.qunar.com/p-oi704439-dongshandao,"

地址:
漳州市东山县东山岛


电话:
0596-2023939

",东山岛位于福建漳州的南部，是一个ins风小岛，景色美丽、民风淳朴。电影《左耳》中小耳朵对着大海哭泣的场景，就拍摄于岛上的南门湾。因为电影的热播，南门湾已经成为东山岛旅游的热门景点之一。此外，这里其它景点也各具特色，标志性的风动奇石，也是来到东山岛必定要拍照留念的地方。据说这风动石只要风一吹就会摇动，好像一不留神就会掉下去的样子，非常神奇。离风动石不远的地方有个寡妇村，它实际是个博物馆，当时军队从东山岛撤退时，带走了岛上的青壮年们，于是村子里剩下的妇女都变成了“寡妇”。这个博物馆展现了事件的始末，有些历史照片和浮雕也详细还原了当年的历史。来到东山岛，你可以呆个一两天，品尝一下当地的新鲜海鲜，亲身体验渔夫捕鱼捞网的乐趣，再去沙质细腻的海边做个日光浴，迎着海风玩水踏浪，尽情享受海边度假时光。   ,全天开放,https://img1.qunarzz.com/travel/d9/1507/79/b5fdf6da94691.jpg_480x360x95_cb18843c.jpg,4.6,建议游览时间：3天 - 6天,,"{'东山岛风动石门票成人票\n\n': ['¥42起'], '东山岛风动石门票儿童票\n\n': ['¥22起'], '漳州市东山岛冰雪乐园门票成人票\n\n': ['¥98起']}",金銮湾的沙子相比马銮湾等景区更细，人也较少，喜欢安静的游客可去此处观赏。,1
鱼骨沙洲Fishbone Shoal,http://travel.qunar.com/p-oi23025925-yugushazhou,"

地址:
漳州市东山县岐下村


电话:
13328768788,18650425596,18650427213

",鱼骨沙洲位于东山岛岐下村，是一块大自然馈赠的神奇沙洲，因在退潮后大海中间会出现一个像鱼骨形状的沙滩，故人们称之为“鱼骨沙洲”。层层海水跟鱼鳞一般涌向沙滩，碧波粼粼，放佛海和天连接在一起，十分壮观。,04/17-12/31 09:00-16:30,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/ec0dff60b02115e310ebb4fda3441386.jpg_480x360x95_142971d9.jpg,4.1,建议游览时间：1小时 - 3小时,,"{'东山渔人码头帆船体验票成人票\n\n': ['¥148起'], '东山渔人码头帆船体验票儿童票\n\n': ['¥89起'], '东山岛岐下村鱼骨沙洲渔民体验套餐B票成人票\n\n': ['¥198起']}",,1
漳州古城Zhangzhou Ancient City,http://travel.qunar.com/p-oi10091273-zhangzhougucheng,"

地址:
漳州市芗城区，东入口位于修文东路与新华南路交汇处，西入口位于钟法路与振成巷交汇处，北入口位于延安南路北段、中山公园东门口。


电话:
0596-2062036

",漳州古城，位于“海滨邹鲁”、国家历史文化名城漳州。古城是漳州的核心区，同时也是全国文化生态保护区——闽南文化生态保护实验区的重要组成部分。 漳州古城地处商贸繁华的城市中心区，又是历史建筑、传统文化集中的老城区，“老街情、慢生活、闽南味、台侨缘”五大特色非常鲜明，文化旅游资源十分丰富。 2004年荣获“联合国教科文组织亚太地区文化遗产保护项目荣誉奖”，入选首批“中国历史文化街区”。近年来，先后有《云水谣》、《海峡》、《剧场》等一批影视剧把漳州古城作为重要取景地，到历史街区取景拍摄。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/5022a827bd131c7c86e829ecf3deac8f.jpg_480x360x95_4419eb73.jpg,4.6,建议游览时间：2小时,,{'15人小团丨东山岛一日游<鱼骨沙洲/苏峰山/南门湾>\n\n': ['¥338起']},,1
云水谣景区Yunshuiyu Scenic Area,http://travel.qunar.com/p-oi5943009-yunshuiyaojingqu,"

地址:
福建省漳州市南靖县X607


电话:
400-888-5111

",云水谣景区原来不叫云水谣，因为电影《云水谣》的拍摄，它才被大家广泛熟知，也因此改名为云水谣。它是南靖土楼的一部分，也是南靖土楼中热门的落脚地。景区包括了云水谣古镇、和贵楼及怀远楼三个景点。三个景点沿着长教镇的一条小河展开，中间是云水谣古村，北头是怀远楼，南头是和贵楼。整个景区壮观的应该是5层楼高的和贵楼，它是较大的方形土楼，令人诧异的是它是建在沼泽地之上的。中庭有一块下陷的鹅卵石地面，长期潮湿，人站在上面踩一踩就能感觉到地面的上下摇动。需要注意的是，如果你想要上楼，需要另外支付5元，并且这里的商业气息很浓重，各种小摊挤的满满当当。另外，云水谣景区是个适合散步的地方，这里有客家土楼、百年老榕树、还有鹅卵石铺成的古道。漫步在铺满鹅卵石的溪边，看流水潺潺、白鸭慢步、榕树垂柳，感受清新自然的田园风光，确实是一种享受。,全天开放,https://img1.qunarzz.com/travel/d5/1710/fa/ac60317cdee155b5.jpg_480x360x95_d087b159.jpg,4.4,建议游览时间：3天,南靖属亚热带气候，冬无严寒，夏无酷暑，四季都可以游玩。夏季注意台风天气。,门票含和贵楼、云水谣古镇、怀远楼三个景点。,1、女生最好不要穿高跟鞋！沿途走路的比较多，云水谣多鹅卵石路，很容易扭到。如果已经穿了的话，那边也有拖鞋买，到那边买双拖鞋也可以。2、夏天过来的，那边蚊子较多，所以爱美的女士最好能穿长点，备瓶风油精或驱蚊油是不错的选择，当地也有得买。3、安全问题。云水谣古镇旅游观光是沿着溪边而行的，所以要注意安全，别掉到溪里了，特别是有带小孩的。4、如果您打算住宿的，或者多待几天的，那么买门票的时候要跟售票员讲清楚是哪天玩，因为门票是当天有效的。5、如果您是节假日过来的：节假日到南靖土楼、云水谣的车非常多，所以停车位可能比较难找。6、南靖土楼、云水谣适合慢游，建议能多待点时间，至少也住上一个晚上体验下乡村的夜晚生活。推荐住在云水谣，云水谣桥下广场晚上有很多人会去放烟花，所以很有过年的感觉。记得不要乱扔放完的烟花到河里。,1
云水谣古镇Yunshuiyao Ancient Town,http://travel.qunar.com/p-oi10006199-yunshuiyaoguzhen,"

地址:
漳州市南靖县书洋镇云水谣古镇


电话:
0596-7880659

","云水谣古镇是个历史悠久的古老村落,村中幽长古道、百年老榕、神奇土楼，还有灵山碧水。南靖县长教风景区拥有世界文化遗产和贵楼、怀远楼、省内最高最为集中的千年古榕树群、一条百年老街、千年古道。溪岸边，由13棵百年、千年老榕组成的榕树群蔚为壮观，其中一棵老榕树树冠覆盖面积1933平方米，树丫长达30多米，树干底端要10多个大人才能合抱，是一棵目前福建省已发现的榕树。古道旁，有一排两层老式砖木结构房屋，那就是长教已有数百年历史的老街市。至今，这些老商铺大多还保留着木板代墙的特点。村中最引人注目的是山脚下、溪岸旁、田野上星罗棋布的一座座土楼。这些土楼姿态万千，除了有建在沼泽地上堪称“天下第一奇”的和贵楼，及工艺最精美、保护最完好的双环圆土楼——怀远楼外，还有吊脚楼、竹竿楼、府第式土楼等，土楼风景别具一格。 ",全天开放,https://tr-osdcp.qunarzz.com/tr-osd-vs-dapp-ugc/img/3240751055386a0a915c8bda7190d2bf.jpg_480x360x95_aa22272c.jpg,4.5,建议游览时间：3天 - 6天,,"{'云水谣古镇门票成人票\n\n': ['¥90起'], '云水谣古镇门票儿童票\n\n': ['¥45起'], '云水谣古镇门票老人票\n\n': ['¥45起']}",,1
灵通风景区Lingtong Mountain,http://travel.qunar.com/p-oi10001307-lingtongfengjingqu,"

地址:
漳州市平和县


电话:
0596-5336866

",灵通山又称大峰山，位于福建省漳州市平和县西南部，与漳州较高峰大芹山相峙而立。灵通山以险峰、奇石、清泉、飘云为四大特色，自然景观自古有七峰、十寺、十八景之称，但不可错过的是“珠帘化雨千米飞瀑”大景观。灵通山上主要有七峰、十寺（岩）、十八景诸景观。灵通岩上的灵通寺建于天然石洞之中，上有盘石覆盖，下面是悬崖绝壁，有一条“天梯”小径可以攀登，地势十分险要。寺的附近有“珠帘化雨”胜景，涓涓细泉从几十丈高的岩石飞流而下，化为珍珠般的水滴飘落。每到雨后，水流飞溅，犹如珠帘高挂，景色很美。        ,全年 08:00-17:00,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/fusion/202112/333dbee724c66997d9bb0b23ccfdd4ba.jpg_480x360x95_7cc9a61d.jpg,4.7,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
镇海角Cape Town,http://travel.qunar.com/p-oi9635494-zhenhaijiao,"

地址:
漳州市龙海市隆教畲族乡镇海村

",镇海角位于福建漳州市龙海，它三面环海，背靠青山，当地的村民纯朴，热情好客。进入这里，映入眼帘的是一片郁郁葱葱的草地，你可以面朝大海，感受春暖花开的浪漫气息。这里也是电视剧《一路繁花相送》的取景地，游客们纷纷慕名而来。,全年 全天开放,https://img1.qunarzz.com/travel/d2/1710/95/824e04190bb6e2b5.jpg_480x360x95_35ce3596.jpg,4.1,建议游览时间：1小时 - 3小时,,"{'【厦门出发】漳州火山岛一日游丨18人小团镇海角/网红套票/南炮台可选 含往返接送 午餐 门票 讲解\n\n': ['¥198起'], '火山岛南炮台镇海角一日游（晚出发·可选纪念碑彩虹山爱城堡）\n\n': ['¥188起'], '网红·火山岛·南炮台、镇海角纯玩一日游（网红专线可选纪念碑谷彩虹山 印度水井 厦门市区接）\n\n': ['¥388起']}",,1
南门湾Nanmenwan,http://travel.qunar.com/p-oi9489243-nanmenwan,"

地址:
漳州市东山县铜陵镇南门湾


电话:
18650425596,18650427213

",南门湾海湾辽阔、沙滩平缓、绿树成荫，极具南国滨海风光特色。这里静泊在海上的渔船，与海钓的人们相映成趣，蔚蓝的蓝天和大海交汇在远方，优美的景色吸引了电影《左耳》、综艺《我们来了》来此拍摄取景。早晨的南门湾是一个看日出的好地方，一边是湛蓝的大海，一边是特色的古村落，当太阳慢慢地从海平面升起，红霞染红海面，场面十分壮观。夜晚的南门湾，村落灯火通明，夜空星星点点忽明忽暗，你可以去石头底下摸螃蟹、找贝壳，或野炊烧烤体验一下岛上的生活乐趣。,全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/8fd710f47d9207ca5594cf9f2897be1e.jpg_480x360x95_322a77d4.jpg,4.6,建议游览时间：3小时 - 4小时,,"{'伊航海上休闲娱乐帆船环岛游门票成人票\n\n': ['¥128起'], '伊航海上休闲娱乐帆船环岛游门票儿童票\n\n': ['¥68起'], '伊航海上休闲娱乐渔排海钓门票成人票\n\n': ['¥98起']}",,1
火山岛旅游休闲度假区Volcanic Island Tourist and Leisure Resort,http://travel.qunar.com/p-oi714152-huoshandaolu:youxiuxian,"

地址:
漳州市漳浦县前亭镇火山岛度假村(滨海火山国家地质公园)


电话:
0596 364 9196

",火山岛旅游休闲度假区位于福建省漳浦县前亭镇，度假区衬托在蓝天、碧海、沙滩、绿林之中，是中国罕见的滨海火山地质遗迹。它于2001年被国土资源部批准为首批国家地质公园，2004年正式开园，荣获“福建十大旅游品牌”，2007年获评国家4A级景区。,5/1-10/31 08:15-15:30;11/1-4/30 08:15-17:30,https://img1.qunarzz.com/travel/poi/1809/22/769d142196e0b137.jpg_480x360x95_1fe0c179.jpg,4.2,建议游览时间：12小时 - 3天,,"{'火山岛自然生态风景区门票成人票\n\n': ['¥60起'], '火山岛旅游休闲度假区门票+纪念碑谷票+彩虹山爱票+印度水井票成人票\n\n': ['¥198起'], '火山岛自然生态风景区门票+纪念碑谷+彩虹山爱的城堡票成人票\n\n': ['¥198起']}",,1
埭美村Daimei Village,http://travel.qunar.com/p-oi10068307-daimeicun,"

地址:
漳州市龙海市东园镇埭尾村埭美自然村

",埭美村，是“闽南红砖建筑群”的典范，位于九龙江南溪河畔、沈海高速公路漳州港出口两公里处，环抱于鸡笼山、大帽山、峨山之中。埭美由开漳圣王陈元光后裔陈仕进，于明景泰五年(1450年)开基立业，是陈姓族人的聚居地，且与台湾陈氏宗亲一脉相承，至今还保存着一座台湾人氏祖墓，每年都有台胞前来寻根谒祖。全村四面绕水，古榕遍地。一株跨河古榕已有300多年历史，仍然郁郁葱葱、枝繁叶茂，发大水时曾因“一桥飞架南北”，成了村民口中的“救命树”。一条内河如长龙般紧绕村庄，使埭美成为名副其实的“闽南周庄”。从空中往下看，整片古厝群恰似漂浮在河面之上，形成了“港环社、社枕港”的独特景观。其中一处叫“万丁河”的河段，寓意“旺丁生财、生生不息”。另一条河即通往外界的南溪港，与厦门、台湾一水相连，曾经是繁荣一时的闽南重要古港。不大的村落，200余户900多人，却拥有堪称一绝的古厝群，虽历经560多年的风雨剥蚀，至今仍保存完整。大小一致、风格相同的明清古厝，每一座都是硬山式曲线燕尾脊，红瓦屋面，石砌墙体。村民恪守禁改建筑格局的祖训，全村所有房屋格式、规模朝向、高低和建筑材料，都由族里统一规划设计。老房子新房子之间，泾渭分明，整齐划一，横是横，竖是竖，斜也齐整整。现今保存较好的尚有四行三纵三十六座旧房子，一律坐南朝北；上世纪六七十年代新建的房子，一律坐北朝南。古厝前都留有十多米宽的大埕，或闲时泡茶，或农忙晒谷，自成一趣。外观仿宋造，硬山顶砖木结构，前后左右有机衔接，恍若迷宫一般。古厝之间，边门对着边门，中间仅隔一米多宽，当所有的边门一齐打开时，一条从村头连到村尾的便捷通道就这样形成了。,全年 全天开放,https://img1.qunarzz.com/piao/fusion/1810/cd/9900f2c0b4b1f302.jpg_480x360x95_f0b297dc.jpg,4.5,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,1
