名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
青州古城Qingzhou Ancient City,http://travel.qunar.com/p-oi20973768-qingzhougucheng,"

地址:
凤凰山路与偶园街交叉口


电话:
0536-3231079,0536-3091777

",青州为古九州之一，历史悠久，曾见证了六座古城的兴衰，现在的青州古城是2011年修复的，包括三部分：东阳城的北关古街区，南阳城的偶园历史文化街区、南门街区以及东关圩子城的昭德古街区。大量的府衙建筑、传统民居、古典园林等遍布古城街巷，具有鲜明的明清建筑特色和古老的青州民风民俗。范仲淹、欧阳修、李清照等众多古代名宦及文人墨客都曾居住过这里。,全天开放,https://flight-feed.qunarzz.com/as3/180/image/poi_vishnu/9acdcb50-b5b0-4873-86d3-72a1fac5d727.jpg,4.4,建议游览时间：4小时 - 7小时,,"{'青州古城城墙票成人票\n\n': ['¥4.5起'], '青州古城城墙票学生票\n\n': ['¥2.25起'], '青州古城城墙票亲子票(1大1小)\n\n': ['¥70起']}",,1
沂蒙山旅游区沂山景区Mt Yimeng Tourist Area,http://travel.qunar.com/p-oi10004307-yimengshanlu:youquyishan,"

地址:
潍坊市临朐县沂山镇镇址南300米


电话:
400-0536-059

",沂山景区位于临朐县城南部的沂山镇，是沂蒙山北部主脉，这里森林密布、泉流众多，景色十分优美。在这里你可观气势磅礴的百丈崖瀑布、登上海拔1032米高的玉皇顶一览众山小，或是体验穿梭于森林的沂山滑道，你还可去东镇庙欣赏古代碑刻、去法云寺进香礼佛。东大门是沂山景区的入口，邻近沂山镇及长深高速公路。在景区门口购票后，需乘坐景区观光车上山，景区内在东镇庙、百丈瀑、法云寺、玉皇顶、歪头崮、神龙大峡谷都设有固定候车点，可凭车票乘坐观光车往来于景点间。不过淡季时观光车停运，但游客可自驾车开上山。花一整天的时间基本可以游完沂山主要景点：可坐观光车先到最远的歪头崮，再坐车游览玉皇顶，然后坐滑道或者走步道至法云寺，接着顺着步道下山游览百丈崖瀑布，最后再坐车至东镇庙游览。如果时间安排合理，在玉皇顶也可以顺着另一条步道下山（约2小时）先去看神龙大峡谷，然后坐车去法云寺。海拔971米的歪头崮是沂山第四高峰，登上崮顶的长春亭，这里三面绝壁，放眼望去，沂山山脉纵横起伏尽收眼底，这儿也是赏日出的佳处。从歪头崮停车点通往歪头崮的步道途中，会见到不少摩崖造像，还可观狮子崮、拜灵官殿、访碧霞祠。玉皇顶是沂山的最高峰，登顶可环望四面群山、一览众山小，这里也是赏日出的好位置。山顶建有道教建筑玉皇阁，巍峨大气，附近还有望海亭、探海石、太清洞等景点。探海石一侧建有石材滑道，付费后可领取手套和滑垫，然后坐在滑道上滑下去，一路穿越森林到达法云寺，全长约一公里。法云寺始建于东汉章帝元和元年（公元84年），是山东地区的名刹，后因战火几近毁尽。现在的法云寺虽为原址重建而成，但身在其中依然可感受到历史的气息。百丈崖瀑布落差达80余米，是江北不多见的大瀑布，夏季来此可在瀑布下感受凉爽无比，而雨后的瀑布飞流直下、声如惊涛，十分壮观。沂山自古是华夏名山，居道教“五大镇山”之首，包括汉武帝刘彻、唐太宗李世民、明太祖朱元璋在内的十六位帝王曾在此登封诏祭。山下的东镇庙建于宋朝初年，每当帝王将相封祭沂山，总要立碑碣以纪之，如今你仍可在东镇庙内看到那些记载着历史的古碑，弥足珍贵。此外，山上有松林饭庄、避暑山庄等饭店可提供用餐，但价格都比较贵，如果是一日游不住宿，建议自带些干粮和水上山。如果想看日出，山上也有观云台宾馆等可供住宿，但住宿条件不如山下，如有需要建议请提早联系宾馆订房（联系方式可参考景区官网）。,全年 07:30-17:00,https://img1.qunarzz.com/piao/fusion/2011/ad/4e44c625b3ef7d02.jpg_480x360x95_0cf09e6e.jpg,4.4,建议游览时间：3天,,"{'沂蒙山旅游区沂山景区门票学生票\n\n': ['¥40起'], '沂蒙山旅游区沂山景区门票+往返车票大小同价\n\n': ['¥30起'], '沂蒙山旅游区沂山景区漂流票成人票\n\n': ['¥60起']}",,1
十笏园Shihu Garden,http://travel.qunar.com/p-oi707259-shihuyuan,"

地址:
潍坊市潍城区胡家牌坊街49号


电话:
0536-8321749,0536-8356926


官网:
http://www.wfshybwg.com/

",十笏园是中国北方园林袖珍式建筑，始建于明代，原是明朝嘉靖年间刑部郎中胡邦佐的故宅。后于清光绪十一年（公元1885年）被潍县首富丁善宝以重金购得，被称作“丁家花园”。十笏园坐北向南，青砖灰瓦，主体是砖木结构，总建筑面积约2000平方米，因占地较小，喻若十个板笏之大而得其名。 十笏园平面呈长方形，总体布局严谨，疏密有致，建有假山、长廊、池塘、楼房、曲桥、亭榭、书斋、客房等六小建筑景观。整个园由中、东、西三组院落组成，中部是园林的主体部分，东西部是住宅部分。十笏园在北方园林中独具特色，兼有南北方园林的风格，总体布局紧凑而无拥挤之感。十笏园被中国著名园林专家誉为“鲁东明珠”。,01/01-12/31 09:00-17:00,https://img1.qunarzz.com/travel/d2/1502/38/61d20f4a12805c.jpg_480x360x95_b75f6e6b.jpg,4.6,建议游览时间：1小时 - 2小时,,10元,,1
浮烟山文旅公园Fuyanshan Forest Park,http://travel.qunar.com/p-oi710527-fuyanshanwenlu:gongyuan,"

地址:
潍坊市潍城区望留镇驻地


电话:
0536-8139889

",浮烟山文旅公园，地处潍坊市西南部，距市区仅9.6公里，地理位置优越，自然风光秀丽，文化遗址众多，人造景观典雅，游乐设施新颖齐全，是倚傍天然山峰沟壑和林木植被而建的一处融自然风光和人文景观于一起，集旅游观光，娱乐休闲，城市农业示范于一体的大型综合性公园。该园占地面积1500亩，已完成投资2070万元，建成了鸟语林、珍奇动物园，森林之家、妇女儿童乐园、高空览车、碰碰车、垂钓湖、水上乐园、三十六计园、龙王亭、古战垒、龙泉茶舍、烧烤、步云桥等十五大景区120多个景点。,全年 8:00-17:30,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/fusion/20223/fac85f3ff08880f52abb3dc3dc5c6620.jpg_480x360x95_16164b16.jpg,3.7,建议游览时间：12小时 - 3天,,{'浮烟山森林公园电子导览服务大小同价\n\n': ['¥6起']},,1
欢乐海沙滩景区Huanlehai Shatan Sceneic Area,http://travel.qunar.com/p-oi26650009-huanlehaishatanjingqu,,欢乐海沙滩景区坐落于潍坊滨海经济开发区，是省级旅游度假区、国家4A级旅游景区。分为水上游乐区、游泳区以及沙滩休闲区。水上游乐区配有商务游艇、观光游艇等水上游乐设施；游泳区供游客下水游玩、亲临海水，并配备专业救生员做好游客安全保障；沙滩休闲区设有各色帐篷、太阳伞、沙滩椅、四角帐篷、沙滩小屋及配套桌椅等，还有专业研学、拓展项目供游客游玩。紧邻沙滩的马来西亚馆一楼是旅游纪念品销售大厅以及6D影院，；二楼海洋科普展馆，是游客浏览海洋科普知识、了解海洋文化风情的好去处。每年的潍坊国际风筝节、国际风筝冲浪大赛、草莓音乐节、国际马术节、山东省骑行大赛、沙滩啤酒音乐节、半程马拉松赛等重大赛事活动都将会在欢乐海沙滩附近举办。,,,3.8,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
黄花溪Huanghua Creek,http://travel.qunar.com/p-oi9221239-huanghuaxi,"

地址:
潍坊市青州市泰和山风景区内


电话:
0536-3786178,0536-3780111

",黄花溪位于青州市。景色优美，被众多游客称为“北方九寨沟”。景区内群峰围合，一谷通幽，有贯天彻地之势；清流汇波，千瀑飞溅，成达海穿云之气。两岸丁香照丹崖，一溪黄花映碧潭，山崖陡峭、峡谷幽深、溪流潺潺、飞瀑壮观，为山东第一条天瀑谷，总体形成“一轴纵观、双环壁合、六区壁连、十二景辉映”的格局，以水、石、山、林等自然资源为基础，共同构建主题景观。根据山谷自然资源分布状况，分为缘起林、逍遥津、普渡舟、觉悟山、黄花坡、牛头山六个景观区 ，形成观光游览、度假休闲的胜地。游览指南走进景区，就会有一泓瀑布映入眼帘，倾泻而下，沿着石壁，在绿植之间驰骋。穿过一处古色古香的连廊，你会来到一座吊桥前，尽头有一个两层重檐亭阁，在这里你可以眺望三瀑合流的美景。踩着石头过河，在河中间的石头上坐下，接触这山间水，感受来自大自然的清凉。潭的中央还建有一座木制小桥，越过小桥，便走进对面的一面瀑布，瀑布水流直下，在瀑布流过的山崖上凿一山洞，游人需从此穿过瀑布感觉很有意思。游览完整个景区不会用时太久，但是在过程中非常值得你细细品味。,全年 08:00-17:30,https://img1.qunarzz.com/piao/fusion/2110/cb/349496ba59cb0702.jpg_480x360x95_aabff937.jpg,4.6,建议游览时间：2小时 - 3小时,,"{'黄花溪门票成人票\n\n': ['¥90起'], '黄花溪门票学生票\n\n': ['¥45起'], '天缘谷门票成人票\n\n': ['¥40起']}",,1
潍坊风筝博物馆Weifang Kite Museum,http://travel.qunar.com/p-oi713033-weifangfengzhengbowuguan,"

地址:
潍坊市奎文区行政街66号


电话:
0536-8251745,0536-8237313

","潍坊风筝博物馆是我的一个座大型风筝博物馆，建筑造型选取了潍坊龙头蜈蚣风筝的特点，屋脊是一条完整的组合陶瓷巨龙，屋顶用孔雀兰琉璃瓦铺成，似蛟龙遨游长空伏而又起，设计风格在国内独树一帜,是“世界风筝都”的标志性建筑。风筝博物馆旨在收藏、陈列古今中外的风筝珍品及有关风筝的文物资料。该馆共设有八个展厅即：风筝的历史文化展，潍坊风筝精品展，世界精品风筝展，中国精品风筝展，风筝综合功能展，潍坊国际风筝会，民俗展厅，风筝放映厅。八各展厅分别介绍了风筝的历史、应...潍坊风筝博物馆是我的一个座大型风筝博物馆，建筑造型选取了潍坊龙头蜈蚣风筝的特点，屋脊是一条完整的组合陶瓷巨龙，屋顶用孔雀兰琉璃瓦铺成，似蛟龙遨游长空伏而又起，设计风格在国内独树一帜,是“世界风筝都”的标志性建筑。风筝博物馆旨在收藏、陈列古今中外的风筝珍品及有关风筝的文物资料。该馆共设有八个展厅即：风筝的历史文化展，潍坊风筝精品展，世界精品风筝展，中国精品风筝展，风筝综合功能展，潍坊国际风筝会，民俗展厅，风筝放映厅。八各展厅分别介绍了风筝的历史、应用及沿革发展，潍坊风筝的流派及分类，国外风筝展，国内风筝流派，精品风筝及国际风筝会等内容。展览以翔实的风筝文物资料以及照片、文字、绘画、复制品等，全面展示了风筝的历史文化、现代文化、国际文化及延伸文化，充分体现了中华民族灿烂文化所独具的艺术魅力。此外，博物馆还为游客准备了风筝的扎制材料和工具，使游客能亲身体验扎制风筝的乐趣，可以拿着亲手制作的风筝到新建的“世界风筝都纪念广场”去放飞，在这里，会勾起游客对美好童年的回忆。",全年 08:00-18:00,https://img1.qunarzz.com/travel/d3/1504/fb/32d15c9e2d40ec.jpg_480x360x95_8d24a107.jpg,4.5,建议游览时间：1小时 - 2小时,,进馆参观实行免费不免票制度，游客须凭本人身份证等有效证件到窗口领取门票，一证一票，凭票入馆。详情以馆内公示为准。,,1
青州博物馆Qingzhou Museum,http://travel.qunar.com/p-oi704999-qingzhoubowuguan,"

地址:
潍坊市青州市范公亭西路1号


电话:
0536-3266200


官网:
http://www.qingzhoumuseum.cn/

","青州博物馆位于风光秀丽的古青州城西北角，毗邻范公亭公园。虽然博物馆不大，却珍藏有明代赵秉忠状元卷、汉代宜子孙玉璧、东汉大型跪姿石俑等稀世文物，还可见到具有特色的龙兴寺佛教造像群，藏品丰富而珍奇，因此成为国家博物馆中一家县级博物馆。青州是古代“九州”之一，这里积淀了千年文化与历史，所以馆藏的文物大多是于当地出土的。建议在博物馆内租借导览器，可了解具体的文物介绍，费用为每台10元，需提供有效证件及押金200元。若是请讲解员讲解更为生动，中文讲解100元，讲解...青州博物馆位于风光秀丽的古青州城西北角，毗邻范公亭公园。虽然博物馆不大，却珍藏有明代赵秉忠状元卷、汉代宜子孙玉璧、东汉大型跪姿石俑等稀世文物，还可见到具有特色的龙兴寺佛教造像群，藏品丰富而珍奇，因此成为国家博物馆中一家县级博物馆。青州是古代“九州”之一，这里积淀了千年文化与历史，所以馆藏的文物大多是于当地出土的。建议在博物馆内租借导览器，可了解具体的文物介绍，费用为每台10元，需提供有效证件及押金200元。若是请讲解员讲解更为生动，中文讲解100元，讲解时间约45分钟。注意馆内禁止拍照。青州博物馆是座合围式的仿古建筑，外形古典雅致。展区共有两层，分为青州简史陈列厅、龙兴寺佛教造像精品厅，以及陶瓷、古代书画、石刻雕塑、石刻碑碣、玉器、青铜塑像等陈列展厅。其中具特色的是在龙兴寺遗址出土的数百尊石刻佛教造像。龙兴寺始建于北魏时期，这里出土的佛像造型优美、雕刻精湛，有北魏至北宋各个时期的风格，有意思的是佛像都面带微笑，十分罕见。由于这批佛像是在战火中被宗教人士保护性地埋藏起来的，而且出土很晚，所以有的袈裟仍是红色、有的镏金仍在，甚至有些五官棱角分明，保存很好。古代书画厅中陈列着的赵秉忠的状元殿试卷，是全国殿试卷真迹，同样是镇馆之宝。这份保存完整的状元试卷，以小楷书写，字迹工整，通篇2460字没有任何错别字。卷上有当时的万历皇帝朱诩钧的御书，还有数位考官的姓名职位。玉器展厅中的东汉古墓中出土的汉代“宜子孙玉璧”也不容错过，整块玉为和田墨玉质地，上面有透雕篆书""宜子孙""三字，意味“子子孙孙宜室宜家”，不仅雕技精湛，更是目前仅见的有字汉璧。此外，馆内还有北齐傅家画像石、仇英的清明上河图，以及金黑釉剔花罐、唐三彩钵等艺术珍品，而明代衡王府中的遗物、蹲狮、铜鹤等物品也十分经典，值得一观。",全年 周一 全天不开放 ;1/1-4/30 周二-周日 09:00-16:30;5/1-9/30 周二-周日 09:00-17:00;10/1-12/31 周二-周日 09:00-16:30,https://img1.qunarzz.com/piao/fusion/2108/35/4ea6874d00af6602.jpg_480x360x95_56e6092f.jpg,4.7,建议游览时间：1小时 - 2小时,,凭身份证或有效证件预约免费参观。,,1
杨家埠民间艺术大观园Yangjiabu Folk Art Grand View Garden,http://travel.qunar.com/p-oi708455-yangjiabuminjianyishu,"

地址:
潍坊市寒亭区杨家埠


电话:
0536-2927300,0536-2927303


官网:
http://www.china-yjb.com/

",杨家埠民间艺术大观园（原杨家埠风筝厂）位于山东潍坊，建于1986年5月，是目前国内最大的风筝厂。风筝场是集风筝生产、年画印刷与民俗旅游为一体的民间艺术大观园，产品获“山东省工艺美术百花奖”、“中国民间艺术一绝大展银奖”、“中国出口商品展览会优秀产品奖”、“国际风筝博览会金奖”等多项大奖。杨家埠风筝，内容祥瑞吉利、有鸟、兽、鱼、虫风筝，有版式、硬翅风筝，有串式、软翅风筝，杨家埠人制作的350米龙头蜈蚣风筝，被称为“世界风筝之最”，戏曲人物，无不栩栩如生，年年有余、招财进宝、榴开白子更是反映了劳动人们的欣欣向往和对美好生活的追求和期盼。杨家埠大观园的风筝作坊、年画作坊、风筝年华陈列馆、明清民俗陈列室、明清古典铺一条街、婚俗民俗表演以及新开展的住农家屋、随农家俗、吃农家饭、民风民俗游，吸引了大批国内外游客，成为潍坊市与世界各地进行文化交流的主要纽带。杨家埠大观园以民风民俗为主体、年画风筝为主导、游客参与为时尚的庆新春过大年活动，以其独特的民风民俗，浓郁的乡土气息，吸引了来自马来西亚、日本、韩国、新加坡等数十个国家和地区的游客来此观光旅游。,开放时间为8:00—17:30,https://img1.qunarzz.com/travel/d5/1502/33/ec257c4294598e.jpg_480x360x95_2616c5f3.jpg,4.2,建议游览时间：2小时 - 3小时,,"{'杨家埠民间艺术大观园门票老人票\n\n': ['¥40起'], '杨家埠民间艺术大观园手机智能导游讲解服务大小同价\n\n': ['¥9起']}",,1
云门山风景区Yunmenshan Scenic Spot,http://travel.qunar.com/p-oi706220-yunmenshanfengjingqu,"

地址:
潍坊市青州市城南2.5公里


电话:
0536-3276728,0536-3278561,0536-3322111

",云门山坐落于青州市区南郊，自古为山东中部名山，也是青州的标志性景点之一。云门山主峰大云顶海拔421米，其山势巍峨峻峭、松柏叠翠，登上山顶可俯瞰青州城区，也是赏日出的好地方。不过云门山出名的是山上的石龛佛像和摩崖石刻，尤以巨大的石刻“寿字”较为闻名，是这里的标志性景观。出行提示云门山离市区很近，有很多市民来此登山健身，如果住在山脚附近，还可以起个大早上山看日出。在山下的云门山广场买票后，可以坐观光小火车进山（15元含往返）去检票口。如果是自驾车游客来此，也可以直接把车开到检票口旁的停车场，但是旅游旺季时一般不能自驾车进山，只能停在山下换乘小火车。游览指南云门山不高，上山的石阶也不怎么陡，登山沿途可依次观揽观寿亭、望寿阁道院、云门洞、“寿”字石刻、云窟造像。主要景点大多集中在山顶，山顶有一处观景亭，天晴时城区美景可尽收眼底。山上还有一个南北贯通的天然穴洞“云门洞”，夏秋之交时常有云雾从洞中漫出，犹如仙境。穿过云门洞来到北面，可以近距离仰视崖壁上那十分有名的巨型“寿”字，此字高7.5米，仅其中的“寸”部就有两米多高，如果你站在它下面，就应了“人无寸高”之说，显得很渺小了。此字为明代嘉靖年间衡王府内掌司冀阳周全所书，自古至今都有不少游人专程来此参拜“寿”字，以求护佑。云门山的石龛造像也十分经典，这些造像多为菩萨、力士等佛教雕像，雕刻技艺相当精湛。云门山山阳处共有五个石龛，石刻造像272尊，其中有题记者可追溯至隋朝开皇年间，虽历经1400多年风雨侵蚀与战火洗劫，但至今仍有不少较为完好。云门山上还有不少寺庙和道观，其中的望寿阁道院，其西厢房为拜财神的地方，香火甚旺。而山顶的明代全石五梁建筑“天仙玉女祠”，至今结构完好，值得一观。,全年 8:00-17:30,https://img1.qunarzz.com/travel/d3/1801/25/0ad4c4cfb7e5c7b5.jpg_480x360x95_a8d66fce.jpg,4.6,建议游览时间：3小时 - 4小时,春夏最佳，春夏草木葱郁，山顶凉爽，风景优美。,"{'潍坊云门山景区手机电子导游【不含门票】服务成人票\n\n': ['¥1起'], '【潍坊青州纯玩2日跟团游】黄花溪+云门山/井塘古村·双线可选\n\n': ['¥328起']}",,1
