名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
放鹰台楚官殿遗址,http://travel.qunar.com/p-oi708165-fangyingtaichuguandian,"

地址:
潜江市龙湾区马场湖村

",据史载；“台今在华容城内”、“楚子成章华之台，愿与诸侯落之”、“台高十丈，基广十五丈”。台为楚灵王六年（前535年）所筑。遗址地势低平，沟渠纵横，内有放鹰台、打鼓台、荷花台、无名台、小黄家台、郑家台、章家台、华家台、水章台、跑马堤、楚家湖、古台湖、郑家湖、娘娘坟等，规模宏伟。经对放鹰台宫殿基址的试掘，有关学者认定为我国迄今保存最完好的春秋战国时期的宫殿基址。遗址地面散布有东周和汉代的鬲、鼎、豆、罐等器物碎片和汉砖、筒瓦、板瓦、瓦当等宫殿建筑材料。,8:00-20:00,https://img1.qunarzz.com/travel/poi/1608/31/38828b9e055ecc37.jpg_480x360x95_c947b4cf.jpg,3.0,,,,,1
潜江市西西花园农场,http://travel.qunar.com/p-oi39595578-qianjiangshixixihuayuan,,,,,0.0,,,,,1
水杉园,http://travel.qunar.com/p-oi38335733-shuishanyuan,,,,,--,,,具体收费情况以现场公示为主,,1
南门河游园,http://travel.qunar.com/p-oi36447277-nanmenheyouyuan,,"南门河游园景区位于潜江，园内草坪面积约两万平方米，还建有拱桥、曲桥、三角亭、三连亭、知乐亭和观水平台等。
",,,0.0,建议游览时间：4小时 - 5小时,,具体收费情况以现场公示为主,,1
湖北省潜江紫月湖公园,http://travel.qunar.com/p-oi36280244-hubeishengqianjiangzi,,"紫月湖公园地理位置优越，环境优美，占地面积约八百多平方米，公园内建有湖泊，湖边绿植茂盛，是个休闲放松的好地方。
",,,4.5,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
梅苑,http://travel.qunar.com/p-oi36036308-meiyuan,,"梅苑占地面积约八百亩，是一个以戏剧文化为主题的园林，景区内有一大片白墙黑瓦的仿古建筑，非常漂亮。
",,,3.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
湖北省国营三湖农场State-owned Sanhu Farm in Hubei Province,http://travel.qunar.com/p-oi35559380-hubeishengguoyingsanhu,,,,,5.0,,,具体收费情况以现场公示为主,,1
板剅渊Banlouyuan Village,http://travel.qunar.com/p-oi35385384-banlouyuan,,,,,--,,,具体收费情况以现场公示为主,,1
潜江市曹禺祖居博物馆Qianjiangshi Caoyu Zuju Museum,http://travel.qunar.com/p-oi34272166-qianjiangshicaoyuzuju,"

地址:
潜江市殷台路梅苑内

",曹禺祖居博物馆始建于明朝，是具有潜江地域特色和现代文化气息的建筑，馆内陈列有曹禺祖上家什、农具等。,全年 周二-周日 9:00-17:00,,4.0,建议游览时间：1小时 - 2小时,,免费,,1
绅士商业街ShenShi ShangYeJie,http://travel.qunar.com/p-oi24441043-shenshishangyejie,,,,,--,,,具体收费情况以现场公示为主,,1
