名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
潮州古城Chaozhou Ancient City,http://travel.qunar.com/p-oi9199802-chaozhougucheng,"

地址:
潮州市湘桥区


电话:
0768-2228900

",潮州古城主要是指潮州市湘桥区一片，这里的众多历史建筑与市井生活融为一体，可以说是一座“活着”的古城。游走在大街小巷上，广济门、开元寺等古迹让人叹为观止，数不尽的潮州特色美食与古巷深处的民居让人倍感亲切。漫步在潮州古城内，始建于唐朝时期的开元寺一定要去看看，经过历史上数次大规模的修建，如今的开元寺依旧规模宏大，辉煌壮丽，香火不绝。广济门城楼庄严巍峨，共三层楼高，登上城楼可将韩江水和湘子桥等潮州主要标志建筑尽收眼底。历史久远的韩文公祠、国内罕见的宋代民居建筑许驸马府、集潮州木雕之大成的“己略黄公祠”、周总理办公过的涵碧楼等也不要错过。沿街售卖特色纪念品的商铺和美味餐厅让人目不暇接，闲逛时可别忘了尝一尝这里鼎鼎有名的潮州功夫茶。,全年 9:00-17:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-mapi/img/be051c3f2d876eca6b1f2b3c4bdf85d5.jpg_480x360x95_a1161af5.jpg,4.5,建议游览时间：3小时 - 5小时,,"{'潮州古城直升机基地乘坐直升机飞行体验三人票\n\n': ['¥1418起'], '【2-12人精品小团】潮州汕头上门接送/南澳岛秘境探索一日游\n\n': ['¥188起'], '广东潮州龙湖古寨+潮州古城+广济桥+牌坊街一日游【上门接送/独立成团】\n\n': ['¥188起']}",,1
广济桥Guangji Bridge,http://travel.qunar.com/p-oi710777-guangjiqiao,"

地址:
潮州市湘桥区环城东路广济门城楼对面


电话:
0768-2222683

",广济桥俗称湘子桥，始建于宋乾道七年（公元1171年），历史悠久。并与赵州桥、洛阳桥、卢沟桥并称为“中国四大古桥”。桥面古香古色，桥身横跨韩江，并集梁桥、拱桥和浮桥于一体，结构十分特殊，堪称我国桥梁史上的孤例。站在韩江江边便能感受到广济桥的恢弘气势，两边为石墩，桥墩上建有精美的楼台亭阁，中间由18座古浮桥相连，梁舟结合，刚柔相济，在上面走一走，别有一番趣味。不过由于通航的需要，在下午5:30左右，浮桥会收起来，以便货船从江面通过。如果届时恰巧经过，不妨停下来，欣赏一下“过河拆桥”的独特景色。,全年 周一-周五 10:00-17:00;全年 周六-周日 9:00-17:00,https://img1.qunarzz.com/travel/d7/1702/ff/f8839fb7aecdd5b5.jpg_480x360x95_f85e14b6.jpg,4.6,建议游览时间：0.5小时,,"{'广济桥电子导览票大小同价\n\n': ['¥6起'], '广济桥门票+人工讲解服务成人票\n\n': ['¥88起'], '广济桥门票+人工讲解服务优待票\n\n': ['¥78起']}",,1
牌坊街Archway Street,http://travel.qunar.com/p-oi7588116-paifangjie,"

地址:
潮州市湘桥区太平路663号


电话:
0768-2238664

",牌坊街位于潮州老城区内，沿街保留有众多骑楼建筑，街上立有22座牌坊，诉说了历史上众多潮州英杰的丰功伟绩，每一座牌坊背后都有一个故事，耐人寻味。当然，街上众多的潮州美食更是不容错过。据说街道上比较早出现的牌坊是明正德十二年（1517年）的“柱史”牌坊，历史上这里曾有39座牌坊之多，后来由于种种原因被损坏，如今复建的有22座，它们跨街而立，古韵悠悠。牌坊大多为进士、状元、尚书等设立，记录了他们的丰功伟绩，也彰显了潮州的地杰人灵。除了探访古迹，沿街的美食更是诱人，潮州手打牛肉丸、芋泥饼等都非常具有特色，佛手老香黄、黄皮豉和老药桔这“潮州三宝”可以说是伴手礼的佳选。,全年 全天开放,https://img1.qunarzz.com/travel/d4/1612/6d/3ee3f97929e458b5.jpg_480x360x95_85848242.jpg,4.5,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
开元寺Kaiyuan Temple,http://travel.qunar.com/p-oi704412-kaiyuansi,"

地址:
潮州市区开元路32号


电话:
0768-2225571

",开元寺亦称“开元镇国禅寺”，是以唐玄宗开元盛世年间的连号“开元”命名的寺庙。潮州开元寺始建于唐开元二十六年(公元738年)，至今已有1200多年的历史。在建寺之初，潮州开元寺在当地便有着颇高的地位，经宋、元、明、清的不断修缮，如今的开元寺依然保留有唐朝时期的主要布局，又融合了各朝各代的建筑艺术，琉瓦彩甍丹墙，蔚为壮观。漫步其中，香火缭绕，前来礼佛祈福的信众络绎不绝。除了潮州古城区的开元寺部分，在韩江大桥东侧还有着一座现代新建的开元寺泰佛殿，寺庙不大，但极具泰国风情，准备去往韩文公祠的游客可以顺道游览一下。,全年 10:00-17:00,https://img1.qunarzz.com/travel/d7/1801/50/189df17f093421b5.jpg_480x360x95_d034f5fc.jpg,4.6,建议游览时间：1小时 - 2小时,,"{'开元镇国禅寺(含免费预约票)开元寺人工讲解服务成人票\n\n': ['¥68起'], '开元镇国禅寺(含免费预约票)开元寺人工讲解服务优待票\n\n': ['¥68起'], '潮州开元寺半日游【趣味精讲1小时+可选上下午场】\n\n': ['¥68起']}",,1
潮州西湖West Lake Park,http://travel.qunar.com/p-oi706227-chaozhouxihu,"

地址:
潮州市湘桥区环城西路中段


电话:
0768-2220731

",比起杭州西湖，潮州的西湖公园更显得小巧别致，这里一派湖光山色，水榭楼台掩映其中，并且有不少的人文遗迹，闲来逛逛，非常不错。西湖公园可以说是潮州老城区与现代化都市间的一个分隔点，游玩时，首先便会被那古香古色的大门吸引住。公园内有座涵碧楼，战争时期这里曾是我军的指挥部，如今可以登楼看看风景。游玩时也可以泛舟湖上，欣赏两岸风景。葫芦山的摩崖石刻也是这里珍贵的人文景观。景区内还有一些小游戏，如打枪、抛球、捞鱼等。,全年 06:30-21:00,https://img1.qunarzz.com/travel/d3/1702/48/fa7a5a49c79626b5.jpg_480x360x95_0230fb4b.jpg,4.4,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
韩文公祠Memorial Temple of Hanyu,http://travel.qunar.com/p-oi706076-hanwengongci,"

地址:
潮州市湘桥区东兴北路18号


电话:
0768-2523581

",潮州韩文公祠是为纪念唐代文学家、思想家韩愈而建。始建于宋咸平二年（公元999年），是我国目前历史较为久远的韩文公祠。韩文公祠依山傍水，祠内记载着韩祠的历史和韩愈治潮业绩以及颂扬韩祠的诗文。登上侍郎阁还可一览潮州美景。韩愈在潮州刺史任上不到八个月，在这期间驱恶除弊，扶持农桑，赎放奴婢，兴办教育，为潮州的发展做出了杰出贡献，也赢得了潮州人的敬仰与缅怀。,全年 周二-周日 08:30-17:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/b781f03dc126c061de39b23ac61ee356.jpg_480x360x95_0a402518.jpg,4.6,建议游览时间：1小时 - 2小时,,"{'韩文公祠人工讲解服务优待票\n\n': ['¥68起'], '韩文公祠手机导游(不含门票)手绘地图、语音讲解票大小同价\n\n': ['¥9起'], '韩文公祠人工讲解服务(含免费预约票)优待票\n\n': ['¥68起']}",,1
龙湖古寨Longhu Ancient Village,http://travel.qunar.com/p-oi713274-longhuguzhai,"

地址:
潮州市潮安县龙湖镇


电话:
0768-6598099

",龙湖古寨始建于南宋年间，距今已有1000多年的历史，目前仍保存着上百座古建筑，漫步其中，随处可见千年潮州府的缩影。古寨主要由三街六巷组成，这里的原住民宗族姓氏繁多，且龙虎寨李赛科举出身的进士、举人达60多人，走在厚厚的石板路上，两旁民宅中有着数不清的公祠和甲第，每一户都有着自己的故事。这些建筑既体现了宋、元、明、清各历史时期的不同建筑风格，又荟萃了木雕、石雕、嵌瓷、彩绘、贝灰塑等典型的潮汕民间工艺精华。,全年 8:30-17:30,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/1a23a01af66e11402a2fc454817bdc4f.jpg_480x360x95_8cd4e92a.jpg,4.3,建议游览时间：2小时,,具体收费情况以现场公示为主,,1
凤凰洲公园Fenghuangzhou Park (Northwest Gate),http://travel.qunar.com/p-oi706265-fenghuangzhougongyuan,"

地址:
潮州市湘桥区凤凰洲公园（韩江大桥南）


电话:
0768-2685226

",    凤凰洲公园位于潮州城南郊韩江大桥下沙洲头。园中的凤凰台由台体和亭阁两部分组成，是个古式台榭建筑。四柱，单檐结构的亭阁端立在高大的石砌台基上，檐牙高筑，峻凌飘逸，其上“凤台时雨”、“中流砥柱”、“有凤来仪”等牌匾与木质结构，明式拱斗和屋面的传统青瓦相映衬，文气斐然。自明朝建台之后，明清两代历代官吏和地方绅士先后在此倡建了“十相祠”、“凤台书院”、“文昌祠”、“龙神庙”、“天后宫”、“镇洪寺”、“鲁公祠”、“周公祠” 及“奎阁”等十多处景物，但这些景点因年代变迁，多数踪迹全无，唯有凤凰台、奎阁、天后宫等因风景绝妙及人文昌盛之标识，屡毁屡建。    　凤凰台原名老鸦洲，明末潮州知府曾多次游览沙洲，爱其清静幽雅，同时倍感潮州文风鼎盛，风物非凡，认为这里应是传说中凤凰栖宿之所，绝不是老鸦投林的地方，遂把原名的“老鸦洲”改为“凤凰洲”，并于明隆庆二年（1568年）在凤凰洲筑建一座十余丈高的石台，命名为“凤凰台”。自此，这里成为游人徘徊难离的名胜。潮州八景之凤凰时雨    凤凰时雨，古时又称“凤台侍雨”，也有人说是“凤台时雨”。    夏秋时节，这里清风习习，江风吹拂，暑气顿消，特别是乍晴乍雨的时节，江上奇景，千变万化，更为可观。帆影片片，湘子桥上烟雨蒙蒙。仰视笔架山巅轻云抒卷，雾锁楼阁。这令人神往的绝妙景致，便是“凤凰时雨”。九月九 风筝节    每年“九月九”是潮州的风筝节，各地的风筝都聚集在凤凰洲公园中竞相媲美，届时天空中风筝星星点点，实为一景。,全年 8:30-18:00,https://img1.qunarzz.com/piao/fusion/1607/66/3261fc4dbc0fbc54.jpg_480x360x95_22a505ae.jpg,4.1,建议游览时间：1小时,,{'凤凰洲公园电子导览服务大小同价\n\n': ['¥8起']},,1
广济楼Guangji Gate,http://travel.qunar.com/p-oi10007702-guangjilou,"

地址:
潮州市湘桥区环城东路广济桥对面


电话:
0768-2236031

",广济门城楼原称“广济楼”，也称“韩江楼”，民间俗称“东门楼”，列潮州城七城楼之首，襟江控岳，护邑镇桥，为名城标志之一。,全年 全天开放,https://flight-feed.qunarzz.com/as3/401/image/poi_vishnu/90872a59-b91c-4d62-9cf8-c345cdcf66c6.jpg,4.4,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
甲第巷Jiadi Lane,http://travel.qunar.com/p-oi715553-jiadixiang,"

地址:
潮州市湘桥区太平路甲第巷


电话:
0768-2228900

",甲第巷是古代潮州城仕宦商贾望族聚居之地，浓缩了潮州城古民居的精华。民居建筑山墙上的彩色嵌瓷，屋檐和柱头上的精制的木雕和石雕，山墙屋脊的形式则根据房屋的朝向与布局有“金、木、水、火、土”五种，民居室内的地坪采用当地传统的红方砖，室内地坪的铺装也有一定的隐喻，如厅里地坪铺成斜的“人”字型隐喻有人气和人鼎兴旺；卧室地坪铺成错缝呈“丁”字型隐喻生男孩；过道的地坪铺成“田”字型隐喻家有田地。“义兴甲三巷历史街区”中的传统民居内存许多古井和古木，现存古井143口，几乎每座民居中都有一口古井，有些还在使用，在义井巷的东巷口还留有宋代古井“义井”，同时还植有树木。,全年 全天开放,https://img1.qunarzz.com/travel/d8/1505/4c/b4272ddd8f866f.jpg_480x360x95_051f01ce.jpg,4.4,建议游览时间：0.5小时 - 1小时,,具体收费情况以现场公示为主,,1
