名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
福山咖啡文化风情镇Fushan Coffee Culture Town,http://travel.qunar.com/p-oi7646596-fushankafeiwenhuafeng,"

地址:
澄迈县300县道附近


电话:
0898-67609033,0898-67609019

",以福山咖啡文化风情镇中心区作为游客集散地，围绕整个福山镇范围，在现有的村落群的地点上打造出10个各具特色的咖啡旅游文化风情村，这些村落包涵世界各地著名咖啡种植生产地的建筑特点及民俗风情，10个点各具特色的同时又因为咖啡文化有机的联系在一起，极力打造成一个完整的咖啡文化区。,"全年 08:00-12:00,14:30-17:30",https://img1.qunarzz.com/p/tts6/1812/28/23247bfabdf21b02.jpg_480x360x95_3920ee4d.jpg,4.4,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
鑫海泰达鹦鹉园,http://travel.qunar.com/p-oi39439881-xinhaitaidayingwuyuan,,鑫海泰达鹦鹉园，位于海南省澄迈县福山镇保良咖啡古村，园区以鹦鹉为主的宠物鸟内的展览，是亲子出游的好去处。,,,0.0,建议游览时间：1小时 - 3小时,,,,1
封平约亭,http://travel.qunar.com/p-oi38930398-fengpingyueting,,,,,--,,,,,1
老城西海岸沙滩,http://travel.qunar.com/p-oi38336111-laochengxihaianshatan,,,,,4.0,,,具体收费情况以现场公示为主,,1
保良古村,http://travel.qunar.com/p-oi38335008-baolianggucun,,保良古村是一处拥有三百多年历史的古村落，村子里散落着很多木雕和工艺品，村民们因地制宜为游客提供铁锅焙炒咖啡原豆、木工制作等趣味体验。,,,--,建议游览时间：3小时 - 4小时,,具体收费情况以现场公示为主,,1
石矍村,http://travel.qunar.com/p-oi37806746-shijuecun,,,,,0.0,,,,,1
沃克公园,http://travel.qunar.com/p-oi37806633-wokegongyuan,,"沃克公园内有塑胶跑道、喷泉和栈道，这里风光旖旎、林木繁茂，是人们休闲放松的理想去处。
",,,0.0,建议游览时间：1小时 - 2小时,,,,1
雷公岛,http://travel.qunar.com/p-oi36421865-leigongdao,,,,,,,,,,1
澄迈县博物馆,http://travel.qunar.com/p-oi36259214-chengmaixianbowuguan,,,,,0.0,,,具体收费情况以现场公示为主,,1
澄迈金山文化公园Chengmaijin Mountain Cultural Park,http://travel.qunar.com/p-oi35385881-chengmaijinshanwenhua,,,,,4.7,,,,,1
西达农场那新队,http://travel.qunar.com/p-oi35240479-xidanongchangneixindui,,,,,--,,,具体收费情况以现场公示为主,,2
西达农场那平队Naping Team of Xida Farm,http://travel.qunar.com/p-oi35236652-xidanongchangneipingdui,,,,,--,,,具体收费情况以现场公示为主,,2
西达农场那仁队Naren Team of Xida Farm,http://travel.qunar.com/p-oi35234403-xidanongchangneirendui,,,,,--,,,具体收费情况以现场公示为主,,2
西达农场那裕队,http://travel.qunar.com/p-oi35232609-xidanongchangneiyudui,,,,,--,,,具体收费情况以现场公示为主,,2
玉包港Yubaogang,http://travel.qunar.com/p-oi35217142-yubaogang,,,,,4.0,,,,,2
澄迈县天福体育博物馆Chengmaixian Tianfu Tiyu Museum,http://travel.qunar.com/p-oi34270951-chengmaixiantianfutiyu,"

地址:
海南省澄迈县福山镇福桥路（西线高速入口处）天福假日酒店内

",,8:00-21:00，全年除特殊情况外，均正常开放,,--,,,免费,,2
红坎岭陶艺园Chengmai Hongkanling Ceramics Park,http://travel.qunar.com/p-oi27339761-hongkanlingtaoyiyuan,"

地址:
澄迈县桥头镇桥沙路仑红岭西北侧


电话:
13389809780

", 澄迈红坎岭陶艺园主要是制作陶艺品。园内巧妙的将特色陶艺建筑与湖光山色和谐的融为一体，环境优雅，是休闲度假的好地方。,全年 08:30-18:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/a0da1925faedf38953bfb01b28289c66.gif_480x360x95_9652db2b.gif,0.0,,,具体收费情况以现场公示为主,,2
海南澄迈金寺Hainan Golden Temple Chengmai,http://travel.qunar.com/p-oi27339743-hainanchengmaijinsi,"

地址:
海南省澄迈县城金江镇

",寺庙依山而建，可俯视全城。该寺枕山坡，向莲花池，拾级而上，步步高升。,全年 9:00-17:00,https://img1.qunarzz.com/piao/fusion/1511/a1/6c2940ccdbfbeff7.jpg_480x360x95_751a5463.jpg,--,建议游览时间：1小时 - 2小时,,,,2
仁兴热带作物场,http://travel.qunar.com/p-oi26650576-renxingredaizuowuchang,,,,,--,,,,,2
仁兴热带作物场畜牧场,http://travel.qunar.com/p-oi26650134-renxingredaizuowuchang,,,,,--,,,,,2
亚珠庄园,http://travel.qunar.com/p-oi26647443-yazhuzhuangyuan,,,,,--,,,,,3
海南曾氏大宗祠,http://travel.qunar.com/p-oi26646464-hainancengshidazongci,,,,,--,,,,,3
新春购物一条街XinChun GouWu YiTiao Jie,http://travel.qunar.com/p-oi24440505-xinchungouwuyitiaojie,,,,,4.0,,,具体收费情况以现场公示为主,,3
马白山纪念园Mabaishan Memorial Park,http://travel.qunar.com/p-oi24410651-mabaishanjinianyuan,"

地址:
海南省澄迈县马村镇 571923

",,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/58079677480289a65f68f31e74331e28.jpg_480x360x95_2ca6788e.jpg,0.0,,,具体收费情况以现场公示为主,,3
冯平符节纪念碑Fengpingfujie Monument,http://travel.qunar.com/p-oi24410645-fengpingfujiejinianbei,"

地址:
海南省澄迈县金江镇西北

",,全年 8:00-18:00,,0.0,,,具体收费情况以现场公示为主,,3
济公山风景区Jigong Mountain,http://travel.qunar.com/p-oi24410642-jigongshanfengjingqu,"

地址:
澄迈县红岗农场济公山风景旅游区

",济公山原名石栏岭，又称山猪岭，因山顶有一块六米左右的巨石，石头外形酷似活佛济公而得名济公山，山上遍布各式各样的奇岩怪石，是非常奇妙的自然景观。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/44462a74c1e00ff05b2fd364a97f8ab4.jpg_480x360x95_2b9c367d.jpg,3.6,建议游览时间：12小时 - 3天,,,,3
澄迈济公山旅游度假区Chengmai Jigong Mountain Tourist Resort,http://travel.qunar.com/p-oi24406511-chengmaijigongshanlu:,"

地址:
济公山


电话:
+86 898 6737 9016

",澄迈济公山旅游度假区因景区内的一块酷似济公活佛的巨石而得名，济公山和南湖是景区主要景点。,全年 8:00-18:30,,--,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,3
盈滨半岛Yingbin Peninsula,http://travel.qunar.com/p-oi23884292-yingbinbandao,,盈滨半岛北临琼州海峡，三面环海，形似弯月，岸边沙滩广阔、细软无泥，海水碧蓝澄澈，有内外双海湾，岛上还拥有稀缺的火山温泉。盈滨半岛度假区毗邻省会海口市，是海口西海岸“17公里黄金海岸线”的延伸区，有海口的“亚龙湾”美誉。距离海口国贸中心区17公里，到海口火车站不到5分钟车程，距离美兰机场35公里。2011年海南城际轻轨通车，在盈滨半岛旁设立了一个轻轨站点，从这里坐轻轨到达三亚仅需90分钟。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/0f5ddd5b7a690455a44247e17e7c5fb2.jpg_480x360x95_b02661c8.jpg,4.4,建议游览时间：3天 - 6天,,具体收费情况以现场公示为主,,3
罗驿古村Luoyi Ancient Village,http://travel.qunar.com/p-oi23343697-luoyigucun,"

地址:
海南省澄迈县罗驿村

",罗驿村位于海南澄迈县老城镇白莲区境内，据考证，这个村已有上千年的历史，其所在地在宋代时期是海南往西行的驿站，罗驿村的村名因此得来。,全年 全天开放,,4.4,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,3
福山镇Fushanzhen,http://travel.qunar.com/p-oi22945136-fushanzhen,,福山镇位于海南省澄迈县北部临海，森林覆盖率高，空气新鲜，是海南省较早种植咖啡的地方。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/45c4b6d87d28215fcfb5dceeef8e1e55.jpg_480x360x95_004f2b92.jpg,5.0,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,3
老城镇Laochengzhen,http://travel.qunar.com/p-oi22945114-laochengzhen,"

地址:
澄迈县老城镇

",老城镇位于澄迈县北端，东邻省会海口，北临琼州海峡，西有国家一类口岸马村港群，北有旅游度假胜地盈滨渡假村和边湾浴场。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/0144af5a7889611ac23df93552b51710.jpg_480x360x95_6c16d3eb.jpg,0.0,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,4
鳄鱼恤,http://travel.qunar.com/p-oi19532505-eyuxu,,,,,--,,,,,4
永庆文化旅游景区Yongqing Cultural Scenic Region,http://travel.qunar.com/p-oi10015053-yongqingwenhualu:youjing,,海南永庆寺是传承唐代的佛脉。历史上的永庆寺始建于唐代，距今已有一千多年的历史，为古“澄迈八景”之一。现在的永庆寺供奉的四十二尊佛像均采用整块的缅甸白玉雕刻而成，具有很高的艺术价值和文化价值。是琼北地区规模最大的佛教寺院，按宋代“伽蓝七堂”的形制布局，殿宇高广，庄严瑰丽。寺内主要建筑有天王殿、大雄宝殿、藏经阁、观音殿、文殊殿、普贤殿、方丈室、禅堂等。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/f99c9881032ed3d4ec7677b608b7d8f5.jpg_480x360x95_8c21fe57.jpg,4.4,,,具体收费情况以现场公示为主,,4
美榔姐妹塔Meilang Sisters Towers,http://travel.qunar.com/p-oi9630462-meilangjiemeita,"

地址:
澄迈县永发镇美榔村

",美榔姐妹塔又名双塔，位于海南澄迈县美亭乡美榔村东南面，系元代古塔。据《正德琼台志》载，元代人陈道叙有二女，长女出嫁，次女出家为尼。他为了纪念二女而建此塔。塔高17米，一座为平面呈六角形长层，现存六层，仿木结构阁楼式。每层有塔檐上连平座，自一层至三层，每层檐下有圆柱12条，并设有斗拱承托着枋。从第四层起，各层只见外壁隐出半圆倚柱，开尖形券门龛内空无佛像，须弦座正中雕有带冠坐像。另一座平面呈四角形，分七层，外观结构与上塔相同，但更为细腻，每层外壁内龛均雕有佛像，姿态各异须弦座上沿为莲瓣连续纹饰，四面刻有象、狮、獬豸、虎、马、麒麟等瑞善和佛教图纹浮雕，四角还雕有力士顶托，刹为相轮圆珠宝顶。双塔相距20米，均有高大的台基立于山池水中，台面四周设有栏杆，阶级。 该塔整体造型协调美观，互有变化，数十尊石雕浮雕刻工精巧细致，形象栩栩如生，反映了宋末元初的社会世俗生活，堪称琼州石塔的艺术珍品。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/adf0c2ad297141bc0f4c13f36162910b.jpg_480x360x95_23dbcecf.jpg,4.4,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,4
