名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
戚城文物景区Qicheng Cultural Heritage Scenic Area,http://travel.qunar.com/p-oi722389-qichengwenwujingqu,"

地址:
濮阳市华龙区京开大道戚城村北


电话:
0393-8116340,0393-8119207


官网:
http://www.pyqicheng.com

",戚城文物景区，是濮阳市区一个免费开放的市民公园，是当地人休闲娱乐的一个场所。这里曾经是春秋时期卫国一座重要的城池，公元前626年至公元前531年期间，各诸侯国在卫国会盟十五次，其中七次在这里会盟。整个景区包含了仿秦汉风格的阙门，仿远古风格的颛顼玄宫，仿唐代建筑风格的龙宫，仿汉代建筑风格的历史陈列馆，仿明清建筑的子路墓祠，反映春秋战国时卫国文化氛围的“桑间濮上”苑、表现濮阳古战场的“历史名战微缩景观”，伏羲之母华胥的卧雕及伏羲亭、夏后启在昆吾所铸之九鼎及铸鼎轩等等多个仿古建筑，这些建筑都是近年来重新修建的。几千年的风风雨雨过去了，这里已经看不见什么当年遗留下来的地面建筑了，只有在景区的东面，有一座夯土台，是当时诸侯会盟的盟坛基址。如今这样更像是城市中的一片公用绿地，市民们喜欢带着孩子来这里散散步，嬉闹玩耍。,全年 8:00-18:00,https://img1.qunarzz.com/travel/d4/1705/ff/c402356210affeb5.jpg_480x360x95_4442b0bf.jpg,4.5,建议游览时间：1小时 - 2小时,,成人：20元，儿童：10元,,1
中原绿色庄园景区Zhongyuan Green Estates,http://travel.qunar.com/p-oi702224-zhongyuanlu:sezhuangyuan,"

地址:
濮阳市华龙区昆吾路街道黄河路西段


电话:
0393-4606932

",,夏令8:30-18:00，17:00停止入场；冬令8:30-17:30，16:30停止入场。,https://img1.qunarzz.com/p/tts6/1808/e2/d76a475ee43b4f02.jpg_480x360x95_1836f5a4.jpg,4.6,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
濮阳世锦园Puyang Shijin Park,http://travel.qunar.com/p-oi702802-puyangshijinyuan,"

地址:
濮阳市华龙区濮瑞路与黄河西路交叉口东南260米


电话:
0393-6686713,0393-6686757

",世锦园座落在濮阳市龙华区王助乡，占地258.5亩，建有2公顷智能化自控玻璃温室、20栋标准普通温室、1栋日光温室、50亩优质葡萄水果园和2000的高标准组培中心。公司以花卉生产为主导产业，并从事花卉流通业务，承接园林绿化工程，对外开展技术培训。景区主要由智能化玻璃温室生产区、标准日光温室、植物克隆中心、科普长廊、葡香园、珍奇植物观光区六大景观组成。其中珍奇植物观光区内水生植物、沙漠植物、香味植物、药用植物、热带雨淋植物和珍奇果蔬与幽径、花廊、竹架、小溪等生态景趣相连接，形成了以现代农业科技、珍奇植物观光、科普教育和休闲娱乐于一体的独具特色的旅游景区。,全年 8:00-18:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/a115b71c826624fc7bf88f8cad48818b.jpg_480x360x95_55a09961.jpg,4.5,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
"毛楼生态旅游区Maolou Ecological Tourist Area, Puyang",http://travel.qunar.com/p-oi703701-maoloushengtailu:youqu,"

地址:
濮阳市范县X006辛庄乡毛楼村


电话:
0393-6666073

",毛楼生态旅游区位于濮阳市范县辛庄乡，地界豫鲁两省，南临黄河，北依大堤，景象壮观。旅游区主要有黄河画廊、垂钓中心、天然浴场、飞天渡、听涛亭、观澜亭、郑板桥纪念馆、开心园等景点，是一个具有黄河田园风光特色的生态旅游区。“荡舟赏芙蓉，立岸观河涛；信步花间路，林深闻啼鸟。”使人有“返朴归真”、“回归自然”之感。景区内游乐项目也丰富多彩，主要有激流飞舟、水上摩托、河边赛马、河滩驼铃、池塘垂钓、驽箭狩猎等。毛楼位于黄河90°大转弯处，观赏游览黄河位置得天独厚，沿黄河建有“黄河奇观”、“激流飞舟”、“黄河漂流”等十大旅游娱乐项目，形成一道布局合理、动静相映、惊险刺激的旅游风景线。,全年 8:30-17:30,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/47b791a5d826b11ae7bae7f5cb6a6fb0.jpg_480x360x95_9e270a39.jpg,4.1,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
中心萌宠水族园,http://travel.qunar.com/p-oi38912720-zhongxinmengchongshui,,,,,--,,,具体收费情况以景区现场公示为主,,1
乐泰森林公园,http://travel.qunar.com/p-oi38802012-letaisenlingongyuan,,,,,,,,,,1
濮阳市中心广场,http://travel.qunar.com/p-oi38693560-puyangshizhongxinguang,,,,,4.0,,,具体收费情况以现场公示为主,,1
仓颉陵,http://travel.qunar.com/p-oi38635563-cangjieling,,,,,,,,,,1
万亩荷花生态园,http://travel.qunar.com/p-oi38624625-wanmuhehuashengtaiyuan,,,,,--,,,具体收费情况以现场公示为主,,1
大集古镇,http://travel.qunar.com/p-oi38336981-dajiguzhen,,,,,0.0,,,具体收费情况以现场公示为主,,1
