名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
养马岛Yangma Island,http://travel.qunar.com/p-oi711599-yangmadao,"

地址:
烟台市牟平区天马路99号


电话:
0535-4763712,0535-4763763

",养马岛地处烟台牟平区北部，面积较大。岛上气候宜人，冬无严寒、夏无酷暑，适合休闲度假，可称为国内的马尔代夫。养马岛历史悠久，相传秦始皇东巡时在此饲养御马，并封为“皇家养马岛”，养马岛因此得名。游览指南岛上丘陵起伏，树木葱郁，海岛呈东北西南走向，地势南缓北峭，岛前海面宽阔，风平浪静，岛后群礁嶙峋，惊涛拍岸，适合观景徒步。东端碧水金沙，是优良浴场，适合游泳玩水，而西端水深浪小，是天然良港。岛四周盛产海参、扇贝、鲍鱼、对虾、牡蛎、天鹅蛋等海产品，也是海鲜爱好者的天堂。如今岛上建有各类宾馆、休养中心，还有天马广场、赛马场、海滨浴场、海上世界、御笔苑等娱乐景点，是度假观光的好去处。,全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/ca76fc39a354c1d00cf8770abaaa4c5d.jpg_480x360x95_9db25a12.jpg,4.3,建议游览时间：3小时 - 4小时,,"{'养马岛木船票成人票\n\n': ['¥900起'], '烟台山景区-养马岛直通车票大小同价\n\n': ['¥88起'], '养马岛旅游度假区电子导览服务大小同价\n\n': ['¥6起']}",天马广场：养马岛的标志性景区，也是服务中心。天马广场是全国首创的以马文化和秦文化为主题的大型广场，主要包括天马苑、秦皇苑、红柱阵、马文化长廊、音乐喷泉、水景墙、太阳广场、星光平台、海水音乐喷泉、休闲地绿化等几大主要景区。秦皇赛马场：除赛马外，还有骑马、射马、马拉车等娱乐项目，每逢周六和周日常常举行赛马盛会并伴有有奖智力竞猜，养马岛旁边的亭台轩榭便是海上乐园。秦皇赛马场往北200米，建有一处集旅游、观光、娱乐休闲及生产高档葡萄酒的酒庄——伊斯顿葡萄酒庄。养马岛海水浴场：在养马岛的东端，沙滩全长1100米，这里滩宽海阔，沙细柔软，水明沙净，自然条件十分优越，可以洗海澡，晒日光浴，玩沙滩排球。里蹦岛：传说海神娘娘常常在此传达旨意，因此有海神娘娘小瀛洲之称。因为这个小岛周围多产蛤蚌，故以蚌字谐音名里蹦岛。岛上多为细沙，是许多鸟类栖息的好地方。小象岛：整个小岛由岩石构成，岛上石壁陡峭，峭壁间隙，有野鸽和海鸟栖息，鸽子盘旋飞翔，海鸟群集长啼，为海岛增加了生气。                                                  ,1
长岛Changdao,http://travel.qunar.com/p-oi708235-changdao,"

地址:
烟台市蓬莱区长岛风景区


电话:
0535-3216568,0535-3099789

","长岛位于辽东半岛与山东半岛之间，蓬莱市以北，素有“海上仙境”之称。它是由32个海岛组成的，主要景点集中在北长山岛（北线）和南长山岛（南线）上。
 长岛无岛不秀，无岛不奇，是一处天然的海上大花园。这里分布着礁石、悬崖、沙滩、树林，而知名的景点是月牙湾公园、九丈崖、庙岛天后庙、龙爪山、宝塔礁、万鸟岛、黄渤海分界线、林海公园等。
 来长岛游玩的游客一定要先从蓬莱码头坐船上岛，虽然说一天也可以玩遍岛上主要景点，但是想要真正体验长岛的风情还是建议在岛上住上一晚。长岛游玩主要是跳岛游，南线景点有林海公园、黄渤海交汇线、拂云亭、烽山公园、地质博物馆、仙境源等，北线景点有九丈崖、月牙湾公园、望夫崖、地质博物馆等。此外，无论你在长岛的哪个角落，都能看到巨大的白色发电风车，它们已经和长岛的风景融为一体，成为了一处新的风景线。另外，二日游的话，可以选择住在南长山岛和北长山岛上，两岛距离相隔不远，游玩岛上景点较为方便。游览指南当天上岛可先游览北线的九丈崖，看高耸入云的悬崖从海边拔地而起。当走进悬崖，置身悬崖下时，仰望绝壁万丈，除了感慨大自然的造化，更多体会到的是一种震撼。看完九丈崖前往月牙湾。步入月牙湾公园，就能看到沙滩上的五彩石，这些卵石晶莹如珠，造型色彩相间，花斑图案精美，很是神奇。在月牙湾还可以远眺南长山岛顶部的望夫礁。下午来到南线游玩仙境源，可登上烽山，在傍晚时分来到林海公园，这里的夕阳景色非常有名。当红日落下时，海面上呈现一副残阳如血现象，远处的蓬莱、大小黑山岛渐成轮廓，似剪影、如墨画，美不胜收。第二天一早可乘船从长岛前往万鸟岛，航程大概半个小时。由于万鸟岛无人居住，所以不允许登岛，游客只能在船上近距离靠近小岛观看海鸥，但千万不要过于惊扰它们，尤其是5月份产蛋及孵化的季节。看完海鸟可前往大黑山岛，在这里可以观看石帆礁、龙爪山，下午前往小黑山岛去观看宝塔礁和庙岛观看天后宫，天后宫中供奉的是天后娘娘，虽然很多地方都有天后宫，但是据说长岛的天后宫是较为古老的庙宇之一，值得一看。餐饮
 来长岛一定不能错过的就是海鲜了。长岛的海鲜，品种齐全，价格灵活。无论是海蜇、扇贝，还是对虾、鲅鱼水饺，都是非常美味的。
 住宿
 在长岛住宿有两个选择，一是选择住酒店，二是住渔家。如果选择在渔家的话，建议提前预定，去之前多打几次电话与渔家确认情况，还可让其为你准备相关接送及饭菜等。",全年 06:30-17:10,https://img1.qunarzz.com/travel/d6/1707/c7/770c48781191eab5.jpg_480x360x95_68e59587.jpg,4.5,建议游览时间：3天 - 6天,冬季风雪较大，烟威之地有雪窝子之称，出海有一定的危险性，春夏温度适宜，海岛犹如仙境，观万鸟翔集，看海豹卖萌，秋季天高气爽，出海海钓，这三个季节适合观光游玩，但夏季游人较多。,"{'长岛北线门票学生票\n\n': ['¥40起'], '长岛全线门票成人票\n\n': ['¥129起'], '长岛全线门票学生票\n\n': ['¥67起']}",,1
蓬莱阁Penglai Pavilion,http://travel.qunar.com/p-oi704816-penglaige,"

地址:
山东省烟台市蓬莱区迎宾路7号西北一点五公里临海的丹崖上


电话:
0535-5621111,0535-5643012


官网:
http://www.plg.com.cn/

",,全年 07:30-17:00,https://img1.qunarzz.com/travel/poi/1510/85/7ae961c3613376.jpg_480x360x95_d65b813f.jpg,4.5,建议游览时间：4小时 - 5小时,蓬莱是消夏避暑、旅游观光胜地，7-9月是蓬莱阁的最佳游玩时节。,"{'蓬莱阁门票成人票\n\n': ['¥100起'], '蓬莱阁大师讲解服务成人票\n\n': ['¥140起'], '蓬莱阁电子导览服务大小同价\n\n': ['¥0.9起']}",1.碰到台风季，景区内的缆车及田横山会关闭，游客不能前往田横山参观2. 雨天公园管理处有雨鞋、雨伞、雨披出租，需要的游客可咨询公园管理处3. 景区内无餐饮，如果游客在此游玩时间较长，建议自带食物4. 游客来此游玩都会与长岛一起，蓬莱阁景区门口的码头，每天有发往长岛的船,1
烟台山景区Yantai Mountain Scenic Spot,http://travel.qunar.com/p-oi704545-yantaishanjingqu,,,,,,,,,,1
文成城堡Wencheng Castle,http://travel.qunar.com/p-oi7645513-wenchengchengbao,,,,,,,,,,1
田横山公园Tianheng Mountain park,http://travel.qunar.com/p-oi10000810-tianhengshangongyuan,"

地址:
烟台市蓬莱区迎宾路59号蓬莱阁景区田横山公园内


电话:
0535-5621111,0535-5643012

",田横山位于丹崖山蓬莱阁西侧，山上建有灯塔，它与旅顺老铁山灯塔的连线即为黄、渤二海分界线，因此具有“一山分二海”的独特地理地位。公元前202年，齐王田横因不愿事臣刘邦，自刎身亡，踞守在田横山的五百壮士闻田横死讯，高唱葬歌，歌罢相继自尽。田横与五百壮士威武不屈的气节深深影响着后人，因此命名为田横山。田横山海拔只有72米，但岩石呈赭红，远观近看，具有“水碧山红”的丹崖景致特点。东、北、西面悬崖陡峭，怪石鳞峋，凭栏伫立，观海听涛，思古抚今，别有一番情趣。内有祭田横墓文刻石、齐王鼎、逍遥麓、八卦桩、孙子汉简雕塑等。,全年 7:30-17:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-mapi/img/ff94f4fc22fcef50c4d97b7db3d4fb81.jpg_480x360x95_5a134b0d.jpg,4.4,建议游览时间：2小时 - 3小时,,包含在蓬莱阁景区内，通用于蓬莱阁景区门票。,,1
金沙滩海滨公园Golden Beach,http://travel.qunar.com/p-oi710854-jinshatanhaibingongyuan,"

地址:
烟台市福山区海滨路40号


电话:
0535-6381108,0535-6396995

",烟台金沙滩坡缓水洁，沙质细柔，是我国优良的海水浴场之一。金沙滩顾名思义，其沙滩金黄细柔，色泽金黄亮丽，在国内实属罕有。沙滩林带郁郁葱葱，空气清新洁净，山、水、林、滩相映成趣；海滨路南一带槐林映衬着座座欧式建筑，既有自然气息，又富欧陆风情，是休闲、度假的旅游胜地。,全年 全天开放,https://img1.qunarzz.com/travel/d6/1610/7c/ea173e3960c47b5.jpg_480x360x95_dc31e835.jpg,4.5,建议游览时间：2小时 - 3小时,烟台依山傍海，气候宜人，冬无严寒，夏无酷暑，全年平均气温12℃左右，每年4至10月，是烟台最佳旅游季节。,"{'烟台出发 蓬莱阁+文城城堡(可选)+金沙滩纯玩1日游 天天发团\n\n': ['¥48起'], '【臻品纯玩】蓬莱欧乐堡梦幻世界纯玩1日跟团游*含通票/天天发团\n\n': ['¥160起'], '烟台蓬莱阁+八仙过海+文成城堡+帆船+金沙滩一日游纯玩无购物/可选私家团\n\n': ['¥58起']}",,1
张裕酒文化博物馆Changyu Wine Culture Museum,http://travel.qunar.com/p-oi706190-zhangyujiuwenhuabowuguan,"

地址:
烟台市芝罘区大马路56号（张裕公司院内）


电话:
0535-6632892

",张裕酒文化博物馆位于烟台市中心，毗邻大海，是1992年张裕公司所建。1892年南洋富商张弼士投资建张裕葡萄酒公司。因为它是国人自己的葡萄酒，还在国际上获过奖，所以是烟台的知名品牌和骄傲。现在的博物馆仿造百年前张裕公司的模样，坐落在原址上，分酒文化广场和展馆两部分，展馆地上两层是让你了解张裕葡萄酒的展厅，地下是百年前的大酒窖，可以品尝到葡萄酒。进入博物馆首先看到露天的酒文化广场，广场中央有酒神雕塑喷泉，这里主要参观张裕葡萄酒公司在清朝初建时的老建筑零件。南边是张裕老门头，中西合璧的拱形老门楼上有同治、光绪两代帝王的老师——翁同龢的墨宝。北边一点是中国银行界石，再北边一点是仿造原貌恢复的照壁，照壁西边是早期金库，在展馆门口东侧则能看到张裕创始者张弼士的雕像。展馆的一层有图文介绍、当时的制酒设备陈列、正在酿酒的工人塑像等，主要介绍张裕葡萄酒的历史和荣誉。进门是立着浮雕的综合大厅，浮雕上刻张裕重要历史事件和人物。西侧有介绍张裕新中国成立前历史的历史厅，介绍新中国成立后成就的现代厅，展示社会各界书法题词和绘画的字画厅，珍藏张裕所得奖项的珍品厅，西北角的影视厅则用来播放企业宣传片。现代厅边上还有投币自动酿酒机，投入5元硬币，就能取到一小杯芳香醇厚的白兰地。展馆的二层主要介绍葡萄酒制作工艺，展示世界知名葡萄酒和张裕产品。制作工艺介绍有葡萄品种与土壤、橡木桶制作、软木塞制作等。产品展示有冰酒（即用霜冻的葡萄压榨酿造的酒）展区等。从展馆一层的老式旋转楼梯下楼，便来到了始建于1894年，历时11年才完工的地下大酒窖，这里是博物馆的精华。酒窖常年保持在12-18摄氏度，离海近，又在海平面下，却至今无渗漏，可见建筑工艺的精湛。窖内有八个拱洞，排着数百个各式各样的酒桶。其中七号洞内三个高3米，容量15吨的巨大橡木桶特别惹眼，被称为“桶王”，它们与地窖同龄，1915年张裕在国际上获奖的酒就曾在“桶王”中储藏。在八号拱洞内，能看到张裕公司在各个年份所产的瓶装酒。在酿酒坊内，则能付费DIY葡萄酒。大酒窖的五号洞内是个酒吧，游客凭门票可以在这里免费品尝葡萄酒。如果你对免费品的酒意犹未尽，也可以付费品尝别的酒。张裕酒文化博物馆所在的海滨有一条适合沿海观光的旅游路线，从西往东依次是烟台山景区、张裕酒文化博物馆、滨海广场、第一海水浴场、月亮湾、东炮台海滨风景区，你可以把这些景点串起来一并游览。,4/1-10/31 08:00-17:00;11/1-3/31 08:00-17:00,https://img1.qunarzz.com/travel/d4/1708/8e/cd798ba1cb630b5.jpg_480x360x95_508f70cf.jpg,4.5,建议游览时间：1小时 - 2小时,,"{'张裕酒文化博物馆门票+2款佳酿+纪念酒成人票\n\n': ['¥80起'], '张裕酒文化博物馆门票+4款佳酿+品酒师讲解+订制葡萄酒成人票\n\n': ['¥158起'], '烟台张裕酒文化博物馆电子导览服务大小同价\n\n': ['¥2.5起']}",,1
蓬莱海洋极地世界Polar Ocean World,http://travel.qunar.com/p-oi710140-penglaihaiyangjidishi,"

地址:
烟台市蓬莱区海港路东88号


电话:
4006398211,0535-5664777

",蓬莱海洋极地世界坐落于蓬莱市北部，毗邻田横山景区。在这里你可以看到各种有趣的海洋鱼类、水母，以及憨态可掬的海豹、企鹅、北极熊等极地动物，或是漫步于海底隧道感受深海魅力。你还能看到海豚和海狮的精彩表演，不过最受欢迎的要属唯美的美人鱼表演了。游玩提示蓬莱海洋极地世界共有四层楼，分为热带雨林馆、极地馆、鲨鱼馆、海豚海狮表演馆、海龟馆、海豹岛、水下剧场、科普馆、4D影院等多个区域，只要顺着展厅之间的指引标识，就可以依次参观。美人鱼表演和海豹海狮表演有固定场次，建议入馆后合理安排观看时间。请尽量避开暑期及黄金周期间来游玩，届时游客非常多。游玩指南入馆后首先来到热带雨林馆，置身于人造的雨林景观中，仿佛来到了大自然的怀抱中，这里可以观赏到中华鲟、七星刀鱼、电鳗、中华胭脂鱼、地图鱼、巨骨舌鱼、蓝鲨等各种珍奇的鱼类。接着来到极地馆中，可看到可爱的白鲸、海象、海狮、海豹等动物，还有南极洪氏环企鹅以及北极熊。海底世界更为精彩，漫步在一百多米长的海底隧道上、透过180度的透明玻璃，可见到各种深海鱼类在头顶上遨游或在身边追逐，感觉很不错。另外，还可透过世界最大的圆柱鱼缸全方位地欣赏五颜六色的各种热带鱼。水下剧场上演的美人鱼表演更是不容错过，可欣赏扮成美人鱼的少女们在水中翩翩起舞，十分唯美。如果表演没看过瘾，还可以去海洋剧场看海狮的滑稽表演以及海豚的浪漫演出，尤其是海狮抢凳子、海狮拔河等节目一定让你捧腹大笑。除了可以观赏各种海洋动物，在海洋极地世界中还设有科普馆，这里有贝类展区以及展示海水淡化、海水发电、海洋机器人等科普内容，让游客尤其是青少年朋友们能了解到丰富的海洋知识。,全年 08:00-18:00,https://img1.qunarzz.com/travel/d3/1707/a6/1da29b81254987b5.jpg_480x360x95_9a89ce33.jpg,4.4,建议游览时间：3小时 - 4小时,,"{'蓬莱海洋极地世界门票成人票\n\n': ['¥140起'], '蓬莱海洋极地世界门票学生票\n\n': ['¥130起'], '蓬莱海洋极地世界门票优待票\n\n': ['¥100起']}",提供两种快捷高效的入园方式1、用身份证直接刷闸机入园（推荐）2、凭手机收到的二维码直接刷闸机入园,1
月亮湾Yueliangwan,http://travel.qunar.com/p-oi3754687-yueliangwan,"

地址:
烟台市芝罘区滨海北路


电话:
0535-6624836

",作为烟台城市魅力象征和情侣们视为浪漫圣地的月亮湾，位于黄海之滨，左挑烟台山，右依东炮台，背靠岱王山。这里山石、海水、港湾融合一体，很有气势。和九丈崖紧邻，海水退潮后，海湾露出许多鹅卵石。一东一西两座岬角拥着一片深月形的海湾，海水清澈，沙滩平缓，卵石晶莹，风轻境幽。一道宽约一米，约二十余米的木石长堤象一道长长的破折号，静静地伸向海中。,全年 08:30-17:00,https://img1.qunarzz.com/travel/d9/1606/67/f0f4ad55d2963d9a.jpg_480x360x95_f343a694.jpg,4.5,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
