名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
玻璃栈道,http://travel.qunar.com/p-oi9599301-bolizhandao,"
",2015年9月20日，云台山景区新建的一期U型玻璃栈道正式对游客开放。站在千米高的玻璃上，整个人仿佛悬空而立，透过玻璃往下望去，不仅山间美景一览无余，还有一种紧张刺激的快感，其惊险刺激可与举世闻名的美国大峡谷 “天空之路” 玻璃走廊相媲美。二期长度约百米的高空栈道正在初期施工，游客可以一边走在玻璃栈道上一边看修建中的玻璃栈道。,6：30-17:00,https://img1.qunarzz.com/travel/d2/1711/9a/0fc4cd824c9ce3b5.jpg_480x360x95_f31238e9.jpg,4.2,,,,,1
云台山风景名胜区Yuntai Mountain Geopark,http://travel.qunar.com/p-oi707948-yuntaishanfengjingming,"

地址:
焦作市修武县七贤镇沙墙村北2公里


电话:
0391-7709300


官网:
http://www.yuntaishan.net/

",【大美云台山】云台山是国家级风景名胜区、国家首批5A级旅游景区和全球首批世界地质公园，位于河南焦作市修武县境内，太行山南麓，豫晋省界交汇处，总面积50多平方公里。云台山有红石峡、潭瀑峡、泉瀑峡、猕猴谷、茱萸峰、叠彩洞、万善寺、子房湖等八个景点，是一处以裂谷构造、水动力作用和地质地貌景观为主，以自然生态和人文景观为辅，以峰谷交错、绝壁林立与飞瀑流泉、清溪幽潭为特色，集美学价值与科学价值于一身的综合性风景名胜区。云台山以山称奇，以水叫绝，因峰冠雄，因峡显幽，景色荟萃各不同。春来山花烂漫，夏至飞瀑流泉，秋日红叶似火，冬季银装素裹，四季浓淡总相宜。在这里你既可领略北国山川的雄浑，又可品味江南水乡的秀丽。景区内有世界奇峡红石峡；有亚洲落差较大的云台天瀑；有华夏中原第秀水之称的潭瀑峡；有唐代大诗人王维写下千古名句“独在异乡为异客，每逢佳节倍思亲”的茱萸峰。云台山独有的地质地貌景观，被地质专家命名为“云台地貌”，被旅游专家誉为“峡谷博览”，这里俨然是地质博物馆的“万卷史书”，更是山水风光的“百里画廊”，游览云台山水不仅可以领略到山水的外在秀美，还可以了解到自然的神奇演变，从而使一次只知其然的山水风光旅游，升华为一次又知其所以然的地质科普旅游。【景点项目】1、云溪谷夜游：游览时间20:15-22:45，开放时间会根据季节调整，及时关注外网信息。云台山风景名胜区新增大型山水奇幻光影夜秀--《云溪夜游》，于2018年7月6号开始迎宾！《云溪夜游》全长1.2公里，从筹备到调试彩排再到正式开景，历时8个月，匠心打造，运用声、光、电、全息投影等高科技手段，与自然山水深度融合，塑造出“龙飞蝶舞”、“陪嫁村之恋”、“十步爱情走廊”、“海底世界”、“双子喊泉”、“荧光海”等神奇梦幻场景和超级网红打卡点。2000多套智控激光萤火虫、近千套舞美专用LED灯、多套水幕3D投影系统、主舞台震撼多媒体真人神话剧、激光灯投影等等声光电多媒体技术，云溪谷夜游已成功打造成为中原地区夜游新地标。2、球幕飞行影院云台山风景名胜区内的体验产品，360极限飞球-飞越云台山，又称“球幕飞行影院”，位于小寨沟广场。本产品为云台山景区2018年度重点推出的高科技娱乐项目，集合球幕影院、飞行影院、动感影院、过山车等主流高科技为一体，立体声环绕、15米球形荧幕、法拉利动感座椅、沉浸式效果体验，带给您一场惊险、刺激、超震撼的视听盛宴。目前播放影片：《飞越云台山》，全程模拟飞行，在云逗逗的引领下，走进神秘而秀美的云台山，领略云台山的四季美景，飞遍云台山10多处景点，为你插上翅膀，自由翱翔天际，飞出云台山，飞到姐妹公园—美国大峡谷，感受异国他乡的美丽景色。具体播放影片以景区当日公布为准。3、凤凰岭玻璃栈道凤凰岭玻璃栈道位于茱萸峰，分为两条玻璃栈道，一条玻璃栈道依崖壁呈U型而建，另一条完全垂直于悬崖，无任何视觉遮挡物。玻璃栈道总长约400米，海拔约1080米，宽1.6米，全线为透明玻璃制成，行走其上，带给人凌空万丈的惊险感受。在玻璃栈道上举目远眺，一览众山小，千沟万壑尽收眼底，可以体验悬崖上的刺激震撼。4、凤凰岭索道 凤凰岭索道线路总高差近700米，线路斜长1700余米，运输能力可达到3000人/小时，为国内运量较大的索道之一，也是目前国际上客运索道中舒适度及安全系数较高的索道之一。乘索道飞云直上，在轿厢里不仅能一览峰峦起伏，还能体验穿云破雾的即视感，乘坐索道约6分钟就可到达玻璃栈道入口处。5、动感飞艇 有“水上法拉利”之称的动感飞艇，位于子房湖。水上漂移、360度甩尾、极速行驶，分分钟上演大片“速度与激情”。6、云逗逗美食城云逗逗美食城占地面积5600平方米，以焦作小吃为主，融入河南传统名吃，打造集吃、喝、玩、乐、购全业态运营于一体的集中餐饮区，满足不同消费群体的需求，让游客在云台山感受独特的饮食文化。7、云台山文化旅游学院  云台山文化旅游学院核心区域占地面积90余亩，包含综合楼、客房、餐厅、多功能厅、报告厅、休闲公园等功能区域，主要开展大客户接待、培训教育、研学旅行、拓展训练、团建活动、会议服务等综合性业务。,03/01-11/30 06:30-18:30;12/01-2/28 07:00-17:30;7/19-7/23 全天不开放,https://img1.qunarzz.com/travel/poi/1806/3b/5d7bf6642be57737.jpg_480x360x95_e09d9250.jpg,4.8,建议游览时间：3天 - 9天,云台山四季分明，景色各异，四季旅游皆宜。春来冰消雪融，万物复苏，山花烂漫，踏春出行，夏日丛林郁葱，飞瀑流泉，山奇壮美，如诗如画，避暑纳凉，秋季层林尽染，红叶似火，插茱萸、赏红叶，遥寄情怀，冬季银装素裹，群山莽苍，雄浑奇劲，一派北国风光。5-10月温度适中，适合出游，是最佳旅游季节五月到十月出游最佳，但五一、十一游人多，若时间允许可自行避开。,"{'云台山风景名胜区门票+往返交通车票成人票\n\n': ['¥180起'], '云台山风景名胜区门票+往返交通车票儿童票\n\n': ['¥120起'], '云台山风景名胜区门票+往返交通车票老人票\n\n': ['¥60起']}","景区实行门票和车票分离制，自购票之日起三日内有效，凭观光车票可在指定的停靠点乘车，凭门票可游览所有开放的景点，实行分景点验票的制度，共设山门、红石峡、潭瀑峡、茱萸峰、万善寺等验票处,凡是验过票的景点，不能重复游览，部分景点会根据天气情况开放或关闭，请根据景区当日公告合理安排您的行程。",1
太行山,http://travel.qunar.com/p-oi705988-taihangshan,"

地址:
河南省焦作市


官网:
http://www.thdxg.net/

",太行山位于山西省与华北平原之间，纵跨北京、河北、山西、河南4省、市，山脉北起北京市西山，向南延伸至河南与山西交界地区的王屋山，西接山西高原，东临华北平原，呈东北—西南走向，绵延数400余公里。太行山内涵盖多处景区，其中包括：通天峡景区、苍岩山景区、京娘湖景区、古武当山景区、七步沟景区、长寿村景区、朝阳沟景区、太行山大峡谷景区、猕猴保护区、王屋山、太行八陉、地质博物馆等等。太行山形势险峻，历来被视为兵要之地。从春秋战国直到明、清，两千多年间烽火不息。,"太行大峡谷：08:00-17:30 
 太行大峡谷漂流：每周二、周四、周六、周日：14:30-16:30",https://img1.qunarzz.com/travel/d3/1711/c7/f664584637a38eb5.jpg_480x360x95_8db1c94f.jpg,5.0,,从气候上看，太行山属暖温带半湿润大陆性季风气候，全年冬无严寒，夏太行山大峡谷无酷暑，雨热同季，虽四季分明，但冬长夏短。7月是太行山气温最高、降雨最多的一个月，同时也是雷暴天气最多的一个月，所以选择7月去大峡谷时机并不算好，相对来说5-6月以及8-9月应该是最佳旅游时间，这段时间气温比较适宜，山上的风景应该很漂亮，不过5月和8月的雨水稍多些，但通常不会下得很大，雨后的空气一定会更清新，而且雨后易出雾，景色还会更美。而4月，10月温度稍低了些，最低气温只有5、6℃的样子，有点冷，选择这个时间段来旅游，一定要带足衣服，注意保暖，穿棉衣都不为过。,"太行大峡谷
 全价票：160.00元（含观光车60.00元）
 半价票：110元
 漂流票：138元

 ◆
半价票优惠范围和凭证 
 1.全日制在校学生（不含成人教育），凭学生证享受优惠； 
 2.在三八妇女节、五四青年节、教师节游览景区的游客，凭单位介绍信享受优惠； 
 3.持有残疾证的残疾人； 
 4.60岁－65岁（不含）的老年人，凭身份证或老年人优待证； 

◆免费票优惠范围和凭证 
 1.现役军人和武警官兵，凭有效证件享受优惠； 
 2.安阳区域内65岁以上老年人，外地70岁以上老年人，凭身份证或老年人优待证享受优惠； 
 3.离休人员，凭离休证享受优惠； 
 4.省、部级以上劳模，需持有相关部门颁发的荣誉证书； 

◆地方票优惠范围和凭证 
 林州市居民在国家法定休假日以外时间购票，凭本人身份证，每人可购买地方票一张。 
 林州市居民在国家法定休假日购票，不享受优惠票价。 

◆儿童票优惠范围 
 身高1.20米以下的儿童，由家长陪护，门票和内部观光费全免；不包括由学校组织的校外集体活动。


说明 1.景区参观券为通票制（包含：桃花谷、太行天路和王相岩），不出售单独景点的参观券，票价内包括门票（100.00元/人）和观光车费（60.00元/人）。
 2.票价优惠限于门票部分，景区内部观光车费无优惠。
 3.参观券有效时间为48小时，游客可自行安排参观顺序和时间，但同一景点仅可参观一次。
 4.请通过正规渠道购票，过低票价可能存在风险，景区不对由此造成的损失负责。




",,1
红石峡Red Rock Gorge,http://travel.qunar.com/p-oi716616-hongshixia,"

地址:
焦作市修武县云台山西大门附近


电话:
0391-7709300,0391-77090017709300

",红石峡是云台山风景区的标志性区域，也是风景区内精华的区域，大多数游客在游览云台山风景区时，会把红石峡作为一个游览的区域。游客在进入云台山风景区大门后，可以乘坐景区内的观光车（费用包含在门票内）到达峡谷入口，然后顺着峡谷内的栈道，步行游览整个峡谷。峡谷是单行通过，峡谷的出口靠近云台山的小寨沟景区（包含泉瀑峡、潭瀑峡、猕猴谷）。红石峡，有“盆景峡谷”之称，当你步入谷中的栈道，红色的山石扑面而来，这里属于丹霞地貌，岩石都是红色的，“红石峡”因此得名。这里既有北方山川的雄浑，又有江南水乡的秀丽，在谷中的栈道中漫步时，抬头仰望，可以看到两边峭壁林立，犬牙交错。谷内树木郁郁葱葱，还能看到众多的飞瀑溪水，耳边可以听到涛涛水声，宛如是江南的秀水青山。整个峡谷还是一个地质博物馆，峡谷内分布着各个地质年代的岩石。如果你是个地质迷，那你能够在这里看到4亿年前奥陶系石灰岩， 5亿年前寒武系的石灰岩，10亿年前中元古代紫红色石英砂岩。在红石峡的白龙潭，地质专家还发现了34亿年前的锆石，据说是目前地球上发现的较古老的岩石。,具体开放时间请咨询景区,https://img1.qunarzz.com/travel/poi/201408/13/6a751585f4a37dd0c8d65eac.jpg_480x360x95_1ed1791b.jpg,4.7,建议游览时间：2小时 - 3小时,五月到十月出游最佳，但五一、十一游人多，若时间允许可自行避开。,包含于云台山风景区内，通用云台山风景区门票。,1、拍照取景切莫忘记身后地形，山地游览秉承走路不看景，看景不走路的原则。2、云台山地方的小虫咬人比较毒，不要去随便招惹。3、游览时，户外鞋登山鞋最宜，女生最好别穿裙子，此地温度低，早晚凉，建议备薄外套。,1
茱萸峰Zhuyu Peak,http://travel.qunar.com/p-oi720866-zhuyufeng,"

地址:
焦作市修武县正北30公里方庄焦作云台山风景名胜区


电话:
0391-7709300,0391-7709001

",茱萸峰受到历代文人墨客的青睐，这里植被茂密，古树参天，森林覆盖率高达93%，是个天然氧吧。踏千阶的云梯栈道登上海拔1308米的茱萸峰顶，会使人产生“会当凌绝顶，一览众山小”的豪迈气慨。,具体开放时间请咨询景区,https://img1.qunarzz.com/travel/poi/1410/08/f7c711de31a6fbddffffffffc8d65eac.jpg_480x360x95_0ec046b0.jpg,4.5,建议游览时间：2小时,五月到十月出游最佳，但五一、十一游人多，若时间允许可自行避开。,包含于云台山景区门票内，通用于云台山景区门票。,"1、拍照取景切莫忘记身后地形，山地游览秉承走路不看景，看景不走路的原则。 
 2、云台山地方的小虫咬人比较毒，不要去随便招惹。 
 3、游览时，户外鞋登山鞋最宜，女生最好别穿裙子，此地温度低，早晚凉，建议备薄外套。 

4、景区内部交通：乘坐景区绿色观光巴士，景区内共设有22个乘车点，在游览的过程中，可以在此景区站点凭票上下车，并有随车讲解员，提供云台出行的基本情况讲解。 
 5、凤凰岭玻璃栈道收取鞋套费5元/人。 
",1
潭瀑峡Tanpu Gorge,http://travel.qunar.com/p-oi720954-tanpuxia,"

地址:
焦作市修武县云台山景区


电话:
0391-7709300

",潭瀑峡（又名小寨沟）是云台山峡谷极品的主要代表，处于云台山北部略偏西，是主要河流子房河的一个源头。谷内风光怡人，宛若江南。“三步一泉、五步一瀑、十步一潭”是潭瀑峡秀美风光的真实写照。在这里可以欣赏到耳鬓厮磨，切切私语的情人瀑；四季长流，珠帘高挂的水帘洞；五谷丰登，六畜兴旺的丰收图；还有龙凤呈祥的龙凤壁，宛若仙子的蝴蝶石，石砚磨穿的洗砚池。经专家考证，潭瀑峡内的不老泉集太行山夏雨冬雪，渗漏流动五十余公里，是不可多得的优质矿泉水。,包含于云台山景区内，景区开放时间：旺季6:30-18:30，淡季7:00-17:30，景点开放时间详见景区现场公示。,https://img1.qunarzz.com/travel/poi/201408/13/5174a91a40441f43c8d65eac.jpg_480x360x95_0d2cc28e.jpg,4.6,建议游览时间：1.5小时 - 2小时,五月到十月出游最佳，但五一、十一游人多，若时间允许可自行避开。,包含于云台山景区门票内，通用于云台山景区门票。,拍照取景切莫忘记身后地形，山地游览秉承走路不看景，看景不走路的原则。云台山地方的小虫咬人比较毒，不要去随便招惹。游览时，户外鞋登山鞋最宜，女生最好别穿裙子，此地温度低，早晚凉，建议备薄外套。,1
子房湖Ovary Lake,http://travel.qunar.com/p-oi721227-zifanghu,"

地址:
焦作市修武县云台山景区


电话:
0391-7709300,0391-77090017709300

","子房湖又叫""平湖""。因汉代张良（字子房）隐退至此而得名。湖水深处70多米，长约4千米。两岸青山对峙，夹一带绿水。苍翠的山，墨绿的水，相依相偎，展现出一幅壮阔波澜之景。正午时，它象一面巨镜，把直射的阳光反射出去，使人眼花缭乱。湖的北端，有一座山峰酷似大佛，整尊大佛不仅有栩栩如生的面相、垂肩的双耳、交合的双手、盘坐的双腿，而且座下是莲花状的山丘。每当早晨和黄昏，霞光映照，大佛通体生辉，轮廓分明，形象逼真。",旺季 6:30-18:30，淡季 7:00-17:30。,https://img1.qunarzz.com/travel/poi/201408/13/0c298a4087f7bd8cc8d65eac.jpg_480x360x95_5b6f7260.jpg,4.4,建议游览时间：0.5小时,五月到十月出游最佳，但五一、十一游人多，若时间允许可自行避开。,包含于云台山景区内，通用云台山景区门票。,1、拍照取景切莫忘记身后地形，游览秉承走路不看景，看景不走路的原则。2、此地温度低，早晚凉，建议备薄外套。,1
叠彩洞Diecai Tunnel,http://travel.qunar.com/p-oi720506-diecaidong,"

地址:
焦作市修武县云台山景区


电话:
0391-7709300,0391-7709001

",叠彩洞是连接豫晋两省的公路隧洞，是修武人民战天斗地的杰作，前后历时八年开筑而成。大小二十三条，首尾相连，总长4800多米，在峭壁间重叠直上。区内奇石林立，形态各异，还有中国科学院命名的稀有多年生蔷薇草本花木“太行花”。出叠彩洞便到三秀峰，峰上有一奇石，高约40米，从不同角度观看，可变幻为大灵芝、秀丽的村姑、着长裙攀山的摩登女郎。,具体开放时间请咨询景区,https://img1.qunarzz.com/travel/poi/201408/13/b9f55d21b9744a87c8d65eac.jpg_480x360x95_6fcc914c.jpg,4.5,建议游览时间：0.3小时 - 0.5小时,五月到十月出游最佳，但五一、十一游人多，若时间允许可自行避开。,,拍照取景切莫忘记身后地形，山地游览秉承走路不看景，看景不走路的原则。云台山地方的小虫咬人比较毒，不要去随便招惹。游览时，户外鞋登山鞋最宜，女生最好别穿裙子，此地温度低，早晚凉，建议备薄外套。,1
泉瀑峡Quanbao Gap,http://travel.qunar.com/p-oi720481-quanpuxia,"

地址:
焦作市修武县云台山风景名胜区内


电话:
0391-7709300,0391-77090017709300

",泉瀑峡（又名老潭沟）山雄水秀，峰高瀑急，落差314米的华夏第一高瀑“云台天瀑”就在泉瀑峡尽头，它宛若银河飞落，犹如擎天玉柱，十分壮观。泉瀑峡山势高峻挺拔，水流急湍深邃。沿峡谷逆水而上，主要有多孔泉、私语泉、幽潭、吟龙瀑等景点。,具体开放时间请咨询景区,https://img1.qunarzz.com/travel/poi/201408/13/343cd026002001f0c8d65eac.jpg_480x360x95_c3f22cb1.jpg,4.5,建议游览时间：2.5小时,五月到十月出游最佳，但五一、十一游人多，若时间允许可自行避开。,"{'【酒景套餐】焦作云台山门票双人+景区交通+1晚景区云武堂度假酒店+早餐\n\n': ['¥698起'], '【酒景套餐】云台山门票双人+景区交通+1晚云台山云朵民宿\n\n': ['¥258起']}",1、拍照取景切莫忘记身后地形，山地游览秉承走路不看景，看景不走路的原则。2、云台山地方的小虫咬人比较毒，不要去随便招惹。3、游览时，户外鞋登山鞋最宜，女生最好别穿裙子，此地温度低，早晚凉，建议备薄外套。,1
万善寺Wan Shan Temple,http://travel.qunar.com/p-oi720487-wanshansi,"

地址:
焦作市修武县云台山景区


电话:
0391-7709300,0391-7709001

",万善寺坐落在形似奶头状的阎王鼻山峰下面，周围青山环抱，风景秀丽。万善寺作为皇家寺院，曾兴盛一时，清军入主中原后，寺庙遭受严重焚烧破坏。抗战时期，万善寺又遭焚毁。1990年，万善寺才被重建。现在的寺院是九二年重建的。主持方丈为我国金刚法大师--释海空。有一线泉、聚宝盆、枯井、仙家洞、敬德试鞭石、望亲台等诸多景观。近年来，万善寺游人如织，香火旺盛。,具体开放时间请咨询景区,https://img1.qunarzz.com/travel/poi/201408/13/9bf4fa6e22667cd6c8d65eac.jpg_480x360x95_581b2e3e.jpg,4.3,建议游览时间：0.5小时,五月到十月出游最佳，但五一、十一游人多，若时间允许可自行避开。,包含于云台山风景区内，通用云台山风景区门票。,拍照取景切莫忘记身后地形，山地游览秉承走路不看景，看景不走路的原则。云台山地方的小虫咬人比较毒，不要去随便招惹。游览时，户外鞋登山鞋最宜，女生最好别穿裙子，此地温度低，早晚凉，建议备薄外套。,1
