名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
中国雪乡Snow Town (Xuexiang),http://travel.qunar.com/p-oi709342-zhongguoxuexiang,"

地址:
牡丹江市海林市大海林林业局双峰林场


电话:
400-000-0453


官网:
http://www.zhongguoxuexiang.com/

",雪乡也叫做双峰林场，这里雪质好、粘度高，冬季可见到自然形成的各种雪堆造型，包括有名的“雪蘑菇”。在雪乡可以滑雪、玩雪圈，或者起个大早坐雪地摩托上山看日出，还可以去徒步翻越羊草山，感受林海雪原的魅力。雪乡位于海林市西南山区，这一带降雪频繁，每年有七个月的积雪期，其中12月到次年3月间是来雪乡看的好时节，此时的雪量大、积雪厚，游客也相当多。雪乡是个小村子，雪韵大街是村上较为热闹的地方，这条将近五百米长的大街两侧聚集各种商店和旅店，晚上店门前挂满的红灯笼显得很有节日气氛。你可以在雪韵大街上买个冻得像石头般结实的冻梨、冻柿子尝尝，或者去用老式火车头装修成的酒吧感受不一样的氛围。雪韵大街上的“梦幻家园”，可看到各种漂亮的“雪蘑菇”，算得上是雪乡的知名景点了，而“梦幻家园”后面的小山包则是摄影取景的好地方。很多人来雪乡会做两件事儿，一是去村子边上的滑雪场滑雪、玩雪圈、打雪仗，好好地疯一把，这里请教练比亚布力便宜些。还有就是去村郊的大秃顶子山、或者羊草山上看日出，但能否看到美丽的日出就全凭机遇了。说起“雪乡”就不得不提“雪谷”，雪谷与雪乡之间隔了一座羊草山，很多户外爱好者会体验穿越羊草山。从雪谷经羊草山穿越到雪乡是所谓的“正穿“，从雪乡穿到雪谷是”反穿“，若要一大早上去羊草山看日出，建议从雪乡出发上山，难度相对会比较小。,11/20-3/29 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/2bccc9493be9c783b54e5883d486bca6.jpg_480x360x95_c0e1463b.jpg,4.5,建议游览时间：6天 - 9天,雪乡分为雪季和非雪季，每年从10月开始进入雪季，一直持续到次年5月都会有积雪。1月-2月雪厚和雪形已极具观赏价值，是游客集中游览时期。3月月厚和雪形最佳，适合摄影爱好者或深度游爱好者。1月-3月,95元,1、雪乡在冬天大概有零下25到30度，所以一定要做好保暖工作，穿厚一点的羽绒服，里面穿加厚的贴身保暖内衣，戴厚帽子、手套、围巾等，鞋子要保暖防滑防水，要穿加厚的袜子，还有口罩等，裤子以防水、不沾雪的面料为佳。因为雪地反射紫外线，可以携带太阳镜。2、在极冷的情况下最容易冻伤的是手指、脚趾、鼻子和耳朵，如果出现冻伤，不要进屋受热或者用热水洗，应急办法是在室外用雪擦来缓冻。3、如果想亲近雪，一定要准备专业的雪套，不然雪进入鞋子冻成冰，脚会受不了。4、在雪乡是睡火炕，加上北方空气相对南方更干燥，需要多喝水及时补充水分。5、雪乡低温容易导致电池无法使用，显示缺电状态，需要注意对电池的保暖，最好带一块备用电池，轮流让电池取暖。6、路上要走比较多的路，最好带些巧克力、牛肉干之类的抗饥饿食品。7、雪乡冬天6:00天亮，16:30天黑，游客需安排好游玩时间。,1
镜泊湖风景区Jingbo Lake Scenic Area,http://travel.qunar.com/p-oi708046-jingbohufengjingqu,"

地址:
牡丹江市宁安市


电话:
0453-6996683,0453-6996680,0453-6996721


官网:
http://jph.mdj.gov.cn/

",镜泊湖是著名的避暑胜地，位于牡丹江所辖宁安市境内，距牡丹江约两小时车程，它是由于万年前火山喷发而形成的，高山堰塞湖。相传很久很久以前，牡丹江畔住着一个美丽善良的红罗女。她有一面宝镜。哪里的人们有苦难，她只要用宝镜一照，便可以消灾弭祸。这件事传到了天庭，引起了王母娘娘的忌妒，她派天神盗走了宝镜。红罗女上天索取，发生了争执，宝镜从天上掉了下来，就变成了镜泊湖。每年6-9月是这里的旅游季，处处是秀丽的山峦和葱郁的树林，坐上游船可在湖上欣赏两岸风光。此时镜泊湖北端的吊水楼瀑布水量充沛、颇为壮观，而行走在火山口地下森林中则可感受清凉。镜泊湖风景区目前主要分为镜泊湖主景区、镜泊峡谷、火山口地下森林三大景区。镜泊湖主景区包括了吊水楼瀑布和百里长湖两大部分，全程游览约4-5小时，购主景区门票后需按指纹进行登记，可48小时内两次进出景区。吊水楼瀑布是镜泊湖有名的景观，每到夏季尤其雨后这里水流轰鸣、气势磅礴，你还可以站在瀑布对面的悬崖上欣赏中国悬崖跳水第一人——狄焕然的跳水表演。百里长湖是指镜泊湖湖区，可在镜泊山庄码头坐游船游湖，大约1.5-2小时，在船上可欣赏毛公山、大孤山、小孤山、道士山等景观，以及湖边石崖白石砬子、城墙砬子、老鸹砬子等景观，建议坐在船头，以便更好地欣赏风景。除此以外，主景区内还有红罗女文化园、药师古刹、奇境碑园等小景点。镜泊峡谷与吊水楼瀑布邻近，也位于镜泊湖北端。峡谷里水流潺潺，你可以行走在火山岩石上、欣赏形状各异的“冰臼”奇观，这里还有小型瀑布和朝鲜族民族等景观，夏季时还可以玩皮艇漂流。景区不大，景点比较集中，通常游玩2-3小时。火山口地下森林位于镜泊湖西北约50公里处，镜泊湖主景区门口有车可到，约半小时车程。这里从东南向西北排列着七个火山口，里面被森林覆盖。站在火山口俯瞰，一派郁郁葱葱，而行走在山口底部，头顶遮天蔽日，在夏季时尤其凉爽。该景区游览时间约2小时，森林里的温度要比外面低几度，要注意衣着保暖。游镜湖景区一般需花两天的时间游览。如果中午到达，可以先游览地下森林；第二天上午游览主景区、下午游览镜泊峡谷，如果对历史遗迹有兴趣，下午也可以去景区东北部的渤海国上京龙泉府宫城遗址参观。如果只有一天时间，建议只游览主景区，牡丹江火车站前有车可直接往返景区门口，但仅上午有车。主景区内的镜泊山庄一带有几家宾馆，但价格比城镇要贵，主景区北门附近也有不少当地村民开的家庭旅馆，相对经济实惠。在镜泊山庄一带和主景区北门附近都有餐馆，景区内有小卖部，里面卖的烤鱼可以尝尝，味道不错。,全年 全天开放,https://img1.qunarzz.com/travel/d1/1508/b6/f66aaae9476d78.jpg_480x360x95_eb5a24b7.jpg,4.3,建议游览时间：3天 - 6天,,"{'镜泊湖风景区门票成人票\n\n': ['¥45起'], '镜泊湖风景区观光车票大小同价\n\n': ['¥10起'], '镜泊湖风景区往返直通车票大小同价\n\n': ['¥50起']}",镜泊湖一年四季都有景镜泊湖一年四季都有着各自独特分明的景色。春天，满山达子香，满湖杏花水；夏天，绿荫遮湖畔，轻舟逐浪欢；秋天，五花山色美，果甜鱼更肥；冬天，万树银花开，晶莹透琼台。除此之外，还有各项娱乐措施，冬季景区开辟冰雕、雪雕、滑冰、滑雪、滑道、冰上球类、冰上捕鱼、马拉爬犁等游乐项目。体验东北民俗，品尝山珍野味，冰雪风光皎洁鲜亮，冰雪游乐丰富多彩。,1
羊草山Yangcao Mountain,http://travel.qunar.com/p-oi5942838-yangcaoshan,"

地址:
延边朝鲜族自治州敦化市双峰林场雪乡国家森林公园·中国雪乡风景区内


电话:
4000000453

",羊草山是雪乡一带高的山，其山顶树少草多、视野广阔，因此成为观日出、赏日落的地点。而羊草山为出名的则是为众多户外爱好者所追捧的穿越路线，可体验《智取威虎山》中杨子荣在这一带穿越林海雪原的过程。羊草山被认为是雪乡美丽的地方，它位于雪谷与雪乡之间，雪乡位于羊草山的阳面，而雪谷位于羊草山的阴面。主峰骆驼峰海拔1235米，冬季时羊草山顶雪原很开阔，树木稀少雪质好，可以拍摄到蓝天白雪地的壮美景观，也是观日出的胜地。绝大多数的徒步穿越者会选择先到雪谷，第二天早上徒...羊草山是雪乡一带高的山，其山顶树少草多、视野广阔，因此成为观日出、赏日落的地点。而羊草山为出名的则是为众多户外爱好者所追捧的穿越路线，可体验《智取威虎山》中杨子荣在这一带穿越林海雪原的过程。羊草山被认为是雪乡美丽的地方，它位于雪谷与雪乡之间，雪乡位于羊草山的阳面，而雪谷位于羊草山的阴面。主峰骆驼峰海拔1235米，冬季时羊草山顶雪原很开阔，树木稀少雪质好，可以拍摄到蓝天白雪地的壮美景观，也是观日出的胜地。绝大多数的徒步穿越者会选择先到雪谷，第二天早上徒步上羊草山，翻过山就到了雪乡，全程近6小时。穿越羊草山的沿途多为山林小道，风景很原生态，但冬季翻越这座雪山对体力很是考验。如果纯粹想上山看日出，则好从雪乡上山，既省时间又省体力。,全年 全天开放,https://img1.qunarzz.com/travel/d7/1601/92/7a2636625eaeecf7.jpg_480x360x95_b4411f46.jpg,4.5,建议游览时间：2小时 - 3小时,12月至次年3月最佳。此时为雪量最大期，雪景最美，适合参与雪上活动。羊草山顶雾凇和日出十分漂亮。,具体收费情况以现场公示为主,,1
二浪河Erlang River,http://travel.qunar.com/p-oi9139605-erlanghe,"

地址:
牡丹江市海林市距中国雪乡43公里，亚布力旅游名镇40公里。

", 二浪河林场始建于1975年，2010年11月11日成立二浪河旅游风景区。景区坐落张广才岭中段，老秃顶子东北侧，中国雪乡43公里，亚布力旅游名镇40公里。二浪河旅游景区海拔723米，施业区海拔1600米，气候与中国雪乡相似，期长达7个月，积雪厚度可达2米左右，其雪量、雪质和雪粘度很特殊，随物具形的雪挂、雾凇等奇观，令游客无不惊叹，其景观可与雪乡和亚布力景区雪景媲美，是一颗镶嵌在亚雪旅游线路上的又一夺目明珠。二浪河旅游风景区是一处“养吧”，林间蕴藏着丰富的“空气维生素”——负氧离子，每立方厘米约30000-50000个。当游客在林间漫步时不仅能呼吸到带有负氧离子的空气，而且还能亲身体验采集山野菜的乐趣。这里有“两河”、“八溪”、“十六泉”，溪流清彻见底，常年流淌，泉水喷涌而出，清爽甘甜，或在树隙间，或在青石上，蜿蜒流淌。秋季游客登上29林班海浪风力发电区的“驼峰”，观看景色奇特的“五花山”，宛如一幅硕大的油画，这里是美术和摄影爱好者的好去处。 二浪河旅游风景区内现有家庭旅馆10家，可容纳游客200人左右，游客做在家庭旅馆的火炕上，吃着小鸡炖蘑菇、猪肉炖粉条、杀猪菜、飞龙汤、地三鲜、土豆丝及各种山野菜和味道鲜美的菌类食品，还有香甜玉米、玉米面大发糕、粘豆包，磕着松子、瓜子，品林中山珍美味，听山中岁月传说，真有“悠然见南山”的陶醉，体验这里纯朴的民俗民风。,全天,https://img1.qunarzz.com/travel/d4/1705/c4/6a97d8e5b31bddb5.jpg_480x360x95_da833bf8.jpg,4.5,,,具体收费情况以现场公示为主,,1
雪乡大雪谷China Snow Valley,http://travel.qunar.com/p-oi9151416-xuexiangdaxuegu,"

地址:
牡丹江市海林市大海林林业局雪乡景区亚雪公路75公里处


电话:
4000000453

",大雪谷是雪乡周边的一个景点，这里展现的是山谷间的美丽雪景以及东北民俗风情，可以看到雪蘑菇、雪崖、冰瀑、木屋、地窨子等景观，还可体验穿越雪原林场，这里也曾是第一季《爸爸去哪儿》的拍摄基地。大雪谷俗称八公里大沟塘，距离“中国雪乡”约20公里，这个大雪谷与“中国雪谷”（东升林场）并非同一个地方。在大雪谷可以看到许多木屋和人造景观，这些大多都是拍摄第一季《爸爸去哪儿》时所建的设施，这里还可见到一些漂亮的雪蘑菇。在大雪谷，可以见到地窨子、马架子，猎户之家、抗...大雪谷是雪乡周边的一个景点，这里展现的是山谷间的美丽雪景以及东北民俗风情，可以看到雪蘑菇、雪崖、冰瀑、木屋、地窨子等景观，还可体验穿越雪原林场，这里也曾是第一季《爸爸去哪儿》的拍摄基地。大雪谷俗称八公里大沟塘，距离“中国雪乡”约20公里，这个大雪谷与“中国雪谷”（东升林场）并非同一个地方。在大雪谷可以看到许多木屋和人造景观，这些大多都是拍摄第一季《爸爸去哪儿》时所建的设施，这里还可见到一些漂亮的雪蘑菇。在大雪谷，可以见到地窨子、马架子，猎户之家、抗联密营遗址等景点。这里也有一条受欢迎的穿越路线，可以穿越雪原林场，沿途可以观赏到美丽的雪原、冰瀑、雪崖，可以领略伐木人的壮志豪情，感受到东北六、七十年代的特色文化。大雪谷还是登临龙江第一峰大秃顶子的佳路径，现已成为远近闻名的全国登山爱好者户外穿越基地；乘雪地摩托登龙江第一峰观看奇美雾凇、树挂、雪海、日落，感受风驰电掣的激情，体验一览众山小的豪迈。,全年 周一-周六 11:00-18:00;全年 周日 11:00-17:00,https://img1.qunarzz.com/travel/d2/1603/2c/005f39725bb17cf7.jpg_480x360x95_c510764a.jpg,4.5,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
二龙山影视城Erlong Mountain Film Base,http://travel.qunar.com/p-oi5942839-erlongshanyingshicheng,,,,,,,,,,1
大北岔,http://travel.qunar.com/p-oi7475634-dabeicha,,,,,,,,,,1
雪乡文化展览馆,http://travel.qunar.com/p-oi9158694-xuexiangwenhuazhanlan,,,,,,,,,,1
宁安市火山口国家森林公园Huoshankou National Forest Park,http://travel.qunar.com/p-oi702029-ninganshihuoshankouguo,,宁安市火山口国家森林公园占地面积八千多公顷，自然景观奇特，动植物种类繁多。园内有地下熔洞群、阔叶红松林、小北湖等景观。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/258a27bd506beadc7b7905c7618dc894.jpg_480x360x95_15c165e8.jpg,4.4,建议游览时间：12小时 - 3天,,,,1
大秃顶子山Da Tuding Mountain,http://travel.qunar.com/p-oi7406620-datudingzishan,"

地址:
牡丹江市大海林林业局双峰林场


电话:
400-000-0453

",大秃顶子山位于中国雪乡西部的林区，主峰海拔约1690米，是黑龙江省境内的一座高峰。大秃顶子山顶草木稀疏，拥有大片平地，是观赏日出的胜地。冬季的早晨天不亮时，在雪乡村口可乘坐景区的车辆进山，然后登山赏日出。大秃顶子山是牤牛河的发源地，山间高山植被和野生动物资源丰富，但到达山顶后，眼前树木消失了，天空豁然开朗。攀登大秃顶子山非常挑战体力耐力，不过冬季时来雪乡，可以乘坐景区车辆进山，然后转乘雪地摩托上山，过程惊险刺激，但省时省力。如果想要上大秃顶子山观日出，可提前一天向景区游客中心问清楚第二天的发车时间，并且一定要很早就起床去村口等车。在旅游旺季时，上山看日出的游客非常多，如果上山晚了，可能就会错过观日时间。,全年 5:30-17:00,https://img1.qunarzz.com/travel/d8/1509/30/e58965390e1c57.jpg_480x360x95_1f026735.jpg,4.6,建议游览时间：2小时 - 3小时,每年11月至次年3月，东北冬季气温较低，此时段适宜看雪景。,具体收费情况以现场公示为主,,1
