名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
外伶仃岛Wailingding Island,http://travel.qunar.com/p-oi710710-wailingdingdao,"

地址:
珠海市香洲区担杆镇外伶仃岛


电话:
0756-8855118,0756-8855317

",外伶仃岛地处珠江入海口，岛上游客比较少，景色也十分优美。在岛上，你可以爬伶仃峰，也可以在海滨泳场游泳，随意享用美味的海鲜和烧烤，度过一个悠闲假期。爬山岛中央主峰伶仃峰高约311.8米，看着其实不算高，但由于斜坡多，爬起来相当累人。攀登时先经过相思林，然后往上是观景台，观景台再往上不多远就是北帝晨钟和许愿井；过后还要爬很久到达万山棋局，然后到石景公园，公园已经很接近山顶了。沿途鸟瞰全岛，从上往下看海洋、岛镇，还可以看山上嶙峋怪石、飘渺云雾组成的美景。游泳游泳一般在海滨泳场，这边海水质一般，但是看看海玩玩水还是蛮开心的。另外过了伶仃湾拱桥有一条沿海山路叫做情侣路，能够从伶仃湾通到相思林度假山庄，那一条山路是看海的好地方。路外边是无数巨大的礁石，以及隐藏在礁石间的一些小海滩。（请务必小心礁石，并且有些海滩不开放的，看看即可）。吃海鲜来岛上另外个惊喜点，应该就是海鲜了。从进岛码头走向海滨泳场时，会经过一条海鲜街，岛上的居民用白色泡沫箱装了各种海鲜在卖。你可以在这边买了找店家加工即可，价格很实惠，另外这里还有烧烤一条街和酒吧街。如果过夜，夜宵也不用愁了。住宿住宿的话，有酒店和帐篷，酒店建议提前订好住宿，岛上有便宜的招待所类型的酒店也有别墅比如相思林度假山庄，可以根据自己心里价位选择。如果租帐篷的话，可以到当地付租金，然后贵重物品可以到旁边小卖部租一个储物柜来保存。,全天开放,https://img1.qunarzz.com/travel/d8/1710/22/3b410757c35a96b5.jpg_480x360x95_a66394e7.jpg,4.4,建议游览时间：3天 - 6天,岛上冬无寒，夏无酷暑，四季如春。在3-4月或者10-12月为最佳。,"{'外伶仃岛2日往返（珠海香洲港-外伶仃岛）票成人票\n\n': ['¥280起'], '外伶仃岛2日往返（珠海香洲港-外伶仃岛）票优待票\n\n': ['¥158起'], '外伶仃岛（深圳蛇口出发）船票成人票\n\n': ['¥150起']}",,1
桂山岛Guishan Island,http://travel.qunar.com/p-oi706171-guishandao,"

地址:
珠海市香洲区桂山岛桂海二路8号


电话:
0756-6995012

",珠海桂山岛位于珠海市东南方向的伶仃洋畔，岛屿面积约8平方公里，它地处中国四大群岛之一的万山群岛中，与北面的牛头岛成犄角之势，成为港澳航道中的屏障。桂山岛也是万山群岛中开发完善、居住人口较多的岛屿，除了海岸风情，游人更可以在这里深刻体验到岛屿居民特殊的生活方式。桂山岛有着独特的人文历史价值，南宋末年有名的爱国英雄文天祥的雕像就在岛上凭海而立，仿佛依旧在见证着神州苍茫大地的沉浮；而岛上巍然屹立的桂山舰烈士纪念碑则记录了上世纪50年代初，在这里发生的人民解放军海战事迹，供后人瞻仰凭吊。1986年，桂山岛被列为珠海市文物保护单位，现在已成为了重要的爱国主义教育基地。,全天开放,https://img1.qunarzz.com/travel/d4/1602/5f/a14e52c65700cef7.jpg_480x360x95_936097e3.jpg,4.3,建议游览时间：12小时 - 3天,,"{'桂山岛1天往返（珠海香洲港客运码头出发）船票成人票\n\n': ['¥238起'], '桂山岛2天往返（珠海香洲港客运码头出发）船票成人票\n\n': ['¥200起'], '桂山岛(深圳蛇口港邮轮中心出发)船票成人票\n\n': ['¥210起']}",,1
庙湾岛Miaowan Island,http://travel.qunar.com/p-oi5740405-miaowandao,"

地址:
珠海市香洲区担杆镇外伶仃洋岛南


电话:
0756-6995012

",庙湾岛位于珠海东南的群岛之中，外伶仃岛的南面。岛上风光非常原生态，你可以在此尽情享受海边玩耍的乐趣。岛上还拥有国内罕见的风蚀海貌，四周礁石星罗棋布，自然环境优美。玩乐项目庙湾岛是一个很小的海岛，就码头、一个小村子外加一个小沙滩，其他都是岩石小山，并没有什么景点，主要就是海边玩乐。天气好的时候，海水很清很蓝，非常适合潜水。在离岸边较近的礁石也可以很容易浮潜捉到螃蟹和海胆，但要注意踩到礁石很容易受伤，或者穿上洞洞鞋下水。沙滩边的岩石上有厕所和冲淡水的地方。除了在沙滩游乐，还可以包船环岛游、租鱼竿去码头钓鱼，或者在岛上逛逛拍照。岛上民风淳朴且比较原始，很多摄影爱好者喜欢拍摄朴实且原生态的画面。岛上住宿庙湾岛较为原生态，住宿条件很差。坐船到庙湾岛后，如果需要租房，务必先去找房，以免租完。民居只提供床位，不带空调、电视、电扇，没有热水洗澡，普通招待所标准。也些地方有空调房，很少，且内部条件也很一般。住帐篷的话去沙滩租就可以了，帐篷还是很多的。岛上餐饮人多的话，可以自备厨具去煮食或者烧烤，不过比较麻烦。建议去岛上的餐馆，岛上餐馆并不多而且都是小店，主要吃海鲜。,全天开放,https://tr-osdcp.qunarzz.com/tr-osd-vs-dapp-ugc/img/ea10e62028541f2d2cb2abcee59619c1.jpeg_480x360x95_1157c3e0.jpeg,4.6,建议游览时间：3天,,坐船另付费,,1
情侣路Lovers' Road,http://travel.qunar.com/p-oi722212-qinglu:lu,"

地址:
珠海市香洲区情侣路


电话:
18650425596,18650427213

",长达28公里的情侣路临海而建，是珠海的城市名片。珠海渔女像就位于情侣路中部，作为美丽与希望的化身，也是珠海市的标志。很多游人都会来此吹着海风漫步，享受悠闲惬意的时光。情侣路的路面全部由方正的砾岩铺成，道路途经海湾大酒店、九洲港、金怡酒店、海滨泳场、珠海渔女、香炉湾等多个风景旅游点。需要骑行全程的话，这里提供专用的两人或三人连体自行车租借服务，租借点在拱北附近或者名亭公园（野狸岛）门口，野狸岛里面也有。当然，大部分来这里的人们还是以步行为主。可能因为路名吧，来这里的情侣真的非常多，步行大部分的是走的中段，也就是有珠海渔女的这段，比较有名。白天经常有人在这里拍摄婚纱照，晚上有很多情侣和夫妻在路上迎着街灯散步，很是浪漫。而珠海的婚礼流程单中，情侣路也是婚嫁花车必经之地，象征着幸福，所以赶快带着自家爱人来走一走情侣路吧。,全天开放,https://img1.qunarzz.com/travel/d3/1703/b4/fefa32eff65cf8b5.jpg_480x360x95_def3a08e.jpg,4.6,建议游览时间：2小时,3、4、10、12月成为是珠海的最佳旅游季节，这段时间气候宜人。,"{'东澳岛蓝骑士水上运动中心牵引桨板体验大小同价\n\n': ['¥195.9起'], '东澳岛蓝骑士水上运动中心摩托艇体验大小同价\n\n': ['¥195起'], '情侣路豪华游艇包艇出航体验大小同价\n\n': ['¥1979起']}",,1
海滨公园Seaside Park,http://travel.qunar.com/p-oi708802-haibingongyuan,"

地址:
珠海市香洲区海滨南路108号


电话:
0756-3332562

",海滨公园位于海滨南路与香炉湾之间，它的北侧是石景山，南侧为香炉湾。珠海的标志“珠海渔女”雕塑就竖立在海滨公园的岩石上。公园内林荫夹道，环境幽静，山景、海景浑然一体。做为一个普通的市民公园，海滨公园对于游客而言仿佛没有特意过来的意义，但是由于它的附近就是珠海渔女、野狸岛、情侣路及石景山公园，所以很多游客过来玩的时候都会顺带逛一下这个免费的公园。公园的环境很好，草坪十分的宽阔，席地而坐时，眼光的视野可及对面的情侣路与海，还可以隐约看到珠海渔女像。你可以在草地上铺上一块野餐垫享受午后的时光。很多家长都带着小孩来玩，晚饭后也很多人来散步，春天的时候还公园内还会盛开很多花，喜欢摄影的人也可以来此取材。,全年 全天开放,https://img1.qunarzz.com/travel/d9/1707/3d/8a9ea76499b6f9b5.jpg_480x360x95_86296a91.jpg,4.5,建议游览时间：1小时 - 2小时,,"{'【获奖线路】上门接珠海港珠澳大桥1日游+豪华游船观大桥+日月贝+渔女+含午餐纯玩1日游、可选单订船票\n\n': ['¥100起'], '上门接送，2-6人私家小团1日游，豪华游轮海上观港珠澳大桥，珠海渔女、日月贝大剧院、含午餐私享旅行\n\n': ['¥498起'], '广州出发上门接-珠海1日游，豪华游船桥底2次穿越港珠澳大桥、打卡日月贝大剧院、情侣路珠海渔女+含午餐\n\n': ['¥298起']}",,1
横琴岛Hengqin Island,http://travel.qunar.com/p-oi10023423-hengqindao,"

地址:
珠海市香洲区长隆大道

",横琴岛位于珠海市区的南侧，有大桥和市区相连，紧邻澳门。这里是一处开发区，有自贸区、长隆海洋王国、度假村、小山、港口等，算是一处有点景观的新城区，适合娱乐、购物，另外，这里也是珠海著名的吃蚝胜地。,全天开放,https://img1.qunarzz.com/piao/fusion/1508/26/c597e8f55a4f6e.jpg_480x360x95_fa5a846d.jpg,4.5,建议游览时间：3天 - 6天,,,,1
东澳岛Dong'ao Island,http://travel.qunar.com/p-oi701642-dongaodao,"

地址:
珠海市香洲区


电话:
18650425596,18650427213

",东澳岛位于珠海万山群岛中部，植被丰富，沙滩众多，充满了自然古朴的热带海岛风情。你还可以爬上斧担山蜜月阁登高望远，游览建于清朝乾隆年间的古堡铳城，或是在岛上品尝新鲜地道的海鲜。南沙湾在东澳岛，吸引人的要数沙滩，东澳岛有南沙湾、大竹湾、小竹湾三个沙滩，尤以南沙湾有名。南沙湾位于南沙湾码头，如果是在东澳湾码头下船需要乘坐10元的小火车前往。它的沙滩温暖细腻，还不时有躲藏在沙底的螃蟹吐出气泡，你可以在沙滩上捡贝壳，捉螃蟹，拍照，换上泳衣，到水里玩水。或者就在沙滩边呆着，享受清爽的海风，闲庭信步一番。在海边看着广阔的大海，总让人觉得心情平静。斧担山除了海岛本身的魅力，东澳岛还可以爬山，沙滩西北部的有个叫做斧担山的山峰。山的主景为蜜月阁，蜜月阁需要经历1008级台阶可至，墙壁上刻满了历代文人的诗词。登高望远，澳门的凼仔大桥依稀可见，如果你是在岛上入住一晚，还可以在第二天赶一个大早爬上蜜月阁看日出。历史遗迹岛上还有历史遗迹可看，在东澳岛的东部，可以发现建于清朝乾隆年间、为抵御外族入侵而修建的古堡铳城——东澳岛铳城，以及于层层山林中隐匿着“万海平波”字样的石刻，颇值得玩味。岛上住宿东澳岛上设施比较完善，酒店有坐落在求子泉景区的仙泉山庄（位于东澳湾和南沙湾码头之间，在岛的中间，比较安静，适合晚上不出街的游客，也方便观日出）和求子泉山庄、东澳岛度假村别墅酒店（位于南沙湾码头，整个海岛沙滩的一家海景酒店，离沙滩仅200米）、东澳湾绿色家园（位于东澳湾码头，比较正规的小酒店）、游艇俱乐部，价格一般在200-400元/天，此价格一般是打包售卖，包含往返船票，可以网上自行找代理。沙滩上可以租帐篷，一个100元，包过夜。岛上用餐岛上一般就是吃海鲜，鱼大部分都来自于岛民的收获。餐厅比如有东发海鲜酒家、超记海鲜餐厅、永盛海鲜酒家，价格都还算适中。,全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/e921ab957ec54cec89fbe4efdc03290a.jpg_480x360x95_ade922f7.jpg,4.3,建议游览时间：3天 - 6天,,"{'香港故宫文化博物馆特别展览门票(展厅1-9)成人票\n\n': ['¥108.6起'], '香港故宫文化博物馆特别展览门票(展厅1-9)优待票\n\n': ['¥55起'], '东澳岛往返(九洲港游艇码头-东澳岛包艇)船票大小同价\n\n': ['¥9800起']}",1.穿便装和舒适的平底鞋，特别是女士要预备防晒油和遮阳物品，不要穿高跟鞋。2.晕船者在上船前不要吃得太饱，作好防晕准备。3.岛上多喝水，吃海鲜尽量不要生吃，并注意适量，不饮用大量啤酒。4.到海里畅游最好穿上救生衣；沙滩沿途设有免费的更衣室及淋浴设施。5.到岛上后，要尊重当地风俗。6.请保护岛上环境的清洁，不要任意丢弃垃圾。7.周末或黄金周前，请提前预定酒店。8.不要错过到岛上偏僻的角落探索一番，那里有很多珍奇等您去发现，但行前要做好准备，去时要小心。9.岛上有武警边防驻守，在岛上游玩，如误入了武警驻守区，是要被赶出来的，请多多注意路边的提示牌。10.由于岛上路灯设施不太完善，如游客想入夜散步，请提前带好手电筒，方便出行。11.安全起见，请游客切勿在没有救生员之海域游泳；在南沙湾泳场，请尽量在安全网内游泳，切勿远游。12.在登船检票时，武警边防需要查验证件，请带好身份证出行,1
港珠澳大桥Hong Kong-Zhuhai-Macao Bridge,http://travel.qunar.com/p-oi9600019-gangzhuaodaqiao,"

地址:
珠海市香洲区唐淇路


电话:
0756-2191999


官网:
http://www.hzmb.org/

",港珠澳大桥是一座连接香港、珠海和澳门的巨大桥梁，也是“一国两制”框架下粤港澳三地合作共建的超大型跨海通道，在促进香港、澳门和珠江三角洲西岸地区经济上的进一步发展具重要的战略意义。港珠澳大桥主体建造工程于2009年12月15日开工建设，投资超1000多亿元，并于2018年10月23日正式开通，全长55公里。作为中国建设史上里程长、投资多、施工难度大的跨海桥梁项目，港珠澳大桥受到海内外广泛关注。港珠澳大桥连接起世界活力经济区，对三地经济社会一体化意义深远。大桥主体工程由粤、港、澳三方共同组建的港珠澳大桥管理局负责建设、运营、管理和维护。主体工程实行桥、岛、隧组合，总长约29.6公里，穿越伶仃航道和铜鼓西航道段约6.7公里为隧道，东、西两端各设置一个海中人工岛（蓝海豚岛和白海豚岛），犹如“伶仃双贝”熠熠生辉；其余路段约22.9公里为桥梁，分别设有寓意三地同心的“中国结”青州桥、人与自然和谐相处的“海豚塔”江海桥，以及扬帆起航的“风帆塔”九洲桥三座通航斜拉桥。港珠澳大桥可通行车辆包括：跨境巴士、穿梭巴士、跨境出租车、货运车辆、跨境私家车等。对于游客来说，搭乘班次频繁的穿梭巴士（分为港珠线、港澳线）十分方便。,全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/1e0e9710f963b2b3159ca95c510dc301.jpg_480x360x95_0d5e2f49.jpg,4.5,建议游览时间：0.2小时 - 0.3小时,,"{'澳门环岛游(湾仔码头)游船票成人票\n\n': ['¥128起'], '珠海珠澳海湾游(湾仔码头)游船票儿童票\n\n': ['¥89起'], '珠海珠澳海湾游(湾仔码头)游船票老人票\n\n': ['¥126.4起']}",,1
圆明新园New Yuanming Palace,http://travel.qunar.com/p-oi706555-yuanmingxinyuan,"

地址:
珠海市九洲大道石林山下


电话:
0756-8610388

",圆明新园以北京圆明园焚烧前的建筑为原稿，选择圆明园40景中的18个景点，按1:1的比例建造。虽然都是仿制的景象，但仍可感受其皇家园林的恢弘气势。另外还设有《梦回圆明园》等剧场演出，结合爆炸、跑马等元素，值得一看。圆明新园共分为皇家建筑群、江南园林建筑群、西洋建筑群三大景区。皇家建筑群第一大景区是位于中轴线的皇家建筑群，包括正大光明、九洲清晏等景点。正大光明由大宫门、正大光明殿以及东西配殿组成。东西配殿为圆明沧桑史料馆，在这里大家可以通过展出的图片、文字以及实物资料了解圆明新园的建设情况。正大光明殿是古时候皇帝处理朝政的地方，布局仿北京故宫太和殿而摆设，金色的宝座和屏风，显示了威严的皇家气派。九洲清晏由三进殿组成，第一进殿为圆明园愉，陈设了清朝八旗兵制及装备；第二进殿是奉三无私殿，这里展示了慈禧第一次垂帘听政的场景及帝后寝宫的陈设；后面是九洲清晏殿，在这里你可以看到皇太子读书的御书房和皇帝用膳时的情景。江南园林建筑群走出重重殿宇后，呈现在眼前的是全园的中心——福海湖，湖中心的岛叫蓬岛瑶台。环湖的江南园林建筑群就是圆明新园的第二景区。它包括平湖秋月，石舫、濂溪乐处、上下天光、曲院风荷、万方安和等，当年乾隆皇帝六下江南，喜爱湖光山色，便命人仿置园中西洋建筑群第三景区是西洋建筑群，西洋楼由海晏堂、远瀛观、大水法等建筑组成，建筑形式仿欧洲文艺复兴时间的巴洛克风格，但也结合了一些中式风格，楼顶装饰采用的是中国传统的琉璃瓦。海晏堂殿前的水池，是西洋楼的看点之一，水池左右排列有十二只兽面人身像，也正是十二生活属相，它们昼夜依次轮流喷水一个时辰，约二个小时，正午时刻，十二生肖一齐喷水，起计时作用。之所以在、建筑中出现十二生肖，是因为在西洋传教士设计时，喷水塑像本为裸体女郎，乾隆认为裸体像极为不雅，便以十二生肖取而代之。在海晏堂的二楼，现设有艺术画廊展示。,全年 09:00-17:30,https://img1.qunarzz.com/travel/d1/1602/c6/f70c20d1d6fbf4f7.jpg_480x360x95_2c911e68.jpg,4.2,建议游览时间：2小时 - 3小时,,"{'珠海圆明新园《皇家盛典》演出票成人票\n\n': ['¥58起'], '圆明新园御花园国潮樱花节门票大小同价\n\n': ['¥39.9起'], '珠海圆明新园《皇家盛典》演出票+《乾隆号》游船票大小同价\n\n': ['¥99起']}",,1
淇澳岛Qi Ao Island,http://travel.qunar.com/p-oi709805-qiaodao,"

地址:
珠海市香洲区淇澳村东


电话:
0756-2222630

",珠海东海岸的淇澳岛通过淇澳大桥与陆地相连，是通往伶仃洋、跨海大桥的必经之道。淇澳岛历史悠久，拥有苏兆征故居、沙湾古遗址、白石街等古迹遗址，以及红树林湿地保护区、淇澳湾等自然风景区。观光方式整个岛面积不算小，如果步行环岛一圈的话，大约需要6小时。但是岛上景点比较分散，距离相隔还是挺远的，所以如果想要去所有景点，徒步几乎不可能，强烈建议租借自行车游岛。岛上租借自行车的费用大约为10元一天。白石街白石街据说是1833年当地居民反抗英军入侵取得胜利后，用英军赔偿的白银所建。红树林湿地保护区红树林湿地保护区位于岛的北部，是整个岛上重要的景点。里面可以看到很多的娃娃鱼和大脚螃蟹，并且每年冬季有超过10万只候鸟来此过冬。另外，淇澳岛的绿道不错，是个值得去骑车的地方，尤其是湿地里的木栈道，上有绿荫下有湿地，凉风阵阵，非常适合骑车观景。,全年 全天开放,https://img1.qunarzz.com/travel/d7/1611/22/77dde08f329779b5.jpg_480x360x95_479d694a.jpg,4.2,建议游览时间：3天,,免费,,1
