名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
博鳌滨海小镇Boao Coastal Town,http://travel.qunar.com/p-oi18713222-boaobinhaixiaozhen,"

地址:
琼海市博鳌潭门镇滨海小镇(滨海大道西)


电话:
0898-62638888

",博鳌滨海小镇位于海南省琼海博鳌，东面为市政干道及大海，西面为有竹史罗溪流经，北面有一渔人码头。在该地块旁的的市政道路上还有一座大桥。高层住宅围湖而建，向外可观河景海景，向内可观湖景园景。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/c0bb08750e42fddd5181968502e792ec.jpg_480x360x95_520b3e7a.jpg,4.5,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,1
玉带滩Yudai Beach,http://travel.qunar.com/p-oi703503-yudaitan,"

地址:
琼海市博鳌镇万泉河入海口


电话:
0898-62691595,0898-62778770

",玉带滩是琼海市博鳌镇一处沙滩半岛，这里有着河、海交汇处的独特景观。站在狭长的玉带滩上，一侧是波涛汹涌的南海，一侧是风平浪静的三江交汇处（万泉河、龙滚河和九龙江），景色非常奇特。去往玉带滩必须坐游船过去，乘船的码头就在博鳌亚洲论坛永久会址的边上，一般可以购买博鳌亚洲论坛永久会址的景点套票，然后连着玉带滩一起游玩。南海的浪有点大，所以下水游泳会比较危险，一般游客来此也就是在沙滩上玩耍会，欣赏这三江入海的绝美景色。,全年 8:00-16:00,https://img1.qunarzz.com/travel/d2/1508/32/c0ea7511a8188a.jpg_480x360x95_f04ff1df.jpg,4.3,建议游览时间：1小时,,"{'海南琼海博鳌跳伞12500英尺高空跳伞\n\n': ['¥1000起'], '琼海博鳌金湾海上项目体验【帆船/桨板/冲浪】\n\n': ['¥200起']}",,1
博鳌亚洲论坛成立会址Venue of the Boao Forum for Asia,http://travel.qunar.com/p-oi702810-boaoyazhouluntancheng,"

地址:
琼海市博鳌镇金海岸大道1号


电话:
0898-62774178


官网:
http://www.boaosc.com/

",博鳌水城的标志性建筑物是博鳌亚洲论坛成立会址，其建筑是一个面积达3000平方米的膜结构，远看如巨大的锥型帐篷，通体乳白挺拔。成立会址位于博鳌中心位置，东临南海，空气清新，交通便利。虽然博鳌亚洲论坛永久会址已迁到了东屿岛，但这里作为博鳌亚洲论坛成立会址膜结构主会场，依然吸引着成千上万的游客和许多国内大型的商务会议活动在此举行。博鳌亚洲论坛成立会址膜结构的膜材料从法国进口，为赶时间直接空运到海南。它在设计上巧妙地利用地形，在万泉河边上由钢柱支撑而成，形成一种开放性的风帆式建筑，意为亚洲经济扬帆启航走向世界，这既与国际建筑理念接轨，又具有浓郁的热带风格。正常工期为3至4个月的工程，建设者只用了三分之一多的时间就完成，造就了令人叹服的“博鳌速度”。这项工程被评为海南省优质“样板工程”。,8:00-18:00,https://img1.qunarzz.com/travel/poi/201211/15/4bd11eff6b94de78ddb12cfb.jpg_480x360x95_b0b560ba.jpg,4.2,建议游览时间：2小时 - 3小时,全年,"{'博鳌亚洲论坛成立会址门票成人票\n\n': ['¥23起'], '博鳌亚洲论坛成立会址门票+玉带滩+往返船票成人票\n\n': ['¥52起'], '博鳌亚洲论坛成立会址门票+玉带滩+往返船票儿童票\n\n': ['¥55起']}",,1
万泉河Wanquan River,http://travel.qunar.com/p-oi709655-wanquanhe,"

地址:
琼海市境内，南支乐会水为干流，发源于五指山林背村南岭。北支定安水，源出黎母岭南。两水在琼海市合口嘴会合始称万泉河，经嘉积至博鰲入南海。

","万泉河是琼海市的母亲河，这里河水清澈，宛如玉带, 自五指山漂流而下，至琼海市的博鳌入海口投入大海的怀抱。沿途风光多样，上游两岸峰峦起伏，河谷狭窄，水流湍急；下游河面开阔，两岸都是椰林和蕉园，河心还有一座沙洲岛。游玩万泉河，可以选择前往万泉河广场或万泉河公园，沿河都是步道，可以漫步，也可以骑行游览，其中还设有竹筏漂流点。也可以选择前往博鳌亚洲论坛永久会址时，在跨河的培兰大桥上欣赏，或是在玉带滩，欣赏它汇入大海时的独特景色。",全年 全天开放,https://img1.qunarzz.com/travel/d6/1607/b2/7212540d12a5159a.jpg_480x360x95_58f8a05b.jpg,4.5,建议游览时间：1小时 - 2小时,,"{'万泉河峡谷景区漂流票成人票\n\n': ['¥128起'], '万泉河峡谷景区漂流票儿童票\n\n': ['¥70起'], '万泉河峡谷景区探险票成人票\n\n': ['¥178起']}",,1
万泉河峡谷景区Wanquan River Valley Scenic Area,http://travel.qunar.com/p-oi707252-wanquanhexiagujingqu,"

地址:
琼海市会山苗族自治镇烟园水电站


电话:
0898-62818496


官网:
http://www.hnwqh.com

",万泉河峡谷景区位于琼海至烟园水电站至会山乡这河段，长约15公里，以漂流为主。河面狭窄处约8米，宽处约100米，水深1—10米。河段是一道莽莽苍苍的大峡谷。全程有9个险滩、12个自然景点，既有惊时穿激流越险滩的激情澎湃，又有缓时两岸风光尽收眼底的诗情画意。,3/1-12/31 10:00-17:00,https://img1.qunarzz.com/travel/poi/201211/15/ccebf475e8416152ddb12cfb.jpg_480x360x95_f03f84e5.jpg,4.2,建议游览时间：1.5小时 - 4小时,七到十月初,"{'万泉河峡谷景区漂流票成人票\n\n': ['¥128起'], '万泉河峡谷景区漂流票儿童票\n\n': ['¥70起'], '万泉河峡谷景区探险票成人票\n\n': ['¥178起']}",,1
白石岭Baishi Ridge,http://travel.qunar.com/p-oi703445-baishiling,"

地址:
琼海市嘉积镇白石岭风景区


电话:
0898-62802186

",白石岭拥有众多奇峰怪石，最高峰登高岭海拔328米，山虽然不算高，但景色十分秀丽，登顶更是可以将琼海全貌尽收眼底。游玩白石岭可以沿着石阶一步步向上，也可以直接乘坐索道上山。沿途风光多样，怪石嶙峋，山水相映，山脚的玉泉河如玉带一般蜿蜒而过，给人移步换景的感觉。登至山顶往下望去，高尔夫球场、大片椰林、槟榔树交相辉映，远处还散落着些许村庄，一片静谧而辽阔的美景。,8:30-17:30,https://img1.qunarzz.com/travel/d2/1411/47/47149cf6c3f11b76213a9cdb.jpg_480x360x95_0ef71f55.jpg,4.6,建议游览时间：2小时 - 4小时,,"{'白石岭门票成人票\n\n': ['¥30起'], '白石岭风景区门票儿童票\n\n': ['¥18起'], '白石岭风景区门票老人票\n\n': ['¥18起']}",,1
蔡家宅Family Cao Residence,http://travel.qunar.com/p-oi7587669-caijiazhai,"

地址:
琼海市博鳌镇莫村村委会留客村

",蔡家宅在海南省琼海市博鰲镇留客村，是当年印尼侨领蔡家森兴建，占地400多平方米，建筑面积为1200多平方米，有大大小小的房间五十多间，建筑物布局就像进入迷宫一样，从外形来看更像一座古城堡。在20世纪二三十年代的民宅建筑，到现在依然保存完好，有“侨乡第一宅”之誉。,全天,https://img1.qunarzz.com/travel/d7/1505/b0/a4d98ec2775ca4.jpg_480x360x95_b6819d30.jpg,3.2,建议游览时间：1小时 - 2小时,,免费,,1
博鳌禅寺Bo'ao Buddhist Temple,http://travel.qunar.com/p-oi718003-boaoshansi,"

地址:
海南琼海博鳌水城


电话:
0898-62775772

",博鳌禅寺地处海南琼海博鳌水城，与博鳌亚洲论坛永久会址隔水相望。建筑面积达6万平方米，总投资1.3亿人民币。,全年 8:30-18:00,https://img1.qunarzz.com/travel/d2/1711/66/108003d805fd0db5.jpg_480x360x95_368e68c2.jpg,4.3,建议游览时间：1小时 - 2小时,全年,具体收费情况以现场公示为主,,1
博鳌东方文化苑Bo'ao Oriental Culture Courtyard,http://travel.qunar.com/p-oi704579-boaodongfangwenhuayuan,"

地址:
琼海市博鳌镇金海岸大道1号


电话:
0898-62775772

",博鳌东方文化苑坐落在万泉河畔，是博鳌的人文标志，也是认识海南人文地理较好的景区，文化苑由博鳌禅寺和东方文化主题公园两部分组成。博鳌禅寺按正统禅宗寺院规制建设，以南北为中轴线，依次为通慧门、普济殿、大雄宝殿、万佛塔，东西两旁设置有钟鼓楼、东西配殿、方丈楼、上客堂、僧侣宿舍等。其中普济殿供奉有十二尊具有特色的“观音像”； “万佛塔”海拔高77米，塔高55米，是博鳌地区较高的建筑，塔内供奉有高16.8米的青铜千手千眼观音菩萨像，为亚洲罕见。博鳌禅寺后院附属有东方文化主题公园与莲花馆。东方文化主题公园是一个综合性的、突出以佛教文化为核心内涵的大型旅游景区。莲花馆是一座按博物馆规格建设的莲花主题科技、文化馆，通过数字化手段多方面展示莲花的历史、文化、科技、经济价值等综合知识。,全年 8:00-18:00,https://img1.qunarzz.com/travel/poi/1409/03/e5156c513a635d97ffffffffc8d65eac.jpg_480x360x95_a6bf19c4.jpg,4.3,建议游览时间：3小时 - 4小时,,"{'琼海博鳌金湾海上项目体验【帆船/桨板/冲浪】\n\n': ['¥200起'], '【酒店套餐】琼海官塘庚华建国温泉酒店+双份早+双份温泉+白石岭双人单票+户外儿童嬉水池+室内儿童乐园\n\n': ['¥658起']}",,1
聚奎塔,http://travel.qunar.com/p-oi716468-jukuita,"

地址:
琼海市塔洋镇


电话:
0599-8832075 8831588

",聚奎塔高近30米，一共七层，每升高一层，高与宽都相应缩减。塔身中空，底有塔座，四周有墙，正门朝北，楣上端有石匾，上书“聚奎塔”。塔体仿唐代建筑，造型古朴别致。外表每层由八个墙面构成，属楼阁式砖檐塔，七面各筑一个假门，只有一面筑真门。真门朝南开，从真门入内，循一条阴匝匝的夹墙小梯道，便可登上第二层。依此拾级登高，直到塔顶。各层相接处筑有砖檐，美观坚固。塔顶横放一木，攀椽上去便可站在圆形塔巅之上。放眼远眺四周，绿树、翠禾、碧荷、红莲尽收眼底，大有心胸开...聚奎塔高近30米，一共七层，每升高一层，高与宽都相应缩减。塔身中空，底有塔座，四周有墙，正门朝北，楣上端有石匾，上书“聚奎塔”。塔体仿唐代建筑，造型古朴别致。外表每层由八个墙面构成，属楼阁式砖檐塔，七面各筑一个假门，只有一面筑真门。真门朝南开，从真门入内，循一条阴匝匝的夹墙小梯道，便可登上第二层。依此拾级登高，直到塔顶。各层相接处筑有砖檐，美观坚固。塔顶横放一木，攀椽上去便可站在圆形塔巅之上。放眼远眺四周，绿树、翠禾、碧荷、红莲尽收眼底，大有心胸开阔，陶陶自娱之神感。聚奎塔，不仅为研究海南古代建筑文明发展史和建筑艺术提供直接依据，而且具有较大的旅游、观赏价值。,7：30—17：30,https://img1.qunarzz.com/travel/d3/1603/38/03b971096e5a09f7.jpg_480x360x95_574bf60d.jpg,4.5,,,20元,,1
