名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
稻城亚丁Daocheng Yading,http://travel.qunar.com/p-oi5942411-daochengyading,"

地址:
四川省甘孜藏族自治州稻城县香格里拉镇


电话:
0836-6966022,0836-5725215


官网:
http://www.yadingtour.com/

",稻城亚丁，即亚丁自然保护区，也称亚丁景区，位于甘孜州稻城县南部，主要由“仙乃日、央迈勇、夏诺多吉”三座神山和周围的河流、湖泊和高山草甸组成，是中国保存较为完整的一处自然生态系统。因其独特的地貌和原生态的自然风光，有人称其为蓝色星球上的仅存的一片净土。景区内不仅有壮丽神圣的雪山，还有辽阔的草甸、五彩斑斓的森林和碧蓝通透的海子，雪域高原美丽的一切几乎都汇聚于此，这一切的一切都让人流连忘返。如当地虔诚的藏民一样，徒步转山是感受亚丁风光的好方式。不过由于亚丁保护区海拔较高，全程徒步还是需要相当的体力。,4/1-11/14 07:00-19:00;11/15-3/31 08:20-18:00,https://img1.qunarzz.com/travel/d4/1611/77/66de066cce14afb5.jpg_480x360x95_f1c07d9f.jpg,4.5,建议游览时间：3天 - 6天,春季（4月-6月）：稻城亚丁的春天来的有些晚，在内地慢慢步入盛夏的时候，亚丁的春天才刚刚开始，盛开的野花，山林的新绿，万物生长，春季来临。夏季（7月-8月）：这个季节是亚丁最具活力的季节，不仅万物在这片宽阔的地域上活跃生长，一年中最多的游客也纷至沓来。这个季节也是亚丁最温柔的季节，云雾环绕中的神圣雪山，也会在森林掩映下仿若田园画卷。秋季（9月-11月）：彩林登场，浓墨重彩，绚丽缤纷，尽管寒意越来越深，但亚丁最美的时光在生命渐渐枯萎中到来。冬季（12月-次年3月）：在萧索的冬季，来到亚丁旅游或许只有两个因素：便宜的机票和游客稀少带来的价格低谷。对于没有见过雪的南方人来说，冰天雪地的亚丁也能带给他们颇感意外的惊喜。值得注意的是若降雪过大，亚丁景区有短暂关闭的可能。毫无疑问，秋天（如果能避开十一黄金周最好）是来亚丁最好的时候，金黄彩林，纯净蓝天，孤傲雪峰和颜色迷幻的海子，亚丁汇集了世界上最鲜艳的色彩。月份：9月名称：亚丁节日期：9月10日地点：亚丁村概述：9月10日是亚丁节，亚丁的当地人纷纷到野外设帐，载歌载舞，节日也是一个小型的商贸交易会，当地政府也会组织如骑马、摔跤等当地民间体育活动。,"{'稻城亚丁门票+观光大巴车票成人票\n\n': ['¥266起'], '稻城亚丁手机智能导游服务大小同价\n\n': ['¥0.9起'], '《亚丁密码》冒险秀(蓝区VIP区)演出票+稻城亚丁（含观光车）门票成人票\n\n': ['¥578起']}",1、海拔3000米以上，可能会产生高原反应。游客若是在高海拔地区旅行，不要走路太快。如果有气喘、头像针扎一样疼、浑身冒虚汗、心跳很快等高反现象，在避风的地方坐下来，吃点东西高热量的东西，深呼吸基本可以恢复。一旦发生严重高原反应，最稳妥的方法是返回到低海拔地区。2、亚丁昼夜温差大，要注意保暖、注意防风、注意保持体力、避免饥饿。3、亚丁的雨季主要集中在7、8月份，一到雨季路况非常糟糕，会出现短时间内路段或者改道的现象，请稍加谅解。4、为了尊重当地的民族习惯，当地的政府已经明文规定，未经允许不得观看天葬，更不允许私自摄影和拍照。5、若不想被高原热情的阳光晒黑，宜选择SPF30、PA+++产品的防晒产品，但请相信任何防晒产品只能延缓你的防晒进程。6、2018年10月29日起，稻城亚丁景区禁止一切单位、组织或个人在未经书面许可的情况下，利用无人机、航空模型等“低慢小”飞行器在活动区域内开展任何形式的飞行活动。擅自放飞或未经批准从事飞行活动的，将依照根据有关法律法规规定进行相应处罚；情节严重构成犯罪的，将移送相关部门依法追究刑事责任。综合类：去哪儿旅行、携程旅行、艺龙旅行、淘宝旅行机票：航班非常准、航班管家、旅航纵横及各航空公司APP餐饮：大众点评、食神摇摇团购：糯米团购、美团汽车：长途汽车票-四川汽车票务网2天亚丁景区停留两天最佳，这样可以看到日出，也能欣赏到日落，还可以走一段较短距离的徒步线路。服饰类：换洗衣裤、薄外套（夏季）、棉服或羽绒服（冬季）、手套和帽子（冬季）；药品类：感冒类药物、创伤类药物、腹泻类药物以及预防高反、晕车类药物；食品类：高热量食物（如巧克力）、方便食物（如饼干）、饮用水；护肤类：防晒霜、保湿霜、遮阳帽、墨镜等；其它：身份证件、现金、银行卡（以农业银行最好）、优惠证件等。,1
色达喇荣五明佛学院Larung Gar Buddhist Academy,http://travel.qunar.com/p-oi5419824-sedalarongwumingfoxue,,,,,,,,,,1
牛奶海Milk sea,http://travel.qunar.com/p-oi5942432-niunaihai,"

地址:
甘孜藏族自治州稻城县亚丁景区内央迈勇神山山坳处


电话:
0836-6966022

",牛奶海，又叫洛绒措，位于央迈勇神山脚下的山坳里，是一个面积不大状如水滴的古冰川湖。四周雪山环绕，湖水清莹碧蓝，湖畔则是一圈乳白色环绕，故称牛奶海。牛奶海是亚丁地区的圣湖之一，位于央迈勇神山下，海拔4600米。牛奶海湖水深浅不一，近岸由于湖底远久植物的沉淀而略显黑色，往里面一些则是浅绿色的一带，再深处则是碧绿色的水面，蓝得透亮。阳光照耀在静静的湖面上，水面如宝石般熠熠闪光。从洛绒牛场到牛奶海约4.5公里，之间没有景区电瓶车，只能徒步或者在洛绒牛场马帮处租马。骑马往返约2-3小时，费用约300元。徒步稍慢，约需3-4小时。由于海拔较高，请根据个人身体状况，自行斟酌。,具体开放时间请咨询景区,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/a0e989b88cd5bd2294e722350b93d84f.jpg_480x360x95_d2616597.jpg,4.6,建议游览时间：2小时 - 3小时,春、夏、秋三季为最佳时间。,"{'【2人起天天发团 】丽江出发香格里拉稻城亚丁泸沽湖梅里雪山五日游小包团2人起发\n\n': ['¥2880起'], '稻城亚丁5日游【二进景区•赠氧气旅拍丨头等舱•可选8人团丨可选四姑娘山•鱼子西•墨石公园318国道】\n\n': ['¥560起'], '稻城亚丁纯玩5日游！保姆车团|二进景区|三环接早|可搭配鱼子西+木格措+木雅圣地！赠氧气\n\n': ['¥558起']}",1.游客从洛绒牛场可租马前往牛奶海，大概需要3小时。2.从洛绒牛场通往牛奶海的路较为崎岖，且中途部分路段需游客下马徒步，对游客体力具有较高的要求。3.牛奶海海拔约为 4500 米，气温较低，且山风较大，游客需做好保暖准备工作。,1
墨石公园景区MOSHI PARK SCENIC AREA,http://travel.qunar.com/p-oi722696-moshigongyuanjingqu,"

地址:
甘孜州道孚八美镇中古村与卡玛村交界（离八美镇6公里处）


电话:
0836-7155958

",墨石公园景区位于道孚县以南的八美镇，自然地理上属横断山系大雪山脉北端。人们通常将该景区称为八美石林，用专业的定义则有不同的称法，强调其构造作用，称之为“构造石林”。天下石林如云，但大多数是岩溶石林和砂岩石林，像墨石公园景区这样特殊地质地貌形成的石林非常罕见。远观景区，从色调上便一眼分辨，石林是灰色调的，它的周围，山体、树林、草地、流水是多彩的。这些多变的色彩像是舞台变幻的布景，也让石林在不同季节呈现出不一样的美。夏天青山黛翠，碧草野花如茵，石林像是搁在五彩地毯上的宝石；而到了秋天，满山的金黄衰草，火红槭木，石林又像是在浴火中重生。,全年 09:00-17:00,https://img1.qunarzz.com/travel/poi/1409/26/ba1def2080f35440ffffffffc8d65eac.jpg_480x360x95_dab97355.jpg,4.3,建议游览时间：3小时 - 4小时,5-7月野花遍地，那时候来最美。,"{'墨石公园电子导览服务大小同价\n\n': ['¥6起'], '多套餐 鱼子西+墨石+木格措/鱼子西或者八郎+墨石+木雅圣地\n\n': ['¥229起'], '【日落星空】墨石公园+鱼子西+木雅/木格措|鱼子西+木雅+木格措纯玩2日游！多套餐可选\n\n': ['¥256起']}",,1
香格里拉镇,http://travel.qunar.com/p-oi8441657-xianggelilazhen,,香格里拉镇位于四川省甘孜藏族自治州稻城县城南部。香格里拉镇是“中国香格里拉生态旅游区”的核心，“香格里拉之魂”，是拥有完美自然精致，浓郁康巴风情、优越生态环境与完美旅游服务设施的国际精品旅游小城镇，是稻城旅游的支撑点和稻城南部地区的中心镇。香格里拉镇位于稻城县南部，大部分地区海拔为2700-3500米左右。乡域内山脉纵横延绵，除仙乃日、央迈勇、夏诺多吉三座雪山以外，乡域内主要山峰有额翁山、瓦冲山等。全镇人口以藏族为主。,,https://img1.qunarzz.com/travel/poi/1506/f2/8965cfb8514f3b.jpg_480x360x95_303f2d87.jpg,4.0,建议游览时间：4小时,海拔较高，每年5月—10月最宜出行,,,1
泸定桥Luding Bridge,http://travel.qunar.com/p-oi710343-ludingqiao,"

地址:
甘孜藏族自治州泸定县泸桥镇泸定桥广场西100米


电话:
,0836-3128266


官网:
http://ldq.scnyw.com/

",泸定桥位于四川省泸定县，为横跨大渡河的铁索悬桥，是四川内地通往康巴藏区的重要通道。小学语文课本里耳熟能详的飞夺泸定桥的故事，而如今你可以亲自感受它的惊险。泸定桥桥面是用铁索和木板搭建的，游客可以站在桥上，感受湍急的河水从脚下奔涌，回忆当年的革命先烈在这里冲锋。走完泸定桥后还可以去桥头的陈列馆，参观当年“飞夺泸定桥”战斗场景，接受爱国主义教育。泸定桥始建于清康熙四十四年，康熙曾御书“泸定桥”三字匾额挂于桥头，至今桥东仍然立有康熙《御制泸定桥》碑。1935年5月，红军长征至此，以22位勇士为先导的突击队，冒枪林弹雨，缘铁索匍匐前进，一举消灭桥守敌，红军遂过大渡河。,全年 07:00-20:00;全年 08:00-19:30,https://img1.qunarzz.com/travel/d6/1612/eb/e13a7b48bc03d3b5.jpg_480x360x95_ff2405b0.jpg,4.5,建议游览时间：1小时, 最佳旅游时间为4、5月 9、10月,"{'泸定桥门票成人票\n\n': ['¥10起'], '稻城亚丁纯玩5日游丨二进亚丁丨可升级头等舱丨赠氧气+3环内接丨特色鳕鱼火锅+养生牦牛汤锅+藏鸡宴\n\n': ['¥568起'], '稻城亚丁纯玩5日游！保姆车团|二进景区|三环接早|可搭配鱼子西+木格措+木雅圣地！赠氧气\n\n': ['¥558起']}",,1
折多山Zheduo Mountain,http://travel.qunar.com/p-oi3755298-zheduoshan,"

地址:
甘孜藏族自治州康定市二台子中桥北方侧


电话:
028-85316020

",折多山位于四川省甘孜州境内，海拔约4962米，是重要的地理分界线，西面为高原隆起地带，有雅砻江，右为高山峡谷地带，有大渡河。折多山以东是山区，以西则是青藏高原的东部，真正的藏区。“折多”在藏语中是弯曲的意思，写成汉语又是“折多”二字。自从二郎山隧道的贯通，折多山便成了川藏线上一座非常具有挑战性的高山。在山峰垭口处，耸立着一座白塔，白塔四周经幡飞舞，远处还能眺望到“蜀山之颠”——海拔7000余米的贡噶山。到了秋季，这里就已经开始飘雪了，届时山体完全被白雪覆盖，景色十分壮观。从318国道中穿过约4298米的垭口后，一路下行，便进入了摄影家的天堂——新都桥。,全年 全天开放,https://img1.qunarzz.com/travel/d4/1610/f8/dfb29922411bf5b5.jpg_480x360x95_3f936b16.jpg,4.6,建议游览时间：1小时 - 2小时,最佳游玩时间是夏秋季，不会由于气温太低而引起不适。冬季去折多山的朋友应事前查好是否有交通管制，以免耽误您的行程。,"{'鱼子西·墨石公园·格底拉姆·木格措2日游丨游川西丨观贡嘎雪山丨看日照金山日落雪山星空\n\n': ['¥240起'], '稻城亚丁纯玩5日游丨二进亚丁丨可升级头等舱丨赠氧气+3环内接丨特色鳕鱼火锅+养生牦牛汤锅+藏鸡宴\n\n': ['¥568起'], '【日落星空】墨石公园+鱼子西+木雅/木格措|鱼子西+木雅+木格措纯玩2日游！多套餐可选\n\n': ['¥256起']}",注意防寒保暖，带上氧气瓶以防高原反应。,1
塔公寺Tagong Temple,http://travel.qunar.com/p-oi713630-tagongsi,"

地址:
甘孜藏族自治州康定市塔公乡塔公草原上(距新都桥镇约36.6公里)


电话:
0836-68624606

",塔公寺位于甘孜州康定县塔公乡，全名“一见如意解脱寺”，是藏传佛教萨迦派寺庙，距今已有一千多年的历时。寺内保存有一座与大昭寺相同的释迦牟尼像。传说是文成公主入藏路经此地，模拟携往释迦牟尼像造一座留供寺中。二者之间具特殊的奇特因缘，所以塔公寺又有“小大昭寺”之称。塔公寺由大雄宝殿、舍利宝殿、释迦殿、观音殿、成就塔殿、莲花殿、塔林、僧舍及绕寺一周的“转经轮”所组成。大雄宝殿是全寺僧人念经修法的主要场所，大殿四周保留着许多壁画，是珍贵的佛教文物。释迦殿供奉着文成公主当年塑的释迦牟尼佛像，还有元朝国师八思巴法王到塔公寺用神通在石头上留下的足印，以及一座高约一米的千手观音圣像，这尊观音圣像是当年文成公主为利益众生而塑造的，塑造圣像用的原料是当时汉藏地区的神山神水和大量的珠宝。观音殿供奉着全藏的千手千眼观音鎏金铜像，建成于1997年。成就塔，记传是大成就者哄钦嘎然用法力建造而成，供奉着印度高僧“哄钦嘎然”的手杖以及圣物。莲花殿供奉着莲师八号、文殊三身等。寺内还珍藏有“桑吉曲巴”（迦叶古佛）的佛牙，十二世纪印度大成就者用过的法铃，元朝国师法王八思巴赠给该寺的鎏金铜佛，此外，寺内还保存着许多珍贵的佛教文物以及萨迦派的法典，都是平日难得一见的珍贵宝物。每年藏历6月中下旬，寺庙会举办盛大的佛事和跳神活动，场面隆重盛大。7月中旬到8月初，塔公草原上则会举办一年一度的耍坝子活动，其间会有民间活动和歌舞等节目，草原上一片五颜六色的帐篷，热闹非凡。,全年 8:00-18:00,https://img1.qunarzz.com/travel/poi/201408/12/19c84bc216a0370fc8d65eac.jpg_480x360x95_f19f4dd6.jpg,4.6,建议游览时间：1小时 - 2小时,夏秋季为最佳游玩时间。每当夏秋之季，塔公草原风光如画，在茵茵草地上，种类繁多的野花竞相绽放，绚丽多彩。当游客徜徉于花海之中，顿感飘飘欲仙。Tips：每年藏历6月中下旬，寺庙举行盛大的佛事和跳神活动。寺庙内的释迦牟尼塑像，据称为文成公主进藏时期所塑，是珍贵文物。寺庙周围佛塔成林，构成了绝妙的塔林景观。,"{'【错峰摄影】墨石公园✚新都桥2日●纯玩0购物●住严选贵宾酒店\n\n': ['¥365起'], '色达环线纯玩4日游！可住佛学院内|可大中小团|可选冷嘎措/墨石公园/鱼子西/红海子/四姑娘山/毕棚沟\n\n': ['¥617起'], '稻城亚丁纯玩5日游！保姆车团|二进景区|三环接早|可搭配鱼子西+木格措+木雅圣地！赠氧气\n\n': ['¥558起']}",游客在高原地区容易发生高原反应，建议带上携氧片，既能快速缓解高原反应，又能增强运动能力。,1
仙乃日Xiannairi,http://travel.qunar.com/p-oi5942426-xiannairi,"

地址:
甘孜藏族自治州稻城县亚丁自然保护区内


电话:
028-85316020

",仙乃日是亚丁三怙主神山之一，是“三怙主”雪山的北峰，峰顶终年积雪不化。仙乃日周围则是高山湖泊、冰川和树林，组成了一幅绝美的风景，这里是摄影爱好者的天堂。仙乃日位于稻城县亚丁自然保护区内，包车或是自驾游都是不错的选择。游客可以在仙乃日的观景台上欣赏神山的巍峨，这里一定要拿出相机，按下快门即可拍摄出如壁纸般的照片，美得让人窒息。,具体开放时间请咨询景区,https://img1.qunarzz.com/travel/d9/1609/d6/f8bb1c83f120a3b5.jpg_480x360x95_07fb9a6d.jpg,4.8,建议游览时间：3小时,夏秋季节景色最好。,"{'稻城亚丁纯玩5日游！保姆车团|二进景区|三环接早|可搭配鱼子西+木格措+木雅圣地！赠氧气\n\n': ['¥558起'], '稻城亚丁纯玩4日游！+木雅圣地+鱼子西+理塘！赠氧气+旅拍+三环接车+旅行三宝\n\n': ['¥1080起'], '【小团纯玩】川藏10日|成都色达稻城理塘芒康进藏然乌冰川羊湖林芝赏花！三环接送+氧气!车配单反或飞机\n\n': ['¥3180起']}",,1
洛绒牛场Luorong Pasture,http://travel.qunar.com/p-oi5942427-luorongniuchang,"

地址:
甘孜藏族自治州稻城县亚丁


电话:
0836-5725215

",洛绒牛场是亚丁自然保护区景点之一，海拔4150米，是附近藏民放牧的牧场。洛绒牛场背靠三座神山，是观赏三怙主雪山的佳地点。牛场周围是连绵的高山草甸，春夏时节草甸上野花盛开，漫山遍野，非常壮观。贡嘎河从牛场穿过，成群的牛羊在河边和山坡上悠闲的吃草，一派和谐景象。徒步转山的背包客常在此安营扎寨，观赏拍摄神山日出日落。,具体开放时间请咨询景区,https://img1.qunarzz.com/travel/d4/1611/d1/7c3170c9b41b4cb5.jpg_480x360x95_2a99300d.jpg,4.7,建议游览时间：3小时,夏秋季节，这里的景色最美。,包含在稻城亚丁景区门票内，通用于稻城亚丁景区门票。,1、从冲古寺到洛绒牛场大概约7公里，徒步需要3小时。2、洛绒牛场海拔高、气温低、山峰大、请尽量做好保暖工作。3、目前已经有从冲古寺到洛绒牛场的电瓶车，需要20分钟，往返80元每人。,1
