名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
莫莫格国家级自然保护区Momoge National Nature Reserve,http://travel.qunar.com/p-oi703071-momogeguojiajiziranbao,"

地址:
白城市镇赉县莫莫格蒙古族乡103县道


电话:
0436-7811545,0436-7811902

",莫莫格国家级自然保护区位于白城市东北部，坐落于风景如画的嫩江之畔，地处嫩江和洮河汇合处，这里河流纵横、湖泡洼地星罗棋布，有河滩苔草湿地、湖滩洼地芦苇湿地以及碱蓬盐沼等自然景观。莫莫格是著名的丹顶鹤及其他珍禽的保护区，这里被人们称为“鹤的故乡，鸟的天堂”。全世界现在有鹤类15种，莫莫格自然保护区就有6种，分别为白鹤、丹顶鹤、白头鹤、白枕鹤、灰鹤、蓑羽鹤，其中丹顶鹤、蓑羽鹤、白枕鹤在本区繁殖。每年的春秋两季，在这里可以观赏到数百只来此停歇的白鹤，景象十分壮观。这里除了拥有绝美的江滨风光、鸟群同时腾空的壮观场面、以及风吹草低现牛羊的草原景色之外，你还能体验莫莫格蒙古族自治乡的民俗风情，可以喝上一口清澈透明、爽身沁肺的矿泉水，临别时还可以带上一两件精美的柳编制品，令人难忘。,景区暂时停业，预计5月1日开放；原开放时间8:00-17:00。,https://img1.qunarzz.com/travel/d9/1709/34/b1f0c12f7b05c4b5.jpg_480x360x95_13c1d63a.jpg,4.4,建议游览时间：3小时 - 5小时,,具体收费情况以现场公示为主,,1
嫩江旅游度假村,http://travel.qunar.com/p-oi722612-nenjianglu:youdujiacun,"

地址:
嫩江旅游度假村位于大安市嫩江右岸，距市中心3公里

",嫩江旅游渡假村位于大安市嫩江右岸，距市中心3公里，占地面积5.28公顷，建筑面积达5100平方米，水路、铁路便通，是一处良好的旅游胜地。　这里一年四季分明，景色迷人，碧绿的江水上叶叶白帆轻轻飘荡，豪华的游船长鸣远航，江岸上绿草成荫，草原辽阔，百鸟欢唱。在渡假村南瑞，高山脚下，设有东北最大的国防基地，在这里游人可以体验到现代骑士的风彩。位于嫩江右岸边有长达10公里的沙滩浴场，服务设施齐全，可供游人游泳、划船、摄影、娱乐等。 在渡假村中心有一座独具特色的五层...嫩江旅游渡假村位于大安市嫩江右岸，距市中心3公里，占地面积5.28公顷，建筑面积达5100平方米，水路、铁路便通，是一处良好的旅游胜地。　这里一年四季分明，景色迷人，碧绿的江水上叶叶白帆轻轻飘荡，豪华的游船长鸣远航，江岸上绿草成荫，草原辽阔，百鸟欢唱。在渡假村南瑞，高山脚下，设有东北最大的国防基地，在这里游人可以体验到现代骑士的风彩。位于嫩江右岸边有长达10公里的沙滩浴场，服务设施齐全，可供游人游泳、划船、摄影、娱乐等。 在渡假村中心有一座独具特色的五层望江楼，内设有餐厅，快餐厅、水资源展览厅、歌舞厅。楼内装潢典雅，舒适静溢，菜肴品种齐全，风味独特，舞厅内配有高级音响，音乐优美、轻歌漫舞、令游人留连忘返。　在别具特色的望江楼中层，珍藏着数百种鱼类标本，游人到这里可一览古今，真正领略大安“渔米之乡”的含义。渡假村内还建有欧式、罗式、中式现代化别墅三座，建筑面积2000平方米，高中档客房一应俱全，适宜各阶层游客到这里渡假、开会、食宿。此外，嫩江旅游渡假村还修建了江畔公园，天然沙浴场，人工游泳池，江畔木屋，别墅群等景观，景点。　为了满足广大游客的需求，渡假村先后开通了大安港至月亮泡水库一日游、大安港至衍福寺一日游，游人即可浏览两岸风光，又可在船上就餐，娱乐。,全天开放,,5.0,,,大门不收门票，但景区内各景点均要收费,,1
向海自然保护区Xianghai Nature Reserve,http://travel.qunar.com/p-oi704939-xianghaiziranbaohuqu,"

地址:
白城市向海乡兴隆山镇西南2千米处


电话:
0436-4588557,0436-4589699

",向海湿地位于通榆县西北、科尔沁草原的东部边陲，是以保护丹顶鹤等珍贵水禽和蒙古黄榆等稀有植物群落为主的自然保护区。在这里你可以观赏到具有草原原始特色的沼泽、黄榆、苇荡、杏树林等各种自然景观，还能观赏到丹顶鹤等珍禽的优美身姿。向海湿地素有“东有长白、西有向海”的美誉，这里的地形为典型的草原湿地地貌，拥有霍林河、额木太河、洮儿河三条大河横贯其中，还有上百个自然泡沼星罗棋布。这里的夏季绿意盎然，秋季则色彩绚丽、秋高气爽，这两季是每年很好的旅游季节。栖息于向海湿地的鸟类有173种之多，其中鹤类就有15种，将近占了全世界现有鹤种类的一半，其中珍惜种类有丹顶鹤、白枕鹤、白头鹤、灰鹤、白鹤、天鹅、金雕等，是我国有名的“鹤乡”。,全年 07:30-17:00,https://mp-commentcp.qunarzz.com/mp_comment_mp_comment/1562440678884100a16000000z0606ED41_D_640_10000.jpg_480x360x95_a3490852.jpg,4.6,建议游览时间：3小时 - 4小时,,{'向海自然保护区电子讲解门票大小同价\n\n': ['¥9起']},,1
哈尔挠,http://travel.qunar.com/p-oi713687-haernao,"

地址:
白城市镇赉县

",“哈尔挠”是蒙族语言的音译，意思是黑色的水泡。它位于八百里瀚海的东北部，嫩江的西岸，是莫莫格国家级自然保护区的核心区，是国家A级湿地资源。旅游区内建有哈尔挠水库和哈尔挠旅游度假村。哈尔挠水库是1979年8月吉林省水利厅批准修建的。目前，哈尔挠养殖水面6万亩，自然捕鱼水面12万亩，有杨树堂、老瓜窝、少力根、龙坑等四处自然捕捞单位，这里水面宽阔，苇草茂盛，水面上生长着茨实米、菱角和水草，水中生长着鳜鱼、黄桑、鲤鱼、黑鱼、鲶鱼、澎泽鲫、鲂鱼、鲢、鳙、草鱼等30多...“哈尔挠”是蒙族语言的音译，意思是黑色的水泡。它位于八百里瀚海的东北部，嫩江的西岸，是莫莫格国家级自然保护区的核心区，是国家A级湿地资源。旅游区内建有哈尔挠水库和哈尔挠旅游度假村。哈尔挠水库是1979年8月吉林省水利厅批准修建的。目前，哈尔挠养殖水面6万亩，自然捕鱼水面12万亩，有杨树堂、老瓜窝、少力根、龙坑等四处自然捕捞单位，这里水面宽阔，苇草茂盛，水面上生长着茨实米、菱角和水草，水中生长着鳜鱼、黄桑、鲤鱼、黑鱼、鲶鱼、澎泽鲫、鲂鱼、鲢、鳙、草鱼等30多种鱼类，年产鲜鱼120万斤。哈尔挠旅游度假村，可同时供80人食宿、餐饮、歌舞、召开小型会议。目前开设有游玩项目有：水上游、自然风光游、垂钓、野浴等。这里风光秀丽，烟波浩淼，水草连天，鱼翔浅底，鸟飞云端；这里有一望无际的草原，奔流不息的嫩江水，景色宜人，环境优美。哈尔挠A级旅游度假村是您休闲、度假、旅游观光、避暑纳凉的好地方！,全天,https://img1.qunarzz.com/travel/d7/1506/3b/7ba29fc2868624.jpg_480x360x95_11fed571.jpg,4.5,,,莫莫格国家级自然保护区门票：40元（包含哈尔挠旅游景区）,,1
兴隆山黄榆林,http://travel.qunar.com/p-oi711755-xinglongshanhuangyulin,"

地址:
吉林省白城市通榆县

",在距通榆县城约60公里，兴隆山镇西南 2 公里处，有一片至今保护完好、亚洲最大的蒙古黄榆林，这是具有原始风韵的面积约 50 平方公里的天然森林浴场。站在赏榆亭上望去，蒙古黄榆树尽收眼底。有的象古藤盘柱，有的如游龙过江，有的若霸王挥鞭，有的似八仙过海。隆冬时节，呼啸的北风和漫卷的黄沙一见到它，便驯服地放慢脚步；阳春三月，别的树种刚从睡梦中醒来，蒙古黄榆就已经吐出葱郁的叶子，莽莽苍苍，引来各种禽鸟在枝头栖息；酷暑盛夏，它总是长舒猿臂，浓荫下布，为八方游客纳凉...在距通榆县城约60公里，兴隆山镇西南 2 公里处，有一片至今保护完好、亚洲最大的蒙古黄榆林，这是具有原始风韵的面积约 50 平方公里的天然森林浴场。站在赏榆亭上望去，蒙古黄榆树尽收眼底。有的象古藤盘柱，有的如游龙过江，有的若霸王挥鞭，有的似八仙过海。隆冬时节，呼啸的北风和漫卷的黄沙一见到它，便驯服地放慢脚步；阳春三月，别的树种刚从睡梦中醒来，蒙古黄榆就已经吐出葱郁的叶子，莽莽苍苍，引来各种禽鸟在枝头栖息；酷暑盛夏，它总是长舒猿臂，浓荫下布，为八方游客纳凉提供方便。无论怎样干旱、燥热的天气，只要置身其中，无风自凉，无雨自润，清爽至极，好似仙境。,全天,https://img1.qunarzz.com/travel/d3/1506/86/88dc54620466d1.jpg_480x360x95_0d3c1ce6.jpg,4.0,,,免费,,1
东沟湿地狩猎场Donggou Wetland Hunting,http://travel.qunar.com/p-oi702456-donggoushidishouliechang,"

地址:
大安市的大岗子乡、通榆县的八面乡、洮南市的二龙乡交界处

",东沟湿地狩猎场面积约五万多公顷，此处生活着很多动物，如天鹅、丹顶鹤、斑嘴鸭、绿翅鸭、罗纹鸭等，此外，这里还有芦苇、三棱草、灯心草、水葱、睡莲等植物。,全年 6:00-21:30,https://img1.qunarzz.com/travel/d1/1506/63/01d6f04a404a09.jpg_480x360x95_f59c61ed.jpg,4.3,建议游览时间：4小时 - 5小时,,45元,,1
汉书遗址Book of Han Relic Site,http://travel.qunar.com/p-oi712321-hanshuyizhi,"

地址:
白城市大安市月亮泡镇汉书村东北1公里的月亮泡南岸

",汉书遗址位于大安市，这里发现了大量的房址、墓葬、灰坑等多处种类型的遗存，以及装饰有篦点几何纹的筒形陶器、彩绘陶壶、红衣陶碗和各类青铜质的刀、扣等，还有各种生活用品和生产工具。,8：00——16：00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/ea47a2d25cebfe1e5bb31faf663de048.gif_480x360x95_331d3375.gif,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
劳动公园,http://travel.qunar.com/p-oi38674636-laodonggongyuan,,,,,4.5,,,具体收费情况以现场公示为主,,1
白城华严寺,http://travel.qunar.com/p-oi38336838-baichenghuayansi,,,,,4.4,,,具体收费情况以现场公示为主,,1
仙鹤岛,http://travel.qunar.com/p-oi38336691-xianhedao,,,,,--,,,具体收费情况以现场公示为主,,1
