名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
长白山西坡景区West Slope of Changbai Mountain Scenic Area,http://travel.qunar.com/p-oi7587220-changbaishanxipojingqu,"

地址:
白山市抚松县松江河镇


电话:
0439-6331900


官网:
https://www.ichangbaishan.com/

",西坡景区位于长白山天池西麓，这里有很多在北坡看不到的景观，比如锦江大峡谷、高山花园，你还能站在两国界碑旁拍照留念。从西坡山顶看到的长白山天池，要比北坡看到的视野更开阔、更有气势。相较于北坡景区，西坡开发得更晚，游客也更少。夏季是长白山旅游旺季，也是山上野花盛开的时节，十分迷人。除了上述提到的景点，西坡景区还有梯子河、鸢尾花园、王池等景点。一进山门就可坐环保大巴直接上山看天池，车程约45分钟。从山上的环保车停车场到山顶需要徒步登1440级台阶，大约需20-30分钟，如果体力不佳也可以花钱坐滑竿上去。上山台阶比较宽，而且途中有部分护栏上可以坐下休息，所以爬起来不会很累。爬到上面是一大片观景高台，从这里可以欣赏天池全貌以及群峰。观景台旁边是两国的界碑，神圣庄严，两面都可以拍照留念，只是不要随意跨越用作围护的绳索。回到停车场后坐环保车下山，开始依次参观各个小景点。在看完高山花园后可坐车直接回山门，也可以在途中的岔路口下车，在此换乘区间小巴去王池花园，看完王池需原路返回坐小巴、再换乘大巴回山门。西坡景区内的餐厅位于高山花园附近，不过价位略高，景区内小卖部也不多，建议自带些干粮和水出行。景区内还有天然滑雪公园，冬季来这里可体验滑雪、坐雪地摩托等娱乐项目。晚上可以住在景区西面的松江河镇，镇上有各种宾馆、商店、餐馆，消费都不算贵。如果想要“高大上”一回，可以住在松江河镇南郊的万达长白山国家旅游度假区，这里云集了喜来登、假日、凯悦等国际五星酒店，还有各种品牌餐厅、咖啡吧和服装品牌商店。冬季来万达度假区，还能在设施先进的万达国际滑雪场滑雪，晚上则可以在长白山大剧院里欣赏精彩的《天地长白》舞台剧。,全年 08:30-12:30,https://img1.qunarzz.com/travel/d8/1411/d2/d2f1d42d0e23adbe213a9cdb.jpg_480x360x95_2701485f.jpg,4.5,建议游览时间：3天,四季皆宜。,"{'长白山景区西坡景区直通车（长春市往返）票大小同价\n\n': ['¥70起'], '长白山西坡景区组合票+讲解器导览服务成人票\n\n': ['¥220起'], '长白山西坡景区组合票+讲解器导览服务优待票\n\n': ['¥171起']}",1. 山上风大温度低，注意保暖。夏季登台阶时会大量出汗，但到了山顶最好穿件长袖以防着凉。2. 山上光照强烈，建议戴墨镜，夏季注意防晒。山顶经常下雨，但不能打伞以防雷电，可穿雨衣。3. 在山顶要注意不要跨越栏杆绳索，以免滑落山崖或跨越国境。4. 全程游览西坡通常需5-6小时，建议上午尽早去景区，尽早上山看天池。5. 需要注意山顶没有厕所，可在攀登台阶上天池之前在停车场解决需求。6. 长白山景区内食品较贵，建议去之前自带。,1
菩提峰景区Putifeng Sceneic Area,http://travel.qunar.com/p-oi10083707-putifengjingqu,"

地址:
白山市临江市004乡道

",菩提峰景区位于临江市东北部的长白山腹地六道沟镇七道沟村，左岸是吉林省朝鲜族自治县。菩提峰景区分为两个部分，即三道阳岔虎观峰小区和七道沟翡翠谷小区，两条水系终点为天一瀑布和翡翠潭瀑布。该两条水系沿途，古树参天、怪石嶙峋、山崖险峻、水流清澄。山崖地貌均为长白山火山爆发时形成，距今已有上亿余年。山间丛林密布，偶有山崖突兀，以跌宕之势；河床中有石块硕火，形态各异，期间穿插风倒之木，更显其原始古朴。更有经万千年激水冲刷形成大小不一的圆形九洞，充满了扑朔迷离的神秘色彩。山树石水各具魅力。山间丛林密布，一条栈道由山脚直通峰顶，沿途溪水潺潺，空气清新，让人流连忘返，是真正的世外桃源。,全年 全天开放,https://img1.qunarzz.com/travel/poi/1712/fa/0f5de01d85168937.jpg_480x360x95_4f3bdd0e.jpg,5.0,,,具体收费情况以现场公示为主,,1
长白山火山国家地质公园Zhangbai Shan Huo Shan Guojia Dizhi Park,http://travel.qunar.com/p-oi7588673-changbaishanhuoshanguo,"

地址:
白山市抚松县白山市抚松县松天线附近


电话:
0439-6331900

",长白山火山国家地质公园是位于吉林省长白山地区，以火山地质地貌遗迹为主。2009年8月国土资源部批准为第五批国家地质公园.，长白山地区不仅是东北而且也是中国、东亚特大的火山岩分布区，还是火山数目较多的地区，长白山火山复式火山锥是在广阔的熔岩高原和熔岩台地上，沿NE向和NW向断裂交叉部位中心式喷发的火山，巨大的火口湖长白山天池较为壮观，其他尚有瀑布、温泉和生态良好的松林等。,全年 08:30-03:00,https://img1.qunarzz.com/travel/poi/1501/f4/f432bb0b0f307235cdb.jpg_480x360x95_6bc6116c.jpg,4.6,建议游览时间：2小时 - 4小时,,具体收费情况以现场公示为主,,1
鸭绿江Yalu River,http://travel.qunar.com/p-oi712927-yalu:jiang,"

地址:
白山市长白山国家级自然保护区南坡景区


电话:
4008483777

",长白山天池是三江源头，所以鸭绿江沿着长白山南坡流下来，两岸风景如画，宽度仅仅能被称作溪流，而且看起来非常浅，不过水流很急，应该是落差大的缘故，河水泛着一种蓝色，有些地方看起来是墨兰色的，非常漂亮，在不足10米宽的江对岸就有朝鲜的哨兵站。,8:00-16:00(夏季到16:30),https://img1.qunarzz.com/travel/d1/1610/e9/abb1b88378195bb5.jpg_480x360x95_e0c295e4.jpg,4.5,建议游览时间：0.5小时,四季皆宜。,"{'鸭绿江电子导览服务大小同价\n\n': ['¥1起'], '大连出发 丹东一日游【私家小团】鸭绿江游船 虎山长城 鸭绿江断桥 安东老街 月亮岛\n\n': ['¥188起'], '丹东鸭绿江断桥、虎山长城、河口中朝边境游船一日游2-6人小团\n\n': ['¥329起']}",,1
长白山大峡谷,http://travel.qunar.com/p-oi706846-changbaishandaxiagu,"

地址:
中国吉林省白山市扶松县

",,6：00-17：00,https://img1.qunarzz.com/travel/d3/1703/ae/92f18bd45d657b5.jpg_480x360x95_34aded8c.jpg,4.3,建议游览时间：1小时,7、8、9月的长白山是避暑胜地，风光秀丽，景色迷人。受山地地形垂直变化影响，长白山从山脚到山顶形成了由温带到寒带四个景观带。“一山有四季，十里不同天”，这时可度过一个不一样的夏天。冬季是滑雪运动的最佳季节，最容易看到天池全貌。,{'长白山西坡天池往返高铁2-6人拼车小团纯玩一日游高铁往返\n\n': ['¥618起']},1、夏季去长白山不要用雨伞，因为在高山地区容易引雷，而且山上有风，建议使用一次性雨衣。 2、携带衣物尽量带外套和长裤，一来山上气温地，外套可以御寒挡风，若是大晴天也可以阻挡高山强烈的紫外线照射。,1
小天池,http://travel.qunar.com/p-oi3755331-xiaotianchi,,小天池在长白瀑布以北3公里处，共有两个。一个隐在幽静的岳桦林中，海拔1780米，湖面呈圆形，面积5380平方米，水深10余米，湖水碧绿。距小天池约200米处，还有一圆形池与前一个大小相差无几，只是积水甚浅，仅几米深，有时干涸，露出黄色泥土。小天池像一块翡翠宝石，镶嵌于连绵太行中段，其奇峰、怪石、密林犹具特色，蓊郁葱茏。置身其中，如浮游于绿色的波涛之中。上观天空如斑驳的碎玉，俯视大 地，松针落叶叠积，如毯似绵，每一步都使您切身感受到大山的古老和岁月的悠远。小天池...小天池在长白瀑布以北3公里处，共有两个。一个隐在幽静的岳桦林中，海拔1780米，湖面呈圆形，面积5380平方米，水深10余米，湖水碧绿。距小天池约200米处，还有一圆形池与前一个大小相差无几，只是积水甚浅，仅几米深，有时干涸，露出黄色泥土。小天池像一块翡翠宝石，镶嵌于连绵太行中段，其奇峰、怪石、密林犹具特色，蓊郁葱茏。置身其中，如浮游于绿色的波涛之中。上观天空如斑驳的碎玉，俯视大 地，松针落叶叠积，如毯似绵，每一步都使您切身感受到大山的古老和岁月的悠远。小天池景区因此被专家誉为“太行山中段最绿的地方之一”。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-mapi/img/9aa2a65df954f25ec9f5cd8848ee8734.jpg_480x360x95_3ca63681.jpg,3.8,建议游览时间：0.5小时,7、8、9月的长白山是避暑胜地，风光秀丽，景色迷人。受山地地形垂直变化影响，长白山从山脚到山顶形成了由温带到寒带四个景观带。“一山有四季，十里不同天”，这时可度过一个不一样的夏天。冬季是滑雪运动的最佳季节，最容易看到天池全貌。,"无需门票
 包含在长白山北坡景区门票内
",1、夏季去长白山不要用雨伞，因为在高山地区容易引雷，而且山上有风，建议使用一次性雨衣。 2、携带衣物尽量带外套和长裤，一来山上气温地，外套可以御寒挡风，若是大晴天也可以阻挡高山强烈的紫外线照射。,1
梯子河,http://travel.qunar.com/p-oi5942034-tizihe,,有“天然小冰箱”之称的梯子河河水非常清冽冰凉，其发源于梯云峰西侧，因发源地河床陡峭，如层层阶梯，故称为梯子河。梯子河向西流入锦江。河床宽仅2米左右，深数十米，两壁陡峭，水流湍急。梯子河段被植被和岩石覆盖，只能听到流水声，却看不到水，所以人们对梯子河有”地河“之称。,,https://img1.qunarzz.com/travel/d3/1703/8c/1b473e8e7fa35b5.jpg_480x360x95_f972fbee.jpg,3.0,,,,,1
长白山南坡景区Changbai Mountain South Slope Sceneic Area,http://travel.qunar.com/p-oi704317-changbaishannanpojing,"

地址:
白山市长白朝鲜族自治县长白山国家级自然保护区池南区，长白县北部约60公里处


电话:
0433-5742286,0439-6331900

",南坡景区位于长白山南麓，相对北坡和西坡景区，这里游客更少，景观更为原始。这里有鸭绿江大峡谷、火山遗迹碳化木景观，还可以在上山沿途远眺鸭绿江对岸的朝鲜风光，而南坡山顶视野开阔，看到的天池一览无余。长白山南坡邻近长白朝鲜族自治县县城，从松江河镇坐汽车过去2个多小时，但交通不太方便，通常可选择包车直达景区。景区内有十多公里的旅游公路与鸭绿江同行，碧绿的江水曲折蜿蜒，郁密的松树遍布江岸，风光很美，还常可见有朝鲜边防官兵隔着几米的河岸招手示意。鸭绿江江岸西侧的山峰上，遍布着火山喷发后遗留的一大奇观——碳化木林。成片成片的高大树木，在岩浆燃烧时，地势突然变化，将其压于土下，然后沉寂了多少年。不过长白山南坡景区暂时不向社会散客开放，目前只针对高端定制、科普旅游等特定产品的游客和旅游包机游客开放，实行预约制、限人限时。,全年 09:30-11:30,https://img1.qunarzz.com/piao/fusion/1611/ff/48275607a159002.jpg_480x360x95_a3677e70.jpg,4.7,建议游览时间：3天,最佳旅游时间为每年7~9月。   　　春季昼夜温差大；夏季短，温热多雨；秋季凉爽，多睛朗天气；冬季长，干燥寒冷。 旅游的最佳时节是7、8、10月份,105元,南坡景区靠近边界，山顶有我国界碑和边防战士，军事设施和军人都禁止拍照。不过由于南坡景区正在修路及设施改造，截至2014年8月仍处于暂停开放状态，何时恢复开放还没有明确通告，详情可咨询景区或关注官网资讯。1、夏季去长白山不要用雨伞，因为在高山地区容易引雷，而且山上有风，建议使用一次性雨衣。 2、携带衣物尽量带外套和长裤，一来山上气温地，外套可以御寒挡风，若是大晴天也可以阻挡高山强烈的紫外线照射。,1
青山湖,http://travel.qunar.com/p-oi701624-qingshanhu,"

地址:
中国吉林省白山市

",青山湖是省级名胜景点，位于白山市城郊2.5公里处， 是截河而成的人工湖，水质纯净，水面平稳，两岸众山耸立，山青水秀，植被完整，林相优美，是避暑游玩、垂钓的好去处。在这里既可游泳又可垂钓，青山湖水上廊亭曲曲折折，山上庙宇若隐若现，景区内停车场、购物点、水上游艇、餐饮娱乐服务设施一应俱全，是休闲度假的好去处。,6:30-18:30,https://img1.qunarzz.com/travel/poi/1408/28/f6a1697aa592ceccffffffffc8d65eac.jpg_480x360x95_58fcddb5.jpg,4.5,,白山市地处吉林南部，属于明显的北温带大陆性季风气候，四季分明，日照充足。降雨多集中在夏季，年平均温度未超过5℃，冬天寒冷，最冷时达到零下42.2℃，最佳旅游季节为7、8、9月。,10元,,1
长白山漂流,http://travel.qunar.com/p-oi7475105-changbaishanpiaoliu,"

地址:
吉林白山市抚松县松江河镇

",,10:00-17:00,https://img1.qunarzz.com/p/tts4/1803/38/848bb28730e46602.jpg_480x360x95_fa1b445f.jpg,0.0,建议游览时间：4小时,,各类漂流项目价格不一，请以售票处详情为准,,1
