名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
钟鼓楼,http://travel.qunar.com/p-oi38842876-zhonggulou,,,,,--,,,具体收费情况以现场公示为主,,2
银凤湖,http://travel.qunar.com/p-oi38336893-yinfenghu,,,,,0.0,,,具体收费情况以现场公示为主,,2
寿鹿山,http://travel.qunar.com/p-oi38335987-shoulushan,,,,,--,,,具体收费情况以现场公示为主,,2
饮马沟大峡谷,http://travel.qunar.com/p-oi38335985-yinmagoudaxiagu,,,,,0.0,,,具体收费情况以现场公示为主,,2
尚文坊,http://travel.qunar.com/p-oi37806351-shangwenfang,"

地址:
兴平路街道长征西路36号附近


电话:
6627666

",,全年 13:00-23:00,,0.0,,,具体收费情况以现场公示为主,,2
索桥古渡,http://travel.qunar.com/p-oi37161106-suoqiaogudu,"

地址:
白银市景泰县寺滩乡永泰村

",索桥古渡位于景泰，是一处历史悠久的遗址，同时，它也是古丝绸之路北线重要的黄河渡口，目前，这里残存有渡口“将军柱”台基、瞭望哨所、庙宇、旗墩、烽燧等遗址。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/ed6baa417fdb75256e23d6e0cf1843ea.jpg_480x360x95_76449150.jpg,--,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,2
黄河大峡景区,http://travel.qunar.com/p-oi36792685-huanghedaxiajingqu,,黄河大峡景区位于白银区水川镇西峡口村—皋兰县什川镇小峡之间，峡谷全长31.5公里。千里波涛越兰州、过小峡、穿大峡，直入白银区水川镇。大峡电厂将狂奔不羁的河水拦腰斩断，大峡电站依山而建，乘船荡漾在库区内，两边石崖高耸，水色碧蓝，风景怡人，仿佛“高峡出平湖”的感觉。,,,5.0,,,游船自费。,,2
小川瓷窑沟遗址,http://travel.qunar.com/p-oi36792618-xiaochuanciyaogouyizhi,,小川瓷窑遗址位于白银市平川区宝积镇小川村北的瓷窑沟内，西距城区15公里。遗址沿瓷窑沟北岸自东向西分布，由依山而建的直烟窑向平地而建的馒头窑过渡，规模渐次宏大，分布面积达60万平方米。窑址主要由黑石岘遗存、大水沟遗存、老瓷窑遗存和靖远陶瓷厂旧址4部分组成，堆积层厚度达6-10米。小川瓷窑创烧于北宋，其剔刻花瓷器烧制或早于其他西夏窑址，对研究西夏窑的起源和兴衰有着重要的参考价值。同时，烧窑史历经宋、西夏、元、明、清直至上世纪八十年代，一直没有中断，有深厚、完整的文化堆积层，对研究北宋以来北方民窑体系具有重要价值。2019年10月，被列入第八批全国重点文物保护单位名单。,,,--,建议游览时间：2小时 - 4小时,,具体收费情况以现场公示为主,,2
景电水利风景区五佛寺主题公园,http://travel.qunar.com/p-oi36792589-jingdianshuilifengjing,,景电水利风景区五佛寺主题公园是在景电工程、景电水利风景区的基础上再开发建设而成，主场馆位于五佛沿寺旁的景电总干一泵站，包括荒漠彩虹工程、景电工程博物馆等建设项目，主要依托景电工程部分水利设施建设项目，同时围绕周边山、河资源，形成登山探险、沿河景观、生态林带等观光文化娱乐项目。2016年11月18日，景电水利风景区五佛寺主题公园荒漠彩虹项目建成竣工，同时博物馆建设正式奠基建设，荒漠彩虹工程由景电管理局的输水管道漆画而成，远看宛如彩；景电博物馆规划总占地5523.75平方米，绿化面积2360.26平方米，博物馆综合了收藏、展陈、科普、宣传、教育、研究、交流和休闲等功能。核心展览厅分地域文化展区、抗旱文化展区、景电文化展区三大部分，并分为历史篇、创业篇、发展篇、成就篇、科技篇、人物篇六大篇章，形成以景电工程大型工程景观为依托，融合工程沿线周边区域丰富的生态文化旅游资源，建设集景观游览、文化娱乐、生态休闲等功能于一体的生态旅游走廊。,,,5.0,建议游览时间：2小时,,具体收费情况以现场公示为主,,2
稻香村·瓜园,http://travel.qunar.com/p-oi36792566-daoxiangcunguayuan,"

地址:
白银市靖远县东湾镇瓜园村

",地处黄河之滨的甘肃省白银市靖远县东湾镇瓜园村，群山环抱，水资源丰富。2020年，瓜园村被确定为靖远县美丽乡村建设示范点，瓜园村抢抓美丽乡村建设机遇，以“稻香村——瓜园”为主题，以“留住乡愁乡韵、共享绿色发展”为理念，以实现“农民富、农村美、农业强”为目标，着力在基础提升、产业富民、环境整治、乡风文明等方面聚焦发力、创新实践，探索出了一条美丽乡村建设新路子。,全年 全天开放,,--,建议游览时间：2小时 - 4小时,,具体收费情况以现场公示为主,,2
平川陶都花苑景区,http://travel.qunar.com/p-oi36792561-pingchuantaodouhuayuan,"

地址:
白银市平川区宝积镇响泉村煤洞沟

",平川区陶都花苑景区位于平川区宝积镇响泉村煤洞沟，占地面积900.15亩，为“美丽乡村”示范村建设基地。景区以本土乡贤文化为重点，串起平川区域历史文化、风土人情、名人故事和当代平川人精神的风采，构成一幅安居乐业的生动图画，平川区陶都花苑景区不仅是风景如画的“美丽乡村”示范村的建设基地，更是历史文化内涵厚重的文化名片。,全年 全天开放,,--,建议游览时间：2小时 - 4小时,,具体收费情况以现场公示为主,,3
