名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
恐怖城,http://travel.qunar.com/p-oi705339-kongbucheng,,为近年新建。设有18层地狱，有下油锅、砍头、锯背、坟墓幽灵、鬼推磨。蟒蛇绕美女等恐怖镜头。以电控制，俨然逼真，格外阴森可怕。,,https://img1.qunarzz.com/travel/poi/1601/c2/43b4e6e9fd8376f7.jpg_480x360x95_ae7ef9c9.jpg,2.8,,,,,1
桃花江竹海风景区Taohuajiang Bamboo Sea,http://travel.qunar.com/p-oi702034-taohuajiangzhuhaifeng,"

地址:
益阳市桃江县桃花江镇崆峒村


电话:
0737-8788089,0737-8213228

",桃花江竹海风景区座落在湖南省桃江县桃花江镇境内，为国家AAA景区，桃花江竹海因自然形成、连绵万亩、翠绿挺拔的纯楠竹而闻名天下，核心景区规划面积65平方公里，景区总面积761.2公顷，共拥有楠竹5万亩，森林覆盖率高达90%，竹林面积为湖南第一，中国第三。景区内青山苍翠，竹林茂密，步入其中，道路环绕，茂竹遮天，扑塑迷离，如同进入竹海迷宫，为国内外罕见的生态资源，是湖南省一处拥有较高知名度的以“竹”为主题的生态旅游品牌。【中国（桃江）竹文化博览馆】中国（桃江）竹文化...桃花江竹海风景区座落在湖南省桃江县桃花江镇境内，为国家AAA景区，桃花江竹海因自然形成、连绵万亩、翠绿挺拔的纯楠竹而闻名天下，核心景区规划面积65平方公里，景区总面积761.2公顷，共拥有楠竹5万亩，森林覆盖率高达90%，竹林面积为湖南第一，中国第三。景区内青山苍翠，竹林茂密，步入其中，道路环绕，茂竹遮天，扑塑迷离，如同进入竹海迷宫，为国内外罕见的生态资源，是湖南省一处拥有较高知名度的以“竹”为主题的生态旅游品牌。【中国（桃江）竹文化博览馆】中国（桃江）竹文化博览馆位于中国楠竹之乡桃江县境内的湖南桃花江国家森林公园竹海景区内，是湖南少有的具有鲜明的以竹为素材主题场馆，通过竹海风光、文化元素、演绎着“潇湘竹韵”是浓缩的“竹香飘四海，桃花映九洲”。竹文化博览馆建筑面积为4800多平方米，收藏近千件展品，分为序、历史、资源、产业、食品、非遗、文化、交流八个展厅，以竹资源为载体，竹文化为主题，竹产业为依托，竹科技为引导，展示竹子生态，产品、经济、文化、艺术、科技、内涵。让游客在游历中感受竹的魅力，领略竹文化博大，享受“荷风送香气，竹露滴清香”。在景象万千的自然中，竹子以她独特的生物方式为我们人类提供了集经济、文化、艺术于一体的生物资源。【游步道】步入游步道曲径通幽全长1460米，走完全程大概需要40分钟的时间，看到两侧的竹呢，大家首先可能会想到节节高升，清廉和挺拔，的确，竹自古以来就是品德高尚的象征，松竹梅并称为岁寒三友。桃花江竹海从南北山门入园，沿路盘山而上，漫步而行，沿途全是绿色竹荫、天然氧吧，游人沿途可观竹赏景，春上观雨后春笋，夏日享竹林清凉，游人至山顶，登上观竹楼，展现在游人面前的是一幅令人心旷神怡的画面；万亩竹林，喜沐春风，山山楠竹翠，竹荫涛声声，百鸟和鸣。面对此情此景，谁都会置身仙境，忘却名利，使灵魂脱俗，思想升华。所以，无数名人雅士，游览湖南都爱光临桃花江竹海。【户外实景演出基地】2018年11月，竹海作为中国第十届竹文化节的主会场，迎接了国内外宾客，精巧别致的会场令宾客们赞叹不已。在这里举行的竹文化民俗演出水平高，独特的舞台、看台为今后竹海文化演示奠定了良好的基础。【观竹楼】观竹楼，原名“竹海红楼”，现在的观竹楼于2011年在原址重建，建筑面积1180平方米，分为三层。第一层是竹工艺品展厅；第二层是风光篇、诗画篇和关怀篇；第三层是观竹台，也是观景佳位置。观竹是一门小小的学问，春夏秋冬，不同季节，观竹者心太各有不同，体会自然也不一样。比如春天观竹要观其形：大地回春，竹鞭萌动，一夜春雨过，竹笋到处生。夏天观竹要赏其色：“一节复一节，千枝攒万叶。我自不开花，免撩峰与蝶。”秋天观竹要闻香：竹中取道，满目青翠。冬天观竹要听其声。在观竹楼上，极目远眺，竹浪翻涌，翠绿连绵，翠绿连绵，令人心旷神怡。,8:30-17:30,https://mp-commentcp.qunarzz.com/mp_comment_mp_comment/15574825139601557428846869100l14000000vwaox338BD64010000jpgprocautoorient.jpg_480x360x95_751bfce5.jpg,4.2,建议游览时间：3小时 - 4小时,,45元,,1
柘溪镇Zhexi Town,http://travel.qunar.com/p-oi712402-zhexizhen,"

地址:
益阳市安化县资水中游，距县城15公里

",柘溪风景区位于安化县柘溪镇境内，距县城10公里。被誉为“湖南红宝石”的柘溪水电站建于镇辖区内。景区内以中低山为主，山水相间，呈湖泊型，加上周边的一些自然风光、人文景观及地质遗迹，组成一个综合性的旅游胜地。景区风光迷人，有自然景观：平湖明镜、双溪对口、烈马回头、百鹤穿天、百鹤瀑布、阳光岛、飞月岛、圣帝山云雾、相思岩、林海涛声等45处、人文景观：橘园揽胜、茶山乐园、度假山庄、香棚水车、大溶民俗村等22处。生物景观：金鸡、七彩锦鸡、画眉、八哥、穿山甲、果子狸、娃娃鱼等20多种，这些景观都有各自的风格和品味，观赏性很强。特别诗尚存6亿年前的冰碛，举世罕见。,8：00-18：00,https://img1.qunarzz.com/travel/poi/1803/97/006e93512cac3937.jpg_480x360x95_b2fb5490.jpg,4.5,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
胭脂湖Yanzhi Lake,http://travel.qunar.com/p-oi716027-yanzhihu,,"胭脂湖地处沅江市西南，距城区约10公里，距益阳市25公里。相传西施随范蠡泛舟五湖时，见此处山清水秀，欣然沐浴而得名。胭脂湖象一个张开五指的巨大手掌，常年水域面积1430余公顷，流域面积近90多平方公里。四周茶山叠翠，桔岭摇金，一年四季鲜花常开，树木常青,环湖丘岗桔、桃、茶、竹葱郁，赤红色的湖岸线与青山碧水相映成趣。尤其是春天，桔花喷雪，茶叶含香，处处香味弥漫。湖中香气袭人，游人不饮而醉。到了秋天，亿万只红桔裹于翠绿之中，如同群山张灯结彩，给胭脂湖送去很美好的祝福。胭脂湖还是一个庞大的水族馆。银鱼、鳜鱼、青鱼、甲鱼、河蚌等220多种水生动物共同生活在水中乐园里，嬉戏玩耍，不时溅起欢快的水花。在胭脂湖游览，我们除能看到药山古渡和朗公庙以及报恩寺等遗址外，还可以看到许多奇妙的景观。胭脂湖现已列入湖南省旅游业十大水体景观区之一。主要景点有知青之家、沙滩泳场、农家乐、二龟拜美、晒羞坪。",,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/019c292c2ff525e79ed403be43dabbe6.jpg_480x360x95_15c71e89.jpg,4.0,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
北峰山森林公园Beifeng Mountain Forest Park,http://travel.qunar.com/p-oi722475-beifengshansenlingong,"

地址:
益阳市赫山区 ‎

",北峰山位于益阳市朝阳高新区谢林港镇桃益省公路旁，是国家2a级景区，省级森林公园。北峰山森林公园总面积2.7平方公里。区内有山峰20多座，水库面积0.34平方公里。在充分挖掘竹文化的历史和内涵，展示中华民族悠久的竹文化和竹精神，弘扬民族佛教文化，充分利用香山景区现有的林木和动物资源，展示优美的森林景观和自然景观，野趣的特征与优势，以竹艺之乡、假日休闲农庄和周立波文化村为休闲旅游主题，使人们在领略田园风光和劳动成功喜悦的同时，去了解回忆《山乡巨变》的历史故事。,全年 8:00-17:50,https://img1.qunarzz.com/travel/poi/1803/fc/5ecdf5168897d637.jpg_480x360x95_7d6e455d.jpg,3.9,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
栖霞寺Qixia Temple,http://travel.qunar.com/p-oi710543-qixiasi,,,,,,,,,,1
花乡农家乐旅游区,http://travel.qunar.com/p-oi722470-huaxiangnongjialelu:you,"

地址:
湖南省益阳市赫山区黄泥湖乡仙蜂岭村

",益阳花乡农家乐旅游区位于赫山区黄泥湖乡仙蜂岭村，距益阳市中心城区6.5公里，被资水和志溪河环抱。仙蜂岭是闻名遐尔的花会之乡。早在上个世纪九十年代，仙蜂岭人集前辈的智慧和经验，进行花卉苗木的生产栽培。至今发展到300多户花农，1600多亩花卉苗圃，1700多个品种。旅游区内有农家乐经营户28户，其中特色鲜明的有杨梅山庄、李家庄、望江园、江岸春、天然阁等景点。,8：00--18：00,,5.0,,,0元/人,,1
德群庄园,http://travel.qunar.com/p-oi722604-dequnzhuangyuan,"

地址:
沅江市南郊

",德群庄园为湖南省农业旅游示范点，国家AA级旅游景点。地处美丽的水乡城市沅江市南郊，是一个集优质葡萄种植、名贵种苗培育、栽培技术培训、园林绿化、农业观光休闲于一体的生态农业科技园。　　庄园总面积128亩，其中园林绿化面积110多亩，园内花卉果木四季常青，芳香迷漫。德群庄园前身为德群葡萄种植园，专业种植葡萄，已有20多年研究、试种、示范的历史。1998年更名为德群庄园。目前共有名贵花木1200多个品种，其中世界珍稀花木有50多个品种。　　庄园内除了有著名的植物活化石银...德群庄园为湖南省农业旅游示范点，国家AA级旅游景点。地处美丽的水乡城市沅江市南郊，是一个集优质葡萄种植、名贵种苗培育、栽培技术培训、园林绿化、农业观光休闲于一体的生态农业科技园。　　庄园总面积128亩，其中园林绿化面积110多亩，园内花卉果木四季常青，芳香迷漫。德群庄园前身为德群葡萄种植园，专业种植葡萄，已有20多年研究、试种、示范的历史。1998年更名为德群庄园。目前共有名贵花木1200多个品种，其中世界珍稀花木有50多个品种。　　庄园内除了有著名的植物活化石银杏，金叶国槐，金合欢，金桂，银桂，丹桂，美国红叶石楠等，可大饱眼福，不容错过。此外，还修建了垂钓池、网球运动场、游泳池、宾馆等配套设施，并为游客提供KTV、会务、餐饮等系列项目，是娱乐、休闲的绝佳场所。,上午8：15-12：00 下午14：30-17：30,,--,,,免费,,1
红岩风景区Anhua Hongyan Tourism Scenic Area,http://travel.qunar.com/p-oi713382-hongyanfengjingqu,,安化红岩位于安化县城以北10公里处，在崇山峻岭之中，有一片让人称为世外桃淅的小洞天，它名叫红岩水库，如今已建为安化红岩风景区。红岩水库，是八十年代，木子乡农民人工修建的一座小水库，方圆积雨面积为28.8平方公里，水面占1.5平方公里，这里青山环抱，碧水长流，环境清幽，鸟语花得香，确实是一个休闲度假的好去处，旅游观光的小洞天。红岩风景区，以红岩湖为中心，前后左右有50多个景点，可以划分为红岩、向阳、小桃源、仙池四个小景区。有举手触青天的摩天岭；有神态逼真的夫子岩；有九狮环抱的九狮山；有两心相连的同心结，一处美景一幅画，每个景点都有她美丽的传说。在红岩小景区内，就有四处小景观：有跨度158米的单拱渡槽一“向阳飞虹”；有原始古朴建于宋代的“百花山寨”；有的深山老林中别具一格的“木屋新村”；还有洞口九门、洞内九厅的九连溶洞。居住在景区的人，个个健康长寿，七、八十岁的人比比皆是，百风气老人也有好几人，群众称这里是“长寿山村，福地洞天”。,,https://img1.qunarzz.com/travel/poi/1712/da/9d84fe501a5ce037.jpg_480x360x95_209812fc.jpg,4.3,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
观竹楼,http://travel.qunar.com/p-oi714236-guanzhulou,,相传清代文人墨客乐于观竹，县衙为此而建之，解放后1974年修复。观竹楼座落在洪山竹海的极高点，登上观竹楼，一望无际的竹海尽收眼底，令人心旷神怡，留连忘返。,,,--,,,,,1
