名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
槽渔滩风景名胜区Caoyutan Scenic Spot,http://travel.qunar.com/p-oi10002572-caoyutanfengjingmingsheng,"

地址:
眉山市洪雅县槽渔滩镇胜利社区上段122号


电话:
028-37512059

",渔滩风景名胜区位于洪雅境内青衣江上游，景区面积18平方公里。风景区内，古老的桫椤树群影映着碧绿的水面，秀丽的自然风光和丰富的文化历史交相辉映，构成独特的江峡风光。风景区共分6大景区40处景点，可以观赏到不少自然景观和人文景观：有与恐龙同时代生长的国家一类保护植物桫椤树；栩栩如生的神龟饮水既同出一源又各具特色，人称“笑佛”；传说中二郎神斩妖治水留下的“砍断山”、“龟都府”；古代南方丝绸之路通道之一的“竹箐关”古栈道及许多明、清时代遗留下来的古石刻和寺庙；利用天然岩石开凿建造了长45.3米、高12.5米的大型卧佛；描绘雕刻了80多幅释迦牟尼生平佛传故事和摩托车岩造像壁画；仿建国内108座名塔于一处，构成千塔佛国；此外，景区还恢复重建了洪雅名胜“奎星阁”等古建筑4个。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/11e75961fb8d23ae60ed79b731367eb3.jpg_480x360x95_fff8ab31.jpg,4.5,建议游览时间：3小时,,具体收费情况以现场公示为主,,1
瓦屋山风景区Wawushan Mountain Area,http://travel.qunar.com/p-oi715085-wawushanfengjingqu,"

地址:
眉山市洪雅县瓦屋山镇金花桥瓦屋山景区


电话:
028-36598888


官网:
http://www.chinawws.cn/

",瓦屋山位于洪雅县西南，是中国历史文化名山、道教发源地。该山海拔高达2830米，由于地质作用，形成向东西两侧略倾的屋脊状地形，从任何角度望去，此山整体上都状若瓦屋，因此得名“瓦屋山”。瓦屋山是一个较原始的地方，山上动植物众多，其中不乏多种国家保护动植物，被誉为“水的世界、洞的天下、花的王国、雪的摇篮、云的故乡、动植物的博物馆”。春季满山的杜鹃、珙桐相继盛开，山间鸟语花香，一派秀丽景色，让人流连忘返。而到了冬季，这里冰瀑、冰帘、雪凇、雾凇随处可见，山区银装素裹，分外妖娆，宛若人间仙境。此外，瓦屋山还是登山探险、休闲观光的好地方。走在瓦屋山的步道上，期间可能发现羚羊、黑颧、绿尾虹雉等国家保护动物，充满惊喜。也可以在雅女湖周边找一家农家乐，尝尝当地农家菜，非常惬意。,全年 08:00-17:00,https://tr-osdcp.qunarzz.com/tr-osd-vs-dapp-ugc/img/6f474f96df163345a98d1a5196890531.jpg_480x360x95_155e3f48.jpg,4.3,建议游览时间：3小时 - 5小时,,"{'瓦屋山风景区门票大小同价\n\n': ['¥10起'], '瓦屋山风景区门票+金花桥索道往返票成人票\n\n': ['¥185起'], '瓦屋山风景区门票+金花桥索道往返票优待票\n\n': ['¥138起']}",,1
柳江古镇Liujiang Old Town,http://travel.qunar.com/p-oi708010-liujiangguzhen,"

地址:
眉山市洪雅县明月南街


电话:
028-37526732,028-37527886

",柳江古镇位于花溪河支流柳江两岸，始建于南宋。曾家大院值得一看，它是古镇上较有名的大型庭院，整个庭院就像一个繁体“寿”字。院中有一株奇树，树上挂满了像豇豆般细细长长的果实。当地没人知道它的名字，也没人知道它的来历。在古镇游览，可以慢慢悠悠地品味古镇的独特魅力，体验一次慢生活的节奏。临河种植的古榕树与临水而建的街市构成了一幅山水画，尽显古镇的沧桑古朴。而到了晚上柳江古镇则换了一副面孔，酒吧、唱K、烧烤等各种娱乐生活都有。,全年 全天开放,https://img1.qunarzz.com/travel/d3/1608/f8/21f3f7363eff09b5.jpg_480x360x95_d20369d9.jpg,4.5,建议游览时间：9天 - 12天,夏季最为适宜。,"{'柳江古镇机导游(不含门票)手绘地图、语音讲解、路服务成人票\n\n': ['¥7起'], '成都周边游 瓦屋山+柳江古镇+槽渔滩纯玩两日游\n\n': ['¥239起']}",,1
幸福古村,http://travel.qunar.com/p-oi37806117-xingfugucun,,,,,5.0,,,具体收费情况以现场公示为主,,1
金府·穿越盛世,http://travel.qunar.com/p-oi36127159-jinfuchuanyueshengshi,,府·穿越盛世依托眉山城市的文化底蕴和人文山水的自然优势，打造了以“宫廷文化+神话奇景”互相融合的大型宫廷沉浸式互动街区。凭着高颜值和高品位，正在向世人绽放无所比拟的美。,,,4.9,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
无影教堂Shadow Church,http://travel.qunar.com/p-oi23340371-wuyingjiaotang,,无影教堂也叫中法科技园教堂，教堂呈纯白色，由多根立柱组成，由于独特设计呈现了光与影的梦幻效果，是拍照的好去处。,,https://tr-osdcp.qunarzz.com/tr-osd-vs-dapp-ugc/img/00d9adbc6467424202b29d0c7a0533cb.jpg_480x360x95_7d792ddf.jpg,4.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
梅湾湖,http://travel.qunar.com/p-oi706604-meiwanhu,"

地址:
位于四川丹棱县城西中隆乡梅湾村


电话:
0833-8196726

",梅湾湖，又名梅湾水库。位于丹棱县城西中隆乡梅湾村，距县城6公里，是七十年代大兴水利时建造的人工湖。集雨面积15.3平方公里，总库容1015万立方米，设计灌面3.16万亩，属中型水利工程，居丹棱水利工程之首。控灌丹棱镇、中隆乡、何场乡和唐河乡，还承担着丹棱县城市面上供水任务。,全天,,5.0,,,免费,,1
眉山三苏祠博物馆Three-Su Temple Museum,http://travel.qunar.com/p-oi706086-meishansansucibowuguan,"

地址:
眉山市东坡区纱縠行南段72号


电话:
028-38220186


官网:
http://www.sscbwg.com/

",三苏祠位于眉山市东坡区纱縠行，是北宋著名文学家苏洵、苏轼、苏辙三父子的故居。元代改宅为祠，明末毁于兵火，清康熙四年（1665）在原址上摹拟重建，是三苏纪念祠堂和人文旅游胜地。苏轼在此生活二十六年，其多篇诗文如《南轩梦语》《记先夫人不残鸟雀》《天石砚铭》等都回忆到儿时在此生活的情境。现占地106亩，保存有16处古建筑及苏宅古井、苏宅丹荔、黄荆古树等遗迹，收藏有宋拓本《醉翁亭记》《丰乐亭记》等数千件文物文献，陈列有三苏家训家风、生平成就、东坡书法碑刻，完整保留了三苏纪念祠堂的风貌，整体布局呈现“三分水，两分竹，祠在水中央”的特色，是西蜀园林的典范，国内规模大、保存最完好的三苏纪念祠堂。现为全国重点文物保护单位、国家AAAA级旅游景区。2018年1月，联合国教科文组织授予三苏祠“文化遗产保护荣誉证书”，称其“为中华文化在世界范围内的传播做出了巨大贡献”。,9:00-18:00,https://img1.qunarzz.com/travel/d4/1605/cf/ae7cf13a3ebcf7.jpg_480x360x95_5fd7039b.jpg,4.6,建议游览时间：1小时 - 3小时,,{'三苏祠门票成人票\n\n': ['¥40起']},,1
牛角寨大佛Horn Village Grand Buddha,http://travel.qunar.com/p-oi702988-niujiaozhaidafo,,牛角寨大佛在县城北35公里的高家镇鹰头村牛角寨山上，龙泉山脉中段东侧边缘，海拔为760米。南北西群山连接，重峦叠嶂；东面平畴，俯视千里。近看鹰头水库，远眺简阳市三岔湖。寨上古柏苍郁；寨东侧崖壁依山镌造弥勒佛胸像，坐西向东，双手齐胸合十，高为15.85米，宽达11米，在公元707年建成。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/a9817e331c2047b0b717a3501822fcd6.jpg_480x360x95_aa02b397.jpg,4.3,建议游览时间：0.5小时 - 2小时,,具体收费情况以现场公示为主,,1
中岩寺,http://travel.qunar.com/p-oi705153-zhongyansi,"

地址:
位于乐山市青神县东南9公里处

",位于乐山市青神县东南9公里处，傍岷江东岸，分上、中、下三寺，统称中岩，面积约5平方公里。中岩属龙泉山脉，最高处为慈姥岩，海拔616米。中岩以山水奇秀，林壑幽美而闻名，有“西川林泉最佳处”之说。传说是开山祖师弟五罗汉诺讵那尊者道场。,8:00至21:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-mapi/img/d001f4552425232e11dcea41e09bd494.jpg_480x360x95_368fd2b0.jpg,3.7,,,{'中岩寺电子讲解票大小同价\n\n': ['¥7起']},,1
