名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
沙湖生态旅游区Shahu Lake,http://travel.qunar.com/p-oi5159603-shahushengtailu:youqu,"

地址:
石嘴山市平罗县下沙公路(前进农场境内)


电话:
4001800952,0952-6685530


官网:
http://www.nxshahu.com/

",沙湖，位于银川市西北约50公里处的平罗县境内，是一处融江南水乡与大漠风光为一体的生态旅游景区。沙湖景区由北面的湖区和南边的沙漠区组成，沙漠区一边是湖，一边是人工渠，与陆地没有连接，去沙漠区必须购买游船票。在湖区内，你能够看到碧波荡漾的湖水，碧绿衬红的荷花园，还有一簇簇翠绿的芦苇丛，一幅江南水乡的风光。当你乘坐游船，到达了景区南边的沙漠区后，映入眼帘的则是一片金黄耀眼的沙丘，尽显北国大漠雄浑的风情。在沙漠区你还有机会欣赏到各国艺术家制作的散着异国风情的沙雕作品，每年的夏季，这里还会举办国际沙雕节。沙湖还是观鸟的好去处，湖区繁殖的斑嘴鸭、赤嘴鸭和苍鹭。此外还有数量众多的候鸟，时间主要集中在每年的4-5月和9-10月两个时期。候鸟期时，这里是百鸟争鸣，群鸟飞起时，遮天蔽日十分壮观。冬季沙湖还有冰雕展示和滑雪场。,全年 08:00-18:30,https://img1.qunarzz.com/travel/d3/1707/df/f6b61b18a0aad4b5.jpg_480x360x95_d3af1580.jpg,4.5,建议游览时间：3天,春秋最佳。,"{'沙湖旅游区门票+湖东湿地套票成人票\n\n': ['¥198起'], '沙湖旅游区门票+湖东湿地套票学生票\n\n': ['¥173起'], '沙湖旅游区门票+湖东湿地套票老人票\n\n': ['¥148起']}",夏天来的话一定要做好防晒措施。,1
马兰花大草原Malan Flower Prairie,http://travel.qunar.com/p-oi702452-malanhuadacaoyuan,,马兰花大草原位于有名的鄂尔多斯台地的边缘，共有草原面积0.67万公顷。北距平罗县37千米，西距银川市43千米。每年四月底五月初，上万亩的马兰花傲然怒放，用浓浓的紫色装扮着茫茫戈壁，用奇妙的光环轻轻摇曳着浩瀚无垠的大草原。观赏马兰花大草原的奇特美景，是一种人间少有的享受。每到秋季，牧草丰盛，正是草原风光美丽的季节。注：马兰花属兰花的一个品系，是多年生草本植物，不仅有观赏价值，而且茎叶可以造纸，根可制刷子，可以说全身是宝。 ,,https://img1.qunarzz.com/travel/poi/1712/ec/fb62974be31f8237.jpg_480x360x95_2916bb08.jpg,3.6,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
北武当North Wudang,http://travel.qunar.com/p-oi707531-beiwudang,"

地址:
石嘴山市大武口区西北贺兰山东麓

",北武当生态旅游区是国家2A级景区。位于石嘴山市大武口区西北贺兰山东麓，朝阳西街起始点。是一处集山、林、庙、地质遗迹、军事体验等为一体的综合性旅游区。景区内每年9月、10月举办北武当九九重阳登高节、庙会等活动。北武当生态旅游区由五个景点组成：占地1万余亩的人工生态林区－大武口森林公园，它展现了西北干旱荒漠地区生态建设的特有风貌。始建于清康熙四十年（1701）的北武当庙，为四进院落的建筑群，布局自然，错落相间，整座建筑结构精细，对称呼应，庄重优美，是一座儒释道三教合一的古庙。清光绪年间，慈禧太后曾钦书“护国寿佛禅寺”。省级地质公园－贺兰山北武当地质公园，占地68.8平方公里，园内地质遗迹富集，奇石嶙峋，象形石亦真亦幻，山势陡险，气势宏厚壮观。是一个拥有典型的地质历史演化过程的天然博物馆。韭菜沟，为贺兰山内的一条原始山沟峡谷，全长10余公里，清凉幽静，水草丰美。加上部分已荒弃的军事设施，更增加了扑朔迷离的氛围，是人们寻幽猎奇的好去处。发现于1994年的小渠子沟古树化石，为2亿多年前的古植物，属台木，出露地面约8米，树原长40多米，树径60厘米，具有较高的研究、观赏价值。,全年 8:00-18:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/d5f4cf93e8682909caf08a68e711c2e7.jpg_480x360x95_af0ded81.jpg,4.5,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
大武口森林公园Dawukou National Forest Park,http://travel.qunar.com/p-oi710703-dawukousenlingongyuan,,大武口森林公园位于大武口城区西北部贺兰山东麓，紧邻著名的旅游景点西夏古刹北武当庙(寿佛寺)旅游区。背靠贺兰山，怀抱大武口市区，占地面积1万亩，是大武口山水园林城市建设的重要成果，也是北武当生态旅游景区建设的重点项目。森林公园曾经是高低起伏的沙丘和乱石堆，除了生长着星星点点的芨芨草和又低又矮的酸枣树外，四周几乎无一棵树。每逢刮风天气，黄沙弥漫着整个城市，城市环境十分恶劣。从1997年11月开始，这里的人民经过10年种植，平整绿化带132万平方米，清运土方60余万立方米，更换土方2万立方米，种植35万平方米的草坪和3万平方米的苜蓿，森林公园共完成120个品种、32.1万株树木的栽植任务，树木成活率达到90%以上。森林公园的建成，对大武口市区防风固沙、涵养水源、美化家园、改善生态环境具有明显作用。,,https://img1.qunarzz.com/travel/poi/1803/54/3930e55fdb3d2937.jpg_480x360x95_ad530ac8.jpg,4.4,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
避暑山庄罗家园,http://travel.qunar.com/p-oi716412-bishushanzhuangluojia,,位于惠农县燕子墩汪家村以东海拔3000多米的贺兰山脚下的王泉沟口，是贺兰山脚下的一片绿洲，罗家园以其秀丽的景色，潺潺的泉水，清凉的气候，山水的交汇，独特的绿洲和鬼斧神工的幽谷险峰，形成了贺兰山下一个美丽的风景区。罗家园总面积约3万多平方米，园内山风习习，凉爽清新，幽静宜人。园中古树参天，百年桑树、核桃树和杏树、酸枣树等，把罗家园装扮得古色古香。在她的南面是一望无际的黄河平原，在自然形成的道路两旁，处处闪烁着西夏时期和明朝时期的古老文化色彩。沿山蜿...位于惠农县燕子墩汪家村以东海拔3000多米的贺兰山脚下的王泉沟口，是贺兰山脚下的一片绿洲，罗家园以其秀丽的景色，潺潺的泉水，清凉的气候，山水的交汇，独特的绿洲和鬼斧神工的幽谷险峰，形成了贺兰山下一个美丽的风景区。罗家园总面积约3万多平方米，园内山风习习，凉爽清新，幽静宜人。园中古树参天，百年桑树、核桃树和杏树、酸枣树等，把罗家园装扮得古色古香。在她的南面是一望无际的黄河平原，在自然形成的道路两旁，处处闪烁着西夏时期和明朝时期的古老文化色彩。沿山蜿蜒曲折的明长城遗址依稀可见。巨大的烽火台巍然屹立在长城的遗址上，虽经风吹日晒，历尽沧桑，大历史的烙印依然打动着每一个过往的行人。尤其是摆布在明长城以西宽旷空地上的一座座西夏贵族墓，更勾起了人们对西夏国的无限遐想。,,,5.0,,,,,1
田州古塔Tianzhou Ancient Tower,http://travel.qunar.com/p-oi708337-tianzhouguta,,距平罗县城20公里的田州塔，俗称姚伏塔，矗立在姚伏镇东一公里外的柳荫丛中。塔呈平面六角形，八层楼阁式砖塔，高38米，塔顶呈六边覆斗状，塔底直径为7.5米，南北各有一门，门墙上有对联，对联书法隽秀有力，对仗工整。在数百年漫长的岁月里，田州古塔经历了大小百余次地震。后又于清乾隆年间(1783年)重修。1980年平罗县人民政府拨款进行了维修。1985年古塔被定为重点文物保护单位。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/a449dbec7657c3c9249e5bb93173408d.jpg_480x360x95_6cf0a1ff.jpg,4.3,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
大漠沙湖滑雪场,http://travel.qunar.com/p-oi716206-damoshahuhuaxuechang,,沙湖滑雪场借助的是沙湖一望无垠的万亩冰园，得天独厚的自然条件也让来者乐此不疲。沙湖的优势在于溶身于冰天雪地的大自然之中，任何的娱乐完全可以发自内心，自娱自乐。这里的冰面娱乐设施充满童趣，诸如打老牛、溜冰车都是我们童年的游戏，信手拈起的一块雪或冰也有可能成为艺术创作，来自万亩冰雪上的清新空气是喧嚣都市中所不能呼吸到的。为了满足众多滑雪者的需要，沙湖最近隆重推出了一道寒鸭煲汤，冬天的鸭子最补，用文火炖后更是营养丰富，口感香浓。沙湖除拥有西北最美的“...沙湖滑雪场借助的是沙湖一望无垠的万亩冰园，得天独厚的自然条件也让来者乐此不疲。沙湖的优势在于溶身于冰天雪地的大自然之中，任何的娱乐完全可以发自内心，自娱自乐。这里的冰面娱乐设施充满童趣，诸如打老牛、溜冰车都是我们童年的游戏，信手拈起的一块雪或冰也有可能成为艺术创作，来自万亩冰雪上的清新空气是喧嚣都市中所不能呼吸到的。为了满足众多滑雪者的需要，沙湖最近隆重推出了一道寒鸭煲汤，冬天的鸭子最补，用文火炖后更是营养丰富，口感香浓。沙湖除拥有西北最美的“沙”和“湖”之外，已连续3年冬天举办“沙湖冰雪节”，吸引了银川以及周边热爱滑雪运动的游客。开展的冰雪项目主要有冰雕、雪雕、越野滑雪、自由滑雪、高坡雪橇滑雪、马拉雪橇、冰雪摄影等。现在沙湖湖面已经结冰，那里也是冰上活动的绝佳去处。特色：在沙山上造雪，从雪山上可以滑到冰湖中适合人群：有车一族，全家出动或者精力旺盛者自驾路线：银川出发沿石中高速至姚伏出口，或沿109国道至姚伏，可见沙湖的标识牌，沿标识牌即到。,,,--,,,,,1
石炭井工业遗址公园,http://travel.qunar.com/p-oi39638424-shitanjinggongyeyizhi,,,,,0.0,,,,,1
平罗黄河大桥,http://travel.qunar.com/p-oi39600095-pingluohuanghedaqiao,,,,,0.0,,,,,1
北武当庙,http://travel.qunar.com/p-oi39583675-beiwudangmiao,,,,,0.0,,,,,1
