名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
龙泉古镇,http://travel.qunar.com/p-oi37887496-longquanguzhen,"

地址:
河北省石家庄市鹿泉区槐安西路与山前大道交叉口东南200米


电话:
0311-82225888

",龙泉古镇景区位于河北省石家庄市鹿泉区，地处华北平原腹地，被评为“2020年度河北省十大文化产业项目”，总面积为948亩。古镇建筑材料采用花30多年时间在全国陆续收集的有着百余年历史的成套老房子、老门、老桥、老石刻等老物件异地重组复建而成的一座大型明清、民国古建筑集群。对于研究明清-民国期间建筑、民俗、婚俗、具有极高的社会价值。对于文化的传承、保护和发扬起到了积极的作用。,全年 09:30-22:00,https://flight-feed.qunarzz.com/as3/424/image/2022/7/57d67c3a-f7d3-4c85-9cfd-0d38b305cd00.jpg,3.8,建议游览时间：12小时 - 3天,,,,1
河北博物院Hebei Provincial Museum,http://travel.qunar.com/p-oi3755585-hebeibowuyuan,,,,,,,,,,1
漫山花溪谷Manshanhua Valley Scenic Area,http://travel.qunar.com/p-oi9554567-manshanhuaxigu,"

地址:
石家庄市灵寿县漫山村


电话:
0311-82601111,0311-82602222

",漫山花溪谷位于石家庄西北110公里太行深山区，毗邻五岳寨国家森林公园，是驼梁景区的必经之地，全长12.8公里，总面积20平方公里，与五岳寨主峰相通相连。谷内森林、山泉、草原、花园等自然资源得天独厚，10000亩原始次生林浓密葱郁，两条连天瀑布似白练垂空，顶端亚高原草甸广阔无垠，20万平米山地花园明媚光艳，一条清溪流贯全谷，繁花点缀溪旁，“花溪谷”故此得名。全部景点分三期开发，一期以山地花园为主要看点，依据花色品种不同分为翠锦园、烟紫园、落霞园、波斯园、大丽园、月季园、阳光园，七个区域，借助起伏的山势，层叠分布，错落有致。每年4-11月份，上百种花卉在这里竞相开放，姹紫嫣红。受山地阻隔，这里属于“康乐气候”，夏季平均气温19.1℃。,01/01-12/31 08:00-18:30,https://img1.qunarzz.com/piao/fusion/2106/63/8cf9f6189ac84c02.jpg_480x360x95_021291a2.jpg,4.5,建议游览时间：12小时 - 3天,,成人门票50元,,1
正定荣国府Zhengding Rongguofu,http://travel.qunar.com/p-oi711047-zhengdingrongguofu,,,,,,,,,,1
西柏坡纪念馆Xibaipo Memorial Hall,http://travel.qunar.com/p-oi720001-xibopojinianguan,,,,,,,,,,1
正定古城墙Zhengding Ancient City Wall,http://travel.qunar.com/p-oi712223-zhengdingguchengqiang,"

地址:
石家庄市桥西区中花市街与四中路交叉口南200米

",正定城始建于北周，初为石筑。由于历史的原因和近年城镇建设的发展，正定城除现存城门外、已多为土城。东城门已埋于国防工事之下，南门存里城门和瓮城门，西存里城门、瓮城门、北存里城门及月城门。唐宝应元年(762年)因滹沱河溢水灌城，城日以圮，执政者对城墙进行拓建。明正统十四年(1449年)，扩建为周长二十四里，高三丈二只，上宽二丈的土城。隆庆五年(1571年)真定知县顾授始将土城改为砖城，后任知县周应中申动府库银六万余两，征用真定府辖各县民夫，分段兴工，于万历四年(1576年)竣工。四城门东曰迎旭，南曰长乐，西曰镇远，北曰永安，并均附有月城和瓮城。后世重修或改建也均是在此基础上进行。在预防水患和军事防卫上起了重要作用。正定城墙于1993年7月15日被河北省人民政府公布为重点文物保护单位。 ,全年 全天开放,https://img1.qunarzz.com/travel/poi/1602/37/81bf1a5efaadebf7.jpg_480x360x95_082fe61b.jpg,4.7,建议游览时间：1小时 - 2小时,,"{'正定隆兴寺（大佛寺）门票成人票\n\n': ['¥45起'], '正定隆兴寺（大佛寺）门票优待票\n\n': ['¥25起']}",,1
驼梁风景区Tuoliang Scenic Area,http://travel.qunar.com/p-oi709645-tuoliangfengjingqu,"

地址:
石家庄市平山县驼梁景区管理委员会（平山县合河口乡前大地村）


电话:
0311-82499336


官网:
http://www.tuoliangshan.net/

",驼梁位于石家庄市平山县西北侧，距离石家庄市内的车程约140公里，因为山顶形状很像驼峰而得名，是河北省内的山峰。驼梁风景区内景点很多，山间有优美的峡谷、崖壁、瀑布、森林，山顶还可以观看草原和远处层叠的峰峦美景，适合来此登山观光。另外，驼梁山区内气候凉爽，夏季平均气温也只有20度左右，是一个避暑的好地方。驼梁风景区的面积很大，大概分为三叠泉、百瀑峡和云顶草原三个区域。三叠泉和百瀑峡事实上是指左右两条登山的路，后都通向山顶的云顶草原区域，驼梁的山顶也位于这...驼梁位于石家庄市平山县西北侧，距离石家庄市内的车程约140公里，因为山顶形状很像驼峰而得名，是河北省内的山峰。驼梁风景区内景点很多，山间有优美的峡谷、崖壁、瀑布、森林，山顶还可以观看草原和远处层叠的峰峦美景，适合来此登山观光。另外，驼梁山区内气候凉爽，夏季平均气温也只有20度左右，是一个避暑的好地方。驼梁风景区的面积很大，大概分为三叠泉、百瀑峡和云顶草原三个区域。三叠泉和百瀑峡事实上是指左右两条登山的路，后都通向山顶的云顶草原区域，驼梁的山顶也位于这一区域。游客来此游玩可以沿一条山路上山，游玩山顶区域后沿另一条路下山，走一个环线，全程步行游玩大约需要6-7小时。另外，三叠泉路线上有一条缆车，可以节省一半的登山路，若要乘坐缆车推荐从三叠泉上山，百瀑峡下山，全程大约需要4-5小时。景区内还有从大门到三叠泉入口的电瓶车，车程约2公里，价格7元。驼梁山的两条登山路都是峡谷型的，两侧山势俊秀，山间遍布着怪石，山壁下则有湍急的溪流和碧绿潭水，环境清幽，让人登山时心旷神怡。在峡谷里还悬挂着多条壮观的瀑布，其中以三叠泉路上的三潭飞瀑、通天瀑和百瀑峡路上的人字瀑、飞龙瀑比较，可以注意观看。相对而言，百瀑峡的景观要比三叠泉丰富一些。除了一样的峡谷美景外，百瀑峡的路上还有松林、白桦林、杨树林和很多古树，登山时穿行在树木之中会感觉清新惬意。而每到秋天时，树叶变黄变红，层林尽染的景观也非常适合拍照。云顶草原位于山顶区域，是两条登山路的终点。这里有开阔的高山草甸景观，草甸外围还生长着茂密的松林，也是拍照的好地方。每到夏季时，草甸上野花遍布，形成一片五彩的花海，非常漂亮。从云顶草原向上步行约半小时左右即可到达海拔2281米的驼梁山顶，这座山峰也是石家庄的高峰。在山顶远眺，可以看到周围山峦叠嶂，周围的五台山、五岳寨等山川尽收眼底，视野非常开阔。住宿信息游客游玩驼梁大多是前一天晚上即赶到景区附近，在景区山下的前大地村内住宿1-2晚。前大地村内目前有多家农家乐，还有几家宾馆，住宿条件还不错，而且这里气候凉爽，夏季住宿非常舒服。普通农家的房间平时每晚100-150元左右，宾馆标间大约200-300元左右。但每到旺季的周末时段均会上涨100元左右，而且房间紧张，需要提前预定。前大地村旅游接待比较成熟，除了可以住宿用餐外，还有篝火晚会、KTV等娱乐活动和设施，感兴趣的可以前去游玩。当然，因为这些娱乐活动晚上村内也会比较喧闹，喜欢安静的游客可以选择位置相对偏一点的农家居住。 ,全年 06:00-15:00;全年 07:00-14:30,https://img1.qunarzz.com/travel/d6/1507/40/0c88bb3259ef95.jpg_480x360x95_75170758.jpg,4.6,建议游览时间：3天,,65元,,1
贾庄古镇,http://travel.qunar.com/p-oi38013380-jiazhuangguzhen,"

地址:
河北省石家庄市井陉矿区贾庄村

",贾庄古镇位于井陉矿区西北部，历史悠久，底蕴深厚，民风淳朴，商家云集，有着几千年历史的古集镇,全年 全天开放,,--,建议游览时间：12小时 - 3天,,,,1
正定古城,http://travel.qunar.com/p-oi38000855-zhengdinggucheng,,正定古城位于河北省会石家庄市北15公里处，是按照中华传统规划思想和建筑风格建设起来的城市，集中体现了公元5世纪至19世纪前后中国的历史文化特色， 是古代劳动人民的聪明才智和坚强毅力的结晶。历史上曾与保定、北京并称为“北方三雄镇”，至今南城门还嵌有“三关雄镇”的石额，正定是三国名将赵子龙的家乡。源远流长的历史，给古城留下了瑰玮灿烂、风格独特的文化名胜古迹，素以“三山不见，九桥不流，九楼四塔八大寺，二十四座金牌坊”而著称。“三山不见”指的是历史上正定这块土地曾是中山国、恒山郡、常山郡的治所所在，但正定境内却没有山。“九桥不流”说的是隆兴寺前面的一座单孔三路石桥、府文庙和县文庙大殿前面各有的一座泮桥（古代泮桥均为三桥并列的形制），但都无活水流过。“九楼四塔八大寺”指的是原城内的四个门楼、四个角楼、还有阳和楼；四塔是凌霄塔、华塔、须弥塔、澄灵塔；八大寺指的是隆兴寺、广惠寺、临济寺、开元寺、天宁寺、洪济寺、舍利寺、崇因寺，后三寺已毁。“二十四座金牌坊”是过去正定拥有大大小小二十四座金牌坊，例如像较大的许家牌坊、梁家牌坊、常山古郡、圣德通天、德配天地、木铎万事等。但是由于历史的变迁，风吹雨打，尤其是经历十年文革动乱，不少珍贵的文物被毁坏了，但从现有的国家保护文物9处、省级保护文物6处、县级保护文物10余处来看，正定仍不失为历史文化名城的风采。古城正定于1990年被列为省级历史文化名城，1994年被列为历史文化名城。正定的旅游具有“亦新亦古”、“亦雅亦俗”等特点。在名胜古迹中，始建于隋开皇六年（公元586年）的隆兴寺是宋代开国皇帝赵匡胤亲自敕封扩建的，气势雄伟保存完好，在国内外享有很高的声誉，被古建筑学家梁思成先生誉为“京外名刹之首”。寺中的“倒坐观音”壁塑，被鲁迅先生称为“东方美神”。“转轮藏”被物理学家称为牛顿定律运作的典范，还有中国的藏经橱。隋龙藏寺碑是中国国内较知名的古碑刻之一，其字体是由汉隶向唐楷演变的实例，曾被康有为推崇为“隋碑第一”；还有高22米的大佛是我国现存较早也是较高的铜铸立佛；平面十字形的“摩尼殿”运用典型的宋代营造手法建筑。正定周边还有四座名塔，广惠寺的华塔是金钢塔与花塔的巧妙结合。天宁寺的凌霄塔是我国木制阁塔之首。开元寺的唐代钟楼与古塔左右对称的营造手法，是我国佛教寺院建筑格局由以佛塔为中心向以佛殿为中心过渡的实例。临济寺的澄灵塔是佛教临济宗创始人义玄法师的衣钵塔，已经成为中日友好的见证和纽带。坐落在正定城内的荣国府是完全按照曹雪芹的名著《红楼梦》中的描述，并严格遵照中国《大清会典》设计、修建的，是我国第一座具有明清建筑风格的仿古建筑群。大型电视连续剧《红楼梦》的大部分场景就是在这里拍摄的。荣国府西郊门的清代一条街“宁荣街”全长200多米。电视剧《红楼梦》中的重场戏“元妃省亲”“秦可卿出殡”等都是在此街上拍摄的。正定古城墙编辑 语音正定古城已有1600多年历史。东晋时土筑，北周时石砌，唐代扩建为土城，明朝扩建后改为周长24华里的砖城。现存正定城墙是明代遗存，城垣残存8106米。正定城垣最宏伟壮观的当数四座城门，东曰迎旭，后改为环翠，南曰长乐，西曰镇远，北曰永安。经岁月剥蚀，西、北城门已无往日风采，东门在上世纪六十年代被整体掩盖在国防工事下面。此前南城门城楼及两侧各50米的城墙，号召百姓捐献旧城砖，并投资399万元人民币于2001年修复完成。,,,4.8,建议游览时间：12小时 - 3天,,,,1
德明古镇Deming Ancient Town,http://travel.qunar.com/p-oi29460429-demingguzhen,"

地址:
石家庄市鹿泉区010乡道东50米


电话:
0311-89175111

",德明古镇是石家庄市鹿泉区的一座以元曲文化为主题的文化特色小镇。它坐落在美丽的问情谷。古镇中的建筑吸纳了金元明清时期建筑的精华，桥楼榭亭设计精巧、古朴典雅 ，古镇里有一条清澈的河水穿过，更让游客深刻体验到秦淮河边的古老风情。德明古镇全长两公里，它借鉴了中国名画《清明上河图》的建筑形式，打造有风俗民情的街区古建，包括兴业苑、美食苑、百乐苑、民宿苑、书院、梨园六个区域。德明古镇有自身特色商业配套，凭借其优势，为游客提供吃喝玩乐购于一体的独特体验。,全年 9:30-22:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/a431aa549ae559b988922550712e4ed3.jpg_480x360x95_56066c5a.jpg,2.6,建议游览时间：12小时 - 3天,,,,1
