名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
石河子高新农业技术园Shihezi High-tech Agricultural Technology Park,http://travel.qunar.com/p-oi716520-shihezigaoxinnongyeji,,,,https://img1.qunarzz.com/travel/d8/1511/70/4b477431fbb068f7.jpg_480x360x95_5b3aed4d.jpg,4.8,,,具体收费情况以现场公示为主,,1
石河子南山风景区Shihezinan Mountain Sceneic Area,http://travel.qunar.com/p-oi18715781-shihezinanshanfengjing,"

地址:
石河子市市区南约80公里处

","石河子南山风景区位于石河子市南约70公里处,为天山山脉余脉。景区内道路曲回，山势险峻，幽谷纵横，树木参天，泉涌草绿，鸟语花香，哈萨克民族风情浓郁，是休闲度假的好去处。",全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/fc1d4eb5c515b94c4e756810a6a44766.jpg_480x360x95_52a97a7f.jpg,4.7,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,1
北湖公园Beihu Park,http://travel.qunar.com/p-oi10002492-beihugongyuan,"

地址:
塔城地区沙湾县大泉沟派出所东侧


电话:
0817-2807938

",这里建起了长廊、亭台、水上码头，配置了快艇、游船、水上摩托、水上降落平台，开展了游泳、划船、冲浪、钓鱼等活动项目。目前景区内水面碧波荡漾，快艇飞梭，游船慢逸，情侣依依，卧龙长坝，垂柳相拥。垂垂钓者悠然自得，游泳者足踏万波，加之湖中天鹅、大雁等几十种水鸟相嬉，假山、古亭相衬，俨然一幅江南水乡图。每年的7月16日，是盛况空前的“北湖节”。当日，人们从四面八方赶来，划船、游泳、唱歌、跳舞、垂钓、野餐。冬不拉、热瓦甫的乐曲从早到晚在湖畔飘扬，烤羊肉、拉条子、手抓饭、凉皮子等风味小吃摊多达上千个，再加上飘香溢彩的瓜果，热情美丽的姑娘，共同构成了独特的石河子文化现象。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/f25edd08ea6ddce42d0b8ff3ea68d603.jpg_480x360x95_c910406c.jpg,4.3,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
巴音沟河,http://travel.qunar.com/p-oi716681-bayingouhe,"

地址:
新疆石河子市西60公里处的天山北麓巴音沟河山口

","巴音沟河，这条兵团境内最完整的河系源源流淌进泻，至今担负着三团一乡的农业灌溉任务。她具有独特的特点，流速快，含沙量大。为净化渠水，在距巴音山庄一公里处的引水渠主干道上，有一涡流奇观它具有高效排沙的功能。排沙时涡管景点特别诱人，水漫漫下降，至快露底时，薄薄的细沙形成沙沟纹，使人联想起沙漠风情。待锅底被激流冲洗后，水又开始不断上涨，旋涡不断地扩大，多余的水从锅里向外倾泻，形成了弧形瀑布，令人赏心悦目。 若您游兴未尽，沿着干渠北上，到安二库尽赏水上风光...巴音沟河，这条兵团境内最完整的河系源源流淌进泻，至今担负着三团一乡的农业灌溉任务。她具有独特的特点，流速快，含沙量大。为净化渠水，在距巴音山庄一公里处的引水渠主干道上，有一涡流奇观它具有高效排沙的功能。排沙时涡管景点特别诱人，水漫漫下降，至快露底时，薄薄的细沙形成沙沟纹，使人联想起沙漠风情。待锅底被激流冲洗后，水又开始不断上涨，旋涡不断地扩大，多余的水从锅里向外倾泻，形成了弧形瀑布，令人赏心悦目。 若您游兴未尽，沿着干渠北上，到安二库尽赏水上风光，或划船、或游泳、或垂钓。或坐快艇过把瘾，这才算是潇洒走一回。 ""巴音山庄""山美、水美、人更美，这里青砂碧波蕴商机。从天山山脉到流域灌区，从巴河源头到阡陌桑田都潜藏着旅游资源，巴管处党委慧眼卓识，将在18平方公里的水库水面上开发夏季水上游戏，冬季冰上运动项目；在巴音山庄以南大面积的山坡上开辟冬季滑雪场；在山头间修建高山溜索开展冲击极限项目；在巴音沟河干渠上开发水上惊险漂流项目。竭诚把""巴音山庄""建设成为既保持原始地域特色，又有新建园林的别致与浪漫具有独特风貌的旅游盛地。如今，""巴音山庄""已被自治区评定为国家AA级旅游景区，未来的""巴音山庄""将更具魅力。 巴管处党委热忱欢迎各界仁人志士参与投资开发""巴音山庄""旅游项目，共图发展大业。",全天,,5.0,,,免费,,1
游憩广场Shihezi Music Cultural Square,http://travel.qunar.com/p-oi712133-youqiguangchang,"

地址:
北三路

",广场集花草树木、音乐喷泉、雕塑于一身。是石河子市民喜欢光顾的地方，也是来石河子旅游的人们不愿错过的地方。整个广场由中、东、西、南四部分组成。中间为中心广场，是主景区，东西两侧为园林绿地，南侧由绿地和工人文化宫组成。,全年 全天开放,https://img1.qunarzz.com/piao/fusion/1701/d8/57db36407ff22902.jpg_480x360x95_e51b4130.jpg,4.7,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
周恩来总理纪念碑Zhou En'lai Monument Hall,http://travel.qunar.com/p-oi701884-zhouenlaizonglijinian,"

地址:
石河子市北泉路360号


电话:
0993-2250530

",该纪念碑座落在石河子市北郊，距市中心3公里。纪念碑南侧是总理纪念厅，北侧是纪念馆。南侧碑文是1965年周总理视察兵团题词，北侧碑文是周总理在第三届全国人民代表大会作的政府工作报告中的摘录，背面是建碑志文。统观纪念碑，挺拔高耸，造型凝重，风格淳朴雄浑，碑前的花卉和松柏，给人以温和严肃之感。    1965年7月5日，周总理来石河子视察工作，接见了上海支边青年代表。1976年1月8日，周总理与世长辞，为缅怀周总理的丰功伟绩，总场党委决定，建筑纪念碑。碑址造在当年周总理接见上海支边青年代表时所在的地方。周总理享年78岁，所以碑身筑7.8米，周总理来此视察时67岁，所以碑文位高6.7米。后又增建了周总理纪念厅，将原展厅扩建为周总理纪念馆。    ,"全年 10:00-13:00,16:00-18:00;全年 周一 全天不开放",https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/67087977e6f90550dc3ba3a71304c813.jpg_480x360x95_a75be027.jpg,4.6,建议游览时间：1小时,,暂时停业，具体营业时间详见公示。,,1
屯垦第一连,http://travel.qunar.com/p-oi702543-tunkendiyilian,"

地址:
新疆维吾尔自治区石河子市境内的玛纳斯河西岸的红山北麓

","位于石河子境内的玛纳斯河西岸的红山北麓。这里原是五十年代垦荒连队的驻地，保存着当年垦荒时的地窝子群、干打垒伙房、蓄水涝坝等军垦遗迹，还有木轮牛车、木犁、石磨等垦荒工具和生活用品。2002年--2003年，农八师152团投资300多万元，在当年垦荒连队驻地原址上建造了由军垦第一犁型彩门、军垦地窝子、军垦打麦场、打靶场、滑雪场、合作社等集餐饮、住宿、游憩、休闲、度假、游览、教育为一体的参与性较强的旅游景点""军垦第一连""--一个活的、流动的军垦博物馆。若游客徜徉其间，地...位于石河子境内的玛纳斯河西岸的红山北麓。这里原是五十年代垦荒连队的驻地，保存着当年垦荒时的地窝子群、干打垒伙房、蓄水涝坝等军垦遗迹，还有木轮牛车、木犁、石磨等垦荒工具和生活用品。2002年--2003年，农八师152团投资300多万元，在当年垦荒连队驻地原址上建造了由军垦第一犁型彩门、军垦地窝子、军垦打麦场、打靶场、滑雪场、合作社等集餐饮、住宿、游憩、休闲、度假、游览、教育为一体的参与性较强的旅游景点""军垦第一连""--一个活的、流动的军垦博物馆。若游客徜徉其间，地窝子、劳动生产工具、军垦涝坝、旧军大衣、马套车、黑白图片及解说词构成的氛围，使人仿佛回到了蹉跎岁月。游客在长廊、草亭、湖水等景地尽情地穿梭中将不知不觉接受爱国主义教育。""军垦第一连""不仅是人们的休闲旅游度假区，也是爱国主义教育基地和国防教育基地，更是弘扬石河子精神、兵团精神、军垦精神的极好场所。游客在此不仅能感受到五十年前开拓者的艰辛，对比现代，更是一种强烈的震撼。",全天,,--,,,20元,,1
景观河,http://travel.qunar.com/p-oi38135185-jingguanhe,,,,,--,,,具体收费情况以现场公示为主,,1
幸福路步行街,http://travel.qunar.com/p-oi38094803-xingfulubuxingjie,,"幸福路步行街位于石河子，该街分为东街特色经营区和西街城市记忆区，其中，西街城市记忆区还原了上世纪80年代的生活场景，并将“军垦元素”融入到商业街中，街上有老式照相馆、旧车站和绿皮火车头等。
",,,--,建议游览时间：3小时 - 4小时,,具体收费情况以现场公示为主,,1
西公园,http://travel.qunar.com/p-oi37190279-xigongyuan,,,,,0.0,,,具体收费情况以现场公示为主,,1
石河子科技馆,http://travel.qunar.com/p-oi37189761-shihezikejiguan,,,,,5.0,,,具体收费情况以现场公示为主,,2
丫丫影像纪念馆,http://travel.qunar.com/p-oi37189493-yayayingxiangjinianguan,"

地址:
北四路231号(北区清真食堂地下室石大龙超市内)


电话:
0993-7598759

",,全年 10:30-23:30,,0.0,,,具体收费情况以现场公示为主,,2
石河子人民公园,http://travel.qunar.com/p-oi35444703-shihezirenmingongyuan,,"公园的南面为林业区，一片葱郁，名贵的樟子松、红皮云杉、杜松等几十种树，在这里安家落户几百种树木竟秀生长。占公园面积三分之二的是游览区。北门的东侧是花圃、花房，花卉品种达600余种。动物园在公园的西北角，建有猴馆、熊山、飞禽馆等，各种动物几十种。开屏的孔雀，天山的马鹿，还有那棕熊，经历一段千里姻缘之后，已在这里生儿育女,成为新疆动物界里的一段美谈。公园北门是人工湖和湖心岛。这里碧波荡漾，垂柳依依，人们轻摇划浆，泛舟湖上，好不逍闲。湖中的湖心岛，绿檐红柱...公园的南面为林业区，一片葱郁，名贵的樟子松、红皮云杉、杜松等几十种树，在这里安家落户几百种树木竟秀生长。占公园面积三分之二的是游览区。北门的东侧是花圃、花房，花卉品种达600余种。动物园在公园的西北角，建有猴馆、熊山、飞禽馆等，各种动物几十种。开屏的孔雀，天山的马鹿，还有那棕熊，经历一段千里姻缘之后，已在这里生儿育女,成为新疆动物界里的一段美谈。公园北门是人工湖和湖心岛。这里碧波荡漾，垂柳依依，人们轻摇划浆，泛舟湖上，好不逍闲。湖中的湖心岛，绿檐红柱，楼亭阁宇，一派江南风光。儿童乐园自然是儿童的天地，这里有自控游艺飞机，空中飞椅，碰碰车游艺场，是孩子们游乐的“天堂”。公园里的游泳池，民俗村更让游人留忘返，乐不思归......",,https://img1.qunarzz.com/piao/fusion/1701/f5/0100580448635b02.jpg_480x360x95_70296cb4.jpg,--,,,,,2
一鸣水上乐园,http://travel.qunar.com/p-oi35440358-yimingshuishangleyuan,,全方位感受水上乐园的动感刺激，炎炎夏日消暑度假之胜地，一鸣水上乐园众多玩乐项目等你来。,,,--,,,,,2
石河子将军山滑雪场,http://travel.qunar.com/p-oi35435586-shihezijiangjunshanhua,,石河子将军山旅游区滑雪场集高级滑雪道、盘山公路为一体，使将军山绿化、旅游、休闲等基础设施进一步完善。 新建的滑雪道除了在冬季用于滑雪外，其他季节则将成为游客徒步或乘坐机动车辆登将军山观看美景的又一条方便快捷的盘山公路。,,,--,,,,,2
石河子卧龙山滑雪场,http://travel.qunar.com/p-oi35433287-shiheziwolongshanhuaxue,,雪场总占地39万平方米，其中滑雪雪道面积12万多平方米，戏雪场地面积5万多平方米。完善后的雪场建有各种标准场地，分别为: 200多米的自行车场地; 200多米的雪橇场地; 200多米的教学场地; 250多米的雪圈场地; 300米的爬犁场地;4000米的雪地摩托场地; 700米的中级雪道; 700米、 750米的高级雪道、1200米的综合雪道、500一200米的索道等，让您充分感受冰雪带来的刺激与快乐。,,,--,,,,,2
桃源农业生态旅游区,http://travel.qunar.com/p-oi35431710-taoyuannongyeshengtai,,石河子西部新丝路旅游开发有限公司桃源农业生态旅游区，位于天山北坡经济带中心，距花园镇（143团农场）南3公里，戈壁明珠石河子市18公里处。景区占地4.63平方公里。由自然生态（卡子湾水库内野生红柳林、芦苇荡）、特色农业（万亩蟠桃园）和戈壁绿洲大农业三者组合而成。集新疆兵团军垦文化、西部风情文化和餐饮、住宿、娱乐、购物、观光、休闲为一体的旅游风景区。石河子西部新丝路旅游开发有限公司成立于2004年5月。注册资金为150万元人民币。2005年8月被评为国家水利风景区；2006...石河子西部新丝路旅游开发有限公司桃源农业生态旅游区，位于天山北坡经济带中心，距花园镇（143团农场）南3公里，戈壁明珠石河子市18公里处。景区占地4.63平方公里。由自然生态（卡子湾水库内野生红柳林、芦苇荡）、特色农业（万亩蟠桃园）和戈壁绿洲大农业三者组合而成。集新疆兵团军垦文化、西部风情文化和餐饮、住宿、娱乐、购物、观光、休闲为一体的旅游风景区。石河子西部新丝路旅游开发有限公司成立于2004年5月。注册资金为150万元人民币。2005年8月被评为国家水利风景区；2006年元月被评为全国农业旅游示范点；2009年7月获得国家3A级旅游风景区称号。,,,--,,,,,2
中国人民解放军二十二兵团领导创业旧址Zhongguo Renmin Jiefangjun Ershi'er Bingtuan Lingdao Chuangye Site,http://travel.qunar.com/p-oi35139368-zhongguorenminjiefang,,,,,0.0,,,具体收费情况以现场公示为主,,2
鸭子泉村Yaziquan Village,http://travel.qunar.com/p-oi26960001-yaziquancun,,,,,0.0,,,具体收费情况以现场公示为主,,2
石河子新世纪步行街XinShiJi BuXingJie,http://travel.qunar.com/p-oi24441699-shihezixinshijibuxing,,,,,0.0,,,具体收费情况以现场公示为主,,2
石河子温州商业街Shihezi WenZhou ShangYeJie,http://travel.qunar.com/p-oi24439576-shiheziwenzhoushangye,,,,,0.0,,,具体收费情况以现场公示为主,,3
世纪公园Shiji Park,http://travel.qunar.com/p-oi20969677-shijigongyuan,,世纪公园占地面积五十多公顷，园内有音乐喷泉、旱喷泉、人工湖、假山、亭廊等景致，还种植众多常绿树种，环境优美，是您休闲放松的好地方。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/cd9d66a1990fd6dbf2b45633216d2729.jpg_480x360x95_277ed0be.jpg,5.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,3
石河子群众艺术馆ShiHeZi QunZhong YiShuGuan,http://travel.qunar.com/p-oi19630691-shiheziqunzhongyishuguan,,,,,,,,,,3
艺新画廊,http://travel.qunar.com/p-oi19535243-yixinhualang,,,,,--,,,,,3
新食袋,http://travel.qunar.com/p-oi19524135-xinshidai,,,,,--,,,,,3
石河子图书馆Shihezi Library,http://travel.qunar.com/p-oi19516902-shihezitushuguan,"

地址:
北三路一号小区116号军垦博物馆北


电话:
7505206

",石河子图书馆有电子阅览室、报刊室、多媒体室等，还设有电子信息搜索机器以便于快速搜索到你想找的书籍，是一个适合看书和自习好地方。,全年 周二-周日 10:00-20:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/e5007579a42277e11a14051e17564392.jpg_480x360x95_c56c1207.jpg,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,3
趋势传媒,http://travel.qunar.com/p-oi19504282-qushichuanmei,,,,,--,,,,,3
二号小区广场,http://travel.qunar.com/p-oi19462382-erhaoxiaoquguangchang,,,,,--,,,,,3
石河子市政广场Shihezi Shizheng Square,http://travel.qunar.com/p-oi18715782-shihezishizhengguangchang,,石河子市政广场位于市政府前，广场上绿树成荫、花草繁茂，有休闲区、喷泉、人工湖、健身设施等，是休闲、健身、垂钓的好地方。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/cfa8d11c6378ffa08fbe08a06e0cf530.jpg_480x360x95_88a7dad1.jpg,4.9,建议游览时间：2小时,,,,3
军垦第一连The first army reclamation company,http://travel.qunar.com/p-oi10002507-junkendiyilian,,军垦第一连位于石河子境内的玛纳斯河西岸的红山北麓。这里原是五十年代垦荒连队的驻地，保存着当年垦荒时的地窝子群、干打垒伙房、蓄水涝坝等军垦遗迹，还有木轮牛车、木犁、石磨等垦荒工具和生活用品。2002年～2003年，农八师152团投资300多万元，在驻地原址上建造了由军垦第一犁型彩门、军垦地窝子、军垦打麦场、打靶场、滑雪场等组成的参与性较强的旅游景点“军垦第一连”。这里不仅是爱国主义教育基地和国防教育基地，更是弘扬石河子精神、兵团精神、军垦精神的极好场所。游客在此不仅能感受到五十年前开拓者的艰辛，对比现代，更是一种强烈的震撼。,,https://img1.qunarzz.com/travel/poi/1712/42/2101313fcb9a7037.jpg_480x360x95_4fecade6.jpg,4.7,建议游览时间：1小时,,具体收费情况以现场公示为主,,3
石河子大学Shihezi University,http://travel.qunar.com/p-oi10002504-shihezidaxue,"

地址:
石河子市向阳街道北四路221号石大派出所附近


电话:
0993-2058030

",石河子大学位于石河子市，拥有农、医、工、经济、管理、文、理、法、教育、历史等十大学科门类。学校设有20个学院，拥有3个博士学位授权点，31个硕士学位授权点，54个本科专业，11个农业部、自治区、兵团重点学科，2个省部共建重点实验室，23个各类研究机构，教学科研仪器设备总值1.7116亿元，公开出版发行5种学术刊物。校园面积173万平方米，校舍面积78万平方米，实验室面积15万平方米。拥有设施完善的图书馆、体育馆、标准体育场等一批标志性建筑。图书馆藏书212万册，内有联合国粮农组织（FAO）藏书点，是国家“863”计划中国数字图书馆新疆唯一的高校示范工程项目。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/521adbd65e8768be6c9758267a640563.jpg_480x360x95_49930268.jpg,4.8,建议游览时间：1小时,,,,4
兵团军垦博物馆Xinjiang Corps Army Reclamation Museum,http://travel.qunar.com/p-oi10002500-bingtuanjunkenbowuguan,"

地址:
石河子市北三路59号


电话:
0993-2012111,0993-2093220

",兵团军垦博物馆位于石河子市内，是反映新疆生产建设兵团军垦历史和发展的专题博物馆。博物馆位于新疆的文物建筑“军垦一楼”内，通过众多的的文物、图片说明展示了石河子古代历史、军垦历史和后续发展等情况，是了解生产建设兵团历史的好去处。博物馆现在主要有三个展厅。一个为“古代石河子”，陈列了石河子出土的石器、陶器、青铜器等，展示了石河子在远古时期的人类活动遗迹。第二个展厅为“辉煌的历史”，向人们展示了生产建设兵团初到新疆时在戈壁上屯垦开拓的故事，有众多军垦战士使用过的农具、衣物等，反映了当时的艰苦过程。第三个展厅为“足迹在延伸”，反映了现在的石河子风貌和发展。,全年 周二-周日 10:30-18:00;全年 周一 全天不开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/9d8dc589f9a3ddee4e378dc3c05e1866.jpg_480x360x95_a6e43a0b.jpg,4.7,建议游览时间：1小时 - 2小时,,,,4
音乐喷泉,http://travel.qunar.com/p-oi10002499-yinlepenquan,,进入石河子游憩广场，首先映入眼帘的就是音乐喷泉。该音乐喷泉自1998年改建后焕然一新。现占地1600平方米，长约96米，主体由梅花池、方池及左右两个长池组成。音乐喷泉是由中国科学院戎吉宝先生设计，钟捺民先生共同协助组建而成的。有蒲公英、交叉花、螺旋花、雪松、动彩桥等十几种花纹，还能通过激光使向上喷溅的水花形成各种文字、奇特图案，令人眼花缭乱、目不暇接。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/3997d7de8e1e9a69a6167039138957cc.jpg_480x360x95_a97fe6eb.jpg,4.8,建议游览时间：1小时,,具体收费情况以现场公示为主,,4
