名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
平潭岛Pingtan Island,http://travel.qunar.com/p-oi714512-pingtandao,"

地址:
福建省平潭综合实验区


电话:
18650425596,18650427213

",平潭岛亦称海坛岛，位于福州市平潭县境内。该岛为我国第五大岛，岛上时常“东来岚气弥漫”，别称“东岚”。全岛海岸蜿蜒曲折，岸线长达四百多公里，为优质海沙滩。岛上有三十六脚湖、石牌洋礁、仙人井、一片瓦、壳丘头遗址等名胜古迹，还有龙凤头度假村、坛南湾海滨浴场等休闲场所，是滨海旅游度假胜地。平潭岛北、东、南三面有长江澳、海坛湾、坛南湾三大海滨沙滩，沙质细白，海水清澈湛蓝，相互连接，背后有葱郁的防护林带，海上有岛屿岩礁，景色十分宜人。,全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/a5938140badf899c496a6f0516fc536f.jpg_480x360x95_8faa5101.jpg,4.5,建议游览时间：3小时 - 4小时,春秋最佳。,"{'仙人井门票成人票\n\n': ['¥21起'], '仙人井门票儿童票\n\n': ['¥11起'], '仙人井景区门票学生票\n\n': ['¥11起']}",来平潭玩的话，花费主要是交通费和食宿费。平潭的景点一般都不用门票。,1
三坊七巷Sanfang Qixiang,http://travel.qunar.com/p-oi713884-sanfangqixiang,"

地址:
福州市鼓楼区三坊七巷


电话:
0591-87675791,0591-83890057


官网:
http://www.fzsfqx.com.cn/

","""三坊七巷""地处福州市中心，是南后街两旁从北到南依次排列的十条坊巷的概称。""三坊""是：衣锦坊、文儒坊、光禄坊。""七巷""是：杨桥巷、郎官巷、安民巷、黄巷、塔巷、宫巷、吉庇巷。""谁知五柳孤松客，却住三坊七巷间""，这是一整片的古民居，它从明朝开始初建，经过明清两代数百年的历史，大部分建筑仍保存完好，街区里面有许多名人故居，还有个民俗博物馆。要了解一座城市并不一定要走遍这座城市的大街小巷，可以选择一条老街，慢慢悠悠地行走其间，走过三坊七巷的同时，你也走近了福州。来这里，主要就是看这些建筑物及名人故居。这里的民居，门窗漏花皆采用镂空精雕，有丰富的图案雕饰，精巧的台阶、门框、花座、柱杆随处可见 。区域内，基本都是窄窄的小巷，白墙瓦屋、黄色木制的房屋。坊巷纵横，石板铺地，有的街巷弯曲，有的笔直，大同小异，每个坊巷口都有一个石刻的牌楼。从南后街的牌坊进入后，先看到的是杨桥路，它是七巷北面的一条巷，杨桥路上有林觉民和冰心的故居，《我的故乡》中对故居有生动的描述。再继续往前走是郎官巷，中国近代启蒙思想家、翻译家严复的故居坐落在此。除外，这里还有个二梅书屋，也就是之前所说的民俗博物馆。然后是塔巷及黄巷，黄巷在塔巷之南，巷内历代多住儒林学士，有个叫小黄楼的小景，郭柏荫故居（天开园红木博物馆）也在这里。衣锦坊是三坊中的第一坊，坊中16号为清嘉庆进士郑鹏程居宅，其中的衣锦坊水榭戏台较有特色。再继续往前是安民巷，抗日战争时期，新四军驻闽办事处设在其间。今此老宅列为文物保护单位。文儒坊是第二坊，清代的""民进士""之家（五代都中进士）陈承裘故居在此。之后的宫巷里的豪门住宅结构精巧，单是室内的木雕石刻构件就今人叹为观止。再之后的光禄坊是三坊中的一坊，以光禄吟台有名。除了看景点，在这片古建筑步行街上，也跳动着时代的脉搏。星巴客、麦当劳与老字号的""永和鱼丸""、""福州软糕店""并排而立。不妨在街上吃吃福州的特色小吃肉燕（又称燕皮馄饨），又或者在鱼丸店里吃鱼丸，鱼肉做的皮、猪肉的馅，特别鲜美。",全天开放，其中商铺开放时间各不相同。,https://img1.qunarzz.com/travel/d3/1511/78/d945f119614312f7.jpg_480x360x95_91b096ec.jpg,4.5,建议游览时间：2小时 - 4小时,四季皆宜。每逢春节、元宵节、清明节、端午节、中秋节等传统佳节，在三坊七巷街区还有特定的文化活动。,"{'国潮金鱼博物馆门票成人票\n\n': ['¥30起'], '国潮金鱼博物馆门票优待票\n\n': ['¥20起'], '国潮金鱼博物馆门票亲子票(1大1小)\n\n': ['¥40起']}",,1
福州国家森林公园Fuzhou National Forest Park,http://travel.qunar.com/p-oi709898-fuzhouguojiasenlingong,"

地址:
福州市晋安区新店镇上赤桥


电话:
0591-87921213

",福州国家森林公园，又名福州植物园，是全国十大森林公园之一。它位于福州北郊新店镇赤桥村。福州国家森林公园的规模很大，整个公园共分六大区域（游览区）：竹类观赏园、树木观赏区、人文景观区、以自然景观为主的龙潭风景区、福建森林博物馆和鸟语林。在一个公园里面特意找景点就显得没有那么必要了，这里非常适合爬山休闲。森林公园里面的植被丰富，氧气充足，是福州的天然氧吧。人气高的时候当属春季，每年的樱花季，公园里面花开遍野，有很多不同品种的樱花、梨花、桃花，很是美丽。踏青赏花、呼吸新鲜空气，再好不过了。爬山主要在公园的龙潭风景区，登山道蜿蜒于景区的山岭之间，起于荔枝园，终于龙潭瀑布，全长5.2公里，强度不大，完全不用担心体力问题。另外，沿着林荫大道往里面走，在八一七水库旁边有一株千年榕树，值得一看。,全年 08:00-16:30,https://img1.qunarzz.com/travel/d2/1507/6d/32166ecc421b5.jpg_480x360x95_922177b4.jpg,4.6,建议游览时间：2小时 - 3小时,四季皆宜，春秋两季有各种花卉展览，夏季则树木生长茂盛。,"{'导览服务大小同价\n\n': ['¥1.6起'], '福建闽清蚂蚁户外越野基地【越野车驾驶体验】\n\n': ['¥208起'], '【12人VIP纯玩团】福州高铁往返武夷山纯玩2日游九曲溪竹筏漂流大红袍演出可选\n\n': ['¥778起']}",,1
龙凤头海滨浴场Longfengtou Bathing beach,http://travel.qunar.com/p-oi9221137-longfengtouhaibinyuchang,"

地址:
福州市平潭县坛西大道龙凤头海滨公园向北250米


电话:
13110782500

",龙凤头海滨浴场位于福建平潭岛南隅，距城关1.5公里。海滩宽500米，连绵9.5公里长，坡度仅2.2度，是全国较大的海滨浴场之一，砂粒晶莹洁白，星罗棋布的岛礁，后有茂密的森林，滩上可以行车走马，海中可以畅游娱乐。是喜欢游泳的游客不可不去的一处胜地。比起外地的一些的海滩，平潭岛的沙滩有一个较大的特色，那就是沙子非常细腻，你可以整个人躺上去，也不会任何不适。还有沙子非常的白，岸边那些被太阳晒干后的沙子居然是接近白色的，非常好看。另外，平潭岛的海滩非常的平缓，格外开阔，也适合开展沙滩排球、掷飞盘等娱乐活动。龙凤头浴场面向东方，是一个非常适合看海上日出美景的地方。您可以清早4点早早赶来，或者干脆晚上花几十元租个帐篷，与朋友杯筹交错，彻夜不眠，静待那美丽壮观的一刻。,全年 全天开放,https://flight-feed.qunarzz.com/as3/180/image/poi_vishnu/a4e04b8f-e9b6-44a6-9b94-b7331d33f68e.jpg,4.5,建议游览时间：3天,,免费,,1
上下杭Shangxiahang,http://travel.qunar.com/p-oi9164945-shangxiahang,"

地址:
福建省福州市台江区苍霞上下杭(下杭路北)


电话:
0591-83219581

",福州台江上杭路、下杭路的街区，又称“双杭”。具有浓厚的福州中西合璧建筑文化特色和典型闽商文化特色的传统街区，有南台十景、三桥渔火等景观。,全年 全天开放,https://img1.qunarzz.com/travel/d5/1711/6b/f8215abe561ab7b5.jpg_480x360x95_d0c7f10b.jpg,4.6,建议游览时间：2小时 - 3小时,四季皆宜,具体收费情况以现场公示为主,,1
鼓山Drum Mountain,http://travel.qunar.com/p-oi701880-gushan,"

地址:
福州市晋安区鼓山镇鼓山风景区


电话:
0591-88055770,0591-83669008,0591-87484585

",鼓山风景名胜区位于福州市东郊，闽江北岸，可以算的上是福州市知名风景区。它因其山顶有一巨石如鼓，每当风雨交加，便有簸荡之声，故名鼓山。鼓山登山不需要门票，从山脚通往山顶的道有好几条。如果想要强身健体，推荐从开辟于公路和索道中间的石阶古道上山，古道每隔一段路就立有一座凉亭可供休息，沿途有众多的摩崖石刻，是个锻炼身体的好地方。鼓山历来是福州的佛教胜地，半山腰的涌泉寺是鼓山重要的景点。从石阶古道步行而上，蜿蜒1800余米，穿过七亭后进山门就直达涌泉寺了。爬到涌泉寺大约也就一小时。鼓山的售票处也位于此，如果想要入涌泉寺，需要买票入内。寺里香火不错，建筑物也规模雄伟，寺中千年铁树、鸡丝木供桌及血经书合称为镇山“三宝”。下山时间充裕的话，可以原路返回，如果实在懒散，也可以坐缆车下山，但是因为山不高，所以并不推荐，还是建议走走路，锻炼下。原路返回的话，可以顺便去看看鼓山的达摩洞十八景。,全年 全天开放,https://img1.qunarzz.com/travel/d7/1607/23/8732538939d9c29a.jpg_480x360x95_9e9a4bce.jpg,4.5,建议游览时间：3小时 - 4小时,爬鼓山基本上四季皆宜，特别是夏季可避暑。,具体收费情况以现场公示为主,,1
东甲岛Dongjia Island,http://travel.qunar.com/p-oi10020276-dongjiadao,"

地址:
福州市平潭县海坛岛南部，距草屿约9公里。

",平潭东甲岛，俗称简单金银岛，也是原来为闽台贸易岛。东甲岛，是福建省平潭县南端海域一座远离陆地的偏僻荒岛，在平潭县海坛岛南部，距草屿约9公里。南北走向，长1.4公里，宽0.5公里，面积1.567平方公里。由于是做荒岛，也是海岛生存体验、钓鱼、摸螺、游泳、浮潜、篝火烤全羊、沙滩排球、沙滩足球等户外活动的好地方。岛上有漂亮的沙滩，可以自由遨游，海水深蓝，清澈见底，可以看到2-3米下面的鱼儿，四周还分布着各种各式的岩石。,全年 8:00-17:00,https://tr-osdcp.qunarzz.com/tr-osd-vs-dapp-ugc/img/7c94fbeefd9893e22c452ea89295d426.jpg_480x360x95_fbb063b5.jpg,4.7,建议游览时间：3天,,具体收费情况以现场公示为主,,1
北港村Pak Kong Village,http://travel.qunar.com/p-oi22921275-beigangcun,"

地址:
福州市平潭流水镇北港村


电话:
18650425596,18650427213

",北港村位于流水镇西北部，君山风景名胜区内，背靠平潭高山峰君山的插云峰，面朝东海、与其它海峡隔海相望。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-touch/img/b4b753595b711ad05d1ae61247a0ddac.jpg_480x360x95_cc7ddcf4.jpg,4.6,建议游览时间：12小时 - 3天,,,,1
奇达村Qida Village,http://travel.qunar.com/p-oi10020153-qidacun,"

地址:
福州市连江县安凯乡凤下尾角

",奇达村位于福州市连江县，由山、海、岛、渔村组合而成，滨海风光旖旎，气候宜人，被誉为“中国水上威尼斯”。奇达村是一个上千年历史的小渔村，包含西洛岛、址洛岛等近20座美丽的小岛。村里较好的观景点是白云山半坡的观海亭，在这里可以将宁静的村子、浩瀚的大海尽收眼底。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/2784a1d0f460c17f8ef6149dff5e7ace.jpg_480x360x95_5f1f4f7e.jpg,4.4,建议游览时间：12小时 - 3天,,{'【酒店套餐】福州连江定海湾景区内网红若邻海景酒店，含双人早餐、跟着房琪打卡网红平潭岛 、奇达村\n\n': ['¥428起']},,1
中国船政文化景区Chuanzheng Culture Theme Park,http://travel.qunar.com/p-oi10016899-zhongguochuanzhengwen,"

地址:
福州市区马尾区港口路83号罗星塔公园内


电话:
0591-83996602

",中国船政文化景区位于马尾港附近，是一处以船政文化为主的主题公园。当年的马尾造船厂是一座现代化船厂，也是彼时远东规模较大的船坞。从创办的1866年至停造的1907年间，这里建造了大大小小的舰船40艘，福州船政也由此扬名于世，成为中国近代史上浓墨重彩的一笔。景区内的大小景点分布在闽江边，马尾港周边1公里内。包括罗星塔公园、马限山公园、马江海战纪念馆等的景点，可步行游览，且均可免费入内参观。周边环境不错，可以仅作休闲逛逛，也能了解福州船政的历史。在此游览，通常以马尾港西侧的中国船政文化博物馆、昭忠祠为主。船政文化博物馆中，能看到各种当年船舰的模型，展示船舰的外观以及内部构造。还有雕塑模拟的场景，供游人了解一些重要的历史事件。博物馆不远处，是为纪念中法马尾海战中殉难的福建水师官兵而修建的昭忠祠，现辟为“马江海战纪念馆”。两个场馆背后的马限山也是值得逛逛的地方，山中的众多炮台，以及圣教医院、梅园监狱，都是具有历史意义的景点。而马尾港东面的罗星塔公园内的罗星塔是福州的标志性景点，只可外观。公园内的小山走走可锻炼身体，山上能看到闽江流淌而过。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/d0c01044011320e712c3b172a39336dd.jpg_480x360x95_7e528a28.jpg,4.3,建议游览时间：2小时 - 3小时,,中国船政文化博物馆、马江海战纪念馆、罗星塔公园、闽安协台衙门及亭江炮台均免费开放。船政衙门30元，船政时空隧道25元。,,1
