名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
东风韵景区Dongfengyun Sceneic Area,http://travel.qunar.com/p-oi23344740-dongfengyunjingqu,"

地址:
红河哈尼族彝族自治州弥勒市湖东公路


电话:
08736292698

",东风韵景区位于红河弥勒市，是一个集休闲度假、佛教文化、民俗体验、生态观光于一体的艺术小镇。景区里的建筑非常有特色，都是以本地生产的红砖为主，十分具有设计感。据说景区内部建筑连草稿都没有，随心而动，这样一个看似毫无章法的建筑，出自一位出生于弥勒的“奇人”之手。他将三种当地文化混合其中，酒瓶状建筑代表的是弥勒的红酒文化，还有彝族的火文化建筑及共生向上的文化建筑，都很值得一看。,全年 08:00-18:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-mapi/img/29c039d79cf9dc5e544dd02149492668.jpg_480x360x95_a1cc304f.jpg,4.3,建议游览时间：3小时 - 4小时,,"{'东风韵景区门票成人票\n\n': ['¥60起'], '东风韵景区门票+往返观光车票成人票\n\n': ['¥74.8起'], '东风韵门票+游船票成人票\n\n': ['¥85起']}",,1
建水古城Jianshui Ancient City,http://travel.qunar.com/p-oi7647280-jianshuigucheng,"

地址:
红河哈尼族彝族自治州建水县临安镇南庄段


电话:
0873-7807366

",建水古城古称临安，是一座有着深厚历史的文化名城，位于红河州建水县境内。古城内各种古建筑精美且保存完好，看看精美的建筑工艺，拍拍照片，都是不错的体验。古城内的文庙、朱家花园、学政考棚值得一看，它们反映出建水古城尊孔崇儒的风气。据说当年云南科举考试中榜者中临安府人士要占半数，堪称云南之冠，故有“临半榜”之称。每周末，文庙里都有古乐演出，上下午各一场，建议安排好时间观看一场。,全天开放,https://img1.qunarzz.com/travel/d4/1706/b4/e0bcad2cd0070b5.jpg_480x360x95_6ed15dc9.jpg,4.6,建议游览时间：2小时 - 4小时,,"{'朱家花园门票大小同价\n\n': ['¥32起'], '朱家花园门票优待票\n\n': ['¥18起'], '建水燕子洞门票成人票\n\n': ['¥52起']}",,1
万花筒艺术庄园Kaleidoscope Art Manor,http://travel.qunar.com/p-oi23344013-wanhuatongyishuzhuang,,万花筒艺术庄园的设计者是云南艺术家罗旭，设计理念来源于“万花筒”，外观是一个个形如筒状的建筑体。馆顶四壁的采光也是根据万花筒中三菱镜的特点来设计的，由于不同日期不同时刻阳光照射的多少不一，馆内的光线也会呈现出不同的变化。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/26920227baeab0312e00ae51ded95503.jpg_480x360x95_c0ab6c62.jpg,4.6,,,具体收费情况以现场公示为主,,1
可邑小镇Keyi Village,http://travel.qunar.com/p-oi7646353-keyixiaozhen,"

地址:
红河哈尼族彝族自治州弥勒县城22公里（西三镇可邑村）


电话:
0873-6387982,0873-3029282


官网:
http://www.mlkyxz.com/

",可邑小镇位于弥勒县西三镇可邑村，“可邑”在阿细语中的意思是“吉祥如意的地方”。小镇隐匿在森林之中，空气质量很好，这里是了解彝族文化的好地方。彝族阿细人会在景区的门口举行欢迎仪式，有乐器演奏和舞蹈表演，遇到了的游客可以驻足观看。游客可以去可邑彝族博物馆了解有关彝族的文字、图片和物品资料，还可以去阿细跳月广场观赏“阿细跳月”歌舞表演，全方面感受彝族文化。,8:00-16:30。,https://img1.qunarzz.com/travel/d3/1701/94/d467b6ee0fd9c6b5.jpg_480x360x95_8e6096b5.jpg,4.1,建议游览时间：1小时 - 3小时,,"{'可邑小镇门票成人票\n\n': ['¥34.1起'], '可邑小镇电子导览服务大小同价\n\n': ['¥5起']}",,1
元阳哈尼梯田Honghe Hani Rice Terraces,http://travel.qunar.com/p-oi711566-yuanyanghanititian,"

地址:
红河州元阳县新街镇箐口


电话:
0873-5620163

",元阳哈尼梯田地处哀牢山南部，是哈尼族世世代代留下的杰作，梯田依地势层层相叠，非常壮观。元阳哈尼梯田主要由坝达景区、老虎嘴景区、多依树景区、箐口景区4部分组成。来到元阳哈尼梯田，一是看梯田壮美的日出日落，二是看哈尼族村寨的独特风情。当地人常说“日出多依树，日落老虎嘴”。从老县城坐车到多依树要半小时左右，去拍日出一定要起得早，抢占最佳拍摄位置。在多依树村前的公路边有一大片山坡，可容纳千人驻足。多依树梯田不仅造型壮观，最为特别的是这里金色的云彩。因为经常被雾气笼罩，日出时便会形成霞光万丈的奇景，霞光和彩云倒映在梯田中，美得摄人心魄。这里也是摄影师最爱的场地之一。,全天开放；景区内重要景点开放时间：06:00-19:30。,https://img1.qunarzz.com/travel/d0/1801/b3/85e5fe98221db2b5.jpg_480x360x95_0baee80e.jpg,4.6,建议游览时间：3天 - 6天,1-2月，冬季最美。冬季是去元阳看梯田的的小旺季，不过即便是冬季，平均温度最高也能达到12度，冬季里元阳梯田的日出日落美轮美奂，云海造就的仙境更是让人欲罢不能。,"{'元阳哈尼梯田门票成人票\n\n': ['¥65起'], '元阳哈尼梯田门票优待票\n\n': ['¥35起'], '元阳梯田电子导览服务大小同价\n\n': ['¥10起']}",1、元阳处在北回归线上，海拔1600多米，气候温和，但早晚较凉，中午的阳光很毒，请注意防晒。着装以轻便为主，T恤、短裤一年四季都可以穿，另需要备一件外套。2、元阳哈尼梯田景区为国家湿地公园，进入景区需自觉树立环保意识，尊重当地少数民族风俗习惯。3、景区内严禁一切野外用火。4、进入景区请严格按指定路线游览，不准随意攀岩登山，请勿翻越护栏，以免发生意外。5、年老、幼小及体弱者，应有人陪同游览。6、严禁在景区内乱涂乱画、采摘花草、伤害野生动物。7、未经景区工作人员同意，不准在景区内露宿野营，否则后果自负。8、进入景区应自觉遵守旅游秩序，妥善保存票据，以备查验。9、在征得当地少数民族同意后，可以共同拍照。10、请将果皮纸屑等杂物投入垃圾箱内，以保证公共环境的整洁。11、拍摄梯田日出最佳的地点：多依树景区。拍摄梯田日落最佳的地点：老虎嘴片区。在老虎嘴视线最远处的左上角，还能隐约看到一匹疾驰的骏马，这正是元阳梯田的标志性景点，曾经出现在《中国国家地理》的封面上。,1
湖泉生态园Huquan Ecological Garden,http://travel.qunar.com/p-oi7645458-huquanshengtaiyuan,"

地址:
红河哈尼族彝族自治州弥勒市温泉路


电话:
0873-6388937

",湖泉生态园位于云南省红河哈尼族彝族自治州弥勒市 008乡道，该公园在2003年建立。园区占地为1700多亩，原莲花塘及梅花温泉两个景点自然融入园中。沿湖有万多平方米的休闲沙滩。温水、冷水游泳池10多个，还有假山群，湖心岛等。 这是当地一个休闲、娱乐、度假的好去处。,全年 全天开放,https://img1.qunarzz.com/travel/d6/1601/f5/9e797a950dc2caf7.jpg_480x360x95_217f73a2.jpg,4.6,建议游览时间：2小时 - 3小时,,"{'湖泉半山温泉票成人票\n\n': ['¥166起'], '湖泉温泉水世界门票成人票\n\n': ['¥136起'], '湖泉温泉水世界门票儿童票\n\n': ['¥69起']}",,1
大庄清真寺,http://travel.qunar.com/p-oi714549-dazhuangqingzhensi,"

地址:
云南开远市大庄乡大庄街南端

",大庄清真寺位于开远市大庄乡大庄街南端。大庄清真寺始建于明朝，清嘉庆十七年（1812年）重建。清真寺占地9450平方米，建筑面积4179平方米。清真寺由正殿、两厢、叫拜楼、大厅、书馆、水房、教长室、大门等建筑组成，为伊斯兰教格底目派寺院。正殿单檐歇山顶，抬梁式结构，面阔五间，进深三间。叫拜楼为三重檐攒尖顶楼阁，气势雄伟壮观。大庄清真寺环境幽静，绿树成荫，是滇南著名礼拜胜地。1998年公布为云南省文物保护单位。,8:00 - 18:00,,--,,,5元,,1
蒙自过桥米线小镇,http://travel.qunar.com/p-oi38340794-mengziguoqiaomixianxiao,,,,,4.3,,,具体收费情况以现场公示为主,,1
弥勒人工湖,http://travel.qunar.com/p-oi36677738-milerengonghu,"

地址:
弥勒市半山温泉生态园内

",,全天开放，免费游览。其中包含湖泉生态园景区。,,4.5,建议游览时间：0.5小时 - 1小时,,,,1
弥勒大佛Maitreya Buddha,http://travel.qunar.com/p-oi35214480-miledafo,"

地址:
云南省弥勒市锦屏山景区


电话:
0873-6264499

",弥勒大佛于1999年落成，高度1999厘米，是世界上特大的弥勒坐佛像。佛身全部用进口钛金，金光灿烂。,具体开放时间请咨询景区,,4.3,建议游览时间：0.5小时 - 2小时,,首道大门票收费情况请咨询景区,,1
