名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
安昌古镇Anchang Ancient Town,http://travel.qunar.com/p-oi709538-anchangguzhen,"

地址:
绍兴市安昌镇


电话:
0575-85652345,0575-85656963

",安昌可以说是绍兴原汁原味的古镇了，沿河的三里街市还保留着质朴的生活气息，腊肠和酱油是这里的一大特色。这里几乎没有旅游团，更多的是悠闲生活的当地人，很多人说，这就是十年前的西塘。古镇依河而建，北岸为商市，南岸是民居，水上众多石桥连接两岸的往来。古镇联票里的收费景点基本分布在河流两岸，在古镇入口的售票可以领到印刷精美的导游图。从景区入口往里走，北岸依次是文史馆（城隍殿）、穗康钱庄、石雕馆、绍兴师爷博物馆。其中，绍兴师爷博物馆是值得一看的，绍兴有名的特产除了黄酒，就是师爷了，博物馆里展有师爷的历史、分类，以及生活用物和日记等等，让人对这个行业有比较全方面的了解。石雕馆是一个三进的老台门，收集了大量的绍兴石雕石碑，颇有趣味。沿着河的南岸，可以在中国银行旧址看国有银行的气派，规模宏大的安康寺，而安昌民俗风情馆里大量的图片和生活用品，可以一窥安昌的生活风俗。如果只是在古镇街上走走，感受安昌的风土人情，是不需要买门票的。走在河边的廊棚下，有许多当地人摆的小摊。不同于其它商业化古镇清一色的义乌小商品，安昌人销售的小玩意更接地气，从毡帽到鞋刷、纽扣，都是老百姓日常生活的需要，还有些扯白糖、箍桶、做布鞋的老手艺人，一辈子坚守着祖祖辈辈传承下来的手艺。此外非常值得一提的是，安昌的腊肠和酱油远近闻名，在《舌尖上的中国》中播出后更是火遍全国。挂在河岸边竹架子上密密麻麻的腊肠也是古镇一道仅有的风景，古镇上的“仁昌酱园”不仅是一景，也是安昌腊肠好吃的秘诀之一，来到这里的人总要顺手买些回去。在安昌古镇坐实惠的乌篷船体验水乡生活，也是许多人选择安昌的理由。这里的乌篷船比绍兴其它地方便宜很多，推荐体验一下。安昌古镇好玩的时候是每天元旦3天的腊月风情节，此时虽然天气寒冷，但别有风味。除了乡土气息浓厚的社戏、民间宣卷演唱，还常常能遇到热闹的水上婚礼船队。来这里游玩的人一般会在游玩后会回到绍兴市区，不太会在古镇过夜，但你一定不能错过古镇上乌毡帽饭店的霉干菜烧肉、笋干，或者在三张桌子的宝麟酒家要一份自制腊肠，来一壶自酿的花雕，非常享受。,5月1日-9月30日8:00-17:00；10月1日-次年4月30日8:00-16:30；其中景区内各景点开放时间详见景区现场公示。,https://img1.qunarzz.com/travel/d3/1812/57/f5d6d3ff1152fab5.jpg_480x360x95_86451ebc.jpg,4.5,建议游览时间：12小时,,"{'绍兴安昌古镇门票成人票\n\n': ['¥40起'], '绍兴安昌古镇门票儿童票\n\n': ['¥25起'], '绍兴安昌古镇门票老人票\n\n': ['¥25起']}",,1
鲁迅故里景区Lu Xun Native Place,http://travel.qunar.com/p-oi713875-luxungulijingqu,"

地址:
绍兴市越城区鲁迅中路241号


电话:
0575-85132080


官网:
http://www.sxlxmuseum.com/

",鲁迅故里是绍兴市内的一条历史街区，这里是文豪鲁迅先生少年时生活过的地方。景区内不仅保留了不少当年的老建筑，还恢复了先生笔下的土谷祠、寿家台门等景观，百草园、三味书屋等儿时课本中的场景，也能在这里找到。景区的主道两边粉墙黛瓦，你可走进鲁迅故居参观先生诞生之地；还有屋后那曾是他儿时乐园的“百草园”；或是去“三味书屋”看一看少年鲁迅求学时用过的书桌；还可以去“咸亨酒店”，与“孔乙己”铜像合个影，吃吃茴香豆、来碗黄酒，品味一下绍兴式慢生活。景区内还可参观鲁迅祖辈们的世居大宅、鲁迅笔下的“风情园”、陈列鲁迅生平事迹的纪念馆，以及鲁迅幼时做过记名弟子的寺庙——长庆寺。如果对鲁迅的著作有印象，还可去《阿Q正传》中提到的土谷祠和静修庵、《呐喊》中提到的当铺“恒济当”看看，感受一下作品中真实存在的建筑场景。这段街区不算长，却很有江南水乡古城的风貌。街两边有不少店铺，可以尝尝街边卖的绍兴臭豆腐、龙须糖；也可以坐上乌篷船穿梭于水巷之中，感受水乡的气息。,全年 周二-周日 08:30-21:00;全年 周一 全天不开放,https://img1.qunarzz.com/travel/d6/1611/6b/436af7dfa8fbf2b5.jpg_480x360x95_58345305.jpg,4.6,建议游览时间：3小时 - 4小时,,"{'鲁迅故里预约票+沈园预约票+资深导游讲解服务成人票\n\n': ['¥128起'], '鲁迅故里预约票+沈园预约票+资深导游讲解服务儿童票\n\n': ['¥98起'], '鲁迅故里入园预约票+沈园入园预约+高级私享人工讲解服务票大小同价\n\n': ['¥598起']}",,1
沈园Shen Garden,http://travel.qunar.com/p-oi705645-shenyuan,"

地址:
绍兴市越城区鲁迅中路318号


电话:
0575-85132080,0575-88330562


官网:
http://www.sxlxmuseum.com/

",当年陆游为追忆与唐婉的沈园邂逅，写下了著名的《钗头凤》，寄予了这座精巧的江南园林许多浪漫的想象。如今人们到沈园，除了欣赏古典园林之外，更多的是去感受爱情，甚至将这里视为执着爱情的寄托。沈园的开放时间分为白天和晚上两场，白天主要看园内建筑，虽然宋代的沈园建筑早就不存在了，如今看到的沈园是近几十年在原址上按照当年的布局重修和扩建的，但这并不妨碍人们来沈园感受爱情。如今沈园分为沈园古迹区、东苑和南苑三部分，景区并不大，步行2小时左右便可逛完。其中，古迹区是游玩的重点。如果你是戏迷，那么晚上的沈园之夜会更对你的胃口。进入沈园便是古迹区，迎面看到一块太湖石，上面写着“诗境”二字，由此便可开始游览了。左手边上一条回廊，墙壁上有许多诗词的碑刻，屋檐下挂满了风铃，小木牌上满是情人们写的留言。顺着步道走在园林中，过问梅槛、八咏楼来到六朝井亭，这口井和旁边的葫芦形水池是园中仅存的六朝遗物。亭子旁边的孤鹤轩是沈园的中心，它的南面便是著名的《钗头凤》碑，来到这里的游人无不在此驻足，吟几句《钗头凤》，回味陆游唐婉的爱情。孤鹤轩东面的双桂堂则是沈园之夜堂会表演的地方，它的入口附近是南苑和东苑的入口。南苑是连理园和陆游纪念馆，这里没有古迹区的忧伤气质，更多的是一股书卷气。陆游纪念馆展出陆游诗词手记的碑牍，还有沈园的全景模型。而东面的东苑以爱情为主题，又叫“爱情苑”，有心形的琼瑶池、鹊桥、相印厅等历史和传说中充满爱情寓意的景观，很适合情侣走走逛逛。沈园的特别之处在于它的夜游，晚上的园林比白天多了点浪漫和神秘，其中最值得一看的要数双桂堂的堂会，你不仅可以看到演员用现代的形式表演钗头凤、新说陆游和唐婉的故事，还可以听到各种绍兴地方戏，包括鹦哥班、莲花落等等，非常精彩。 沈园离鲁迅故里大约只有200米，若只想游览园林，可白天将二者一并游览。或者白天参观鲁迅故里，晚上到沈园欣赏演出，也是不错的选择。,8:00-17:00；详情以景区公示为准。,https://img1.qunarzz.com/travel/d9/1708/8e/533b77ab13955cb5.jpg_480x360x95_3df7a51e.jpg,4.5,建议游览时间：2小时,,"{'沈园之夜演出票成人票\n\n': ['¥70起'], '沈园之夜演出票儿童票\n\n': ['¥40起'], '鲁迅故里预约票+沈园预约票+资深导游讲解服务成人票\n\n': ['¥128起']}",,1
仓桥直街Cangqiao Straight Street,http://travel.qunar.com/p-oi5740880-cangqiaozhijie,"

地址:
绍兴市越城区

",仓桥直街位于越子城历史文化保护区内，青石板、湿苔藓、乌篷船，一派小桥流水人家的景致。街道两旁是绍兴特有的台门建筑，还有不少商店和餐馆、特色小店和展览馆，是游人品味绍兴旧时风韵的理想选择。这条老街与南方许多城市的老街有几分相似，不同的是，这里没有太多的商业气息，也少有熙熙攘攘的旅游团。在街头漫步，你会遇到在这里生活了一辈子的老人、嬉闹的孩子，满满的生活气息。尤其是傍晚的时候，更能感受到老街不紧不慢的生活节奏，拍出的照片也很有感觉。饮食方面也不用担心，仓桥直街上有贩卖绍兴黄酒、茴香豆等特色小吃的传统小店，也有状元楼这样有名的馆子，节假日用餐高峰时间生意格外火爆。,全年 全天开放,https://img1.qunarzz.com/travel/d5/1708/14/d001d9786033f3b5.jpg_480x360x95_b1f9b5cf.jpg,4.4,建议游览时间：1小时 - 2小时,,"{'仓桥直街+乌篷船体验+资深讲解服务成人票\n\n': ['¥168起'], '仓桥直街+乌篷船体验+资深讲解服务儿童票\n\n': ['¥168起']}",,1
五泄风景区Wu Xie Scenic Area,http://travel.qunar.com/p-oi716126-wuxiefengjingqu,"

地址:
绍兴市诸暨市五泄风景区


电话:
0575-87773688

",五洩风景区位于诸暨市西20公里，原名“五泄风景区”。景区由外至内分为五泄湖景区、桃源景区、东源、西源四部分。所谓“泄”就是瀑布，景区内有一条五折的飞瀑，是景区较大的看点。五泄各季节的景致不同，夏天可以玩水，秋天看红叶，初冬看银杏，风光都很不错。进入景区后，首先得在大坝码头乘船穿过五泄湖，天一碧码头下船后开始可步行游玩。进入景区的交通分为免费班船和收费游艇两种，免费船班大约每45分钟一班，游艇则随时都有，但需另付费。下船后走大约500米到电瓶车站，可乘电瓶车穿过桃源景区去五泄禅寺（5元），也可从左侧的步道步行，20分钟左右即到。电瓶车下客站也是东源和西源的路口，五泄瀑布和五泄禅寺在东源，西源则可以爬山，两边在山顶是连通的。通常旅游团只上东源看过五泄瀑布后原路返回，时间充裕可自行选择从其中一侧上山，翻过紫薇岭，从另一侧下山，不走回头路。相比之下，东源的景色较经典，但一些地方台阶比较陡，而西源是较为平坦好走的水泥小道，游人较少。通常从东源上山，东源入口附近的五泄禅寺前有一株千年银杏，是五泄一景。由下往上走，依次是第五泄至第一泄，每一折瀑布的形态各有不同，第五泄水量大气势盛，非常壮观，而越往上瀑布越是婀娜美丽，到了第一、第二泄，瀑布便非常小巧平缓了。夏天的时候，瀑布区域非常清凉，是消暑的好地方。继续往上，便到了东西源过度区的刘龙坪，这里有茶室可以品茶小憩。往前不远即是至高点紫薇岭，站在峰顶的感觉非常棒，风景也好。翻过紫薇岭就到了西源，西源和东源是完全不同的景致，虽都是山谷，这边是湿漉漉的山道、潺潺的溪流，格外清新安静，完全没有东源的气势与轰鸣。顺步道轻松下山，便可回到电瓶车站了。游人来此，通常花三五小时逛完景区后返回诸暨，或转乘公交前往西施故里继续游玩。如果想在这里多呆一阵，东源、西源有茶室和餐馆可以用餐，价格还算公道。第五泄附近的小木屋、景区门口的五泄度假村可以住宿，标间两三百左右。,9/25-9/30 07:30-16:30;10/1-4/30 08:00-16:00,https://img1.qunarzz.com/travel/poi/201407/28/01e50ccb16246b11c8d65eac.jpg_480x360x95_4e350334.jpg,4.6,建议游览时间：12小时 - 3天,夏季雨水丰富，五泄景观蔚为壮观。,{'【酒店套餐】诸暨耀江开元名都大酒店1晚+双人自助早餐+自助晚餐或西子灶家庭套餐1份（周末不加价）\n\n': ['¥399起']},,1
绍兴柯岩风景区Shaoxing Keyan Scenic Area,http://travel.qunar.com/p-oi712453-shaoxingkeyanfengjing,"

地址:
绍兴市柯桥区柯岩大道558号


电话:
0575-84361555,0575-84367863

",柯岩风景区位于柯山脚下，包含柯岩、鉴湖、鲁镇三部分。柯岩是整个风景区的核心，三国时期，这里曾是一处采石场，拥有姿态各异的石宕、石洞、石潭、石壁等奇景。这里离市区不远，来了解绍兴文化、休闲度假都很合适。景区有两个大门，一个是柯岩，一个是鲁镇，两个门都可以进入景区，且相距不远。上午游览景区建议选择柯岩-鉴湖-鲁镇线路，下午2点后买票建议选择鲁镇-鉴湖-柯岩线路游览。景区内有往返三个景区的免费画舫，当然也可以选择步行，但距离较远。如今的柯岩景区包括石佛、镜水湾、越中名士苑、圆善园四大景点，其中较为特别的是“天工大佛”和“奇云石骨”。“天工大佛”开凿于隋代，历经石工三代凿成，颇有气势；而“奇云石骨”上宽下窄，犹如一座颠倒过来的宝塔，高30余米，底围仅4米，看似头重脚轻，却已在风雨中屹立了一千多年，令人惊叹。鉴湖是绍兴的“母亲湖”，建有东汉笛亭、南洋秋泛、五桥步月、葫芦醉岛等四处景点。在这里可以坐乌篷船泛舟在鉴湖之上（需另付费），还可以在葫芦醉岛品黄酒、看曲酒流觞，感受绍兴的黄酒文化。鲁镇本是鲁迅笔下虚构的小镇，鲁镇景区则是为了还原鲁迅笔下的“鲁镇”而建的一个乡村小镇主题公园。鲁镇依傍着鉴湖，有商铺客栈、文化展馆、台门戏台等等，鲁镇街上，有演员扮演的鲁迅小说里阿Q、祥林嫂等人物，很逼真，可以和他们合影。沿街有小店卖些绍兴小吃，还可以去“押宝室”玩两把押宝游戏，感受旧时绍兴水乡的风情。景区内有柯岩酒家、品酒馆、一石居酒家等餐馆可以用餐，价格略贵，建议自带些食物。游玩过后，返回绍兴市住宿。,10/8-4/30 08:30-16:30;5/1-10/7 08:00-17:00,https://img1.qunarzz.com/travel/d4/1708/1e/419e5265e7aec9b5.jpg_480x360x95_f9c36817.jpg,4.6,建议游览时间：4小时 - 5小时,,"{'柯岩风景区门票+鉴湖门票+鲁镇门票+游船票成人票\n\n': ['¥29.9起'], '柯岩风景区门票+鉴湖门票+鲁镇门票+游船票优待票\n\n': ['¥120起'], '绍兴柯岩风景区门票+鉴湖门票+鲁镇景区门票+游船票双人票\n\n': ['¥130起']}",,1
东湖East Lake,http://travel.qunar.com/p-oi710305-donghu,"

地址:
绍兴市越城区东湖镇云东路


电话:
0575-88606879

",东湖位于绍兴古城东约6公里处，面积不大，景观并不深刻厚重，也没有水天一色的浩淼气势，反而给人一种小巧而有灵气的感觉，因此东湖被人们比作“山水盆景”。此外，这里也是82版《西游记》中女儿国的取景地。东湖的水比绍兴市区的乌篷船河道清澈许多，尤为特别的是，由于这里曾是一个采石场，两岸是当年采石留下的陡峭山崖，这些开凿的痕迹被山泉冲刷出一道道斑斓的色彩，煞是好看。还有一些窄窄的石洞，有的仅能容一艘船经过，很奇妙。因此乘乌篷船游东湖也是许多人来此的理由。进入景区不远便是寒碧亭码头，由此乘乌篷船经仙桃洞、喇叭洞、陶公洞到稷寿楼码头上岸，单程大概20分钟，每船85元（供参考）。东湖奇妙的是陶公洞与仙桃洞，站在岸上看，仙桃洞只是一座简单的石框门，当你乘船靠近时，才能看到石门与倒影组合在一起的巨大桃形形状。而陶公洞入口处仅容一艘小船通行，进入洞内之后却是另有洞天，整个洞像一口天然巨井，在洞底仰望小片天空，颇有几分坐井观天的意味。稷寿楼码头在景区的里面，稷寿楼每天有大概7场社戏表演，每场约25分钟，可免费观看。但看社戏好的位置都被摆上了桌椅，需要泡上一杯茶才可以坐。如果说坐乌篷游东湖是主要目的，那么沿着岸边走走看看，你会发现这里的亭台楼阁也十分精巧。沿着湖边的小道步行游览，湖上有跨湖的霞川桥和秦桥，水杉休闲区附近有步道可以登上箬篑山，山上有茶园，远远望去，是阡陌纵横的乡村风光。因此，乘船进入，步行出来是比较推荐的玩法。,全年 08:00-17:00,https://img1.qunarzz.com/travel/d0/1707/de/7fc68786bf749db5.jpg_480x360x95_db4777fa.jpg,4.5,建议游览时间：2小时 - 3小时,,"{'东湖景区门票成人票\n\n': ['¥45起'], '东湖景区门票优待票\n\n': ['¥25起'], '兰亭门票+东湖门票成人票\n\n': ['¥95起']}",,1
西施故里Xi Shi's Hometown,http://travel.qunar.com/p-oi713041-xishiguli,"

地址:
绍兴市诸暨市浣纱南路123号


电话:
0575-87106782,0575-87106783,0575-87106777,0575-87372339

",西施故里景区其实是一个泛指，包括浣江及其两岸的景观带，这里有着不错的江南山水和庞大的中式园林，景区内的各个主题展馆可以了解西施的生平。西施殿周边是游览的核心区域。景区是开放式的，不需要买票入内。不过其中西施殿、中国历代名媛馆、范蠡祠、民俗馆、郑氏宗祠是收费景点，若打算入内参观，建议直接购买联票。其中西施殿在其他几个景点的对岸的苎罗山下，需要过浣纱大桥或者浮桥。西施殿是整个景区中最值得一看的，建筑并非古物，而是上世纪80年代重修的。不过，那些木雕花窗、牛腿雀替，当时是举全市之力，搜集了上万件诸暨地方特色古建筑构建建造而成的，因此如今这里不仅是纪念西施的场所，诸暨民间建筑艺术的精华也能在此看到。西施殿右侧的古越台，上层供奉着越王勾践和文种、范蠡，下层是“西施行”故事展馆。郑旦亭与西施殿遥遥相对，它左侧的西子碑廊里可以看到历代文人墨客为西施题写的诗句和画像的碑刻。穿过新建的香榧馆、珍珠馆，出门从浣纱亭拾级而下就到浣纱石了，相传西施当年就在此浣纱，如今王羲之手书的“浣纱”二字依然历历在目。而登上碑廊南面的苎萝亭，可俯瞰浣纱江景色。南岸金鸡山下的仿古街有各种新建的景观，景区入口附近的中国历代名媛馆搜罗了历史上著名女性的故事，重点当然是西施、昭君、貂蝉、杨玉环这“四大美女”。展览以画像和蜡像为主，算是内容和布展比较有特点的。中国民俗馆里展示了一些当地传统日用品，可以了解一下。范蠡祠、郑氏宗祠是常见的江南祠堂，主要看建筑和了解人物生平。如果你不想花钱去看这些人工景点，只是沿着仿古的古越街喝茶购物，在浣江边的栈道散步，看看江边那些浣女雕塑，也是很惬意的。夏天这里荷花盛开，春秋水平如镜，都是江南好景致。,5/1-9/30 08:00-17:00;10/1-4/30 08:00-16:30,https://img1.qunarzz.com/travel/d9/1706/86/8f1ae65643676cb5.jpg_480x360x95_3ff5c5e1.jpg,4.3,建议游览时间：12小时,,"{'西施故里门票成人票\n\n': ['¥209起'], '西施故里电子讲解服务大小同价\n\n': ['¥9起'], '【酒店套餐】诸暨耀江开元名都大酒店1晚+双人自助早餐+自助晚餐或西子灶家庭套餐1份（周末不加价）\n\n': ['¥399起']}",,1
会稽山兜率天景区,http://travel.qunar.com/p-oi9195464-kuaijishandoulu:tianjing,"

地址:
绍兴柯桥区湖塘街道岭下村大香林天宫景区


电话:
0575-81108812,0575-84366626


官网:
http://www.dstjq.com/

",大香林·兜率天景区位于浙江绍兴会稽山脉的西端，整个景区中轴线长达2500米，由兜率天宫（天上净土）和会稽山龙华寺（人间净土）两大建筑群组成。兜率天宫位于会稽山主高峰宝林峰（海拔约321米）峰顶，其背后依山而建的是北方多闻王露天雕像，雕像内建达摩洞，供奉达摩及傅大士论道像。兜率天宫宽约99米，长约160米，高约81米（莲花顶海拔约399米），为绍兴乃至浙江地区的地标性建筑。“兜率天”是欲界第四层天，其意为欢喜天、喜足天，是历代高僧大德都向往的佛国净土，如唐玄奘、太虚法师等；其中的兜率天宫内院，是未来佛弥勒菩萨为天人说法的地方。据佛经记载，二千五百多年前，释迦牟尼从兜率天乘六牙白象来到了我们这个娑婆世界度化众生；弥勒菩萨亦将在其人间因缘成熟后降临人间，度化释迦遗教弟子，将我们这个五浊恶世净化为弥勒人间净土。兜率天宫建筑从上到下依次为：紫金莲花、观景平台、善法堂及七重宝垣。天宫顶部是举世闻名的锻铜贴金莲花，共四十八个花瓣，直径约56.7米，高约16米，莲花内为天宫千人大讲堂。与兜率天宫以香水海相隔的是龙华寺，唐朝时曾获朝廷赐匾成为弥勒信仰的典范，是较大的皇家风格佛教寺院。寺院建筑群依山而建，层层叠叠，气势恢宏。其中，点缀白墙、木柱、黛瓦组成的楼阁群，和红墙琉璃瓦组成的礼佛殿堂群交相辉映，一步一景，美轮美奂，体现了二十一世纪佛教寺院的建筑典范。,8:30-16:30,https://img1.qunarzz.com/p/tts1/1806/56/9987df742165f002.jpg_480x360x95_d618ea7e.jpg,4.4,建议游览时间：2.5小时 - 3小时,,"{'大香林·兜率天景区门票成人票\n\n': ['¥90起'], '大香林·兜率天景区门票+全程景交车票成人票\n\n': ['¥35起'], '大香林·兜率天景区门票+全程景交车票双人票\n\n': ['¥218起']}",,1
覆卮山景区Fuzhi Mountain Scenic Area,http://travel.qunar.com/p-oi10012666-fuzhishanjingqu,"

地址:
绍兴市上虞区东澄村2号


电话:
0575-82096922


官网:
http://www.syfzsjq.com/

",覆卮山景区地处上虞岭南覆卮山麓，为上虞第一高峰，自然洗礼的宏伟石浪群为第四纪冰川遗迹。同时，独特的梯田景观，原始的自然村落，优雅恬静，空气清新，氛围怡人，是城市居民回归自然、休闲娱乐、旅游度假的理想圣地。,9:00-16:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/4b0f812cdd45e1ca84afce85e604934b.jpg_480x360x95_265b2e61.jpg,4.6,建议游览时间：2小时 - 3小时,,,,1
