名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
八里城遗址Balicheng Ruins,http://travel.qunar.com/p-oi712030-balichengyizhi,"

地址:
绥化市肇东市四站镇八里城遗址

",,全年 08:00-17:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/8325b4066ecdcee31998110ce9b4ab80.jpg_480x360x95_ffbaf4e2.jpg,4.5,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
林枫故居纪念馆Lin Feng Comrade's Former Residence Memorial Hall,http://travel.qunar.com/p-oi703833-linfenggujujinianguan,"

地址:
绥化市望奎县望奎镇林枫路1号


电话:
0455-6466160

",林枫故居纪念馆现占地面积5600平方米，建筑面积935平方米。建筑风格系典型的东北民居建筑，故居坐北朝南，正房七间，东西厢房各五间，大门是一座斗拱飞檐的仿古门楼，气势雄伟，一对用墨玉雕刻的狮子分立在大门两侧，更加衬托了故居的威严。门楼内两侧各有一个耳房，正房与大门之间有一道18米长的影壁墙，在正房前面，东西厢房之间是用云杉围成的两大两小四个花坛，故居墙内四周栽有松树数十棵，每至冬季，青松白雪，格外壮观；每逢夏季，鲜花盛开，松柳滴翠，更是与故居的古朴清幽，古香古色形成了一道亮丽的风景。,8:30-11:00;13:30-16:30，周一闭馆。,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/2dad5b8ac8b51e01700cd7ee0e156dcc.jpg_480x360x95_9e3d1d23.jpg,4.6,建议游览时间：1小时 - 3小时,,具体收费情况以现场公示为主,,1
金龟山庄Jingui Mountain Villa,http://travel.qunar.com/p-oi722432-jinguishanzhuang,"

地址:
绥化市东津镇福兴村

",黑龙江省AA级旅游景区——金龟山庄素有“滨北小太阳岛”之美誉。它以自然资源丰富、地容地貌独特、生态环境优美、自然风光旖旎、人文景观别致、地方风情浓厚、历史传统悠久、民间传说神奇、服务周到和别具一格的绿色饮食文化而名扬省内外，赢得了游人的向往和青睐。金龟山庄地处北林、庆安、巴彦一区两县的金三角地带，距绥化市区33公里，占地面积100万平方米。她是融山水貌之灵气、乡村田园之风光、古今传说之精华、园林艺术之荟萃于一体的现代园林。金龟山庄以特有的寒地黑土的“土气”、北大荒的“野性”和消费价位的“低廉”而著称于龙江大地。她素有滨北“小太阳岛”之美誉，是省级AA级旅游景区。,全年 08:00-16:30,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/2c10783450d7c983d1141e21166b514c.jpg_480x360x95_e4c0e129.jpg,4.7,建议游览时间：12小时,,具体收费情况以景区现场公示为主。,,1
西洼荒,http://travel.qunar.com/p-oi704634-xiwahuang,,位于望奎县西北部先锋乡，距县城12km，总面积22.50km2。以水库为中心，湿地面积较大，南北长15km，东西平均宽1.5km，青望路穿旁而过，周围均为农田。鱼类繁多，栖息着水鸭、百灵、灰雀等10多种野生鸟类、水禽，其中有1100多只国家二级保护鸟类灰鹤。,,,--,,,,,1
红星自然保护区,http://travel.qunar.com/p-oi715249-hongxingziranbaohuqu,,,,,,,,,,1
双河林木自然保护区,http://travel.qunar.com/p-oi712649-shuanghelinmuziranbao,"

地址:
中国黑龙江绥化市双河镇

",位于绥化市双河镇，总面积18.00km2。野生动物栖息地，呈长方形。位于诺敏河南，东、西分别与五营乡、兴和乡接壤，地势可分为岗头地、二洼地和草沟、水塘。在保护区内划分为天然次生林、人工用材林区、草场保护区、药材保护区、自然水域及野生动物保护区五个不同类型的小型保护区。主要植物有小叶樟、大叶樟、芦苇等，还有槐木、色木、黄菠萝、水曲柳、落叶松等名贵树种近10种，100多种药材。,8:30-19:00,,--,,,40元,,1
稻田公园,http://travel.qunar.com/p-oi39175889-daotiangongyuan,,,,,0.0,,,,,1
慈云观,http://travel.qunar.com/p-oi39160253-ciyunguan,,,,,5.0,,,,,1
庆安人民公园,http://travel.qunar.com/p-oi38340416-qinganrenmingongyuan,,,,,--,,,,,1
东北民俗文化博物馆,http://travel.qunar.com/p-oi38337614-dongbeiminsuwenhuabowu,,,,,--,,,具体收费情况以现场公示为主,,1
绿岛公园,http://travel.qunar.com/p-oi38337079-lu:daogongyuan,,,,,,,,,,2
南山景区,http://travel.qunar.com/p-oi38336685-nanshanjingqu,,,,,--,,,具体收费情况以现场公示为主,,2
西湖公园,http://travel.qunar.com/p-oi38336458-xihugongyuan,,,,,--,,,具体收费情况以现场公示为主,,2
东湖公园,http://travel.qunar.com/p-oi38335783-donghugongyuan,, 东湖公园位于绥化市北林区，是绥化市区几大公园之一，占地面积约21万平方米，景点包括湖滨天地、落英流芳、东湖揽胜、杏林晨曦等，是绥化市重点规划东部生态新城的重要民生工程。,,,--,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,2
北林老街,http://travel.qunar.com/p-oi37807227-beilinlaojie,,,,,,,,,,2
望奎县植物园,http://travel.qunar.com/p-oi37806689-wangkuixianzhiwuyuan,,,,,0.0,,,具体收费情况以现场公示为主,,2
兰西县挂钱博物馆,http://travel.qunar.com/p-oi36258797-lanxixianguaqianbowuguan,,,,,--,,,,,2
