名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
越王楼Yuewang Tower,http://travel.qunar.com/p-oi7469618-yuewanglou,"

地址:
绵阳市游仙区剑南路东段326号


电话:
0816-2175989,0816-6282761


官网:
http://www.yuewanglou.net/

",,全年 09:00-21:30,https://img1.qunarzz.com/travel/poi/1408/27/1239aea20ba02898ffffffffc8d65eac.jpg_480x360x95_15bf994b.jpg,4.8,建议游览时间：1小时 - 2小时,,"{'越王楼门票成人票\n\n': ['¥44.4起'], '越王楼门票优待票\n\n': ['¥25起'], '越王楼电子导览服务大小同价\n\n': ['¥6起']}",,1
罗浮山温泉旅游度假区Mount Luofu Conference Center and Hot Springs Resort,http://travel.qunar.com/p-oi9201882-luofushanwenquanlu:you,"

地址:
绵阳市安州区桑枣镇


电话:
0816 463 9222


官网:
http://www.lfshyzx.com/

",罗浮山温泉水水温42-45.5摄氏度，水温、水量、水质非常稳定。,全年 10:00-22:00,https://mp-commentcp.qunarzz.com/mp_comment_mp_comment/1547156170626100d10000000of7kz1F83_D_640_10000.jpg_480x360x95_ee1fd7fe.jpg,5.0,建议游览时间：2小时 - 3小时,,{'罗浮山会议中心温泉度假区票儿童票\n\n': ['¥50起']},,1
猿王洞Ape Cavern in Jiuhuang Mountain,http://travel.qunar.com/p-oi702292-yuanwangdong,,,,,,,,,,1
药王谷Yaowang Valley Scenic Spot,http://travel.qunar.com/p-oi5255593-yaowanggu,,,,,,,,,,1
圣水寺,http://travel.qunar.com/p-oi705146-shengshuisi,"

地址:
长虹大道北段357号


电话:
(0816)2685495

",圣水寺，初建于唐代咸通年间(大约距今1300余年)，即公元860―870年。宋代始名兴慈禅院，后因寺后山有泉水流出，终年不涸，至今也是泉水溢满；水质清纯，甘甜爽口，被视为灵泉，故更名为“圣水寺”。圣水寺系四川省的八大丛林之一，号称“中川第一禅林”，因其地理位置独特，历史久远，古迹遍刹，适合修行弘法，且先后出现了丈雪、默野、可拙、清德诸师、果忍法师等高僧大德，在四川佛教界享有崇高的地位。,8:30-17:00,https://img1.qunarzz.com/travel/d5/1702/77/9ecfd5299dd317b5.jpg_480x360x95_efd8f326.jpg,4.6,建议游览时间：1小时 - 2小时,,1元,,1
罗浮山羌王城Luofu Mountain Qiangwang City,http://travel.qunar.com/p-oi706226-luofushanqiangwangcheng,"

地址:
绵阳市安县桑枣镇


电话:
0816-4635658,0816-4632566

",罗浮山，又名浮山，位于龙门山脉中南段，距安县桑枣镇2公里，安昌镇10公里，绵阳40公里。总面积3平方公里，属低山生态旅游区，易于攀登。由于山麓，常有云雾环绕，山似飘浮云上，故名“浮山”。为与广东罗浮山相区别，又有小罗浮，西罗浮之称。  罗浮山，以拔地而起的太乙峰、凌霄峰、挂衣峰、驾鹤峰、连城峰、卓锡峰、双凤峰、白羊峰、迎鸽峰、插云峰、台子峰、长建峰和数个陪峰连接而成山脉，构成一幅绚丽多姿的天然画图。山势陡峭，突兀险峻，悬崖、溶洞、峡谷、神泉遍布其间。浮山集雄、秀、险、幽、神秘于一体。山中林荫蔽日，清静幽雅，春夏秋冬气候宜人。清代绵州才子李调元和现代作家沙汀等古今名人为此留有不少称颂浮山的墨宝。电视剧《西游记》中的三打白骨精、狮陀岭等故事，曾在这里拍摄。浮山以其神奇、美丽而著称于世，素有小西天、小盆景、甲巴蜀之美誉。  罗浮山羌王城，位于山腰，总面积1平方公里，南西北三面以天然石岩绝壁为垒。城内有点将台、演兵场、石营门、囤粮小城堡等军事生活设施，尚有4道小石门保存完好。此系明正德年间（1506－1521年），羌族同胞与朱明王朝抗争的一处古战场的真实再现，是民族关系的历史写照，又是提倡民族团结的生动教材。近来，为适应旅游业发展的新形势，满足游客的审美需求，创造更好的旅游环境，委托四川旅游资源开发研究中心，组织专家学者对罗浮山风景名胜区的旅游发展重新作了总体规划。突出了“前山佛后山道”的仙境特色；突出了羌族的历史文化，重新恢复官寨，聚落，碉楼、栈道，楼阁等建筑景观。,5月1日-10月8日9:00-17:50，10月9日-次年4月30日8:30-17:40。,https://img1.qunarzz.com/piao/fusion/2202/28/e8e6005fa2e17702.jpg_480x360x95_05349e25.jpg,4.5,建议游览时间：3小时,,"{'罗浮山羌王城门票成人票\n\n': ['¥34.6起'], '罗浮山羌王城门票学生票\n\n': ['¥20起'], '罗浮山羌王城门票老人票\n\n': ['¥20起']}",,1
善觉寺,http://travel.qunar.com/p-oi704058-shanjuesi,"

地址:
云南石屏县异龙镇北1公里的乾阳山麓

","善觉寺位于石屏县异龙镇北1公里的乾阳山麓。《石屏州志》记载，善觉寺始建于唐，后倾圮，清光绪五年（1879年）重建。善觉寺坐西朝东，通面阔52米，通进深50米, 占地面积2588平方米。善觉寺由山门、前殿、中殿、后殿、厢房组成。后殿为抬梁式穿斗式结合的单檐歇山顶建筑，建于石台基上，明间前有垂带踏跺，檐下有装饰性假斗拱，殿前用檐柱8棵。1991年公布为石屏县文物保护单位。",全天,,--,,,免费,,1
江油国家地质公园,http://travel.qunar.com/p-oi36408103-jiangyouguojiadizhigong,,,,,4.0,,,具体收费情况以现场公示为主,,1
九皇山Jiuhuangshan,http://travel.qunar.com/p-oi10004473-jiuhuangshan,,,,,,,,,,1
北川地震遗址The Earthquake Site of The Old Beichuan County,http://travel.qunar.com/p-oi710475-beichuandizhenyizhi,"

地址:
绵阳市北川羌族自治县曲山镇西羌下街


电话:
0816-4893333,0816-4892123

",北川地震遗址东接江油市，南邻安县，西靠茂县，北抵松潘、平武县，面积2867.83平方公里。整个地震遗址博物馆项目由遗址区和博物馆共同组成，《方案设计》将北川遗址博物馆规划范围分为三个层次，分别为核心区、控制区和协调区。建议县城和任家坪都应纳入保护的核心区，其中县城整体作为遗址区，博物馆设在任家坪。任家坪虽距县城约2公里，但因北川中学教学楼整体坍塌，在整个抗震救灾过程中，同样发生了许多感人的事迹。《方案设计》依据上述理由，将规划核心区定为遗址博物馆项目主体功能范围，包括县城范围地震遗址和任家坪地区。具体由三部分组成，包括任家坪地震博物馆及综合服务区，北川县城遗址保护区，次生灾害展示和自然恢复区。控制区既环境保护与生态修复区，主要包括核心区周边主要次生灾害发生区域。通过生态修复，这一区域将构成核心区整体环境的背景。控制区域为环境保护与生态修复区以外约1公里的范围，并考虑周边居民点分布、自然流域划分等因素。,全年 09:00-18:00,https://img1.qunarzz.com/travel/d2/201212/12/a1e347e5bb468189ddb12cfb.jpg_480x360x95_da7c313a.jpg,4.7,建议游览时间：3小时,,具体收费情况以现场公示为主,,1
