名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
中华水上古城Ancient Water City,http://travel.qunar.com/p-oi9560034-zhonghuashuishanggucheng,"

地址:
聊城市东昌府区楼南大街2号附近


电话:
0635-8255566

",中华水上古城，即东昌古城，也称聊城古城，面积仅有1平方公里，却被6.3平方公里的湖水包围，坐落在聊城市区内东昌湖中间，北宋时期的城垣，其 “城中有水、水中有城、城水一体、交相辉映”的水城风貌美仑美奂。中华水上古城为在明代遗址上的复建建筑，以闻名遐迩的光岳楼为中心，利用十字步行商业街将城区用地分为四块。十字大街为商业步行街，两侧以传统风情的商业为主。楼北大街以餐饮类为主：全国知名餐饮品牌、本省市地方餐饮、传统小吃、曲艺演出等。楼南大街以驿站类为主：地方特色风情、历史文化风格的酒店、宾馆、茶楼、酒吧和戏院、演绎广场、咖啡厅、时尚简餐厅、KTV等。楼西大街以文化类为主：本地文化展示，博物馆，传统手工艺、旅游文化产品，氧吧，陶吧等时尚小吧等。楼东大街以商业类为主：本地名特产，品牌店，超市百货，医院诊所，小型餐饮（铁板烧烤，寿司店，冰淇淋店）等。,古城全天开放，内部景点开放时间详见景区公示。,https://img1.qunarzz.com/p/tts6/1805/5a/55ac8f1ad0590702.jpg_480x360x95_43f460a4.jpg,4.6,建议游览时间：12小时 - 3天,,"{'中华水上古城聊城县署门票\n\n': ['¥25起'], '东昌湖聊城文庙门票\n\n': ['¥19.7起']}",,1
东昌湖Dongchang Lake,http://travel.qunar.com/p-oi721398-dongchanghu,"

地址:
聊城市东昌府区湖滨路2号


电话:
0635-8426331

",东昌湖风景名胜区位于聊城的西南市区，总面积20.6平方公里，驰名中外的京杭大运河穿风景区而过。景区以建于北宋时期的聊城古城为中心，以水面辽阔、风景秀丽、环绕于古城区四周的东昌湖为依托，集中体现了聊城“水、古、文”的特色，营造出聊城“城中有湖，湖中有城，城湖河一体”的独特风貌，是山东西部和冀、鲁、豫接壤地区非常有名的风景游览区。东昌湖风景名胜区文化的内涵深厚，旅游资源丰富，《水浒》、《聊斋》、《老残游记》等中国古代名著，对古聊城和东昌湖均有描述。千年的历史沧桑，层出不穷的杰出人物，造就了东昌湖风景名胜区丰厚的文化背景和底蕴。迷人的自然风光，众多的文化景点，也汇成了东昌湖风景名胜区的丰富旅游资源。风景区内，错落散布着中国现存古代木结构建筑之一的明代光岳楼，中国佛教文化的瑰宝宋代铁塔，集商业与文化之大成的精美清代建筑山陕会馆，中国清代四大私人藏书楼之一的海源阁等名胜古迹，以及傅斯年纪念馆、孔繁森同志纪念馆等文化景点。,全年 全天开放,https://img1.qunarzz.com/travel/d4/1707/f5/6ca413bd4fcd8eb5.jpg_480x360x95_dbb54f9a.jpg,4.7,建议游览时间：2小时 - 3小时,,"{'中华水上古城聊城县署门票\n\n': ['¥25起'], '东昌湖聊城文庙门票\n\n': ['¥19.7起']}",,1
姜堤乐园Jiangdi Amusement Park,http://travel.qunar.com/p-oi701776-jiangdileyuan,"

地址:
聊城市东昌府区聊阳路王光宇大桥向东600米


电话:
0635-8555337


官网:
http://www.jdly.net

",姜堤乐园环境优越，田园风光独特，空气清新，风光旖旎，特别是聊城历史名园——依绿园，构思独特，布局巧妙，在有限的空间内创造出丰富的山水人文景观，成为融自然景观、人文景观、历史文化和旅游、休闲、度假于一体的生态农业旅游示范园。姜堤乐园内樱花园、猫园、高科技含量的怪屋、欲与趵突争雄的圣泉、始建于宋朝的江北八大盛景之一的依绿园等20多个景区，100余项娱乐设施免费向游客开放，气象万千，风光无限，形成了一幅幅美丽的画卷。春季，满园鲜花竞相开放，让人神旷心怡；夏季，泻玉流翠，枝叶间悬挂着一串串鲜艳欲滴的果子，游人可尽情免费品尝。在波澜不惊的大片水面上，梅花桥、铁索桥、方板桥、圆木桥等20余种趣桥各显风采，船移，一幅幅美丽的山水画尽收眼底。民俗娱乐区设有秋千、睡网、梅花桩、翘翘板、蹦蹦床等数十种各具特色的娱乐设施，爬雪山、荡秋千、走钢丝、荡滑索、进怪屋、踏独木、观水帘、瞻圣泉、赏垂钓、品鲜果，让您尽情免费享受久违的欢乐与童趣，收获着远离闹市的惬意与放松。   依绿园为园中之园，亭廊轩榭粉墙黛瓦，高雅，古朴，凝重。轰鸣的瀑布，神奇独特的圣泉，妙不可言的绉绿湖，独具特色的山洞奇景——加上奇卉异木、瘦山怪石的点缀，可谓是一泉一景，一湖一色，一瀑一姿，一溪一态，喷珠溅玉，色泽如绘，既自然和谐，又充满着诗情画意；使游人“不出城郭而获山水之怡，身居闹市而得林泉之趣”，达到了“虽由人作，婉若天成”的艺术境地。,全年 7:00-18:00,https://img1.qunarzz.com/p/tts8/1806/1e/f80c63b0be4af002.jpg_480x360x95_df2ff4fa.jpg,4.2,建议游览时间：1小时 - 2小时,,30元,,1
光岳楼Guangyuelou,http://travel.qunar.com/p-oi708087-guangyuelou,"

地址:
聊城市东昌府区古城中央


电话:
0635-8412418

",光岳楼是鲁西名胜，众多帝王将相，文人墨客路过聊城都要登楼抒怀。清朝康熙皇帝曾四次登楼并题匾《神光钟暎》，意为东岳之神光与光岳楼之神光交相辉映。而乾隆皇帝更是九过东昌，六次登楼，并为光岳楼题写了匾额。据《南巡盛典》记载，光岳楼为乾隆皇帝南巡三十六行宫之一。乾隆行宫就设在光岳楼的二楼，乾隆皇帝是历史上少有的才子，一生作诗一万多首，仅在光岳楼上题诗达十三首。碑文字迹圆润流畅，有较高的书法造诣。,全年 9:00-17:00,https://img1.qunarzz.com/travel/d2/1710/c8/e23f8aeb5cc49eb5.jpg_480x360x95_be80e838.jpg,4.6,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
景阳冈Jingyang Hill,http://travel.qunar.com/p-oi702367-jingyanggang,"

地址:
聊城市阳谷县景阳冈旅游区


电话:
0635-6361567,0635-6363199,0635-6212330

",景阳冈旅游区位于聊城阳谷县城东16公里处张秋镇境内，传说为《水浒传》中描述的武松打虎处。内有大型龙山文化城遗址。旅游区以武松打虎为主题，沙冈连绵，林荫蔽日，杂草丛生，虎啸声声，一派荒野苍茫景象。景阳冈主要景点有武松庙、“三碗不过冈”酒店、虎啸亭、“武松打虎处”碑楼、龙山文化城遗址等景点。游人可以逗留在“乡村”酒店，品味水浒酒食文化；徘徊在虎池周围，一睹斑斓猛虎的雄姿；可以为名人荟萃的书法艺术而陶醉，为历史悠久的龙山文化而惊叹。,8:00-17:00,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/fusion/20213/79ab46698347d3af65a12b7ac93b32c0.jpg_480x360x95_80b91096.jpg,4.2,建议游览时间：1小时 - 2小时,,"{'景阳冈门票成人票\n\n': ['¥27起'], '景阳冈门票优待票\n\n': ['¥15起'], '景阳冈电子讲解服务大小同价\n\n': ['¥7起']}",,1
傅斯年陈列馆Fu Sinian Exhibition Hall,http://travel.qunar.com/p-oi713049-fusinianchenlieguan,"

地址:
聊城市东昌府区东关街111号


电话:
8205545

",傅斯年陈列馆位于山东省聊城市，里面陈列有傅斯年先生生前生活用品，重要的书籍、史料、信札、证件、文物等，还有其留下的近千幅图片。,"全年 08:30-12:00,13:30-17:30",https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/ba10f624bff52d3d51f6939b409f0269.jpg_480x360x95_47257a2b.jpg,4.2,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
曹植墓Cao Zhi Tomb,http://travel.qunar.com/p-oi715341-caozhimu,"

地址:
聊城市东阿县鱼山镇鱼山村


电话:
0635-3558172

",鱼山，又名吾山，距县城19公里，海拔82.1米，因葬曹植而扬名。曹植墓始建于公元233年（魏太和7年），坐落于鱼山西麓，封土为冢，占地1200余亩，东南两侧有黄河和小清河萦绕，合为襟带，隔河群山连绵，攒峰耸翠，仿佛一道屏风，北面金堤绵亘，似黄龙静卧，沃野万顷，一抹平川，近看山下房屋鳞次栉比，远看村落星罗棋布，犹如一幅水墨丹青，使人游目寓足，旷然大观。曹植是我国有名的文学家，是建安时期较负盛名的文学家，才高八斗，七步成章，辞采华茂，骨气奇高，在后世有较大影响，同时期的墓葬在我国发现较少，因此曹植墓对于文学史、考古学等方面的研究，有着重要的价值。山上有许多龙山时期的灰陶片，以及春秋战国至西汉时期的遗物，并且有“重云洞”、“绿葫居”、“四眺亭”、“夕照轩”、“倒影阁”、“羊茂台”、“仙人脚印”等八大景观。1981年上级拨专款修建了墓基围墙，翻修隋碑楼，1986年又对该墓坍塌部分进行修缮，还其历史本来面目。为扩大曹植墓的知名度，东阿县委对鱼山曹植墓做出了景区规划，拟划分为六个区，即墓前神道区、山上区、“子建祠”区、纪念馆区、荷塘区、生活区，把鱼山曹植墓建设成为吃、住、购、娱为一体的旅游场所。,全年 8:30-18:00,https://img1.qunarzz.com/piao/fusion/1804/e6/7085c3d8d7c3da02.jpg_480x360x95_f6be6a69.jpg,4.3,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
范筑先纪念馆Liaocheng Fanzhuxian Memorial Hall,http://travel.qunar.com/p-oi703386-fanzhuxianjinianguan,"

地址:
楼北大街


电话:
8411857

",,8：30--17：30,https://img1.qunarzz.com/travel/d6/1710/e4/6132f248f45151b5.jpg_480x360x95_40153f26.jpg,5.0,,,具体收费情况以现场公示为主,,1
狮子楼旅游区Shizilou (Lion House) Tourism Area,http://travel.qunar.com/p-oi707439-shiziloulu:youqu,"

地址:
聊城市阳谷县十字街首


电话:
0635-6363199,0635-6361567,0635-6212330

",狮子楼旅游区位于阳谷县古城中心，包括狮子楼和狮子楼旅游城两部分。狮子楼始建于北宋景佑三年（公元1036年），因水浒英雄武松斗杀西门庆为民除害而名扬四海。狮子楼为重檐歇山式建筑，该楼飞檐斗拱、雕梁画栋，十分宏伟。狮子楼旅游城以宋代历史文化为背景，将发生在阳谷的历史故事和人文景观相结合，展示千年古城的建筑风貌，复现了宋朝时期阳谷县市井里巷的风貌。主要景点有武大郎家、王婆茶馆、银匠铺、纸马铺、冷酒馆、紫石街、西门庆五大店铺、狮子街、玉皇庙、戏楼等。千户府，是一处具有宋代特色的鲁西大户府院建筑，它以千户府为文化载体来表现宋代政治、经济和社会现象，使游客通过时光隧道来领略千年文化魅力，从中欣赏到宋代建筑文化、家具文化、服饰文化、古玩文化和饮食文化。狮子楼旅游区与八百米宋式商业步行街—紫石街、千年古文庙有机衔接，融为一体，形成阳谷“千年古城”格局，成为体现水浒经典故事场景，再现千年传奇市井画卷的宋代古城。,8:30-17:00,https://img1.qunarzz.com/travel/poi/1609/f3/cfe492aa51482f37.jpg_480x360x95_fcc36565.jpg,4.4,建议游览时间：1小时 - 2小时,,{'狮子楼电子导览门票大小同价\n\n': ['¥5起']},,1
聊城铁塔Liaocheng Tieta,http://travel.qunar.com/p-oi702279-liaochengtieta,"

地址:
山东省聊城市东昌府区健康路

",聊城铁塔坐落在有“江北水城”之称的山东聊城市东关京杭古运河河畔，原护国隆兴寺内东南角。塔始建年代无相关文字记载，据塔座石雕风格和修葺时发现的石碑推断，建筑年代应为南宋或辽金。解放前年久失修，大部倾圮，仅存底部5层。1973年，政府拨款重修，从地下挖出坠毁的塔身及塔顶，整修复原。施工期间，又在五层塔身和基座发现了石函，石函外陈列有铜菩萨、瓷瓶以及宋元古钱多枚。函内有小型银棺，内有僧人骨灰及舍利子，石函外侧刻有铭文。塔为生铁铸造13层，高约15.8米。塔下基座...聊城铁塔坐落在有“江北水城”之称的山东聊城市东关京杭古运河河畔，原护国隆兴寺内东南角。塔始建年代无相关文字记载，据塔座石雕风格和修葺时发现的石碑推断，建筑年代应为南宋或辽金。解放前年久失修，大部倾圮，仅存底部5层。1973年，政府拨款重修，从地下挖出坠毁的塔身及塔顶，整修复原。施工期间，又在五层塔身和基座发现了石函，石函外陈列有铜菩萨、瓷瓶以及宋元古钱多枚。函内有小型银棺，内有僧人骨灰及舍利子，石函外侧刻有铭文。塔为生铁铸造13层，高约15.8米。塔下基座占地为16平方米，上有石刻佛教浮雕孔雀、龙凤及乐舞人物等各类图饰。铁塔四面有门窗、斗拱、房檐等。1977年，铁塔被公布为山东省重点文物保护单位。2006年铁塔被公布为第六批全国重点文物保护单位。,8：00-17：30,https://img1.qunarzz.com/piao/fusion/1412/96/96d7960a48a457f8cdb.jpg_480x360x95_9622ca6b.jpg,4.6,建议游览时间：0.5小时 - 2小时,,具体收费情况以现场公示为主,,1
